"","Table 3#10#4# Price Indexes for Government Consumption Expenditu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","            Compensation of general government employees","A194RG3",2.136,2.139,2.166,2.102,2.074,2.141,2.148,2.216,2.239,2.291,2.259,2.23,2.24,2.419,2.376,2.568,2.905,4.287,4.538,4.568,4.818,4.908,5.011,5.238,5.4,5.601,5.898,6.158,6.441,6.878,7.087,7.316,7.565,7.767,8.076,8.444,8.804,9.288,9.721,10.481,11.204
"12","5","            Consumption of general government fixed capital \2\","A265RG3",11.091,10.432,9.492,8.114,8.752,9.797,9.621,10.127,10.297,10.205,10.008,10.063,11.072,11.747,11.995,11.573,11.026,12.255,14.038,14.688,14.803,14.68,16.022,16.324,16.373,16.411,16.823,17.896,18.663,18.81,19.091,19.166,19.297,19.579,19.871,19.95,20.169,20.578,21.001,21.718,22.695
"13","6","          Intermediate goods and services purchased \3\","W104RG3",10.647,10.118,9.164,8.339,8.205,8.812,9.351,9.06,9.435,9.263,9.221,9.18,10.095,9.504,9.529,9.217,9.018,9.76,10.591,11.404,11.425,11.706,12.481,12.24,12.409,12.837,13.405,13.779,14.329,14.518,14.216,14.225,14.385,14.577,14.836,15.21,15.579,16.169,16.679,17.264,18.069
"14","7","            Durable goods","W105RG3",16.536,16.096,15.134,14.728,14.854,16.092,16.52,16.641,16.713,16.792,16.664,16.999,18.561,15.669,15.33,14.445,13.369,15.274,17.733,18.982,19.246,20.122,21.324,21.974,22.358,22.988,23.842,25.399,26.672,27.15,27.646,27.846,28.129,28.595,29.283,29.253,29.544,30.143,30.722,31.982,33.204
"15","8","            Nondurable goods","W106RG3",11.678,11.141,9.928,8.823,8.868,9.578,10.337,9.546,10.11,9.541,9.448,9.675,10.929,12.501,13.116,13.001,13.353,13.578,13.938,15.07,14.521,14.772,15.423,14.659,14.335,15.391,16.257,16.291,16.796,16.31,15.831,15.721,15.675,15.719,15.548,15.714,15.96,16.616,16.653,17.034,17.467
"16","9","            Services","W107RG3",10.655,10.068,9.225,8.542,8.21,8.762,9.198,9.259,9.569,9.678,9.686,9.332,9.993,7.683,7.314,7.123,7.312,7.863,8.785,9.445,9.751,9.96,10.819,10.397,10.835,10.829,11.249,11.459,11.887,12.253,11.826,11.865,12.098,12.319,12.728,13.279,13.731,14.314,15.071,15.693,16.699
"17","10","        Less: Own-account investment \4\","W108RG3",7.771,7.619,7.716,7.803,7.193,7.348,7.395,7.304,7.491,7.609,7.591,7.715,7.831,8.123,8.95,10.703,10.595,10.886,11.167,11.162,11.612,11.731,12.606,13.199,13.567,13.838,14.241,14.551,15.12,15.99,15.918,16.263,16.639,16.863,17.049,17.452,17.653,17.902,18.172,18.934,19.813
"18","11","        Less: Sales to other sectors \5\","W109RG3",3.927,3.738,3.445,3.129,3.051,3.303,3.489,3.49,3.614,3.475,3.412,3.43,3.678,4.039,4.198,4.274,4.369,4.827,5.547,5.875,5.856,6.021,6.44,6.566,6.671,6.753,6.888,7.087,7.347,7.521,7.658,7.967,8.104,8.258,8.422,8.634,8.862,9.177,9.471,9.987,10.631
"19","12","Federal consumption expenditures \1\","A957RG3",5.515,5.281,5.332,5.185,5.115,5.384,5.402,5.979,6.015,6.128,6.016,5.74,5.984,5.928,5.791,5.866,6.156,8.388,8.951,8.81,9.177,9.251,9.48,9.562,9.725,10.022,10.582,11.03,11.511,12.061,12.135,12.239,12.417,12.621,13.047,13.581,14.046,14.643,15.016,15.886,16.715
"20","13","      Gross output of general government","W110RG3",5.679,5.427,5.468,5.316,5.262,5.554,5.545,6.125,6.172,6.292,6.171,5.915,6.149,6.095,5.964,6.054,6.34,8.455,9.102,8.966,9.339,9.413,9.663,9.754,9.92,10.217,10.776,11.221,11.707,12.269,12.343,12.455,12.638,12.844,13.262,13.796,14.247,14.825,15.19,16.063,16.897
"21","14","        Value added","W111RG3",3.881,3.704,3.86,3.819,3.86,4.071,3.897,4.428,4.411,4.491,4.351,4.169,4.179,4.543,4.383,4.633,5.089,7.342,7.895,7.67,8.043,8.081,8.197,8.445,8.612,8.808,9.291,9.732,10.156,10.807,11.145,11.312,11.484,11.664,12.066,12.565,12.989,13.501,13.766,14.673,15.483
"22","15","          Compensation of general government employees","B568RG3",2.249,2.15,2.277,2.279,2.308,2.417,2.299,2.643,2.623,2.676,2.588,2.462,2.442,2.7,2.589,2.795,3.197,5.094,5.273,4.88,5.234,5.267,5.22,5.402,5.533,5.688,6.069,6.331,6.596,7.194,7.475,7.617,7.764,7.893,8.255,8.79,9.22,9.705,9.904,10.734,11.408
"23","16","          Consumption of general government fixed capital \2\","B995RG3",12.745,12.047,11.504,10.717,10.731,11.839,11.892,12.166,12.574,12.573,12.365,12.553,13.637,13.333,13.282,12.834,12.155,13.524,15.408,15.944,16.176,16.198,17.359,17.664,17.801,17.991,18.503,19.545,20.465,20.772,21.12,21.29,21.458,21.759,22.088,22.141,22.314,22.66,23.066,23.783,24.736
"24","17","        Intermediate goods and services purchased \3\","W113RG3",11.755,11.279,10.312,9.488,8.87,9.38,10.355,10.417,10.981,11.256,11.508,11.04,12.466,11.154,11.087,10.68,10.413,11.107,11.89,12.798,12.932,13.181,14.01,13.549,13.724,14.302,15.082,15.49,16.151,16.347,15.442,15.294,15.492,15.776,16.2,16.794,17.282,18.045,18.734,19.426,20.274
"25","18","          Durable goods","W114RG3",19.189,17.708,16.892,16.876,15.962,16.001,17.267,16.66,16.485,15.948,16.139,16.515,18.541,15.479,15.148,14.272,13.206,15.091,17.456,18.6,18.857,19.75,20.878,21.525,21.909,22.53,23.322,24.868,26.228,26.724,27.255,27.433,27.62,28.142,28.837,28.715,28.969,29.458,29.98,31.201,32.377
"26","19","          Nondurable goods","W115RG3",16.441,15.863,14.592,13.98,14.188,14.743,14.927,15.044,15.475,15.327,15.377,15.55,18.933,21.479,22.491,22.246,22.886,20.395,18.292,18.977,18.918,18.653,18.141,16.737,16.174,17.837,19.308,18.946,19.389,18.553,18.183,17.699,17.316,17.274,16.737,17.032,17.145,17.961,17.681,18.034,18.324
"27","20","          Services","W116RG3",14.782,14.195,12.902,11.582,10.4,11.138,12.822,13.045,14.07,14.746,15.237,13.893,14.833,9.543,8.323,7.791,8.026,8.621,9.955,10.935,11.072,11.276,12.731,11.729,12.289,12.179,12.81,12.971,13.462,13.8,11.888,11.739,12.085,12.388,13.089,13.98,14.679,15.541,16.703,17.485,18.659
"28","21","      Less: Own-account investment \4\","W117RG3",10.016,9.181,9.127,8.933,8.877,9.487,9.25,10.097,10.296,10.575,10.252,10.238,10.23,10.338,10.637,12.438,12.275,12.758,13.285,12.935,13.689,13.602,14.661,15.375,15.696,15.781,16.189,16.405,16.938,18.067,18.157,18.544,18.997,19.242,19.421,19.987,20.134,20.255,20.369,21.163,22.026
"29","22","      Less: Sales to other sectors","W118RG3",6.481,6.043,5.573,5.102,4.95,5.419,5.889,5.661,5.951,5.713,6.137,6.318,6.879,7.325,7.473,7.578,7.728,8.495,10.287,10.613,10.753,10.903,11.668,11.642,11.523,11.747,12.173,12.502,13.023,13.398,13.45,13.515,13.398,13.596,13.883,14.285,14.429,14.71,15.071,16.43,17.617
"30","23","    Defense consumption expenditures \1\","A997RG3",5.75,5.6,5.574,5.467,5.439,5.631,5.833,5.954,5.975,6.002,6.02,5.718,5.956,5.755,5.577,5.645,5.922,8.218,8.933,8.843,9.112,9.257,9.39,9.41,9.531,9.843,10.423,10.937,11.416,11.934,11.982,12.091,12.206,12.378,12.816,13.294,13.743,14.326,14.715,15.545,16.338
"31","24","      Gross output of general government","W085RG3",5.934,5.763,5.723,5.607,5.569,5.776,5.968,6.103,6.135,6.16,6.173,5.87,6.103,5.909,5.734,5.815,6.092,8.297,9.073,8.98,9.259,9.401,9.551,9.58,9.704,10.015,10.595,11.105,11.587,12.116,12.166,12.281,12.402,12.574,13.007,13.486,13.927,14.499,14.883,15.717,16.513
"32","25","        Value added","W086RG3",4.039,3.938,3.993,3.932,3.936,4.077,4.177,4.394,4.382,4.404,4.428,4.219,4.305,4.595,4.386,4.593,5.081,7.501,8.198,8.027,8.314,8.395,8.365,8.58,8.69,8.888,9.385,9.852,10.279,10.9,11.199,11.359,11.451,11.613,12.02,12.485,12.891,13.407,13.681,14.592,15.376
"33","26","          Compensation of general government employees","B237RG3",2.362,2.324,2.386,2.371,2.37,2.411,2.481,2.63,2.578,2.589,2.608,2.465,2.492,2.704,2.56,2.74,3.157,5.257,5.566,5.166,5.447,5.527,5.306,5.457,5.541,5.693,6.089,6.363,6.619,7.206,7.453,7.592,7.658,7.764,8.145,8.674,9.097,9.604,9.805,10.646,11.307
"34","27","          Consumption of general government fixed capital \2\","B432RG3",12.264,11.516,11.032,10.444,10.511,11.614,11.709,11.936,12.749,12.856,12.832,12.721,13.906,13.181,13.195,12.58,11.934,13.281,15.14,15.683,15.901,15.94,17.105,17.419,17.53,17.759,18.272,19.349,20.289,20.578,20.912,21.069,21.218,21.532,21.849,21.87,22.048,22.375,22.807,23.522,24.405
"35","28","        Intermediate goods and services purchased \3\","W087RG3",12.075,11.55,10.528,10.113,9.781,10.161,10.923,10.077,10.462,10.453,10.326,9.764,10.476,9.092,8.994,8.747,8.424,8.666,9.613,10.74,10.698,11.231,12.115,11.635,11.791,12.369,13.138,13.718,14.319,14.513,13.742,13.64,13.862,14.042,14.497,14.934,15.437,16.122,16.799,17.351,18.108
"36","29","          Durable goods","A998RG3",16.415,14.669,13.719,13.72,12.108,12.965,14.049,13.93,15.147,15.419,15.532,15.21,17.355,14.267,13.981,13.155,12.176,14.008,16.38,17.569,17.811,18.698,19.769,20.392,20.756,21.351,22.104,23.587,24.887,25.354,25.832,25.965,26.133,26.619,27.265,27.103,27.4,27.868,28.365,29.53,30.653
"37","30","          Nondurable goods","A725RG3",5.834,5.492,4.765,4.461,4.612,5.131,5.189,5.214,5.613,5.264,5.112,5.182,5.756,6.7,6.897,7.018,7.058,6.918,8.113,10.077,9.212,9.471,9.551,8.778,8.394,9.74,11.008,11.549,11.995,11.362,11.364,11.502,11.357,11.284,11.032,10.952,11.137,11.479,11.551,11.644,11.85
"38","31","          Services","A489RG3",26.775,26.052,24.588,24.003,22.255,22.15,24.61,20.633,20.588,21.035,20.791,18.934,19.383,10.903,9.352,8.057,8.231,7.884,8.283,8.878,9.433,10.206,12.067,10.803,11.367,11.168,11.851,11.964,12.339,12.732,10.604,10.257,10.691,10.893,11.666,12.638,13.445,14.483,15.747,16.487,17.601
"39","32","      Less: Own-account investment \4\","W088RG3",12.211,11.235,11.114,10.821,10.383,11.172,10.72,11.653,12.098,12.062,11.792,11.442,11.138,11.451,11.9,14.125,13.815,14.22,14.834,14.446,15.24,15.136,16.409,17.2,17.522,17.571,17.948,18.117,18.677,19.889,19.905,20.267,20.714,20.924,21.044,21.594,21.724,21.825,21.894,22.7,23.588
"40","33","      Less: Sales to other sectors","W089RG3",6.132,5.754,5.258,4.833,4.665,5.08,5.22,5.265,5.656,5.611,5.629,5.758,6.135,6.567,6.654,6.741,6.976,7.869,9.71,10.387,10.585,10.753,11.462,11.622,11.955,12.408,12.647,12.764,13.287,13.625,13.969,14.145,14.177,14.237,14.364,14.601,14.608,14.664,15.072,15.841,16.525
"41","34","    Nondefense consumption expenditures \1\","A542RG3",4.945,4.621,4.761,4.57,4.464,4.747,4.669,5.383,5.42,5.549,5.408,5.169,5.36,6.18,6.675,6.867,7.25,8.381,8.25,7.929,8.541,8.373,9.052,9.589,10.047,10.227,10.626,10.651,11.104,11.83,12.125,12.204,12.708,13.064,13.397,14.173,14.684,15.318,15.582,16.604,17.576
"42","35","      Gross output of general government","W128RG3",5.281,4.93,5.07,4.874,4.8,5.11,5.023,5.716,5.764,5.905,5.753,5.53,5.715,6.467,6.95,7.213,7.493,8.359,8.489,8.213,8.825,8.673,9.365,9.889,10.332,10.514,10.923,10.983,11.446,12.172,12.444,12.538,13.02,13.374,13.703,14.451,14.92,15.496,15.746,16.756,17.721
"43","36","        Value added","W129RG3",3.758,3.449,3.765,3.753,3.833,4.089,3.771,4.423,4.406,4.505,4.309,4.143,4.073,4.812,5.46,7.117,6.264,6.535,6.31,5.888,6.536,6.426,7.107,7.519,8.014,8.19,8.579,8.864,9.264,10.06,10.592,10.793,11.349,11.606,11.974,12.61,13.1,13.581,13.808,14.679,15.569
"44","37","          Compensation of general government employees","W130RG3",2.247,2.05,2.278,2.305,2.362,2.514,2.303,2.727,2.716,2.783,2.66,2.539,2.464,2.999,3.645,5.066,4.341,4.442,4.157,3.812,4.3,4.223,4.711,5.032,5.413,5.579,5.875,6.081,6.378,7.015,7.435,7.583,8.034,8.248,8.536,9.085,9.533,9.94,10.128,10.906,11.615
"45","38","          Consumption of general government fixed capital \2\","B546RG3",12.434,12.006,11.363,10.171,10.068,11.075,11.051,11.352,11.335,11.242,10.905,11.31,12.171,13.099,12.609,14.594,13.436,14.877,16.784,17.088,17.473,17.3,18.302,18.491,18.899,18.605,19.039,19.521,20.07,20.571,21.025,21.334,21.689,21.821,22.234,22.54,22.665,23.109,23.362,24.06,25.276
"46","39","        Intermediate goods and services purchased \3\","W131RG3",14.68,14.125,12.943,11.429,10.341,10.967,12.191,12.646,13.389,13.816,14.243,13.688,15.694,16.84,16.446,13.12,15.315,18.293,19.633,20.44,20.868,20.102,19.646,20.689,20.98,21.241,21.856,21.071,21.823,21.85,21.396,21.088,21.062,21.893,22.055,23.354,23.672,24.812,25.126,26.78,27.965
"47","40","          Durable goods","A543RG3",40.471,39.999,40.176,40.116,40.398,39.548,42.642,40.883,38.953,36.8,37.336,39.57,43.122,47.512,41.677,48.797,41.954,42.129,44.564,44.518,45.272,44.643,46.933,45.598,46.575,45.964,46.925,45.814,45.995,48.101,55.843,64.436,66.591,69.014,72.396,76.984,72.657,73.288,74.168,75.652,76.537
"48","41","          Nondurable goods","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","42","            Commodity Credit Corporation inventory change","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","43","            Other nondurable goods","B828RG3",10.064,10.132,10.431,10.641,10.392,10.489,10.619,10.721,10.805,10.889,11.072,11.304,12.055,11.792,12.355,12.104,12.445,12.5,14.698,14.676,14.774,16.392,15.774,17.29,17.556,18.797,19.744,18.636,19.088,20.143,19.883,20.629,21.465,21.94,22.023,22.267,23.076,23.87,24.473,25.353,25.611
"51","44","          Services","A544RG3",7.066,6.728,5.999,5.144,4.537,4.937,5.733,6.156,6.757,7.119,7.431,6.763,7.175,7.704,7.042,6.87,7.241,8.925,10.959,12.179,12.038,11.845,12.449,13.133,13.544,13.714,14.141,14.428,15.238,15.198,14.868,15.224,15.333,15.896,16.35,17.018,17.498,17.939,18.711,19.586,20.857
"52","45","      Less: Own-account investment \4\","W136RG3",8.304,7.583,7.568,7.434,7.427,7.933,7.742,8.453,8.608,8.864,8.587,8.603,8.662,8.675,8.782,9.839,10.073,10.935,11.244,10.943,11.71,11.652,12.406,13.024,13.366,13.536,14.057,14.403,14.935,15.994,16.246,16.719,17.223,17.541,17.802,18.388,18.549,18.683,18.828,19.598,20.429
"53","46","      Less: Sales to other sectors","W137RG3",6.283,5.496,5.496,4.885,4.885,5.496,7.335,6.283,6.283,5.496,6.748,6.981,7.798,8.015,8.648,8.813,8.561,8.756,10.527,10.82,10.947,11.095,11.894,11.775,11.617,11.813,12.293,12.781,13.321,13.74,13.597,13.584,13.349,13.652,14.039,14.545,14.812,15.426,15.764,17.444,18.821
"54","47","State and local consumption expenditures \1\","A991RG3",3.39,3.36,3.238,3.023,3.039,3.214,3.294,3.212,3.301,3.302,3.27,3.317,3.482,3.771,4.017,4.195,4.365,4.787,5.344,5.986,6.097,6.236,6.729,7.075,7.294,7.542,7.751,8.127,8.496,8.755,9.004,9.296,9.642,9.925,10.192,10.425,10.763,11.316,11.986,12.748,13.621
"55","48","      Gross output of general government","W138RG3",3.422,3.382,3.251,3.035,3.024,3.183,3.272,3.165,3.255,3.257,3.235,3.284,3.438,3.719,3.991,4.176,4.34,4.766,5.289,5.895,5.989,6.132,6.61,6.931,7.14,7.371,7.568,7.921,8.275,8.522,8.746,9.04,9.358,9.619,9.867,10.092,10.411,10.924,11.529,12.241,13.069
"56","49","        Value added","W139RG3",2.625,2.635,2.593,2.447,2.435,2.533,2.583,2.515,2.575,2.626,2.621,2.663,2.748,2.921,3.144,3.339,3.503,3.817,4.276,4.824,4.942,5.051,5.463,5.781,5.978,6.218,6.407,6.737,7.059,7.299,7.438,7.728,8.06,8.336,8.602,8.83,9.143,9.646,10.276,11.001,11.8
"57","50","          Compensation of general government employees","B251RG3",2.285,2.32,2.318,2.231,2.183,2.24,2.303,2.206,2.265,2.324,2.328,2.373,2.413,2.5,2.682,2.92,3.097,3.368,3.729,4.218,4.358,4.506,4.811,5.12,5.338,5.615,5.802,6.063,6.374,6.643,6.781,7.096,7.44,7.711,7.976,8.203,8.507,8.993,9.62,10.329,11.093
"58","51","          Consumption of general government fixed capital \2\","B986RG3",7.394,6.943,6.217,5.153,5.71,6.426,6.254,6.666,6.727,6.637,6.5,6.501,7.213,8.569,9.352,8.964,8.914,9.829,11.695,13.02,12.727,12.113,14.163,14.496,14.278,13.822,13.971,15.307,15.707,15.377,15.494,15.29,15.331,15.594,15.812,15.977,16.354,16.979,17.491,18.277,19.406
"59","52","        Intermediate goods and services purchased \3\","W140RG3",7.264,6.883,6.218,5.643,5.643,6.098,6.372,6.09,6.314,6.106,6.012,6.097,6.556,7.35,7.831,7.893,8.01,8.973,9.702,10.448,10.358,10.654,11.383,11.617,11.822,11.901,12.079,12.442,12.854,13.054,13.717,13.938,14.064,14.157,14.218,14.36,14.623,15.06,15.388,15.88,16.688
"60","53","          Durable goods","B989RG3",11.319,11.192,10.476,10.116,10.522,12.036,11.774,12.319,12.475,12.772,12.562,12.796,13.217,13.571,12.828,12.625,12.985,14.474,17.11,18.672,18.947,19.572,21.573,21.961,22.04,22.532,24.461,25.607,24.857,24.862,24.765,25.132,26.088,26.05,26.534,27.133,27.583,28.774,29.642,30.908,32.186
"61","54","          Nondurable goods","B337RG3",8.93,8.504,7.544,6.636,6.659,7.243,7.914,7.175,7.639,7.155,7.063,7.267,7.921,9.042,9.633,9.715,9.856,11.486,12.623,13.913,12.927,13.36,14.721,14.489,14.551,14.495,14.528,14.942,15.513,15.258,14.716,14.844,14.945,15.009,15.089,15.186,15.516,16.085,16.343,16.783,17.407
"62","55","          Services","A988RG3",6.076,5.695,5.236,4.905,4.864,5.18,5.177,5.185,5.237,5.193,5.1,5.082,5.414,6.004,6.44,6.491,6.586,7.107,7.533,7.928,8.343,8.54,8.856,9.323,9.603,9.734,9.915,10.209,10.579,11.018,12.467,12.749,12.851,12.97,12.997,13.148,13.356,13.672,14.012,14.492,15.372
"63","56","      Less: Own-account investment \4\","W144RG3",4.833,4.847,4.948,5.117,4.313,4.232,4.363,4.052,4.164,4.217,4.235,4.327,4.421,4.678,5.903,8.418,8.713,8.177,7.943,8.491,8.512,8.878,9.481,9.892,10.348,10.952,11.357,11.822,12.458,12.917,12.596,12.878,13.14,13.331,13.53,13.684,13.98,14.452,14.993,15.724,16.65
"64","57","      Less: Sales to other sectors","W145RG3",3.811,3.635,3.349,3.042,2.966,3.21,3.39,3.392,3.512,3.377,3.309,3.325,3.564,3.94,4.145,4.245,4.373,4.924,5.259,5.63,5.594,5.765,6.165,6.311,6.429,6.503,6.609,6.806,7.047,7.204,7.357,7.7,7.859,8.013,8.172,8.373,8.61,8.933,9.226,9.703,10.323
"65","58","        Tuition and related educational charges","B1065G3",2.107,2.107,2.01,1.913,1.768,1.816,1.792,1.816,1.865,1.865,1.865,1.865,1.913,2.01,2.18,2.325,2.446,2.615,2.768,2.92,2.955,3.021,3.154,3.173,3.191,3.27,3.361,3.482,3.561,3.609,3.792,3.89,3.989,4.133,4.277,4.448,4.641,4.881,5.125,5.436,5.799
"66","59","        Health and hospital charges","B1066G3",1.654,1.55,1.479,1.373,1.303,1.373,1.444,1.479,1.514,1.514,1.514,1.515,1.585,1.725,1.831,1.972,2.147,2.463,3,3.243,3.303,3.442,3.714,3.899,4.049,4.137,4.27,4.385,4.607,4.816,4.964,5.622,5.774,5.896,6.087,6.352,6.54,6.743,7.172,7.665,8.199
"67","60","        Other sales \5\","W146RG3",8.261,7.857,6.951,6.11,6.157,6.834,7.326,7.234,7.546,7.067,6.837,6.888,7.491,8.374,8.757,8.817,8.932,10.069,10.443,11.171,11.003,11.317,12.107,12.34,12.53,12.624,12.761,13.142,13.567,13.766,13.939,14.166,14.413,14.645,14.823,15.04,15.41,15.98,16.227,16.891,17.904
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","(construction, software, and research and development).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","2. Consumption of fixed capital, or depreciation, is included in government gross output as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","a partial measure of the services of general government fixed assets; the use of depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","assumes a zero net return on these assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","3. Includes general government intermediate inputs for goods and services sold to other sectors and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","for own-account investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","4. Own-account investment is measured in current dollars by compensation of general government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
