"","Table 1#2#3# Real Gross Domestic Product by Major Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","3","       Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","4","Goods","A353RA3",11.268,11.157,11.015,11.248,11.55,11.639,11.705,11.65,11.315,11.117,11.293,11.011,11.657,11.978,12.794,13.019,12.942,13.029,13.196,13.157,13.117,12.815,12.939,13.615,13.862,13.934,13.861,13.389,13.298,13.339,13.461,13.891,14.471,15.035,15.304,15.47,15.314,15.349,15.378,15.614,15.757,15.674,15.925,15.263,14.654,14.645,15.138,15.561,15.936,16.45,16.277,16.412,17.195,16.908,17.011,16.261,16.405,16.876,17.348,17.69,18.126,18.124,18.36,18.308,18.747,18.869,19.237,19.351,19.855,20.147,20.64,20.636,21.516,21.574,22.123,22.822,23.802,23.719,23.953,24.347,24.238,24.02,24.144,24.112,24.658,25.219,25.333,25.258,26.052,25.857
"13","5","    Final sales","A325RA3",10.993,11.049,11.093,11.016,11.07,10.921,10.906,11.001,11.065,11.23,11.148,11.161,11.266,11.496,12.215,11.742,12.056,11.842,12.31,12.605,12.517,12.615,12.3,12.951,13.264,13.341,13.376,13.207,13.088,13.208,13.29,13.616,13.898,14.341,14.636,14.689,14.611,14.744,14.825,15.082,15.305,15.183,15.357,15.048,14.498,14.462,14.664,14.945,15.32,15.545,15.834,15.713,16.07,16.292,16.284,16.187,16.146,16.323,16.474,16.886,17.088,17.307,17.477,17.601,17.772,18.061,18.369,18.593,19.055,19.353,19.778,19.764,20.226,20.475,20.931,21.741,22.305,22.281,22.586,22.692,22.657,22.971,22.936,22.965,23.505,23.671,24.186,24.223,24.685,24.607
"14","6","    Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","7","  Durable goods","A354RA3",6.494,6.372,6.432,6.335,6.688,6.373,6.411,6.473,6.294,6.153,6.609,6.071,6.442,7.095,8.011,8.183,7.899,8.057,8.225,7.985,8.018,7.659,7.329,8.444,8.872,8.914,9.009,8.159,7.829,7.973,8.053,8.47,9.11,9.724,9.867,9.927,9.656,9.573,9.471,9.863,9.982,9.943,10.06,9.368,8.396,8.318,8.766,9.284,9.927,10.426,10.026,10.067,11.072,10.491,10.617,9.834,9.588,10.161,10.868,11.199,11.66,11.591,11.977,11.81,12.09,12.396,12.739,12.847,13.413,13.589,14.043,13.895,15.062,14.91,15.525,15.659,17.018,16.821,17.275,17.517,16.916,16.804,16.929,17.137,17.305,17.665,17.879,18.211,18.768,18.321
"16","8","    Final sales","A326RA3",5.939,5.892,5.876,5.997,6.138,5.918,5.939,5.977,5.93,6.125,6.129,6.095,6.131,6.351,7.317,6.814,7.031,6.77,7.08,7.339,7.354,7.377,6.849,7.645,8.038,8.135,8.234,7.945,7.682,7.843,7.793,8.025,8.351,8.785,9.071,8.979,8.728,8.848,8.906,9.134,9.33,9.168,9.267,9.017,8.405,8.277,8.345,8.623,9.053,9.253,9.499,9.254,9.604,9.839,9.858,9.677,9.534,9.699,9.898,10.281,10.492,10.699,10.857,11.026,11.142,11.394,11.7,11.978,12.298,12.488,12.801,12.788,13.384,13.521,13.98,14.487,15.181,15.016,15.365,15.523,15.343,15.628,15.574,15.617,16.039,16.13,16.59,16.626,17.172,16.92
"17","9","    Change in private inventories \1\","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","10","  Nondurable goods","A356RA3",20.664,20.578,20.03,20.917,21.117,22.013,22.139,21.843,21.204,20.899,20.478,20.755,21.941,21.527,22.07,22.393,22.763,22.692,22.843,23.235,23.042,22.885,23.974,23.658,23.498,23.625,23.2,23.578,24.009,23.824,24.023,24.449,24.85,25.256,25.772,26.154,26.267,26.562,26.882,26.739,26.92,26.747,27.27,26.757,27.049,27.2,27.733,27.887,27.606,28.091,28.459,28.791,28.965,29.383,29.423,28.841,29.848,30.033,29.914,30.238,30.566,30.715,30.587,30.8,31.546,31.239,31.62,31.735,32.045,32.564,33.095,33.411,33.57,34.084,34.437,36.298,36.375,36.54,36.286,36.973,37.917,37.491,37.603,37.065,38.369,39.314,39.209,38.278,39.513,39.864
"19","11","    Final sales","A334RA3",21.325,21.605,21.775,21.271,21.134,21.144,21.053,21.27,21.579,21.659,21.39,21.512,21.761,21.986,22.033,21.693,22.194,22.115,22.891,23.234,22.917,23.178,23.394,23.63,23.724,23.741,23.621,23.752,23.984,23.992,24.372,24.873,25.016,25.421,25.696,26.084,26.432,26.574,26.697,26.981,27.229,27.227,27.555,27.157,26.852,27.046,27.542,27.781,27.953,28.201,28.543,28.748,29.059,29.209,29.14,29.262,29.476,29.651,29.662,30.073,30.219,30.429,30.599,30.593,30.872,31.2,31.465,31.524,32.253,32.764,33.39,33.38,33.453,33.93,34.317,35.724,35.918,36.216,36.387,36.362,36.661,37.005,37.016,37.01,37.756,38.073,38.653,38.691,38.913,39.235
"20","12","    Change in private inventories \1\","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","13","Services \2\","A341RA3",13.087,13.267,13.187,12.989,13.007,13.221,13.3,13.542,13.686,13.844,13.753,13.654,13.78,14.05,14.027,14.509,15.234,15.955,16.646,16.803,17.178,17.666,17.779,17.953,18.271,18.496,18.426,18.378,18.196,18.079,18.227,18.331,18.491,18.354,18.641,18.773,18.8,19.044,18.986,19.442,19.535,19.615,19.743,20.135,19.772,20.142,20.358,20.551,20.651,20.997,21.186,21.383,21.268,21.597,21.596,21.883,21.912,22.35,22.416,22.817,23.16,23.576,23.743,24.03,24.013,24.281,24.708,24.909,25.221,25.567,25.713,25.961,26.214,26.708,27.128,27.646,27.854,28.512,28.73,29.102,29.814,29.987,30.285,30.656,31.287,31.662,31.977,32.291,32.355,32.832
"22","14","Structures","A755RA3",24.389,24,26.241,29.223,29.318,30.994,31.086,30.141,29.274,29.505,31.137,32.863,35.083,37.71,39.461,38.734,38.074,36.745,35.872,35.8,36.737,37.151,37.162,38.706,39.632,39.72,39.16,39.701,40.632,41.482,42.753,43.733,45.903,46.588,46.114,45.389,45.479,46.138,45.99,45.721,45.806,45.227,45.09,45.271,45.185,44.63,46.024,48.753,51.136,52.285,51.821,50.198,51.713,50.455,50.357,51.157,52.186,50.913,52.328,54.004,54.227,55.6,55.915,55.761,56.279,58.866,60.46,60.929,63.406,63.063,63.27,62.898,63.838,66.16,67.389,68.095,69.553,66.706,66.311,63.571,63.668,65.006,66.12,67.957,68.627,69.64,70.049,70.767,71.666,71.374
"23",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","15","  Motor vehicle output","A953RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.228,41.701,40.889,41.364,48.128,50.701,49.029,50.881,51.763,47.384
"25","16","  Gross domestic product excluding motor vehicle output","A962RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.919,29.864,30.155,30.393,30.829,31.297,31.586,31.677,32.166,32.405
"26","17","  Final sales of computers \3\","BB01RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","18","  Gross domestic product excluding final sales of computers","BB00RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","19","  Gross domestic purchases excluding final sales of computers to domestic purchasers","BB05RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","20","  Research and development","Y694RA3",4.144,4.18,4.251,4.35,4.445,4.528,4.578,4.563,4.457,4.427,4.468,4.555,4.763,4.929,5.042,5.083,5.019,5.064,5.181,5.412,5.774,6.06,6.38,6.732,6.993,7.25,7.478,7.686,7.896,8.046,8.14,8.255,8.263,8.566,9.026,9.714,10.572,11.306,11.861,12.294,12.494,12.718,12.959,13.159,13.33,13.474,13.772,14.054,14.302,14.587,14.775,15.051,15.566,16.058,16.378,16.644,17.008,17.506,17.953,18.348,18.696,19.2,19.758,20.442,21.286,22.055,22.715,23.207,23.615,24.052,24.46,24.877,25.392,25.963,26.602,27.38,28.169,28.905,29.554,30.072,30.489,30.833,31.196,31.554,31.944,32.277,32.56,32.834,33.02,33.12
"30","21","  Gross domestic product excluding research and development","Y695RA3",13.7,13.683,13.667,13.881,14.084,14.312,14.391,14.407,14.212,14.165,14.321,14.188,14.753,15.199,15.787,16.094,16.318,16.603,16.944,16.974,17.144,17.171,17.286,17.849,18.176,18.311,18.2,17.913,17.823,17.837,18.039,18.392,18.924,19.227,19.474,19.571,19.466,19.606,19.571,19.884,20.008,19.956,20.146,19.929,19.396,19.522,19.974,20.442,20.823,21.331,21.284,21.36,21.83,21.73,21.775,21.497,21.635,22.031,22.394,22.846,23.257,23.498,23.71,23.783,24.029,24.327,24.794,24.961,25.504,25.802,26.15,26.233,26.883,27.244,27.793,28.444,29.143,29.244,29.44,29.685,29.953,29.97,30.226,30.466,31.092,31.623,31.849,31.987,32.493,32.597
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","1. Prior to 1959, inventories held by construction establishments are included in nondurable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","goods. Beginning with 1959, these inventories are included in durable goods.  Estimates for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","durable goods and nondurable goods for 1996 and earlier periods are based on the 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Standard Industrial Classification (SIC); later estimates for these industries are based on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2. Includes government consumption expenditures, which are for services (such as education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","and national defense) produced by government. In current dollars, these services are valued",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","at their cost of production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","3. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
