"","Table 2#4#6# Real Personal Consumption Expenditures by Type of P","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"43","25","  Nondurable goods","DNDGRX1","1,805,974.0","1,863,598.0","1,896,024.0","1,931,107.0","1,998,542.0","2,063,650.0","2,132,331.0","2,202,167.0","2,239,326.0","2,214,659.0","2,175,126.0","2,223,535.0","2,265,971.0","2,296,795.0"
"44","26","    Food and beverages purchased for off-premises consumption","DFXARX1","668,124.0","684,549.0","693,975.0","697,031.0","713,257.0","729,766.0","757,613.0","780,821.0","791,281.0","781,866.0","769,958.0","786,471.0","798,831.0","809,381.0"
"45","27","      Food and nonalcoholic beverages purchased for off-premises consumption (4)","DTFDRX1","580,868.0","591,339.0","597,417.0","598,825.0","615,173.0","629,887.0","655,296.0","673,595.0","682,409.0","673,718.0","663,426.0","673,999.0","682,506.0","689,401.0"
"46","28","      Alcoholic beverages purchased for off-premises consumption (5)","DAOPRX1","87,062.0","92,879.0","96,181.0","97,737.0","97,780.0","99,563.0","102,005.0","106,768.0","108,520.0","107,773.0","106,138.0","112,123.0","116,105.0","119,695.0"
"47","29","      Food produced and consumed on farms (6)","DFFDRX1","433.0","372.0","314.0","346.0","296.0","327.0","367.0","450.0","356.0","378.0","394.0","350.0","277.0","403.0"
"48","30","    Clothing and footwear","DCLORX1","243,190.0","254,958.0","257,369.0","265,228.0","278,318.0","291,162.0","306,770.0","317,445.0","323,901.0","322,312.0","306,499.0","322,664.0","334,950.0","338,872.0"
"49","31","      Garments","DGARRX1","193,812.0","203,219.0","205,428.0","212,383.0","222,747.0","232,830.0","245,574.0","252,655.0","256,617.0","256,081.0","244,349.0","258,093.0","267,020.0","269,316.0"
"50","32","        Women's and girls' clothing (10)","DWGCRX1","110,947.0","118,048.0","119,770.0","124,422.0","130,769.0","137,524.0","146,003.0","150,041.0","152,667.0","152,958.0","145,820.0","154,196.0","159,464.0","162,128.0"
"51","33","        Men's and boys' clothing (11)","DMBCRX1","73,354.0","75,212.0","75,199.0","76,931.0","79,765.0","81,740.0","84,453.0","86,262.0","86,245.0","85,150.0","81,471.0","86,141.0","88,899.0","88,847.0"
"52","34","        Children's and infants' clothing (12)","DCICRX1","9,553.0","10,025.0","10,528.0","11,095.0","12,262.0","13,599.0","15,147.0","16,378.0","17,715.0","17,974.0","17,058.0","17,757.0","18,660.0","18,342.0"
"53","35","      Other clothing materials and footwear (13 and 17)","DOCCRX1","49,416.0","51,775.0","51,935.0","52,756.0","55,489.0","58,267.0","61,106.0","64,768.0","67,313.0","66,237.0","62,149.0","64,580.0","67,926.0","69,551.0"
"54","36","    Gasoline and other energy goods","DGOERX1","302,321.0","294,435.0","294,152.0","296,443.0","296,758.0","299,290.0","297,997.0","297,429.0","296,838.0","283,403.0","284,500.0","282,220.0","275,221.0","271,468.0"
"55","37","      Motor vehicle fuels, lubricants, and fluids (59)","DMFLRX1","270,280.0","265,791.0","265,666.0","267,088.0","267,168.0","270,871.0","273,001.0","273,979.0","273,161.0","262,410.0","260,229.0","259,852.0","255,423.0","253,728.0"
"56","38","      Fuel oil and other fuels (29)","DFULRX1","33,472.0","29,394.0","29,213.0","30,207.0","30,482.0","29,068.0","25,214.0","23,553.0","23,803.0","21,107.0","24,271.0","22,359.0","19,780.0","17,705.0"
"57","39","    Other nondurable goods","DONGRX1","605,825.0","636,117.0","656,047.0","675,748.0","709,548.0","740,594.0","765,910.0","803,343.0","825,151.0","828,317.0","814,169.0","832,974.0","861,569.0","885,073.0"
"58","40","      Pharmaceutical and other medical products (40 and 41)","DPHMRX1","192,569.0","210,711.0","229,041.0","242,646.0","259,517.0","270,842.0","276,699.0","295,762.0","309,714.0","315,001.0","320,866.0","322,427.0","329,500.0","334,501.0"
"59","41","      Recreational items (parts of 80, 92, and 93)","DREIRX1","78,047.0","84,277.0","87,654.0","93,126.0","98,421.0","103,828.0","113,618.0","120,665.0","127,022.0","127,747.0","123,833.0","131,994.0","139,292.0","150,651.0"
"60","42","      Household supplies (parts of 32 and 36)","DHOURX1","87,800.0","88,591.0","89,128.0","91,210.0","97,589.0","102,187.0","106,075.0","109,234.0","110,985.0","110,150.0","105,169.0","109,494.0","114,093.0","118,208.0"
"61","43","      Personal care products (part of 118)","DOPCRX1","68,657.0","72,030.0","73,976.0","76,309.0","81,642.0","87,090.0","92,379.0","97,640.0","101,432.0","103,198.0","100,088.0","105,751.0","111,770.0","115,358.0"
"62","44","      Tobacco (127)","DTOBRX1","121,383.0","118,491.0","116,334.0","110,693.0","109,366.0","112,189.0","111,021.0","113,426.0","110,689.0","106,849.0","99,520.0","95,836.0","94,417.0","92,828.0"
"63","45","      Magazines, newspapers, and stationery (part of 90)","DNEWRX1","62,752.0","65,066.0","62,541.0","61,518.0","61,603.0","63,123.0","63,368.0","63,602.0","61,326.0","60,724.0","58,174.0","62,283.0","67,068.0","69,616.0"
"64","46","      Net expenditures abroad by U.S. residents (131)","DNFRRX1","6,252.0","7,233.0","7,726.0","8,330.0","7,519.0","6,653.0","5,964.0","5,631.0","5,247.0","5,124.0","6,519.0","5,743.0","6,837.0","6,714.0"
"65","47","Services","DSERRX1","5,344,758.0","5,611,558.0","5,736,252.0","5,839,992.0","5,965,617.0","6,154,108.0","6,349,438.0","6,519,763.0","6,650,409.0","6,700,632.0","6,644,495.0","6,727,177.0","6,871,126.0","6,982,672.0"
"66","48","  Household consumption expenditures (for services)","DHCERX1","5,205,822.0","5,459,377.0","5,568,165.0","5,649,906.0","5,761,719.0","5,946,686.0","6,143,369.0","6,284,954.0","6,409,210.0","6,427,132.0","6,368,478.0","6,448,877.0","6,592,033.0","6,689,389.0"
"67","49","    Housing and utilities","DHUTRX1","1,550,457.0","1,600,525.0","1,643,038.0","1,653,822.0","1,675,982.0","1,717,906.0","1,788,366.0","1,823,187.0","1,840,778.0","1,860,103.0","1,880,993.0","1,904,255.0","1,928,407.0","1,943,596.0"
"68","50","      Housing","DHSGRX1","1,278,014.0","1,320,482.0","1,364,684.0","1,369,915.0","1,387,685.0","1,428,441.0","1,493,593.0","1,533,637.0","1,547,242.0","1,571,134.0","1,591,571.0","1,608,746.0","1,637,006.0","1,658,413.0"
"69","51","        Rental of tenant-occupied nonfarm housing (20)","DTENRX1","303,605.0","306,394.0","312,150.0","309,860.0","300,298.0","301,553.0","306,832.0","316,593.0","334,643.0","343,922.0","359,679.0","372,122.0","395,181.0","411,744.0"
"70","52","        Imputed rental of owner-occupied nonfarm housing (21)","DOWNRX1","956,125.0","993,032.0","1,031,359.0","1,038,855.0","1,065,493.0","1,104,749.0","1,164,320.0","1,194,594.0","1,190,394.0","1,205,093.0","1,209,860.0","1,214,643.0","1,219,840.0","1,224,550.0"
"71","53","        Rental value of farm dwellings (22)","DFARRX1","17,936.0","20,962.0","20,821.0","20,809.0","20,963.0","20,861.0","20,877.0","20,869.0","20,845.0","20,792.0","20,713.0","20,638.0","20,515.0","20,397.0"
"72","54","        Group housing (23)","DGRHRX1","1,265.0","1,256.0","1,204.0","1,094.0","1,138.0","1,141.0","1,143.0","1,191.0","1,280.0","1,296.0","1,319.0","1,341.0","1,430.0","1,613.0"
"73","55","      Household utilities","DUTLRX1","274,311.0","281,783.0","279,025.0","285,101.0","289,597.0","290,059.0","294,878.0","289,380.0","293,372.0","288,923.0","289,422.0","295,494.0","291,503.0","285,333.0"
"74","56","        Water supply and sanitation (25)","DWRSRX1","75,937.0","76,702.0","77,418.0","78,187.0","78,179.0","76,563.0","75,882.0","77,307.0","76,407.0","76,260.0","74,289.0","73,361.0","73,445.0","72,842.0"
"75","57","        Electricity and gas","DELGRX1","198,479.0","205,185.0","201,789.0","207,059.0","211,532.0","213,550.0","218,958.0","212,281.0","216,994.0","212,784.0","215,133.0","222,216.0","218,043.0","212,327.0"
"76","58","          Electricity (27)","DELCRX1","142,644.0","147,544.0","144,794.0","151,501.0","154,041.0","157,036.0","164,161.0","160,257.0","162,590.0","160,175.0","157,008.0","166,504.0","163,375.0","160,133.0"
"77","59","          Natural gas (28)","DGHERX1","55,171.0","56,952.0","56,291.0","55,024.0","56,888.0","56,184.0","55,258.0","52,760.0","54,899.0","53,255.0","58,125.0","55,666.0","54,623.0","52,018.0"
"78","60","    Health care","DHLCRX1","1,178,313.0","1,218,812.0","1,279,578.0","1,355,577.0","1,392,522.0","1,442,266.0","1,490,444.0","1,525,245.0","1,563,233.0","1,598,825.0","1,627,380.0","1,649,189.0","1,693,290.0","1,738,367.0"
"79","61","      Outpatient services","DOUTRX1","516,506.0","540,882.0","571,505.0","609,847.0","638,902.0","668,251.0","691,311.0","708,073.0","721,317.0","742,214.0","744,742.0","751,418.0","769,200.0","788,861.0"
"80","62","        Physician services (44)","DPHYRX1","254,139.0","269,993.0","285,491.0","308,785.0","329,038.0","347,750.0","363,008.0","375,442.0","378,474.0","392,989.0","392,838.0","393,180.0","402,207.0","412,261.0"
"81","63","        Dental services (45)","DDENRX1","91,796.0","95,422.0","100,000.0","104,353.0","103,233.0","105,288.0","105,256.0","104,181.0","105,020.0","105,006.0","102,080.0","101,693.0","101,556.0","101,735.0"
"82","64","        Paramedical services (46)","DPMSRX1","173,145.0","177,824.0","188,352.0","198,687.0","207,725.0","215,972.0","223,435.0","228,581.0","237,921.0","244,243.0","249,824.0","256,565.0","265,508.0","275,023.0"
"83","65","      Hospital and nursing home services","DHPNRX1","664,975.0","680,253.0","710,010.0","747,243.0","754,019.0","774,010.0","799,093.0","817,113.0","841,930.0","856,569.0","882,638.0","897,762.0","924,059.0","949,459.0"
"84","66","        Hospitals (51)","DHSPRX1","539,707.0","554,870.0","584,340.0","619,857.0","621,823.0","639,792.0","661,363.0","677,462.0","698,216.0","711,025.0","736,583.0","748,414.0","771,603.0","799,195.0"
"85","67","        Nursing homes (52)","DNRSRX1","125,307.0","125,350.0","125,654.0","127,468.0","132,247.0","134,260.0","137,764.0","139,665.0","143,725.0","145,551.0","146,055.0","149,353.0","152,449.0","150,178.0"
"86","68","    Transportation services","DTRSRX1","317,464.0","332,782.0","330,532.0","320,820.0","322,948.0","331,523.0","334,702.0","335,529.0","339,008.0","321,283.0","289,695.0","287,109.0","294,311.0","297,989.0"
"87","69","      Motor vehicle services","DMVSRX1","240,544.0","249,329.0","248,381.0","238,213.0","238,040.0","242,377.0","247,594.0","249,174.0","251,243.0","238,550.0","210,421.0","210,581.0","218,719.0","223,370.0"
"88","70","        Motor vehicle maintenance and repair (60)","DVMRRX1","169,713.0","174,815.0","177,456.0","175,021.0","178,457.0","180,482.0","182,370.0","177,528.0","177,204.0","165,401.0","149,221.0","149,497.0","155,643.0","157,179.0"
"89","71","        Other motor vehicle services (61)","DOVSRX1","69,802.0","73,292.0","70,152.0","63,019.0","59,718.0","61,967.0","65,237.0","71,600.0","74,017.0","73,217.0","61,200.0","61,081.0","63,050.0","66,311.0"
"90","72","      Public transportation","DPUBRX1","77,436.0","83,592.0","82,374.0","82,710.0","85,005.0","89,224.0","87,260.0","86,554.0","87,940.0","82,925.0","79,274.0","76,579.0","75,846.0","75,075.0"
"91","73","        Ground transportation (63)","DGRDRX1","31,014.0","32,461.0","34,061.0","32,946.0","32,154.0","33,775.0","34,443.0","36,040.0","36,480.0","36,234.0","34,538.0","34,123.0","34,756.0","32,904.0"
"92","74","        Air transportation (64)","DAITRX1","45,281.0","49,385.0","46,756.0","47,914.0","50,559.0","52,965.0","50,367.0","48,054.0","48,847.0","44,153.0","42,196.0","39,774.0","38,308.0","39,053.0"
"93","75","        Water transportation (65)","DWATRX1","1,309.0","1,557.0","1,786.0","1,858.0","2,087.0","2,249.0","2,255.0","2,349.0","2,477.0","2,545.0","2,539.0","2,699.0","2,857.0","3,151.0"
"94","76","    Recreation services","DRCARX1","316,826.0","325,956.0","325,423.0","327,300.0","338,353.0","355,787.0","364,675.0","377,427.0","392,074.0","388,972.0","376,000.0","380,956.0","388,797.0","394,383.0"
"95","77","      Membership clubs, sports centers, parks, theaters, and museums (82)","DRLSRX1","117,708.0","118,420.0","117,023.0","117,767.0","120,896.0","125,477.0","130,734.0","136,102.0","142,413.0","142,010.0","137,924.0","141,255.0","147,064.0","149,524.0"
"96","78","      Audio-video, photographic, and information processing equipment services (parts of 77 and 93)","DAVPRX1","84,528.0","88,012.0","88,858.0","86,240.0","86,970.0","90,626.0","89,072.0","89,440.0","93,169.0","94,460.0","93,555.0","95,122.0","96,912.0","97,179.0"
"97","79","      Gambling (91)","DGAMRX1","80,261.0","84,166.0","84,813.0","88,323.0","94,728.0","102,331.0","106,005.0","111,388.0","113,783.0","109,796.0","105,010.0","103,847.0","103,911.0","105,113.0"
"98","80","      Other recreational services (81, 94, and part of 92)","DOTRRX1","34,330.0","35,249.0","34,516.0","34,772.0","35,554.0","37,135.0","38,743.0","40,411.0","42,660.0","42,711.0","39,511.0","40,740.0","41,001.0","42,655.0"
"99","81","    Food services and accommodations","DFSARX1","511,361.0","534,650.0","533,653.0","541,717.0","561,600.0","584,207.0","605,102.0","624,667.0","632,592.0","626,109.0","600,334.0","609,606.0","634,037.0","656,782.0"
"100","82","      Food services","DFSERX1","450,339.0","470,196.0","473,866.0","480,673.0","496,728.0","514,894.0","529,470.0","544,539.0","550,410.0","541,889.0","517,914.0","525,172.0","546,543.0","565,208.0"
"101","83","        Purchased meals and beverages (102)","DPMBRX1","438,747.0","458,455.0","461,973.0","468,652.0","484,231.0","501,960.0","515,414.0","528,952.0","534,455.0","526,250.0","502,315.0","510,269.0","530,737.0","549,564.0"
"102","84","        Food furnished to employees (including military) (103)","DFOORX1","11,584.0","11,739.0","11,890.0","12,018.0","12,494.0","12,931.0","14,053.0","15,586.0","15,953.0","15,637.0","15,599.0","14,909.0","15,807.0","15,661.0"
"103","85","      Accommodations (104)","DACCRX1","61,706.0","65,105.0","60,896.0","62,140.0","65,902.0","70,249.0","76,266.0","80,587.0","82,537.0","84,291.0","82,420.0","84,434.0","87,495.0","91,575.0"
"104","86","    Financial services and insurance","DIFSRX1","598,668.0","659,236.0","645,974.0","641,679.0","643,080.0","668,733.0","704,086.0","720,065.0","742,536.0","737,423.0","718,955.0","733,929.0","755,965.0","746,020.0"
"105","87","      Financial services","DFNLRX1","340,772.0","385,568.0","371,757.0","372,551.0","371,807.0","389,890.0","408,537.0","424,953.0","442,788.0","445,544.0","452,240.0","453,241.0","463,554.0","446,883.0"
"106","88","        Financial services furnished without payment (107)","DIMPRX1","187,549.0","195,259.0","188,372.0","184,941.0","182,584.0","193,978.0","201,831.0","199,625.0","207,447.0","211,659.0","229,379.0","235,482.0","246,121.0","230,549.0"
"107","89","        Financial service charges, fees, and commissions (108)","DOFIRX1","153,092.0","189,723.0","182,820.0","187,313.0","189,096.0","195,554.0","206,461.0","226,199.0","236,312.0","234,579.0","222,861.0","217,688.0","217,308.0","216,280.0"
"108","90","      Insurance","DINSRX1","262,581.0","275,917.0","277,792.0","272,060.0","274,459.0","281,717.0","298,821.0","297,580.0","301,699.0","293,063.0","266,715.0","280,737.0","292,472.0","299,291.0"
"109","91","        Life insurance (110)","DLIFRX1","79,908.0","84,993.0","80,742.0","71,233.0","70,461.0","80,457.0","84,958.0","88,011.0","88,831.0","88,805.0","80,020.0","85,773.0","97,281.0","98,608.0"
"110","92","        Net household insurance (111)","DFINRX1","6,197.0","6,174.0","6,146.0","5,877.0","6,103.0","6,617.0","6,730.0","6,487.0","7,744.0","8,293.0","7,340.0","7,395.0","7,553.0","7,406.0"
"111","93","        Net health insurance (112)","DHINRX1","122,740.0","130,993.0","136,393.0","141,809.0","145,111.0","138,122.0","147,341.0","143,645.0","140,456.0","132,048.0","119,390.0","130,227.0","132,827.0","140,293.0"
"112","94","        Net motor vehicle and other transportation insurance (116)","DTINRX1","53,741.0","53,989.0","54,912.0","54,019.0","53,869.0","56,906.0","60,246.0","59,730.0","64,787.0","63,912.0","59,966.0","57,317.0","54,983.0","53,116.0"
"113","95","    Other services","DOTSRX1","733,459.0","783,488.0","810,033.0","810,740.0","830,081.0","848,438.0","856,597.0","879,353.0","898,672.0","894,253.0","875,121.0","883,779.0","896,727.0","911,946.0"
"114","96","      Communication","DCOMRX1","130,000.0","148,854.0","156,788.0","159,277.0","163,635.0","171,940.0","178,902.0","191,338.0","210,646.0","221,555.0","217,855.0","227,029.0","241,171.0","254,072.0"
"115","97","        Telecommunication services (71)","DTCSRX1","113,688.0","126,381.0","133,719.0","133,444.0","133,582.0","138,388.0","144,783.0","151,505.0","153,350.0","156,101.0","149,587.0","153,243.0","159,997.0","164,385.0"
"116","98","        Postal and delivery services (68)","DPSSRX1","14,107.0","14,012.0","13,094.0","12,161.0","11,963.0","12,162.0","12,315.0","13,003.0","12,919.0","13,289.0","12,008.0","11,218.0","9,787.0","9,094.0"
"117","99","        Internet access (72)","DINTRX1","7,739.0","13,061.0","14,231.0","16,959.0","20,402.0","23,183.0","23,749.0","28,131.0","44,245.0","52,118.0","56,260.0","62,576.0","71,499.0","80,771.0"
"118","100","      Education services","DTEDRX1","213,808.0","221,295.0","225,384.0","220,307.0","218,826.0","214,333.0","214,202.0","216,368.0","219,462.0","220,463.0","219,859.0","224,950.0","228,704.0","231,034.0"
"119","101","        Higher education (97)","DHEDRX1","134,750.0","140,370.0","144,257.0","141,668.0","142,723.0","140,676.0","141,561.0","143,233.0","144,494.0","145,159.0","146,658.0","150,445.0","154,395.0","157,442.0"
"120","102","        Nursery, elementary, and secondary schools (98)","DNEHRX1","40,098.0","39,872.0","40,010.0","39,287.0","38,192.0","37,175.0","36,300.0","36,014.0","36,178.0","35,767.0","34,815.0","33,981.0","34,490.0","34,100.0"
"121","103","        Commercial and vocational schools (99)","DVEDRX1","38,488.0","40,647.0","40,825.0","39,118.0","37,841.0","36,467.0","36,371.0","37,150.0","38,781.0","39,523.0","38,386.0","40,523.0","39,794.0","39,426.0"
"122","104","      Professional and other services (121)","DPRSRX1","161,768.0","162,727.0","166,044.0","166,306.0","172,366.0","172,041.0","171,812.0","172,823.0","174,929.0","172,073.0","161,543.0","158,235.0","156,161.0","155,932.0"
"123","105","      Personal care and clothing services (14 and parts of 17 and 118)","DPERRX1","103,186.0","108,250.0","107,667.0","109,297.0","112,492.0","117,265.0","119,506.0","120,756.0","120,383.0","117,746.0","109,887.0","112,549.0","114,901.0","117,362.0"
"124","106","      Social services and religious activities (120)","DSOCRX1","99,737.0","104,036.0","110,124.0","112,849.0","116,096.0","119,618.0","122,252.0","125,411.0","129,584.0","131,895.0","133,185.0","136,370.0","138,041.0","139,542.0"
"125","107","      Household maintenance (parts of 31, 33, and 36)","DHHMRX1","61,668.0","63,636.0","60,844.0","59,070.0","60,566.0","63,700.0","64,144.0","64,579.0","66,406.0","65,980.0","60,332.0","58,479.0","60,712.0","63,535.0"
"126","108","      Net foreign travel","DFORRX1","-19,497.0","-13,530.0","-8,019.0","-10,021.0","-9,158.0","-7,797.0","-12,613.0","-11,527.0","-23,116.0","-35,382.0","-27,539.0","-33,745.0","-42,127.0","-47,714.0"
"127","109","        Foreign travel by U.S. residents (129)","DFTRRX1","104,047.0","115,480.0","108,805.0","102,003.0","97,530.0","107,900.0","107,193.0","108,722.0","105,087.0","102,514.0","97,933.0","98,044.0","96,298.0","98,405.0"
"128","110","        Less: Expenditures in the United States by nonresidents (130)","DEXFRX1","123,544.0","129,010.0","116,824.0","112,024.0","106,689.0","115,696.0","119,806.0","120,249.0","128,204.0","137,897.0","125,472.0","131,789.0","138,425.0","146,119.0"
