"","Table 1#8#6# Command-Basis Real Gross Domestic Product and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182"
"31","11","  Command-basis net domestic product \4\","C362RX1","4,376,168.0","4,381,855.0","4,406,492.0","4,378,883.0","4,362,152.0","4,364,386.0","4,395,429.0","4,336,981.0","4,466,459.0","4,488,548.0","4,519,093.0","4,526,919.0","4,612,699.0","4,723,403.0","4,764,613.0","4,854,281.0","4,974,343.0","5,011,379.0","4,977,711.0","5,029,081.0","4,934,047.0","4,915,965.0","4,848,028.0","4,822,906.0","4,756,318.0","4,792,311.0","4,886,011.0","4,958,773.0","5,080,439.0","5,117,466.0","5,136,198.0","5,182,751.0","5,233,089.0","5,326,787.0","5,408,621.0","5,427,950.0","5,430,123.0","5,659,850.0","5,708,719.0","5,798,881.0","5,790,933.0","5,782,144.0","5,794,579.0","5,773,393.0","5,742,939.0","5,582,571.0","5,563,567.0","5,683,182.0","5,806,223.0","5,752,927.0","5,835,449.0","5,750,730.0","5,635,647.0","5,670,743.0","5,642,914.0","5,644,883.0","5,737,648.0","5,887,255.0","6,017,275.0","6,164,298.0","6,298,882.0","6,413,879.0","6,482,128.0","6,535,738.0","6,606,995.0","6,661,988.0","6,761,024.0","6,794,388.0","6,851,132.0","6,897,835.0","6,952,077.0","6,971,641.0","7,008,498.0","7,076,462.0","7,131,754.0","7,259,224.0","7,291,730.0","7,390,175.0","7,445,311.0","7,535,672.0","7,612,894.0","7,660,926.0","7,726,017.0","7,728,226.0","7,801,110.0","7,844,116.0","7,816,184.0","7,687,506.0","7,668,580.0","7,751,722.0","7,795,899.0","7,825,900.0","7,917,852.0","8,009,298.0","8,079,875.0","8,169,746.0","8,181,028.0","8,227,151.0","8,280,682.0","8,399,122.0","8,486,029.0","8,604,221.0","8,640,980.0","8,742,570.0","8,761,570.0","8,773,186.0","8,856,191.0","8,922,261.0","8,979,299.0","9,150,054.0","9,218,060.0","9,311,893.0","9,397,416.0","9,549,298.0","9,683,119.0","9,752,243.0","9,864,910.0","9,961,596.0","10,101,706.0","10,275,931.0","10,371,342.0","10,419,574.0","10,525,522.0","10,677,007.0","10,697,762.0","10,903,474.0","10,882,965.0","10,923,654.0","10,873,280.0","10,956,379.0","10,922,618.0","10,964,309.0","11,072,264.0","11,096,565.0","11,144,083.0","11,134,164.0","11,151,582.0","11,289,249.0","11,497,646.0","11,633,964.0","11,681,376.0","11,766,281.0","11,851,411.0","11,923,508.0","12,071,415.0","12,116,553.0","12,183,017.0","12,218,082.0","12,382,779.0","12,405,779.0","12,397,713.0","12,518,254.0","12,517,024.0","12,591,730.0","12,649,256.0","12,625,115.0","12,460,596.0","12,450,202.0","12,324,713.0","12,148,502.0","12,064,239.0","12,012,944.0","12,009,778.0","12,110,872.0","12,150,275.0","12,312,570.0","12,426,810.0","12,514,673.0","12,415,850.0","12,491,612.0","12,552,867.0","12,707,173.0","12,823,732.0","12,887,104.0","13,008,901.0","12,998,876.0","13,048,194.0","13,144,395.0","13,247,299.0"
"32","12","  Net domestic product","A362RX1","4,260,387.0","4,268,704.0","4,291,992.0","4,263,876.0","4,249,042.0","4,251,491.0","4,288,590.0","4,232,670.0","4,357,709.0","4,380,990.0","4,414,838.0","4,424,451.0","4,509,108.0","4,622,103.0","4,663,170.0","4,743,275.0","4,867,556.0","4,921,683.0","4,882,858.0","4,926,925.0","4,872,406.0","4,879,997.0","4,818,765.0","4,790,116.0","4,717,252.0","4,753,718.0","4,839,525.0","4,909,760.0","5,032,922.0","5,070,685.0","5,093,818.0","5,130,641.0","5,191,812.0","5,301,628.0","5,401,441.0","5,392,686.0","5,404,933.0","5,639,144.0","5,692,307.0","5,769,557.0","5,771,018.0","5,767,451.0","5,804,308.0","5,810,765.0","5,821,873.0","5,673,393.0","5,653,318.0","5,767,072.0","5,898,365.0","5,838,094.0","5,906,913.0","5,815,191.0","5,689,191.0","5,715,843.0","5,681,930.0","5,679,798.0","5,760,334.0","5,907,557.0","6,034,756.0","6,171,012.0","6,303,847.0","6,421,192.0","6,481,285.0","6,526,612.0","6,586,180.0","6,640,946.0","6,746,732.0","6,791,299.0","6,850,979.0","6,873,566.0","6,940,331.0","6,967,826.0","7,010,272.0","7,088,364.0","7,149,918.0","7,275,018.0","7,309,802.0","7,409,958.0","7,446,761.0","7,549,123.0","7,624,908.0","7,681,801.0","7,735,769.0","7,741,802.0","7,828,252.0","7,851,544.0","7,842,477.0","7,753,474.0","7,701,000.0","7,761,989.0","7,796,702.0","7,827,926.0","7,928,153.0","8,021,761.0","8,103,582.0","8,188,567.0","8,195,778.0","8,241,899.0","8,277,742.0","8,395,766.0","8,480,284.0","8,603,306.0","8,649,226.0","8,749,952.0","8,770,075.0","8,790,842.0","8,863,579.0","8,921,611.0","8,974,270.0","9,141,028.0","9,222,259.0","9,317,664.0","9,381,353.0","9,526,551.0","9,646,472.0","9,710,674.0","9,798,251.0","9,885,309.0","10,013,236.0","10,182,860.0","10,272,240.0","10,345,197.0","10,464,251.0","10,634,202.0","10,673,476.0","10,866,342.0","10,847,178.0","10,888,879.0","10,832,262.0","10,883,924.0","10,829,892.0","10,845,726.0","10,947,742.0","11,001,687.0","11,047,604.0","11,038,652.0","11,090,364.0","11,200,344.0","11,408,082.0","11,543,083.0","11,604,993.0","11,692,477.0","11,794,539.0","11,891,595.0","12,023,823.0","12,081,277.0","12,176,509.0","12,234,741.0","12,388,384.0","12,411,414.0","12,402,698.0","12,496,040.0","12,484,110.0","12,578,131.0","12,659,995.0","12,697,260.0","12,581,126.0","12,639,102.0","12,549,025.0","12,215,094.0","12,005,382.0","11,987,677.0","12,033,321.0","12,171,870.0","12,224,936.0","12,359,032.0","12,453,341.0","12,549,221.0","12,494,479.0","12,603,585.0","12,645,643.0","12,815,432.0","12,943,618.0","12,978,166.0","13,073,575.0","13,067,923.0","13,099,886.0","13,183,007.0","13,280,953.0"
"33","13","  Command-basis net national product \4\","C027RX1","4,407,848.0","4,412,260.0","4,435,430.0","4,407,789.0","4,391,919.0","4,395,370.0","4,425,886.0","4,364,664.0","4,499,799.0","4,523,926.0","4,550,946.0","4,560,540.0","4,647,690.0","4,757,905.0","4,802,172.0","4,891,846.0","5,018,192.0","5,058,270.0","5,032,691.0","5,084,730.0","4,998,773.0","4,976,453.0","4,902,766.0","4,869,392.0","4,795,260.0","4,831,608.0","4,929,134.0","5,010,878.0","5,131,271.0","5,170,666.0","5,190,181.0","5,238,235.0","5,296,400.0","5,389,018.0","5,470,340.0","5,482,493.0","5,493,305.0","5,712,465.0","5,766,361.0","5,865,470.0","5,859,169.0","5,858,458.0","5,885,789.0","5,863,436.0","5,834,135.0","5,666,518.0","5,642,461.0","5,746,874.0","5,874,551.0","5,817,138.0","5,904,354.0","5,828,644.0","5,709,293.0","5,753,627.0","5,712,829.0","5,712,147.0","5,804,351.0","5,958,708.0","6,090,099.0","6,240,137.0","6,368,888.0","6,484,162.0","6,551,543.0","6,597,104.0","6,653,924.0","6,712,196.0","6,801,553.0","6,840,173.0","6,890,551.0","6,925,391.0","6,984,219.0","6,992,706.0","7,033,508.0","7,107,757.0","7,162,160.0","7,292,644.0","7,333,820.0","7,428,220.0","7,478,594.0","7,572,720.0","7,649,086.0","7,695,515.0","7,764,572.0","7,776,724.0","7,846,960.0","7,892,813.0","7,857,481.0","7,763,336.0","7,727,476.0","7,794,164.0","7,832,962.0","7,874,618.0","7,965,553.0","8,055,662.0","8,121,844.0","8,213,008.0","8,234,995.0","8,271,561.0","8,332,677.0","8,429,141.0","8,525,324.0","8,637,092.0","8,671,466.0","8,771,592.0","8,803,232.0","8,818,381.0","8,882,642.0","8,964,244.0","9,030,160.0","9,189,781.0","9,253,400.0","9,354,307.0","9,428,715.0","9,590,350.0","9,714,155.0","9,774,463.0","9,898,855.0","9,991,795.0","10,115,113.0","10,292,715.0","10,399,657.0","10,454,474.0","10,556,617.0","10,720,431.0","10,736,244.0","10,945,502.0","10,919,038.0","10,989,838.0","10,922,532.0","11,016,608.0","10,955,073.0","11,073,291.0","11,133,887.0","11,135,458.0","11,199,776.0","11,209,617.0","11,211,295.0","11,365,036.0","11,573,083.0","11,739,666.0","11,807,117.0","11,862,569.0","11,959,087.0","12,001,651.0","12,186,498.0","12,218,554.0","12,295,332.0","12,298,053.0","12,464,482.0","12,481,440.0","12,458,793.0","12,590,209.0","12,589,489.0","12,686,629.0","12,802,435.0","12,824,535.0","12,644,023.0","12,635,277.0","12,525,392.0","12,270,294.0","12,187,472.0","12,132,929.0","12,176,023.0","12,289,645.0","12,351,195.0","12,514,604.0","12,622,752.0","12,724,855.0","12,656,264.0","12,731,695.0","12,812,778.0","12,966,669.0","13,058,745.0","13,131,801.0","13,242,309.0","13,240,174.0","13,270,550.0","13,375,665.0","....."
"34","14","  Net national product","A027RX1","4,299,942.0","4,307,053.0","4,328,951.0","4,300,774.0","4,286,718.0","4,290,227.0","4,326,923.0","4,268,209.0","4,398,847.0","4,424,064.0","4,454,458.0","4,465,878.0","4,552,177.0","4,664,784.0","4,708,906.0","4,788,901.0","4,919,335.0","4,976,524.0","4,945,568.0","4,990,110.0","4,945,327.0","4,949,365.0","4,882,356.0","4,845,706.0","4,764,747.0","4,801,569.0","4,890,909.0","4,969,975.0","5,091,705.0","5,131,600.0","5,155,312.0","5,193,527.0","5,262,881.0","5,371,519.0","5,470,812.0","5,454,938.0","5,476,043.0","5,699,653.0","5,757,874.0","5,844,040.0","5,847,172.0","5,852,051.0","5,904,223.0","5,910,002.0","5,922,832.0","5,766,969.0","5,741,803.0","5,840,237.0","5,976,130.0","5,911,642.0","5,984,741.0","5,901,796.0","5,771,333.0","5,807,360.0","5,760,365.0","5,755,521.0","5,835,365.0","5,987,237.0","6,116,001.0","6,255,223.0","6,382,368.0","6,500,226.0","6,559,650.0","6,597,124.0","6,642,687.0","6,700,069.0","6,796,520.0","6,846,216.0","6,899,979.0","6,910,209.0","6,980,825.0","6,996,948.0","7,042,478.0","7,126,627.0","7,187,130.0","7,315,247.0","7,358,803.0","7,454,932.0","7,486,861.0","7,592,915.0","7,667,642.0","7,722,737.0","7,780,474.0","7,796,194.0","7,879,792.0","7,905,508.0","7,888,509.0","7,833,573.0","7,763,325.0","7,807,458.0","7,836,647.0","7,879,539.0","7,979,026.0","8,071,576.0","8,149,265.0","8,235,701.0","8,253,494.0","8,290,172.0","8,333,769.0","8,429,951.0","8,524,005.0","8,640,706.0","8,684,134.0","8,783,201.0","8,815,623.0","8,839,647.0","8,893,422.0","8,966,900.0","9,028,416.0","9,184,116.0","9,260,993.0","9,363,517.0","9,416,118.0","9,571,117.0","9,681,062.0","9,736,413.0","9,835,546.0","9,918,743.0","10,029,866.0","10,202,664.0","10,303,260.0","10,382,675.0","10,498,002.0","10,680,426.0","10,714,843.0","10,911,466.0","10,886,538.0","10,958,334.0","10,884,637.0","10,947,024.0","10,865,300.0","10,956,908.0","11,012,134.0","11,043,604.0","11,106,190.0","11,116,796.0","11,152,888.0","11,278,896.0","11,486,391.0","11,651,523.0","11,733,441.0","11,791,652.0","11,905,039.0","11,972,654.0","12,141,578.0","12,185,981.0","12,291,496.0","12,317,320.0","12,472,841.0","12,489,873.0","12,466,599.0","12,570,693.0","12,559,209.0","12,675,664.0","12,816,014.0","12,899,941.0","12,767,763.0","12,827,282.0","12,752,770.0","12,338,468.0","12,128,597.0","12,107,577.0","12,199,621.0","12,351,170.0","12,409,983.0","12,546,014.0","12,634,487.0","12,744,491.0","12,719,497.0","12,827,701.0","12,889,644.0","13,058,774.0","13,162,089.0","13,206,473.0","13,290,483.0","13,292,873.0","13,305,541.0","13,397,057.0","....."
"35",NA,"  Trade indexes (seasonally adjusted):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","15","    Trading gains index \5\","W368RG3","102.562","102.548","102.583","102.571","102.508","102.552","102.408","102.371","102.395","102.387","102.293","102.247","102.315","102.212","102.144","102.145","102.137","101.929","101.996","101.849","101.282","100.684","100.719","100.878","100.992","100.940","101.068","101.100","101.092","101.061","100.967","101.032","100.836","100.726","100.588","100.556","100.576","100.574","100.571","100.690","100.595","100.484","100.026","99.584","99.057","98.842","98.850","99.008","98.999","98.988","99.264","99.279","99.367","99.528","99.585","99.623","99.852","99.892","99.934","100.076","100.074","100.085","100.206","100.264","100.446","100.392","100.363","100.179","100.138","100.411","100.319","100.269","100.063","99.927","99.867","99.853","99.816","99.823","100.062","99.981","99.919","99.837","99.972","99.899","99.762","99.974","99.776","99.357","99.716","99.950","100.041","100.015","99.954","99.927","99.800","99.869","99.945","99.940","100.032","100.077","100.134","100.078","99.948","99.975","99.994","99.914","99.967","100.028","100.039","100.072","100.119","100.020","100.087","100.338","100.392","100.443","100.640","100.737","100.818","100.793","100.810","100.681","100.557","100.431","100.270","100.346","100.321","100.299","100.361","100.603","100.760","100.972","100.978","100.782","100.785","100.757","100.496","100.704","100.684","100.706","100.581","100.529","100.443","100.259","100.366","100.275","100.065","99.906","99.969","99.988","99.994","100.192","100.255","100.137","99.956","99.526","99.196","98.696","98.446","99.541","100.398","100.171","99.843","99.592","99.479","99.691","99.826","99.770","99.470","99.260","99.372","99.276","99.213","99.400","99.625","99.520","99.556","99.660","99.694"
"37","16","    Terms of trade index \6\","W369RG3","148.773","148.380","149.328","148.908","147.224","148.400","144.552","143.641","144.189","144.043","141.642","140.427","142.172","139.674","137.984","138.051","137.906","133.573","134.883","131.819","121.711","112.940","113.483","115.576","116.976","116.332","118.626","119.167","118.952","118.438","117.031","117.913","115.217","113.772","111.730","111.129","111.438","111.514","111.486","113.158","112.112","110.909","105.627","100.888","95.864","93.779","93.800","95.307","95.242","95.090","97.789","97.898","98.776","100.464","100.943","101.130","103.738","104.113","104.495","106.192","106.008","106.097","106.920","107.087","108.519","107.623","106.843","104.541","103.800","106.547","105.212","104.741","102.495","101.342","100.620","100.717","100.458","100.758","103.115","102.097","101.447","100.496","101.635","100.789","99.352","101.327","99.375","95.510","98.767","100.986","101.823","101.535","100.894","100.600","99.326","99.949","100.674","100.600","101.431","101.800","102.317","101.763","100.554","100.803","101.045","100.398","100.779","101.221","101.237","101.441","101.717","100.721","101.218","103.306","103.730","104.090","105.650","106.377","106.886","106.530","106.521","105.343","104.292","103.300","102.075","102.724","102.493","102.226","102.478","104.037","105.107","106.550","106.409","104.779","104.909","104.570","102.618","104.253","103.990","104.231","103.384","103.198","102.516","101.319","102.396","101.771","100.263","99.174","99.593","99.929","100.191","101.383","101.708","101.102","100.024","97.614","95.858","93.613","92.459","97.344","102.746","101.108","98.927","97.468","96.886","98.459","99.310","99.333","97.883","96.899","97.534","96.736","96.415","97.470","98.718","98.098","98.320","98.786","98.950"
"38","17","      Terms of trade, goods \7\","W370RG3","166.873","165.751","167.110","166.145","165.222","167.046","160.656","158.952","160.886","161.086","157.652","156.848","155.136","151.638","149.605","150.614","152.020","147.827","150.823","147.290","133.830","122.602","123.350","126.594","128.538","127.644","130.621","131.546","130.698","129.759","128.017","129.249","125.917","124.005","121.282","120.440","120.787","121.076","121.431","123.947","123.076","121.825","115.289","109.294","103.227","100.357","100.573","102.305","101.876","101.359","104.470","104.526","105.411","106.700","106.348","106.134","108.940","109.307","109.681","111.955","112.153","111.964","111.800","110.830","112.051","111.328","110.509","107.936","107.469","111.122","109.522","109.077","105.790","104.602","103.864","104.358","104.613","105.357","108.370","106.916","105.604","104.058","105.243","104.175","102.354","105.121","102.642","97.821","101.802","104.077","104.840","104.398","103.613","103.148","101.799","102.063","102.811","102.723","103.496","103.886","104.604","103.851","102.692","103.180","103.282","102.851","103.321","103.673","103.342","103.642","103.730","102.194","102.784","105.138","105.398","105.558","106.999","107.946","108.498","108.265","108.243","106.901","105.775","104.600","102.752","103.229","102.770","102.408","102.756","104.590","105.918","107.618","107.541","105.696","106.183","105.670","103.453","106.153","105.607","105.913","104.874","104.810","103.996","102.472","102.817","102.174","100.223","98.743","99.252","99.735","100.059","101.631","101.762","101.213","100.019","97.215","95.190","93.255","91.824","96.705","102.975","101.467","98.790","97.096","96.332","98.199","99.284","99.781","98.153","97.053","97.573","96.350","95.806","96.873","98.350","97.546","97.672","98.038","98.047"
"39","18","      Terms of trade, nonpetroleum goods \8\","W371RG3","116.310","115.494","116.264","115.300","114.683","115.855","111.297","110.269","111.653","112.058","109.833","109.174","107.756","105.287","103.704","104.331","105.292","102.090","104.978","105.639","109.422","104.146","102.827","103.884","104.570","103.431","106.651","108.428","108.465","107.272","105.359","106.748","104.213","102.285","99.518","98.798","98.170","97.482","97.337","98.953","98.504","100.895","102.074","98.797","97.036","96.522","96.294","98.466","100.128","100.880","102.483","101.584","102.140","102.472","103.182","102.869","103.090","103.529","104.531","106.454","106.540","106.441","106.213","105.337","106.442","105.912","104.287","101.708","98.038","96.241","93.523","94.026","92.899","92.684","92.423","92.056","90.941","91.349","93.452","91.292","91.570","91.863","92.145","91.715","91.139","91.427","91.449","91.225","90.711","91.236","91.374","90.968","89.926","90.439","89.437","88.955","89.894","89.647","89.347","88.941","89.436","89.340","88.991","88.844","89.597","89.432","89.290","89.598","90.225","91.299","91.608","91.229","91.800","92.384","92.433","92.510","92.720","92.873","92.899","92.579","92.428","92.970","93.331","93.630","93.786","93.944","93.949","94.109","93.489","94.474","95.335","95.430","95.591","95.694","96.368","96.497","96.445","96.869","96.534","97.358","97.613","98.208","98.138","98.395","98.780","99.136","99.348","98.739","100.056","101.581","101.905","101.691","102.145","102.856","102.849","103.338","103.778","104.081","104.160","98.964","98.361","99.937","100.725","100.973","101.291","102.321","102.813","104.989","106.324","107.212","107.237","106.232","106.901","106.810","107.275","107.144","107.312","106.595","107.737"
"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","1. Uses gross domestic purchases price index as deflator.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2. This measure is called ""real gross domestic income"" in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","System of National Accounts, 2008.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","3. This measure is called ""real gross national income"" in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","System of National Accounts, 2008.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","4. Uses net domestic purchases price index as deflator.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
