"","Table 1#8#6# Command-Basis Real Gross Domestic Product and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"26","8","Plus: Income receipts from the rest of the world, command basis \1\","C645RX1","55,696.0","57,581.0","59,750.0","66,447.0","90,935.0","104,594.0","90,064.0","98,605.0","106,356.0","123,473.0","167,744.0","175,909.0","187,470.0","194,685.0","189,736.0","219,647.0","197,132.0","190,804.0","205,529.0","244,990.0","275,439.0","281,698.0","243,613.0","215,009.0","215,146.0","249,941.0","304,738.0","321,138.0","359,751.0","365,984.0","403,904.0","468,745.0","390,967.0","374,360.0","413,147.0","508,793.0","626,879.0","764,055.0","899,188.0","854,678.0","643,693.0","709,184.0","772,802.0","775,170.0"
"27","9","Less: Income payments to the rest of the world, command basis \1\","C655RX1","26,782.0","28,896.0","27,364.0","31,512.0","42,191.0","50,157.0","48,272.0","47,276.0","48,340.0","65,862.0","89,347.0","99,878.0","120,376.0","124,305.0","120,673.0","154,239.0","152,750.0","161,741.0","176,376.0","208,500.0","237,015.0","229,950.0","197,909.0","171,064.0","170,903.0","217,619.0","266,608.0","279,717.0","328,792.0","342,714.0","369,810.0","423,416.0","328,708.0","316,750.0","334,205.0","407,263.0","525,052.0","691,840.0","769,311.0","682,143.0","496,514.0","506,317.0","521,785.0","535,728.0"
"28","10","Equals: Command-basis gross national product \1,3\","CB22RX1","4,851,306.0","4,856,148.0","5,012,358.0","5,269,864.0","5,566,963.0","5,486,946.0","5,469,679.0","5,772,045.0","6,021,797.0","6,348,699.0","6,540,933.0","6,442,534.0","6,608,397.0","6,518,525.0","6,844,426.0","7,348,248.0","7,650,153.0","7,896,357.0","8,148,242.0","8,496,062.0","8,808,020.0","8,971,313.0","8,979,221.0","9,290,791.0","9,555,339.0","9,931,112.0","10,199,945.0","10,598,376.0","11,088,524.0","11,622,715.0","12,180,227.0","12,648,941.0","12,832,079.0","13,073,697.0","13,434,873.0","13,938,068.0","14,359,212.0","14,692,971.0","15,001,257.0","14,857,177.0","14,565,122.0","14,935,984.0","15,204,063.0","15,622,656.0"
"29",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","11","  Command-basis net domestic product \4\","C362RX1","4,385,906.0","4,364,619.0","4,500,555.0","4,739,611.0","4,998,415.0","4,878,814.0","4,849,715.0","5,129,753.0","5,350,422.0","5,652,005.0","5,785,148.0","5,642,529.0","5,786,135.0","5,648,535.0","5,953,111.0","6,433,414.0","6,706,683.0","6,918,390.0","7,119,816.0","7,416,707.0","7,682,450.0","7,786,661.0","7,760,902.0","8,044,906.0","8,272,461.0","8,619,031.0","8,828,617.0","9,165,461.0","9,595,937.0","10,051,490.0","10,499,163.0","10,852,568.0","10,929,214.0","11,111,941.0","11,394,006.0","11,806,466.0","12,147,875.0","12,426,341.0","12,596,114.0","12,345,686.0","12,049,562.0","12,351,697.0","12,542,454.0","12,929,897.0"
"31","12","  Net domestic product","A362RX1","4,271,240.0","4,255,448.0","4,394,497.0","4,634,414.0","4,899,755.0","4,840,321.0","4,805,064.0","5,082,017.0","5,321,892.0","5,626,485.0","5,788,385.0","5,728,914.0","5,864,641.0","5,691,690.0","5,968,415.0","6,433,234.0","6,691,289.0","6,908,175.0","7,130,893.0","7,428,911.0","7,696,070.0","7,818,937.0","7,771,904.0","8,060,516.0","8,277,796.0","8,620,692.0","8,836,527.0","9,163,805.0","9,566,262.0","9,969,914.0","10,428,973.0","10,818,969.0","10,847,951.0","11,008,921.0","11,310,468.0","11,745,901.0","12,129,088.0","12,424,634.0","12,604,874.0","12,496,087.0","12,049,562.0","12,396,633.0","12,639,785.0","13,015,820.0"
"32","13","  Command-basis net national product \4\","C027RX1","4,415,872.0","4,394,331.0","4,534,099.0","4,775,778.0","5,048,855.0","4,935,209.0","4,893,167.0","5,183,151.0","5,410,819.0","5,712,047.0","5,866,848.0","5,721,696.0","5,856,044.0","5,721,908.0","6,024,846.0","6,501,157.0","6,752,535.0","6,948,410.0","7,149,874.0","7,454,298.0","7,721,948.0","7,839,704.0","7,807,658.0","8,089,715.0","8,317,516.0","8,651,925.0","8,867,431.0","9,207,531.0","9,627,324.0","10,075,051.0","10,533,630.0","10,898,335.0","10,991,974.0","11,169,895.0","11,473,240.0","11,908,292.0","12,250,108.0","12,498,901.0","12,726,510.0","12,518,482.0","12,196,741.0","12,553,981.0","12,792,480.0","13,168,503.0"
"33","14","  Net national product","A027RX1","4,309,180.0","4,293,019.0","4,435,812.0","4,678,692.0","4,957,884.0","4,905,688.0","4,856,800.0","5,143,036.0","5,390,038.0","5,694,402.0","5,878,362.0","5,817,960.0","5,943,577.0","5,773,645.0","6,048,457.0","6,509,842.0","6,746,373.0","6,946,990.0","7,167,870.0","7,473,378.0","7,741,762.0","7,876,845.0","7,821,742.0","8,108,892.0","8,326,847.0","8,658,011.0","8,878,898.0","9,209,261.0","9,601,178.0","9,996,705.0","10,466,091.0","10,867,795.0","10,913,467.0","11,069,681.0","11,392,424.0","11,850,696.0","12,234,094.0","12,500,001.0","12,737,707.0","12,671,571.0","12,196,741.0","12,583,744.0","12,873,904.0","13,237,980.0"
"34",NA,"  Trade indexes (seasonally adjusted):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","15","    Trading gains index \5\","W368RG3","102.566","102.459","102.330","102.204","101.976","100.887","101.026","101.037","100.675","100.604","100.161","98.939","99.135","99.527","99.939","100.158","100.344","100.284","99.927","99.921","99.907","99.715","99.931","99.887","99.999","100.033","99.976","100.062","100.315","100.747","100.619","100.309","100.675","100.825","100.648","100.452","100.151","100.036","99.967","98.968","100.000","99.692","99.344","99.440"
"36","16","    Terms of trade index \6\","W369RG3","148.849","145.922","142.556","139.434","134.406","115.742","117.764","118.074","112.932","111.911","107.070","94.678","96.490","100.316","104.633","106.523","106.869","105.064","101.280","101.607","101.089","98.826","100.758","100.188","101.124","101.351","100.859","101.279","103.071","106.356","104.847","102.380","104.512","105.158","103.770","102.589","100.875","100.276","100.068","94.736","100.000","98.498","97.259","97.669"
"37","17","      Terms of trade, goods \7\","W370RG3","166.467","162.904","159.103","151.705","149.386","126.337","129.563","129.417","122.872","121.831","116.958","101.601","103.036","106.144","109.968","111.691","110.450","109.278","104.641","106.315","104.768","101.903","103.758","102.653","103.226","103.574","103.280","103.230","104.703","107.919","106.359","102.788","105.176","106.264","105.273","104.020","100.952","100.170","100.000","94.152","100.000","98.400","97.275","97.135"
"38","18","      Terms of trade, nonpetroleum goods \8\","W371RG3","115.836","112.979","110.671","105.235","104.515","104.902","105.729","106.943","101.157","97.991","100.061","97.089","101.261","102.660","104.396","106.137","104.575","95.432","92.510","91.759","91.823","91.310","91.070","89.688","89.456","89.151","89.479","91.084","92.280","92.768","93.089","93.948","94.670","96.038","96.801","98.091","99.000","101.311","102.800","102.755","100.000","102.859","106.753","107.032"
"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","1. Uses gross domestic purchases price index as deflator.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2. This measure is called ""real gross domestic income"" in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","System of National Accounts, 2008.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","3. This measure is called ""real gross national income"" in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","System of National Accounts, 2008.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","4. Uses net domestic purchases price index as deflator.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","5. Ratio (multiplied by 100) of price index for gross domestic product",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","to the price index for gross domestic purchases.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","6. Ratio (multiplied by 100) of the price index for exports of goods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","and services to the price index for imports of goods and services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","7. Ratio (multiplied by 100) of the price index for goods exports",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","to the price index for goods imports.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","8. Ratio (multiplied by 100) of the price index for goods exports",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","to the price index for nonpetroleum goods imports.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
