"","Table 4#2#6# Real Exports and Imports of Goods and Services by T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62"
"23","4","  Industrial supplies and materials","A639RX1","205,856.0","210,667.0","212,533.0","223,349.0","227,913.0","228,272.0","236,481.0","235,171.0","229,514.0","222,646.0","219,404.0","218,654.0","218,400.0","226,974.0","224,616.0","224,556.0","229,686.0","227,246.0","228,682.0","234,137.0","242,697.0","246,143.0","243,860.0","248,716.0","250,249.0","257,869.0","250,699.0","246,894.0","264,099.0","271,182.0","267,355.0","277,509.0","277,191.0","281,109.0","285,957.0","293,630.0","309,765.0","325,538.0","324,929.0","302,318.0","274,240.0","280,883.0","305,576.0","313,464.0","325,128.0","338,898.0","341,321.0","352,099.0","356,641.0","356,470.0","360,948.0","370,982.0","364,077.0","371,095.0","367,343.0","368,040.0","367,835.0","375,817.0","390,865.0"
"24","5","    Durable goods","B686RX1","71,211.0","72,909.0","74,400.0","78,873.0","83,955.0","84,839.0","85,420.0","86,110.0","83,052.0","78,546.0","75,216.0","73,712.0","69,979.0","73,941.0","73,336.0","73,048.0","73,939.0","74,960.0","73,695.0","75,190.0","80,633.0","81,062.0","79,906.0","81,150.0","82,012.0","85,180.0","88,745.0","91,073.0","93,858.0","94,191.0","93,581.0","98,621.0","97,801.0","98,803.0","101,207.0","103,737.0","106,839.0","115,350.0","114,555.0","107,108.0","91,745.0","91,425.0","97,649.0","103,060.0","106,694.0","113,878.0","111,728.0","116,903.0","115,203.0","117,679.0","116,304.0","115,516.0","118,176.0","118,487.0","115,474.0","112,593.0","116,208.0","115,052.0","116,480.0"
"25","6","    Nondurable goods","B687RX1","134,867.0","137,980.0","138,268.0","144,569.0","143,879.0","143,339.0","151,030.0","149,037.0","146,464.0","144,127.0","144,287.0","145,110.0","148,918.0","153,410.0","151,628.0","151,867.0","156,149.0","152,644.0","155,421.0","159,409.0","162,420.0","165,475.0","164,352.0","167,961.0","168,581.0","172,979.0","162,171.0","156,046.0","170,471.0","177,283.0","174,017.0","179,044.0","179,616.0","182,564.0","184,981.0","190,115.0","203,075.0","210,504.0","210,602.0","195,467.0","182,518.0","189,464.0","207,914.0","210,387.0","218,422.0","225,089.0","229,562.0","235,259.0","241,257.0","238,912.0","244,409.0","254,768.0","245,781.0","252,244.0","251,298.0","254,546.0","251,135.0","259,817.0","272,988.0"
"26","7","  Capital goods, except automotive","A640RX1","290,975.0","291,117.0","306,709.0","317,086.0","321,487.0","346,887.0","362,526.0","356,458.0","352,376.0","321,254.0","293,966.0","281,998.0","278,730.0","288,055.0","292,188.0","282,136.0","279,782.0","280,469.0","292,143.0","315,733.0","321,964.0","325,600.0","329,185.0","331,043.0","340,027.0","356,083.0","355,566.0","375,402.0","389,751.0","399,553.0","398,238.0","409,830.0","415,253.0","422,262.0","439,709.0","449,942.0","457,594.0","471,195.0","471,776.0","430,085.0","394,557.0","379,367.0","384,237.0","407,826.0","421,738.0","440,803.0","453,168.0","464,811.0","468,579.0","484,372.0","492,198.0","500,894.0","515,027.0","514,804.0","520,803.0","513,972.0","508,253.0","525,448.0","524,712.0"
"27","8","    Civilian aircraft, engines, and parts","B688RX1","86,965.0","76,336.0","80,107.0","79,573.0","65,650.0","75,722.0","70,044.0","68,074.0","78,708.0","75,593.0","69,456.0","65,532.0","66,758.0","67,858.0","71,552.0","63,645.0","60,249.0","56,731.0","58,762.0","66,064.0","59,464.0","55,939.0","57,759.0","57,171.0","62,537.0","71,977.0","64,014.0","69,019.0","72,744.0","73,725.0","72,218.0","77,927.0","76,568.0","76,235.0","83,557.0","84,924.0","81,062.0","82,044.0","82,450.0","65,074.0","78,525.0","75,309.0","70,907.0","74,280.0","69,661.0","69,399.0","70,824.0","70,389.0","69,342.0","74,316.0","77,791.0","80,087.0","86,058.0","81,168.0","88,898.0","88,990.0","86,606.0","96,870.0","101,820.0"
"28","9","    Computers, peripherals, and parts \2\","ZZZZZZ1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"29","10","    Other","B689RX1","191,021.0","195,337.0","206,221.0","215,758.0","225,603.0","239,298.0","254,972.0","251,947.0","242,104.0","218,943.0","199,402.0","192,797.0","190,944.0","198,079.0","200,058.0","194,811.0","195,237.0","199,080.0","206,279.0","222,026.0","234,245.0","240,505.0","240,988.0","241,982.0","244,926.0","250,451.0","255,644.0","270,666.0","279,895.0","287,839.0","289,025.0","293,688.0","298,959.0","308,008.0","317,817.0","326,966.0","337,039.0","345,948.0","345,828.0","327,033.0","279,081.0","268,147.0","275,358.0","293,513.0","309,208.0","328,003.0","337,174.0","346,650.0","348,778.0","358,981.0","361,277.0","367,419.0","373,415.0","381,027.0","379,422.0","372,859.0","368,386.0","374,459.0","368,291.0"
"30","11","  Automotive vehicles, engines, and parts","B641RX1","80,168.0","81,678.0","82,926.0","83,910.0","90,672.0","86,582.0","85,311.0","84,562.0","79,169.0","82,495.0","82,156.0","80,593.0","80,422.0","86,842.0","86,240.0","84,276.0","84,807.0","87,186.0","83,127.0","87,472.0","89,166.0","92,558.0","96,950.0","97,783.0","99,315.0","99,719.0","102,782.0","108,350.0","110,435.0","108,942.0","109,386.0","112,882.0","117,310.0","124,755.0","126,067.0","125,494.0","124,344.0","127,412.0","130,678.0","106,776.0","68,248.0","68,097.0","88,394.0","102,118.0","106,090.0","110,682.0","111,983.0","117,152.0","126,152.0","126,406.0","133,228.0","134,315.0","140,493.0","142,359.0","140,077.0","139,212.0","140,287.0","147,125.0","145,748.0"
"31","12","  Consumer goods, except automotive","A642RX1","85,246.0","85,950.0","87,651.0","91,097.0","94,331.0","95,512.0","98,469.0","96,569.0","100,116.0","99,110.0","91,979.0","90,538.0","89,749.0","91,786.0","92,818.0","92,150.0","94,046.0","94,981.0","98,350.0","101,034.0","104,919.0","110,141.0","111,229.0","115,553.0","118,184.0","120,803.0","122,828.0","126,166.0","130,616.0","133,040.0","134,694.0","141,192.0","145,875.0","147,640.0","151,103.0","152,970.0","159,032.0","164,777.0","167,366.0","155,355.0","145,447.0","145,406.0","149,384.0","157,581.0","161,732.0","159,278.0","162,454.0","170,367.0","166,275.0","171,214.0","171,744.0","173,859.0","171,758.0","175,956.0","175,021.0","176,444.0","176,520.0","190,789.0","182,317.0"
"32","13","    Durable goods","B690RX1","42,184.0","43,903.0","45,105.0","47,989.0","49,762.0","48,936.0","50,745.0","49,376.0","52,334.0","51,668.0","47,530.0","45,664.0","46,283.0","47,060.0","47,739.0","46,217.0","46,211.0","47,510.0","49,631.0","52,248.0","53,009.0","56,436.0","58,326.0","60,386.0","62,479.0","63,796.0","66,292.0","67,526.0","70,408.0","73,157.0","73,693.0","77,831.0","80,897.0","83,515.0","85,742.0","89,647.0","93,047.0","96,106.0","94,632.0","81,603.0","72,802.0","71,584.0","76,564.0","80,833.0","83,076.0","88,016.0","90,189.0","93,799.0","94,656.0","97,547.0","97,883.0","98,799.0","98,263.0","98,262.0","96,207.0","97,329.0","99,047.0","110,470.0","103,831.0"
"33","14","    Nondurable goods","B691RX1","43,195.0","42,153.0","42,646.0","43,187.0","44,646.0","46,691.0","47,832.0","47,310.0","47,867.0","47,531.0","44,547.0","45,016.0","43,563.0","44,840.0","45,188.0","46,090.0","48,032.0","47,636.0","48,873.0","48,895.0","52,066.0","53,847.0","53,013.0","55,286.0","55,809.0","57,114.0","56,608.0","58,730.0","60,291.0","59,941.0","61,064.0","63,414.0","65,023.0","64,167.0","65,405.0","63,408.0","66,074.0","68,756.0","72,760.0","73,764.0","72,668.0","73,835.0","72,812.0","76,721.0","78,609.0","71,474.0","72,494.0","76,771.0","71,973.0","74,043.0","74,241.0","75,427.0","73,881.0","77,987.0","79,045.0","79,359.0","77,801.0","80,859.0","78,909.0"
"34","15","  Other","A643RX1","64,988.0","67,053.0","61,389.0","63,796.0","60,927.0","59,876.0","62,180.0","64,211.0","59,228.0","62,575.0","58,879.0","57,226.0","60,657.0","62,107.0","65,657.0","62,396.0","57,411.0","56,373.0","57,800.0","55,363.0","56,226.0","58,782.0","55,261.0","54,704.0","59,328.0","60,139.0","64,527.0","63,456.0","66,269.0","61,130.0","65,475.0","66,493.0","66,014.0","62,644.0","61,839.0","65,332.0","61,737.0","61,562.0","51,545.0","57,009.0","56,352.0","53,393.0","49,914.0","58,629.0","51,988.0","56,094.0","56,391.0","52,183.0","56,151.0","52,542.0","53,998.0","53,172.0","55,602.0","53,367.0","55,801.0","62,995.0","57,904.0","53,428.0","57,679.0"
"35","16","Exports of services \1\","A646RX1","348,746.0","349,637.0","357,057.0","362,178.0","364,359.0","371,269.0","367,059.0","369,954.0","367,115.0","362,267.0","347,077.0","332,781.0","353,544.0","357,264.0","360,965.0","370,194.0","355,224.0","350,762.0","365,564.0","384,960.0","399,069.0","403,649.0","404,164.0","418,365.0","415,489.0","414,708.0","416,938.0","426,357.0","436,782.0","448,981.0","444,090.0","473,342.0","481,265.0","491,878.0","515,855.0","535,903.0","527,134.0","539,490.0","531,297.0","524,038.0","507,136.0","517,164.0","518,415.0","533,743.0","529,583.0","535,622.0","556,287.0","570,958.0","574,337.0","585,039.0","599,169.0","586,593.0","600,716.0","601,911.0","598,016.0","614,223.0","617,546.0","624,870.0","625,750.0"
"36","17","  Transfers under U.S. military agency sales contracts","B267RX1","5,513.0","6,006.0","6,990.0","5,864.0","5,440.0","7,418.0","7,837.0","6,990.0","5,451.0","5,774.0","6,906.0","4,956.0","5,116.0","4,668.0","6,134.0","4,689.0","4,676.0","4,902.0","7,520.0","8,363.0","10,114.0","9,144.0","9,697.0","8,101.0","12,070.0","12,533.0","12,731.0","10,414.0","13,232.0","17,218.0","15,050.0","16,145.0","17,522.0","11,564.0","13,320.0","22,953.0","13,465.0","15,926.0","12,132.0","12,020.0","11,589.0","14,686.0","19,565.0","12,248.0","12,465.0","13,063.0","13,783.0","12,065.0","15,775.0","17,986.0","17,195.0","15,853.0","16,186.0","15,558.0","15,749.0","17,645.0","17,105.0","17,701.0","18,042.0"
"37","18","  Travel","B493RX1","103,447.0","103,146.0","104,712.0","107,679.0","111,177.0","112,875.0","108,438.0","108,830.0","110,053.0","103,905.0","93,173.0","77,538.0","88,008.0","87,142.0","87,954.0","96,506.0","84,076.0","76,739.0","85,517.0","94,601.0","92,901.0","95,862.0","95,476.0","97,216.0","88,226.0","92,218.0","88,272.0","87,205.0","87,556.0","88,228.0","89,074.0","92,536.0","90,539.0","93,510.0","101,036.0","104,928.0","105,517.0","107,203.0","108,006.0","102,630.0","95,631.0","93,847.0","93,642.0","93,628.0","98,129.0","98,920.0","101,232.0","103,339.0","102,961.0","106,902.0","109,283.0","107,614.0","109,244.0","112,791.0","115,085.0","116,191.0","118,838.0","121,164.0","121,239.0"
"38","19","  Passenger fares","B533RX1","29,034.0","29,039.0","30,180.0","28,566.0","28,692.0","30,365.0","29,589.0","29,610.0","28,251.0","27,399.0","25,204.0","18,918.0","23,616.0","23,416.0","22,331.0","22,506.0","19,439.0","17,485.0","19,317.0","19,862.0","20,070.0","20,728.0","21,367.0","19,838.0","20,164.0","21,584.0","22,570.0","23,090.0","22,932.0","22,714.0","23,155.0","22,555.0","23,240.0","22,602.0","24,827.0","26,737.0","27,092.0","27,605.0","27,138.0","26,590.0","26,134.0","26,700.0","26,648.0","24,930.0","25,419.0","26,122.0","27,677.0","27,610.0","27,569.0","28,297.0","29,625.0","28,693.0","28,767.0","29,625.0","29,747.0","29,690.0","29,775.0","30,747.0","31,027.0"
"39","20","  Other transportation","B683RX1","32,731.0","32,185.0","31,575.0","33,546.0","32,816.0","32,390.0","31,307.0","31,596.0","32,416.0","31,657.0","29,843.0","30,169.0","32,202.0","32,159.0","32,552.0","34,153.0","31,967.0","32,806.0","32,050.0","34,003.0","34,681.0","34,713.0","34,326.0","33,508.0","35,079.0","34,752.0","34,002.0","36,312.0","37,035.0","37,226.0","37,558.0","39,118.0","41,050.0","41,303.0","42,467.0","41,820.0","43,753.0","42,425.0","41,899.0","38,644.0","34,734.0","35,235.0","36,226.0","38,152.0","38,742.0","39,932.0","38,416.0","39,552.0","38,852.0","38,546.0","39,112.0","39,017.0","39,171.0","39,008.0","38,371.0","37,942.0","39,650.0","39,616.0","39,255.0"
"40","21","  Royalties and license fees","B684RX1","60,115.0","59,859.0","61,677.0","61,479.0","64,136.0","64,842.0","64,798.0","63,607.0","60,249.0","60,501.0","58,818.0","61,318.0","61,334.0","65,340.0","67,123.0","64,426.0","64,646.0","65,795.0","67,617.0","68,245.0","73,955.0","73,873.0","75,926.0","81,420.0","82,919.0","81,115.0","81,178.0","81,381.0","83,860.0","89,036.0","85,986.0","95,589.0","92,668.0","98,409.0","103,619.0","108,269.0","101,755.0","101,955.0","103,036.0","100,931.0","90,167.0","96,231.0","95,715.0","111,511.0","105,139.0","104,154.0","105,766.0","108,464.0","113,290.0","116,229.0","119,446.0","114,885.0","118,709.0","116,349.0","116,295.0","117,749.0","118,380.0","119,752.0","120,744.0"
"41","22","  Other private services","B720RX1","111,021.0","112,359.0","114,850.0","117,465.0","115,105.0","116,873.0","118,352.0","122,643.0","124,072.0","125,970.0","125,108.0","129,709.0","134,473.0","135,205.0","135,405.0","138,831.0","140,063.0","141,924.0","143,370.0","150,446.0","157,453.0","159,391.0","157,118.0","167,672.0","166,333.0","161,879.0","167,498.0","177,505.0","181,585.0","184,234.0","183,029.0","197,602.0","206,441.0","215,000.0","220,551.0","221,824.0","225,552.0","234,141.0","228,432.0","232,110.0","236,921.0","237,836.0","234,065.0","240,566.0","236,732.0","240,957.0","257,083.0","267,189.0","262,685.0","263,944.0","270,762.0","266,793.0","275,463.0","275,204.0","269,389.0","282,216.0","281,045.0","282,970.0","282,681.0"
"42","23","  Other","B980RX1","10,765.0","10,648.0","10,704.0","10,975.0","10,823.0","10,749.0","10,550.0","10,316.0","10,050.0","9,914.0","9,917.0","9,691.0","9,627.0","9,838.0","9,896.0","10,093.0","10,045.0","10,012.0","9,864.0","9,729.0","9,755.0","9,906.0","10,164.0","10,333.0","10,235.0","10,143.0","10,224.0","10,096.0","10,282.0","10,200.0","10,054.0","9,911.0","9,978.0","9,738.0","10,207.0","9,919.0","9,944.0","10,312.0","10,462.0","11,120.0","11,954.0","12,603.0","12,554.0","12,741.0","12,959.0","12,480.0","12,366.0","12,890.0","13,502.0","13,443.0","13,916.0","13,889.0","13,601.0","13,428.0","13,260.0","13,074.0","12,884.0","12,928.0","12,777.0"
"43","24","Residual","A977RX1","-19,000.0","-15,500.0","-13,800.0","-12,100.0","-4,700.0","-2,300.0","2,200.0","2,500.0","-2,400.0","-7,900.0","-10,300.0","-10,000.0","-14,700.0","-12,800.0","-12,500.0","-12,700.0","-11,500.0","-8,800.0","-9,000.0","-8,100.0","-6,300.0","-4,400.0","-4,100.0","-5,100.0","-3,700.0","-4,000.0","-1,600.0","-2,300.0","-2,300.0","-2,300.0","-3,200.0","-3,400.0","-3,900.0","-4,300.0","-5,800.0","-6,200.0","-3,400.0","-2,600.0","-2,500.0","-800.0","-100.0","200.0","200.0","100.0","0.0","200.0","-500.0","-800.0","-1,000.0","-3,000.0","-3,800.0","-1,500.0","-6,100.0","-4,000.0","-3,000.0","-4,700.0","-5,200.0","-8,000.0","-2,200.0"
"44","25","    Imports of goods and services","A021RX1","1,485,379.0","1,531,980.0","1,586,145.0","1,622,112.0","1,688,916.0","1,735,888.0","1,795,537.0","1,799,944.0","1,768,457.0","1,717,924.0","1,675,682.0","1,656,583.0","1,697,972.0","1,754,319.0","1,782,539.0","1,817,044.0","1,793,468.0","1,817,299.0","1,837,200.0","1,907,217.0","1,959,704.0","2,034,034.0","2,059,837.0","2,111,048.0","2,130,379.0","2,151,629.0","2,157,232.0","2,222,851.0","2,270,694.0","2,295,875.0","2,315,554.0","2,312,329.0","2,351,826.0","2,360,935.0","2,362,404.0","2,328,272.0","2,349,857.0","2,328,315.0","2,285,226.0","2,191,462.0","1,981,859.0","1,897,625.0","1,969,060.0","2,055,468.0","2,113,930.0","2,213,575.0","2,289,785.0","2,295,173.0","2,311,257.0","2,315,202.0","2,342,801.0","2,376,406.0","2,380,589.0","2,395,059.0","2,398,036.0","2,379,076.0","2,382,742.0","2,422,872.0","2,434,020.0"
