"","Table 4#2#6# Real Exports and Imports of Goods and Services by T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"45","27","  Foods, feeds, and beverages","B647RX1","59,647.0","63,541.0","66,395.0","69,937.0","75,321.0","79,886.0","82,667.0","87,777.0","88,860.0","87,852.0","82,860.0","84,751.0","86,437.0","89,611.0"
"46","28","  Industrial supplies and materials, except petroleum and products","A649RX1","212,225.0","226,063.0","217,944.0","224,576.0","227,851.0","263,066.0","280,100.0","292,260.0","280,880.0","260,121.0","196,640.0","225,285.0","240,110.0","246,591.0"
"47","29","    Durable goods","A820RX1","110,142.0","117,474.0","110,547.0","116,418.0","117,477.0","140,992.0","150,731.0","165,030.0","149,258.0","136,618.0","95,502.0","109,737.0","119,439.0","126,457.0"
"48","30","    Nondurable goods","B696RX1","101,859.0","108,337.0","107,029.0","107,885.0","110,050.0","122,057.0","129,384.0","127,703.0","132,119.0","123,933.0","101,138.0","115,542.0","120,519.0","119,810.0"
"49","31","  Petroleum and products","B648RX1","260,461.0","269,963.0","277,917.0","271,395.0","289,520.0","308,693.0","314,905.0","308,981.0","301,651.0","291,292.0","267,706.0","268,965.0","263,825.0","242,230.0"
"50","32","  Capital goods, except automotive","A650RX1","255,927.0","307,464.0","272,530.0","268,331.0","284,043.0","334,651.0","372,686.0","414,920.0","442,861.0","450,110.0","374,055.0","453,825.0","516,234.0","553,516.0"
"51","33","    Civilian aircraft, engines, and parts","B932RX1","35,127.0","37,659.0","43,051.0","34,247.0","31,632.0","30,905.0","31,581.0","33,504.0","38,620.0","37,513.0","30,683.0","30,484.0","33,352.0","35,732.0"
"52","34","    Computers, peripherals, and parts \2\","ZZZZZZ1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"53","35","    Other","B853RX1","190,412.0","234,382.0","198,700.0","193,139.0","205,651.0","242,699.0","270,021.0","296,511.0","310,851.0","317,445.0","249,196.0","303,934.0","354,347.0","383,894.0"
"54","36","  Automotive vehicles, engines, and parts","B651RX1","195,929.0","211,938.0","204,998.0","219,556.0","225,265.0","241,082.0","250,133.0","267,137.0","267,128.0","235,453.0","159,188.0","224,245.0","246,071.0","282,389.0"
"55","37","  Consumer goods, except automotive","A652RX1","249,903.0","293,975.0","298,754.0","327,528.0","356,864.0","396,697.0","429,056.0","463,559.0","490,227.0","485,050.0","431,405.0","486,703.0","508,668.0","503,390.0"
"56","38","    Durable goods","B697RX1","125,616.0","150,539.0","149,249.0","166,876.0","180,017.0","208,454.0","231,044.0","250,087.0","267,302.0","264,819.0","226,592.0","263,816.0","273,853.0","276,847.0"
"57","39","    Nondurable goods","B698RX1","124,726.0","143,686.0","150,090.0","161,040.0","177,386.0","188,431.0","198,037.0","213,486.0","222,862.0","220,160.0","204,814.0","222,993.0","234,866.0","226,872.0"
"58","40","  Other","A653RX1","80,572.0","90,395.0","92,276.0","95,022.0","89,374.0","88,073.0","91,136.0","91,589.0","91,371.0","80,666.0","75,459.0","90,617.0","79,662.0","83,762.0"
"59","41","Imports of services \1\","B656RX1","267,726.0","297,249.0","294,691.0","299,969.0","303,848.0","335,669.0","346,079.0","371,570.0","388,967.0","401,059.0","388,690.0","399,384.0","411,754.0","422,812.0"
"60","42","  Direct defense expenditures","B752RX1","21,230.0","23,294.0","24,342.0","29,803.0","32,802.0","33,503.0","33,200.0","31,421.0","28,823.0","27,344.0","30,474.0","29,068.0","26,804.0","24,994.0"
"61","43","  Travel","B768RX1","84,250.0","94,171.0","89,832.0","84,433.0","77,100.0","82,270.0","80,729.0","81,026.0","79,247.0","77,242.0","74,132.0","74,051.0","74,793.0","80,012.0"
"62","44","  Passenger fares","B769RX1","31,994.0","34,106.0","28,965.0","24,132.0","24,800.0","29,735.0","30,303.0","30,380.0","29,418.0","29,433.0","25,117.0","23,999.0","25,503.0","26,696.0"
"63","45","  Other transportation","B770RX1","40,182.0","43,835.0","41,754.0","43,651.0","44,761.0","48,756.0","51,653.0","53,885.0","55,801.0","52,354.0","42,601.0","47,606.0","48,375.0","49,447.0"
"64","46","  Royalties and license fees","B908RX1","16,934.0","20,615.0","20,269.0","23,365.0","22,560.0","26,930.0","28,037.0","26,558.0","27,287.0","29,548.0","31,296.0","32,056.0","33,406.0","37,669.0"
"65","47","  Other private services","B909RX1","65,553.0","73,101.0","80,177.0","85,197.0","91,847.0","103,467.0","111,029.0","137,034.0","156,731.0","174,597.0","174,572.0","183,365.0","194,063.0","195,798.0"
"66","48","  Other","B910RX1","9,424.0","9,917.0","10,367.0","10,420.0","10,351.0","10,925.0","10,481.0","10,423.0","10,602.0","10,102.0","10,498.0","9,194.0","8,682.0","7,845.0"
"67","49","Residual","A978RX1","-37,800.0","-18,800.0","-34,100.0","-20,500.0","-18,700.0","-9,500.0","-2,300.0","600.0","-1,000.0","-3,100.0","-100.0","-6,000.0","-16,100.0","-35,200.0"
"68",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","50","  Exports of durable goods","A332RX1","533,834.0","599,300.0","549,531.0","518,717.0","527,997.0","586,024.0","641,056.0","710,124.0","771,071.0","810,428.0","671,913.0","784,622.0","855,525.0","896,410.0"
"70","51","  Exports of nondurable goods","A339RX1","287,730.0","301,893.0","300,075.0","305,059.0","311,336.0","321,570.0","331,751.0","353,635.0","372,591.0","402,939.0","392,774.0","433,133.0","450,911.0","460,923.0"
"71","52","  Exports of agricultural goods \3\","B181RX1","77,618.0","83,342.0","85,894.0","83,695.0","84,823.0","80,345.0","84,365.0","91,469.0","97,882.0","104,340.0","100,980.0","111,805.0","110,315.0","111,243.0"
"72","53","  Exports of nonagricultural goods","A182RX1","742,264.0","819,000.0","763,182.0","736,096.0","750,231.0","823,149.0","885,245.0","969,353.0","1,042,772.0","1,106,413.0","963,707.0","1,105,382.0","1,194,416.0","1,243,292.0"
"73","54","  Imports of durable goods","A333RX1","724,096.0","833,876.0","781,642.0","814,736.0","849,650.0","968,090.0","1,050,215.0","1,143,823.0","1,172,932.0","1,128,176.0","893,066.0","1,096,560.0","1,194,550.0","1,280,573.0"
"74","55","  Imports of nondurable goods","A340RX1","572,232.0","623,890.0","640,511.0","658,663.0","697,867.0","744,047.0","772,981.0","785,870.0","792,258.0","764,156.0","694,247.0","735,676.0","740,715.0","710,296.0"
"75","56","  Imports of nonpetroleum goods","A187RX1","1,048,315.0","1,195,190.0","1,148,802.0","1,199,039.0","1,255,345.0","1,402,442.0","1,506,674.0","1,619,483.0","1,663,514.0","1,600,961.0","1,319,607.0","1,564,474.0","1,674,296.0","1,755,334.0"
"76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the federal government, are included ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","in services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Beginning with 1986, repairs and alterations of equipment are reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","2. The quantity index for computers can be used to accurately measure the real growth of this component. However, because ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","computers exhibit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","rapid changes in prices relative to other prices in the economy, the chained-dollar estimates should not be used to measure the ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","component's",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","relative importance or its contribution to the growth rate of more aggregate series; accurate estimates of these contributions ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","are shown in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","table 4.2.2 and real growth rates are shown in table 4.2.1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","3. Includes parts of foods, feeds, and beverages, of nondurable industrial supplies and materials, and of nondurable ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","nonautomotive consumer goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","Note. Chained (2009) dollar series are calculated as the product of the chain-type quantity index and the 2009 current-dollar ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","value of the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","corresponding series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of more than one ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","period, the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","chained-dollar estimates are usually not additive. For exports and for imports, the residual line is the difference between the ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","aggregate line and the sum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
