"","Table 3#3# State and Local Government Current Receipts and Expen","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94"
"36","17","  Federal grants-in-aid","B089RC1","572.0","980.0","1,256.0","996.0","992.0","1,332.0","1,436.0","1,724.0","1,700.0","1,604.0","2,016.0","1,872.0","1,836.0","1,880.0","1,824.0","1,816.0","2,000.0","2,024.0","1,848.0","2,040.0","1,924.0","2,004.0","2,196.0","2,208.0","1,740.0","2,624.0","2,192.0","2,232.0","2,276.0","2,176.0","2,276.0","2,268.0","2,180.0","2,324.0","2,416.0","2,344.0","2,284.0","2,380.0","2,532.0","2,532.0","2,776.0","2,636.0","2,816.0","2,968.0","2,732.0","3,156.0","3,056.0","3,892.0","3,328.0","3,820.0","3,672.0","3,700.0","3,744.0","3,828.0","3,776.0","3,932.0","3,992.0","4,312.0","4,392.0","4,432.0","4,616.0","4,612.0","4,868.0","4,848.0","4,896.0","5,104.0","5,372.0","5,608.0","6,068.0","6,000.0","5,684.0","6,060.0","5,976.0","6,520.0","6,832.0","6,912.0","8,336.0","9,396.0","9,744.0","9,988.0","10,304.0","10,796.0","10,780.0","11,856.0","10,920.0","12,460.0","11,716.0","12,256.0","12,228.0","13,092.0","14,176.0"
"37","18","  From business (net)","W076RC1","55.0","59.0","63.0","67.0","74.0","78.0","80.0","84.0","83.0","86.0","90.0","97.0","107.0","112.0","117.0","120.0","119.0","120.0","123.0","126.0","132.0","135.0","138.0","139.0","137.0","141.0","146.0","152.0","166.0","172.0","174.0","176.0","169.0","169.0","170.0","172.0","179.0","183.0","186.0","188.0","182.0","186.0","196.0","208.0","241.0","238.0","219.0","186.0","104.0","105.0","108.0","111.0","163.0","168.0","171.0","174.0","231.0","230.0","227.0","224.0","226.0","223.0","226.0","229.0","254.0","256.0","257.0","253.0","256.0","256.0","258.0","262.0","339.0","341.0","335.0","325.0","320.0","308.0","302.0","302.0","452.0","455.0","460.0","461.0","485.0","484.0","484.0","483.0","532.0","531.0","529.0"
"38","19","  From persons","B246RC1","162.0","171.0","184.0","199.0","220.0","235.0","250.0","263.0","275.0","283.0","287.0","287.0","280.0","280.0","282.0","286.0","296.0","301.0","306.0","309.0","308.0","313.0","318.0","325.0","334.0","342.0","350.0","358.0","369.0","373.0","376.0","378.0","373.0","375.0","381.0","391.0","403.0","421.0","442.0","466.0","501.0","519.0","531.0","537.0","538.0","534.0","525.0","511.0","291.0","276.0","269.0","268.0","268.0","287.0","312.0","337.0","386.0","420.0","448.0","470.0","485.0","494.0","495.0","490.0","467.0","466.0","472.0","487.0","535.0","546.0","549.0","546.0","503.0","506.0","528.0","567.0","643.0","701.0","761.0","815.0","869.0","911.0","944.0","968.0","976.0","990.0","1,004.0","1,018.0","1,035.0","1,054.0","1,076.0"
"39","20","Current surplus of government enterprises","B115RC1","338.0","360.0","340.0","323.0","303.0","283.0","264.0","261.0","311.0","320.0","335.0","344.0","354.0","364.0","350.0","363.0","383.0","401.0","412.0","419.0","432.0","413.0","391.0","393.0","424.0","443.0","465.0","497.0","538.0","567.0","585.0","613.0","685.0","739.0","768.0","786.0","773.0","772.0","771.0","764.0","755.0","757.0","793.0","780.0","763.0","751.0","757.0","777.0","965.0","995.0","1,082.0","1,140.0","1,112.0","1,165.0","1,171.0","1,190.0","1,202.0","1,251.0","1,211.0","1,246.0","1,180.0","1,243.0","1,313.0","1,383.0","1,461.0","1,514.0","1,544.0","1,542.0","1,529.0","1,519.0","1,522.0","1,531.0","1,554.0","1,567.0","1,562.0","1,538.0","1,497.0","1,467.0","1,456.0","1,448.0","1,447.0","1,444.0","1,430.0","1,406.0","1,367.0","1,344.0","1,327.0","1,294.0","1,268.0","1,262.0","1,265.0"
"40","21","    Current expenditures","W024RC1","13,117.0","13,750.0","14,631.0","14,974.0","15,809.0","16,104.0","16,559.0","16,660.0","17,076.0","17,350.0","17,948.0","18,364.0","19,082.0","19,800.0","19,492.0","19,650.0","19,868.0","19,992.0","20,346.0","20,721.0","20,924.0","21,926.0","21,681.0","22,163.0","22,701.0","22,794.0","23,271.0","23,276.0","23,788.0","24,372.0","25,160.0","25,543.0","26,401.0","26,801.0","27,150.0","27,667.0","28,180.0","28,764.0","29,512.0","30,287.0","30,858.0","31,715.0","32,610.0","33,401.0","34,516.0","35,474.0","36,080.0","36,742.0","37,513.0","37,901.0","38,443.0","39,126.0","40,344.0","41,457.0","41,951.0","42,718.0","44,036.0","45,349.0","45,876.0","46,695.0","47,346.0","47,879.0","48,362.0","49,160.0","50,202.0","51,224.0","52,266.0","53,525.0","54,702.0","55,918.0","56,717.0","58,025.0","59,440.0","60,993.0","62,517.0","63,875.0","65,849.0","67,887.0","69,895.0","71,992.0","73,060.0","75,131.0","78,214.0","81,104.0","83,920.0","86,810.0","89,535.0","92,583.0","95,326.0","98,345.0","101,860.0"
"41","22","Consumption expenditures","A991RC1","10,735.0","11,106.0","11,513.0","11,951.0","12,203.0","12,495.0","13,014.0","13,464.0","13,771.0","13,931.0","14,354.0","14,571.0","14,979.0","15,162.0","15,491.0","15,793.0","16,085.0","16,294.0","16,687.0","17,043.0","16,980.0","17,793.0","17,623.0","18,026.0","18,564.0","18,525.0","18,890.0","19,028.0","19,414.0","19,905.0","20,598.0","20,881.0","21,628.0","21,878.0","22,217.0","22,691.0","23,130.0","23,677.0","24,342.0","24,939.0","25,357.0","26,080.0","26,819.0","27,474.0","28,334.0","29,181.0","29,734.0","30,164.0","30,622.0","30,994.0","31,418.0","31,954.0","32,948.0","33,893.0","34,370.0","35,094.0","36,175.0","37,193.0","37,470.0","38,116.0","38,618.0","39,114.0","39,479.0","40,157.0","41,001.0","41,819.0","42,664.0","43,620.0","44,627.0","45,559.0","46,434.0","47,496.0","48,659.0","49,885.0","51,276.0","52,463.0","54,047.0","55,522.0","57,143.0","58,769.0","59,872.0","61,279.0","63,280.0","65,108.0","67,526.0","69,480.0","71,719.0","74,125.0","76,435.0","79,045.0","81,770.0"
"42","23","Government social benefit payments to persons","B109RC1","1,640.0","1,900.0","2,372.0","2,268.0","2,836.0","2,828.0","2,744.0","2,372.0","2,464.0","2,560.0","2,712.0","2,892.0","3,180.0","3,692.0","3,028.0","2,860.0","2,760.0","2,652.0","2,584.0","2,580.0","2,828.0","2,996.0","2,892.0","2,936.0","2,900.0","3,000.0","3,080.0","2,908.0","2,996.0","3,044.0","3,088.0","3,140.0","3,200.0","3,300.0","3,260.0","3,248.0","3,268.0","3,248.0","3,268.0","3,384.0","3,476.0","3,548.0","3,648.0","3,732.0","3,968.0","4,020.0","4,004.0","4,148.0","4,336.0","4,324.0","4,324.0","4,372.0","4,424.0","4,500.0","4,620.0","4,700.0","4,852.0","4,920.0","5,032.0","5,124.0","5,220.0","5,312.0","5,348.0","5,480.0","5,572.0","5,664.0","5,728.0","5,824.0","5,976.0","6,088.0","6,196.0","6,356.0","6,464.0","6,612.0","6,720.0","6,808.0","7,032.0","7,508.0","7,724.0","8,220.0","8,368.0","8,948.0","9,524.0","10,088.0","10,616.0","11,364.0","11,680.0","12,124.0","12,616.0","12,832.0","13,404.0"
"43","24","Interest payments \1\","B111RC1","742.0","744.0","746.0","755.0","770.0","781.0","801.0","824.0","841.0","859.0","882.0","901.0","923.0","946.0","973.0","997.0","1,023.0","1,046.0","1,075.0","1,098.0","1,116.0","1,137.0","1,166.0","1,201.0","1,237.0","1,269.0","1,301.0","1,340.0","1,378.0","1,423.0","1,474.0","1,522.0","1,573.0","1,623.0","1,673.0","1,728.0","1,782.0","1,839.0","1,902.0","1,964.0","2,025.0","2,087.0","2,143.0","2,195.0","2,214.0","2,273.0","2,342.0","2,430.0","2,555.0","2,583.0","2,701.0","2,800.0","2,972.0","3,064.0","2,961.0","2,924.0","3,009.0","3,236.0","3,374.0","3,455.0","3,508.0","3,453.0","3,535.0","3,523.0","3,621.0","3,729.0","3,862.0","4,065.0","4,087.0","4,259.0","4,079.0","4,165.0","4,309.0","4,480.0","4,501.0","4,576.0","4,742.0","4,833.0","5,004.0","4,983.0","4,796.0","4,880.0","5,382.0","5,880.0","5,750.0","5,938.0","6,108.0","6,310.0","6,251.0","6,444.0","6,662.0"
"44","25","Subsidies","B114RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8.0","12.0","12.0","16.0","12.0","12.0","8.0","8.0","8.0","16.0","20.0","28.0","28.0","24.0","24.0","20.0","24.0","24.0","28.0","28.0","28.0","28.0","28.0","24.0","24.0","24.0","24.0"
"45","26","    Net state and local government saving","A924RC1","90.0","217.0","43.0","-69.0","-336.0","64.0","45.0","446.0","556.0","438.0","630.0","324.0","-13.0","-268.0","750.0","786.0","1,698.0","1,499.0","1,340.0","1,647.0","1,790.0","1,289.0","2,137.0","2,251.0","1,676.0","2,811.0","2,306.0","2,422.0","2,404.0","2,080.0","1,783.0","1,853.0","1,732.0","2,003.0","2,490.0","2,566.0","2,901.0","3,078.0","3,057.0","2,865.0","3,352.0","2,801.0","2,501.0","1,938.0","970.0","801.0","860.0","1,934.0","1,386.0","1,995.0","2,597.0","2,757.0","2,695.0","2,538.0","2,535.0","2,512.0","2,065.0","1,923.0","2,388.0","2,590.0","2,976.0","3,166.0","3,823.0","3,679.0","3,435.0","3,572.0","4,028.0","3,833.0","4,460.0","4,262.0","4,374.0","4,127.0","3,898.0","4,105.0","4,084.0","4,241.0","5,159.0","5,401.0","5,366.0","4,771.0","5,235.0","4,683.0","4,221.0","4,763.0","4,284.0","5,083.0","4,033.0","3,644.0","3,676.0","3,900.0","4,552.0"
"46","27","Social insurance funds","B118RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","49.0","48.0","35.0","32.0","27.0","24.0","24.0","25.0","35.0","21.0","28.0","28.0","21.0","-3.0","14.0","16.0","3.0","9.0","25.0","19.0","30.0","33.0","27.0","30.0","31.0","33.0","53.0","59.0","78.0","98.0","81.0","103.0","107.0","112.0","126.0","131.0","126.0","117.0","139.0","138.0","147.0","132.0","142.0","155.0","130.0","153.0","168.0"
"47","28","Other","B119RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","921.0","752.0","825.0","1,902.0","1,360.0","1,971.0","2,573.0","2,732.0","2,660.0","2,517.0","2,507.0","2,484.0","2,045.0","1,925.0","2,374.0","2,574.0","2,973.0","3,157.0","3,798.0","3,660.0","3,405.0","3,539.0","4,001.0","3,802.0","4,429.0","4,229.0","4,321.0","4,068.0","3,821.0","4,008.0","4,002.0","4,138.0","5,053.0","5,289.0","5,240.0","4,640.0","5,109.0","4,566.0","4,081.0","4,625.0","4,138.0","4,950.0","3,892.0","3,489.0","3,546.0","3,747.0","4,384.0"
"48",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","29","  Total receipts","W077RC1","13,506.0","14,294.0","14,998.0","15,235.0","15,901.0","16,608.0","17,063.0","17,575.0","18,162.0","18,296.0","19,169.0","19,247.0","19,681.0","20,157.0","20,869.0","21,068.0","22,209.0","22,146.0","22,318.0","23,042.0","23,384.0","23,902.0","24,553.0","25,154.0","25,053.0","26,501.0","26,378.0","26,517.0","27,043.0","27,278.0","27,786.0","28,236.0","29,065.0","29,780.0","30,692.0","31,265.0","32,146.0","32,947.0","33,734.0","34,325.0","35,840.0","36,082.0","36,767.0","37,067.0","37,828.0","38,915.0","39,500.0","41,811.0","42,442.0","42,792.0","45,122.0","45,258.0","45,805.0","47,082.0","47,719.0","48,168.0","49,608.0","50,443.0","51,463.0","52,568.0","53,768.0","54,656.0","55,526.0","56,541.0","57,494.0","58,778.0","60,524.0","61,857.0","63,441.0","64,825.0","66,174.0","67,029.0","68,128.0","69,816.0","71,263.0","72,934.0","76,066.0","78,403.0","80,498.0","81,929.0","83,406.0","84,057.0","87,766.0","91,534.0","94,916.0","98,189.0","100,733.0","103,418.0","105,920.0","109,117.0","113,017.0"
"50","30","    Current receipts","W023RC1","13,207.0","13,967.0","14,674.0","14,905.0","15,473.0","16,168.0","16,604.0","17,106.0","17,632.0","17,788.0","18,578.0","18,688.0","19,069.0","19,532.0","20,242.0","20,436.0","21,566.0","21,491.0","21,686.0","22,368.0","22,714.0","23,215.0","23,818.0","24,414.0","24,377.0","25,605.0","25,577.0","25,698.0","26,192.0","26,452.0","26,943.0","27,396.0","28,133.0","28,804.0","29,640.0","30,233.0","31,081.0","31,842.0","32,569.0","33,152.0","34,210.0","34,516.0","35,111.0","35,339.0","35,486.0","36,275.0","36,940.0","38,676.0","38,899.0","39,896.0","41,040.0","41,883.0","43,039.0","43,995.0","44,486.0","45,230.0","46,101.0","47,272.0","48,264.0","49,285.0","50,322.0","51,045.0","52,185.0","52,839.0","53,637.0","54,796.0","56,294.0","57,358.0","59,162.0","60,180.0","61,091.0","62,152.0","63,338.0","65,098.0","66,601.0","68,116.0","71,008.0","73,288.0","75,261.0","76,763.0","78,295.0","79,814.0","82,435.0","85,867.0","88,204.0","91,893.0","93,568.0","96,227.0","99,002.0","102,245.0","106,412.0"
"51","31","    Capital transfer receipts","AD06RC1","299.0","327.0","324.0","330.0","428.0","440.0","459.0","469.0","530.0","508.0","591.0","559.0","612.0","625.0","627.0","632.0","643.0","655.0","632.0","674.0","670.0","687.0","735.0","740.0","676.0","896.0","801.0","819.0","851.0","826.0","843.0","840.0","932.0","976.0","1,052.0","1,032.0","1,065.0","1,105.0","1,165.0","1,173.0","1,630.0","1,566.0","1,656.0","1,728.0","2,342.0","2,640.0","2,560.0","3,135.0","3,543.0","2,896.0","4,082.0","3,375.0","2,766.0","3,087.0","3,233.0","2,938.0","3,507.0","3,171.0","3,199.0","3,283.0","3,446.0","3,611.0","3,341.0","3,702.0","3,857.0","3,982.0","4,230.0","4,499.0","4,279.0","4,645.0","5,083.0","4,877.0","4,790.0","4,718.0","4,662.0","4,818.0","5,058.0","5,115.0","5,237.0","5,166.0","5,111.0","4,243.0","5,331.0","5,667.0","6,712.0","6,296.0","7,165.0","7,191.0","6,918.0","6,872.0","6,605.0"
"52","32","  Total expenditures","W079RC1","14,100.0","14,736.0","15,761.0","16,297.0","17,320.0","18,038.0","18,810.0","19,154.0","19,831.0","20,730.0","21,697.0","22,162.0","22,853.0","23,706.0","23,592.0","23,933.0","24,224.0","24,795.0","25,216.0","25,451.0","25,818.0","26,749.0","26,429.0","27,118.0","27,911.0","27,949.0","28,708.0","29,203.0","30,204.0","30,951.0","32,052.0","32,469.0","33,757.0","34,450.0","34,827.0","35,400.0","36,441.0","37,253.0","37,995.0","38,812.0","40,166.0","41,081.0","41,943.0","43,060.0","44,472.0","45,485.0","46,592.0","47,653.0","48,655.0","48,784.0","48,881.0","48,821.0","50,254.0","51,743.0","52,686.0","53,484.0","55,634.0","56,054.0","57,041.0","58,948.0","59,185.0","59,663.0","60,446.0","61,426.0","63,154.0","64,146.0","65,977.0","67,508.0","68,770.0","70,713.0","71,560.0","72,730.0","74,206.0","76,574.0","79,212.0","80,890.0","83,106.0","85,298.0","87,460.0","90,740.0","92,726.0","94,537.0","96,991.0","100,565.0","104,084.0","107,996.0","110,713.0","113,788.0","116,237.0","119,250.0","121,906.0"
"53","33","    Current expenditures","W024RC1","13,117.0","13,750.0","14,631.0","14,974.0","15,809.0","16,104.0","16,559.0","16,660.0","17,076.0","17,350.0","17,948.0","18,364.0","19,082.0","19,800.0","19,492.0","19,650.0","19,868.0","19,992.0","20,346.0","20,721.0","20,924.0","21,926.0","21,681.0","22,163.0","22,701.0","22,794.0","23,271.0","23,276.0","23,788.0","24,372.0","25,160.0","25,543.0","26,401.0","26,801.0","27,150.0","27,667.0","28,180.0","28,764.0","29,512.0","30,287.0","30,858.0","31,715.0","32,610.0","33,401.0","34,516.0","35,474.0","36,080.0","36,742.0","37,513.0","37,901.0","38,443.0","39,126.0","40,344.0","41,457.0","41,951.0","42,718.0","44,036.0","45,349.0","45,876.0","46,695.0","47,346.0","47,879.0","48,362.0","49,160.0","50,202.0","51,224.0","52,266.0","53,525.0","54,702.0","55,918.0","56,717.0","58,025.0","59,440.0","60,993.0","62,517.0","63,875.0","65,849.0","67,887.0","69,895.0","71,992.0","73,060.0","75,131.0","78,214.0","81,104.0","83,920.0","86,810.0","89,535.0","92,583.0","95,326.0","98,345.0","101,860.0"
"54","34","    Gross government investment","A799RC1","2,690.0","2,730.0","2,941.0","3,199.0","3,461.0","3,936.0","4,313.0","4,567.0","4,798.0","5,368.0","5,701.0","5,722.0","5,607.0","5,737.0","6,019.0","6,337.0","6,575.0","7,125.0","7,270.0","7,184.0","7,350.0","7,351.0","7,366.0","7,526.0","7,801.0","7,712.0","8,012.0","8,457.0","8,943.0","9,210.0","9,492.0","9,532.0","9,825.0","10,110.0","10,261.0","10,382.0","11,050.0","11,385.0","11,492.0","11,610.0","12,456.0","12,615.0","12,617.0","12,934.0","13,171.0","13,311.0","13,897.0","14,356.0","14,656.0","14,414.0","13,996.0","13,278.0","13,534.0","13,952.0","14,438.0","14,502.0","15,355.0","14,501.0","15,004.0","16,148.0","15,833.0","15,857.0","16,219.0","16,478.0","17,223.0","17,264.0","18,117.0","18,473.0","18,617.0","19,421.0","19,551.0","19,507.0","19,721.0","20,676.0","21,909.0","22,353.0","22,706.0","23,075.0","23,385.0","24,749.0","25,837.0","25,688.0","25,250.0","26,112.0","27,010.0","28,237.0","28,414.0","28,852.0","29,037.0","29,462.0","28,874.0"
"55","35","    Capital transfer payments","W080RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"56","36","    Net purchases of nonproduced assets","AD09RC1","82.0","88.0","93.0","97.0","97.0","107.0","121.0","139.0","166.0","188.0","211.0","231.0","252.0","267.0","276.0","281.0","280.0","276.0","270.0","262.0","245.0","244.0","252.0","267.0","309.0","326.0","337.0","344.0","316.0","337.0","377.0","434.0","540.0","601.0","647.0","676.0","671.0","681.0","686.0","690.0","689.0","697.0","709.0","725.0","756.0","771.0","784.0","793.0","793.0","800.0","808.0","819.0","830.0","849.0","875.0","906.0","952.0","982.0","1,007.0","1,027.0","1,030.0","1,047.0","1,065.0","1,086.0","1,110.0","1,137.0","1,164.0","1,193.0","1,230.0","1,252.0","1,269.0","1,281.0","1,275.0","1,285.0","1,299.0","1,317.0","1,352.0","1,368.0","1,379.0","1,385.0","1,362.0","1,371.0","1,386.0","1,405.0","1,488.0","1,465.0","1,402.0","1,301.0","1,091.0","991.0","929.0"
"57","37","    Less: Consumption of fixed capital","A919RC1","1,789.0","1,832.0","1,904.0","1,973.0","2,047.0","2,109.0","2,183.0","2,212.0","2,209.0","2,176.0","2,163.0","2,155.0","2,088.0","2,098.0","2,195.0","2,335.0","2,499.0","2,598.0","2,670.0","2,716.0","2,701.0","2,772.0","2,870.0","2,838.0","2,900.0","2,883.0","2,912.0","2,874.0","2,843.0","2,968.0","2,977.0","3,040.0","3,009.0","3,062.0","3,231.0","3,325.0","3,460.0","3,577.0","3,695.0","3,775.0","3,837.0","3,946.0","3,993.0","4,000.0","3,971.0","4,071.0","4,169.0","4,238.0","4,307.0","4,331.0","4,366.0","4,402.0","4,454.0","4,515.0","4,578.0","4,642.0","4,709.0","4,778.0","4,846.0","4,922.0","5,024.0","5,120.0","5,200.0","5,298.0","5,381.0","5,479.0","5,570.0","5,683.0","5,779.0","5,878.0","5,977.0","6,083.0","6,230.0","6,380.0","6,513.0","6,655.0","6,801.0","7,032.0","7,199.0","7,386.0","7,533.0","7,653.0","7,859.0","8,056.0","8,334.0","8,516.0","8,638.0","8,948.0","9,217.0","9,548.0","9,757.0"
"58","38","  Net lending or net borrowing (-)","AD03RC1","-594.0","-442.0","-763.0","-1,062.0","-1,419.0","-1,430.0","-1,747.0","-1,579.0","-1,669.0","-2,434.0","-2,528.0","-2,915.0","-3,172.0","-3,549.0","-2,723.0","-2,865.0","-2,015.0","-2,649.0","-2,898.0","-2,409.0","-2,434.0","-2,847.0","-1,876.0","-1,964.0","-2,858.0","-1,448.0","-2,330.0","-2,686.0","-3,161.0","-3,673.0","-4,266.0","-4,233.0","-4,692.0","-4,670.0","-4,135.0","-4,135.0","-4,295.0","-4,306.0","-4,261.0","-4,487.0","-4,326.0","-4,999.0","-5,176.0","-5,993.0","-6,644.0","-6,570.0","-7,092.0","-5,842.0","-6,213.0","-5,992.0","-3,759.0","-3,563.0","-4,449.0","-4,661.0","-4,967.0","-5,316.0","-6,026.0","-5,611.0","-5,578.0","-6,380.0","-5,417.0","-5,007.0","-4,920.0","-4,885.0","-5,660.0","-5,368.0","-5,453.0","-5,651.0","-5,329.0","-5,888.0","-5,386.0","-5,701.0","-6,078.0","-6,758.0","-7,949.0","-7,956.0","-7,040.0","-6,895.0","-6,962.0","-8,811.0","-9,320.0","-10,480.0","-9,225.0","-9,031.0","-9,168.0","-9,807.0","-9,980.0","-10,370.0","-10,317.0","-10,133.0","-8,889.0"
"59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","1. Prior to 1946, interest receipts (line 13) are not shown separately, but are shown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","net of interest payments.  Interest payments includes interest accrued on the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","actuarial liabilities of defined benefit pension plans for state and local government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","employees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
