"","Table 3#10#5# Government Consumption Expenditures and General Go","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"56","38","          Consumption of general government fixed capital \2\","B546RC1","5,127.0","5,910.0","6,662.0","7,330.0","8,175.0","9,373.0","10,653.0","11,670.0","12,798.0","14,203.0","16,065.0","18,439.0","21,007.0","23,241.0","24,743.0","26,327.0","27,687.0","28,824.0","30,083.0","32,084.0","34,092.0","36,103.0","38,445.0","40,064.0","41,978.0","43,746.0","46,204.0","47,721.0","49,403.0","51,000.0","53,641.0","56,911.0","59,004.0","60,837.0","63,174.0","66,009.0","69,376.0","73,013.0","76,872.0","81,001.0","83,492.0","87,721.0","91,830.0","94,281.0"
"57","39","        Intermediate goods and services purchased \3\","W131RC1","4,088.0","4,268.0","5,375.0","7,186.0","6,945.0","8,342.0","10,041.0","9,539.0","10,754.0","12,057.0","13,925.0","17,449.0","20,060.0","18,959.0","23,970.0","20,541.0","25,435.0","28,625.0","25,462.0","18,019.0","24,542.0","28,594.0","29,729.0","34,037.0","32,085.0","35,275.0","36,170.0","34,122.0","38,492.0","37,079.0","35,715.0","40,165.0","48,651.0","59,760.0","66,329.0","73,769.0","80,539.0","87,477.0","85,659.0","99,883.0","111,341.0","125,972.0","116,946.0","123,283.0"
"58","40","          Durable goods","A543RC1","93.0","110.0","144.0","230.0","216.0","249.0","292.0","327.0","435.0","508.0","629.0","756.0","769.0","752.0","797.0","860.0","883.0","868.0","983.0","1,061.0","1,225.0","1,425.0","1,504.0","1,625.0","1,583.0","1,483.0","1,432.0","1,548.0","1,592.0","1,525.0","1,654.0","1,787.0","1,869.0","2,223.0","2,260.0","2,481.0","2,703.0","2,987.0","2,973.0","3,294.0","3,498.0","3,881.0","3,687.0","3,840.0"
"59","41","          Nondurable goods","A729RC1","1,421.0","536.0","867.0","1,170.0","971.0","1,392.0","2,140.0","2,125.0","2,492.0","3,159.0","3,334.0","5,480.0","8,747.0","7,542.0","10,062.0","5,830.0","8,897.0","11,693.0","6,160.0","-771.0","5,147.0","5,008.0","5,920.0","6,483.0","7,595.0","6,141.0","7,487.0","6,615.0","8,511.0","9,384.0","7,184.0","9,344.0","12,200.0","12,705.0","15,561.0","17,239.0","19,064.0","20,157.0","20,036.0","23,725.0","26,413.0","28,407.0","26,572.0","28,417.0"
"60","42","            Commodity Credit Corporation inventory change","B826RC1","710.0","-406.0","-346.0","-376.0","-664.0","-544.0","273.0","170.0","442.0","36.0","-15.0","1,473.0","892.0","1,661.0","2,507.0","-1,846.0","2,245.0","6,390.0","-202.0","-7,069.0","-809.0","-1,500.0","205.0","-632.0","-208.0","-460.0","-195.0","-282.0","-54.0","158.0","125.0","806.0","827.0","140.0","-131.0","-994.0","-533.0","-58.0","-59.0","-256.0","128.0","-174.0","6.0","55.0"
"61","43","            Other nondurable goods","B828RC1","711.0","942.0","1,213.0","1,546.0","1,635.0","1,936.0","1,867.0","1,955.0","2,050.0","3,123.0","3,349.0","4,007.0","7,855.0","5,881.0","7,555.0","7,676.0","6,652.0","5,303.0","6,362.0","6,298.0","5,956.0","6,508.0","5,715.0","7,115.0","7,803.0","6,601.0","7,682.0","6,897.0","8,565.0","9,226.0","7,059.0","8,538.0","11,373.0","12,565.0","15,692.0","18,233.0","19,597.0","20,215.0","20,095.0","23,981.0","26,285.0","28,581.0","26,566.0","28,362.0"
"62","44","          Services","A544RC1","2,574.0","3,622.0","4,364.0","5,786.0","5,758.0","6,701.0","7,609.0","7,087.0","7,827.0","8,390.0","9,962.0","11,213.0","10,544.0","10,665.0","13,111.0","13,851.0","15,655.0","16,064.0","18,319.0","17,729.0","18,170.0","22,161.0","22,305.0","25,929.0","22,907.0","27,651.0","27,251.0","25,959.0","28,389.0","26,170.0","26,877.0","29,034.0","34,582.0","44,832.0","48,508.0","54,049.0","58,772.0","64,333.0","62,650.0","72,864.0","81,430.0","93,684.0","86,687.0","91,026.0"
"63","45","      Less: Own-account investment \4\","W136RC1","2,098.0","2,268.0","2,444.0","2,558.0","2,655.0","2,837.0","3,083.0","3,255.0","3,349.0","3,694.0","4,046.0","4,513.0","4,810.0","4,961.0","5,123.0","5,335.0","5,668.0","5,956.0","6,376.0","6,838.0","7,487.0","8,288.0","9,007.0","9,464.0","10,085.0","10,373.0","10,623.0","10,577.0","10,611.0","10,908.0","11,048.0","11,214.0","12,307.0","12,692.0","13,308.0","13,676.0","14,223.0","14,328.0","14,229.0","14,696.0","15,371.0","15,687.0","15,855.0","15,097.0"
"64","46","      Less: Sales to other sectors","W137RC1","769.0","698.0","776.0","1,172.0","1,271.0","1,365.0","1,321.0","1,791.0","2,500.0","3,102.0","3,966.0","4,072.0","3,779.0","3,350.0","3,755.0","3,789.0","3,830.0","3,663.0","4,197.0","4,692.0","5,033.0","4,827.0","5,602.0","4,788.0","4,179.0","4,564.0","4,384.0","4,554.0","3,098.0","4,273.0","2,989.0","4,613.0","2,993.0","2,680.0","3,057.0","3,574.0","5,786.0","4,418.0","4,080.0","5,013.0","5,733.0","7,051.0","9,092.0","5,334.0"
"65","47","State and local consumption expenditures \1\","A991RC1","80,438.0","92,111.0","104,211.0","115,382.0","126,811.0","144,485.0","165,615.0","177,180.0","193,005.0","209,856.0","229,448.0","252,784.0","276,089.0","297,414.0","316,726.0","339,961.0","371,807.0","399,890.0","428,347.0","458,937.0","501,325.0","546,179.0","580,130.0","619,042.0","646,476.0","682,237.0","716,823.0","748,080.0","785,931.0","835,680.0","902,002.0","969,116.0","1,039,740.0","1,091,037.0","1,127,138.0","1,187,569.0","1,256,607.0","1,325,906.0","1,411,371.0","1,488,743.0","1,508,360.0","1,518,304.0","1,517,436.0","1,536,356.0"
"66","48","      Gross output of general government","W138RC1","94,167.0","107,319.0","121,362.0","134,426.0","147,907.0","167,784.0","191,249.0","205,725.0","224,363.0","245,401.0","270,316.0","298,868.0","328,968.0","356,917.0","382,949.0","411,658.0","450,504.0","486,061.0","521,262.0","560,530.0","614,592.0","670,843.0","718,347.0","771,898.0","813,785.0","861,126.0","908,555.0","948,916.0","998,740.0","1,058,661.0","1,137,144.0","1,223,681.0","1,316,297.0","1,381,784.0","1,432,537.0","1,510,052.0","1,594,147.0","1,685,031.0","1,787,992.0","1,879,726.0","1,913,902.0","1,942,305.0","1,963,086.0","1,999,732.0"
"67","49","        Value added","W139RC1","72,382.0","81,990.0","92,219.0","102,384.0","112,612.0","125,231.0","140,720.0","150,752.0","163,523.0","178,797.0","196,439.0","217,282.0","237,828.0","256,896.0","273,932.0","293,294.0","319,131.0","344,411.0","371,217.0","400,758.0","438,838.0","480,324.0","513,652.0","552,969.0","580,027.0","609,854.0","638,223.0","663,385.0","694,686.0","732,292.0","780,048.0","831,808.0","891,285.0","937,798.0","981,703.0","1,037,901.0","1,086,817.0","1,142,828.0","1,210,194.0","1,273,164.0","1,303,990.0","1,332,322.0","1,339,401.0","1,357,324.0"
"68","50","          Compensation of general government employees","B251RC1","64,618.0","73,162.0","82,369.0","91,710.0","100,722.0","110,505.0","124,036.0","133,325.0","145,086.0","158,917.0","174,201.0","191,596.0","208,455.0","224,835.0","240,880.0","259,206.0","283,195.0","305,829.0","329,571.0","356,280.0","391,130.0","428,683.0","458,547.0","495,321.0","519,213.0","545,530.0","569,642.0","591,374.0","618,973.0","652,522.0","695,113.0","740,400.0","794,404.0","836,392.0","876,522.0","926,296.0","964,970.0","1,011,099.0","1,065,498.0","1,117,676.0","1,141,874.0","1,167,409.0","1,167,989.0","1,178,485.0"
"69","51","          Consumption of general government fixed capital \2\","B986RC1","7,763.0","8,829.0","9,850.0","10,674.0","11,890.0","14,726.0","16,684.0","17,427.0","18,437.0","19,880.0","22,238.0","25,686.0","29,373.0","32,061.0","33,051.0","34,089.0","35,936.0","38,582.0","41,647.0","44,477.0","47,708.0","51,642.0","55,104.0","57,648.0","60,814.0","64,324.0","68,580.0","72,011.0","75,713.0","79,770.0","84,935.0","91,408.0","96,881.0","101,406.0","105,181.0","111,605.0","121,847.0","131,729.0","144,696.0","155,489.0","162,116.0","164,913.0","171,411.0","178,840.0"
"70","52","        Intermediate goods and services purchased \3\","W140RC1","21,785.0","25,328.0","29,143.0","32,042.0","35,295.0","42,554.0","50,529.0","54,973.0","60,840.0","66,604.0","73,878.0","81,586.0","91,140.0","100,020.0","109,017.0","118,364.0","131,373.0","141,650.0","150,044.0","159,772.0","175,755.0","190,518.0","204,695.0","218,929.0","233,758.0","251,272.0","270,332.0","285,531.0","304,055.0","326,369.0","357,095.0","391,873.0","425,012.0","443,985.0","450,834.0","472,152.0","507,331.0","542,202.0","577,799.0","606,561.0","609,912.0","609,983.0","623,685.0","642,407.0"
"71","53","          Durable goods","B989RC1","1,288.0","1,555.0","1,879.0","2,184.0","2,464.0","2,889.0","3,303.0","3,638.0","4,008.0","4,385.0","4,864.0","5,311.0","6,056.0","6,646.0","7,155.0","7,770.0","8,359.0","9,213.0","9,784.0","10,409.0","11,313.0","11,943.0","12,676.0","13,229.0","13,676.0","14,382.0","15,505.0","15,917.0","16,853.0","18,446.0","19,774.0","20,941.0","22,112.0","22,131.0","21,521.0","22,045.0","22,502.0","23,117.0","23,879.0","24,025.0","25,084.0","24,136.0","23,484.0","23,749.0"
"72","54","          Nondurable goods","B337RC1","7,821.0","8,965.0","10,173.0","10,905.0","12,347.0","15,430.0","18,788.0","21,204.0","24,067.0","26,141.0","29,862.0","33,556.0","36,954.0","38,163.0","39,703.0","42,477.0","45,316.0","45,311.0","48,900.0","51,428.0","57,290.0","63,349.0","65,535.0","68,561.0","72,168.0","76,849.0","83,855.0","89,862.0","93,403.0","95,836.0","106,297.0","123,693.0","131,256.0","133,972.0","140,930.0","154,385.0","174,809.0","190,476.0","207,124.0","230,109.0","212,046.0","221,089.0","240,395.0","247,784.0"
"73","55","          Services","A988RC1","12,677.0","14,809.0","17,091.0","18,953.0","20,484.0","24,234.0","28,437.0","30,130.0","32,765.0","36,078.0","39,151.0","42,718.0","48,130.0","55,212.0","62,159.0","68,117.0","77,698.0","87,126.0","91,360.0","97,935.0","107,152.0","115,226.0","126,483.0","137,139.0","147,914.0","160,041.0","170,972.0","179,752.0","193,799.0","212,088.0","231,024.0","247,239.0","271,645.0","287,882.0","288,383.0","295,721.0","310,020.0","328,609.0","346,795.0","352,426.0","372,782.0","364,758.0","359,806.0","370,875.0"
"74","56","      Less: Own-account investment \4\","W144RC1","1,889.0","2,061.0","2,217.0","2,310.0","2,439.0","2,845.0","3,014.0","2,987.0","3,050.0","3,522.0","4,265.0","4,887.0","5,252.0","5,696.0","6,101.0","6,975.0","7,881.0","8,810.0","9,491.0","10,398.0","11,904.0","13,077.0","14,109.0","14,445.0","14,792.0","15,405.0","16,134.0","16,836.0","18,531.0","19,315.0","20,740.0","22,752.0","25,201.0","26,149.0","26,638.0","27,823.0","29,563.0","31,627.0","33,617.0","35,802.0","36,158.0","35,225.0","34,785.0","35,192.0"
"75","57","      Less: Sales to other sectors","W145RC1","11,840.0","13,147.0","14,933.0","16,734.0","18,657.0","20,453.0","22,621.0","25,558.0","28,308.0","32,023.0","36,604.0","41,198.0","47,628.0","53,808.0","60,123.0","64,722.0","70,816.0","77,361.0","83,423.0","91,194.0","101,363.0","111,586.0","124,108.0","138,410.0","152,518.0","163,483.0","175,597.0","184,000.0","194,278.0","203,667.0","214,402.0","231,813.0","251,356.0","264,597.0","278,761.0","294,661.0","307,977.0","327,497.0","343,004.0","355,180.0","369,384.0","388,776.0","410,864.0","428,184.0"
"76","58","        Tuition and related educational charges","B1065C1","1,925.0","2,400.0","2,872.0","3,217.0","3,656.0","3,960.0","4,259.0","4,701.0","5,216.0","5,768.0","6,393.0","7,223.0","8,281.0","9,367.0","10,637.0","11,689.0","12,723.0","13,844.0","14,956.0","16,553.0","18,366.0","20,250.0","22,627.0","25,447.0","27,374.0","29,255.0","31,112.0","32,938.0","35,360.0","37,853.0","40,515.0","43,647.0","46,127.0","49,319.0","53,409.0","56,651.0","60,910.0","65,650.0","69,641.0","73,837.0","79,173.0","85,200.0","92,236.0","98,652.0"
"77","59","        Health and hospital charges","B1066C1","3,485.0","3,835.0","4,645.0","5,589.0","6,562.0","7,417.0","8,470.0","9,875.0","10,899.0","12,679.0","15,175.0","17,332.0","20,966.0","24,478.0","27,805.0","29,360.0","31,981.0","34,754.0","37,020.0","40,305.0","44,956.0","49,998.0","56,986.0","65,281.0","73,123.0","78,801.0","84,990.0","86,576.0","89,864.0","93,432.0","96,702.0","104,000.0","116,160.0","120,747.0","124,822.0","130,874.0","132,283.0","141,336.0","149,814.0","157,631.0","166,959.0","175,292.0","184,477.0","191,974.0"
"78","60","        Other sales \5\","W146RC1","6,430.0","6,912.0","7,416.0","7,928.0","8,439.0","9,076.0","9,892.0","10,981.0","12,193.0","13,576.0","15,035.0","16,643.0","18,380.0","19,963.0","21,681.0","23,673.0","26,113.0","28,763.0","31,447.0","34,336.0","38,041.0","41,338.0","44,495.0","47,682.0","52,020.0","55,427.0","59,496.0","64,486.0","69,055.0","72,382.0","77,185.0","84,166.0","89,069.0","94,531.0","100,529.0","107,136.0","114,784.0","120,510.0","123,549.0","123,713.0","123,252.0","128,284.0","134,152.0","137,558.0"
"79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","(construction, software, and research and development).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","2. Consumption of fixed capital, or depreciation, is included in government gross output as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","a partial measure of the services of general government fixed assets; the use of depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","assumes a zero net return on these assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","3. Includes general government intermediate inputs for goods and services sold to other sectors and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","for own-account investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","4. Own-account investment is measured in current dollars by compensation of general government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","employees and related expenditures for goods and services and is classified as investment in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","structures, software, and research and development in table 3.9.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","5. Includes federal purchases of research and development produced by state and local general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
