"","Table 4#2#5# Exports and Imports of Goods and Services by Type o","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"56","38","    Nondurable goods","B698RC1","2,508.0","2,991.0","3,344.0","4,159.0","4,838.0","5,227.0","5,547.0","7,574.0","8,392.0","11,329.0","12,156.0","13,189.0","14,987.0","16,233.0","19,840.0","26,238.0","28,027.0","33,731.0","39,842.0","43,612.0","46,644.0","49,307.0","50,773.0","58,491.0","63,475.0","68,747.0","76,044.0","81,647.0","94,382.0","104,900.0","115,824.0","132,732.0","138,133.0","147,676.0","163,321.0","175,937.0","188,129.0","202,973.0","215,482.0","219,368.0","204,814.0","225,959.0","243,975.0","241,630.0"
"57","39","  Other","A653RC1","2,304.0","2,482.0","2,677.0","3,033.0","3,258.0","3,701.0","3,312.0","3,802.0","5,092.0","6,014.0","6,812.0","9,054.0","12,348.0","13,328.0","13,630.0","15,780.0","18,304.0","19,478.0","21,806.0","24,344.0","26,896.0","31,652.0","32,912.0","34,644.0","35,806.0","40,580.0","43,062.0","44,696.0","51,246.0","59,424.0","66,032.0","75,248.0","76,506.0","77,990.0","74,870.0","76,060.0","81,486.0","83,740.0","85,098.0","82,472.0","75,460.0","93,060.0","85,064.0","90,606.0"
"58","40","Imports of services \1\","B656RC1","13,678.0","14,905.0","15,792.0","17,282.0","19,316.0","22,945.0","23,729.0","26,514.0","29,813.0","34,841.0","39,887.0","45,258.0","49,944.0","52,642.0","55,961.0","68,791.0","73,934.0","82,861.0","93,945.0","101,868.0","106,239.0","121,657.0","122,824.0","122,864.0","127,212.0","136,612.0","145,123.0","156,518.0","170,120.0","184,939.0","200,291.0","224,007.0","222,272.0","231,644.0","249,801.0","289,044.0","309,914.0","344,457.0","375,265.0","409,991.0","388,690.0","410,763.0","435,276.0","447,736.0"
"59","41","  Direct defense expenditures","B752RC1","4,856.0","4,855.0","4,819.0","4,784.0","4,629.0","5,032.0","4,795.0","4,892.0","5,823.0","7,352.0","8,294.0","10,851.0","11,564.0","12,459.0","13,087.0","12,515.0","13,109.0","13,731.0","14,951.0","15,604.0","15,312.0","17,531.0","16,409.0","13,835.0","12,087.0","10,217.0","10,043.0","11,061.0","11,707.0","12,185.0","12,456.0","12,698.0","13,537.0","17,417.0","22,978.0","26,110.0","27,676.0","27,330.0","27,917.0","28,311.0","30,474.0","28,478.0","27,752.0","24,734.0"
"60","42","  Travel","B768RC1","3,373.0","3,980.0","4,373.0","5,042.0","5,526.0","5,980.0","6,417.0","6,856.0","7,451.0","8,475.0","9,413.0","10,397.0","11,479.0","12,394.0","13,150.0","22,913.0","24,559.0","25,912.0","29,309.0","32,114.0","33,418.0","37,350.0","35,322.0","38,552.0","40,713.0","43,782.0","44,918.0","48,078.0","52,051.0","56,483.0","59,332.0","65,366.0","60,912.0","59,495.0","58,311.0","66,738.0","69,930.0","72,959.0","77,127.0","80,494.0","74,132.0","75,505.0","78,229.0","83,451.0"
"61","43","  Passenger fares","B769RC1","1,080.0","1,215.0","1,290.0","1,596.0","1,790.0","2,095.0","2,263.0","2,568.0","2,748.0","2,896.0","3,184.0","3,607.0","4,487.0","4,772.0","6,004.0","5,734.0","6,444.0","6,504.0","7,284.0","7,730.0","8,249.0","10,529.0","10,013.0","10,603.0","11,410.0","13,062.0","14,665.0","15,809.0","18,138.0","19,971.0","20,946.0","23,613.0","21,921.0","19,189.0","20,125.0","23,730.0","25,189.0","26,646.0","27,681.0","31,841.0","25,117.0","27,256.0","31,079.0","34,654.0"
"62","44","  Other transportation","B770RC1","2,456.0","2,843.0","3,130.0","3,520.0","4,694.0","5,942.0","5,708.0","6,852.0","7,972.0","9,124.0","10,906.0","11,790.0","12,474.0","11,711.0","12,225.0","14,847.0","15,642.0","17,766.0","19,010.0","20,891.0","22,170.0","24,967.0","24,977.0","23,770.0","24,526.0","26,020.0","27,035.0","27,406.0","28,961.0","30,364.0","31,498.0","37,212.0","34,912.0","35,056.0","40,619.0","48,946.0","54,212.0","55,320.0","55,773.0","56,696.0","42,601.0","51,202.0","54,630.0","55,445.0"
"63","45","  Royalties and license fees","B908RC1","223.0","225.0","241.0","293.0","385.0","456.0","583.0","593.0","618.0","791.0","961.0","853.0","804.0","795.0","944.0","1,170.0","1,172.0","1,401.0","1,857.0","2,603.0","2,528.0","3,135.0","4,035.0","5,160.0","5,032.0","5,853.0","6,919.0","7,838.0","9,161.0","11,236.0","13,303.0","16,608.0","16,660.0","19,493.0","19,258.0","23,693.0","25,577.0","25,038.0","26,478.0","29,623.0","31,296.0","32,550.0","34,786.0","39,888.0"
"64","46","  Other private services","B909RC1","569.0","630.0","735.0","786.0","904.0","1,917.0","2,305.0","2,907.0","3,221.0","3,946.0","4,599.0","5,135.0","6,335.0","7,436.0","7,265.0","8,217.0","9,352.0","13,829.0","17,327.0","18,449.0","19,930.0","23,287.0","26,833.0","25,380.0","27,760.0","31,567.0","35,196.0","39,680.0","43,153.0","47,592.0","55,885.0","61,085.0","66,636.0","73,183.0","80,301.0","90,622.0","97,720.0","127,308.0","149,847.0","172,543.0","174,572.0","186,423.0","199,654.0","201,228.0"
"65","47","  Other","B910RC1","1,121.0","1,157.0","1,204.0","1,261.0","1,388.0","1,523.0","1,658.0","1,846.0","1,980.0","2,257.0","2,530.0","2,625.0","2,801.0","3,075.0","3,286.0","3,395.0","3,656.0","3,718.0","4,207.0","4,477.0","4,632.0","4,858.0","5,235.0","5,564.0","5,684.0","6,111.0","6,347.0","6,646.0","6,949.0","7,108.0","6,871.0","7,425.0","7,694.0","7,811.0","8,209.0","9,205.0","9,610.0","9,856.0","10,442.0","10,483.0","10,498.0","9,349.0","9,146.0","8,336.0"
"66",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","48","  Exports of durable goods","A332RC1","23,686.0","27,119.0","27,548.0","31,041.0","41,362.0","56,461.0","63,806.0","69,044.0","72,042.0","85,262.0","108,017.0","133,327.0","140,115.0","124,675.0","120,385.0","132,378.0","137,246.0","142,618.0","162,937.0","208,780.0","239,805.0","261,973.0","282,280.0","300,514.0","313,971.0","349,617.0","394,021.0","421,141.0","482,320.0","486,554.0","508,731.0","573,407.0","525,296.0","492,785.0","501,824.0","565,725.0","629,820.0","715,048.0","783,195.0","829,441.0","671,913.0","801,220.0","897,429.0","946,088.0"
"68","49","  Exports of nondurable goods","A339RC1","14,576.0","17,427.0","18,009.0","20,754.0","32,562.0","44,520.0","45,823.0","48,726.0","51,611.0","60,139.0","76,024.0","92,454.0","98,982.0","90,326.0","86,908.0","93,249.0","84,995.0","83,384.0","94,610.0","117,005.0","129,549.0","134,664.0","141,285.0","147,438.0","145,963.0","160,447.0","189,258.0","197,189.0","205,374.0","194,306.0","202,716.0","223,725.0","218,407.0","219,793.0","238,975.0","267,082.0","295,467.0","333,056.0","382,130.0","468,191.0","392,775.0","477,214.0","576,171.0","589,910.0"
"69","50","  Exports of agricultural goods \2\","B181RC1","6,095.0","7,374.0","7,831.0","9,514.0","17,977.0","22,410.0","22,243.0","23,380.0","24,332.0","29,896.0","35,464.0","42,043.0","44,094.0","37,258.0","37,134.0","38,430.0","29,630.0","27,174.0","29,525.0","38,278.0","41,080.0","40,217.0","40,106.0","44,073.0","43,602.0","47,097.0","57,241.0","61,520.0","58,469.0","53,156.0","49,655.0","52,802.0","54,890.0","54,512.0","60,884.0","62,943.0","64,886.0","72,870.0","92,115.0","117,968.0","100,980.0","118,972.0","140,017.0","144,923.0"
"70","51","  Exports of nonagricultural goods","A182RC1","32,167.0","37,172.0","37,726.0","42,281.0","55,947.0","78,571.0","87,386.0","94,390.0","99,321.0","115,505.0","148,577.0","183,738.0","195,003.0","177,743.0","170,159.0","187,197.0","192,611.0","198,828.0","228,022.0","287,507.0","328,274.0","356,420.0","383,459.0","403,879.0","416,332.0","462,967.0","526,038.0","556,810.0","629,225.0","627,704.0","661,792.0","744,330.0","688,813.0","658,066.0","679,915.0","769,864.0","860,401.0","975,234.0","1,073,210.0","1,179,664.0","963,708.0","1,159,462.0","1,333,583.0","1,391,075.0"
"71","52","  Imports of durable goods","A333RC1","20,757.0","22,775.0","26,602.0","33,290.0","40,803.0","50,321.0","45,639.0","56,814.0","69,194.0","89,025.0","100,447.0","111,933.0","126,049.0","125,129.0","147,323.0","192,439.0","204,165.0","238,794.0","264,183.0","294,777.0","310,284.0","314,526.0","315,526.0","346,702.0","386,398.0","454,045.0","510,757.0","533,395.0","588,528.0","637,724.0","715,529.0","822,399.0","757,130.0","773,653.0","805,569.0","935,276.0","1,024,179.0","1,129,705.0","1,174,620.0","1,161,981.0","893,068.0","1,108,325.0","1,234,540.0","1,324,923.0"
"72","53","  Imports of nondurable goods","A340RC1","16,056.0","18,080.0","19,948.0","23,644.0","31,040.0","54,199.0","53,361.0","67,818.0","83,436.0","88,385.0","112,341.0","136,638.0","141,766.0","125,412.0","125,354.0","143,877.0","139,129.0","131,212.0","150,586.0","157,347.0","174,509.0","193,546.0","185,197.0","198,227.0","206,364.0","222,768.0","246,691.0","274,053.0","297,128.0","293,027.0","334,765.0","427,987.0","418,407.0","424,437.0","488,933.0","573,603.0","691,978.0","766,777.0","825,657.0","984,411.0","694,248.0","842,885.0","1,000,074.0","970,471.0"
"73","54","  Imports of nonpetroleum goods","A187RC1","34,164.0","37,928.0","42,900.0","52,284.0","63,428.0","77,912.0","71,982.0","90,060.0","107,648.0","134,856.0","152,358.0","169,057.0","189,442.0","188,590.0","217,589.0","278,266.0","291,910.0","335,727.0","371,825.0","412,492.0","433,881.0","445,776.0","448,983.0","493,350.0","541,280.0","625,537.0","701,419.0","734,702.0","813,885.0","879,847.0","978,176.0","1,124,245.0","1,066,113.0","1,088,818.0","1,154,111.0","1,318,958.0","1,452,982.0","1,579,815.0","1,653,589.0","1,670,264.0","1,319,610.0","1,597,563.0","1,772,466.0","1,861,526.0"
"74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the federal government, are included ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","in services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Beginning with 1986, repairs and alterations of equipment are reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","2. Includes parts of foods, feeds, and beverages, of nondurable industrial supplies and materials, and of nondurable ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","nonautomotive consumer goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
