"","Table 2#3#5U# Personal Consumption Expenditures by Major Type of","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"16","8","E1TCS1 B   Clothing and shoes","E1TCS10",26374,26963,27645,28984,29795,32378,34068,37380,39196,43151,46476,47788,51699,56379,62501,65988,70833,76639,84113,94318,101193,107337,117186,120481,130852,142525,152143,163113,174363,185526,198921,204088,208655,221851,229855,238092,241722,250225,258084,270875,286318,297712,297705,302114,307239
"17","9","E1GFO1 B   Gasoline, fuel oil, and other energy goods","E1GFO10",15328,15848,15760,16354,16968,17708,19182,20705,21923,23265,25021,26344,27710,29461,34411,43974,48142,53169,57991,61634,80598,102137,113699,108596,106701,108442,110761,91390,96556,99995,110442,124065,120847,124639,126552,128998,133287,144762,147739,133899,149780,191482,187062,177467,208235
"18","10","E1GAO1 B     Gasoline and oil","E1GAO10",11281,12004,12009,12597,12952,13572,14751,16032,17100,18560,20460,21921,23150,24406,28131,36130,39703,43046,46934,50102,66243,86689,97919,94125,93081,94568,97205,80052,85355,88344,98565,111184,108493,112446,114131,116191,120213,130415,134416,122389,137858,175656,171642,163361,191335
"19","11","E1FUL1 B     Fuel oil and coal","E1FUL10",4047,3844,3751,3757,4016,4136,4431,4673,4823,4705,4561,4423,4560,5055,6280,7844,8439,10123,11057,11532,14355,15448,15780,14471,13620,13874,13556,11338,11201,11651,11878,12881,12355,12193,12421,12806,13074,14347,13322,11510,11922,15826,15420,14106,16899
"20","12","E1TON1 B   Other","E1TON10",26114,27693,29191,31374,33140,35015,37586,41353,43508,47038,50161,54075,56398,60797,66558,72728,78544,85989,92400,104731,117998,130636,144487,155164,169849,186275,198220,211933,229137,244465,265699,284953,297779,314690,331133,349500,369205,391862,416940,449004,495589,532858,564416,594691,620099
"21","13","E1TSS1 A Services","E1TSS10",126509,135574,143771,153620,162921,176124,188979,203828,220254,241591,266131,291493,319483,352212,385786,426602,480208,534744,600249,676569,753347,846884,950839,1049447,1178594,1292169,1428105,1538292,1663305,1816542,1960031,2115851,2247367,2421172,2571760,2723891,2879122,3048741,3235779,3445717,3660040,3928836,4154254,4379788,4610099
"22","14","E1HOS1 B   Housing","E1HOS10",45032,48151,51179,54732,57960,61365,65426,69460,74056,79782,86932,94075,102794,112602,123313,134754,147710,162220,180234,202361,227279,256171,289727,315163,340999,374544,412710,448370,483663,521501,557354,597939,631114,658466,683886,726142,764386,800092,842613,894612,948412,1006456,1073711,1144789,1188365
"23","15","E1HOP1 B   Household operation","E1HOP10",18731,20293,21217,22424,23626,25018,26486,28106,30031,32254,35043,37793,41101,45448,49933,55832,64000,72529,81797,91189,100257,113733,126775,142458,157010,169378,181824,187745,195415,207289,221070,227262,238604,250743,269880,286157,298746,318542,336992,350478,364785,390110,409024,408964,431323
"24","16","E1GEL1 B     Electricity and gas","E1GEL10",7642,8330,8831,9442,9872,10406,10879,11505,12206,13020,14077,15347,16909,18770,20416,24026,29172,33190,38450,43008,47784,57506,64808,74154,82368,86495,90757,89203,90908,96261,101042,101044,107413,108874,118158,120655,122202,129403,131348,129762,130642,143300,156682,152586,167306
"25","17","E1HLU1 B     Other household operation","E1HLU10",11089,11963,12386,12982,13754,14612,15607,16601,17825,19234,20966,22446,24192,26678,29517,31806,34828,39339,43347,48181,52473,56227,61967,68304,74642,82883,91067,98542,104507,111028,120028,126218,131191,141869,151723,165502,176544,189138,205644,220716,234143,246809,252342,256378,264017
"26","18","E1TOT1 B   Transportation","E1TOT10",10568,11175,11634,12291,12902,13769,14699,15928,17440,19276,21621,24033,26818,29552,31555,34068,37860,42480,48674,53422,59903,65232,70273,72928,81099,93213,104545,111071,120853,133414,142034,147722,145296,157664,172677,190597,207673,226503,245667,259481,276399,291254,292839,287988,294030
"27","19","E1TMD1 B   Medical care","E1TMD10",16373,17683,18972,21173,23043,26427,28568,31466,34664,40148,45834,51697,58425,65624,73308,82348,95557,109083,125298,143081,160974,184367,216706,243300,274273,303203,331516,357537,392169,442848,492486,556026,608877,672213,715105,752947,797851,833535,873034,921390,961141,1026813,1113828,1210272,1301072
"28","20","E1REC1 B   Recreation","E1REC10",6358,6938,7444,7997,8523,9117,9617,10422,11081,12463,13785,15058,16329,17606,19728,22513,25388,28358,31428,34732,38777,43602,50610,56842,63638,69734,77709,83677,89963,102126,114257,125907,132907,146596,160372,171389,187921,202471,215065,229269,248593,268265,284137,299556,317178
"29","21","E1OSR1 B   Other","E1OSR10",29446,31334,33325,35002,36867,40428,44183,48447,52983,57667,62916,68837,74016,81380,87950,97087,109692,120074,132819,151785,166157,183780,196748,218754,261575,282097,319800,349892,381242,409363,432830,460995,490568,535489,569840,596658,622545,667599,722408,790488,860709,945940,980715,1028218,1078130
"30",NA,"         Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","22","E1NRG1 B   Energy goods and services","E1NRG10",22970,24178,24591,25796,26840,28114,30061,32210,34129,36285,39098,41691,44619,48231,54827,68000,77314,86359,96441,104642,128382,159643,178507,182750,189069,194937,201518,180593,187464,196256,211484,225109,228260,233513,244710,249652,255489,274165,279087,263661,280422,334783,343744,330053,375540
"32","23","E1XEF1 B   Personal consumption expenditures excluding food and energy","E1XEF10",214015,225219,233546,251406,267583,289765,313008,339340,361186,399532,434637,463000,507563,560983,617978,663620,733870,823032,919525,1034331,1139163,1241513,1379038,1491164,1677726,1860951,2051209,2227123,2397565,2603861,2795373,2978052,3100303,3332427,3541327,3773048,3979447,4213987,4472113,4786032,5128933,5479432,5743382,6040177,6320820
"33",NA,"PCE by Major Type of Expenditure (From NIPA table 2.5.5):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","24","E1PCE1 A     Personal consumption expenditures","E1PCE10",317628,331725,342122,363283,382669,411415,443779,480859,507753,558032,605218,648465,701868,770602,852417,933427,1034394,1151913,1278609,1428535,1592215,1757133,1941060,2077268,2290557,2503286,2720305,2899724,3100234,3353616,3598496,3839937,3986066,4235265,4477887,4743286,4975787,5256832,5547400,5879483,6282474,6739378,7055038,7376059,7760880
"35","25","E1FTB1 C Food and tobacco","E1FTB10",87197,89200,91126,93302,95747,101101,108802,117838,121366,131639,141277,154566,161024,173582,192853,215906,238278,259310,279623,307843,343855,376837,406345,427656,451277,476640,498389,524165,549751,588243,630250,677767,699912,717333,740551,767914,790057,820099,850049,888719,944768,1003707,1051956,1094951,1152595
"36","26","E1FXA1 C   Food excluding alcoholic beverages","E1FXA10",70039,71563,73139,74625,76361,81143,87751,95524,98412,106843,114751,125103,129329,139259,155630,175623,194636,211918,229491,253363,283795,310583,334399,351660,369246,391528,408648,429915,452110,486710,520782,558625,575626,586778,608648,635407,654328,678677,702869,732805,771670,816488,855551,889777,941822
"37","27","E1ALC1 C   Alcoholic beverages","E1ALC10",10604,10766,10846,11456,11886,12394,12959,13785,14027,15373,16732,18670,20357,22130,23982,26184,28575,30604,33152,36199,40875,45395,49116,51694,54516,55870,58930,62093,63095,66788,70856,78151,81877,82547,83202,85179,86524,90003,93332,96984,101449,108676,112361,116052,122698
"38","28","E1TOB1 C   Tobacco products","E1TOB10",6554,6871,7141,7221,7500,7564,8092,8529,8928,9423,9794,10792,11338,12193,13241,14099,15068,16787,16980,18281,19185,20860,22830,24303,27515,29243,30811,32157,34546,34745,38611,40991,42409,48008,48701,47328,49205,51419,53848,58929,71649,78543,84045,89122,88076
"39","29","E1CAJ1 C Clothing, accessories, and jewelry","E1CAJ10",32040,32742,33455,35003,36028,39120,41384,45463,47814,52451,56196,57640,61752,67088,74670,79285,85619,93654,102779,115139,123422,132272,143848,147027,161049,175838,188265,204099,218871,235735,252509,261481,263532,280903,293369,306289,314492,327199,337431,356260,379584,396953,397137,404409,412270
"40","30","E1PCR1 C Personal care","E1PCR10",5178,5568,6129,6717,7021,7529,8103,9042,9759,10494,10860,11512,11672,12323,13556,14814,16067,17478,19879,21942,23841,25482,27145,28005,32238,35518,38762,42266,46477,50087,53780,56948,58494,61968,64437,68098,72781,77005,82869,86178,89451,93372,94524,95792,96884
"41","31","E1HOS1 B Housing","E1HOS10",45032,48151,51179,54732,57960,61365,65426,69460,74056,79782,86932,94075,102794,112602,123313,134754,147710,162220,180234,202361,227279,256171,289727,315163,340999,374544,412710,448370,483663,521501,557354,597939,631114,658466,683886,726142,764386,800092,842613,894612,948412,1006456,1073711,1144789,1188365
"42","32","E1HHO1 C Household operation","E1HHO10",45032,46708,48223,50988,54045,58383,62056,67152,70818,76262,81119,84846,90083,99517,111387,123583,135671,152028,170451,189605,212019,233326,254460,271926,296742,322805,343603,359619,376306,398637,423200,433288,444277,466032,497475,529581,553478,586609,616249,641849,675208,719278,740318,746029,779613
"43","33","E1MED1 C Medical care","E1MED10",20558,22209,23868,26545,28684,32297,34710,37964,41432,47689,54182,61293,68540,76710,85317,95477,109892,124673,142127,162333,183276,209618,245239,274783,310049,343680,376388,407414,447555,505017,561866,635133,692866,761108,808997,853318,904963,950741,1002794,1069376,1130846,1218341,1327310,1444948,1557158
"44","34","E1PBU1 C Personal business","E1PBU10",13104,14118,15349,15922,16661,18419,20101,22032,23655,26014,28920,31785,34305,37715,41328,46608,54909,60460,67153,78925,85916,95229,102270,115059,143643,151839,177525,198306,213605,224156,236249,250859,279658,306656,329982,336123,349561,376036,412925,446055,491581,539098,536516,552125,577723
"45","35","E1TRN1 C Transportation","E1TRN10",40720,42843,41455,46373,50224,53328,59375,62242,64534,73939,80441,81462,94488,105050,115825,119725,132364,156784,179129,196657,219624,238939,264016,269972,300683,339902,377667,385177,401251,431115,455897,471680,447265,483158,520812,567305,594576,641805,685203,717973,785045,853428,872366,877493,925451
"46","36","E1USE1 C   User-operated transportation","E1USE10",37500,39510,38085,42833,46662,49542,55325,57850,59647,68417,74018,74483,86803,96460,106501,109111,121055,143705,164428,181027,202221,218784,242694,248028,276790,313059,349832,356460,370503,397630,420690,434670,410777,445931,481132,525362,550536,594760,634578,664410,729254,793776,818314,827167,872905
"47","37","E1PLT1 C   Purchased local transportation","E1PLT10",1984,2026,1992,2032,2040,2042,2061,2121,2236,2439,2708,2988,3260,3440,3473,3710,4040,4449,4759,4766,4845,4793,5011,5352,5804,6414,6811,7051,6942,7280,7492,8400,8753,9049,9380,9894,10137,10860,11097,11804,11924,12227,12470,12384,12551
"48","38","E1PIT1 C   Purchased intercity transportation","E1PIT10",1236,1307,1378,1508,1522,1744,1989,2271,2651,3083,3715,3991,4425,5150,5851,6904,7269,8630,9942,10864,12558,15362,16312,16592,18088,20429,21024,21666,23806,26205,27715,28610,27735,28178,30300,32050,33903,36184,39529,41760,43866,47425,41582,37942,39996
"49","39","E1RCR1 C Recreation","E1RCR10",17666,18492,19252,20778,22447,24572,26856,30868,33129,36723,39967,43104,46028,51478,57589,63402,70541,78155,85535,96097,108858,117481,130840,140898,156923,174764,189717,206941,226812,251662,272410,290166,301980,321319,351014,383372,418151,448367,474475,505798,546067,585712,604024,628289,660679
"50","40","E1TED1 C Education and research","E1TED10",4032,4376,4699,5128,5596,6175,7006,7972,8874,10095,11316,12695,13940,15288,16885,18511,20610,22540,24158,26798,29777,33481,37602,41311,45371,49409,53880,58138,63194,70236,77683,83700,89269,96036,101480,107281,114346,122650,129682,140028,150488,163771,178077,190736,201697
"51","41","E1RAW1 C Religious and welfare activities","E1RAW10",5050,5198,5340,5453,5740,6559,7102,7694,8529,9260,9964,10973,12464,14013,14974,16653,18287,20821,23231,26585,30274,34757,39153,42956,46149,51783,55657,61933,66686,74444,80993,88651,92918,102283,106467,115250,120356,130464,134234,145962,154478,172284,186470,202882,211174
"52","42","E1FTO1 C Foreign travel and other, net","E1FTO10",2019,2121,2047,2342,2517,2568,2858,3132,3788,3684,4044,4514,4778,5237,4721,4708,4445,3790,4311,4250,4075,3540,416,2509,5434,6564,7742,3296,6063,2781,-3696,-7673,-15219,-19998,-20582,-17386,-21361,-24233,-21125,-13327,-13453,-13022,-7373,-6383,-2730
"53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","A=Annual, quarterly, and monthly data published in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","  the Survey of Current Business monthly (NIPA table 2.8.5 and table B.2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","B=Annual and quarterly data published in the Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","  of Current Business monthly (NIPA table 2.3.5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","C=Annual data published in the Survey of Current",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","  Business annually (NIPA table 2.5.5 and table B.4)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","D=Detail underlying published data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
