"","Table 5#6#5BU3# Inventory Valuation Adjustment by Industry      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34"
"12",NA,"    By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","4","D     Durable goods industries","I30D0",4936,5724,5624,4500,8356,6204,8836,10944,9088,4656,-212,-2732,-8620,280,-3416,1204,1756,2440,6332,7204,6328,28,-608,-1888,-3156,-680,60,-7236,-12784,-15704,-15280
"14","5","D       Wood product manufacturing","I3210",-816,-304,48,48,-116,80,328,624,116,-264,-396,224,-204,336,620,240,216,120,356,532,184,-136,-56,176,-128,52,-376,-452,-476,-680,-204
"15","6","D       Nonmetallic mineral product manufacturing","I3270",168,68,-92,-268,20,-16,-68,120,48,-96,-80,-208,-480,-244,-392,-368,-620,-108,4,216,148,-316,-112,-264,-308,-120,-92,-372,-352,-272,-456
"16","7","D       Primary metal manufacturing","I3310",-2468,604,944,1152,1832,1516,2156,2656,2080,724,-224,-776,-1324,316,-312,124,308,1136,1196,1188,552,-668,-400,-372,-672,-352,-856,-2104,-3512,-1816,-3152
"17","8","D       Fabricated metal product manufacturing","I3320",-340,240,112,-12,596,524,828,1280,1312,464,0,-420,-1516,-272,-616,-200,276,940,1100,1176,632,44,-720,-904,-1152,-124,-76,-1092,-2856,-4288,-4140
"18","9","D       Machinery manufacturing","I3330",1896,-496,-548,-636,104,-260,-164,-4,248,588,-128,-220,-1412,-488,-184,220,896,-60,616,368,1332,96,-404,-896,-912,-128,88,-476,-1052,-2960,-2836
"19","10","D       Computer and electronic product manufacturing","I3340",5956,5628,5152,3868,4576,3380,3488,3876,3288,3072,1712,172,16,2180,-256,1976,1588,4,1604,2432,2716,1588,2224,1760,2272,1576,2248,-236,-336,184,100
"20","11","D       Electrical equipment, appliance, and component manufacturing","I3350",-960,196,280,424,520,376,556,560,452,124,-236,-380,-612,-60,-344,276,48,40,76,180,156,72,-96,-48,-260,-100,16,-284,-856,-784,-584
"21","12","D       Transportation equipment manufacturing","I3360",1344,-92,-44,-24,432,512,1256,1264,880,148,-204,-764,-1988,-1588,-1668,-932,-936,580,680,452,172,-940,-952,-1200,-1352,-1016,-632,-1620,-1940,-3060,-2692
"22","13","D         Motor vehicle and parts manufacturing","I336MV0",724,232,204,-20,436,360,800,1040,812,344,4,-60,-924,-16,-408,-100,-116,480,168,240,420,-28,-28,-476,-260,-208,60,-824,-760,-1692,-1128
"23","14","D         Other transportation equipment manufacturing","I336OT0",620,-324,-248,-4,-4,152,456,224,68,-196,-208,-704,-1064,-1572,-1260,-832,-820,100,512,212,-248,-912,-924,-724,-1092,-808,-692,-796,-1180,-1368,-1564
"24","15","D       Furniture and related product manufacturing","I3370",108,-72,-60,-80,56,-40,100,204,132,-120,-192,-16,-172,-64,96,-40,92,-92,164,220,20,-76,-88,-124,-208,-40,-420,-444,-324,-700,-168
"25","16","D       Miscellaneous durable goods manufacturing","I3390",48,-48,-168,28,336,132,356,364,532,16,-464,-344,-928,164,-360,-92,-112,-120,536,440,416,364,-4,-16,-436,-428,160,-156,-1080,-1328,-1148
"26","17","D     Nondurable goods industries","I30N0",4744,2644,1332,948,4772,3828,3348,4976,5384,1104,-2400,-4856,-8480,-6736,-5724,-6224,-4840,-224,5792,10936,6740,752,-2432,-4652,-13032,-4236,-3032,-7260,-7032,-8772,-8016
"27","18","D       Food manufacturing","I3110",-376,492,736,-340,1552,500,368,916,1844,672,-724,-372,-896,-1448,152,-820,-1236,-1344,-596,1900,1140,620,-1080,-1584,-2704,-1960,-1936,-2640,-1388,-3300,749
"28","19","D       Beverage and tobacco product manufacturing","I3120",-116,-256,-216,-152,-160,-196,-180,-216,-8,4,-64,-60,-220,-268,-284,-324,-16,20,80,128,-152,-156,-180,-224,-228,-168,-176,-192,-116,-236,-238
"29","20","D       Textile mills","I3130",172,8,24,48,20,-20,120,232,288,316,124,140,0,-68,52,-56,-140,496,340,196,44,48,16,8,8,-48,20,-36,-16,-104,-39
"30","21","D       Textile product mills","I3140",-128,76,72,52,-16,4,116,192,196,184,132,76,-8,-60,-76,-108,20,260,320,232,176,164,96,100,76,104,152,100,0,-120,-165
"31","22","D       Apparel manufacturing","I3150",-140,152,116,0,-212,-40,316,300,368,404,416,-12,40,108,-100,-44,-224,352,316,388,224,236,92,64,136,48,72,60,112,20,-76
"32","23","D       Leather and allied product manufacturing","I3160",-128,44,72,28,168,20,24,92,28,4,20,-52,-60,-8,-48,-128,-172,-196,108,152,124,52,0,-16,-76,12,-40,-80,-132,-12,-35
"33","24","D       Paper manufacturing","I3220",1648,-56,-40,112,-356,272,-36,20,672,1148,860,-92,-224,-640,-824,-1180,-1224,-936,468,1668,1744,1316,604,-316,-112,-488,-448,-256,-552,-908,-430
"34","25","D       Printing and related support activities","I3230",840,-476,-240,-136,-252,56,-152,-100,608,832,540,-52,-220,-308,-528,-588,-592,-476,416,1072,848,688,84,-144,-48,-340,-108,-68,-236,-404,-173
"35","26","D       Petroleum and coal product manufacturing","I3240",2260,2000,808,864,2812,1752,1328,1620,-788,-2916,-2372,-3032,-3260,-844,-1640,-1344,1168,1052,1076,2324,-424,-1336,-248,-628,-4244,1228,-940,-2332,-1264,-624,-1679
"36","27","D       Chemical manufacturing","I3250",412,812,-92,200,1004,936,568,900,1352,568,-672,-800,-2740,-1752,-1804,-1560,-2152,384,1792,1620,1864,-644,-1208,-1704,-4412,-1300,-132,-1704,-2600,-1988,-4547
"37","28","D       Plastics and rubber product manufacturing","I3260",300,-152,92,272,212,544,876,1020,824,-112,-660,-600,-892,-1448,-624,-72,-272,164,1472,1256,1152,-236,-608,-208,-1428,-1324,504,-112,-840,-1096,-1382
"38",NA,"    By stage of fabrication:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","29","D     Materials and supplies","I30M0",3860,2500,2536,2456,4864,4728,5308,6168,6444,2840,-360,-2456,-3948,-3124,-1940,-1640,132,912,4712,7112,5016,436,-1660,-2480,-5488,-1996,-1916,-6272,-8384,-11016,-9718
"40","30","D       Durable goods industries","I30DM0",1336,1912,2056,2140,3184,3132,3804,4276,4020,1812,296,-772,-1588,-408,-320,528,2020,1544,2800,2872,1812,-176,-624,-712,-976,-252,-552,-3484,-5744,-7368,-6908
"41","31","D       Nondurable goods industries","I30NM0",2524,588,480,316,1680,1596,1504,1892,2424,1028,-656,-1684,-2360,-2716,-1620,-2168,-1888,-632,1912,4240,3204,612,-1036,-1768,-4512,-1744,-1364,-2788,-2640,-3648,-2810
"42","32","D     Work-in-process","I30W0",3064,2844,2476,1996,3984,2732,3580,4600,3596,1568,-356,-1932,-4852,-1124,-2684,-896,-276,700,2944,4004,2464,-264,-696,-1444,-3272,-508,-448,-3584,-5012,-5932,-6011
"43","33","D       Durable goods industries","I30DW0",2872,2284,2184,1672,2992,2024,2924,3668,2984,1660,116,-1024,-3304,-332,-1696,168,184,528,1948,2252,1944,-132,-216,-548,-1008,-244,0,-2136,-3916,-4616,-4708
"44","34","D       Nondurable goods industries","I30NW0",192,560,292,324,992,708,656,932,612,-92,-472,-908,-1548,-792,-988,-1064,-460,172,996,1752,520,-132,-480,-896,-2264,-264,-448,-1448,-1096,-1316,-1303
"45","35","D     Finished goods","I30F0",2756,3024,1944,996,4280,2572,3296,5152,4432,1352,-1896,-3200,-8300,-2208,-4516,-2484,-2940,604,4468,7024,5588,608,-684,-2616,-7428,-2412,-608,-4640,-6420,-7528,-7567
"46","36","D       Durable goods industries","I30DF0",728,1528,1384,688,2180,1048,2108,3000,2084,1184,-624,-936,-3728,1020,-1400,508,-448,368,1584,2080,2572,336,232,-628,-1172,-184,612,-1616,-3124,-3720,-3664
"47","37","D       Nondurable goods industries","I30NF0",2028,1496,560,308,2100,1524,1188,2152,2348,168,-1272,-2264,-4572,-3228,-3116,-2992,-2492,236,2884,4944,3016,272,-916,-1988,-6256,-2228,-1220,-3024,-3296,-3808,-3903
"48","38","D Wholesale trade industries","IWT0",5380,6700,7724,6408,9072,7272,11144,6748,4912,2088,-1576,-4960,-11116,-3380,2268,-2920,2064,4140,5604,10164,2492,396,-9544,-2880,-7824,-252,-1896,-14300,-16620,-15556,-8412
"49",NA,"    By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","39","D     Durable goods industries","IWTD0",4372,4640,5720,5612,6124,5812,7196,6120,5236,3192,388,-1608,-3476,848,1876,3180,5960,2616,3260,4116,3336,440,-60,-424,-144,-324,-424,-5020,-9520,-10068,-10712
"51","40","D     Nondurable goods industries","IWTN0",1008,2060,2004,796,2948,1460,3948,628,-324,-1104,-1964,-3352,-7640,-4228,392,-6100,-3896,1524,2344,6048,-844,-44,-9484,-2456,-7680,72,-1472,-9280,-7100,-5488,2300
"52",NA,"    By type of wholesaler:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","41","D     Merchant wholesale industries","I42W0",3536,5004,6408,5536,7516,6508,9948,4944,3752,1796,-912,-3932,-8284,-3308,3556,-2512,2336,3600,4496,8308,900,416,-9640,-2104,-5968,-64,-2060,-12888,-15012,-13508,-6272
"54","42","D       Durable goods industries","I42WD0",3140,3464,4528,4840,5300,5520,6360,4872,4348,2540,516,-1372,-1984,276,2384,2856,5984,2368,2836,3356,2152,252,-392,-104,20,-276,-872,-4352,-8668,-8688,-9620
"55","43","D         Motor vehicles, parts, and supplies wholesalers","I42110",404,640,848,716,224,-32,-172,-528,28,-132,-188,-512,-120,-364,-364,-384,324,272,-92,888,536,560,836,484,-16,60,260,-24,168,-396,-343
"56","44","D         Furniture and home furnishings wholesalers","I42120",48,76,16,28,-76,-68,-20,-52,20,-16,-44,-36,-28,-72,-68,-52,-48,-12,16,-8,-16,16,-80,-52,4,-84,-92,-24,76,-128,-283
"57","45","D         Lumber and other construction materials wholesalers","I42130",-320,-372,140,384,132,220,200,232,-516,-564,-476,400,-160,240,500,256,48,-608,40,584,-168,-132,76,240,-92,-156,-428,-248,-792,-1712,-816
"58","46","D         Professional and commercial equipment wholesalers","I42140",2588,2724,3136,3016,4100,4120,3876,3056,3232,2500,2052,1444,1484,1272,1080,1504,3536,1192,1640,1320,916,764,1008,764,1048,552,588,348,128,288,605
"59","47","D           Computers and software wholesalers","I421430",2740,2896,3144,3088,4140,4072,3872,3148,3156,2556,2152,1508,1468,1300,1280,1716,3440,1292,1888,1532,1124,804,1232,1036,1244,608,700,716,488,556,815
"60","48","D           Other professional and commercial equipment wholesalers","I4214X0",-152,-172,-8,-72,-40,48,4,-92,76,-56,-100,-64,16,-28,-200,-212,96,-100,-248,-212,-208,-40,-224,-272,-196,-56,-112,-368,-360,-268,-210
"61","49","D         Metal and mineral (except petroleum) wholesalers","I42150",-116,-108,148,140,356,452,788,1220,1232,504,8,-540,-1148,-432,244,584,668,732,596,360,320,-392,-1028,-952,-444,120,-100,-1320,-3252,-4868,-4331
"62","50","D         Electrical goods wholesalers","I42160",744,356,188,528,496,332,412,40,72,368,496,340,288,100,28,316,540,560,480,264,148,488,420,464,400,188,236,328,532,40,44
"63","51","D         Hardware and plumbing and heating equipment wholesalers","I42170",-40,-40,-56,-84,-16,32,12,-20,-40,-12,-140,-108,-72,-88,-88,-24,-132,-128,-144,-164,-68,8,-28,-72,-84,-112,-100,-116,-224,-288,-435
"64","52","D         Machinery, equipment, and supplies wholesalers","I42180",-36,160,100,124,-512,-408,-296,-504,-484,-244,-80,-224,-460,-384,-320,-352,-412,-508,-416,-404,-112,-36,-264,-452,-436,-504,-556,-528,-824,-1304,-1562
"65","53","D         Miscellaneous durable goods wholesalers","I42190",-132,28,8,-12,596,872,1560,1428,804,136,-1112,-2136,-1768,4,1372,1008,1460,868,716,516,596,-1024,-1332,-528,-360,-340,-680,-2768,-4480,-320,-2499
"66","54","D       Nondurable goods industries","I42WN0",396,1540,1880,696,2216,988,3588,72,-596,-744,-1428,-2560,-6300,-3584,1172,-5368,-3648,1232,1660,4952,-1252,164,-9248,-2000,-5988,212,-1188,-8536,-6344,-4820,3348
"67","55","D         Paper and paper products wholesalers","I42210",232,328,-136,-380,-340,24,228,416,248,-240,-380,-372,-452,-972,-240,-56,-24,260,408,180,264,332,-112,-152,-68,-84,116,72,4,-540,-829
"68","56","D         Drugs and druggists' sundries wholesalers","I42220",-32,144,-108,-268,-1092,-1976,-732,-608,24,20,-312,-208,-164,-64,-252,-180,20,148,152,8,-180,-152,-312,-296,-204,-244,-304,-272,-416,-304,-184
"69","57","D         Apparel, piece goods, and notions wholesalers","I42230",-60,-136,-116,-132,-128,8,92,24,172,108,100,44,-40,32,88,-4,-40,-180,64,156,256,312,116,-12,-176,-40,16,-68,-16,0,-43
"70","58","D         Grocery and related products wholesalers","I42240",192,328,104,4,-268,-116,-280,-192,-220,-380,-232,192,-168,-568,380,-376,-1292,-420,-60,108,-1080,1528,280,-136,-1104,-652,-832,-1004,308,-1480,360
"71","59","D         Farm product raw material wholesalers","I42250",-212,-220,2320,1044,1540,2164,3660,448,1052,1624,1732,512,-2320,-804,3160,-2712,-1044,1272,-508,1484,-28,320,-6896,28,-488,-796,480,-4712,-3196,-880,6577
"72","60","D         Chemical and allied products wholesalers","I42260",8,152,-48,12,136,120,172,136,176,64,-188,-368,-376,-332,-316,-56,-328,108,476,300,172,-408,-300,-320,-856,-52,104,-108,-636,-368,-825
"73","61","D         Petroleum amd petroleum products wholesalers","I42270",512,1480,-120,444,1988,752,864,520,-508,-2020,-1748,-1400,-2368,-200,-848,-820,1080,344,1056,2728,-880,-1040,-988,-932,-3332,2940,-864,-1404,-1244,-748,-1339
"74","62","D         Beer, wine, and distilled alcoholic beverages wholesalers","I42280",-132,-96,-36,68,-112,-64,-96,-196,-24,40,-108,-16,-96,-288,-236,-104,-160,-20,-24,-48,-92,-40,-120,-160,-20,-60,-12,-88,-272,148,-136
"75","63","D         Miscellaneous nondurable goods wholesalers","I42290",-112,-440,20,-96,492,76,-320,-476,-1516,40,-292,-944,-316,-388,-564,-1060,-1860,-280,96,36,316,-688,-916,-20,260,-800,108,-952,-876,-648,-232
"76","64","D     Nonmerchant wholesale industries","I42N0",1844,1696,1316,872,1556,764,1196,1804,1160,292,-664,-1028,-2832,-72,-1288,-408,-272,540,1108,1856,1592,-20,96,-776,-1856,-188,164,-1412,-1608,-2048,-2140
"77","65","D       Durable goods industries","I42ND0",1232,1176,1192,772,824,292,836,1248,888,652,-128,-236,-1492,572,-508,324,-24,248,424,760,1184,188,332,-320,-164,-48,448,-668,-852,-1380,-1092
"78","66","D       Nondurable goods industries","I42NN0",612,520,124,100,732,472,360,556,272,-360,-536,-792,-1340,-644,-780,-732,-248,292,684,1096,408,-208,-236,-456,-1692,-140,-284,-744,-756,-668,-1048
"79","67","D Retail trade industries","I440",4404,4160,4820,3432,5804,2172,3300,1032,2252,24,-5316,-4696,-1492,-2388,-496,-2220,-800,-2500,1864,5152,2264,2956,332,-208,-3104,1336,652,944,-712,-9904,-8828
"80","68","D   Motor vehicle and parts dealers","I4410",324,680,2060,688,1424,616,-28,-720,1288,-92,-2360,-3124,360,-1516,-1092,-2156,-1180,-904,1228,2000,1252,2180,1156,692,368,272,2948,4148,2880,-1928,-3400
"81","69","D   Furniture, furnishings, electronics, and appliance stores","I44230",1864,1356,1516,1112,1540,1440,2004,1272,1288,1092,504,472,528,672,664,812,1224,592,752,508,632,520,508,336,780,268,196,476,144,248,-128
"82","70","D   Building material and garden equipment and supplies dealers","I4440",-208,-320,-100,260,84,-144,-108,128,156,-264,-680,132,-584,-568,-24,144,76,-244,-144,204,-36,-560,-648,-240,24,-388,-556,-1020,-1084,-4068,-3547
"83","71","D   Food and beverage stores","I4450",288,16,228,-28,264,-112,-116,-180,-420,-12,-444,-276,356,-412,216,-180,-1044,-852,-456,-200,184,1112,388,476,-440,-632,-428,-1264,-132,-1396,521
"84","72","D   Clothing and clothing accessories stores","I4480",-36,-128,-40,-20,-88,0,104,-56,36,144,80,64,-192,-160,-48,-8,208,-84,76,236,324,332,144,-168,-472,-460,-208,-200,-344,-360,-388
"85","73","D   General merchandise stores","I4520",108,28,48,40,64,-100,-32,8,-24,144,-44,-148,320,216,276,300,-276,-376,-204,-20,-48,-144,-252,-276,-192,-180,-152,-244,-124,-348,-142
"86","74","D     Department stores","I45210",88,88,92,80,60,12,92,100,220,212,172,140,332,360,364,360,-152,-220,-140,-120,-36,-60,-92,-124,-128,-108,-80,-80,-48,-52,-46
"87","75","D     Other general merchandise stores","I45290",20,-60,-44,-40,4,-112,-124,-92,-244,-68,-216,-288,-12,-144,-88,-60,-124,-156,-64,100,-12,-84,-160,-152,-64,-72,-72,-164,-76,-296,-96
"88","76","D   Other retail stores","I44X0",2064,2528,1108,1380,2516,472,1476,580,-72,-988,-2372,-1816,-2280,-620,-488,-1132,192,-632,612,2424,-44,-484,-964,-1028,-3172,2456,-1148,-952,-2052,-2052,-1744
"89","77","D Other industries","IOTH0",968,1144,-52,-188,988,420,624,1356,1048,-420,-1140,-1404,-2184,-520,-328,-984,-792,-736,1620,3604,1268,352,224,-768,-1776,2056,-500,152,-328,-512,252
"90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","B=Quarterly data published in the Survey of Current Business monthly (NIPA table 5.6.5B).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","D=Detail underlying published data.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
