"","Table 1#17#1# Percent Change From Preceding Period in Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"18","8","    Gross domestic purchases","A712RL1",3.1,-0.2,3.6,5.5,5,-1.3,-1.1,6.5,5.3,5.5,2.4,-1.9,2.7,-1.3,5.8,8.7,4.4,3.7,2.9,3.2,3,1.4,-0.9,3.4,3.4,4.5,2.4,3.8,4.7,5.5,5.7,4.8,1.2,2.4,2.9,3.9,3.2,2.6,1.2,-1.5,-4,2.8,1.7
"19","9","    Final sales to domestic purchasers \2\","A713RL1",3.2,0.6,3,5.5,4.5,-1,0.2,5.1,5.1,5.4,2.9,-1,1.5,0,5.5,6.7,5.6,4,2.5,3.3,2.8,1.6,-0.6,3.1,3.3,3.8,2.8,3.8,4.2,5.6,5.8,4.9,2.1,1.9,2.8,3.5,3.3,2.5,1.4,-1,-3.3,1.3,1.8
"20",NA,"Purchasing power of income: \3\"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","10","    Command-basis gross domestic product","C191RL1",3.1,0.1,3.2,5.2,5.6,-1.6,-0.1,5.4,4.2,5.5,2.7,-1.5,2.7,-1.5,5,7.4,4.3,3.4,3,4.1,3.6,1.7,0,3.4,3,4.1,2.5,3.8,4.7,4.8,4.7,3.8,1.5,2,2.4,3.3,2.7,2.5,1.9,-1.3,-2,2.1,1.4
"22","11","    Command-basis net domestic product \1\","C362RL1",3,-0.4,3.2,5.3,5.6,-2.3,-0.5,5.7,4.3,5.6,2.3,-2.4,2.5,-2.4,5.2,7.9,4.2,3.2,2.7,4.1,3.5,1.4,-0.4,3.4,2.9,4.1,2.2,3.7,4.6,4.6,4.4,3.4,0.9,1.8,2.3,3.3,2.6,2.4,1.6,-1.9,-2.5,2.3,1.4
"23","12","    Command-basis gross national product","CB22RL1",3.1,0.1,3.3,5.2,5.8,-1.5,-0.3,5.5,4.3,5.4,3,-1.6,2.5,-1.5,4.9,7.3,4,3.2,2.9,4.2,3.6,1.8,-0.1,3.3,3,4,2.5,3.8,4.6,4.7,4.8,3.9,1.6,1.9,2.5,3.4,2.7,2.3,2.2,-1,-2.2,2.5,1.7
"24","13","    Command-basis net national product \1\","C027RL1",2.9,-0.4,3.3,5.4,5.8,-2.2,-0.8,5.8,4.4,5.6,2.7,-2.4,2.3,-2.3,5.1,7.7,3.8,2.9,2.7,4.2,3.5,1.5,-0.5,3.4,2.9,4,2.3,3.7,4.5,4.5,4.5,3.5,1.1,1.7,2.5,3.4,2.6,2.1,2,-1.6,-2.7,2.8,1.7
"25",NA,"After-tax income received by the personal sector:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","14","    Disposable personal income","A067RL1",3.2,4.3,4.5,4.8,6.8,-0.8,2.2,4,3.4,4.7,2.3,1,2.7,2.2,3.3,7.2,3.1,3.3,1.6,4.3,2.7,1.9,0.8,3.5,1.7,3.2,3,3.3,3.5,6,3,5.1,2.4,3.3,2.5,3.4,1.4,4,2.4,2.4,-2.8,1.8,1.3
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","1. In this table, the net measures are the corresponding gross measures less the depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","of fixed assets as measured by the consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2. Equals gross domestic purchases less change in private inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","3. The command-basis estimates (lines 10-13) measure the purchasing power of the income generated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","by the sale of goods and services produced; they reflect gains or losses in real income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","resulting from changes in the terms of trade for exports and imports.  For more detail on the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","command-basis measures, see NIPA tables 1.8.3 and 1.8.6.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
