"","Table 1#17#6# Real Gross Domestic Product, Real Gross Domestic I","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"11","3","    Net domestic product \1\","A362RX1",3966,3956.3,4089.3,4314.2,4566.6,4514.6,4484.5,4737.8,4959.7,5242.9,5393.2,5343.2,5467.7,5313.9,5563.5,5987.4,6224,6428.1,6621.1,6892.4,7132.6,7246.5,7197.3,7447.5,7655,7968.4,8148.5,8439.3,8801.8,9159.8,9575.4,9936.6,9987.2,10143.3,10395.2,10758.6,11081.6,11360,11545.3,11451.7,11022.1,11313.3,11522.4
"12","4","    Net domestic income \1\","W256RX1",3953.1,3927.1,4044.7,4279.5,4537.1,4481.5,4434,4669.1,4901.1,5175.7,5281.2,5244.1,5394.5,5304.9,5473.8,5932.8,6153.1,6317.1,6568.8,6907,7049.8,7127.1,7088.4,7301.1,7478.4,7830,8083.1,8407.7,8818.4,9260.4,9657.8,10088.5,10101.5,10167.3,10377.4,10781.7,11176.7,11594.9,11556.5,11453.9,10914.3,11292.4,11494.4
"13",NA,"Production by labor and capital supplied by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","5","    Gross national product","A001RX1",4288,4295.8,4442.2,4678.9,4960.3,4939.8,4917.2,5186.8,5429.1,5728.4,5925.2,5908.3,6047.3,5934,6197.1,6634.1,6888,7110.4,7335.9,7643.9,7917.3,8075,8048.8,8319.4,8556,8893,9121.7,9463.1,9873.4,10295.3,10802.9,11259.2,11395,11597.1,11909.9,12341.6,12720.1,13028.3,13322,13316.9,12889,13253.4,13522
"15","6","    Gross national income","A023RX1",4275.5,4267.4,4399.1,4645.4,4931.8,4907.8,4868.6,5120.7,5373,5663.9,5817.9,5813.5,5977.3,5925.5,6110.9,6581.3,6819.4,7002.9,7285.3,7658.1,7836.7,7958.4,7942.2,8175.7,8382.5,8756.9,9057.3,9432,9889.9,10395,10884.8,11410.3,11508.9,11621,11892.2,12364.7,12815.2,13263,13333.3,13319.2,12781,13232.4,13493.8
"16","7","    Net national product \1\","A027RX1",3996.2,3986.2,4122.6,4349.9,4614.9,4569.9,4527,4788.7,5016.9,5299.5,5470.1,5419.3,5534.3,5383.5,5631,6051.3,6269.1,6458.1,6649.9,6929.1,7170.8,7294.8,7238,7487,7694.9,7998.2,8184.2,8476.6,8829.2,9180.2,9607.6,9979.4,10044.7,10197.3,10468.7,10853.3,11178.7,11429.8,11660.9,11606.6,11153.2,11503.6,11745
"17",NA,"Final expenditures by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","8","    Gross domestic purchases","A712RX1",4355,4348.3,4503.1,4751.8,4987,4922.1,4867.9,5184.8,5459.8,5758.4,5898.3,5784.8,5939.7,5860.4,6203.1,6739.7,7039.4,7297.2,7512.1,7752.2,7984.2,8097.8,8027.8,8302.7,8585.7,8968.5,9181.3,9534,9984.4,10531.1,11131.8,11671.6,11815.8,12097.5,12444.7,12935.5,13345.7,13688.1,13855.3,13653.1,13102.3,13473,13698.8
"19","9","    Final sales to domestic purchasers \2\","A713RX1",4342,4367.2,4497.6,4745.2,4958,4906.2,4914.7,5163.6,5427,5720.4,5884.2,5823.3,5911.7,5911.9,6239.3,6658.4,7029.3,7309.7,7495.3,7746.2,7965.8,8096.4,8047.1,8299.5,8577.3,8907,9160.6,9512.4,9912.5,10464.7,11067.7,11613.3,11860.9,12088.3,12429,12869.8,13295.7,13629,13826.4,13691.2,13243,13419.7,13664.2
"20",NA,"Purchasing power of income: \3\"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","10","    Command-basis gross domestic product","C191RX1",4359.3,4363.1,4503.5,4736.7,4999.8,4918.7,4913.9,5178,5396.8,5693.8,5845.4,5754.9,5909.9,5819,6108.3,6562,6846,7079.4,7289.2,7588.2,7858,7989.6,7991.6,8259.5,8503.8,8853.2,9070.7,9418.9,9864.5,10341.2,10828.7,11239.9,11403.9,11631.2,11906.2,12294,12623,12943.1,13184.6,13009.2,12747.4,13012.8,13200.2
"22","11","    Command-basis net domestic product \1\","C362RX1",4067.7,4053,4183,4406.8,4652.8,4544.6,4520.2,4776,4979.6,5259.6,5383,5255.9,5387.6,5260.9,5535.8,5973.4,6222.7,6423.1,6599.2,6869.2,7107.6,7205.1,7177.5,7423.7,7639.5,7955.5,8130.2,8429.6,8817.3,9223.7,9631,9957.8,10051.9,10230.2,10464.6,10805.9,11081.6,11344.1,11523.5,11300.6,11013.9,11266.8,11428
"23","12","    Command-basis gross national product","CB22RX1",4386.4,4389.9,4533.8,4769.5,5045.4,4969.6,4953,5225.8,5450.7,5747.3,5918.2,5825.5,5972.1,5884.3,6172.4,6622.6,6889.1,7107.4,7316.3,7623,7895.2,8037,8031.5,8297.4,8543.6,8883.3,9107,9457,9892.2,10361.5,10860.9,11282.5,11461.5,11684.8,11979.6,12388.6,12720.1,13013.1,13300.4,13163.1,12878.4,13200.6,13420.7
"24","13","    Command-basis net national product \1\","C027RX1",4095.8,4080.8,4214.5,4440.7,4700.1,4597.4,4560.9,4825.8,5035.8,5315.5,5459,5329.4,5452.5,5329,5602.4,6036.1,6267.2,6452,6627.2,6905,7145.7,7253.7,7218.2,7462.4,7680,7986,8167,8468.2,8845.4,9244.3,9663.4,10000.7,10109.7,10284,10538.1,10900.5,11178.7,11414.2,11639.3,11454.3,11144.5,11453.6,11647.1
"25",NA,"After-tax income received by the personal sector:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","14","    Disposable personal income","A067RX1",2979.9,3107.3,3247.7,3405.2,3636.6,3608.6,3689.5,3836.6,3969,4154.6,4251.9,4293.7,4407.9,4504.4,4653.5,4986.9,5142.4,5312.6,5399.9,5633,5782.5,5893.6,5943.2,6152.5,6255.3,6456,6648.6,6867.8,7110.4,7535.4,7763.1,8157.8,8356.2,8633.2,8850.5,9152.9,9277.3,9652.8,9880.3,10119.5,9836.7,10016.5,10149.7
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","1. In this table, net measures are the corresponding gross measures less the depreciation of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","fixed assets as measured by the consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2. Equals gross domestic purchases less change in private inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","3. The command-basis estimates (lines 10-13) measure the purchasing power of the income generated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","by the sale of goods and services produced; they reflect gains or losses in real income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","resulting from changes in the terms of trade for exports and imports.  For more detail on the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","command-basis estimates, see NIPA tables 1.8.3 and 1.8.6.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
