"","Table 5#4#4# Price Indexes for Private Fixed Investment in Struc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"34","27","    Amusement and recreation","W046RG3",4.675,4.388,3.732,3.199,3.195,3.53,3.521,3.675,4.163,4.128,4.138,4.344,4.67,5.15,5.559,5.67,5.899,6.838,8.937,9.731,9.563,9.543,10.643,10.971,11.116,10.854,11.214,12.009,12.403,12.191,12.058,12.032,11.993,12.155,12.38,12.62,13.033,13.531,13.961,14.717,15.822
"35","28","    Transportation","W047RG3",6.233,5.894,5.359,5.034,4.839,4.774,4.732,4.829,5.351,5.183,5.233,5.333,5.631,6.161,6.268,6.101,6.392,6.913,8.306,9.498,9.626,10.128,10.871,11.271,11.821,12.17,12.57,13.563,14.217,14.395,14.66,14.766,14.589,14.588,14.602,14.716,14.96,15.256,15.554,16.374,17.3
"36","29","      Air","W048RG3",4.678,4.391,3.734,3.201,3.197,3.533,3.523,3.678,4.166,4.131,4.141,4.347,4.673,5.153,5.563,5.674,5.904,6.843,8.943,9.738,9.57,9.55,10.65,10.978,11.124,10.862,11.222,12.017,12.412,12.2,12.066,12.041,12.001,12.164,12.389,12.629,13.042,13.54,13.971,14.728,15.833
"37","30","      Land \3\","W049RG3",6.445,6.095,5.551,5.227,5.019,4.941,4.896,4.994,5.532,5.355,5.408,5.507,5.812,6.358,6.467,6.293,6.593,7.121,8.539,9.777,9.919,10.458,11.208,11.622,12.204,12.595,13.009,14.041,14.73,14.949,15.273,15.403,15.198,15.164,15.135,15.226,15.437,15.69,15.963,16.801,17.726
"38","31","    Farm","B316RG3",4.453,4.139,3.558,3.086,2.853,3.517,3.584,3.582,3.684,3.681,3.461,3.186,3.627,4.497,5.329,6.001,6.326,7.289,8.813,9.813,9.545,9.49,10.762,11.04,11.093,10.799,10.977,11.924,12.399,12.049,11.945,11.931,11.893,12.037,12.26,12.514,12.926,13.411,13.829,14.517,15.609
"39","32","    Other \4\","W050RG3",5.547,5.396,4.897,4.174,4.228,4.753,4.708,4.953,5.274,5.343,5.248,5.485,5.831,6.326,6.703,6.766,7.18,8.151,9.837,10.92,10.785,10.23,11.584,12.046,12.067,11.7,11.604,12.686,13.347,13.385,13.056,12.855,12.896,13.173,13.455,13.65,14.017,14.541,15.096,15.901,16.98
"40","33","    Brokers' commissions on sale of structures","B321RG3",5.361,5.079,4.41,3.732,3.596,4.085,4.072,4.325,4.952,4.904,4.817,5.048,5.509,6.276,6.904,6.791,7.136,8.487,10.534,11.732,11.459,11.391,12.874,13.207,13.307,12.921,13.16,14.269,14.886,14.475,14.306,14.297,14.26,14.401,14.669,14.942,15.341,16,16.459,17.175,18.802
"41","34","    Net purchases of used structures","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","35","Residential","B012RG3",5.022,4.912,4.448,3.62,3.563,3.973,3.922,4.118,4.528,4.675,4.711,4.858,5.311,5.698,6.181,6.789,7.237,7.852,9.422,10.219,10.366,10.627,11.39,11.71,11.796,11.848,12.105,12.43,12.465,12.438,12.465,12.554,12.579,12.604,12.507,12.611,12.981,13.467,13.945,14.695,15.728
"43","36","  Permanent site","B943RG3",4.779,4.675,4.228,3.438,3.389,3.789,3.737,3.924,4.31,4.447,4.482,4.616,5.049,5.421,5.898,6.501,6.925,7.494,8.993,9.766,9.91,10.163,10.893,11.199,11.287,11.343,11.599,11.911,11.956,11.946,11.946,12.026,12.029,12.088,11.974,12.061,12.482,13.012,13.481,14.232,15.128
"44","37","    Single-family structures","B944RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.06,12.06,12.146,12.148,12.21,12.095,12.178,12.597,13.137,13.606,14.366,15.267
"45","38","    Multifamily structures","B292RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.618,12.619,12.675,12.68,12.733,12.613,12.72,13.181,13.722,14.234,15.023,15.974
"46","39","  Other structures","A863RG3",5.464,5.345,4.86,3.961,3.889,4.326,4.275,4.487,4.954,5.13,5.168,5.354,5.84,6.25,6.737,7.368,7.859,8.559,10.267,11.103,11.246,11.521,12.341,12.689,12.766,12.804,13.048,13.394,13.404,13.33,13.431,13.541,13.618,13.56,13.511,13.656,13.871,14.228,14.716,15.443,16.804
"47","40","    Manufactured homes","B945RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.703,40.4,40.896,40.341,42.431,43.94,43.859,43.1,41.329,39.672,39.338,37.843,35.374,34.004,32.722,31.811,27.751,24.504,24.021,23.733,22.51,22.065,22.197,23.76
"48","41","    Dormitories","B295RG3",4.764,4.633,4.275,3.413,3.301,3.788,3.788,3.903,4.296,4.446,4.555,4.718,5.031,5.575,5.596,6.615,6.826,7.431,9.029,9.706,9.91,10.014,10.89,11.193,11.318,11.306,11.605,11.913,11.972,11.913,11.911,12.001,12.005,12.066,11.953,12.048,12.443,12.993,13.426,14.177,15.078
"49","42","    Improvements","B946RG3",4.832,4.726,4.289,3.497,3.445,3.823,3.773,3.965,4.381,4.538,4.569,4.731,5.163,5.524,5.969,6.503,6.954,7.578,9.156,9.934,10.067,10.31,11.055,11.382,11.463,11.517,11.782,12.129,12.185,12.185,12.346,12.503,12.62,12.68,12.794,13.008,13.252,13.734,14.352,15.191,16.539
"50","43","    Brokers' commissions on sale of structures","B758RG3",4.531,4.446,4.042,3.307,3.224,3.594,3.55,3.713,4.124,4.289,4.284,4.446,4.859,5.185,5.591,6.121,6.531,7.102,8.573,9.309,9.473,9.673,10.366,10.657,10.737,10.816,11.022,11.345,11.386,11.387,11.386,11.458,11.459,11.507,11.424,11.451,11.64,12.022,12.335,12.936,14.21
"51","44","    Net purchases of used structures","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","45","  Private fixed investment in new structures \5\","W040RG3",4.998,4.788,4.364,3.702,3.709,3.858,3.944,4.029,4.511,4.532,4.528,4.638,5.022,5.495,5.97,6.255,6.568,7.249,8.726,9.56,9.631,9.832,10.692,10.986,11.123,11.094,11.329,11.905,12.156,12.051,12.095,12.139,12.119,12.174,12.165,12.298,12.662,13.129,13.57,14.277,15.236
"54","46","    Nonresidential structures","A771RG3",4.656,4.407,4.032,3.5,3.534,3.547,3.713,3.707,4.211,4.131,4.087,4.153,4.446,4.96,5.39,5.509,5.747,6.435,7.777,8.653,8.626,8.736,9.742,10,10.196,10.073,10.276,11.154,11.632,11.446,11.509,11.495,11.424,11.514,11.614,11.779,12.12,12.555,12.947,13.595,14.488
"55","47","    Residential structures","A756RG3",5.049,4.937,4.47,3.635,3.582,3.995,3.943,4.139,4.553,4.702,4.738,4.885,5.34,5.732,6.225,6.844,7.298,7.916,9.495,10.298,10.444,10.709,11.477,11.8,11.887,11.938,12.198,12.524,12.56,12.531,12.559,12.65,12.676,12.7,12.602,12.711,13.093,13.589,14.077,14.839,15.857
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","1. Consists of office buildings, except those constructed at manufacturing sites and those constructed by power utilities for ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","their own use.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Includes all financial buildings.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","2. Includes buildings and structures used by the retail, wholesale and selected service industries.  Consists of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","auto dealerships, garages, service stations, drug stores, restaurants, mobile structures, and other structures used",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","for commercial purposes.  Bus or truck garages are included in transportation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","3. Consists primarily of railroads.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","4. Includes water supply, sewage and waste disposal, public safety, highway and street, and conservation and development.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","5. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
