"","Table 2#3#5# Personal Consumption Expenditures by Major Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"11","4","    Motor vehicles and parts","DMOTRC1",37.4,34.5,43.2,49.4,54.4,48.2,52.6,68.2,79.8,89.2,90.2,84.4,93,100,122.9,147.2,170.1,187.5,188.2,202.2,207.8,205.1,185.7,204.8,224.7,249.8,255.7,273.5,293.1,320.2,350.7,363.2,383.3,401.3,401,403.9,408.2,394.8,399.9,339.3,316,342.7,373.6
"12","5","    Furnishings and durable household equipment","DFDHRC1",27.6,28.2,29.9,33.5,38,40.9,42.6,47.2,53.4,59,65.3,67.8,71.5,71.8,79.8,88.8,94.6,103.5,109.5,115.2,121.4,120.9,118.8,124.3,131.4,140.5,146.7,153.5,160.5,173.6,191.2,208.1,214.9,225.9,231.8,247,261.3,271.5,271.3,257.9,235.4,241.3,251.7
"13","6","    Recreational goods and vehicles","DREQRC1",16.7,17.9,19.2,22.6,25.3,26.6,30.4,34.2,37.7,41.7,45.8,46.5,49.9,51.3,58.7,67.8,74.1,83,91.8,99.9,103.9,105.6,107.7,111,123.5,140.3,153.7,164.9,174.6,192.1,212.7,234.1,239.8,251.5,265.7,290.5,312.8,334.1,349.4,344,317.3,326.7,340.1
"14","7","    Other durable goods","DODGRC1",8.7,9.4,10.1,11,12.9,14.5,16.5,19.1,21.1,23.5,25.1,27.6,29.6,29.9,33.7,38.3,41.6,47.5,52.5,57.8,61.3,65.5,64.9,68,72,76.5,79.6,84.3,87.3,94.2,102.7,110.4,108.4,113.4,121.4,131.5,141.1,154.6,167.8,167.7,160.8,168.7,181
"15","8","  Nondurable goods","DNDGRC1",214.2,228.8,239.7,257.4,286.1,321.4,349.2,377.7,408.4,450.2,511.6,573.4,625.4,646.3,678.8,721.5,757.2,774.2,814.3,862.3,929.5,994.2,1020.3,1055.2,1090.8,1139.4,1179.8,1241.4,1291.2,1330,1432.6,1543.4,1587.7,1617.9,1708.1,1819.3,1953.4,2069.8,2175.5,2272.8,2164.8,2285.5,2478.4
"16","9","    Food and beverages purchased for off-premises consumption","DFXARC1",95.4,103.5,107.1,114.5,126.7,143,156.6,167.3,179.8,196.1,218.4,239.2,255.3,267.1,277,291.1,303,316.4,324.3,342.8,365.4,391.2,403,404.5,413.5,432.1,443.7,461.9,474.8,486.5,513.6,537.5,559.7,569.6,587.5,613,644.5,674.2,711.2,746.4,742.3,760.6,810.2
"17","10","    Clothing and footwear","DCLORC1",44.3,45.5,49,53.5,59.2,62.4,66.9,72.2,79.3,89.3,96.4,103,113.2,116.7,126.4,137.6,146.8,157.2,167.7,178.2,190.4,195.2,199.1,211.2,219.1,227.4,231.2,239.5,247.5,257.8,271.1,280.8,277.9,278.8,286.2,298.7,314,327.3,335.4,330.9,317,331.6,349.2
"18","11","    Gasoline and other energy goods","DGOERC1",25,26.3,27.6,29.4,34.3,43.8,48,53,57.8,61.5,80.4,101.9,113.4,108.4,106.5,108.2,110.5,91.2,96.4,99.9,110.4,124.2,121.1,125,126.9,129.2,133.4,144.7,147.7,133.4,148.8,188.8,183.6,174.6,209.5,249.4,303.8,335.2,364.8,410.5,299.3,352.4,428.3
"19","12","    Other nondurable goods","DONGRC1",49.5,53.6,55.9,60,65.8,72.1,77.7,85.2,91.5,103.3,116.5,129.3,143.5,154,168.8,184.6,196.9,209.4,225.9,241.4,263.3,283.6,297.1,314.5,331.4,350.6,371.4,395.2,421.3,452.3,499.2,536.2,566.5,594.9,625,658.2,691.1,733,764.1,785.1,806.1,840.8,890.7
"20","13","Services","DSERRC1",300.4,329.5,359.5,396.4,435.4,481.4,542.5,604.9,677.4,764.1,853.2,956,1070.1,1176.2,1314.8,1437.4,1580,1701.1,1840.7,2012.7,2170.7,2344.2,2482.6,2673.6,2841.2,3004.3,3171.7,3355.9,3563.9,3808.5,4052.8,4371.2,4614.8,4829.2,5076.1,5378.5,5726.8,6076.3,6408.3,6653.8,6651.5,6850.9,7104.2
"21","14","  Household consumption expenditures (for services)","DHCERC1",290.4,318.4,347.2,382.8,420.7,465,524.4,584.9,655.6,739.6,825.4,924.1,1033.9,1136.1,1271.9,1389.8,1529.7,1645.8,1782.1,1946,2099,2264.5,2398.4,2581.3,2746.6,2901.9,3064.6,3240.2,3451.6,3677.5,3907.4,4205.9,4428.6,4624.2,4864.8,5169.1,5515.1,5836.3,6154.4,6369.3,6372,6571.2,6812.3
"22","15","    Housing and utilities","DHUTRC1",101,109.4,120,131.2,143.5,158.6,176.5,194.7,217.8,244.3,273.4,311.8,352,387,421.2,458.3,500.7,535.7,571.8,614.5,655.6,696.4,735.5,771.2,814.5,866.5,913.8,961.2,1009.9,1065.2,1125,1198.6,1287.7,1334.8,1393.9,1462.4,1582.6,1686.2,1756.2,1831,1871.6,1891.9,1929.9
"23","16","    Health care","DHLCRC1",42.1,47.7,53.7,59.8,67.2,76.1,89,101.8,115.7,131.2,148.8,171.7,201.9,225.2,253.1,276.5,302.2,330.2,366,410.1,451.2,506.2,555.8,612.8,648.8,680.5,719.9,752.1,790.9,832,863.6,918.4,996.6,1082.9,1148.2,1228.5,1308.9,1373.7,1457.7,1532.6,1601.6,1663,1751.6
"24","17","    Transportation services","DTRSRC1",18,20,22.4,24.5,26.1,28.5,32,36.2,41.4,45.2,50.7,55.4,59.8,61.7,68.9,80,90.1,95,103.1,114.2,121.8,126.4,123.7,133.6,146.1,161.9,177.9,195,214.3,227.2,243.3,262.3,262.7,256.7,263.2,273.7,286,297.5,307,305.9,284.5,287.6,302
"25","18","    Recreation services","DRCARC1",12.9,14,15.1,16.3,18.3,20.9,23.7,26.5,29.6,32.9,36.7,40.8,47.1,52.5,59.4,66.1,74,80.4,87.3,99.2,110.7,121.8,127.2,139.8,153.4,164.7,181.1,195.6,208.3,220.6,238.8,255.5,263.6,272.8,290.1,313.3,328.2,351.4,375.4,381.9,370.7,378.5,394.5
"26","19","    Food services and accommodations","DFSARC1",37.5,41.6,43.8,48.9,54.8,60.6,68.8,77.8,85.7,97.1,110.9,121.7,133.9,142.5,153.6,164.9,174.3,186.7,204.4,225.8,242.6,262.7,273.4,286.3,298.6,308.7,316.7,327.4,344.6,363,381.6,410.1,421.2,438.2,464.2,499.1,533.9,570.2,600.5,618.3,607.2,631,670.9
"27","20","    Financial services and insurance","DIFSRC1",28.5,31.1,34.1,38.3,41.5,45.9,54,59.3,67.8,80.6,87.6,95.6,102,116.3,145.9,156.6,180.5,196.7,207.1,219.4,235.7,253.2,282,311.8,341,349,364.7,393.6,431.3,469.6,514.2,570,562.8,576.2,602.5,651.7,698.4,732.6,790.3,807,741.8,796.3,807.1
"28","21","    Other services","DOTSRC1",50.5,54.6,58.1,63.7,69.3,74.4,80.3,88.6,97.7,108.3,117.2,127.1,137.2,150.9,169.8,187.4,207.9,221.2,242.4,262.8,281.3,297.9,300.9,325.8,344.2,370.7,390.5,415.3,452.3,499.8,540.9,591.1,634,662.7,702.8,740.4,777.1,824.7,867.4,892.6,894.7,922.8,956.2
"29","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRC1",10.1,11.1,12.3,13.6,14.6,16.4,18.1,20.1,21.8,24.5,27.8,31.9,36.3,40.1,42.9,47.6,50.3,55.4,58.5,66.8,71.7,79.6,84.2,92.3,94.6,102.4,107.2,115.7,112.2,131,145.4,165.4,186.2,205,211.3,209.4,211.7,240,253.9,284.6,279.5,279.7,291.9
"30","23","    Gross output of nonprofit institutions \2\","DNPERC1",34.6,38.7,43.4,48.2,52.7,59.7,68.2,77.4,86.3,98.1,111,128,147.8,165.9,181.4,196.6,211.7,230.1,249.7,279,304.9,338.2,367,400.8,423.3,444.7,463.4,488.8,509.3,550.5,585.3,632,688,749.7,785.9,827.6,874.3,935.2,989.4,1046.5,1078.7,1113.4,1164.5
"31","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRC1",24.6,27.6,31.1,34.5,38.1,43.3,50.2,57.3,64.5,73.6,83.2,96.1,111.5,125.8,138.5,149,161.4,174.7,191.2,212.2,233.2,258.6,282.8,308.5,328.7,342.3,356.2,373.1,397,419.6,439.9,466.6,501.8,544.7,574.7,618.2,662.6,695.2,735.5,761.9,799.2,833.7,872.5
"32",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","25","  PCE excluding food and energy \4\","DPCCRC1",470.8,503.3,550.1,607.9,670.9,722.4,800.6,898.3,1002.5,1127.8,1245.4,1358.3,1507.1,1627.2,1824.2,2016.9,2215.1,2401.8,2587.3,2813.2,3019.8,3221.3,3351.1,3601.1,3828.2,4072.3,4291.9,4542,4821.6,5173.5,5554.6,5966.4,6255.9,6549.4,6846.7,7240,7665.3,8090.7,8485.9,8655,8588.9,8881,9271.1
"34","26","  Energy goods and services \5\","DNRGRC1",39,41.5,44.3,47.8,54.4,67.5,76.7,85.6,95.6,103.7,127.4,158.4,177.1,181.2,187.3,193.1,199.5,178.6,185.4,194.1,209.3,223,226.1,231.4,241.9,246.4,251.7,269.7,274.2,258.5,274.6,326.5,333.2,320.2,369.9,417.6,493.7,536.1,575.1,634.2,514.7,574.1,647.7
"35","27","  Market-based PCE \6\","DPCMRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2783.5,3012.3,3238.2,3454.1,3572.7,3794,4003.9,4236.8,4450,4696.6,4952.9,5237.5,5603,6013.4,6291.2,6539.8,6862.6,7261.3,7736,8156.1,8560.1,8792.8,8666.8,8969.9,9454.8
"36","28","  Market-based PCE excluding food and energy \6\","DPCXRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2274.6,2476.2,2664.2,2840.6,2944.3,3158.8,3349.1,3558.8,3755,3965.5,4204.3,4492.9,4815.1,5149.8,5398.6,5650.3,5905.5,6231.1,6598.1,6946.3,7274.1,7412.6,7410.1,7635.6,7997.2
"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","4. Food consists of food and beverages purchased for off-premises consumption;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","food services, which include purchased meals and beverages, are not classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","5. Consists of gasoline and other energy goods and of electricity and gas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","6. Market-based PCE is a supplemental measure that is based on household expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","for which there are observable price measures.  It excludes most imputed transactions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","(for example, financial services furnished without payment) and the final consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","expenditures of nonprofit institutions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
