"","Table 6#1D# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50"
"23","15","    Finance, insurance, real estate, rental, and leasing","N5015C1",1675.5,1652.5,1648.9,1644.5,1651.6,1660.4,1629,1633.4,1638.8,1665.3,1693.7,1730.7,1748.5,1764.5,1788,1839.6,1959,1938,2015.9,2081.1,2098.8,2139.2,2124.9,2200.5,2164.6,2157.4,2175.9,2143.2,2194.1,2218.3,2075.3,2034.2,2117.5,2146.5,2197.2,2174.1,2187.7,2157.6,2165.4,2202.7,2210.6,2124.2,2135,2233.2,2301.3,2271.1,NA
"24","16","    Professional and business services \1\","N5016C1",1150.6,1171.5,1182.1,1181,1193.5,1208.8,1221.1,1226.6,1278.1,1274.7,1263,1275.5,1299.4,1323.6,1367.4,1406.5,1450.6,1458.6,1516.6,1535.4,1591.5,1599.2,1635.3,1666.7,1661.2,1675,1691.7,1711.6,1772.7,1775.3,1786.4,1676.1,1711.5,1660.2,1656.2,1704.9,1772.1,1811.2,1845.4,1867.1,1864.3,1883.5,1901.5,1908.7,1955,1983.5,NA
"25","17","    Educational services, health care, and social assistance","N5017C1",737.7,746.4,757,770.8,793.3,810.8,826,839.4,856.5,866.6,877.6,893.2,913.5,931.1,950.1,956,970.2,990.7,1003,1010.2,1036.3,1053.9,1064.6,1082.6,1094.7,1103.9,1120.8,1139.8,1158.7,1186.8,1198.7,1213.4,1234.1,1247,1253,1272.1,1285.9,1305,1319.3,1321.6,1331.9,1339.7,1349.5,1352.8,1380.8,1382.7,NA
"26","18","    Arts, entertainment, recreation, accommodation, and food services","N5018C1",343.5,350.2,353.2,350.1,355,361,364.6,370.5,369.8,372.6,378.7,387,399.6,406.4,410.7,407.7,420.4,434.5,438,446.5,453.4,456.5,460.7,471.9,482.6,487.4,490.9,500,482.3,481.1,475.7,463.1,455.9,455.7,461.9,463,474.1,485.7,493.5,494.9,498.4,506.4,510.6,519.9,541.1,542.7,NA
"27","19","    Other services, except government","N5019C1",271.2,271.3,272,271.3,288.7,293.3,298.7,302,295.6,297.4,298.7,302.1,308.8,310.9,315,317.8,332.9,337.2,336.8,338.4,345.1,350.1,352.7,359,361.4,364.2,364.2,369.5,361.6,359.1,358.9,361.5,357.2,361.5,363.1,366.5,370.3,375.1,381.7,381.5,386.8,388,391.6,391.6,397.9,400.3,NA
"28","20","  Government","B436RC1",1046.8,1061,1083.9,1091.5,1119.8,1132,1149.2,1167.1,1199.6,1214.9,1223.2,1231.3,1258.6,1271.3,1280.3,1292.9,1321.9,1329.3,1340.6,1349.6,1376.5,1389.9,1406.3,1421.4,1449.3,1460.7,1475.2,1489.1,1519.6,1534.4,1552.9,1566.1,1577.3,1591.3,1598.8,1606,1625,1637.6,1634.4,1636,1642,1646.8,1646.5,1640,1650.7,1653,NA
"29","21","Rest of the world","A192RC1",41.1,49.6,27,89.9,51,32.8,47.4,65.2,51.8,65.6,65.6,91.8,110.6,85.8,96.8,71.6,106.8,96.2,107.1,78.4,80.5,75.5,61.9,71.7,70.3,79.5,144.8,198.6,178.6,181.3,199,117.8,118.3,115.8,163,177.1,191.4,215.8,216.9,213,235.3,250,258.3,264,214.9,247.3,NA
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","1. Consists of professional, scientific, and technical services; management of companies and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","enterprises; and administrative and waste management services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Note. Estimates in this table are based on the 2002 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
