"","Table 6#11D# Employer Contributions for Employee Pension and Ins","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"31","22","Employer contributions for employee pension and insurance funds","B040RC0",535089,565422,615931,669131,747398,845564,874621,931569,960146,980494,1052365,1067165,1097343,1139046
"32","23","  Pension and profit-sharing","B4934C0",212173,210279,221860,240846,288395,342968,335040,352596,373264,375723,438790,447726,471309,486206
"33","24","    Private pension and profit-sharing","B4921C0",104749,102518,112742,129929,168769,204120,184940,190096,198473,185638,233306,231383,244556,254287
"34","25","      Defined benefit pension and profit-sharing","W350RC0",33464,28581,32446,47537,83541,117156,92722,89767,88409,67093,104002,112080,120580,123715
"35","26","      Defined contribution pension and profit-sharing","W351RC0",71285,73937,80296,82392,85228,86964,92218,100329,110064,118545,129304,119303,123976,130572
"36","27","    Publicly administered government employee retirement plans","B4935C0",107424,107761,109118,110917,119626,138848,150100,162500,174791,190085,205484,216343,226753,231919
"37","28","      Federal civilian \2\","B4945C0",39079,39984,41252,42329,43876,41242,47548,48589,52267,54430,57046,59511,63725,63953
"38","29","      Federal military \3\","B1583C0",26298,26587,28221,29403,33700,41170,46754,52057,55333,60463,65978,73067,78023,81685
"39","30","      State and local","S251100",42047,41190,39645,39185,42050,56436,55798,61854,67191,75192,82460,83765,85005,86281
"40","31","  Private insurance funds","B4936C0",322916,355143,394071,428285,459003,502596,539580,578973,586882,604771,613575,619439,626034,652840
"41","32","    Group insurance","B4922C0",280251,311791,348429,378542,404390,442108,476463,511677,523771,544918,559711,569809,577867,602315
"42","33","      Group health insurance","B4923C0",268809,300228,336066,365498,392074,430680,463868,498499,507777,527212,546780,558736,567401,591398
"43","34","      Group life insurance","B4924C0",11442,11563,12363,13044,12316,11428,12595,13178,15994,17706,12931,11073,10466,10917
"44","35","    Workers' compensation","B4925C0",40585,41412,43799,47992,52915,58756,61350,65573,61414,58166,52179,47920,46432,48770
"45","36","    Supplemental unemployment","B4926C0",2080,1940,1843,1751,1698,1732,1767,1723,1697,1687,1685,1710,1735,1755
"46",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","37","  Benefits paid by pension and insurance funds","B4928C0",764023,822275,890455,955726,1025090,1100449,1186348,1265117,1357983,1451192,1481263,1517324,1568443,1632989
"48","38","    Pension and profit-sharing","B4937C0",397168,423870,454351,486355,521391,550687,597593,635706,711349,773697,770031,770930,791661,820168
"49","39","      Private pension and profit-sharing","B4929C0",236428,253320,271003,290020,310672,322520,354502,376381,433486,475556,453859,432872,437201,448131
"50","40","      Publicly administered government employee retirement plans","B4938C0",160740,170550,183348,196335,210719,228167,243091,259325,277863,298141,316172,338058,354460,372037
"51","41","        Federal civilian \2\","B4946C0",45871,47274,49779,51675,53028,54665,58285,62187,67270,71915,74460,78383,81521,84455
"52","42","        Federal military \3\","B1593C0",31457,32189,33226,34650,36418,40926,43139,46150,48528,52191,55570,59136,59576,60426
"53","43","        State and local","S121000",83412,91087,100343,110010,121273,132576,141667,150988,162065,174035,186142,200539,213363,227156
"54","44","    Private insurance funds","B4939C0",366855,398405,436104,469371,503699,549762,588755,629411,646634,677495,711232,746394,776782,812821
"55","45","      Group insurance","B4940C0",330893,360154,396983,427785,461815,506827,545359,586679,604600,633746,665395,700145,730915,767332
"56","46","        Group health insurance","B4930C0",312625,340010,379965,410920,444037,488376,527588,567180,584574,613809,645176,675847,709078,744532
"57","47","        Group life insurance","B4931C0",18268,20144,17018,16865,17778,18451,17771,19499,20026,19937,20219,24298,21837,22800
"58","48","      Workers' compensation","B4932C0",33933,36368,37355,39744,40005,41112,41646,41061,40394,42134,44242,44629,44222,43819
"59","49","      Supplemental unemployment","B4933C0",2029,1883,1766,1842,1879,1823,1750,1671,1640,1615,1595,1620,1645,1670
"60","50","  Employee contributions for publicly administered government employee retirement plans","B4941C0",32245,34536,36650,38578,41973,45086,47502,49577,52445,55398,58380,59060,59855,59861
"61","51","    Federal civilian","B4947C0",9547,10254,10934,11526,13457,15010,16625,17748,19073,19904,20305,20630,21627,21824
"62","52","    State and local","S251200",22698,24282,25716,27052,28516,30076,30877,31829,33372,35494,38075,38430,38228,38037
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","1. Consists of professional, scientific, and technical services; management of companies and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","enterprises; and administrative and waste management services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","2. Consists of civil service, foreign service, Public Health Service officers, Tennessee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Valley Authority, Thrift Savings Fund, and several small retirement programs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","3. Includes the Coast Guard.  Beginning with October 2002, includes the Uniformed Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Retiree Health Care Fund.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Note.  Estimates in this table are based on the 2002 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
