"","Table 6#19B# Corporate Profits After Tax by Industry            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"13","6","  Mining","A3206C0",477,660,646,426,1061,2458,2626,2353,1434,585,1568,4377,519,-3243,-4259,-3526,-6043,-5627,-2460
"14","7","    Metal mining","B3207C0",15,101,-14,-39,219,275,-11,135,-62,-163,203,125,-48,-553,-371,-385,-870,-688,-662
"15","8","    Coal mining","B3208C0",106,311,193,139,253,1350,1215,891,560,204,269,371,539,386,109,220,-113,186,291
"16","9","    Oil and gas extraction","B3209C0",151,104,277,132,239,405,1044,944,510,-83,378,3120,-562,-3333,-4205,-3855,-5396,-5414,-2738
"17","10","    Nonmetallic minerals, except fuels","B3210C0",205,144,190,194,350,428,378,383,426,627,718,761,590,257,208,494,336,289,649
"18","11","  Construction","B3211C0",1280,1233,1441,1345,1380,1441,1643,2084,3234,4156,4153,3846,2330,1542,1041,1818,3225,5368,8596
"19","12","  Manufacturing","A3212C0",21101,16062,20005,24969,32335,36131,34848,43921,49227,58835,65553,55217,62889,42454,44162,52176,49424,19599,48720
"20","13","    Durable goods","A3213C0",10522,5966,9053,13059,16136,14964,13760,18870,23228,28552,26802,12879,11601,-93,9010,21008,17689,12775,25018
"21","14","      Lumber and wood products","B3214C0",927,469,731,1048,1669,1129,844,1712,2194,3008,2980,1222,-218,-112,1503,1749,1050,1713,3654
"22","15","      Furniture and fixtures","B3215C0",240,171,195,282,272,229,225,332,432,523,518,452,483,509,714,686,904,944,1050
"23","16","      Stone, clay, and glass products","B3216C0",601,451,666,840,974,825,811,1205,1503,1697,1931,1146,527,-1238,533,1369,1640,2299,1423
"24","17","      Primary metal industries","B3217C0",1021,582,616,1120,1865,4290,1929,1812,878,2685,3641,2093,2057,-4797,-4515,-1022,-1285,242,2742
"25","18","      Fabricated metal products","B3218C0",1196,711,855,1316,1860,2230,1975,2464,2968,3359,3877,2932,3068,1121,1400,2538,2707,2642,3646
"26","19","      Machinery, except electrical","B3219C0",2003,1643,1706,2485,3064,3273,3670,3908,5328,6696,6644,5687,6068,1688,1477,2686,2978,-1936,2402
"27","20","      Electric and electronic equipment","B3220C0",1021,459,796,1472,1715,934,1498,1765,3316,4081,3686,3769,3453,-271,1365,2094,363,137,3098
"28","21","      Motor vehicles and equipment","B3221C0",2375,843,2681,3170,3135,567,1020,3917,4877,4619,2619,-3570,19,-120,3743,6105,5858,2641,1437
"29","22","      Other transportation equipment","B3222C0",114,-133,56,292,376,424,453,167,-40,-140,-1070,-2590,-6097,2048,2166,3055,2432,3761,4486
"30","23","      Instruments and related products","B3223C0",766,570,541,660,721,662,779,980,1094,1315,1218,1234,1516,567,728,1060,402,15,294
"31","24","      Miscellaneous manufacturing industries","B3224C0",258,200,210,373,485,401,556,608,677,709,758,504,725,512,-104,688,640,317,785
"32","25","    Nondurable goods","A3225C0",10579,10096,10952,11909,16198,21167,21088,25051,25999,30283,38751,42338,51288,42547,35152,31168,31735,6824,23702
"33","26","      Food and kindred products","B3226C0",1635,1780,1971,1847,2485,2811,4067,3984,4004,4213,3983,4309,4551,3945,4091,3633,3473,3471,5925
"34","27","      Tobacco manufactures","B3227C0",372,440,500,470,400,483,593,661,721,1009,1064,1190,1008,1083,1464,1598,1467,1479,806
"35","28","      Textile mill products","B3228C0",497,438,488,566,707,407,334,661,757,1082,928,824,748,492,964,613,596,1207,1415
"36","29","      Apparel and other textile products","B3229C0",403,383,450,664,658,493,741,795,946,983,865,1042,1071,1210,1561,930,692,1109,1334
"37","30","      Paper and allied products","B3230C0",943,744,687,1065,1555,1913,1467,1894,1928,2142,2996,2227,2110,1994,1865,2680,2334,2839,4111
"38","31","      Printing and publishing","B3231C0",1026,973,1084,1243,1436,1544,1805,2028,2543,2959,3104,3028,3153,3189,3690,4125,4751,4219,4736
"39","32","      Chemicals and allied products","B3232C0",2223,2033,2272,2840,3611,3998,3708,4656,4308,4491,5029,3887,5330,2330,3140,4196,2598,2046,7673
"40","33","      Petroleum and coal products","B3233C0",2894,2987,2952,2536,4521,8795,7626,9431,9646,12151,19558,24886,32017,27094,16714,11657,13945,-10678,-3929
"41","34","      Rubber and miscellaneous plastics products","B3234C0",476,245,433,562,718,617,572,642,936,968,910,531,902,823,1308,1450,1668,1066,1247
"42","35","      Leather and leather products","B3235C0",110,73,115,116,107,106,175,299,210,285,314,414,398,387,355,286,211,66,385
"43","36","  Transportation and public utilities","A3236C0",5451,4359,4958,5748,5983,6562,7986,12109,14629,16589,15170,16269,17894,18134,21917,29338,22951,20065,24428
"44","37","    Transportation","A3237C0",114,-481,189,748,720,1761,389,2071,2734,2984,2758,1967,711,-1232,1388,4156,65,-183,1760
"45","38","      Railroad transportation","B3238C0",-66,-404,-243,-103,-93,516,-202,181,452,103,746,1290,164,-313,298,1756,606,331,418
"46","39","      Local and interurban passenger transit","B3239C0",48,6,-34,21,14,32,38,71,84,89,133,163,126,114,183,185,104,18,4
"47","40","      Trucking and warehousing","B3240C0",314,270,496,628,554,566,505,861,994,1160,937,645,874,515,1351,1502,1314,1833,1313
"48","41","      Water transportation","B3241C0",2,-33,-53,-30,-15,225,101,153,132,77,149,74,-74,-432,-455,-597,-814,-618,-92
"49","42","      Transportation by air","B3242C0",-274,-451,-139,53,130,165,-323,450,758,1042,-97,-1001,-1293,-1929,-748,648,-1619,-1971,-456
"50","43","      Pipelines, except natural gas","B3243C0",76,100,118,122,105,177,189,209,179,370,617,604,720,680,602,413,514,335,526
"51","44","      Transportation services","B3244C0",14,31,44,57,25,80,81,146,135,143,273,192,194,133,157,249,-40,-111,46
"52","45","    Communication","A3245C0",2720,2542,2327,2427,2755,2803,3389,4267,4915,6192,5978,6096,6854,7151,8229,9478,10519,11874,12176
"53","46","      Telephone and telegraph","B3246C0",2587,2417,2194,2175,2522,2537,3093,3699,4168,5335,5165,5455,6257,6746,7945,8838,10310,12918,12823
"54","47","      Radio and television","B3247C0",133,125,133,252,233,266,296,568,747,857,813,641,597,405,284,640,209,-1044,-646
"55","48","    Electric, gas, and sanitary services","B3248C0",2617,2298,2442,2573,2508,1998,4208,5771,6980,7413,6434,8206,10329,12215,12300,15704,12367,8374,10492
"56","49","  Wholesale trade","B3249C0",3301,3330,3599,5881,9374,12821,11309,11202,12910,15600,19865,19262,19430,15709,18025,21816,13384,13445,14994
"57","50","  Retail trade","B3250C0",4442,4305,5051,5132,5979,5757,7123,8349,10230,11713,11186,9353,8826,10206,13830,14851,15344,14854,16616
"58","51","  Finance, insurance, and real estate","A3251C0",7519,8208,9856,10757,10921,9854,10173,13359,19123,23415,22032,14805,9131,5992,15225,10040,13911,19393,23072
"59","52","    Banking","J3252C0",5348,5410,5220,5671,6102,6935,7637,7843,7763,8821,9404,7455,7283,9360,14240,14079,20031,23555,23915
"60","53","      Federal Reserve banks","B3253C0",56,32,-45,113,135,131,228,2,172,639,154,92,369,40,357,379,-1450,-2288,-1492
"61","54","      Commercial and mutual banks","J3254C0",5292,5378,5265,5558,5967,6804,7409,7841,7591,8182,9250,7363,6914,9320,13883,13700,21481,25843,25407
"62","55","    Credit agencies other than banks","J3255C0",1364,1324,1946,2345,2726,2440,2384,3273,4365,5251,4171,-420,-6556,-7404,-748,-219,662,1147,4849
"63","56","    Security and commodity brokers","B3256C0",-63,-289,-37,-44,85,-24,157,-372,-286,109,-182,22,-589,-1197,-267,-1411,-647,-1310,231
"64","57","    Insurance carriers","B3257C0",572,1522,2528,2959,2347,881,406,2796,6124,7288,7061,7234,7832,5302,1595,-2150,-7173,-6342,-4758
"65","58","    Insurance agents, brokers, and service","B3258C0",196,278,319,288,328,313,398,397,861,867,876,793,821,733,531,605,870,1279,2328
"66","59","    Real estate","B3259C0",562,302,401,150,-45,-366,-292,195,1062,1169,1073,-194,-1628,-2320,-1387,-2772,-3660,-3929,-2276
"67","60","    Holding and other investment offices","B3260C0",-460,-339,-521,-612,-622,-325,-517,-773,-766,-90,-371,-85,1968,1518,1261,1908,3828,4993,-1218
"68","61","  Services","A3261C0",1113,991,1216,1768,2471,2287,3020,4067,5826,6629,7146,7522,8703,8792,8659,8141,8157,8612,9298
"69","62","    Hotels and other lodging places","B3262C0",125,22,-23,60,23,-93,-22,135,235,497,589,504,330,187,123,-188,-440,-827,-850
"70","63","    Personal services","B3263C0",197,157,162,191,206,282,297,340,366,419,447,463,507,590,492,564,405,378,625
"71","64","    Business services","B3264C0",234,162,316,538,822,477,836,1080,1877,1847,1814,1620,1950,2292,1601,2383,1911,2360,2481
"72","65","    Auto repair, services, and parking","B3265C0",118,65,63,107,160,127,165,271,346,293,229,216,275,210,229,32,-279,13,-231
"73","66","    Miscellaneous repair services","B3266C0",56,48,42,57,63,117,110,119,168,213,167,196,254,171,180,307,228,321,430
"74","67","    Motion pictures","B3267C0",20,90,57,85,127,186,221,343,390,660,670,547,492,590,290,-112,26,-40,-858
"75","68","    Amusement and recreation services","B3268C0",68,93,136,54,125,182,195,269,356,406,394,361,403,218,-48,-696,-354,-426,-745
"76","69","    Other services","A3269C0",295,354,463,676,945,1009,1218,1510,2088,2294,2836,3615,4492,4534,5792,5851,6660,6833,8447
"77","70","      Health services","B3270C0",140,250,316,448,579,717,920,1003,1295,1497,1808,2369,2909,3078,3917,3968,4350,4432,5069
"78","71","      Legal services","B3271C0",6,27,42,40,63,68,92,110,149,182,276,293,401,621,788,834,907,1248,1464
"79","72","      Educational services","B3272C0",-3,-38,-18,-13,25,17,67,62,101,143,99,207,119,145,141,186,173,79,313
"80","73","      Other \1\","B3273C0",152,115,123,201,278,207,139,335,543,472,653,746,1063,690,946,863,1230,1074,1600
"81","74","Rest of the world \2\","A3274C0",6595,7100,7855,9534,14898,17469,14631,16548,19113,22869,34611,35471,29679,32583,35059,36566,38105,39474,48012
"82","75","  Receipts from the rest of the world","B3275C0",8047,8656,9781,11751,17575,20398,17906,20938,23790,29001,42560,43845,38078,36669,41103,46103,46805,48718,58923
"83","76","  Less: Payments to the rest of the world","B3276C0",1452,1556,1926,2217,2677,2929,3275,4390,4677,6132,7949,8374,8399,4086,6044,9537,8700,9244,10911
"84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","1. Consists of social services, membership organizations, and miscellaneous professional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","2. Consists of receipts by all U.S. residents, including both corporations and persons, of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","dividends from foreign corporations, and, for U.S. corporations, their share of reinvested earnings of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","their incorporated foreign affiliates, and earnings of unincorporated foreign affiliates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","(line 75), net of corresponding payments (line 76).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
