"","Table 1#17#6# Real Gross Domestic Product, Real Gross Domestic I","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","3","    Net domestic product \1\","A362RX1",895.9,808.6,750.1,641.8,634.8,716.2,788.1,901.8,950,912.1,993.3,1087.4,1286.1,1531.5,1781.6,1911.4,1871.6,1644.2,1631.8,1714,1703.1,1867,2020.4,2095.5,2190.4,2163.6,2328.1,2369.7,2413.6,2378.1,2564.1,2629.3,2689.1,2860.6,2987.1,3165.5,3373.8,3596.6,3676.2,3853.7,3966
"12","4","    Net domestic income \1\","W256RX1",888.6,812.7,741.6,638,627.7,711.3,790.7,887.5,950.4,903.9,977.7,1074.6,1282.3,1540.5,1799.1,1886.7,1835.9,1634.6,1614.7,1717.6,1690,1857.2,1996.6,2077.6,2164.9,2143.7,2313.2,2380.5,2414,2372.6,2561.4,2634.6,2692.4,2858.9,2991.5,3161.4,3365.9,3565.4,3654.1,3833.5,3953.1
"13",NA,"Production by labor and capital supplied by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","5","    Gross national product","A001RX1",984.6,900,840.7,730.5,720.3,797.7,868.9,981.1,1032.5,997.4,1077.8,1170.8,1371.5,1623.5,1887.9,2040.2,2016.6,1798.2,1784.8,1864.8,1854.2,2016.5,2174.3,2257.4,2360.1,2346.2,2515.8,2566.9,2619.2,2592.9,2778.1,2848.2,2916.1,3094.1,3230.1,3417.5,3636.4,3869.8,3967.7,4160.6,4288
"15","6","    Gross national income","A023RX1",977.4,904.1,832.3,726.8,713.4,792.9,871.5,967.1,1032.8,989.5,1062.7,1158.3,1367.9,1632.3,1905,2016.4,1981.6,1788.9,1768.2,1868.1,1841.7,2007.2,2151.5,2240.2,2335.5,2327.1,2501.4,2577.2,2619.5,2587.7,2775.5,2853.4,2919.2,3092.5,3234.3,3413.5,3629,3839.6,3946.4,4140.9,4275.5
"16","7","    Net national product \1\","A027RX1",904.4,816.7,756.8,647.1,639.3,720.2,792.8,905.9,955.4,917.7,999.2,1092.4,1292.7,1538.2,1788,1918.2,1877.4,1651.7,1642,1726.3,1714.3,1879.4,2035.6,2111.2,2205.4,2179.6,2346,2389.3,2434.3,2395.8,2582.3,2649.3,2711.1,2885.3,3013.6,3194.1,3403.7,3624.7,3705.2,3884.8,3996.2
"17",NA,"Final expenditures by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","8","    Gross domestic purchases","A712RX1",994.1,911.1,853.9,743.9,735.1,812.7,892.2,1006.1,1052.9,1007.3,1088.7,1179.2,1391.5,1667.7,1960.1,2116.5,2078.9,1773.7,1737.5,1857,1845.8,2034.6,2175.7,2272.5,2393.5,2368.8,2540.6,2581.4,2627.3,2627.1,2815.6,2865.1,2930.8,3116.3,3246,3423.4,3656.1,3907,4014.8,4222.1,4355
"19","9","    Final sales to domestic purchasers \2\","A713RX1",1005.2,939.2,885.9,786.5,763.4,833.7,892.7,1008.1,1045.5,1021,1096.5,1165.7,1363.7,1668,1987,2146.1,2114.4,1746.8,1764.6,1839.5,1882.6,2019.4,2146.3,2274.5,2403.2,2400.2,2536.6,2585.2,2645.6,2650.2,2817.4,2871.1,2938.8,3108.9,3242,3424.9,3636.4,3867.7,3995.6,4208.3,4342
"20",NA,"Purchasing power of income: \3\"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","10","    Command-basis gross domestic product","C191RX1",999.9,918.1,853.7,741.6,732.5,817.8,891.2,1005.8,1062,1015.9,1098.7,1200.3,1410.1,1667.6,1937.1,2095.8,2072.2,1839.4,1819.7,1896.2,1880.6,2043.7,2202.8,2280.8,2388.6,2368.5,2547.3,2599,2649.7,2627.6,2816.6,2887,2956.2,3136.9,3270.8,3458,3683.3,3924.6,4030.3,4226.6,4359.3
"22","11","    Command-basis net domestic product \1\","C362RX1",918.9,833.9,768.7,657.1,650.4,739.7,814.6,930.4,984.8,935.7,1019.8,1121.9,1331.9,1583.2,1838.1,1974.4,1933.2,1692.1,1676.5,1757.5,1740.4,1906.5,2064,2134.3,2233.8,2201.2,2377.3,2421.1,2464.3,2429.9,2620.7,2687.8,2751,2928.1,3054.1,3234.3,3450.6,3679.7,3768,3951.1,4067.7
"23","12","    Command-basis gross national product","CB22RX1",1007.2,925.3,859.4,746.2,736.4,821.3,895.3,1009,1066.3,1020.3,1103.1,1203.6,1414.7,1671.8,1940.4,2098.9,2074.7,1844.8,1828,1906.5,1889.6,2053.8,2215,2293.5,2400.6,2381.5,2562.4,2615.6,2667.2,2642.4,2832,2904,2975.3,3158.9,3294.5,3483.6,3710.4,3949.9,4056.5,4254.9,4386.4
"24","13","    Command-basis net national product \1\","C027RX1",926.4,841.1,774.5,661.7,654.4,743.2,818.8,933.6,989.2,940.3,1024.4,1125.3,1336.6,1587.6,1841.4,1977.6,1935.8,1697.6,1685.1,1768.1,1749.7,1916.9,2076.8,2147.4,2246.2,2214.8,2392.9,2438.5,2482.7,2445.4,2636.7,2705.6,2770.9,2950.9,3078.8,3261,3478.7,3706,3795.1,3980.5,4095.8
"25",NA,"After-tax income received by the personal sector:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","14","    Disposable personal income","A067RX1",791.6,740.8,714.5,619.6,601.4,660,723.7,814.8,842.4,794.7,861,918.2,1055.8,1187.2,1242,1286.5,1269.7,1258.8,1211.4,1276.4,1284.7,1400.9,1442.2,1489,1561.2,1582.3,1689.3,1771.5,1814.5,1832.1,1912.6,1963.1,2029.8,2128.6,2208.5,2367.6,2513.6,2646.1,2762.2,2887.9,2979.9
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","1. In this table, net measures are the corresponding gross measures less the depreciation of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","fixed assets as measured by the consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2. Equals gross domestic purchases less change in private inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","3. The command-basis estimates (lines 10-13) measure the purchasing power of the income generated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","by the sale of goods and services produced; they reflect gains or losses in real income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","resulting from changes in the terms of trade for exports and imports.  For more detail on the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","command-basis estimates, see NIPA tables 1.8.3 and 1.8.6.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
