"","Table 5#3#1# Percent Change From Preceding Period in Real Privat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"17","10","    Information processing equipment and software","A679RL1",21.5,12.8,6.7,14.7,17.8,14.7,-0.4,13.7,21.2,29.1,21,16.8,15.7,7.3,16.4,26.8,11.3,8.2,6.2,11.2,13.9,5.3,5.1,15.4,13.2,12.6,17.3,19.8,23.3,22.8,22.5,18,-0.4,-2.8,8,9.8,7.3,8.6,8.1,2.1,-4.1,4.6,5
"18","11","      Computers and peripheral equipment","B935RL1",60,12.5,44.4,53.8,5,33.3,0,46.4,48.8,98.4,62,57.7,56,23,51.8,63.6,25.5,15,25.6,14.3,21.6,-1.2,8.6,36.8,28.2,24.3,50.8,44.4,45,45.4,42.1,21.3,2.5,4.8,8.9,11.4,11.7,23.1,14,7.9,-5.8,3.1,12.3
"19","12","      Software \2\","B985RL1",34.5,27.7,6.3,17.4,13.7,16.9,17.2,8.7,4.2,18.5,24.5,18,16.3,15.4,17.9,26.4,18.8,11.9,14,19.2,28.9,17.9,13.3,17.5,11.8,9.8,10,17.3,29.5,20.8,23.3,13.8,0.7,-0.1,7,10.3,6.5,4.2,6,4.1,0.8,2.6,6.9
"20","13","      Other \3\","A937RL1",15.8,7.8,1.2,6,21.2,10.6,-4,9.5,20.3,19.2,12.3,7.6,5.7,0.7,5.1,13.9,3.2,4.1,-4,6.9,4.5,2.5,-0.6,6.1,7.7,9.3,7.6,9.6,8.6,12.6,11.5,20.3,-3.1,-9.1,8.7,8.4,6.1,8.1,8.1,-2.8,-9.9,8.4,-0.5
"21","14","    Industrial equipment","A680RL1",6.6,1.4,-8.2,7.8,18.2,7.7,-15.2,0.5,6,11.3,7.1,-4.3,-1.6,-8.6,-7.9,14.4,4.6,-0.5,-2.5,5,7,-5.8,-6.4,1.8,8.5,8.9,9.8,3.7,2.2,4.4,0.6,8.6,-7.4,-6.7,-0.2,-2.8,8.3,8.3,4,-3.9,-21.2,-1.2,13.3
"22","15","    Transportation equipment","A681RL1",4,-18,8,16.2,20.3,-9.5,-13.9,11.2,21.5,10.5,4.4,-18.4,-2.8,-11.4,12.6,19.1,3.9,-3.8,-4.9,5.4,-10,-0.5,-2.7,1.8,18.6,17.1,8.2,4,8.3,9.3,17.5,-2.2,-8.9,-9.1,-8.9,15.6,11.9,8.1,-5.5,-23.2,-51.6,73.1,31.1
"23","16","    Other equipment \4\","A862RL1",6.8,4.3,-0.3,13.3,16.9,-1.3,-7.4,0.8,12.5,10.2,2,-10.1,2.7,-13.5,-3.6,13.2,1,-1.8,2.8,4.8,11.6,-3.8,-14.5,-0.5,9.5,8.1,5.4,3.8,9.7,10.2,2.6,5.6,-0.8,-0.7,4.6,6.1,8.8,3.7,-0.7,-3.5,-18.2,3.1,12.4
"24","17","Residential","A011RL1",3,-6,27.4,17.8,-0.6,-20.6,-13,23.5,21.5,6.3,-3.7,-21.2,-8,-18.2,41.4,14.8,1.6,12.3,2,-1,-3,-8.6,-9.6,13.8,8.2,9.7,-3.3,8,1.9,7.7,6.3,1,0.6,5.2,8.2,9.8,6.2,-7.3,-18.7,-23.9,-22.4,-3.7,-1.4
"25","18","  Structures","A012RL1",2.7,-6.3,27.8,17.7,-0.9,-21.2,-13.2,24.1,21.8,6.2,-3.9,-21.6,-8.2,-18.6,42.5,15,1.4,12.4,1.9,-1.1,-3.1,-8.8,-9.8,14.1,8.3,9.9,-3.4,8.2,1.9,7.7,6.2,0.9,0.5,5.3,8.2,9.8,6.3,-7.5,-18.9,-24.3,-22.7,-3.9,-1.5
"26","19","    Permanent site","A943RL1",2.9,-9.5,34.8,21,-0.5,-27.6,-23.4,31.4,29,4.6,-6.4,-29.7,-7.8,-22.1,63.4,17.5,-1.3,11.6,1.3,-3.6,-2.5,-9.7,-13.9,16.6,6.7,12,-6.6,9.4,0.5,9.5,7.4,0.8,0.6,4,9.8,11.6,7.1,-8.7,-25.6,-33.6,-40,-4,-3.8
"27","20","      Single family","A944RL1",-5.1,-13.1,38.8,18.9,-2.2,-23.3,-8.7,39.2,28.5,3.3,-11.4,-34.3,-9,-23.3,73.6,16,-0.9,14.5,8,-1.2,-2.9,-9.1,-12.4,21.5,9.5,10.7,-9.2,9.2,-0.3,10.9,7.4,1.1,0.1,3.9,10.7,12,6.7,-9.8,-27.4,-37.2,-40.9,8.6,-4.6
"28","21","      Multifamily","C292RL1",24.4,-2.1,27.3,25.2,2.8,-35.6,-55.4,-3.1,32.6,12.7,22.1,-10.5,-3.8,-18.5,36.9,22.2,-2.6,3,-21.1,-14.7,-0.3,-12.8,-22.9,-15,-19.4,29.2,23.9,10.6,7.7,-1.1,7.9,-1.7,4.3,5.3,2.6,7.8,10,0.7,-11.5,-12.1,-36.4,-49.8,2.5
"29","22","    Other structures \5\","A863RL1",2.3,1.1,13.6,9.7,-2.2,-2.7,8.4,13.3,9.3,9.6,1,-6.7,-8.9,-13.7,16,10.5,6.5,13.7,3,3,-4.2,-7.4,-3.4,10.8,10.6,7.1,1.4,6.5,3.9,5.2,4.3,1,0.4,7.1,6,7,4.9,-5.3,-7.8,-11.9,-5.6,-3.9,-0.2
"30","23","  Equipment","B013RL1",14.1,8.9,12.2,19.8,12.5,1.9,-6.9,5.2,9.4,8.8,9.6,0.1,-0.1,-3.9,11.6,10.8,7.9,8.2,4.1,3.4,0.5,-3,-3.9,3.1,2,0.7,1.3,-0.5,-0.8,7.4,11,7,2.6,4,6.3,11.5,5,2.8,-0.7,-3.7,-8.3,6.9,4.9
"31",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","24","  Private fixed investment in structures","A349RL1",4,-3.2,13,11.3,2.8,-13,-11.9,13.3,13.8,9.6,3.1,-9,0.5,-8.6,8.9,14.4,4.3,0.4,-0.2,-0.4,-0.9,-4.1,-10.4,4.5,4.5,6.6,0.4,7.1,4.1,6.6,3.6,3.7,-0.3,-4.3,3.9,6.9,4.7,-2.1,-6.7,-9.9,-21.8,-10.5,0.8
"33","25","  Private fixed investment in equipment and software","A327RL1",8.9,-0.8,1.2,13,18.2,2.5,-9.5,6.2,15,15.1,8.7,-3.5,4.2,-5.2,5.5,19.7,6.4,2,1.4,7.5,7.2,0,-2.6,7.2,12.3,11.8,11.8,10.5,13.6,14.4,14.1,10.4,-3.2,-4.1,3.2,8,8.5,7.5,3.3,-4.3,-16.4,8.9,10.9
"34","26","  Private fixed investment in new structures \6\","W040RL1",4.1,-3.2,12.7,11,2.6,-13.4,-13.1,12.8,13.5,9.6,3.4,-8.3,1.4,-8.3,7.8,14.7,4,0.1,-0.2,-1,-0.5,-3.9,-11.1,4.3,4.7,6.5,0.4,6.8,3.6,6.2,3.4,3.7,-0.8,-4.9,3.2,5.8,4.3,-1.1,-5.8,-9.1,-22.6,-10.8,0.6
"35","27","    Nonresidential structures","A771RL1",5.5,0.5,-1.4,3.2,8,-2.3,-10.5,2.5,3.9,14.4,12.8,5.9,8.1,-1.7,-10.7,13.9,7,-10.9,-2.9,0.6,2,1.6,-11,-6,-0.7,1.7,6.3,5.5,6.9,5.5,0.1,7.8,-2.4,-16.8,-3.8,0.8,1.2,9.3,14.3,6.4,-21.1,-15.5,2.7
"36","28","    Residential structures","A756RL1",2.8,-6.8,27.4,17.5,-1.3,-22.2,-15.6,24.1,22.1,6,-4.1,-21.6,-7.1,-18.5,42,15.6,0.6,12.9,2.2,-2.3,-2.6,-9.1,-11.2,14.9,9.2,10.2,-3.8,7.9,1.1,6.8,6,0.5,0.5,4.7,7.7,8.6,5.9,-6.8,-19.3,-24.7,-24.9,-3.6,-2.3
"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","1. Consists primarily of religious, educational, vocational, lodging, railroads, farm, and amusement and recreational",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","structures, net purchases of used structures, and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","3. Includes communication equipment, nonmedical instruments, medical equipment and instruments, photocopy and related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","equipment, and office and accounting equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","4. Consists primarily of furniture and fixtures, agricultural machinery, construction machinery, mining and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","oilfield machinery, service industry machinery, and electrical equipment not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","5. Consists primarily of manufactured homes, improvements, dormitories, net purchases",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","of used structures, and brokers' commissions on the sale of residential structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","6. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
