"","Table 6#1D# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"25","7","    Construction","N5007C1","376,082.0","421,943.0","470,679.0","508,659.0","513,288.0","529,212.0","580,447.0","648,870.0","703,528.0","679,098.0","623,667.0","545,713.0","520,999.0","541,056.0","586,893.0","....."
"26","8","    Manufacturing","N5008C1","1,147,887.0","1,189,701.0","1,243,138.0","1,113,268.0","1,069,813.0","1,105,533.0","1,193,679.0","1,326,745.0","1,432,044.0","1,454,241.0","1,385,556.0","1,216,538.0","1,356,931.0","1,411,990.0","1,561,489.0","....."
"27","9","      Durable goods","N5009C1","707,538.0","726,251.0","758,153.0","634,926.0","612,941.0","629,688.0","668,709.0","753,238.0","815,520.0","825,606.0","770,299.0","651,289.0","757,109.0","785,681.0","879,725.0","....."
"28","10","      Nondurable goods","N5010C1","440,350.0","463,450.0","484,984.0","478,342.0","456,874.0","475,844.0","524,969.0","573,506.0","616,525.0","628,636.0","615,257.0","565,249.0","599,820.0","626,309.0","681,765.0","....."
"29","11","    Wholesale trade","N5011C1","514,255.0","532,650.0","570,568.0","563,459.0","566,525.0","583,346.0","627,697.0","685,243.0","738,085.0","766,764.0","756,227.0","704,624.0","737,861.0","772,030.0","852,780.0","....."
"30","12","    Retail trade","N5012C1","609,063.0","635,677.0","666,662.0","700,409.0","727,513.0","761,291.0","787,927.0","856,990.0","905,428.0","906,249.0","840,498.0","840,020.0","872,212.0","898,611.0","958,987.0","....."
"31","13","    Transportation and warehousing","N5013C1","243,296.0","249,466.0","268,507.0","267,742.0","263,809.0","277,317.0","302,295.0","333,361.0","361,846.0","360,632.0","361,745.0","342,272.0","369,015.0","380,570.0","423,658.0","....."
"32","14","    Information","N5014C1","284,142.0","308,534.0","306,825.0","305,143.0","310,275.0","327,286.0","371,131.0","423,011.0","440,620.0","462,962.0","455,495.0","436,652.0","443,346.0","442,824.0","487,248.0","....."
"33","15","    Finance, insurance, real estate, rental, and leasing","N5015C1","1,304,137.0","1,351,530.0","1,472,647.0","1,624,055.0","1,625,824.0","1,681,849.0","1,777,938.0","1,969,064.0","2,093,694.0","2,097,390.0","1,932,440.0","2,135,469.0","2,139,887.0","2,176,410.0","2,312,832.0","....."
"34","16","    Professional and business services \1\","N5016C1","920,817.0","1,013,900.0","1,115,689.0","1,136,144.0","1,173,682.0","1,222,753.0","1,296,626.0","1,428,124.0","1,556,158.0","1,613,320.0","1,684,018.0","1,591,035.0","1,695,824.0","1,779,079.0","1,920,282.0","....."
"35","17","    Educational services, health care, and social assistance","N5017C1","606,721.0","647,151.0","689,364.0","751,497.0","820,587.0","870,776.0","934,053.0","988,428.0","1,055,625.0","1,108,640.0","1,185,948.0","1,252,435.0","1,292,535.0","1,334,327.0","1,396,930.0","....."
"36","18","    Arts, entertainment, recreation, accommodation, and food services","N5018C1","289,240.0","316,722.0","340,139.0","350,322.0","364,202.0","379,856.0","408,787.0","437,237.0","465,699.0","483,040.0","478,240.0","462,953.0","483,286.0","508,851.0","554,529.0","....."
"37","19","    Other services, except government","N5019C1","244,780.0","260,321.0","283,312.0","271,520.0","295,150.0","298,477.0","314,108.0","337,377.0","361,459.0","368,730.0","360,072.0","359,848.0","367,991.0","381,817.0","399,046.0","....."
"38","20","  Government","B436RC1","939,755.0","992,443.0","1,051,024.0","1,111,979.0","1,183,934.0","1,254,852.0","1,324,539.0","1,380,773.0","1,439,432.0","1,505,869.0","1,575,904.0","1,623,031.0","1,679,812.0","1,686,835.0","1,692,654.0","....."
"39","21","Rest of the world","A192RC1","18,234.0","27,131.0","37,007.0","51,803.0","48,599.0","68,045.0","90,087.0","93,528.0","68,446.0","126,461.0","172,953.0","147,179.0","205,968.0","260,767.0","252,849.0","....."
"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","1. Consists of professional, scientific, and technical services; management of companies and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","enterprises; and administrative and waste management services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Note. Estimates in this table are based on the 2002 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
