"","Table 1#17#5# Gross Domestic Product, Gross Domestic Income, and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"28","8","    National income \2\","A032RC1","899,520.0","940,149.0","1,017,016.0","1,122,976.0","1,256,980.0","1,350,769.0","1,451,148.0","1,614,767.0","1,798,653.0","2,029,939.0","2,248,153.0","2,426,752.0","2,722,132.0","2,840,412.0","3,060,514.0","3,443,987.0","3,684,189.0","3,848,203.0","4,119,198.0","4,493,372.0","4,782,194.0","5,036,095.0","5,186,125.0","5,499,748.0","5,754,784.0","6,140,229.0","6,479,476.0","6,899,394.0","7,380,370.0","7,857,280.0","8,324,399.0","8,907,019.0","9,184,633.0","9,436,823.0","9,865,118.0","10,541,896.0","11,240,778.0","12,005,592.0","12,322,250.0","12,430,829.0","12,124,494.0","12,739,538.0","13,395,688.0","13,971,611.0","....."
"29",NA,"Final expenditures by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","9","    Gross domestic purchases","A712RC1","1,018,447.0","1,071,934.0","1,167,148.0","1,285,821.0","1,424,438.0","1,549,639.0","1,672,945.0","1,879,218.0","2,109,044.0","2,381,937.0","2,654,689.0","2,875,561.0","3,223,476.0","3,364,965.0","3,689,779.0","4,143,417.0","4,460,753.0","4,722,022.0","5,014,987.0","5,362,021.0","5,744,434.0","6,057,444.0","6,202,658.0","6,574,039.0","6,943,892.0","7,401,241.0","7,753,818.0","8,196,577.0","8,710,485.0","9,251,877.0","9,927,128.0","10,669,808.0","10,994,267.0","11,405,222.0","12,013,152.0","12,891,837.0","13,811,143.0","14,620,302.0","15,190,116.0","15,433,502.0","14,810,145.0","15,476,718.0","16,102,578.0","16,791,786.0","17,294,773.0"
"31","10","    Final sales to domestic purchasers \3\","A713RC1","1,009,274.0","1,069,933.0","1,158,892.0","1,276,714.0","1,408,560.0","1,535,649.0","1,679,201.0","1,862,102.0","2,086,720.0","2,356,146.0","2,636,705.0","2,881,892.0","3,193,667.0","3,379,879.0","3,695,530.0","4,078,012.0","4,438,929.0","4,715,451.0","4,987,838.0","5,343,539.0","5,716,741.0","6,042,897.0","6,203,052.0","6,557,711.0","6,923,078.0","7,337,457.0","7,722,645.0","8,165,777.0","8,639,545.0","9,188,158.0","9,866,312.0","10,615,263.0","11,032,550.0","11,386,721.0","11,993,866.0","12,827,977.0","13,751,564.0","14,553,330.0","15,155,664.0","15,465,498.0","14,957,715.0","15,415,190.0","16,066,150.0","16,725,693.0","17,186,849.0"
"32",NA,"After-tax income received by the personal sector:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","11","    Disposable personal income","A067RC1","695,752.0","761,528.0","830,432.0","899,934.0","1,006,118.0","1,098,293.0","1,219,277.0","1,325,778.0","1,456,690.0","1,630,073.0","1,809,282.0","2,017,950.0","2,250,725.0","2,424,726.0","2,617,395.0","2,903,854.0","3,098,518.0","3,287,882.0","3,466,278.0","3,770,406.0","4,052,139.0","4,311,753.0","4,484,487.0","4,800,251.0","5,000,232.0","5,244,212.0","5,532,570.0","5,829,946.0","6,148,851.0","6,561,261.0","6,876,294.0","7,400,501.0","7,752,265.0","8,099,192.0","8,486,715.0","9,003,233.0","9,401,768.0","10,037,726.0","10,507,861.0","10,995,367.0","10,937,156.0","11,243,724.0","11,787,354.0","12,245,773.0","12,475,871.0"
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","1. In this table, net measures are the corresponding gross measures excluding the depreciation of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","fixed assets as measured by the consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2. Equals gross national income less the depreciation of fixed assets as measured by the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","3. Equals gross domestic purchases less change in private inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
