"","Table 1#3#6# Real Gross Value Added by Sector, Chained Dollars  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183"
"21","2","Business \1\","A195RX1","3,121,882.0","3,125,883.0","3,143,604.0","3,121,231.0","3,117,703.0","3,124,308.0","3,156,600.0","3,108,362.0","3,212,395.0","3,234,114.0","3,262,756.0","3,270,768.0","3,346,687.0","3,445,602.0","3,480,925.0","3,549,782.0","3,663,760.0","3,714,334.0","3,682,655.0","3,718,392.0","3,666,172.0","3,672,532.0","3,620,307.0","3,594,210.0","3,528,415.0","3,558,895.0","3,631,643.0","3,693,362.0","3,800,740.0","3,835,183.0","3,856,125.0","3,890,072.0","3,951,510.0","4,047,646.0","4,131,176.0","4,126,650.0","4,132,909.0","4,333,372.0","4,378,235.0","4,441,901.0","4,447,753.0","4,452,882.0","4,489,695.0","4,496,127.0","4,504,271.0","4,378,551.0","4,365,110.0","4,468,748.0","4,584,463.0","4,537,590.0","4,597,509.0","4,520,696.0","4,417,342.0","4,442,532.0","4,415,907.0","4,417,471.0","4,484,883.0","4,612,481.0","4,723,317.0","4,841,233.0","4,960,422.0","5,068,299.0","5,118,647.0","5,157,634.0","5,215,115.0","5,266,997.0","5,359,867.0","5,399,662.0","5,452,029.0","5,473,894.0","5,534,663.0","5,559,697.0","5,598,529.0","5,669,017.0","5,713,379.0","5,817,680.0","5,841,698.0","5,931,115.0","5,960,323.0","6,042,516.0","6,111,267.0","6,159,605.0","6,206,528.0","6,211,937.0","6,283,305.0","6,303,111.0","6,292,351.0","6,214,327.0","6,165,361.0","6,226,552.0","6,261,748.0","6,291,291.0","6,384,443.0","6,467,434.0","6,536,358.0","6,613,455.0","6,609,678.0","6,652,019.0","6,684,779.0","6,799,020.0","6,878,859.0","6,993,267.0","7,035,247.0","7,136,334.0","7,155,915.0","7,179,609.0","7,256,155.0","7,324,476.0","7,385,465.0","7,537,009.0","7,622,685.0","7,720,686.0","7,786,773.0","7,928,590.0","8,045,271.0","8,112,623.0","8,203,258.0","8,292,811.0","8,421,344.0","8,592,649.0","8,687,705.0","8,771,037.0","8,901,813.0","9,081,938.0","9,094,941.0","9,294,790.0","9,299,061.0","9,345,380.0","9,299,513.0","9,347,945.0","9,295,801.0","9,318,691.0","9,420,619.0","9,470,063.0","9,519,854.0","9,515,885.0","9,560,154.0","9,671,089.0","9,884,452.0","10,013,599.0","10,083,115.0","10,171,012.0","10,274,310.0","10,369,915.0","10,499,862.0","10,562,124.0","10,659,957.0","10,729,265.0","10,891,314.0","10,928,070.0","10,932,071.0","11,042,200.0","11,051,654.0","11,157,285.0","11,241,926.0","11,271,568.0","11,144,209.0","11,191,607.0","11,095,449.0","10,766,333.0","10,566,316.0","10,540,335.0","10,577,839.0","10,702,346.0","10,750,371.0","10,881,203.0","10,992,595.0","11,093,917.0","11,040,705.0","11,151,130.0","11,200,623.0","11,375,140.0","11,511,152.0","11,557,798.0","11,659,174.0","11,666,071.0","11,706,034.0","11,802,995.0","11,965,298.0","12,060,577.0"
"22","3","  Nonfarm \2\","A358RX1","3,100,269.0","3,103,828.0","3,120,634.0","3,098,073.0","3,094,271.0","3,099,975.0","3,131,546.0","3,081,060.0","3,185,515.0","3,206,500.0","3,235,049.0","3,243,654.0","3,328,813.0","3,421,082.0","3,458,993.0","3,523,980.0","3,657,154.0","3,698,815.0","3,687,712.0","3,682,111.0","3,658,968.0","3,658,877.0","3,607,448.0","3,579,250.0","3,494,363.0","3,519,973.0","3,592,460.0","3,657,545.0","3,772,852.0","3,810,452.0","3,832,618.0","3,865,582.0","3,930,356.0","4,022,561.0","4,106,073.0","4,092,905.0","4,114,963.0","4,317,945.0","4,354,087.0","4,434,698.0","4,426,471.0","4,432,259.0","4,464,686.0","4,469,590.0","4,480,083.0","4,354,129.0","4,348,734.0","4,451,529.0","4,551,828.0","4,496,505.0","4,532,933.0","4,462,077.0","4,358,639.0","4,384,642.0","4,361,934.0","4,361,788.0","4,445,847.0","4,599,041.0","4,723,314.0","4,834,964.0","4,935,893.0","5,032,337.0","5,076,980.0","5,113,659.0","5,164,052.0","5,215,083.0","5,296,171.0","5,344,344.0","5,399,607.0","5,428,413.0","5,482,260.0","5,510,383.0","5,549,122.0","5,620,998.0","5,661,592.0","5,769,269.0","5,794,263.0","5,893,155.0","5,926,816.0","6,015,925.0","6,066,079.0","6,113,284.0","6,159,019.0","6,163,276.0","6,230,961.0","6,252,536.0","6,238,796.0","6,156,792.0","6,111,080.0","6,172,963.0","6,209,487.0","6,235,422.0","6,320,040.0","6,397,628.0","6,466,485.0","6,549,068.0","6,554,134.0","6,593,311.0","6,643,904.0","6,740,114.0","6,805,449.0","6,919,923.0","6,961,787.0","7,072,303.0","7,105,082.0","7,130,878.0","7,212,251.0","7,275,590.0","7,326,138.0","7,472,940.0","7,564,227.0","7,660,022.0","7,720,683.0","7,858,591.0","7,970,450.0","8,041,131.0","8,138,235.0","8,230,390.0","8,357,023.0","8,528,918.0","8,624,697.0","8,702,693.0","8,836,291.0","9,013,204.0","9,016,206.0","9,214,507.0","9,215,995.0","9,265,327.0","9,222,380.0","9,279,928.0","9,230,543.0","9,234,807.0","9,361,736.0","9,393,562.0","9,435,410.0","9,427,916.0","9,470,270.0","9,575,392.0","9,798,746.0","9,939,229.0","9,981,981.0","10,089,822.0","10,184,640.0","10,269,570.0","10,403,549.0","10,461,995.0","10,559,432.0","10,630,692.0","10,795,696.0","10,817,967.0","10,831,729.0","10,950,524.0","10,964,096.0","11,076,029.0","11,168,521.0","11,191,906.0","11,049,251.0","11,104,649.0","11,010,995.0","10,663,805.0","10,463,492.0","10,436,028.0","10,459,250.0","10,588,864.0","10,642,232.0","10,765,094.0","10,876,918.0","10,988,433.0","10,930,762.0","11,056,739.0","11,103,988.0","11,264,810.0","11,402,736.0","11,447,560.0","11,564,549.0","11,583,913.0","11,576,189.0","11,669,222.0","11,825,009.0","11,925,463.0"
"23","4","  Farm","B359RX1","27,022.0","27,182.0","27,565.0","27,464.0","27,520.0","27,835.0","28,269.0","28,646.0","29,180.0","29,553.0","29,779.0","29,667.0","27,433.0","30,057.0","29,590.0","31,116.0","27,652.0","29,840.0","26,222.0","33,190.0","27,809.0","29,081.0","28,539.0","28,831.0","32,825.0","34,295.0","34,780.0","34,258.0","32,904.0","32,306.0","32,122.0","32,616.0","31,923.0","33,702.0","34,236.0","37,167.0","32,207.0","32,885.0","35,613.0","31,507.0","35,231.0","35,123.0","36,574.0","37,055.0","36,414.0","35,894.0","33,025.0","34,121.0","39,693.0","42,547.0","52,349.0","49,621.0","49,497.0","49,314.0","47,152.0","47,456.0","39,720.0","30,641.0","26,243.0","29,407.0","37,145.0","42,325.0","45,076.0","46,257.0","49,735.0","50,328.0","57,425.0","52,877.0","51,652.0","47,812.0","51,940.0","50,487.0","50,650.0","50,169.0","52,381.0","50,951.0","50,525.0","46,123.0","44,124.0","41,183.0","50,560.0","51,380.0","52,218.0","52,819.0","54,929.0","54,113.0","55,566.0","57,353.0","55,389.0","55,297.0","54,721.0","57,002.0","62,387.0","65,956.0","66,269.0","63,158.0","57,603.0","59,780.0","48,931.0","60,795.0","69,847.0","70,420.0","70,890.0","65,003.0","56,389.0","55,224.0","52,343.0","55,728.0","62,116.0","65,367.0","62,701.0","64,259.0","67,708.0","70,623.0","74,194.0","72,091.0","67,927.0","66,449.0","68,179.0","68,219.0","67,903.0","72,236.0","69,915.0","72,880.0","82,183.0","83,708.0","86,280.0","83,416.0","80,722.0","72,940.0","70,555.0","86,551.0","64,064.0","80,417.0","88,146.0","91,079.0","92,261.0","97,446.0","88,920.0","80,697.0","100,390.0","87,442.0","93,924.0","102,560.0","99,445.0","102,795.0","103,136.0","101,210.0","98,274.0","113,417.0","103,074.0","94,889.0","91,358.0","86,613.0","81,031.0","85,690.0","96,120.0","90,896.0","88,905.0","102,929.0","102,944.0","104,242.0","118,681.0","113,334.0","108,223.0","115,508.0","115,147.0","106,943.0","110,037.0","100,170.0","101,773.0","111,292.0","110,444.0","111,834.0","101,992.0","94,272.0","121,900.0","124,549.0","129,090.0","126,094.0"
"24","5","Households and institutions","A193RX1","599,490.0","606,711.0","611,656.0","615,197.0","614,772.0","615,269.0","620,799.0","629,133.0","638,429.0","644,339.0","651,215.0","657,431.0","665,526.0","671,644.0","677,085.0","682,254.0","687,068.0","693,600.0","701,352.0","709,850.0","718,195.0","724,327.0","730,110.0","736,434.0","744,160.0","751,399.0","757,001.0","760,031.0","760,065.0","763,129.0","765,849.0","767,144.0","761,323.0","766,884.0","775,543.0","779,933.0","792,913.0","800,480.0","806,691.0","817,847.0","824,893.0","829,707.0","835,846.0","840,394.0","850,873.0","858,474.0","865,844.0","869,564.0","873,132.0","876,852.0","880,200.0","888,979.0","895,009.0","900,753.0","909,514.0","913,357.0","921,303.0","928,121.0","935,412.0","948,972.0","952,898.0","951,890.0","962,846.0","976,581.0","979,525.0","983,674.0","987,362.0","998,324.0","1,009,022.0","1,016,367.0","1,023,465.0","1,028,732.0","1,039,426.0","1,048,267.0","1,073,714.0","1,085,036.0","1,098,540.0","1,109,422.0","1,122,955.0","1,140,980.0","1,148,074.0","1,159,325.0","1,166,587.0","1,174,828.0","1,185,543.0","1,195,645.0","1,205,097.0","1,212,327.0","1,217,203.0","1,220,835.0","1,228,732.0","1,237,184.0","1,239,402.0","1,251,512.0","1,267,336.0","1,281,975.0","1,304,567.0","1,317,678.0","1,330,390.0","1,338,745.0","1,347,369.0","1,358,328.0","1,373,074.0","1,382,727.0","1,393,733.0","1,403,732.0","1,409,534.0","1,418,562.0","1,422,513.0","1,430,523.0","1,438,293.0","1,447,736.0","1,458,282.0","1,470,375.0","1,484,481.0","1,500,195.0","1,511,848.0","1,523,831.0","1,534,663.0","1,543,294.0","1,551,436.0","1,564,759.0","1,576,876.0","1,594,057.0","1,609,769.0","1,624,994.0","1,640,518.0","1,658,756.0","1,660,573.0","1,668,414.0","1,675,804.0","1,677,886.0","1,684,597.0","1,696,553.0","1,700,970.0","1,708,863.0","1,721,427.0","1,726,648.0","1,730,074.0","1,749,754.0","1,756,475.0","1,768,852.0","1,781,152.0","1,794,630.0","1,811,621.0","1,824,460.0","1,836,972.0","1,843,813.0","1,853,940.0","1,858,204.0","1,856,521.0","1,851,937.0","1,848,945.0","1,850,408.0","1,857,318.0","1,871,953.0","1,890,575.0","1,909,664.0","1,918,694.0","1,920,141.0","1,909,791.0","1,907,452.0","1,914,138.0","1,923,079.0","1,930,088.0","1,930,979.0","1,928,564.0","1,932,256.0","1,938,226.0","1,947,644.0","1,952,359.0","1,956,790.0","1,958,559.0","1,959,485.0","1,961,201.0","1,962,083.0","1,968,092.0","1,967,732.0","1,970,167.0","1,975,188.0"
"25","6","  Households","B701RX1","346,884.0","351,703.0","355,136.0","358,258.0","358,203.0","358,938.0","362,082.0","367,596.0","372,590.0","376,164.0","381,723.0","387,735.0","391,663.0","394,714.0","396,913.0","400,259.0","403,001.0","406,893.0","411,953.0","417,245.0","423,461.0","426,940.0","430,338.0","434,303.0","436,991.0","440,841.0","443,480.0","445,077.0","445,783.0","448,239.0","449,765.0","449,559.0","441,526.0","445,840.0","452,956.0","456,130.0","467,459.0","472,028.0","476,381.0","484,501.0","487,548.0","488,277.0","491,259.0","494,579.0","501,293.0","507,238.0","510,028.0","511,829.0","513,004.0","514,564.0","514,872.0","517,778.0","518,424.0","518,830.0","522,073.0","522,349.0","526,738.0","529,400.0","532,575.0","542,311.0","543,131.0","539,821.0","550,038.0","561,417.0","566,206.0","568,883.0","570,051.0","575,515.0","579,927.0","581,215.0","584,853.0","585,583.0","591,537.0","593,336.0","608,342.0","613,302.0","618,228.0","621,766.0","627,365.0","637,866.0","639,336.0","644,426.0","646,915.0","648,580.0","652,147.0","656,195.0","659,340.0","662,593.0","664,519.0","665,534.0","671,389.0","675,750.0","675,214.0","683,427.0","691,927.0","698,217.0","710,469.0","714,300.0","721,292.0","728,384.0","738,633.0","747,508.0","759,143.0","766,181.0","772,178.0","777,986.0","780,597.0","786,185.0","788,888.0","792,647.0","797,413.0","802,612.0","807,780.0","813,481.0","820,203.0","827,783.0","829,597.0","835,922.0","842,010.0","848,513.0","857,737.0","868,621.0","878,026.0","888,348.0","897,943.0","907,112.0","917,439.0","928,814.0","935,316.0","942,597.0","948,884.0","947,224.0","947,093.0","951,005.0","950,712.0","956,326.0","967,127.0","972,923.0","975,929.0","991,639.0","998,339.0","1,009,067.0","1,020,723.0","1,033,683.0","1,050,011.0","1,062,032.0","1,072,339.0","1,081,186.0","1,091,412.0","1,095,328.0","1,094,277.0","1,089,428.0","1,082,747.0","1,079,896.0","1,083,540.0","1,092,731.0","1,104,318.0","1,116,515.0","1,120,466.0","1,121,328.0","1,110,836.0","1,106,213.0","1,108,782.0","1,114,516.0","1,118,173.0","1,117,251.0","1,113,144.0","1,113,232.0","1,117,554.0","1,120,584.0","1,118,423.0","1,119,368.0","1,117,543.0","1,115,805.0","1,116,145.0","1,114,446.0","1,117,732.0","1,116,467.0","1,120,514.0","1,123,719.0"
"26","7","  Nonprofit institutions serving households \3\","B702RX1","252,516.0","254,616.0","255,887.0","255,924.0","255,510.0","255,138.0","257,539.0","260,137.0","264,531.0","266,812.0","267,683.0","267,259.0","271,631.0","274,830.0","278,302.0","280,034.0","282,096.0","284,695.0","287,258.0","290,381.0","292,250.0","294,912.0","297,283.0","299,588.0","304,877.0","308,307.0","311,349.0","312,798.0","312,028.0","312,531.0","313,726.0","315,356.0","318,282.0","319,346.0","320,555.0","321,709.0","322,714.0","325,702.0","327,480.0","330,345.0","334,415.0","338,726.0","341,945.0","343,071.0","346,737.0","348,196.0","352,939.0","354,897.0","357,390.0","359,614.0","362,856.0","369,020.0","374,831.0","380,631.0","386,435.0","390,332.0","393,913.0","398,281.0","402,559.0","406,034.0","409,349.0","412,077.0","412,212.0","414,059.0","411,863.0","413,316.0","415,958.0","421,549.0","428,042.0","434,491.0","437,998.0","442,852.0","447,602.0","455,089.0","465,447.0","471,996.0","480,917.0","488,617.0","496,813.0","504,306.0","510,256.0","516,587.0","521,579.0","528,571.0","536,071.0","542,356.0","548,970.0","553,057.0","556,112.0","558,856.0","560,733.0","564,874.0","567,833.0","571,597.0","578,980.0","587,541.0","597,954.0","607,655.0","613,403.0","614,393.0","612,178.0","613,981.0","616,749.0","619,205.0","624,242.0","628,421.0","631,690.0","635,080.0","636,276.0","640,623.0","643,589.0","647,856.0","653,334.0","659,869.0","667,413.0","675,718.0","686,212.0","691,929.0","696,673.0","698,582.0","696,915.0","698,965.0","701,393.0","708,195.0","714,249.0","720,257.0","725,307.0","732,076.0","726,802.0","727,072.0","727,965.0","732,004.0","739,253.0","747,592.0","752,575.0","754,744.0","756,171.0","755,353.0","755,688.0","759,383.0","759,231.0","760,677.0","761,133.0","761,476.0","761,897.0","762,551.0","764,663.0","762,540.0","762,378.0","762,714.0","762,081.0","762,378.0","766,137.0","770,510.0","773,779.0","779,212.0","786,240.0","793,120.0","798,211.0","798,793.0","798,943.0","801,242.0","805,360.0","808,568.0","811,917.0","813,733.0","815,403.0","818,989.0","820,654.0","827,024.0","833,864.0","837,342.0","840,915.0","843,555.0","844,923.0","847,478.0","850,199.0","851,094.0","849,504.0","851,324.0"
"27","8","General government \4\","A765RX1","1,129,002.0","1,138,403.0","1,147,767.0","1,152,386.0","1,146,130.0","1,146,753.0","1,148,254.0","1,149,209.0","1,150,836.0","1,148,932.0","1,149,928.0","1,151,289.0","1,145,422.0","1,145,365.0","1,150,629.0","1,157,472.0","1,154,267.0","1,153,758.0","1,154,824.0","1,161,297.0","1,172,836.0","1,177,158.0","1,181,295.0","1,187,284.0","1,194,996.0","1,197,061.0","1,199,697.0","1,201,105.0","1,204,179.0","1,206,144.0","1,210,939.0","1,215,909.0","1,217,215.0","1,218,968.0","1,225,288.0","1,229,473.0","1,237,212.0","1,241,166.0","1,250,717.0","1,258,728.0","1,260,771.0","1,258,857.0","1,259,354.0","1,269,074.0","1,276,162.0","1,283,929.0","1,284,701.0","1,282,116.0","1,283,930.0","1,286,938.0","1,295,203.0","1,299,821.0","1,303,395.0","1,307,692.0","1,308,305.0","1,310,908.0","1,316,044.0","1,318,771.0","1,321,940.0","1,321,473.0","1,326,118.0","1,334,668.0","1,345,475.0","1,352,768.0","1,363,281.0","1,374,168.0","1,390,444.0","1,397,822.0","1,405,679.0","1,414,249.0","1,423,089.0","1,436,077.0","1,442,423.0","1,449,979.0","1,456,730.0","1,472,526.0","1,485,885.0","1,491,091.0","1,499,488.0","1,511,061.0","1,519,434.0","1,528,601.0","1,540,163.0","1,548,662.0","1,563,103.0","1,569,817.0","1,578,295.0","1,581,276.0","1,591,026.0","1,590,357.0","1,588,189.0","1,588,664.0","1,594,166.0","1,595,939.0","1,599,282.0","1,597,380.0","1,601,292.0","1,601,073.0","1,601,898.0","1,598,973.0","1,601,399.0","1,603,482.0","1,604,880.0","1,600,809.0","1,606,198.0","1,608,232.0","1,608,345.0","1,598,418.0","1,597,357.0","1,612,989.0","1,612,494.0","1,612,513.0","1,615,870.0","1,618,803.0","1,623,738.0","1,625,525.0","1,631,445.0","1,637,160.0","1,642,483.0","1,644,950.0","1,648,350.0","1,649,371.0","1,655,047.0","1,662,389.0","1,671,349.0","1,684,834.0","1,682,188.0","1,685,164.0","1,696,374.0","1,707,521.0","1,717,332.0","1,723,460.0","1,732,488.0","1,741,301.0","1,748,561.0","1,751,562.0","1,760,581.0","1,765,635.0","1,766,641.0","1,767,882.0","1,771,869.0","1,774,980.0","1,778,784.0","1,785,671.0","1,790,122.0","1,791,604.0","1,796,216.0","1,798,496.0","1,798,804.0","1,802,898.0","1,813,624.0","1,820,867.0","1,823,809.0","1,829,297.0","1,837,372.0","1,848,154.0","1,857,951.0","1,865,711.0","1,879,711.0","1,888,350.0","1,896,261.0","1,909,137.0","1,910,396.0","1,914,681.0","1,917,192.0","1,925,819.0","1,918,359.0","1,916,530.0","1,915,398.0","1,912,998.0","1,909,776.0","1,910,664.0","1,912,173.0","1,910,696.0","1,913,742.0","1,911,613.0","1,909,983.0","1,908,978.0","1,903,753.0","1,897,039.0"
"28","9","  Federal","A766RX1","493,238.0","496,411.0","499,388.0","497,640.0","487,426.0","482,764.0","478,661.0","474,397.0","471,118.0","465,583.0","461,108.0","456,568.0","450,392.0","444,827.0","444,651.0","445,565.0","439,482.0","434,816.0","430,924.0","431,216.0","435,265.0","434,856.0","434,183.0","434,800.0","434,362.0","433,505.0","433,420.0","433,676.0","434,749.0","435,176.0","435,668.0","436,406.0","436,273.0","437,116.0","438,869.0","439,309.0","442,079.0","444,299.0","445,846.0","445,331.0","445,244.0","445,608.0","446,627.0","446,634.0","449,480.0","455,168.0","456,377.0","455,223.0","458,918.0","461,120.0","463,895.0","465,642.0","467,341.0","470,078.0","473,192.0","476,092.0","480,047.0","483,089.0","486,498.0","487,749.0","491,595.0","495,883.0","500,076.0","503,060.0","507,801.0","512,874.0","517,976.0","519,956.0","523,616.0","526,107.0","529,430.0","532,685.0","538,121.0","541,914.0","548,006.0","552,778.0","554,284.0","553,749.0","556,443.0","560,360.0","561,491.0","563,636.0","566,780.0","568,964.0","573,555.0","574,859.0","576,993.0","576,890.0","584,058.0","580,873.0","577,138.0","574,682.0","573,488.0","571,218.0","568,987.0","566,267.0","566,312.0","563,055.0","559,601.0","553,836.0","552,159.0","547,506.0","543,883.0","537,575.0","534,470.0","532,738.0","529,721.0","515,246.0","515,538.0","519,208.0","516,624.0","511,553.0","510,180.0","508,435.0","507,007.0","502,342.0","502,278.0","501,662.0","501,712.0","501,305.0","501,213.0","497,840.0","496,661.0","496,479.0","499,059.0","507,088.0","499,601.0","497,678.0","501,478.0","503,418.0","504,194.0","502,955.0","507,278.0","510,294.0","513,441.0","515,487.0","521,361.0","525,427.0","526,623.0","527,651.0","530,545.0","531,228.0","534,079.0","537,882.0","539,606.0","539,653.0","540,504.0","543,384.0","541,534.0","542,894.0","547,717.0","549,031.0","549,368.0","549,984.0","555,165.0","557,994.0","563,358.0","569,255.0","577,728.0","586,304.0","592,588.0","603,628.0","607,521.0","610,780.0","617,488.0","627,415.0","625,415.0","626,714.0","629,340.0","630,323.0","630,333.0","631,815.0","631,678.0","630,481.0","629,556.0","628,536.0","626,608.0","624,089.0","616,970.0","608,970.0"
"29","10","  State and local","A767RX1","603,593.0","609,832.0","616,280.0","623,682.0","630,239.0","637,174.0","644,339.0","651,118.0","657,392.0","662,787.0","670,000.0","677,746.0","679,627.0","687,339.0","693,572.0","700,104.0","704,953.0","710,890.0","717,542.0","724,550.0","732,077.0","737,565.0","743,181.0","749,128.0","758,504.0","762,017.0","765,106.0","766,351.0","768,370.0","770,015.0","774,760.0","779,378.0","781,037.0","781,865.0","786,610.0","790,731.0","795,712.0","797,171.0","805,816.0","815,527.0","817,931.0","815,286.0","814,487.0","825,325.0","829,463.0","830,608.0","829,889.0","828,533.0","825,637.0","826,092.0","831,644.0","834,489.0","836,218.0","837,377.0","833,933.0","833,005.0","833,526.0","832,609.0","831,732.0","829,626.0","829,823.0","833,747.0","840,277.0","844,491.0","850,015.0","855,536.0","866,877.0","872,430.0","876,440.0","882,636.0","888,098.0","898,067.0","898,368.0","901,918.0","901,991.0","913,111.0","925,453.0","931,580.0","937,319.0","944,986.0","952,475.0","959,636.0","968,156.0","974,550.0","984,427.0","989,935.0","996,343.0","999,524.0","1,001,748.0","1,004,542.0","1,006,372.0","1,009,508.0","1,016,420.0","1,020,664.0","1,026,452.0","1,027,397.0","1,031,335.0","1,034,539.0","1,039,008.0","1,042,098.0","1,046,315.0","1,053,321.0","1,058,540.0","1,061,009.0","1,069,770.0","1,073,677.0","1,076,966.0","1,082,180.0","1,080,785.0","1,092,822.0","1,095,044.0","1,100,389.0","1,105,258.0","1,110,089.0","1,116,599.0","1,123,291.0","1,129,351.0","1,135,780.0","1,141,109.0","1,144,018.0","1,147,549.0","1,152,055.0","1,158,982.0","1,166,554.0","1,172,945.0","1,178,328.0","1,183,269.0","1,188,204.0","1,195,608.0","1,204,819.0","1,213,850.0","1,221,212.0","1,225,928.0","1,231,739.0","1,235,857.0","1,236,811.0","1,239,859.0","1,240,734.0","1,240,510.0","1,240,705.0","1,241,742.0","1,244,177.0","1,245,075.0","1,248,120.0","1,250,826.0","1,252,271.0","1,256,048.0","1,255,367.0","1,257,602.0","1,260,329.0","1,266,182.0","1,272,133.0","1,274,758.0","1,279,668.0","1,282,484.0","1,290,444.0","1,294,822.0","1,296,599.0","1,302,054.0","1,302,091.0","1,303,699.0","1,305,492.0","1,302,866.0","1,303,903.0","1,299,708.0","1,298,380.0","1,292,919.0","1,289,787.0","1,286,016.0","1,282,621.0","1,279,384.0","1,278,785.0","1,280,437.0","1,280,160.0","1,284,134.0","1,283,026.0","1,283,325.0","1,284,853.0","1,286,790.0","1,288,177.0"
"30","11","Residual","A961RX1","-136,400.0","-141,400.0","-143,400.0","-150,100.0","-150,300.0","-150,700.0","-149,600.0","-159,000.0","-150,400.0","-150,100.0","-150,000.0","-153,200.0","-152,500.0","-140,100.0","-142,300.0","-135,600.0","-139,800.0","-130,300.0","-155,500.0","-122,200.0","-158,800.0","-156,900.0","-168,100.0","-174,500.0","-175,300.0","-171,500.0","-165,100.0","-161,300.0","-154,300.0","-153,900.0","-155,100.0","-152,800.0","-146,500.0","-133,800.0","-128,300.0","-126,200.0","-142,600.0","-122,800.0","-116,700.0","-128,500.0","-120,600.0","-121,400.0","-115,500.0","-119,500.0","-125,600.0","-145,500.0","-154,900.0","-141,900.0","-117,800.0","-120,200.0","-102,800.0","-120,600.0","-136,800.0","-137,500.0","-144,900.0","-144,800.0","-148,500.0","-151,900.0","-150,200.0","-136,000.0","-113,900.0","-97,900.0","-95,100.0","-95,000.0","-88,200.0","-86,100.0","-77,600.0","-82,200.0","-83,400.0","-89,100.0","-84,500.0","-89,200.0","-89,000.0","-87,300.0","-88,300.0","-87,700.0","-93,300.0","-94,500.0","-99,600.0","-103,100.0","-91,900.0","-92,200.0","-92,600.0","-96,200.0","-94,600.0","-97,900.0","-101,700.0","-108,500.0","-116,800.0","-113,200.0","-112,100.0","-110,500.0","-102,100.0","-96,800.0","-95,900.0","-95,200.0","-103,800.0","-102,800.0","-110,000.0","-96,500.0","-86,900.0","-81,900.0","-82,000.0","-79,700.0","-86,300.0","-87,800.0","-85,900.0","-79,900.0","-72,300.0","-65,600.0","-64,300.0","-59,400.0","-55,900.0","-48,900.0","-43,900.0","-44,100.0","-44,600.0","-43,400.0","-38,600.0","-31,600.0","-28,100.0","-24,700.0","-21,200.0","-15,900.0","-17,300.0","-12,300.0","-13,100.0","-13,500.0","-16,600.0","-17,900.0","-22,000.0","-19,600.0","-20,800.0","-19,900.0","-19,400.0","-19,400.0","-18,600.0","-15,400.0","-12,300.0","-13,600.0","-5,500.0","-11,700.0","-8,500.0","-5,700.0","-5,000.0","-4,200.0","-3,100.0","-2,400.0","-500.0","-1,000.0","-700.0","100.0","-400.0","-1,200.0","-3,000.0","-1,800.0","1,300.0","-1,800.0","-3,300.0","-600.0","-300.0","200.0","-100.0","200.0","0.0","600.0","500.0","-1,600.0","-400.0","-6,100.0","-5,700.0","-1,300.0","-2,000.0","-1,800.0","-7,200.0","-12,000.0","8,000.0","9,400.0","11,400.0","9,100.0"
"31",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
