"","Table 5#8#5A# Private Inventories and Domestic Final Sales of Bu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119"
"28","9","  Wholesale trade","A379RC1","30,325.0","31,156.0","31,904.0","32,539.0","33,568.0","34,288.0","35,251.0","36,413.0","36,883.0","37,949.0","38,394.0","39,361.0","39,773.0","40,806.0","42,032.0","43,145.0","45,286.0","47,068.0","48,900.0","51,745.0","55,912.0","59,775.0","63,237.0","66,860.0","65,979.0","64,971.0","66,508.0","66,477.0","67,700.0","70,803.0","73,240.0","74,058.0","77,129.0","78,627.0","80,523.0","84,013.0","88,539.0","91,896.0","94,068.0","98,960.0","104,428.0","109,436.0","114,900.0","119,536.0","126,854.0","131,585.0","136,034.0","139,415.0","147,278.0","147,738.0","148,762.0","148,802.0","148,618.0","149,502.0","149,362.0","147,936.0","146,488.0","145,144.0","150,377.0","153,386.0","158,076.0","162,070.0","167,434.0","169,142.0","171,084.0","172,781.0","172,662.0","175,928.0","176,060.0","178,593.0","181,972.0","181,952.0","183,810.0","187,785.0","188,746.0","195,810.0","201,884.0","207,979.0","212,796.0","213,906.0","216,306.0","220,792.0","221,414.0","222,776.0","225,661.0","229,234.0","235,221.0","236,755.0","236,866.0","232,678.0","234,461.0","239,156.0","239,845.0","243,459.0","244,922.0","248,311.0","250,882.0","251,802.0","255,036.0","258,601.0","259,330.0","265,308.0","272,008.0","281,529.0","290,934.0","297,425.0","301,107.0","303,733.0","305,408.0","306,227.0","305,271.0","305,161.0","309,568.0","315,177.0","318,166.0","323,830.0"
"29","10","    Durable goods","A380RC1","18,268.0","18,801.0","19,352.0","19,847.0","20,448.0","20,708.0","21,341.0","21,800.0","22,157.0","22,757.0","23,398.0","24,143.0","24,503.0","25,290.0","25,814.0","26,602.0","27,686.0","28,621.0","29,218.0","30,325.0","32,252.0","34,870.0","37,500.0","40,150.0","41,026.0","40,483.0","40,391.0","41,068.0","41,952.0","43,768.0","45,559.0","46,327.0","47,752.0","49,014.0","50,808.0","52,743.0","56,047.0","58,606.0","60,608.0","63,852.0","67,390.0","69,264.0","72,360.0","74,632.0","78,016.0","80,314.0","81,980.0","85,848.0","88,924.0","91,237.0","92,764.0","95,218.0","96,205.0","97,456.0","97,428.0","94,962.0","93,329.0","92,599.0","94,770.0","97,496.0","100,786.0","103,877.0","108,133.0","110,596.0","111,655.0","112,842.0","112,861.0","114,023.0","116,089.0","119,113.0","122,749.0","121,570.0","122,140.0","124,529.0","124,012.0","128,735.0","133,236.0","133,694.0","138,376.0","139,198.0","140,357.0","143,369.0","143,862.0","143,445.0","145,207.0","146,971.0","149,766.0","149,358.0","150,497.0","146,787.0","146,307.0","149,516.0","148,374.0","150,976.0","152,360.0","153,404.0","154,914.0","155,410.0","157,635.0","160,137.0","160,871.0","166,212.0","170,507.0","176,065.0","182,015.0","185,696.0","187,037.0","190,000.0","190,651.0","190,990.0","193,415.0","192,779.0","195,788.0","201,064.0","201,911.0","205,111.0"
"30","11","    Nondurable goods","A381RC1","12,057.0","12,355.0","12,552.0","12,692.0","13,120.0","13,580.0","13,910.0","14,613.0","14,726.0","15,192.0","14,996.0","15,218.0","15,270.0","15,516.0","16,218.0","16,543.0","17,600.0","18,447.0","19,682.0","21,420.0","23,660.0","24,905.0","25,737.0","26,710.0","24,953.0","24,488.0","26,117.0","25,409.0","25,748.0","27,035.0","27,681.0","27,731.0","29,377.0","29,613.0","29,715.0","31,270.0","32,492.0","33,290.0","33,460.0","35,108.0","37,038.0","40,172.0","42,540.0","44,904.0","48,838.0","51,271.0","54,054.0","53,567.0","58,354.0","56,501.0","55,998.0","53,584.0","52,413.0","52,046.0","51,934.0","52,974.0","53,159.0","52,545.0","55,607.0","55,890.0","57,290.0","58,193.0","59,301.0","58,546.0","59,429.0","59,939.0","59,801.0","61,905.0","59,971.0","59,480.0","59,223.0","60,382.0","61,670.0","63,256.0","64,734.0","67,075.0","68,648.0","74,285.0","74,420.0","74,708.0","75,949.0","77,423.0","77,552.0","79,331.0","80,454.0","82,263.0","85,455.0","87,397.0","86,369.0","85,891.0","88,154.0","89,640.0","91,471.0","92,483.0","92,562.0","94,907.0","95,968.0","96,392.0","97,401.0","98,464.0","98,459.0","99,096.0","101,501.0","105,464.0","108,919.0","111,729.0","114,070.0","113,733.0","114,757.0","115,237.0","111,856.0","112,382.0","113,780.0","114,113.0","116,255.0","118,719.0"
"31","12","      Merchant wholesalers","A802RC1","21,956.0","22,682.0","23,307.0","23,796.0","24,773.0","25,369.0","26,295.0","27,302.0","27,644.0","28,683.0","29,164.0","30,155.0","30,491.0","31,433.0","32,462.0","33,461.0","35,201.0","36,493.0","38,153.0","40,418.0","43,729.0","46,788.0","49,299.0","51,972.0","50,521.0","49,616.0","50,827.0","50,659.0","51,716.0","54,287.0","56,053.0","56,729.0","59,196.0","60,426.0","62,378.0","65,630.0","70,146.0","73,522.0","75,301.0","79,335.0","84,221.0","87,679.0","91,472.0","94,522.0","99,144.0","102,342.0","107,550.0","110,989.0","115,507.0","115,824.0","116,883.0","119,320.0","118,790.0","121,139.0","120,306.0","118,935.0","118,549.0","117,223.0","121,220.0","124,098.0","128,281.0","131,268.0","135,966.0","137,668.0","139,709.0","141,320.0","142,101.0","145,112.0","146,921.0","149,639.0","153,208.0","152,606.0","154,314.0","158,595.0","159,393.0","165,739.0","171,498.0","177,166.0","181,859.0","181,847.0","183,449.0","186,981.0","187,263.0","188,856.0","190,878.0","194,434.0","198,884.0","200,106.0","201,609.0","198,420.0","199,703.0","204,193.0","205,396.0","208,601.0","209,257.0","213,379.0","215,761.0","216,981.0","220,400.0","223,848.0","223,982.0","229,639.0","235,443.0","243,902.0","252,175.0","257,392.0","260,722.0","262,624.0","263,333.0","264,231.0","262,755.0","262,445.0","267,269.0","272,996.0","275,822.0","280,652.0"
"32","13","        Durable goods","B803RC1","13,518.0","13,986.0","14,421.0","14,777.0","15,350.0","15,569.0","16,159.0","16,571.0","16,916.0","17,519.0","18,159.0","18,913.0","19,196.0","19,917.0","20,345.0","21,065.0","21,962.0","22,646.0","23,081.0","24,077.0","25,699.0","28,049.0","30,165.0","32,212.0","32,758.0","32,098.0","31,935.0","32,606.0","33,368.0","34,896.0","36,261.0","36,556.0","37,972.0","39,217.0","40,990.0","42,782.0","45,748.0","48,065.0","49,854.0","52,591.0","55,362.0","56,831.0","59,642.0","61,657.0","64,653.0","66,663.0","68,385.0","71,903.0","74,454.0","76,446.0","77,314.0","79,473.0","80,209.0","81,347.0","81,107.0","79,130.0","77,627.0","76,588.0","78,516.0","80,917.0","84,124.0","86,614.0","90,277.0","92,360.0","93,300.0","94,228.0","94,490.0","95,952.0","97,987.0","100,966.0","104,379.0","103,039.0","103,801.0","106,377.0","105,934.0","110,153.0","114,360.0","114,700.0","119,141.0","119,185.0","120,167.0","122,973.0","123,015.0","122,823.0","124,207.0","125,611.0","128,546.0","128,195.0","129,548.0","126,314.0","125,464.0","128,783.0","128,010.0","130,686.0","131,682.0","133,390.0","134,925.0","135,514.0","137,607.0","139,556.0","139,780.0","145,076.0","148,874.0","153,677.0","158,966.0","161,956.0","162,901.0","165,298.0","165,538.0","165,936.0","168,021.0","167,619.0","170,642.0","175,723.0","176,691.0","179,089.0"
"33","14","        Nondurable goods","B804RC1","8,438.0","8,696.0","8,886.0","9,019.0","9,423.0","9,800.0","10,136.0","10,731.0","10,728.0","11,164.0","11,005.0","11,242.0","11,295.0","11,516.0","12,117.0","12,396.0","13,239.0","13,847.0","15,072.0","16,341.0","18,030.0","18,739.0","19,134.0","19,760.0","17,763.0","17,518.0","18,892.0","18,053.0","18,348.0","19,391.0","19,792.0","20,173.0","21,224.0","21,209.0","21,388.0","22,848.0","24,398.0","25,457.0","25,447.0","26,744.0","28,859.0","30,848.0","31,830.0","32,865.0","34,491.0","35,679.0","39,165.0","39,086.0","41,053.0","39,378.0","39,569.0","39,847.0","38,581.0","39,792.0","39,199.0","39,805.0","40,922.0","40,635.0","42,704.0","43,181.0","44,157.0","44,654.0","45,689.0","45,308.0","46,409.0","47,092.0","47,611.0","49,160.0","48,934.0","48,673.0","48,829.0","49,567.0","50,513.0","52,218.0","53,459.0","55,586.0","57,138.0","62,466.0","62,718.0","62,662.0","63,282.0","64,008.0","64,248.0","66,033.0","66,671.0","68,823.0","70,338.0","71,911.0","72,061.0","72,106.0","74,239.0","75,410.0","77,386.0","77,915.0","77,575.0","79,989.0","80,836.0","81,467.0","82,793.0","84,292.0","84,202.0","84,563.0","86,569.0","90,225.0","93,209.0","95,436.0","97,821.0","97,326.0","97,795.0","98,295.0","94,734.0","94,826.0","96,627.0","97,273.0","99,131.0","101,563.0"
"34","15","      Nonmerchant wholesalers","A805RC1","8,369.0","8,474.0","8,597.0","8,743.0","8,795.0","8,919.0","8,956.0","9,111.0","9,239.0","9,266.0","9,230.0","9,206.0","9,282.0","9,373.0","9,570.0","9,684.0","10,085.0","10,575.0","10,747.0","11,327.0","12,183.0","12,987.0","13,938.0","14,888.0","15,458.0","15,355.0","15,681.0","15,818.0","15,984.0","16,516.0","17,187.0","17,329.0","17,933.0","18,201.0","18,145.0","18,383.0","18,393.0","18,374.0","18,767.0","19,625.0","20,207.0","21,757.0","23,428.0","25,014.0","27,710.0","29,243.0","28,484.0","28,426.0","31,771.0","31,914.0","31,879.0","29,482.0","29,828.0","28,363.0","29,056.0","29,001.0","27,939.0","27,921.0","29,157.0","29,288.0","29,795.0","30,802.0","31,468.0","31,474.0","31,375.0","31,461.0","30,561.0","30,816.0","29,139.0","28,954.0","28,764.0","29,346.0","29,496.0","29,190.0","29,353.0","30,071.0","30,386.0","30,813.0","30,937.0","32,059.0","32,857.0","33,811.0","34,151.0","33,920.0","34,783.0","34,800.0","36,337.0","36,649.0","35,257.0","34,258.0","34,758.0","34,963.0","34,449.0","34,858.0","35,665.0","34,932.0","35,121.0","34,821.0","34,636.0","34,753.0","35,348.0","35,669.0","36,565.0","37,627.0","38,759.0","40,033.0","40,385.0","41,109.0","42,075.0","41,996.0","42,516.0","42,716.0","42,299.0","42,181.0","42,344.0","43,178.0"
"35","16","        Durable goods","B806RC1","4,750.0","4,815.0","4,931.0","5,070.0","5,098.0","5,139.0","5,182.0","5,229.0","5,241.0","5,238.0","5,239.0","5,230.0","5,307.0","5,373.0","5,469.0","5,537.0","5,724.0","5,975.0","6,137.0","6,248.0","6,553.0","6,821.0","7,335.0","7,938.0","8,268.0","8,385.0","8,456.0","8,462.0","8,584.0","8,872.0","9,298.0","9,771.0","9,780.0","9,797.0","9,818.0","9,961.0","10,299.0","10,541.0","10,754.0","11,261.0","12,028.0","12,433.0","12,718.0","12,975.0","13,363.0","13,651.0","13,595.0","13,945.0","14,470.0","14,791.0","15,450.0","15,745.0","15,996.0","16,109.0","16,321.0","15,832.0","15,702.0","16,011.0","16,254.0","16,579.0","16,662.0","17,263.0","17,856.0","18,236.0","18,355.0","18,614.0","18,371.0","18,071.0","18,102.0","18,147.0","18,370.0","18,531.0","18,339.0","18,152.0","18,078.0","18,582.0","18,876.0","18,994.0","19,235.0","20,013.0","20,190.0","20,396.0","20,847.0","20,622.0","21,000.0","21,360.0","21,220.0","21,163.0","20,949.0","20,473.0","20,843.0","20,733.0","20,364.0","20,290.0","20,678.0","20,014.0","19,989.0","19,896.0","20,028.0","20,581.0","21,091.0","21,136.0","21,633.0","22,388.0","23,049.0","23,740.0","24,136.0","24,702.0","25,113.0","25,054.0","25,394.0","25,160.0","25,146.0","25,341.0","25,220.0","26,022.0"
"36","17","        Nondurable goods","B807RC1","3,619.0","3,659.0","3,666.0","3,673.0","3,697.0","3,780.0","3,774.0","3,882.0","3,998.0","4,028.0","3,991.0","3,976.0","3,975.0","4,000.0","4,101.0","4,147.0","4,361.0","4,600.0","4,610.0","5,079.0","5,630.0","6,166.0","6,603.0","6,950.0","7,190.0","6,970.0","7,225.0","7,356.0","7,400.0","7,644.0","7,889.0","7,558.0","8,153.0","8,404.0","8,327.0","8,422.0","8,094.0","7,833.0","8,013.0","8,364.0","8,179.0","9,324.0","10,710.0","12,039.0","14,347.0","15,592.0","14,889.0","14,481.0","17,301.0","17,123.0","16,429.0","13,737.0","13,832.0","12,254.0","12,735.0","13,169.0","12,237.0","11,910.0","12,903.0","12,709.0","13,133.0","13,539.0","13,612.0","13,238.0","13,020.0","12,847.0","12,190.0","12,745.0","11,037.0","10,807.0","10,394.0","10,815.0","11,157.0","11,038.0","11,275.0","11,489.0","11,510.0","11,819.0","11,702.0","12,046.0","12,667.0","13,415.0","13,304.0","13,298.0","13,783.0","13,440.0","15,117.0","15,486.0","14,308.0","13,785.0","13,915.0","14,230.0","14,085.0","14,568.0","14,987.0","14,918.0","15,132.0","14,925.0","14,608.0","14,172.0","14,257.0","14,533.0","14,932.0","15,239.0","15,710.0","16,293.0","16,249.0","16,407.0","16,962.0","16,942.0","17,122.0","17,556.0","17,153.0","16,840.0","17,124.0","17,156.0"
"37","18","  Retail trade","A382RC1","34,873.0","35,418.0","36,515.0","37,477.0","37,513.0","38,235.0","38,803.0","38,512.0","41,163.0","42,521.0","44,576.0","44,707.0","45,600.0","46,928.0","47,879.0","49,771.0","52,486.0","55,666.0","55,655.0","58,404.0","58,914.0","60,244.0","61,792.0","63,926.0","62,298.0","62,517.0","64,191.0","64,425.0","67,244.0","69,611.0","71,331.0","73,002.0","75,366.0","77,082.0","78,772.0","80,903.0","84,525.0","88,422.0","90,453.0","94,121.0","97,094.0","101,527.0","101,879.0","104,702.0","107,935.0","109,174.0","111,790.0","111,687.0","113,850.0","117,691.0","120,906.0","123,229.0","120,415.0","121,822.0","124,907.0","123,206.0","125,735.0","129,831.0","133,480.0","137,640.0","146,228.0","149,352.0","150,052.0","156,969.0","158,465.0","161,151.0","163,566.0","171,412.0","175,916.0","177,342.0","175,673.0","176,196.0","185,084.0","191,403.0","191,607.0","199,076.0","198,759.0","203,295.0","207,844.0","213,241.0","222,133.0","224,142.0","224,315.0","231,370.0","228,989.0","233,122.0","236,389.0","236,590.0","231,485.0","233,004.0","236,996.0","240,188.0","239,843.0","243,998.0","246,249.0","249,373.0","259,866.0","263,531.0","264,601.0","268,551.0","272,258.0","281,684.0","287,291.0","293,619.0","301,511.0","308,130.0","309,964.0","312,212.0","309,188.0","313,789.0","320,276.0","321,961.0","321,788.0","324,485.0","326,884.0","328,181.0"
"38","19","    Durable goods","B383RC1","16,545.0","16,435.0","17,167.0","17,762.0","17,491.0","17,859.0","18,229.0","17,444.0","19,281.0","20,354.0","21,963.0","21,501.0","21,866.0","22,416.0","22,796.0","23,869.0","24,816.0","26,490.0","26,981.0","27,891.0","28,629.0","29,362.0","30,022.0","32,471.0","31,312.0","31,830.0","33,226.0","33,155.0","34,428.0","35,617.0","37,426.0","38,631.0","39,965.0","40,992.0","42,549.0","44,042.0","46,029.0","47,896.0","48,895.0","51,628.0","53,799.0","56,839.0","55,966.0","57,032.0","57,577.0","56,683.0","57,003.0","57,677.0","57,829.0","60,719.0","61,809.0","62,929.0","60,575.0","61,161.0","64,066.0","62,003.0","63,618.0","65,681.0","67,604.0","70,125.0","74,604.0","75,743.0","75,192.0","80,288.0","81,666.0","83,419.0","83,971.0","90,026.0","94,110.0","95,047.0","91,556.0","91,796.0","98,690.0","102,598.0","101,666.0","107,186.0","105,013.0","108,223.0","111,086.0","115,996.0","121,815.0","120,398.0","119,163.0","124,293.0","120,619.0","123,653.0","125,675.0","125,509.0","120,071.0","120,963.0","123,638.0","123,506.0","123,078.0","125,557.0","125,987.0","127,532.0","134,471.0","137,479.0","137,966.0","141,237.0","144,844.0","149,764.0","153,908.0","158,786.0","164,214.0","168,384.0","169,327.0","171,302.0","167,804.0","171,887.0","176,285.0","176,053.0","175,377.0","176,302.0","177,293.0","178,432.0"
"39","20","      Motor vehicle dealers \4\","B864RC1","7,855.0","7,729.0","8,186.0","8,641.0","8,303.0","8,645.0","8,931.0","7,934.0","9,397.0","10,331.0","11,705.0","11,013.0","10,961.0","11,079.0","11,003.0","11,453.0","12,041.0","12,988.0","13,335.0","14,085.0","13,921.0","14,077.0","14,506.0","16,428.0","15,118.0","15,624.0","16,753.0","16,211.0","17,035.0","17,576.0","18,715.0","19,352.0","20,190.0","20,998.0","21,943.0","23,253.0","24,030.0","24,479.0","24,671.0","27,100.0","28,581.0","31,067.0","29,377.0","29,725.0","28,788.0","27,538.0","27,364.0","28,367.0","23,939.0","26,549.0","27,148.0","27,605.0","25,866.0","26,868.0","29,422.0","26,903.0","27,414.0","28,292.0","29,545.0","31,217.0","34,275.0","34,326.0","33,518.0","37,285.0","37,838.0","38,998.0","38,480.0","44,116.0","46,782.0","47,066.0","42,490.0","43,894.0","50,766.0","52,456.0","50,814.0","54,246.0","50,691.0","52,997.0","54,405.0","58,227.0","63,126.0","60,840.0","58,085.0","62,934.0","58,014.0","60,290.0","62,464.0","62,638.0","58,230.0","59,086.0","61,359.0","60,955.0","61,120.0","63,012.0","63,365.0","64,161.0","69,382.0","71,660.0","70,462.0","70,743.0","73,386.0","75,683.0","78,239.0","81,289.0","85,550.0","87,942.0","86,685.0","89,103.0","84,911.0","88,073.0","91,890.0","91,212.0","90,818.0","91,331.0","91,872.0","92,958.0"
"40","21","      Other \4\","A865RC1","8,690.0","8,706.0","8,981.0","9,121.0","9,188.0","9,214.0","9,298.0","9,510.0","9,884.0","10,023.0","10,258.0","10,488.0","10,905.0","11,337.0","11,793.0","12,416.0","12,775.0","13,502.0","13,646.0","13,806.0","14,708.0","15,285.0","15,516.0","16,043.0","16,194.0","16,206.0","16,473.0","16,944.0","17,393.0","18,041.0","18,711.0","19,279.0","19,775.0","19,994.0","20,606.0","20,789.0","21,999.0","23,417.0","24,224.0","24,528.0","25,218.0","25,772.0","26,589.0","27,307.0","28,789.0","29,145.0","29,639.0","29,310.0","33,890.0","34,170.0","34,661.0","35,324.0","34,709.0","34,293.0","34,644.0","35,100.0","36,204.0","37,389.0","38,059.0","38,908.0","40,329.0","41,417.0","41,674.0","43,003.0","43,828.0","44,421.0","45,491.0","45,910.0","47,328.0","47,981.0","49,066.0","47,902.0","47,924.0","50,142.0","50,852.0","52,940.0","54,322.0","55,226.0","56,681.0","57,769.0","58,689.0","59,558.0","61,078.0","61,359.0","62,605.0","63,363.0","63,211.0","62,871.0","61,841.0","61,877.0","62,279.0","62,551.0","61,958.0","62,545.0","62,622.0","63,371.0","65,089.0","65,819.0","67,504.0","70,494.0","71,458.0","74,081.0","75,669.0","77,497.0","78,664.0","80,442.0","82,642.0","82,199.0","82,893.0","83,814.0","84,395.0","84,841.0","84,559.0","84,971.0","85,421.0","85,474.0"
"41","22","    Nondurable goods","B384RC1","18,328.0","18,983.0","19,348.0","19,715.0","20,022.0","20,376.0","20,574.0","21,068.0","21,882.0","22,167.0","22,613.0","23,206.0","23,734.0","24,512.0","25,083.0","25,902.0","27,670.0","29,176.0","28,674.0","30,513.0","30,285.0","30,882.0","31,770.0","31,455.0","30,986.0","30,687.0","30,965.0","31,270.0","32,816.0","33,994.0","33,905.0","34,371.0","35,401.0","36,090.0","36,223.0","36,861.0","38,496.0","40,526.0","41,558.0","42,493.0","43,295.0","44,688.0","45,913.0","47,670.0","50,358.0","52,491.0","54,787.0","54,010.0","56,021.0","56,972.0","59,097.0","60,300.0","59,840.0","60,661.0","60,841.0","61,203.0","62,117.0","64,150.0","65,876.0","67,515.0","71,624.0","73,609.0","74,860.0","76,681.0","76,799.0","77,732.0","79,595.0","81,386.0","81,806.0","82,295.0","84,117.0","84,400.0","86,394.0","88,805.0","89,941.0","91,890.0","93,746.0","95,072.0","96,758.0","97,245.0","100,318.0","103,744.0","105,152.0","107,077.0","108,370.0","109,469.0","110,714.0","111,081.0","111,414.0","112,041.0","113,358.0","116,682.0","116,765.0","118,441.0","120,262.0","121,841.0","125,395.0","126,052.0","126,635.0","127,314.0","127,414.0","131,920.0","133,383.0","134,833.0","137,297.0","139,746.0","140,637.0","140,910.0","141,384.0","141,902.0","143,991.0","145,908.0","146,411.0","148,183.0","149,591.0","149,749.0"
"42","23","  Other","A385RC1","10,874.0","11,213.0","11,658.0","11,989.0","12,255.0","12,412.0","12,662.0","12,878.0","13,035.0","13,336.0","13,424.0","13,694.0","13,919.0","14,200.0","14,488.0","14,837.0","15,361.0","15,753.0","16,328.0","17,736.0","20,089.0","21,968.0","23,384.0","24,675.0","24,137.0","24,432.0","24,887.0","25,901.0","26,599.0","27,454.0","27,984.0","28,451.0","30,630.0","31,074.0","32,845.0","33,272.0","34,496.0","36,055.0","37,854.0","38,792.0","40,647.0","42,698.0","45,033.0","46,604.0","48,988.0","49,780.0","50,997.0","54,126.0","58,291.0","58,904.0","62,975.0","66,559.0","67,766.0","68,824.0","68,415.0","66,806.0","67,294.0","66,853.0","66,062.0","65,189.0","65,806.0","65,986.0","66,196.0","66,910.0","67,275.0","67,518.0","68,399.0","69,518.0","67,695.0","67,250.0","66,762.0","66,293.0","67,865.0","68,753.0","69,181.0","69,924.0","69,215.0","68,851.0","68,553.0","69,501.0","70,535.0","70,012.0","70,145.0","70,100.0","70,640.0","70,193.0","71,981.0","71,025.0","68,744.0","69,765.0","70,112.0","70,529.0","70,758.0","72,113.0","73,071.0","74,253.0","73,046.0","75,717.0","75,478.0","76,473.0","77,704.0","78,693.0","78,981.0","80,554.0","82,652.0","83,686.0","82,894.0","85,606.0","87,761.0","88,145.0","88,316.0","92,075.0","94,335.0","94,435.0","96,133.0","98,065.0"
"43","24","    Durable goods","B386RC1","1,069.0","1,022.0","1,140.0","1,126.0","1,120.0","1,078.0","1,043.0","1,106.0","1,142.0","1,119.0","1,037.0","969.0","1,078.0","1,116.0","1,099.0","1,139.0","1,398.0","1,357.0","1,534.0","1,688.0","1,830.0","1,800.0","1,980.0","1,988.0","1,836.0","1,780.0","1,919.0","2,002.0","2,165.0","2,157.0","2,053.0","2,145.0","2,171.0","2,461.0","2,564.0","2,435.0","2,753.0","3,097.0","3,299.0","3,246.0","3,507.0","3,662.0","3,747.0","3,475.0","3,480.0","2,965.0","3,038.0","3,524.0","3,789.0","3,824.0","3,895.0","3,818.0","4,096.0","4,277.0","4,270.0","4,507.0","4,685.0","4,639.0","4,750.0","4,133.0","4,774.0","4,840.0","4,628.0","4,316.0","4,335.0","4,137.0","3,877.0","3,985.0","3,824.0","3,660.0","3,401.0","3,356.0","3,342.0","3,452.0","3,586.0","3,734.0","3,685.0","3,500.0","3,327.0","3,633.0","3,736.0","3,800.0","3,867.0","4,134.0","4,461.0","4,460.0","4,370.0","4,107.0","3,529.0","3,422.0","3,824.0","3,804.0","4,421.0","4,511.0","4,199.0","4,361.0","4,055.0","4,207.0","4,333.0","4,885.0","5,326.0","5,367.0","5,570.0","5,635.0","5,873.0","5,694.0","5,712.0","5,742.0","6,245.0","5,893.0","6,147.0","6,216.0","6,448.0","6,748.0","7,035.0","7,167.0"
"44","25","    Nondurable goods","B387RC1","9,805.0","10,191.0","10,518.0","10,863.0","11,135.0","11,334.0","11,619.0","11,772.0","11,893.0","12,217.0","12,387.0","12,725.0","12,841.0","13,084.0","13,389.0","13,698.0","13,963.0","14,396.0","14,794.0","16,048.0","18,259.0","20,168.0","21,404.0","22,687.0","22,301.0","22,652.0","22,968.0","23,899.0","24,434.0","25,297.0","25,931.0","26,306.0","28,459.0","28,613.0","30,281.0","30,837.0","31,743.0","32,958.0","34,555.0","35,546.0","37,140.0","39,036.0","41,286.0","43,129.0","45,508.0","46,815.0","47,959.0","50,602.0","54,502.0","55,080.0","59,080.0","62,741.0","63,670.0","64,547.0","64,145.0","62,299.0","62,609.0","62,214.0","61,312.0","61,056.0","61,032.0","61,146.0","61,568.0","62,594.0","62,940.0","63,381.0","64,522.0","65,533.0","63,871.0","63,590.0","63,361.0","62,937.0","64,523.0","65,301.0","65,595.0","66,190.0","65,530.0","65,351.0","65,226.0","65,868.0","66,799.0","66,212.0","66,278.0","65,966.0","66,179.0","65,733.0","67,611.0","66,918.0","65,215.0","66,343.0","66,288.0","66,725.0","66,337.0","67,602.0","68,872.0","69,892.0","68,991.0","71,510.0","71,145.0","71,588.0","72,378.0","73,326.0","73,411.0","74,919.0","76,779.0","77,992.0","77,182.0","79,864.0","81,516.0","82,252.0","82,169.0","85,859.0","87,887.0","87,687.0","89,098.0","90,898.0"
"45","26","    Final sales of domestic business \5\","A809RC1","58,553.0","59,409.0","60,334.0","60,905.0","61,881.0","62,696.0","63,662.0","64,139.0","65,812.0","67,145.0","68,444.0","69,868.0","71,879.0","73,585.0","75,266.0","78,316.0","81,478.0","83,185.0","85,035.0","86,391.0","87,709.0","89,725.0","92,068.0","92,831.0","95,715.0","98,132.0","101,131.0","104,379.0","107,522.0","108,757.0","111,059.0","114,909.0","117,949.0","122,051.0","125,131.0","128,270.0","130,726.0","139,749.0","143,357.0","148,472.0","151,732.0","155,594.0","161,725.0","164,768.0","168,344.0","166,550.0","173,605.0","180,274.0","185,659.0","188,899.0","192,564.0","193,768.0","195,202.0","197,366.0","197,561.0","202,480.0","206,614.0","211,432.0","218,114.0","224,488.0","227,999.0","234,255.0","238,305.0","243,603.0","251,592.0","254,552.0","260,113.0","261,536.0","265,601.0","267,729.0","272,732.0","275,921.0","276,349.0","282,473.0","288,716.0","289,981.0","298,171.0","305,371.0","311,139.0","317,233.0","322,332.0","328,374.0","335,317.0","336,521.0","344,080.0","346,915.0","349,835.0","349,040.0","349,067.0","355,104.0","357,896.0","358,748.0","367,106.0","371,788.0","376,968.0","384,411.0","386,267.0","392,322.0","397,764.0","405,973.0","410,108.0","415,785.0","422,229.0","429,083.0","433,535.0","438,636.0","447,333.0","453,228.0","459,978.0","469,460.0","474,129.0","483,597.0","489,939.0","495,951.0","507,241.0","511,297.0"
