"","Table 1#3#6# Real Gross Value Added by Sector, Chained Dollars  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969"
"19","1","    Gross domestic product","A191RX1","1,055,640.0","965,815.0","904,053.0","787,518.0","777,602.0","861,442.0","938,181.0","1,059,555.0","1,113,568.0","1,076,707.0","1,162,596.0","1,264,999.0","1,488,930.0","1,770,295.0","2,072,020.0","2,237,532.0","2,215,925.0","1,959,037.0","1,937,567.0","2,018,005.0","2,006,981.0","2,181,876.0","2,357,716.0","2,453,736.0","2,568,912.0","2,554,388.0","2,736,390.0","2,794,747.0","2,853,529.0","2,832,622.0","3,028,077.0","3,105,761.0","3,185,102.0","3,379,878.0","3,527,066.0","3,730,496.0","3,972,893.0","4,234,948.0","4,351,188.0","4,564,724.0","4,707,931.0"
"20","2","Business \1\","A195RX1","694,359.0","624,779.0","578,640.0","491,491.0","481,400.0","538,118.0","592,128.0","672,995.0","717,427.0","682,716.0","746,204.0","818,341.0","963,809.0","1,113,806.0","1,231,076.0","1,298,111.0","1,276,121.0","1,268,373.0","1,300,927.0","1,368,159.0","1,352,875.0","1,484,534.0","1,579,141.0","1,629,847.0","1,711,888.0","1,691,330.0","1,828,612.0","1,861,221.0","1,893,366.0","1,861,170.0","2,008,051.0","2,046,578.0","2,089,799.0","2,225,073.0","2,326,554.0","2,472,981.0","2,650,294.0","2,830,861.0","2,889,188.0","3,035,224.0","3,128,150.0"
"21","3","  Nonfarm \2\","A358RX1","643,044.0","575,973.0","519,221.0","435,482.0","427,746.0","494,475.0","537,502.0","628,954.0","661,373.0","627,394.0","684,320.0","764,223.0","903,919.0","1,050,436.0","1,175,910.0","1,247,665.0","1,224,832.0","1,215,992.0","1,265,240.0","1,317,979.0","1,307,033.0","1,438,922.0","1,545,609.0","1,592,607.0","1,672,938.0","1,647,943.0","1,787,409.0","1,820,822.0","1,857,325.0","1,821,041.0","1,972,444.0","2,007,167.0","2,050,627.0","2,190,923.0","2,292,064.0","2,444,561.0","2,620,454.0","2,808,858.0","2,861,514.0","3,013,849.0","3,105,701.0"
"22","4","  Farm","B359RX1","16,993.0","15,971.0","19,444.0","18,895.0","17,981.0","14,071.0","17,534.0","15,056.0","18,393.0","18,037.0","20,106.0","17,601.0","19,683.0","21,314.0","20,769.0","20,546.0","20,493.0","20,587.0","18,448.0","21,256.0","20,401.0","21,525.0","20,333.0","21,434.0","22,487.0","23,305.0","23,826.0","23,855.0","22,932.0","23,743.0","23,620.0","24,937.0","25,163.0","24,681.0","25,463.0","24,651.0","26,243.0","25,321.0","27,333.0","26,373.0","27,308.0"
"23","5","Households and institutions","A193RX1","140,172.0","137,733.0","133,206.0","127,807.0","126,259.0","127,240.0","128,148.0","129,512.0","131,052.0","131,205.0","133,959.0","138,353.0","143,035.0","150,561.0","153,882.0","161,193.0","166,422.0","167,495.0","177,190.0","188,171.0","199,889.0","215,795.0","230,385.0","245,060.0","260,349.0","276,395.0","299,269.0","318,138.0","335,536.0","355,361.0","376,259.0","402,461.0","420,000.0","443,703.0","462,307.0","482,284.0","506,954.0","531,382.0","554,553.0","582,018.0","608,263.0"
"24","6","  Households","B701RX1","83,071.0","80,582.0","77,100.0","73,453.0","72,907.0","74,074.0","74,559.0","75,147.0","76,250.0","75,960.0","77,630.0","79,543.0","82,274.0","87,761.0","89,971.0","94,517.0","98,463.0","97,366.0","102,867.0","107,179.0","114,266.0","124,690.0","134,548.0","144,231.0","153,756.0","163,923.0","178,563.0","190,494.0","201,311.0","212,929.0","225,865.0","239,998.0","251,651.0","266,040.0","277,236.0","288,918.0","302,837.0","316,017.0","329,484.0","338,402.0","352,995.0"
"25","7","  Nonprofit institutions serving households \3\","B702RX1","54,687.0","56,975.0","57,636.0","56,826.0","55,195.0","54,111.0","54,603.0","55,687.0","55,838.0","56,826.0","57,834.0","61,297.0","63,274.0","63,758.0","64,505.0","66,932.0","67,051.0","71,360.0","75,774.0","84,662.0","89,092.0","93,488.0","96,959.0","100,931.0","106,180.0","111,342.0","118,422.0","124,574.0","130,623.0","138,859.0","146,260.0","159,345.0","164,159.0","173,095.0","180,284.0","188,566.0","199,591.0","211,399.0","221,084.0","242,835.0","254,736.0"
"26","8","General government \4\","A765RX1","177,896.0","186,551.0","189,951.0","187,508.0","198,019.0","223,091.0","238,271.0","277,885.0","265,819.0","286,526.0","292,158.0","308,698.0","393,778.0","615,199.0","1,023,624.0","1,230,567.0","1,240,187.0","672,068.0","526,467.0","507,372.0","509,230.0","518,931.0","631,761.0","687,388.0","699,708.0","700,168.0","703,012.0","717,431.0","735,890.0","746,387.0","759,230.0","788,188.0","819,944.0","855,813.0","883,923.0","916,794.0","949,480.0","1,010,816.0","1,067,693.0","1,111,416.0","1,141,889.0"
"27","9","  Federal","A766RX1","32,618.0","35,099.0","33,865.0","32,474.0","39,559.0","51,687.0","57,478.0","92,896.0","81,157.0","91,494.0","93,415.0","104,147.0","167,747.0","337,300.0","654,225.0","817,976.0","822,669.0","388,492.0","273,925.0","256,105.0","248,333.0","250,780.0","335,546.0","374,495.0","376,585.0","368,501.0","361,606.0","360,334.0","363,188.0","357,586.0","358,047.0","367,997.0","379,745.0","398,434.0","405,675.0","413,545.0","419,890.0","448,843.0","479,580.0","491,327.0","496,669.0"
"28","10","  State and local","A767RX1","159,699.0","166,178.0","171,920.0","171,166.0","172,472.0","182,954.0","191,862.0","181,697.0","187,187.0","194,896.0","198,521.0","200,973.0","202,661.0","199,945.0","195,065.0","190,571.0","194,518.0","204,743.0","217,691.0","223,278.0","238,108.0","246,328.0","252,765.0","261,094.0","272,481.0","284,563.0","297,748.0","316,427.0","333,819.0","354,322.0","368,895.0","388,454.0","408,550.0","423,489.0","445,590.0","472,355.0","501,138.0","530,933.0","553,304.0","586,512.0","613,347.0"
"29","11","Residual","A961RX1","65,500.0","34,900.0","25,000.0","-900.0","-8,300.0","-10,100.0","4,600.0","10,100.0","33,300.0","12,100.0","30,900.0","37,300.0","49,300.0","9,800.0","-128,500.0","-200,700.0","-212,200.0","-39,600.0","-16,300.0","7,400.0","-10,200.0","6,200.0","-28,000.0","-41,000.0","-35,600.0","-45,100.0","-31,100.0","-41,800.0","-55,600.0","-75,800.0","-67,000.0","-82,100.0","-94,900.0","-96,700.0","-99,300.0","-102,200.0","-97,200.0","-106,400.0","-121,100.0","-134,500.0","-142,800.0"
"30",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","12","  Gross housing value added","A2009X1","88,619.0","88,394.0","88,191.0","87,898.0","85,321.0","87,561.0","87,383.0","86,910.0","88,150.0","91,602.0","92,821.0","95,169.0","99,632.0","107,121.0","113,416.0","118,313.0","120,653.0","122,697.0","128,529.0","135,141.0","144,144.0","154,124.0","165,656.0","178,454.0","189,282.0","201,512.0","213,093.0","224,630.0","238,759.0","252,552.0","271,090.0","288,609.0","305,499.0","324,952.0","341,320.0","357,405.0","376,968.0","394,970.0","414,480.0","429,680.0","450,410.0"
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","3. Equals compensation of employees of nonprofit institutions, the rental value of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","nonresidential fixed assets owned and used by nonprofit institutions serving households,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","and rental income of persons for tenant-occupied housing owned by nonprofit institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","4. Equals compensation of general government employees plus general government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Note. Chained (2009) dollar series are calculated as the product of the chain-type quantity index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","and the 2009 current-dollar value of the corresponding series, divided by 100. Because the formula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","for the chain-type quantity indexes uses weights of more than one period, the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","chained-dollar estimates are usually not additive. The residual line is the difference between the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
