"","Table 1#3#5# Gross Value Added by Sector                        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183"
"28","9","  Federal","A766RC1","74,412.0","75,264.0","78,740.0","79,184.0","81,456.0","82,100.0","82,704.0","83,336.0","86,372.0","87,136.0","87,480.0","88,676.0","91,632.0","91,344.0","91,648.0","94,328.0","94,664.0","94,964.0","95,460.0","97,988.0","99,220.0","100,432.0","101,848.0","105,668.0","107,232.0","108,492.0","109,592.0","112,804.0","114,048.0","114,928.0","116,164.0","119,676.0","120,988.0","122,268.0","123,396.0","127,884.0","130,216.0","132,108.0","133,996.0","137,856.0","139,156.0","140,576.0","142,308.0","148,116.0","150,764.0","154,252.0","157,148.0","167,128.0","170,024.0","172,592.0","176,112.0","185,272.0","187,664.0","190,648.0","194,120.0","199,572.0","201,576.0","203,128.0","206,452.0","208,540.0","216,096.0","219,476.0","222,936.0","225,908.0","232,664.0","234,368.0","236,896.0","241,396.0","243,200.0","245,824.0","248,648.0","251,620.0","253,316.0","256,136.0","260,184.0","264,216.0","270,980.0","274,384.0","278,104.0","280,224.0","286,644.0","288,820.0","291,640.0","293,116.0","299,228.0","303,332.0","305,080.0","309,732.0","320,860.0","320,828.0","321,700.0","321,920.0","326,572.0","328,320.0","328,272.0","327,668.0","329,456.0","329,340.0","330,608.0","329,612.0","331,324.0","331,916.0","329,684.0","329,516.0","333,800.0","331,996.0","330,872.0","328,708.0","332,248.0","331,180.0","330,036.0","328,580.0","332,764.0","332,688.0","332,432.0","331,368.0","334,320.0","334,384.0","335,056.0","336,320.0","342,568.0","342,684.0","343,640.0","345,812.0","355,412.0","359,688.0","359,880.0","359,972.0","365,116.0","367,212.0","370,488.0","373,856.0","391,020.0","393,420.0","395,620.0","404,540.0","426,136.0","432,164.0","434,664.0","435,112.0","452,792.0","455,608.0","459,404.0","462,364.0","482,876.0","485,080.0","489,548.0","492,324.0","505,832.0","508,084.0","510,796.0","513,800.0","529,620.0","533,852.0","538,944.0","542,740.0","558,700.0","566,832.0","574,988.0","580,704.0","595,272.0","602,132.0","606,008.0","611,104.0","631,260.0","645,788.0","646,800.0","650,540.0","657,392.0","662,520.0","665,692.0","666,360.0","666,860.0","666,624.0","666,192.0","665,988.0","668,512.0","668,144.0","662,456.0","668,872.0"
"29","10","  State and local","A767RC1","69,134.0","71,238.0","73,472.0","75,682.0","78,333.0","80,874.0","83,263.0","85,493.0","88,659.0","91,132.0","93,582.0","95,503.0","98,573.0","101,103.0","103,797.0","106,063.0","108,769.0","111,435.0","113,877.0","116,367.0","119,677.0","123,224.0","127,067.0","130,955.0","135,356.0","139,708.0","142,876.0","144,940.0","147,275.0","149,582.0","151,788.0","154,366.0","157,824.0","161,262.0","165,499.0","169,507.0","173,258.0","176,306.0","180,725.0","184,898.0","190,400.0","192,930.0","198,722.0","203,703.0","208,893.0","214,505.0","220,128.0","225,603.0","231,318.0","235,612.0","239,778.0","244,604.0","250,122.0","254,916.0","258,825.0","263,722.0","268,351.0","272,603.0","275,926.0","278,846.0","284,464.0","289,840.0","296,360.0","302,511.0","309,307.0","315,273.0","323,270.0","328,676.0","333,899.0","340,284.0","347,047.0","356,415.0","362,295.0","368,608.0","372,991.0","380,977.0","389,321.0","396,548.0","403,330.0","413,831.0","423,426.0","433,217.0","444,076.0","454,632.0","465,898.0","475,642.0","485,891.0","493,867.0","501,551.0","509,279.0","517,016.0","526,762.0","538,740.0","549,459.0","558,534.0","565,144.0","571,045.0","576,714.0","583,336.0","589,011.0","597,343.0","606,144.0","614,326.0","621,601.0","629,058.0","635,536.0","640,978.0","647,318.0","653,095.0","659,833.0","666,495.0","674,116.0","682,036.0","689,978.0","698,597.0","708,132.0","716,693.0","726,673.0","737,620.0","748,183.0","759,811.0","772,739.0","786,821.0","800,823.0","813,051.0","825,216.0","837,651.0","851,314.0","867,513.0","883,961.0","900,352.0","913,314.0","921,806.0","932,243.0","943,824.0","953,320.0","965,262.0","976,285.0","986,402.0","998,862.0","1,015,379.0","1,032,075.0","1,045,242.0","1,058,908.0","1,069,500.0","1,080,312.0","1,093,039.0","1,104,417.0","1,117,579.0","1,133,064.0","1,151,307.0","1,169,362.0","1,189,902.0","1,201,333.0","1,216,028.0","1,233,512.0","1,252,445.0","1,264,856.0","1,280,955.0","1,294,402.0","1,294,222.0","1,302,740.0","1,306,833.0","1,312,165.0","1,321,029.0","1,333,703.0","1,336,685.0","1,337,872.0","1,335,012.0","1,340,911.0","1,342,381.0","1,339,296.0","1,353,437.0","1,355,076.0","1,357,980.0","1,362,800.0","1,362,202.0","1,364,824.0","1,370,845.0","1,378,707.0"
"30",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","11","  Gross housing value added","A2009C1","71,155.0","72,766.0","74,445.0","75,991.0","77,145.0","78,409.0","80,021.0","82,032.0","83,966.0","86,039.0","88,210.0","90,275.0","92,221.0","93,770.0","95,488.0","97,308.0","99,343.0","101,223.0","103,240.0","105,472.0","107,876.0","109,995.0","112,570.0","115,703.0","118,800.0","121,217.0","123,748.0","126,565.0","128,773.0","130,923.0","133,500.0","136,366.0","139,876.0","143,939.0","147,771.0","151,701.0","157,282.0","160,854.0","163,593.0","168,493.0","172,568.0","176,438.0","182,314.0","189,731.0","195,511.0","202,216.0","209,960.0","218,064.0","223,765.0","229,828.0","236,249.0","245,438.0","251,976.0","255,485.0","263,570.0","270,094.0","275,452.0","280,893.0","286,501.0","292,249.0","296,299.0","300,408.0","309,434.0","321,217.0","324,273.0","331,171.0","342,168.0","351,264.0","358,435.0","367,549.0","372,495.0","377,462.0","386,920.0","392,051.0","402,124.0","409,873.0","419,376.0","425,146.0","432,767.0","442,531.0","447,037.0","454,141.0","461,170.0","468,806.0","476,898.0","487,205.0","498,540.0","504,233.0","510,639.0","515,726.0","523,070.0","532,220.0","539,108.0","548,214.0","556,256.0","564,007.0","574,756.0","580,847.0","587,489.0","596,214.0","608,513.0","619,248.0","631,644.0","642,031.0","653,613.0","664,458.0","672,700.0","683,091.0","689,868.0","696,885.0","704,806.0","712,592.0","722,072.0","731,814.0","743,195.0","754,396.0","762,346.0","774,090.0","786,242.0","798,922.0","812,088.0","826,569.0","838,862.0","851,674.0","866,948.0","879,766.0","894,958.0","912,517.0","928,567.0","945,946.0","962,332.0","974,035.0","984,706.0","994,211.0","998,295.0","1,005,973.0","1,017,371.0","1,022,203.0","1,028,415.0","1,048,898.0","1,060,831.0","1,078,774.0","1,095,870.0","1,113,348.0","1,137,221.0","1,155,446.0","1,172,048.0","1,187,756.0","1,207,383.0","1,226,770.0","1,244,023.0","1,257,658.0","1,267,363.0","1,276,151.0","1,289,088.0","1,311,051.0","1,332,192.0","1,354,229.0","1,372,911.0","1,390,139.0","1,399,669.0","1,405,173.0","1,413,890.0","1,417,320.0","1,421,047.0","1,422,359.0","1,423,599.0","1,431,647.0","1,448,484.0","1,463,846.0","1,474,440.0","1,487,584.0","1,497,639.0","1,507,217.0","1,516,862.0","1,524,508.0","1,538,457.0","1,549,010.0","1,564,480.0","1,581,273.0"
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","3. Equals compensation of employees of nonprofit institutions, the rental value of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","nonresidential fixed assets owned and used by nonprofit institutions serving households,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","and rental income of persons for tenant-occupied housing owned by nonprofit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","4. Equals compensation of general government employees plus general government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
