"","Table 5#9#6B# Real Gross Government Fixed Investment by Type, Ch","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"91","72","      Equipment","Y074RX1","2,380.0","1,844.0","1,111.0","1,531.0","2,095.0","2,083.0","2,796.0","2,580.0","2,297.0","1,618.0","1,856.0","1,995.0","1,935.0","1,800.0"
"92","73","      Intellectual property products","Y075RX1","1,951.0","2,199.0","2,175.0","2,030.0","2,048.0","2,160.0","2,258.0","2,359.0","2,504.0","2,654.0","2,623.0","2,793.0","2,889.0","2,965.0"
"93","74","    State and local","A886RX1","72,791.0","76,442.0","82,924.0","90,536.0","96,975.0","92,293.0","86,394.0","88,795.0","91,547.0","92,556.0","96,911.0","96,922.0","85,892.0","82,562.0"
"94","75","      Structures","B887RX1","65,743.0","69,935.0","75,909.0","81,182.0","85,529.0","80,907.0","75,992.0","78,356.0","81,110.0","80,473.0","83,509.0","84,052.0","73,460.0","70,063.0"
"95","76","      Equipment","Y077RX1","7,099.0","6,877.0","7,453.0","9,365.0","11,092.0","10,882.0","9,936.0","9,986.0","9,987.0","11,609.0","12,931.0","12,398.0","11,964.0","12,036.0"
"96","77","      Intellectual property products","Y078RX1","350.0","374.0","385.0","376.0","375.0","403.0","419.0","436.0","450.0","470.0","470.0","470.0","491.0","517.0"
"97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","1. Consists of general government and government enterprise expenditures for fixed assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","2. Structures, software, and research and development include compensation of government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","employees engaged in new own-account investment and related expenditures for goods and services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","3. Consists of Department of Defense new structures, except family housing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","4. Consists of lodging, religious, communication, sewage and waste disposal, water supply",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","structures, and manufacturing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","5. Consists of lodging, communication, and manufacturing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","Note. Chained (2009) dollar series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","index and the 2009 current-dollar value of the corresponding series, divided by 100. Because",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","the formula for the chain-type quantity indexes uses weights of more than one period, the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","corresponding chained-dollar estimates are usually not additive. The residual line is the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","difference between the first line and the sum of the most detailed lines, excluding the lines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","in the addenda.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
