"","Table 1#5#6# Real Gross Domestic Product, Expanded Detail, Chain","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63"
"42","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRX1","148,074.0","149,323.0","150,508.0","152,488.0","157,693.0","158,515.0","164,661.0","169,704.0","170,717.0","174,463.0","177,611.0","181,491.0","184,956.0","190,398.0","198,151.0","203,161.0","203,454.0","206,507.0","207,471.0","207,840.0","211,235.0","210,489.0","209,865.0","209,692.0","202,655.0","207,893.0","209,119.0","220,116.0","228,893.0","236,928.0","241,110.0","239,499.0","240,483.0","237,440.0","241,137.0","252,577.0","259,544.0","269,493.0","277,776.0","287,578.0","278,930.0","272,876.0","273,229.0","279,032.0","279,239.0","281,713.0","277,411.0","274,772.0","273,458.0","275,058.0","286,560.0","280,519.0","282,994.0","293,354.0","295,840.0","302,316.0","287,569.0","284,762.0","288,034.0","289,392.0"
"43","24","      Gross output of nonprofit institutions \2\","DNPERX1","769,722.0","773,811.0","779,606.0","787,812.0","794,532.0","802,124.0","811,035.0","821,326.0","830,445.0","839,256.0","850,709.0","863,001.0","878,016.0","892,713.0","904,394.0","909,035.0","910,288.0","912,809.0","915,929.0","918,660.0","925,592.0","932,328.0","943,171.0","952,419.0","947,525.0","956,196.0","966,965.0","975,954.0","986,711.0","996,051.0","1,004,068.0","1,009,483.0","1,016,761.0","1,017,190.0","1,022,755.0","1,032,084.0","1,043,394.0","1,050,419.0","1,059,353.0","1,067,657.0","1,068,984.0","1,071,230.0","1,074,769.0","1,075,272.0","1,072,550.0","1,084,003.0","1,090,565.0","1,096,962.0","1,094,803.0","1,098,656.0","1,098,439.0","1,107,967.0","1,122,727.0","1,126,215.0","1,138,067.0","1,141,373.0","1,132,738.0","1,142,186.0","1,148,078.0","1,154,333.0"
"44","25","      Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRX1","632,620.0","635,346.0","640,009.0","646,218.0","646,452.0","653,584.0","654,839.0","659,105.0","667,630.0","672,010.0","680,101.0","688,097.0","699,619.0","708,125.0","710,334.0","708,775.0","709,818.0","708,709.0","710,872.0","713,351.0","716,588.0","724,516.0","736,549.0","746,344.0","749,354.0","752,293.0","762,058.0","758,797.0","760,000.0","760,621.0","764,240.0","771,585.0","777,965.0","781,732.0","783,359.0","780,478.0","784,481.0","780,983.0","781,272.0","779,441.0","789,855.0","798,344.0","801,594.0","796,395.0","793,481.0","802,431.0","813,042.0","821,899.0","821,009.0","823,279.0","812,154.0","827,197.0","839,389.0","833,223.0","842,538.0","839,864.0","844,802.0","856,596.0","859,348.0","864,225.0"
"45","26","Gross private domestic investment","A006RX1","2,186,065.0","2,188,002.0","2,242,786.0","2,308,637.0","2,287,827.0","2,424,549.0","2,394,141.0","2,395,566.0","2,285,261.0","2,277,059.0","2,236,591.0","2,126,879.0","2,202,776.0","2,224,915.0","2,224,612.0","2,220,654.0","2,239,474.0","2,251,283.0","2,330,890.0","2,413,141.0","2,414,528.0","2,500,867.0","2,539,376.0","2,590,616.0","2,664,359.0","2,630,506.0","2,657,863.0","2,737,639.0","2,773,826.0","2,755,714.0","2,727,600.0","2,663,030.0","2,638,528.0","2,674,700.0","2,658,118.0","2,605,210.0","2,517,473.0","2,472,623.0","2,403,773.0","2,190,041.0","1,937,678.0","1,820,549.0","1,804,679.0","1,949,553.0","2,012,899.0","2,116,907.0","2,185,703.0","2,166,144.0","2,124,313.0","2,196,112.0","2,209,855.0","2,368,155.0","2,427,822.0","2,417,986.0","2,456,482.0","2,441,771.0","2,470,110.0","2,524,938.0","2,627,157.0","2,656,187.0"
"46","27","  Fixed investment","A007RX1","2,101,595.0","2,151,180.0","2,200,356.0","2,210,480.0","2,272,047.0","2,322,913.0","2,332,421.0","2,337,497.0","2,325,442.0","2,294,672.0","2,276,114.0","2,223,834.0","2,210,734.0","2,205,168.0","2,197,807.0","2,190,886.0","2,206,758.0","2,254,398.0","2,325,897.0","2,370,882.0","2,362,496.0","2,422,796.0","2,471,981.0","2,518,165.0","2,558,759.0","2,599,207.0","2,640,370.0","2,645,467.0","2,700,691.0","2,676,837.0","2,649,578.0","2,622,813.0","2,618,196.0","2,624,924.0","2,608,988.0","2,586,278.0","2,539,068.0","2,503,371.0","2,424,133.0","2,263,786.0","2,089,264.0","2,010,953.0","2,008,428.0","1,994,093.0","1,997,920.0","2,062,785.0","2,060,796.0","2,103,121.0","2,100,746.0","2,144,447.0","2,219,766.0","2,273,395.0","2,320,806.0","2,347,858.0","2,363,463.0","2,429,083.0","2,420,018.0","2,458,406.0","2,494,004.0","2,517,536.0"
"47","28","    Nonresidential","A008RX1","1,458,952.0","1,497,288.0","1,539,287.0","1,544,871.0","1,599,914.0","1,650,511.0","1,667,915.0","1,672,321.0","1,658,830.0","1,621,165.0","1,599,967.0","1,553,614.0","1,522,057.0","1,501,855.0","1,492,990.0","1,475,082.0","1,478,588.0","1,514,321.0","1,544,672.0","1,566,776.0","1,549,373.0","1,583,822.0","1,626,857.0","1,661,406.0","1,681,939.0","1,706,109.0","1,737,382.0","1,744,349.0","1,808,675.0","1,831,263.0","1,853,116.0","1,865,160.0","1,897,167.0","1,934,428.0","1,964,431.0","1,997,566.0","1,998,101.0","1,986,585.0","1,932,967.0","1,820,128.0","1,688,277.0","1,633,987.0","1,613,076.0","1,598,428.0","1,615,049.0","1,659,272.0","1,692,776.0","1,728,089.0","1,724,134.0","1,765,347.0","1,835,004.0","1,877,337.0","1,903,796.0","1,924,964.0","1,926,448.0","1,971,850.0","1,948,993.0","1,971,317.0","1,994,665.0","2,030,115.0"
"48","29","      Structures","B009RX1","497,579.0","492,420.0","492,169.0","497,302.0","507,792.0","529,035.0","547,578.0","549,515.0","534,043.0","536,900.0","541,175.0","489,449.0","463,448.0","438,027.0","417,282.0","411,434.0","408,499.0","419,304.0","417,519.0","418,040.0","409,263.0","411,580.0","417,897.0","417,742.0","423,057.0","420,898.0","418,629.0","422,337.0","437,796.0","450,909.0","458,887.0","458,361.0","474,837.0","500,564.0","523,996.0","536,785.0","539,006.0","547,732.0","543,687.0","530,319.0","490,467.0","453,258.0","422,590.0","386,529.0","359,687.0","369,844.0","364,356.0","371,219.0","339,754.0","365,347.0","388,933.0","402,193.0","409,047.0","415,960.0","421,994.0","439,447.0","407,933.0","424,813.0","438,396.0","438,569.0"
"49","30","      Equipment","Y033RX1","635,448.0","658,042.0","680,323.0","675,917.0","706,447.0","732,546.0","735,070.0","733,678.0","728,067.0","697,840.0","679,725.0","676,998.0","665,500.0","657,936.0","659,441.0","649,218.0","649,522.0","671,273.0","690,958.0","704,330.0","692,838.0","719,857.0","744,629.0","767,404.0","774,156.0","790,997.0","817,865.0","823,400.0","866,526.0","869,558.0","871,863.0","875,225.0","886,118.0","896,238.0","900,939.0","910,048.0","899,371.0","876,633.0","831,612.0","736,752.0","653,898.0","631,603.0","639,852.0","651,880.0","697,659.0","735,152.0","766,159.0","787,840.0","810,551.0","819,226.0","857,996.0","879,105.0","896,906.0","908,467.0","899,469.0","918,839.0","922,487.0","929,905.0","930,388.0","954,027.0"
"50","31","        Information processing equipment","Y034RX1","138,812.0","149,323.0","155,328.0","154,368.0","167,901.0","179,047.0","184,170.0","190,340.0","189,151.0","178,888.0","172,147.0","172,618.0","169,589.0","168,893.0","171,952.0","169,120.0","175,373.0","178,892.0","189,133.0","199,690.0","198,717.0","204,185.0","206,112.0","209,184.0","214,293.0","217,995.0","226,219.0","230,304.0","246,295.0","247,633.0","255,061.0","254,744.0","270,554.0","272,689.0","279,510.0","296,713.0","294,558.0","294,142.0","281,198.0","254,128.0","245,603.0","246,356.0","261,420.0","270,948.0","275,961.0","277,804.0","282,512.0","289,487.0","283,573.0","288,958.0","288,584.0","290,386.0","300,013.0","291,951.0","288,645.0","302,082.0","300,039.0","306,779.0","308,282.0","307,883.0"
"51","32","          Computers and peripheral equipment \4\","ZZZZZZ1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"52","33","          Other","A937RX1","120,369.0","126,441.0","131,299.0","131,017.0","144,900.0","151,162.0","155,003.0","161,638.0","156,911.0","149,039.0","145,766.0","142,237.0","134,931.0","135,458.0","135,868.0","133,698.0","138,733.0","142,369.0","150,306.0","157,802.0","158,088.0","162,304.0","161,513.0","161,091.0","168,628.0","170,480.0","176,223.0","175,228.0","187,796.0","185,914.0","188,420.0","187,886.0","199,995.0","203,786.0","207,700.0","219,971.0","213,786.0","212,390.0","205,187.0","185,417.0","175,777.0","173,100.0","183,859.0","184,481.0","188,521.0","191,502.0","199,456.0","207,671.0","205,151.0","205,123.0","203,754.0","203,167.0","207,988.0","204,126.0","208,674.0","210,291.0","211,839.0","221,605.0","222,657.0","216,766.0"
"53","34","        Industrial equipment","A680RX1","179,522.0","182,109.0","184,510.0","184,892.0","193,710.0","198,817.0","202,378.0","199,267.0","199,714.0","185,538.0","177,729.0","172,629.0","174,119.0","169,661.0","171,711.0","170,707.0","170,126.0","176,977.0","172,845.0","168,999.0","162,536.0","166,541.0","171,882.0","175,432.0","179,397.0","177,420.0","185,028.0","192,607.0","190,819.0","202,610.0","201,176.0","201,663.0","197,719.0","210,571.0","211,738.0","201,230.0","200,963.0","199,351.0","195,552.0","185,950.0","160,972.0","152,499.0","148,483.0","146,315.0","143,011.0","151,129.0","152,828.0","158,281.0","166,694.0","166,761.0","178,982.0","187,707.0","180,519.0","184,911.0","185,047.0","187,841.0","187,974.0","187,513.0","194,390.0","192,167.0"
"54","35","        Transportation equipment","A681RX1","199,288.0","205,915.0","217,922.0","210,403.0","208,821.0","210,969.0","203,481.0","193,249.0","185,960.0","186,291.0","180,914.0","186,549.0","178,366.0","169,046.0","163,965.0","157,587.0","144,681.0","155,937.0","159,005.0","159,621.0","156,091.0","170,172.0","183,218.0","196,390.0","189,688.0","196,680.0","206,917.0","198,375.0","219,622.0","209,939.0","208,950.0","211,828.0","212,800.0","201,813.0","199,192.0","200,533.0","198,450.0","175,759.0","147,680.0","105,532.0","68,610.0","67,200.0","69,951.0","76,504.0","109,686.0","130,924.0","151,971.0","155,121.0","166,029.0","167,683.0","185,488.0","204,630.0","216,972.0","229,114.0","218,752.0","219,357.0","215,064.0","218,487.0","220,107.0","233,613.0"
"55","36","        Other equipment","A862RX1","161,418.0","159,035.0","160,839.0","164,268.0","168,932.0","172,865.0","170,080.0","169,966.0","172,440.0","167,677.0","170,683.0","165,837.0","163,751.0","169,540.0","169,229.0","169,058.0","173,071.0","174,916.0","183,178.0","186,141.0","184,585.0","189,080.0","195,859.0","200,229.0","203,658.0","212,214.0","213,027.0","214,861.0","221,944.0","221,519.0","217,170.0","217,728.0","213,179.0","219,451.0","217,914.0","217,401.0","211,078.0","211,782.0","210,622.0","192,668.0","178,760.0","165,526.0","159,937.0","158,150.0","170,733.0","177,835.0","182,242.0","188,262.0","197,893.0","199,632.0","208,906.0","200,697.0","204,758.0","207,681.0","211,621.0","214,545.0","223,992.0","222,213.0","212,674.0","225,408.0"
"56","37","      Intellectual property products","Y001RX1","371,292.0","385,301.0","400,348.0","407,589.0","419,384.0","425,316.0","427,524.0","431,987.0","435,120.0","430,154.0","426,601.0","420,073.0","419,774.0","425,847.0","430,087.0","427,943.0","433,038.0","436,594.0","446,172.0","452,894.0","454,685.0","457,838.0","468,593.0","478,436.0","487,036.0","494,990.0","499,944.0","498,018.0","503,753.0","511,021.0","522,943.0","532,129.0","537,047.0","538,894.0","541,093.0","552,388.0","561,231.0","563,316.0","558,166.0","552,500.0","543,590.0","549,405.0","550,888.0","559,808.0","557,604.0","554,736.0","562,983.0","569,956.0","575,167.0","582,028.0","589,620.0","597,636.0","599,571.0","602,303.0","606,414.0","614,925.0","620,606.0","618,326.0","627,034.0","639,212.0"
"57","38","        Software \5\","B985RX1","141,347.0","151,576.0","159,982.0","165,083.0","170,809.0","175,507.0","175,873.0","181,233.0","182,617.0","178,474.0","176,370.0","171,019.0","172,581.0","177,148.0","181,151.0","176,636.0","180,653.0","182,497.0","192,729.0","199,929.0","202,430.0","203,667.0","209,840.0","215,719.0","216,557.0","221,821.0","223,083.0","223,289.0","225,697.0","228,120.0","231,676.0","235,864.0","241,536.0","242,218.0","244,708.0","248,267.0","256,046.0","256,965.0","257,656.0","254,236.0","252,820.0","255,184.0","257,722.0","261,379.0","256,027.0","250,925.0","253,306.0","256,688.0","261,782.0","266,710.0","272,209.0","278,603.0","279,696.0","283,996.0","286,623.0","293,125.0","298,599.0","294,105.0","300,175.0","312,376.0"
"58","39","        Research and development \6\","Y006RX1","178,473.0","181,953.0","187,080.0","188,041.0","192,613.0","192,161.0","194,195.0","193,187.0","196,270.0","196,716.0","195,255.0","194,094.0","190,171.0","190,830.0","189,374.0","191,493.0","190,489.0","190,049.0","188,349.0","187,479.0","187,426.0","189,461.0","192,760.0","194,476.0","200,649.0","202,061.0","204,903.0","201,556.0","205,205.0","210,556.0","219,577.0","224,654.0","224,714.0","226,230.0","225,856.0","234,704.0","236,604.0","238,626.0","234,191.0","232,656.0","226,193.0","229,121.0","228,418.0","232,341.0","232,678.0","231,485.0","235,614.0","237,837.0","239,036.0","241,245.0","242,939.0","244,104.0","245,317.0","244,062.0","245,704.0","247,583.0","247,384.0","248,758.0","251,868.0","252,367.0"
"59","40","        Entertainment, literary, and artistic originals","Y020RX1","55,416.0","55,043.0","56,241.0","57,043.0","58,452.0","59,711.0","59,662.0","59,174.0","57,959.0","57,107.0","57,184.0","57,558.0","59,133.0","59,635.0","60,853.0","61,633.0","63,262.0","65,201.0","65,464.0","65,447.0","64,728.0","64,688.0","65,883.0","67,961.0","69,717.0","70,877.0","71,775.0","72,889.0","72,628.0","72,216.0","71,737.0","71,703.0","70,805.0","70,467.0","70,521.0","69,445.0","68,591.0","67,728.0","66,319.0","65,609.0","64,573.0","65,102.0","64,747.0","66,089.0","68,881.0","72,311.0","74,016.0","75,399.0","74,354.0","74,109.0","74,602.0","75,213.0","74,815.0","74,743.0","74,602.0","74,948.0","75,680.0","76,212.0","75,817.0","75,955.0"
"60","41","    Residential","A011RX1","622,958.0","632,660.0","637,415.0","642,067.0","645,257.0","641,947.0","631,964.0","632,615.0","635,333.0","645,175.0","649,193.0","645,028.0","666,173.0","682,712.0","684,731.0","697,060.0","709,797.0","720,996.0","762,348.0","785,001.0","794,183.0","819,482.0","825,261.0","836,661.0","856,407.0","872,294.0","881,881.0","879,861.0","871,657.0","827,827.0","781,646.0","745,152.0","711,154.0","682,691.0","639,186.0","586,106.0","540,012.0","516,336.0","490,895.0","443,568.0","400,967.0","376,951.0","395,385.0","395,667.0","382,964.0","403,504.0","368,102.0","375,121.0","376,725.0","379,237.0","384,890.0","396,170.0","417,184.0","423,048.0","437,256.0","457,492.0","471,173.0","487,087.0","499,197.0","487,942.0"
"61","42","  Change in private inventories","A014RX1","97,514.0","45,272.0","51,503.0","107,510.0","23,616.0","108,714.0","68,704.0","63,867.0","-37,892.0","-12,804.0","-36,894.0","-97,393.0","-3,846.0","26,477.0","32,422.0","35,100.0","36,334.0","-198.0","7,576.0","46,557.0","56,399.0","81,882.0","71,081.0","76,228.0","111,300.0","33,028.0","18,198.0","94,779.0","78,616.0","84,439.0","81,949.0","41,423.0","19,613.0","49,431.0","50,181.0","22,956.0","-20,214.0","-26,403.0","-20,714.0","-67,354.0","-144,475.0","-190,116.0","-206,110.0","-49,574.0","9,843.0","48,758.0","116,226.0","58,074.0","22,027.0","42,894.0","-11,048.0","80,595.0","89,233.0","56,825.0","77,163.0","7,307.0","42,201.0","56,571.0","115,728.0","117,353.0"
"62","43","    Farm","B018RX1","-1,936.0","1,087.0","-12,034.0","-3,911.0","-20,512.0","6,931.0","-2,334.0","7,862.0","6,668.0","-3,301.0","1,748.0","-4,592.0","2,701.0","-10,881.0","-3,725.0","-1,973.0","3,267.0","-970.0","174.0","-1,926.0","5,741.0","15,705.0","8,371.0","6,006.0","-5,031.0","802.0","3,330.0","1,926.0","1,700.0","-7,305.0","-6,267.0","-4,744.0","3,188.0","-3,809.0","-2,038.0","-1,083.0","-4,896.0","2,168.0","4,579.0","2,680.0","-677.0","-1,030.0","-4,161.0","-541.0","-2,989.0","-5,782.0","-9,906.0","-9,466.0","-5,461.0","-6,069.0","-3,889.0","-2,501.0","-785.0","-4,897.0","-13,617.0","-9,567.0","16,019.0","19,450.0","22,770.0","20,133.0"
"63","44","    Nonfarm","A015RX1","97,465.0","43,629.0","60,569.0","109,052.0","41,014.0","101,429.0","69,728.0","56,344.0","-43,460.0","-9,660.0","-38,035.0","-92,194.0","-6,054.0","35,797.0","35,459.0","36,752.0","33,034.0","674.0","7,365.0","48,632.0","50,748.0","65,941.0","62,794.0","70,302.0","115,839.0","32,128.0","14,929.0","92,554.0","76,925.0","90,756.0","87,661.0","46,175.0","16,396.0","53,233.0","52,302.0","24,124.0","-15,004.0","-28,808.0","-25,693.0","-70,361.0","-144,154.0","-189,265.0","-201,616.0","-48,832.0","12,907.0","54,642.0","126,789.0","69,103.0","28,722.0","51,073.0","-6,631.0","85,470.0","92,497.0","64,700.0","97,272.0","20,302.0","22,201.0","32,658.0","89,228.0","94,735.0"
"64","45","Net exports of goods and services","A019RX1","-342,703.0","-377,092.0","-402,844.0","-406,604.0","-454,076.0","-467,482.0","-497,239.0","-511,956.0","-497,102.0","-488,117.0","-509,208.0","-522,323.0","-545,715.0","-569,967.0","-589,244.0","-634,533.0","-622,691.0","-650,684.0","-639,062.0","-653,877.0","-676,007.0","-732,559.0","-749,345.0","-769,589.0","-773,413.0","-765,643.0","-770,423.0","-799,027.0","-792,328.0","-790,471.0","-813,379.0","-748,609.0","-765,317.0","-746,545.0","-691,164.0","-611,189.0","-611,164.0","-539,883.0","-512,414.0","-524,015.0","-447,054.0","-360,098.0","-380,406.0","-381,249.0","-413,556.0","-474,320.0","-504,850.0","-457,480.0","-456,542.0","-438,336.0","-433,929.0","-454,691.0","-439,231.0","-435,301.0","-436,475.0","-412,064.0","-422,290.0","-424,423.0","-419,763.0","-382,757.0"
"65","46","  Exports","B020RX1","1,142,676.0","1,154,888.0","1,183,301.0","1,215,508.0","1,234,840.0","1,268,406.0","1,298,298.0","1,287,988.0","1,271,355.0","1,229,806.0","1,166,474.0","1,134,260.0","1,152,257.0","1,184,352.0","1,193,295.0","1,182,511.0","1,170,778.0","1,166,614.0","1,198,138.0","1,253,340.0","1,283,697.0","1,301,475.0","1,310,492.0","1,341,459.0","1,356,966.0","1,385,986.0","1,386,809.0","1,423,825.0","1,478,366.0","1,505,405.0","1,502,175.0","1,563,720.0","1,586,509.0","1,614,389.0","1,671,240.0","1,717,083.0","1,738,693.0","1,788,432.0","1,772,812.0","1,667,446.0","1,534,806.0","1,537,527.0","1,588,654.0","1,674,219.0","1,700,374.0","1,739,256.0","1,784,935.0","1,837,693.0","1,854,714.0","1,876,866.0","1,908,872.0","1,921,715.0","1,941,358.0","1,959,759.0","1,961,561.0","1,967,011.0","1,960,452.0","1,998,449.0","2,017,586.0","2,063,489.0"
"66","47","    Goods","A253RX1","793,700.0","804,706.0","825,550.0","852,161.0","868,960.0","895,315.0","928,265.0","915,578.0","901,983.0","865,945.0","818,163.0","799,922.0","798,258.0","826,193.0","831,498.0","812,388.0","814,827.0","814,908.0","831,962.0","867,914.0","884,478.0","897,616.0","905,950.0","922,980.0","940,932.0","970,315.0","968,961.0","996,470.0","1,040,376.0","1,055,323.0","1,056,852.0","1,089,511.0","1,104,393.0","1,121,705.0","1,154,751.0","1,180,693.0","1,210,491.0","1,247,781.0","1,240,290.0","1,143,220.0","1,027,608.0","1,020,391.0","1,070,289.0","1,140,459.0","1,170,596.0","1,203,302.0","1,228,358.0","1,266,380.0","1,279,959.0","1,291,634.0","1,309,764.0","1,334,346.0","1,340,229.0","1,357,263.0","1,362,804.0","1,352,552.0","1,342,843.0","1,373,395.0","1,392,224.0","1,431,290.0"
"67","48","    Services","A646RX1","348,746.0","349,637.0","357,057.0","362,178.0","364,359.0","371,269.0","367,059.0","369,954.0","367,115.0","362,267.0","347,077.0","332,781.0","353,544.0","357,264.0","360,965.0","370,194.0","355,224.0","350,762.0","365,564.0","384,960.0","399,069.0","403,649.0","404,164.0","418,365.0","415,489.0","414,708.0","416,938.0","426,357.0","436,782.0","448,981.0","444,090.0","473,342.0","481,265.0","491,878.0","515,855.0","535,903.0","527,134.0","539,490.0","531,297.0","524,038.0","507,136.0","517,164.0","518,415.0","533,743.0","529,583.0","535,622.0","556,287.0","570,958.0","574,337.0","585,039.0","599,169.0","586,593.0","600,716.0","601,911.0","598,016.0","614,223.0","617,546.0","624,870.0","625,067.0","631,788.0"
"68","49","  Imports","B021RX1","1,485,379.0","1,531,980.0","1,586,145.0","1,622,112.0","1,688,916.0","1,735,888.0","1,795,537.0","1,799,944.0","1,768,457.0","1,717,924.0","1,675,682.0","1,656,583.0","1,697,972.0","1,754,319.0","1,782,539.0","1,817,044.0","1,793,468.0","1,817,299.0","1,837,200.0","1,907,217.0","1,959,704.0","2,034,034.0","2,059,837.0","2,111,048.0","2,130,379.0","2,151,629.0","2,157,232.0","2,222,851.0","2,270,694.0","2,295,875.0","2,315,554.0","2,312,329.0","2,351,826.0","2,360,935.0","2,362,404.0","2,328,272.0","2,349,857.0","2,328,315.0","2,285,226.0","2,191,462.0","1,981,859.0","1,897,625.0","1,969,060.0","2,055,468.0","2,113,930.0","2,213,575.0","2,289,785.0","2,295,173.0","2,311,257.0","2,315,202.0","2,342,801.0","2,376,406.0","2,380,589.0","2,395,059.0","2,398,036.0","2,379,076.0","2,382,742.0","2,422,872.0","2,437,348.0","2,446,246.0"
"69","50","    Goods","A255RX1","1,221,736.0","1,264,088.0","1,313,297.0","1,345,086.0","1,398,367.0","1,438,314.0","1,487,766.0","1,493,092.0","1,466,008.0","1,409,347.0","1,382,600.0","1,371,210.0","1,397,091.0","1,456,319.0","1,482,441.0","1,503,549.0","1,486,324.0","1,525,363.0","1,529,069.0","1,584,335.0","1,628,524.0","1,695,044.0","1,719,696.0","1,762,183.0","1,784,436.0","1,802,537.0","1,806,643.0","1,864,999.0","1,897,115.0","1,921,047.0","1,942,018.0","1,928,635.0","1,961,745.0","1,967,093.0","1,965,025.0","1,935,979.0","1,946,868.0","1,929,593.0","1,880,637.0","1,783,259.0","1,591,438.0","1,511,746.0","1,580,989.0","1,665,081.0","1,722,917.0","1,818,360.0","1,881,415.0","1,889,208.0","1,909,765.0","1,906,543.0","1,923,073.0","1,954,360.0","1,958,648.0","1,970,719.0","1,972,740.0","1,955,101.0","1,953,956.0","1,989,561.0","2,001,392.0","2,008,860.0"
"70","51","    Services","B656RX1","261,691.0","265,474.0","269,919.0","273,819.0","287,446.0","294,223.0","304,272.0","303,056.0","298,812.0","306,915.0","290,565.0","282,471.0","298,424.0","294,602.0","296,504.0","310,345.0","303,983.0","287,977.0","304,359.0","319,073.0","327,310.0","334,894.0","335,923.0","344,549.0","341,325.0","344,390.0","345,875.0","352,725.0","368,925.0","369,919.0","368,290.0","379,145.0","385,513.0","389,376.0","393,032.0","387,948.0","399,125.0","394,669.0","402,404.0","408,037.0","390,483.0","385,817.0","388,161.0","390,298.0","390,708.0","394,399.0","407,523.0","404,908.0","399,781.0","407,373.0","418,981.0","420,881.0","420,750.0","423,180.0","424,213.0","423,108.0","428,324.0","432,596.0","435,241.0","436,656.0"
"71","52","Government consumption expenditures and gross investment","A822RX1","2,418,145.0","2,431,652.0","2,460,252.0","2,496,734.0","2,476,222.0","2,506,392.0","2,501,218.0","2,508,965.0","2,546,270.0","2,596,404.0","2,594,584.0","2,632,367.0","2,671,272.0","2,696,875.0","2,717,759.0","2,737,143.0","2,728,291.0","2,771,221.0","2,771,238.0","2,786,323.0","2,793,935.0","2,809,923.0","2,820,664.0","2,808,229.0","2,814,091.0","2,818,942.0","2,840,970.0","2,830,703.0","2,853,496.0","2,864,122.0","2,870,426.0","2,889,085.0","2,882,744.0","2,907,034.0","2,928,048.0","2,939,810.0","2,951,988.0","2,974,981.0","3,016,161.0","3,035,882.0","3,040,542.0","3,096,001.0","3,112,999.0","3,106,822.0","3,084,280.0","3,106,209.0","3,103,533.0","3,071,524.0","3,012,042.0","3,002,425.0","2,983,236.0","2,971,654.0","2,961,293.0","2,963,452.0","2,988,760.0","2,938,804.0","2,907,367.0","2,904,477.0","2,907,373.0","2,866,166.0"
"72","53","  Federal","A823RX1","801,193.0","805,218.0","819,401.0","835,584.0","804,604.0","832,821.0","818,908.0","814,556.0","832,288.0","848,671.0","855,856.0","862,556.0","883,959.0","904,735.0","919,012.0","935,669.0","935,924.0","982,796.0","977,097.0","996,024.0","1,002,952.0","1,012,990.0","1,030,687.0","1,021,834.0","1,027,610.0","1,029,834.0","1,048,615.0","1,033,177.0","1,058,893.0","1,057,705.0","1,057,992.0","1,068,966.0","1,054,526.0","1,071,183.0","1,091,579.0","1,097,497.0","1,115,180.0","1,135,676.0","1,169,055.0","1,189,341.0","1,180,123.0","1,218,865.0","1,235,558.0","1,236,194.0","1,247,792.0","1,273,420.0","1,285,035.0","1,276,361.0","1,241,565.0","1,246,993.0","1,236,366.0","1,226,671.0","1,219,087.0","1,218,473.0","1,244,615.0","1,198,872.0","1,172,812.0","1,168,166.0","1,163,872.0","1,124,698.0"
"73","54","    National defense","A824RX1","503,580.0","508,852.0","522,568.0","532,780.0","500,943.0","522,790.0","512,597.0","512,668.0","519,598.0","528,369.0","534,156.0","537,845.0","549,861.0","562,836.0","572,383.0","584,128.0","583,678.0","625,318.0","617,257.0","635,479.0","640,853.0","648,000.0","668,379.0","653,383.0","659,101.0","664,630.0","679,066.0","659,280.0","672,588.0","677,967.0","674,248.0","690,474.0","676,611.0","690,992.0","706,889.0","707,974.0","719,719.0","733,619.0","764,491.0","774,458.0","757,499.0","788,445.0","804,888.0","802,272.0","798,588.0","810,997.0","825,896.0","818,621.0","787,800.0","800,822.0","805,598.0","784,178.0","770,688.0","768,775.0","791,794.0","744,964.0","723,093.0","721,999.0","721,179.0","693,611.0"
"74","55","      Consumption expenditures","A997RX1","420,220.0","420,714.0","431,565.0","444,955.0","412,164.0","435,069.0","422,807.0","422,965.0","430,236.0","434,368.0","437,482.0","439,299.0","449,894.0","455,597.0","459,584.0","470,757.0","468,028.0","505,251.0","494,677.0","510,582.0","513,930.0","517,528.0","531,163.0","517,139.0","523,416.0","524,622.0","536,252.0","518,566.0","529,422.0","528,319.0","527,564.0","538,571.0","526,041.0","533,487.0","548,752.0","549,607.0","559,085.0","562,120.0","588,627.0","596,975.0","587,449.0","612,113.0","626,592.0","626,998.0","625,346.0","633,674.0","647,086.0","637,927.0","620,717.0","631,676.0","638,745.0","617,421.0","613,241.0","608,448.0","631,654.0","588,096.0","573,436.0","568,803.0","566,316.0","545,320.0"
