"","Table 1#8#6# Command-Basis Real Gross Domestic Product and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"32","12","  Net domestic product","A362RX1","1,762,675.0","1,758,585.0","1,755,345.0","1,786,803.0","1,817,099.0","1,850,697.0","1,862,235.0","1,863,987.0","1,834,183.0","1,826,395.0","1,848,079.0","1,828,608.0","1,910,204.0","1,974,038.0","2,058,116.0","2,100,489.0","2,130,313.0","2,169,013.0","2,216,223.0","2,218,441.0","2,241,441.0","2,243,043.0","2,257,443.0","2,336,763.0","2,381,280.0","2,397,939.0","2,378,794.0","2,334,189.0","2,317,845.0","2,316,935.0","2,343,110.0","2,391,486.0","2,465,263.0","2,506,947.0","2,541,508.0","2,555,326.0","2,540,257.0","2,560,216.0","2,554,035.0","2,598,004.0","2,613,212.0","2,602,698.0","2,627,359.0","2,592,024.0","2,510,344.0","2,525,115.0","2,588,443.0","2,654,709.0","2,708,535.0","2,781,065.0","2,772,155.0","2,781,575.0","2,849,442.0","2,833,964.0","2,838,572.0","2,795,595.0","2,813,379.0","2,869,281.0","2,919,992.0","2,983,412.0","3,040,104.0","3,073,038.0","3,101,544.0","3,110,192.0","3,144,480.0","3,186,101.0","3,251,744.0","3,272,770.0","3,348,214.0","3,388,061.0","3,434,549.0","3,442,496.0","3,532,764.0","3,580,918.0","3,656,581.0","3,747,264.0","3,844,463.0","3,854,754.0","3,878,270.0","3,908,343.0","3,941,550.0","3,937,811.0","3,968,962.0","3,997,916.0","4,083,105.0","4,154,015.0","4,180,422.0","4,194,121.0","4,260,387.0","4,268,704.0"
"33","13","  Command-basis net national product \4\","C027RX1","1,810,659.0","1,814,488.0","1,816,494.0","1,857,160.0","1,879,683.0","1,906,720.0","1,918,896.0","1,927,544.0","1,892,001.0","1,874,421.0","1,900,490.0","1,878,770.0","1,962,667.0","2,025,265.0","2,113,078.0","2,159,957.0","2,192,792.0","2,235,499.0","2,278,686.0","2,278,968.0","2,298,107.0","2,294,414.0","2,319,675.0","2,400,060.0","2,444,748.0","2,462,618.0","2,442,768.0","2,393,892.0","2,373,711.0","2,369,478.0","2,401,318.0","2,456,418.0","2,536,575.0","2,575,153.0","2,611,500.0","2,636,018.0","2,623,658.0","2,633,930.0","2,633,075.0","2,669,484.0","2,696,496.0","2,688,063.0","2,708,078.0","2,652,709.0","2,578,653.0","2,590,749.0","2,665,926.0","2,744,279.0","2,791,117.0","2,860,733.0","2,852,142.0","2,863,250.0","2,939,782.0","2,920,629.0","2,923,287.0","2,875,425.0","2,898,809.0","2,958,197.0","3,012,080.0","3,081,763.0","3,142,231.0","3,172,343.0","3,201,176.0","3,212,069.0","3,242,634.0","3,286,470.0","3,353,582.0","3,381,040.0","3,457,275.0","3,493,413.0","3,539,753.0","3,548,441.0","3,650,749.0","3,700,570.0","3,771,781.0","3,860,062.0","3,964,649.0","3,970,758.0","4,001,030.0","4,036,844.0","4,074,410.0","4,065,608.0","4,102,754.0","4,132,837.0","4,222,077.0","4,295,555.0","4,321,190.0","4,335,694.0","4,407,848.0","4,412,260.0"
"34","14","  Net national product","A027RX1","1,775,411.0","1,771,828.0","1,768,527.0","1,800,643.0","1,832,058.0","1,866,365.0","1,877,994.0","1,879,740.0","1,849,315.0","1,841,153.0","1,862,504.0","1,841,914.0","1,924,343.0","1,988,959.0","2,075,384.0","2,117,779.0","2,147,057.0","2,188,171.0","2,236,127.0","2,239,277.0","2,261,337.0","2,263,032.0","2,277,164.0","2,356,324.0","2,400,657.0","2,418,286.0","2,397,356.0","2,352,718.0","2,337,481.0","2,336,485.0","2,362,909.0","2,413,367.0","2,487,659.0","2,529,115.0","2,563,929.0","2,578,176.0","2,565,117.0","2,584,905.0","2,579,187.0","2,620,727.0","2,639,196.0","2,630,274.0","2,654,000.0","2,614,086.0","2,532,704.0","2,547,794.0","2,610,614.0","2,676,792.0","2,730,589.0","2,803,239.0","2,795,647.0","2,806,256.0","2,873,477.0","2,858,421.0","2,863,888.0","2,822,007.0","2,841,091.0","2,895,904.0","2,947,187.0","3,011,221.0","3,067,851.0","3,103,060.0","3,131,855.0","3,144,267.0","3,177,248.0","3,217,919.0","3,284,167.0","3,306,096.0","3,384,155.0","3,422,888.0","3,470,338.0","3,476,176.0","3,570,404.0","3,619,675.0","3,693,177.0","3,781,266.0","3,879,580.0","3,889,937.0","3,912,835.0","3,944,228.0","3,977,124.0","3,972,551.0","4,006,697.0","4,034,791.0","4,120,895.0","4,192,555.0","4,219,961.0","4,233,436.0","4,299,942.0","4,307,053.0"
"35",NA,"  Trade indexes (seasonally adjusted):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","15","    Trading gains index \5\","W368RG3","102.318","102.602","102.747","102.708","102.596","102.496","102.418","102.391","102.389","102.333","102.274","102.203","102.062","101.991","101.902","101.788","101.695","101.637","101.666","101.726","101.769","101.821","101.885","101.951","102.004","102.039","102.046","102.028","101.962","101.928","101.894","101.890","101.952","101.968","101.981","101.996","102.016","102.027","102.049","102.062","102.104","102.135","102.169","102.201","102.254","102.281","102.283","102.279","102.246","102.230","102.246","102.250","102.271","102.263","102.262","102.253","102.272","102.341","102.335","102.371","102.425","102.367","102.377","102.360","102.326","102.300","102.262","102.238","102.209","102.183","102.226","102.266","102.343","102.340","102.311","102.241","102.300","102.289","102.357","102.413","102.502","102.504","102.493","102.515","102.518","102.584","102.509","102.508","102.562","102.548"
"37","16","    Terms of trade index \6\","W369RG3","147.541","148.038","147.671","146.322","143.887","142.633","142.353","142.429","143.135","141.949","140.311","138.271","133.525","131.005","128.085","124.651","121.916","119.910","119.928","121.403","123.406","125.051","127.032","128.970","130.623","131.685","131.860","131.285","129.189","128.138","127.075","126.951","128.931","129.407","129.821","130.320","130.962","131.304","131.989","132.265","133.502","134.419","135.622","136.839","138.833","139.727","139.827","139.680","138.653","138.153","138.631","138.730","139.332","139.154","139.112","139.045","139.550","141.551","141.446","142.556","144.446","142.850","143.262","142.711","141.620","140.804","139.652","139.032","138.141","137.407","138.698","139.773","141.778","141.906","141.066","139.088","140.725","140.413","142.436","144.030","146.553","146.733","146.539","147.261","147.353","149.257","147.151","147.157","148.773","148.380"
"38","17","      Terms of trade, goods \7\","W370RG3",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","165.962","165.839","165.139","165.725","165.378","168.283","165.340","165.013","166.873","165.751"
"39","18","      Terms of trade, nonpetroleum goods \8\","W371RG3",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","115.736","115.836","115.621","115.896","115.325","117.413","115.240","115.204","116.310","115.494"
"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","1. Uses gross domestic purchases price index as deflator.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2. This measure is called ""real gross domestic income"" in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","System of National Accounts, 2008.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","3. This measure is called ""real gross national income"" in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","System of National Accounts, 2008.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","4. Uses net domestic purchases price index as deflator.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","5. Ratio (multiplied by 100) of price index for gross domestic product",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","to the price index for gross domestic purchases.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","6. Ratio (multiplied by 100) of the price index for exports of goods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","and services to the price index for imports of goods and services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","7. Ratio (multiplied by 100) of the price index for goods exports",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","to the price index for goods imports.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","8. Ratio (multiplied by 100) of the price index for goods exports",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","to the price index for nonpetroleum goods imports.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
