"","Table 3#17# Selected Government Current and Capital Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"65","44","Economic affairs","G170421","6.0","5.0","8.0","14.0","32.0","71.0","176.0","251.0","346.0","375.0","393.0"
"66","45","Housing and community services","G170431",".....",".....",".....",".....","10.0","30.0","10.0","0.0","0.0","0.0","0.0"
"67","46","Health","G170441","846.0","851.0","1,121.0","940.0","1,082.0","960.0","983.0","2,099.0","5,958.0","7,157.0","8,154.0"
"68","47","Recreation and culture","G170451",".....",".....",".....",".....",".....",".....",".....","1.0","3.0","6.0","9.0"
"69","48","Education","G170461","517.0","358.0","252.0","189.0","161.0","146.0","178.0","368.0","789.0","1,037.0","1,312.0"
"70","49","Income security","G170471","17,209.0","18,783.0","21,862.0","22,553.0","23,569.0","24,194.0","26,211.0","27,513.0","29,836.0","33,739.0","36,369.0"
"71","50","      State and local","B109RC1","4,339.0","4,561.0","4,982.0","5,340.0","5,697.0","6,154.0","6,651.0","7,621.0","9,232.0","11,446.0","13,217.0"
"72","51","General public service","G170491","63.0","83.0","121.0","45.0","18.0","24.0","24.0","24.0","35.0","48.0","75.0"
"73","52","Public order and safety","G170501",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"74","53","Economic affairs","G170511","5.0","6.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0"
"75","54","Health","G170521","479.0","541.0","701.0","942.0","1,082.0","1,267.0","1,488.0","2,002.0","2,792.0","4,077.0","4,640.0"
"76","55","Education","G170531","84.0","99.0","114.0","138.0","168.0","199.0","240.0","322.0","429.0","532.0","629.0"
"77","56","Income security","G170541","3,708.0","3,832.0","4,034.0","4,203.0","4,417.0","4,652.0","4,887.0","5,261.0","5,964.0","6,777.0","7,861.0"
"78",NA,"Grants-in-aid to state and local governments:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","57","      Federal \2\","B089RC1","3,630.0","3,820.0","4,282.0","4,736.0","5,245.0","5,953.0","6,560.0","9,366.0","10,934.0","11,838.0","13,660.0"
"80","58","General public service","G170561","31.0","36.0","40.0","40.0","38.0","66.0","53.0","58.0","83.0","113.0","121.0"
"81","59","National defense","G170571","60.0","68.0","59.0","56.0","44.0","11.0","0.0","0.0","0.0","180.0","237.0"
"82","60","Public order and safety","G170581","3.0","3.0","3.0","3.0","4.0","4.0","4.0","5.0","10.0","17.0","48.0"
"83","61","Economic affairs","G170591","269.0","247.0","251.0","293.0","259.0","272.0","372.0","449.0","596.0","1,315.0","1,544.0"
"84","62","  Transportation","G170641",".....",".....",".....",".....","1.0","0.0","0.0","0.0","0.0","0.0","0.0"
"85","63","  Space","G170651","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"86","64","  Other economic affairs","W695RC1","269.0","247.0","251.0","293.0","258.0","272.0","372.0","449.0","596.0","1,315.0","1,544.0"
"87","65","    General economic and labor affairs","G170601","4.0","0.0","0.0","0.0","0.0","0.0","0.0","32.0","134.0","723.0","812.0"
"88","66","    Agriculture","G170611","123.0","96.0","103.0","128.0","122.0","142.0","154.0","173.0","170.0","246.0","345.0"
"89","67","    Energy","G170621","39.0","36.0","44.0","47.0","11.0","85.0","74.0","92.0","108.0","156.0","168.0"
"90","68","    Natural resources","G170631","103.0","115.0","104.0","118.0","125.0","45.0","144.0","152.0","184.0","190.0","219.0"
"91","69","Housing and community services","G170661","79.0","135.0","154.0","202.0","321.0","591.0","439.0","405.0","505.0","625.0","728.0"
"92","70","Health","G170671","225.0","303.0","366.0","423.0","511.0","617.0","697.0","1,842.0","2,541.0","1,543.0","1,955.0"
"93","71","Recreation and culture","G170681",".....",".....",".....",".....",".....",".....","2.0","2.0","28.0","39.0","52.0"
"94","72","Education","G170691","377.0","404.0","434.0","473.0","538.0","623.0","804.0","2,566.0","2,713.0","2,758.0","2,884.0"
"95","73","Income security","G170701","2,586.0","2,624.0","2,975.0","3,246.0","3,530.0","3,769.0","4,189.0","4,039.0","4,458.0","5,248.0","6,091.0"
"96","74","  Disability","G170711",".....",".....",".....",".....",".....",".....",".....",".....","42.0","45.0","48.0"
"97","75","  Welfare and social services","G170731","2,071.0","2,084.0","2,348.0","2,585.0","2,830.0","3,066.0","3,360.0","2,899.0","3,324.0","4,417.0","5,246.0"
"98","76","  Unemployment","G170741","325.0","311.0","380.0","380.0","386.0","374.0","419.0","493.0","522.0","563.0","570.0"
"99","77","  Other","G170751","190.0","229.0","247.0","281.0","314.0","329.0","410.0","647.0","570.0","223.0","227.0"
"100",NA,"Subsidies:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","78","      Government","A107RC1","1,058.0","1,146.0","2,014.0","2,273.0","2,234.0","2,729.0","3,007.0","3,949.0","3,811.0","4,174.0","4,534.0"
"102","79","Economic affairs","G170791","932.0","1,000.0","1,855.0","2,097.0","2,039.0","2,519.0","2,773.0","3,695.0","3,533.0","3,847.0","4,114.0"
"103","80","  Transportation","G170841","195.0","218.0","257.0","295.0","286.0","294.0","293.0","263.0","285.0","283.0","263.0"
"104","81","  Other economic affairs","W696RC1","737.0","782.0","1,598.0","1,802.0","1,753.0","2,225.0","2,480.0","3,432.0","3,248.0","3,564.0","3,851.0"
"105","82","    General economic and labor affairs","G170801",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"106","83","    Agriculture","G170811","737.0","782.0","1,598.0","1,802.0","1,753.0","2,225.0","2,480.0","3,432.0","3,248.0","3,564.0","3,851.0"
"107","84","    Energy","G170821",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"108","85","    Natural resources","G170831","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"109","86","Housing and community services","G170871","126.0","146.0","159.0","176.0","195.0","210.0","234.0","254.0","278.0","327.0","420.0"
"110","87","      Federal","B096RC1","1,058.0","1,146.0","2,014.0","2,273.0","2,222.0","2,719.0","2,989.0","3,925.0","3,785.0","4,147.0","4,509.0"
"111","88","Economic affairs","G170911","932.0","1,000.0","1,855.0","2,097.0","2,027.0","2,509.0","2,755.0","3,671.0","3,507.0","3,820.0","4,089.0"
"112","89","  Transportation","G170961","195.0","218.0","257.0","295.0","274.0","284.0","275.0","239.0","259.0","256.0","238.0"
"113","90","  Other economic affairs","W697RC1","737.0","782.0","1,598.0","1,802.0","1,753.0","2,225.0","2,480.0","3,432.0","3,248.0","3,564.0","3,851.0"
"114","91","    General economic and labor affairs","G170921",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"115","92","    Agriculture","G170931","737.0","782.0","1,598.0","1,802.0","1,753.0","2,225.0","2,480.0","3,432.0","3,248.0","3,564.0","3,851.0"
"116","93","    Natural resources","G170951",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"117","94","Housing and community services","G170981","126.0","146.0","159.0","176.0","195.0","210.0","234.0","254.0","278.0","327.0","420.0"
"118","95","      State and local","B114RC1","0.0","0.0","0.0","0.0","12.0","10.0","18.0","24.0","26.0","27.0","25.0"
"119","96","Economic affairs","G171001","0.0","0.0","0.0","0.0","12.0","10.0","18.0","24.0","26.0","27.0","25.0"
"120","97","  Transportation","G171021","0.0","0.0","0.0","0.0","12.0","10.0","18.0","24.0","26.0","27.0","25.0"
"121","98","  Energy","G171011",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"122","99","Housing and community services","G171041","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"123",NA,"        Gross investment"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","100","      Government","A782RC1","35,856.0","35,999.0","39,899.0","42,599.0","44,439.0","46,389.0","47,863.0","53,567.0","57,661.0","59,234.0","59,541.0"
"125","101","General public service","G171061","627.0","719.0","656.0","762.0","880.0","907.0","1,109.0","1,139.0","1,401.0","1,676.0","2,216.0"
"126","102","National defense","A788RC1","18,929.0","18,272.0","20,364.0","21,145.0","19,486.0","18,335.0","16,667.0","18,713.0","21,301.0","19,919.0","19,450.0"
"127","103","Public order and safety","G171081","303.0","295.0","311.0","314.0","348.0","397.0","427.0","481.0","457.0","544.0","676.0"
"128","104","Economic affairs","G171091","9,276.0","9,717.0","10,851.0","12,017.0","14,901.0","16,786.0","18,813.0","20,655.0","20,514.0","21,790.0","21,723.0"
"129","105","Housing and community services","G171101","2,145.0","2,177.0","2,444.0","2,823.0","2,582.0","3,073.0","3,250.0","3,326.0","3,486.0","4,175.0","4,034.0"
"130","106","Health","G171111","803.0","853.0","863.0","979.0","1,108.0","1,261.0","1,243.0","1,438.0","1,801.0","2,308.0","2,626.0"
"131","107","Recreation and culture","G171121","260.0","254.0","260.0","302.0","352.0","340.0","338.0","371.0","444.0","518.0","634.0"
"132","108","Education","G171131","3,363.0","3,585.0","3,887.0","3,931.0","4,506.0","5,089.0","5,704.0","7,072.0","7,876.0","8,081.0","7,934.0"
"133","109","Income security","G171141","150.0","128.0","263.0","326.0","277.0","201.0","312.0","371.0","381.0","223.0","247.0"
"134","110","      Federal","A787RC1","21,770.0","21,892.0","24,647.0","26,502.0","26,670.0","27,115.0","26,698.0","30,088.0","31,939.0","31,106.0","30,723.0"
"135","111","General public service","G171161","196.0","230.0","197.0","252.0","186.0","191.0","247.0","298.0","284.0","332.0","472.0"
"136","112","National defense","A788RC1","18,929.0","18,272.0","20,364.0","21,145.0","19,486.0","18,335.0","16,667.0","18,713.0","21,301.0","19,919.0","19,450.0"
"137","113","Public order and safety","G171181","38.0","46.0","53.0","58.0","70.0","77.0","83.0","88.0","92.0","112.0","148.0"
"138","114","Economic affairs","G171191","2,005.0","2,663.0","3,133.0","3,957.0","5,693.0","7,286.0","8,451.0","9,363.0","8,443.0","8,755.0","8,544.0"
"139","115","Housing and community services","G171201","6.0","22.0","58.0","80.0","107.0","74.0","50.0","79.0","116.0","26.0","22.0"
"140","116","Health","G171211","332.0","406.0","444.0","521.0","641.0","752.0","681.0","831.0","977.0","1,371.0","1,547.0"
"141","117","Recreation and culture","G171221","39.0","62.0","64.0","75.0","90.0","69.0","78.0","79.0","71.0","97.0","113.0"
"142","118","Education","G171231","96.0","93.0","104.0","125.0","147.0","162.0","164.0","312.0","330.0","331.0","253.0"
"143","119","Income security","G171241","129.0","98.0","230.0","289.0","250.0","169.0","277.0","325.0","325.0","163.0","174.0"
"144","120","      State and local","A799RC1","14,086.0","14,107.0","15,252.0","16,097.0","17,769.0","19,274.0","21,165.0","23,479.0","25,722.0","28,128.0","28,818.0"
"145","121","General public service","G171261","431.0","489.0","459.0","510.0","694.0","716.0","862.0","841.0","1,117.0","1,344.0","1,744.0"
"146","122","Public order and safety","G171271","265.0","249.0","258.0","256.0","278.0","320.0","344.0","393.0","365.0","432.0","528.0"
"147","123","Economic affairs","G171281","7,271.0","7,054.0","7,718.0","8,060.0","9,208.0","9,500.0","10,362.0","11,292.0","12,071.0","13,035.0","13,179.0"
"148","124","Housing and community services","G171291","2,139.0","2,155.0","2,386.0","2,743.0","2,475.0","2,999.0","3,200.0","3,247.0","3,370.0","4,149.0","4,012.0"
"149","125","Health","G171301","471.0","447.0","419.0","458.0","467.0","509.0","562.0","607.0","824.0","937.0","1,079.0"
"150","126","Recreation and culture","G171311","221.0","192.0","196.0","227.0","262.0","271.0","260.0","292.0","373.0","421.0","521.0"
"151","127","Education","G171321","3,267.0","3,492.0","3,783.0","3,806.0","4,359.0","4,927.0","5,540.0","6,760.0","7,546.0","7,750.0","7,681.0"
"152","128","Income security","G171331","21.0","30.0","33.0","37.0","27.0","32.0","35.0","46.0","56.0","60.0","73.0"
"153",NA,"        Capital transfers paid \3\"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","129","      Government \4\","W069RC1","49.0","93.0","123.0","126.0","88.0","81.0","81.0","83.0","85.0","112.0","79.0"
"155","130","General public service","W800RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"156","131","Economic affairs","W801RC1","49.0","93.0","123.0","126.0","88.0","81.0","81.0","83.0","85.0","112.0","79.0"
"157","132","  Transportation","W802RC1","49.0","93.0","123.0","126.0","88.0","81.0","81.0","83.0","85.0","112.0","79.0"
"158","133","    Highways","W803RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0"
"159","134","    Air","W804RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"160","135","    Water","W805RC1","49.0","93.0","123.0","126.0","88.0","81.0","81.0","83.0","85.0","112.0","77.0"
"161","136","    Transit and railroad","W806RC1",".....",".....",".....",".....",".....",".....","0.0","0.0","0.0","0.0","0.0"
"162","137","  Other economic affairs","W807RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"163","138","Housing and community services","W808RC1",".....",".....",".....",".....",".....",".....","0.0","0.0","0.0","0.0","0.0"
"164","139","Health","W809RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","0.0"
"165","140","Income security","W810RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"166","141","      Federal \5\","W020RC1","3,122.0","2,616.0","2,854.0","3,067.0","3,586.0","4,064.0","4,035.0","4,387.0","4,260.0","5,993.0","5,860.0"
"167","142","General public service","W698RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"168","143","Economic affairs","G171361","3,122.0","2,616.0","2,854.0","3,067.0","3,586.0","4,064.0","3,990.0","4,294.0","4,124.0","4,624.0","4,302.0"
"169","144","  Transportation","G171371","3,122.0","2,616.0","2,854.0","3,067.0","3,586.0","4,064.0","3,990.0","4,294.0","4,124.0","4,624.0","4,302.0"
"170","145","    Highways","G171381","3,016.0","2,462.0","2,670.0","2,876.0","3,433.0","3,899.0","3,834.0","4,129.0","3,909.0","4,312.0","4,016.0"
"171","146","    Air","G171391","57.0","61.0","61.0","65.0","65.0","84.0","57.0","55.0","70.0","78.0","103.0"
"172","147","    Water","W813RC1","49.0","93.0","123.0","126.0","88.0","81.0","81.0","83.0","85.0","112.0","77.0"
"173","148","    Transit and railroad","G171411",".....",".....",".....",".....",".....",".....","18.0","27.0","60.0","122.0","106.0"
"174","149","  Other economic affairs","W699RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"175","150","Housing and community services","G171421",".....",".....",".....",".....",".....",".....","45.0","93.0","136.0","243.0","286.0"
"176","151","Health","G171431",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,126.0","1,272.0"
"177","152","Income security","G171441",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"178","153","      State and local","W080RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"179","154","Housing and community services \6\","W952RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","1. Equals consumption expenditures, government social benefits, interest payments, and subsidies;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","for federal government, also includes grants-in-aid to state",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","and local governments and other current transfer payments to the rest of the world (net).  Government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","federal government, and state and local government current expenditures are shown separately in tables",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","3.1, 3.2, and 3.3.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","2. Federal grants-in-aid to state and local governments are included in federal current expenditures;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","because the grants are transactions between levels of government, they are eliminated in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","consolidation of the government sector.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","3. For more information regarding capital transfers, please see NIPA table 5.11.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","4. Federal investment grants to state and local governments are excluded in the consolidation of the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","federal and state and local sectors.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","5. Includes federal investment grants to state and local governments.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","6. Consists of disaster-related benefits payments by state-owned insurance entities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
