"","Table 3#17# Selected Government Current and Capital Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"60","39","Education","G170371","1,941.0","2,745.0","3,451.0","4,277.0","4,915.0","5,809.0","8,250.0","8,096.0","7,595.0","7,790.0","8,227.0","9,318.0","10,332.0","9,716.0","10,512.0","10,488.0","10,969.0","10,948.0","11,182.0","11,806.0","14,064.0","14,390.0","15,093.0","16,656.0","19,312.0","19,871.0","21,801.0","21,853.0","22,995.0","25,238.0","26,372.0","27,126.0","31,434.0","34,750.0","36,345.0","39,352.0","41,746.0","43,568.0","45,573.0","52,157.0","65,503.0","84,346.0","89,065.0","87,848.0"
"61","40","Income security","G170381","44,230.0","54,515.0","65,024.0","71,497.0","81,875.0","96,466.0","123,094.0","132,489.0","140,071.0","147,475.0","164,376.0","197,395.0","222,057.0","248,037.0","263,369.0","263,640.0","276,948.0","291,662.0","299,758.0","316,882.0","338,528.0","369,043.0","409,008.0","452,737.0","470,333.0","483,088.0","499,996.0","516,597.0","526,632.0","539,883.0","560,959.0","588,835.0","626,038.0","684,523.0","721,552.0","749,941.0","788,549.0","823,689.0","871,204.0","969,299.0","1,140,940.0","1,207,396.0","1,198,139.0","1,220,646.0"
"62","41","      Federal","W015RC1","46,341.0","56,357.0","66,891.0","73,820.0","85,702.0","104,602.0","134,319.0","145,632.0","154,662.0","165,150.0","185,820.0","223,183.0","254,392.0","285,352.0","306,664.0","312,909.0","329,406.0","348,072.0","360,938.0","381,942.0","415,215.0","451,223.0","497,986.0","555,708.0","587,702.0","613,259.0","649,376.0","684,517.0","710,042.0","724,351.0","743,791.0","777,813.0","845,706.0","922,770.0","973,125.0","1,025,546.0","1,090,910.0","1,196,673.0","1,272,211.0","1,407,425.0","1,624,899.0","1,726,649.0","1,745,342.0","1,790,493.0"
"63","42","General public service","G170401","104.0","220.0","372.0","353.0","229.0","244.0","600.0","778.0","560.0","408.0","296.0","470.0","380.0","37.0","209.0","240.0","150.0","294.0","186.0","331.0","147.0","240.0","1,042.0","1,585.0","860.0","670.0","255.0","683.0","448.0","418.0","271.0","457.0","442.0","621.0","695.0","915.0","705.0","699.0","732.0","1,570.0","1,475.0","1,533.0","1,625.0","1,541.0"
"64","43","Public order and safety","G170411",".....",".....",".....",".....",".....","2.0","4.0","4.0","4.0","3.0","3.0","3.0","2.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","21.0","29.0","22.0","26.0","42.0","31.0","29.0","28.0","85.0","115.0","54.0","42.0","54.0","55.0","57.0","120.0","92.0","76.0","69.0","91.0"
"65","44","Economic affairs","G170421","393.0","397.0","635.0","573.0","483.0","466.0","135.0","182.0","293.0","493.0","655.0","735.0","667.0","518.0","516.0","506.0","512.0","522.0","485.0","524.0","537.0","555.0","595.0","657.0","658.0","663.0","674.0","673.0","646.0","614.0","639.0","634.0","747.0","1,053.0","1,015.0","1,020.0","1,449.0","1,572.0","1,765.0","1,886.0","1,975.0","2,005.0","1,847.0","1,911.0"
"66","45","Housing and community services","G170431","0.0","0.0","0.0","0.0","0.0","0.0","136.0","113.0","149.0","140.0","158.0","167.0","163.0","96.0","16.0","16.0","84.0","320.0","355.0","365.0","154.0","200.0","138.0","149.0","66.0","55.0","29.0","6.0","9.0","8.0","8.0","8.0","6.0","2.0","4.0","3.0","3.0","4.0","3.0","4.0","4.0","123.0","303.0","508.0"
"67","46","Health","G170441","8,154.0","8,902.0","9,746.0","10,608.0","12,293.0","14,780.0","17,708.0","20,941.0","24,334.0","27,906.0","32,507.0","39,077.0","46,581.0","54,169.0","61,213.0","68,377.0","73,737.0","79,745.0","86,312.0","91,652.0","103,974.0","113,948.0","124,162.0","139,608.0","154,053.0","168,169.0","186,652.0","202,870.0","215,945.0","215,875.0","215,542.0","223,997.0","253,861.0","272,622.0","289,864.0","316,248.0","346,994.0","416,677.0","446,045.0","481,662.0","520,511.0","540,488.0","563,698.0","588,340.0"
"68","47","Recreation and culture","G170451","9.0","31.0","63.0","43.0","66.0","139.0","91.0","234.0","190.0","239.0","205.0","312.0","408.0","264.0","231.0","782.0","330.0","476.0","392.0","427.0","406.0","489.0","500.0","458.0","412.0","430.0","423.0","378.0","349.0","348.0","462.0","435.0","467.0","492.0","518.0","556.0","591.0","574.0","585.0","598.0","598.0","664.0","586.0","587.0"
"69","48","Education","G170461","1,312.0","1,973.0","2,496.0","3,194.0","3,746.0","4,502.0","6,688.0","6,357.0","5,713.0","5,708.0","5,993.0","6,890.0","7,724.0","6,967.0","7,622.0","7,341.0","7,424.0","7,069.0","7,137.0","7,629.0","9,441.0","9,116.0","9,418.0","10,639.0","12,663.0","12,287.0","13,087.0","12,802.0","13,847.0","15,412.0","15,890.0","15,625.0","18,447.0","20,623.0","20,967.0","22,269.0","22,969.0","23,733.0","24,780.0","29,887.0","41,456.0","58,544.0","61,932.0","59,377.0"
"70","49","Income security","G170471","36,369.0","44,834.0","53,579.0","59,049.0","68,885.0","84,469.0","108,957.0","117,023.0","123,419.0","130,253.0","146,003.0","175,529.0","198,467.0","223,300.0","236,857.0","235,647.0","247,169.0","259,646.0","266,071.0","281,014.0","300,556.0","326,675.0","362,131.0","402,612.0","418,969.0","430,956.0","448,234.0","467,079.0","478,756.0","491,645.0","510,950.0","536,629.0","571,651.0","627,242.0","660,008.0","684,493.0","718,145.0","753,359.0","798,244.0","891,698.0","1,058,788.0","1,123,216.0","1,115,282.0","1,138,138.0"
"71","50","      State and local","B109RC1","13,217.0","16,101.0","19,332.0","21,953.0","24,084.0","25,276.0","30,802.0","34,138.0","37,039.0","40,767.0","44,316.0","51,201.0","57,090.0","61,197.0","66,906.0","71,169.0","77,260.0","84,344.0","90,726.0","98,501.0","109,348.0","127,655.0","156,517.0","179,996.0","195,210.0","206,707.0","217,636.0","224,255.0","227,558.0","235,779.0","252,349.0","271,434.0","305,070.0","333,035.0","353,566.0","385,019.0","406,619.0","403,923.0","433,271.0","455,399.0","492,629.0","523,826.0","532,044.0","544,324.0"
"72","51","General public service","G170491","75.0","82.0","67.0","70.0","141.0","265.0","169.0","32.0","35.0","30.0","26.0","24.0","22.0","351.0","356.0","176.0","303.0","358.0","415.0","475.0","518.0","558.0","556.0","567.0","591.0","615.0","645.0","704.0","798.0","945.0","1,084.0","1,212.0","1,148.0","972.0","698.0","563.0","529.0","698.0","1,031.0","2,047.0","874.0","871.0","834.0","655.0"
"73","52","Public order and safety","G170501",".....",".....",".....",".....","2.0","4.0","6.0","8.0","9.0","11.0","12.0","15.0","18.0","21.0","24.0","28.0","32.0","36.0","41.0","46.0","52.0","60.0","65.0","69.0","75.0","84.0","92.0","99.0","106.0","112.0","119.0","130.0","138.0","141.0","144.0","147.0","156.0","168.0","181.0","188.0","188.0","182.0","178.0","179.0"
"74","53","Economic affairs","G170511","12.0","12.0","12.0","16.0","13.0","161.0","577.0","897.0","934.0","1,908.0","1,687.0","1,724.0","1,423.0","1,058.0","952.0","779.0","929.0","943.0","912.0","927.0","944.0","941.0","933.0","1,122.0","1,062.0","1,076.0","1,085.0","943.0","1,034.0","1,076.0","1,092.0","1,043.0","1,437.0","1,621.0","1,439.0","1,274.0","1,183.0","1,318.0","1,028.0","1,108.0","1,423.0","1,452.0","1,195.0","1,133.0"
"75","54","Health","G170521","4,640.0","5,554.0","6,853.0","8,336.0","9,769.0","11,542.0","14,351.0","15,996.0","17,527.0","19,514.0","21,984.0","25,144.0","29,429.0","32,281.0","36,172.0","39,046.0","42,672.0","47,112.0","51,626.0","57,008.0","65,239.0","78,454.0","102,411.0","122,096.0","135,469.0","145,216.0","155,338.0","163,940.0","168,596.0","175,582.0","189,563.0","205,342.0","234,973.0","258,893.0","274,363.0","300,504.0","315,570.0","311,574.0","337,278.0","352,185.0","383,945.0","411,339.0","419,847.0","431,378.0"
"76","55","Education","G170531","629.0","772.0","955.0","1,083.0","1,169.0","1,307.0","1,562.0","1,739.0","1,882.0","2,082.0","2,234.0","2,428.0","2,608.0","2,749.0","2,890.0","3,147.0","3,545.0","3,879.0","4,045.0","4,177.0","4,623.0","5,274.0","5,675.0","6,017.0","6,649.0","7,584.0","8,714.0","9,051.0","9,148.0","9,826.0","10,482.0","11,501.0","12,987.0","14,127.0","15,378.0","17,083.0","18,777.0","19,835.0","20,793.0","22,270.0","24,047.0","25,802.0","27,133.0","28,471.0"
"77","56","Income security","G170541","7,861.0","9,681.0","11,445.0","12,448.0","12,990.0","11,997.0","14,137.0","15,466.0","16,652.0","17,222.0","18,373.0","21,866.0","23,590.0","24,737.0","26,512.0","27,993.0","29,779.0","32,016.0","33,687.0","35,868.0","37,972.0","42,368.0","46,877.0","50,125.0","51,364.0","52,132.0","51,762.0","49,518.0","47,876.0","48,238.0","50,009.0","52,206.0","54,387.0","57,281.0","61,544.0","65,448.0","70,404.0","70,330.0","72,960.0","77,601.0","82,152.0","84,180.0","82,857.0","82,508.0"
"78",NA,"Grants-in-aid to state and local governments:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","57","      Federal \2\","B089RC1","13,660.0","18,342.0","22,142.0","30,513.0","33,489.0","34,908.0","43,626.0","49,077.0","54,760.0","63,482.0","63,980.0","69,690.0","69,410.0","66,261.0","67,940.0","72,339.0","76,169.0","82,425.0","78,382.0","85,737.0","91,841.0","104,357.0","124,022.0","141,681.0","155,713.0","166,849.0","174,477.0","181,457.0","188,142.0","200,799.0","219,155.0","233,106.0","261,258.0","287,179.0","321,711.0","332,201.0","343,353.0","340,783.0","358,970.0","371,005.0","458,060.0","505,292.0","472,479.0","443,224.0"
"80","58","General public service","G170561","121.0","247.0","244.0","2,891.0","7,365.0","6,505.0","6,545.0","7,616.0","8,604.0","8,307.0","7,244.0","7,204.0","4,889.0","5,201.0","5,347.0","5,027.0","5,052.0","6,468.0","759.0","1,042.0","649.0","671.0","909.0","843.0","910.0","1,120.0","1,022.0","2,124.0","2,432.0","2,385.0","3,627.0","2,113.0","2,411.0","2,519.0","12,463.0","2,977.0","3,050.0","2,231.0","2,550.0","1,818.0","1,634.0","1,913.0","2,107.0","2,736.0"
"81","59","National defense","G170571","237.0","236.0","226.0","239.0","288.0","291.0","305.0","330.0","495.0","538.0","597.0","723.0","106.0","83.0","92.0","136.0","209.0","196.0","191.0","204.0","151.0","198.0","222.0","288.0","300.0","303.0","311.0","322.0","302.0","304.0","279.0","395.0","463.0","376.0","497.0","569.0","518.0","577.0","623.0","669.0","816.0","762.0","659.0","684.0"
"82","60","Public order and safety","G170581","48.0","117.0","215.0","361.0","490.0","598.0","686.0","658.0","616.0","485.0","480.0","495.0","400.0","254.0","192.0","225.0","253.0","386.0","490.0","370.0","411.0","441.0","706.0","1,115.0","1,066.0","1,127.0","1,245.0","1,315.0","2,517.0","3,490.0","3,890.0","4,508.0","4,923.0","3,807.0","3,377.0","4,034.0","5,364.0","5,802.0","5,269.0","5,108.0","5,914.0","6,732.0","6,475.0","6,614.0"
"83","61","Economic affairs","G170591","1,544.0","1,712.0","2,269.0","3,421.0","3,723.0","3,576.0","6,327.0","7,494.0","9,141.0","14,883.0","12,495.0","11,246.0","9,709.0","6,560.0","6,326.0","6,043.0","6,185.0","6,336.0","6,153.0","6,410.0","6,557.0","6,947.0","7,091.0","7,063.0","7,207.0","7,818.0","7,900.0","7,243.0","7,438.0","7,378.0","7,598.0","7,834.0","8,414.0","9,307.0","9,699.0","10,944.0","10,546.0","10,535.0","9,598.0","10,305.0","12,350.0","14,516.0","17,061.0","14,342.0"
"84","62","  Transportation","G170641","0.0","0.0","2.0","9.0","4.0","5.0","6.0","14.0","34.0","44.0","64.0","55.0","50.0","63.0","44.0","44.0","47.0","44.0","49.0","51.0","38.0","38.0","35.0","36.0","40.0","49.0","57.0","38.0","30.0","28.0","17.0","6.0","0.0","3.0","-1.0","-4.0","3.0","2.0","0.0","28.0","117.0","136.0","121.0","127.0"
"85","63","  Space","G170651","0.0","0.0","0.0","0.0","0.0","4.0","10.0","5.0","1.0","0.0","4.0","27.0","0.0","7.0","0.0","0.0","0.0","0.0","0.0","1.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"86","64","  Other economic affairs","W695RC1","1,544.0","1,712.0","2,267.0","3,412.0","3,719.0","3,567.0","6,311.0","7,475.0","9,106.0","14,839.0","12,427.0","11,164.0","9,659.0","6,490.0","6,282.0","5,999.0","6,138.0","6,292.0","6,104.0","6,358.0","6,517.0","6,909.0","7,056.0","7,027.0","7,167.0","7,768.0","7,844.0","7,205.0","7,408.0","7,349.0","7,581.0","7,828.0","8,414.0","9,303.0","9,701.0","10,948.0","10,543.0","10,533.0","9,599.0","10,276.0","12,233.0","14,380.0","16,940.0","14,216.0"
"87","65","    General economic and labor affairs","G170601","812.0","907.0","1,433.0","2,313.0","2,322.0","2,217.0","5,090.0","6,014.0","7,540.0","13,032.0","10,344.0","8,621.0","6,663.0","3,807.0","3,758.0","3,258.0","3,385.0","3,445.0","3,364.0","3,342.0","3,434.0","3,426.0","3,464.0","3,804.0","3,797.0","4,316.0","4,256.0","4,120.0","4,309.0","4,294.0","4,449.0","4,635.0","4,712.0","5,493.0","5,234.0","6,134.0","5,211.0","4,777.0","3,875.0","3,672.0","5,238.0","5,128.0","6,033.0","4,984.0"
"88","66","    Agriculture","G170611","345.0","391.0","468.0","664.0","943.0","807.0","575.0","639.0","586.0","728.0","808.0","810.0","744.0","693.0","671.0","738.0","808.0","887.0","864.0","934.0","1,045.0","1,232.0","1,395.0","1,130.0","1,317.0","1,438.0","1,462.0","1,044.0","880.0","828.0","800.0","700.0","748.0","780.0","772.0","782.0","778.0","828.0","908.0","1,022.0","1,192.0","1,008.0","1,055.0","882.0"
"89","67","    Energy","G170621","168.0","165.0","145.0","176.0","187.0","187.0","317.0","365.0","310.0","368.0","477.0","784.0","1,126.0","780.0","534.0","517.0","535.0","507.0","455.0","448.0","433.0","464.0","456.0","409.0","457.0","482.0","491.0","471.0","448.0","433.0","458.0","467.0","487.0","556.0","614.0","604.0","629.0","673.0","657.0","678.0","1,344.0","3,538.0","5,552.0","3,671.0"
"90","68","    Natural resources","G170631","219.0","249.0","221.0","259.0","267.0","356.0","329.0","457.0","670.0","711.0","798.0","949.0","1,126.0","1,210.0","1,319.0","1,486.0","1,410.0","1,453.0","1,421.0","1,634.0","1,605.0","1,787.0","1,741.0","1,684.0","1,596.0","1,533.0","1,635.0","1,570.0","1,771.0","1,795.0","1,874.0","2,026.0","2,467.0","2,474.0","3,081.0","3,428.0","3,925.0","4,255.0","4,159.0","4,904.0","4,459.0","4,706.0","4,300.0","4,679.0"
"91","69","Housing and community services","G170661","728.0","1,433.0","1,674.0","1,885.0","1,961.0","1,830.0","2,247.0","2,935.0","3,019.0","3,006.0","3,783.0","4,538.0","4,452.0","4,082.0","3,927.0","4,275.0","4,314.0","4,564.0","4,234.0","4,132.0","3,886.0","3,443.0","3,441.0","3,467.0","3,737.0","5,109.0","6,109.0","6,479.0","7,831.0","11,222.0","11,977.0","12,973.0","13,085.0","14,293.0","14,382.0","14,057.0","14,039.0","14,881.0","20,716.0","17,281.0","16,961.0","23,979.0","23,898.0","20,665.0"
"92","70","Health","G170671","1,955.0","3,885.0","4,405.0","6,391.0","6,070.0","8,264.0","9,504.0","11,162.0","12,101.0","13,007.0","14,688.0","16,339.0","19,509.0","20,149.0","21,078.0","22,758.0","25,292.0","27,698.0","30,129.0","34,011.0","38,088.0","46,677.0","61,149.0","73,587.0","83,083.0","87,016.0","93,935.0","98,570.0","101,018.0","106,922.0","117,503.0","127,116.0","145,379.0","161,109.0","176,580.0","190,813.0","197,965.0","191,832.0","205,285.0","214,167.0","274,289.0","295,186.0","270,282.0","265,896.0"
"93","71","Recreation and culture","G170681","52.0","55.0","79.0","112.0","125.0","177.0","170.0","186.0","188.0","255.0","279.0","375.0","347.0","271.0","214.0","299.0","192.0","153.0","134.0","108.0","95.0","86.0","93.0","97.0","108.0","121.0","117.0","260.0","209.0","239.0","230.0","259.0","283.0","366.0","383.0","458.0","430.0","525.0","479.0","465.0","444.0","534.0","503.0","450.0"
"94","72","Education","G170691","2,884.0","3,369.0","3,567.0","4,044.0","3,514.0","4,532.0","5,060.0","4,037.0","4,970.0","5,495.0","6,540.0","7,099.0","7,234.0","6,723.0","6,104.0","7,058.0","7,716.0","7,905.0","7,328.0","8,686.0","9,599.0","10,102.0","11,361.0","12,781.0","13,569.0","14,200.0","13,682.0","15,493.0","15,205.0","16,572.0","18,650.0","19,367.0","21,587.0","25,164.0","31,412.0","36,021.0","37,091.0","39,045.0","37,116.0","38,883.0","56,585.0","68,273.0","60,466.0","43,508.0"
"95","73","Income security","G170701","6,091.0","7,288.0","9,463.0","11,169.0","9,953.0","9,135.0","12,782.0","14,659.0","15,626.0","17,506.0","17,874.0","21,671.0","22,764.0","22,938.0","24,660.0","26,518.0","26,956.0","28,719.0","28,964.0","30,773.0","32,405.0","35,792.0","39,050.0","42,440.0","45,733.0","50,035.0","50,156.0","49,651.0","51,190.0","52,287.0","55,400.0","58,542.0","64,712.0","70,239.0","72,917.0","72,328.0","74,351.0","75,355.0","77,335.0","82,310.0","89,066.0","93,398.0","91,026.0","88,330.0"
"96","74","  Disability","G170711","48.0","56.0","69.0","73.0","122.0","171.0","216.0","237.0","260.0","287.0","311.0","360.0","462.0","564.0","637.0","638.0","683.0","754.0","751.0","797.0","863.0","776.0","430.0","426.0","938.0","1,003.0","1,196.0","1,283.0","1,388.0","1,428.0","1,649.0","1,635.0","1,681.0","1,763.0","1,798.0","1,874.0","1,970.0","1,973.0","1,885.0","1,974.0","2,260.0","2,512.0","2,699.0","2,567.0"
"97","75","  Welfare and social services","G170731","5,246.0","6,232.0","8,439.0","9,964.0","8,622.0","7,756.0","11,188.0","12,709.0","13,584.0","15,456.0","15,530.0","18,613.0","19,296.0","19,423.0","20,954.0","22,788.0","23,374.0","24,804.0","25,142.0","26,853.0","28,259.0","31,293.0","35,154.0","37,865.0","39,289.0","42,661.0","43,835.0","42,888.0","44,669.0","45,087.0","47,915.0","51,539.0","56,285.0","61,061.0","62,671.0","62,990.0","63,693.0","64,308.0","67,228.0","70,764.0","75,869.0","80,931.0","78,530.0","76,669.0"
"98","76","  Unemployment","G170741","570.0","678.0","719.0","876.0","768.0","893.0","1,188.0","1,342.0","1,507.0","1,480.0","1,612.0","1,985.0","2,050.0","2,097.0","2,348.0","2,304.0","2,369.0","2,499.0","2,478.0","2,614.0","2,480.0","2,762.0","3,025.0","3,549.0","3,600.0","3,202.0","3,341.0","3,337.0","3,159.0","3,332.0","3,419.0","3,064.0","3,259.0","3,561.0","3,529.0","3,422.0","3,401.0","3,387.0","3,229.0","3,480.0","4,081.0","4,841.0","4,129.0","3,032.0"
"99","77","  Other","G170751","227.0","322.0","236.0","256.0","441.0","315.0","190.0","371.0","275.0","283.0","421.0","713.0","956.0","854.0","721.0","788.0","530.0","662.0","593.0","509.0","803.0","961.0","441.0","600.0","1,906.0","3,169.0","1,784.0","2,143.0","1,974.0","2,440.0","2,417.0","2,304.0","3,487.0","3,854.0","4,919.0","4,043.0","5,287.0","5,687.0","4,992.0","6,093.0","6,857.0","5,114.0","5,668.0","6,062.0"
"100",NA,"Subsidies:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","78","      Government","A107RC1","4,534.0","4,777.0","4,675.0","6,636.0","5,230.0","3,307.0","4,494.0","5,125.0","7,100.0","8,936.0","8,531.0","9,800.0","11,473.0","15,017.0","21,304.0","21,065.0","21,360.0","24,895.0","30,282.0","29,502.0","27,428.0","26,993.0","27,488.0","30,088.0","36,681.0","32,523.0","34,812.0","35,234.0","33,810.0","36,368.0","45,209.0","45,840.0","58,722.0","41,390.0","49,057.0","46,387.0","60,910.0","51,467.0","54,584.0","52,558.0","58,348.0","55,861.0","59,953.0","57,291.0"
"102","79","Economic affairs","G170791","4,114.0","4,171.0","3,731.0","5,217.0","3,639.0","1,226.0","2,206.0","2,486.0","4,041.0","5,266.0","3,945.0","4,331.0","4,685.0","6,326.0","11,839.0","10,997.0","10,114.0","13,799.0","18,776.0","16,759.0","13,213.0","11,506.0","10,433.0","11,668.0","16,103.0","10,852.0","10,419.0","10,189.0","10,268.0","14,744.0","24,063.0","26,070.0","38,048.0","17,002.0","22,501.0","17,761.0","29,158.0","20,741.0","16,388.0","19,010.0","23,282.0","21,065.0","24,516.0","23,157.0"
"103","80","  Transportation","G170841","263.0","257.0","416.0","496.0","563.0","665.0","1,398.0","1,678.0","2,111.0","2,185.0","2,516.0","3,037.0","2,740.0","2,777.0","2,458.0","2,494.0","2,310.0","1,889.0","1,937.0","2,149.0","2,055.0","1,882.0","1,921.0","2,129.0","2,175.0","2,149.0","2,109.0","1,643.0","1,613.0","1,130.0","1,145.0","1,238.0","6,193.0","1,872.0","4,226.0","2,322.0","2,222.0","2,165.0","1,875.0","2,095.0","2,633.0","3,128.0","2,581.0","2,175.0"
"104","81","  Other economic affairs","W696RC1","3,851.0","3,914.0","3,315.0","4,721.0","3,076.0","561.0","808.0","808.0","1,930.0","3,081.0","1,429.0","1,294.0","1,945.0","3,549.0","9,381.0","8,503.0","7,804.0","11,910.0","16,839.0","14,610.0","11,158.0","9,624.0","8,512.0","9,539.0","13,928.0","8,703.0","8,310.0","8,546.0","8,655.0","13,614.0","22,918.0","24,832.0","31,855.0","15,130.0","18,275.0","15,439.0","26,936.0","18,576.0","14,513.0","16,915.0","20,649.0","17,937.0","21,935.0","20,982.0"
"105","82","    General economic and labor affairs","G170801",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","12.0","57.0","86.0","73.0","100.0","97.0","92.0","130.0","203.0","206.0","190.0","215.0","274.0","368.0","810.0","939.0","927.0","940.0","968.0","1,210.0","1,880.0","2,164.0","2,071.0","2,469.0","2,540.0","2,787.0","2,610.0","4,673.0","8,472.0","5,545.0","11,513.0","10,137.0"
"106","83","    Agriculture","G170811","3,851.0","3,914.0","3,315.0","4,721.0","3,076.0","561.0","808.0","734.0","1,819.0","3,030.0","1,376.0","1,285.0","1,933.0","3,492.0","9,295.0","8,430.0","7,704.0","11,813.0","16,747.0","14,480.0","10,887.0","9,298.0","8,214.0","9,169.0","13,401.0","7,879.0","7,279.0","7,340.0","7,496.0","12,380.0","21,513.0","23,222.0","22,431.0","12,414.0","16,523.0","12,970.0","24,396.0","15,789.0","11,903.0","12,242.0","12,177.0","12,392.0","10,422.0","10,845.0"
"107","84","    Energy","G170821",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","7,024.0","385.0","-319.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"108","85","    Natural resources","G170831","0.0","0.0","0.0","0.0","0.0","0.0","0.0","74.0","111.0","51.0","53.0","9.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","68.0","120.0","108.0","155.0","253.0","456.0","221.0","267.0","232.0","294.0","437.0","400.0","520.0","167.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"109","86","Housing and community services","G170871","420.0","606.0","944.0","1,419.0","1,591.0","2,081.0","2,288.0","2,639.0","3,059.0","3,670.0","4,586.0","5,469.0","6,788.0","8,691.0","9,465.0","10,068.0","11,246.0","11,096.0","11,506.0","12,743.0","14,215.0","15,487.0","17,055.0","18,420.0","20,578.0","21,671.0","24,393.0","25,045.0","23,542.0","21,624.0","21,146.0","19,770.0","20,674.0","24,388.0","26,557.0","28,625.0","31,752.0","30,726.0","38,196.0","33,547.0","35,066.0","34,796.0","35,436.0","34,133.0"
"110","87","      Federal","B096RC1","4,509.0","4,753.0","4,641.0","6,583.0","5,149.0","3,191.0","4,336.0","4,936.0","6,890.0","8,697.0","8,204.0","9,446.0","11,071.0","14,563.0","20,862.0","20,680.0","21,033.0","24,589.0","30,007.0","29,150.0","27,052.0","26,619.0","27,076.0","29,700.0","36,318.0","32,183.0","34,502.0","34,903.0","33,374.0","35,922.0","44,780.0","45,306.0","51,057.0","40,481.0","48,973.0","46,018.0","60,538.0","51,094.0","47,452.0","49,589.0","56,941.0","54,295.0","59,407.0","56,834.0"
"111","88","Economic affairs","G170911","4,089.0","4,147.0","3,697.0","5,164.0","3,558.0","1,110.0","2,048.0","2,297.0","3,831.0","5,027.0","3,618.0","3,977.0","4,283.0","5,872.0","11,397.0","10,612.0","9,787.0","13,493.0","18,501.0","16,407.0","12,837.0","11,132.0","10,021.0","11,280.0","15,740.0","10,512.0","10,109.0","9,858.0","9,832.0","14,298.0","23,634.0","25,536.0","30,383.0","16,093.0","22,417.0","17,392.0","28,786.0","20,368.0","16,011.0","18,621.0","22,875.0","20,640.0","24,075.0","22,700.0"
"112","89","  Transportation","G170961","238.0","233.0","382.0","443.0","482.0","549.0","1,240.0","1,489.0","1,901.0","1,946.0","2,189.0","2,683.0","2,338.0","2,323.0","2,016.0","2,109.0","1,983.0","1,583.0","1,662.0","1,797.0","1,679.0","1,508.0","1,509.0","1,741.0","1,812.0","1,809.0","1,799.0","1,312.0","1,177.0","684.0","716.0","704.0","5,552.0","1,348.0","3,823.0","1,953.0","1,850.0","1,792.0","1,498.0","1,706.0","2,226.0","2,703.0","2,140.0","1,718.0"
"113","90","  Other economic affairs","W697RC1","3,851.0","3,914.0","3,315.0","4,721.0","3,076.0","561.0","808.0","808.0","1,930.0","3,081.0","1,429.0","1,294.0","1,945.0","3,549.0","9,381.0","8,503.0","7,804.0","11,910.0","16,839.0","14,610.0","11,158.0","9,624.0","8,512.0","9,539.0","13,928.0","8,703.0","8,310.0","8,546.0","8,655.0","13,614.0","22,918.0","24,832.0","24,831.0","14,745.0","18,594.0","15,439.0","26,936.0","18,576.0","14,513.0","16,915.0","20,649.0","17,937.0","21,935.0","20,982.0"
"114","91","    General economic and labor affairs","G170921",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","12.0","57.0","86.0","73.0","100.0","97.0","92.0","130.0","203.0","206.0","190.0","215.0","274.0","368.0","810.0","939.0","927.0","940.0","968.0","1,210.0","1,880.0","2,164.0","2,071.0","2,469.0","2,540.0","2,787.0","2,610.0","4,673.0","8,472.0","5,545.0","11,513.0","10,137.0"
"115","92","    Agriculture","G170931","3,851.0","3,914.0","3,315.0","4,721.0","3,076.0","561.0","808.0","734.0","1,819.0","3,030.0","1,376.0","1,285.0","1,933.0","3,492.0","9,295.0","8,430.0","7,704.0","11,813.0","16,747.0","14,480.0","10,887.0","9,298.0","8,214.0","9,169.0","13,401.0","7,879.0","7,279.0","7,340.0","7,496.0","12,380.0","21,513.0","23,222.0","22,431.0","12,414.0","16,523.0","12,970.0","24,396.0","15,789.0","11,903.0","12,242.0","12,177.0","12,392.0","10,422.0","10,845.0"
