"","Table 3#9#5# Government Consumption Expenditures and Gross Inves","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186"
"27","8","          Research and development","Y057RC1","17,145.0","17,232.0","17,228.0","17,126.0","16,937.0","16,807.0","16,764.0","16,820.0","16,919.0","17,082.0","17,303.0","17,607.0","17,938.0","18,259.0","18,506.0","18,742.0","18,908.0","19,084.0","19,269.0","19,443.0","19,636.0","19,880.0","20,132.0","20,457.0","20,806.0","21,206.0","21,673.0","22,176.0","22,733.0","23,280.0","23,824.0","24,358.0","24,885.0","25,437.0","26,063.0","26,697.0","27,389.0","28,104.0","28,881.0","29,680.0","30,525.0","31,393.0","32,279.0","33,176.0","34,075.0","35,069.0","36,157.0","37,337.0","38,595.0","39,770.0","40,845.0","41,813.0","42,697.0","43,647.0","44,686.0","45,799.0","46,994.0","48,212.0","49,434.0","50,683.0","51,967.0","53,505.0","55,328.0","57,427.0","59,808.0","61,668.0","63,003.0","63,793.0","64,061.0","64,725.0","65,788.0","67,255.0","69,129.0","70,605.0","71,651.0","72,304.0","72,555.0","72,707.0","72,774.0","72,751.0","72,649.0","72,767.0","73,144.0","73,740.0","74,560.0","75,057.0","75,227.0","75,054.0","74,547.0","74,128.0","73,822.0","73,593.0","73,469.0","73,319.0","73,160.0","72,999.0","72,828.0","72,746.0","72,756.0","72,866.0","73,073.0","73,376.0","73,803.0","74,311.0","74,924.0","75,394.0","75,713.0","75,914.0","75,964.0","76,111.0","76,357.0","76,685.0","77,115.0","77,501.0","77,861.0","78,177.0","78,462.0","78,805.0","79,222.0","79,706.0","80,251.0","80,976.0","81,840.0","82,896.0","84,103.0","85,371.0","86,661.0","88,012.0","89,400.0","90,933.0","92,608.0","94,439.0","96,416.0","98,629.0","101,069.0","103,750.0","106,661.0","109,297.0","111,657.0","113,749.0","115,550.0","117,353.0","119,180.0","120,981.0","122,789.0","124,390.0","125,827.0","127,080.0","128,142.0","129,360.0","130,776.0","132,316.0","134,045.0","135,775.0","137,502.0","139,214.0","140,939.0","142,326.0","143,441.0","144,227.0","144,701.0","145,320.0","146,109.0","147,024.0","148,998.0","150,967.0","153,092.0","154,599.0","154,188.0","153,985.0","153,989.0","154,198.0","154,613.0","154,590.0","154,167.0","153,302.0","152,006.0","150,309.0","148,185.0","145,677.0","142,764.0","141,265.0","140,929.0"
"28","9","Federal","A823RC1","129,576.0","129,720.0","133,344.0","131,944.0","133,504.0","131,700.0","132,320.0","133,472.0","133,264.0","134,172.0","135,540.0","134,660.0","141,360.0","144,584.0","138,480.0","141,660.0","145,884.0","146,488.0","143,404.0","146,484.0","151,872.0","154,736.0","159,508.0","166,396.0","167,560.0","168,976.0","174,872.0","179,680.0","180,472.0","181,956.0","183,580.0","189,004.0","192,944.0","197,732.0","199,980.0","204,524.0","207,728.0","214,772.0","218,576.0","225,752.0","229,132.0","234,896.0","238,824.0","248,080.0","259,656.0","271,028.0","271,980.0","286,792.0","296,516.0","309,392.0","312,536.0","328,472.0","332,500.0","339,468.0","347,632.0","362,856.0","370,096.0","378,824.0","391,728.0","380,116.0","391,104.0","406,932.0","409,456.0","422,988.0","432,208.0","443,816.0","458,680.0","462,400.0","459,744.0","474,516.0","492,852.0","486,396.0","489,604.0","499,188.0","502,236.0","509,848.0","504,024.0","505,444.0","505,792.0","520,016.0","517,544.0","531,820.0","538,488.0","537,668.0","552,620.0","559,508.0","557,992.0","569,956.0","582,864.0","585,504.0","580,912.0","573,672.0","578,612.0","582,184.0","592,668.0","592,956.0","577,048.0","575,564.0","578,932.0","581,988.0","564,420.0","569,032.0","583,956.0","573,352.0","577,568.0","579,708.0","576,912.0","567,252.0","577,156.0","582,516.0","576,904.0","576,264.0","572,080.0","585,688.0","585,364.0","586,472.0","571,452.0","586,624.0","584,728.0","593,580.0","594,488.0","601,052.0","614,604.0","631,564.0","618,124.0","639,328.0","636,176.0","636,104.0","652,456.0","666,368.0","674,856.0","683,264.0","714,376.0","733,060.0","746,164.0","768,816.0","789,276.0","831,412.0","830,484.0","848,060.0","872,540.0","886,748.0","906,884.0","903,344.0","931,224.0","938,160.0","963,112.0","952,784.0","995,316.0","998,720.0","1,000,388.0","1,013,532.0","1,018,312.0","1,040,768.0","1,063,860.0","1,076,148.0","1,110,740.0","1,140,468.0","1,179,992.0","1,191,224.0","1,182,236.0","1,214,628.0","1,233,220.0","1,240,656.0","1,269,188.0","1,304,568.0","1,321,636.0","1,320,064.0","1,298,088.0","1,314,856.0","1,305,936.0","1,294,924.0","1,291,372.0","1,290,012.0","1,314,304.0","1,269,868.0","1,241,908.0","1,234,072.0","1,233,944.0","1,216,180.0","1,208,132.0","1,210,488.0","1,241,292.0"
"29","10","    Consumption expenditures","A957RC1","97,096.0","99,468.0","102,308.0","102,820.0","102,676.0","101,360.0","102,376.0","102,756.0","105,568.0","106,664.0","106,688.0","107,524.0","112,804.0","113,984.0","110,216.0","111,684.0","113,128.0","114,220.0","112,720.0","115,584.0","118,580.0","119,508.0","123,104.0","128,672.0","129,852.0","132,092.0","133,156.0","136,600.0","136,812.0","138,536.0","137,984.0","142,684.0","144,984.0","148,364.0","150,144.0","154,896.0","157,172.0","160,968.0","162,484.0","167,236.0","170,800.0","174,848.0","174,176.0","184,132.0","191,332.0","202,020.0","201,712.0","213,380.0","221,112.0","229,812.0","230,864.0","243,412.0","247,632.0","249,188.0","257,316.0","268,496.0","273,328.0","278,780.0","287,400.0","271,904.0","280,616.0","293,256.0","295,100.0","299,148.0","307,484.0","312,780.0","321,320.0","325,420.0","325,148.0","335,940.0","344,760.0","340,124.0","342,300.0","346,040.0","346,192.0","356,556.0","356,592.0","357,568.0","357,716.0","371,468.0","368,520.0","382,152.0","383,488.0","386,492.0","396,704.0","401,008.0","398,688.0","410,860.0","427,160.0","426,196.0","423,452.0","418,956.0","423,092.0","425,540.0","435,612.0","436,600.0","424,644.0","424,088.0","430,104.0","431,964.0","423,240.0","424,852.0","434,224.0","427,008.0","428,892.0","430,920.0","430,240.0","420,584.0","423,492.0","430,440.0","427,256.0","432,484.0","430,620.0","443,320.0","438,764.0","442,080.0","427,488.0","439,356.0","433,860.0","445,028.0","446,396.0","446,728.0","457,496.0","471,660.0","461,776.0","482,988.0","477,696.0","477,768.0","493,712.0","502,868.0","509,136.0","515,848.0","542,532.0","554,580.0","561,596.0","582,600.0","600,412.0","635,136.0","631,360.0","646,908.0","668,896.0","677,756.0","691,604.0","687,236.0","714,548.0","716,768.0","736,216.0","726,232.0","762,064.0","760,276.0","763,172.0","770,248.0","775,268.0","789,088.0","809,168.0","819,876.0","850,088.0","865,668.0","897,960.0","905,572.0","904,776.0","931,196.0","945,908.0","952,928.0","979,104.0","1,005,092.0","1,018,772.0","1,012,652.0","1,000,560.0","1,015,152.0","1,009,028.0","999,504.0","1,003,248.0","998,656.0","1,024,896.0","987,640.0","970,244.0","965,188.0","965,696.0","951,060.0","957,136.0","955,500.0","987,688.0"
"30","11","    Gross investment","A787RC1","32,480.0","30,252.0","31,036.0","29,124.0","30,828.0","30,340.0","29,944.0","30,716.0","27,696.0","27,508.0","28,852.0","27,136.0","28,556.0","30,600.0","28,264.0","29,976.0","32,756.0","32,268.0","30,684.0","30,900.0","33,292.0","35,228.0","36,404.0","37,724.0","37,708.0","36,884.0","41,716.0","43,080.0","43,660.0","43,420.0","45,596.0","46,320.0","47,960.0","49,368.0","49,836.0","49,628.0","50,556.0","53,804.0","56,092.0","58,516.0","58,332.0","60,048.0","64,648.0","63,948.0","68,324.0","69,008.0","70,268.0","73,412.0","75,404.0","79,580.0","81,672.0","85,060.0","84,868.0","90,280.0","90,316.0","94,360.0","96,768.0","100,044.0","104,328.0","108,212.0","110,488.0","113,676.0","114,356.0","123,840.0","124,724.0","131,036.0","137,360.0","136,980.0","134,596.0","138,576.0","148,092.0","146,272.0","147,304.0","153,148.0","156,044.0","153,292.0","147,432.0","147,876.0","148,076.0","148,548.0","149,024.0","149,668.0","155,000.0","151,176.0","155,916.0","158,500.0","159,304.0","159,096.0","155,704.0","159,308.0","157,460.0","154,716.0","155,520.0","156,644.0","157,056.0","156,356.0","152,404.0","151,476.0","148,828.0","150,024.0","141,180.0","144,180.0","149,732.0","146,344.0","148,676.0","148,788.0","146,672.0","146,668.0","153,664.0","152,076.0","149,648.0","143,780.0","141,460.0","142,368.0","146,600.0","144,392.0","143,964.0","147,268.0","150,868.0","148,552.0","148,092.0","154,324.0","157,108.0","159,904.0","156,348.0","156,340.0","158,480.0","158,336.0","158,744.0","163,500.0","165,720.0","167,416.0","171,844.0","178,480.0","184,568.0","186,216.0","188,864.0","196,276.0","199,124.0","201,152.0","203,644.0","208,992.0","215,280.0","216,108.0","216,676.0","221,392.0","226,896.0","226,552.0","233,252.0","238,444.0","237,216.0","243,284.0","243,044.0","251,680.0","254,692.0","256,272.0","260,652.0","274,800.0","282,032.0","285,652.0","277,460.0","283,432.0","287,312.0","287,728.0","290,084.0","299,476.0","302,864.0","307,412.0","297,528.0","299,704.0","296,908.0","295,420.0","288,124.0","291,356.0","289,408.0","282,228.0","271,664.0","268,884.0","268,248.0","265,120.0","250,996.0","254,988.0","253,604.0"
"31","12","      Structures","A801RC1","3,340.0","3,472.0","3,452.0","3,256.0","3,128.0","3,296.0","3,464.0","3,624.0","3,884.0","4,136.0","4,572.0","4,552.0","4,464.0","4,472.0","4,512.0","4,548.0","5,036.0","4,996.0","5,356.0","5,488.0","5,248.0","5,820.0","5,356.0","5,884.0","6,228.0","6,140.0","6,472.0","6,732.0","6,804.0","6,696.0","6,568.0","6,848.0","7,104.0","7,504.0","7,604.0","7,292.0","7,540.0","8,756.0","9,360.0","8,924.0","8,296.0","8,536.0","9,280.0","8,984.0","9,864.0","10,056.0","10,776.0","10,308.0","10,828.0","11,112.0","10,480.0","11,324.0","10,844.0","10,508.0","10,660.0","10,940.0","11,268.0","11,292.0","11,924.0","11,504.0","11,556.0","12,076.0","11,908.0","12,332.0","12,444.0","13,496.0","14,388.0","13,924.0","14,688.0","14,612.0","15,036.0","14,780.0","15,972.0","16,888.0","16,984.0","16,908.0","14,140.0","14,740.0","14,208.0","13,732.0","12,936.0","12,860.0","13,448.0","13,720.0","14,488.0","14,432.0","14,492.0","12,916.0","12,508.0","13,828.0","13,568.0","15,300.0","15,484.0","15,652.0","14,444.0","16,468.0","16,548.0","16,136.0","17,036.0","16,632.0","15,044.0","15,076.0","15,988.0","17,792.0","18,172.0","17,248.0","17,768.0","16,780.0","17,804.0","18,560.0","17,704.0","16,104.0","16,316.0","16,112.0","17,100.0","14,576.0","16,512.0","16,624.0","17,316.0","15,928.0","16,616.0","16,168.0","15,840.0","15,824.0","14,672.0","13,728.0","13,776.0","12,864.0","12,740.0","13,484.0","13,660.0","13,984.0","15,508.0","15,800.0","16,340.0","16,724.0","17,124.0","18,100.0","17,948.0","16,496.0","16,808.0","16,960.0","17,060.0","15,396.0","15,632.0","14,936.0","15,960.0","14,440.0","15,672.0","16,876.0","16,808.0","19,576.0","19,324.0","22,416.0","22,316.0","21,416.0","21,064.0","24,232.0","26,444.0","28,476.0","28,364.0","27,952.0","29,712.0","30,556.0","30,300.0","33,704.0","33,696.0","32,800.0","33,472.0","31,848.0","29,116.0","25,932.0","24,220.0","22,872.0","21,000.0","21,672.0","18,516.0","18,224.0","17,912.0","16,676.0","16,788.0","16,808.0","16,928.0"
"32","13","      Equipment","Y058RC1","12,148.0","9,680.0","10,460.0","8,820.0","10,800.0","10,256.0","9,712.0","10,260.0","6,892.0","6,288.0","6,980.0","4,972.0","6,144.0","7,836.0","5,196.0","6,616.0","8,696.0","8,052.0","5,892.0","5,764.0","8,164.0","9,244.0","10,584.0","11,016.0","10,240.0","9,068.0","13,068.0","13,632.0","13,612.0","12,944.0","14,696.0","14,600.0","15,468.0","15,924.0","15,656.0","15,104.0","15,060.0","16,336.0","17,196.0","19,212.0","18,692.0","19,212.0","22,092.0","20,700.0","23,220.0","22,604.0","21,940.0","24,264.0","24,356.0","26,960.0","28,480.0","29,932.0","29,324.0","34,064.0","32,860.0","35,472.0","36,156.0","38,068.0","40,304.0","43,220.0","43,988.0","44,924.0","43,704.0","50,472.0","48,728.0","52,004.0","56,028.0","55,252.0","51,804.0","55,160.0","63,132.0","59,996.0","57,784.0","61,088.0","62,708.0","59,208.0","55,652.0","55,128.0","55,576.0","56,444.0","57,676.0","58,044.0","62,108.0","57,188.0","60,308.0","62,512.0","63,208.0","64,732.0","62,092.0","64,592.0","63,252.0","58,972.0","59,492.0","60,784.0","62,500.0","60,108.0","56,200.0","55,776.0","52,248.0","54,004.0","46,752.0","49,436.0","53,404.0","47,976.0","49,068.0","49,908.0","46,792.0","47,948.0","53,640.0","51,072.0","49,100.0","44,548.0","41,080.0","42,172.0","45,548.0","45,568.0","41,644.0","43,628.0","46,196.0","45,480.0","44,528.0","47,964.0","50,228.0","52,264.0","48,852.0","48,192.0","49,016.0","48,300.0","47,084.0","49,884.0","50,992.0","51,268.0","52,572.0","57,268.0","60,612.0","59,784.0","59,244.0","62,828.0","63,604.0","64,700.0","65,448.0","68,864.0","72,620.0","73,340.0","71,920.0","75,252.0","78,140.0","78,340.0","83,012.0","85,864.0","83,284.0","84,668.0","82,860.0","86,772.0","88,296.0","89,396.0","91,700.0","101,412.0","105,508.0","107,020.0","99,120.0","104,992.0","106,288.0","104,472.0","104,768.0","109,196.0","109,996.0","113,780.0","103,064.0","106,612.0","106,144.0","107,264.0","101,624.0","106,060.0","106,712.0","99,984.0","93,628.0","93,476.0","95,064.0","95,740.0","84,420.0","90,120.0","88,580.0"
"33","14","      Intellectual property products","Y059RC1","16,992.0","17,100.0","17,124.0","17,048.0","16,900.0","16,788.0","16,768.0","16,832.0","16,920.0","17,084.0","17,300.0","17,612.0","17,948.0","18,292.0","18,556.0","18,812.0","19,024.0","19,220.0","19,436.0","19,648.0","19,880.0","20,164.0","20,464.0","20,824.0","21,240.0","21,676.0","22,176.0","22,716.0","23,244.0","23,780.0","24,332.0","24,872.0","25,388.0","25,940.0","26,576.0","27,232.0","27,956.0","28,712.0","29,536.0","30,380.0","31,344.0","32,300.0","33,276.0","34,264.0","35,240.0","36,348.0","37,552.0","38,840.0","40,220.0","41,508.0","42,712.0","43,804.0","44,700.0","45,708.0","46,796.0","47,948.0","49,344.0","50,684.0","52,100.0","53,488.0","54,944.0","56,676.0","58,744.0","61,036.0","63,552.0","65,536.0","66,944.0","67,804.0","68,104.0","68,804.0","69,924.0","71,496.0","73,548.0","75,172.0","76,352.0","77,176.0","77,640.0","78,008.0","78,292.0","78,372.0","78,412.0","78,764.0","79,444.0","80,268.0","81,120.0","81,556.0","81,604.0","81,448.0","81,104.0","80,888.0","80,640.0","80,444.0","80,544.0","80,208.0","80,112.0","79,780.0","79,656.0","79,564.0","79,544.0","79,388.0","79,384.0","79,668.0","80,340.0","80,576.0","81,436.0","81,632.0","82,112.0","81,940.0","82,220.0","82,444.0","82,844.0","83,128.0","84,064.0","84,084.0","83,952.0","84,248.0","85,808.0","87,016.0","87,356.0","87,144.0","86,948.0","90,192.0","91,040.0","91,816.0","92,824.0","94,420.0","95,688.0","97,172.0","98,920.0","100,132.0","101,068.0","102,164.0","103,764.0","105,412.0","107,616.0","109,708.0","112,496.0","115,348.0","117,572.0","119,956.0","121,388.0","123,168.0","125,600.0","127,372.0","129,124.0","131,204.0","132,796.0","133,772.0","134,568.0","135,704.0","137,124.0","139,040.0","140,860.0","142,492.0","144,080.0","145,460.0","147,888.0","149,156.0","150,080.0","150,156.0","149,976.0","150,488.0","151,312.0","152,700.0","155,016.0","156,576.0","159,172.0","160,832.0","160,992.0","161,244.0","161,648.0","162,224.0","162,280.0","162,424.0","161,696.0","160,572.0","159,520.0","157,184.0","155,272.0","152,704.0","149,788.0","148,060.0","148,096.0"
"34","15","        Software","Y060RC1","340.0","376.0","420.0","464.0","524.0","560.0","600.0","624.0","628.0","644.0","652.0","672.0","688.0","724.0","756.0","792.0","856.0","896.0","948.0","1,008.0","1,072.0","1,136.0","1,208.0","1,268.0","1,360.0","1,420.0","1,476.0","1,536.0","1,528.0","1,540.0","1,572.0","1,604.0","1,620.0","1,652.0","1,700.0","1,764.0","1,844.0","1,932.0","2,024.0","2,112.0","2,272.0","2,404.0","2,540.0","2,680.0","2,808.0","2,976.0","3,148.0","3,316.0","3,500.0","3,672.0","3,856.0","4,032.0","4,092.0","4,200.0","4,300.0","4,392.0","4,648.0","4,824.0","5,072.0","5,264.0","5,488.0","5,744.0","6,060.0","6,332.0","6,556.0","6,776.0","6,952.0","7,132.0","7,280.0","7,424.0","7,580.0","7,776.0","8,036.0","8,268.0","8,488.0","8,748.0","9,052.0","9,360.0","9,672.0","9,872.0","10,112.0","10,448.0","10,856.0","11,192.0","11,336.0","11,380.0","11,356.0","11,464.0","11,712.0","11,984.0","12,096.0","12,168.0","12,416.0","12,256.0","12,348.0","12,208.0","12,288.0","12,320.0","12,340.0","12,132.0","11,988.0","12,032.0","12,336.0","12,120.0","12,420.0","12,208.0","12,440.0","12,148.0","12,468.0","12,648.0","12,920.0","13,008.0","13,660.0","13,424.0","13,048.0","13,128.0","14,488.0","15,452.0","15,488.0","14,920.0","14,320.0","16,996.0","17,152.0","17,060.0","17,064.0","17,584.0","17,744.0","18,048.0","18,568.0","18,412.0","17,844.0","17,284.0","17,088.0","16,688.0","16,600.0","16,144.0","16,136.0","16,468.0","16,448.0","16,856.0","16,604.0","16,696.0","17,416.0","17,500.0","17,556.0","18,212.0","18,608.0","18,636.0","18,740.0","19,008.0","19,344.0","20,032.0","20,416.0","20,636.0","20,840.0","20,876.0","21,960.0","22,204.0","22,344.0","21,932.0","21,544.0","21,636.0","21,804.0","22,344.0","22,996.0","22,848.0","23,532.0","23,848.0","24,152.0","24,444.0","24,788.0","25,204.0","25,000.0","25,332.0","25,200.0","25,124.0","25,560.0","25,064.0","25,372.0","25,360.0","25,396.0","25,388.0","25,996.0"
"35","16","        Research and development","Y061RC1","16,652.0","16,724.0","16,704.0","16,584.0","16,376.0","16,228.0","16,168.0","16,208.0","16,292.0","16,440.0","16,648.0","16,940.0","17,260.0","17,568.0","17,800.0","18,020.0","18,168.0","18,324.0","18,488.0","18,640.0","18,808.0","19,028.0","19,256.0","19,556.0","19,880.0","20,256.0","20,700.0","21,180.0","21,716.0","22,240.0","22,760.0","23,268.0","23,768.0","24,288.0","24,876.0","25,468.0","26,112.0","26,780.0","27,512.0","28,268.0","29,072.0","29,896.0","30,736.0","31,584.0","32,432.0","33,372.0","34,404.0","35,524.0","36,720.0","37,836.0","38,856.0","39,772.0","40,608.0","41,508.0","42,496.0","43,556.0","44,696.0","45,860.0","47,028.0","48,224.0","49,456.0","50,932.0","52,684.0","54,704.0","56,996.0","58,760.0","59,992.0","60,672.0","60,824.0","61,380.0","62,344.0","63,720.0","65,512.0","66,904.0","67,864.0","68,428.0","68,588.0","68,648.0","68,620.0","68,500.0","68,300.0","68,316.0","68,588.0","69,076.0","69,784.0","70,176.0","70,248.0","69,984.0","69,392.0","68,904.0","68,544.0","68,276.0","68,128.0","67,952.0","67,764.0","67,572.0","67,368.0","67,244.0","67,204.0","67,256.0","67,396.0","67,636.0","68,004.0","68,456.0","69,016.0","69,424.0","69,672.0","69,792.0","69,752.0","69,796.0","69,924.0","70,120.0","70,404.0","70,660.0","70,904.0","71,120.0","71,320.0","71,564.0","71,868.0","72,224.0","72,628.0","73,196.0","73,888.0","74,756.0","75,760.0","76,836.0","77,944.0","79,124.0","80,352.0","81,720.0","83,224.0","84,880.0","86,676.0","88,724.0","91,016.0","93,564.0","96,360.0","98,880.0","101,124.0","103,100.0","104,784.0","106,472.0","108,184.0","109,872.0","111,568.0","112,992.0","114,188.0","115,136.0","115,828.0","116,696.0","117,780.0","119,008.0","120,444.0","121,856.0","123,240.0","124,584.0","125,928.0","126,952.0","127,736.0","128,224.0","128,432.0","128,852.0","129,508.0","130,356.0","132,020.0","133,728.0","135,640.0","136,984.0","136,840.0","136,800.0","136,860.0","137,020.0","137,280.0","137,092.0","136,496.0","135,448.0","133,960.0","132,120.0","129,900.0","127,344.0","124,392.0","122,672.0","122,100.0"
"36","17","  National defense","A824RC1","101,276.0","100,852.0","103,456.0","102,696.0","102,844.0","99,608.0","99,928.0","100,472.0","99,456.0","97,828.0","97,436.0","97,244.0","101,392.0","103,696.0","97,444.0","100,020.0","103,012.0","103,352.0","99,648.0","102,152.0","105,360.0","108,696.0","109,444.0","113,296.0","113,896.0","113,784.0","118,744.0","121,460.0","121,544.0","122,764.0","123,864.0","126,972.0","129,936.0","132,928.0","133,656.0","134,860.0","137,364.0","141,936.0","144,364.0","148,428.0","151,052.0","155,960.0","158,444.0","165,684.0","173,280.0","177,612.0","180,332.0","192,628.0","198,912.0","208,072.0","212,148.0","225,612.0","230,120.0","239,324.0","245,784.0","255,908.0","259,304.0","267,140.0","271,740.0","279,200.0","286,172.0","292,636.0","294,008.0","305,824.0","310,912.0","320,452.0","333,820.0","338,656.0","335,108.0","347,768.0","362,016.0","351,860.0","358,712.0","369,264.0","376,088.0","375,708.0","376,276.0","378,492.0","377,568.0","386,120.0","379,204.0","389,452.0","394,752.0","391,148.0","399,848.0","402,504.0","398,544.0","410,140.0","417,276.0","417,532.0","411,948.0","401,052.0","400,204.0","402,836.0","411,144.0","404,688.0","389,648.0","388,392.0","390,040.0","392,188.0","373,284.0","379,200.0","392,532.0","376,248.0","377,624.0","380,596.0","376,468.0","369,508.0","375,300.0","380,916.0","376,032.0","373,944.0","363,768.0","374,392.0","372,076.0","375,500.0","355,484.0","368,688.0","373,792.0","372,844.0","370,028.0","375,944.0","387,536.0","397,356.0","380,684.0","397,424.0","393,484.0","395,216.0","403,416.0","410,292.0","416,528.0","420,668.0","438,688.0","450,052.0","459,508.0","479,128.0","490,184.0","526,796.0","522,704.0","539,852.0","554,836.0","564,688.0","585,576.0","575,820.0","596,772.0","605,028.0","623,376.0","607,840.0","633,452.0","641,436.0","638,748.0","655,924.0","654,504.0","672,604.0","690,680.0","697,116.0","719,744.0","741,220.0","776,644.0","778,900.0","760,232.0","785,416.0","802,808.0","804,648.0","811,924.0","829,336.0","846,324.0","843,480.0","823,384.0","844,880.0","851,464.0","828,024.0","818,596.0","817,132.0","840,912.0","795,420.0","775,128.0","772,216.0","774,912.0","757,516.0","749,896.0","754,624.0","784,036.0"
"37","18","    Consumption expenditures","A997RC1","80,092.0","81,968.0","83,644.0","84,776.0","83,256.0","80,828.0","81,552.0","81,520.0","83,532.0","82,332.0","80,956.0","82,532.0","85,728.0","86,244.0","82,216.0","83,260.0","84,080.0","84,920.0","82,788.0","85,320.0","86,312.0","88,832.0","88,324.0","91,872.0","92,740.0","93,756.0","94,352.0","96,488.0","96,284.0","98,416.0","97,628.0","100,360.0","102,020.0","104,356.0","105,772.0","107,544.0","109,916.0","112,316.0","114,012.0","115,688.0","118,772.0","122,600.0","121,348.0","129,040.0","133,884.0","138,292.0","140,912.0","150,068.0","155,292.0","160,620.0","162,472.0","173,384.0","177,352.0","181,060.0","187,044.0","192,936.0","194,956.0","199,328.0","200,356.0","203,668.0","209,384.0","213,412.0","214,232.0","217,380.0","222,776.0","225,784.0","234,196.0","239,420.0","238,712.0","247,116.0","252,100.0","245,200.0","251,516.0","257,900.0","262,068.0","265,236.0","270,460.0","272,780.0","272,540.0","280,884.0","274,504.0","285,560.0","286,252.0","287,576.0","294,148.0","294,936.0","290,396.0","302,248.0","314,584.0","313,256.0","310,316.0","304,412.0","303,368.0","304,692.0","312,936.0","309,188.0","299,416.0","298,624.0","302,676.0","302,660.0","290,888.0","293,332.0","302,396.0","291,552.0","291,984.0","294,068.0","292,760.0","285,544.0","286,336.0","294,092.0","291,676.0","294,076.0","287,180.0","297,228.0","290,956.0","294,508.0","279,244.0","290,164.0","291,456.0","292,976.0","292,364.0","294,440.0","303,560.0","314,540.0","298,068.0","314,748.0","309,368.0","311,004.0","319,668.0","322,852.0","327,192.0","330,524.0","347,064.0","352,444.0","357,088.0","375,796.0","384,844.0","416,580.0","409,908.0","424,360.0","437,228.0","443,456.0","458,072.0","448,408.0","469,016.0","472,792.0","488,124.0","473,740.0","496,428.0","497,964.0","497,584.0","509,300.0","508,248.0","519,068.0","535,632.0","541,340.0","560,472.0","570,084.0","600,240.0","600,352.0","589,880.0","609,312.0","625,028.0","628,932.0","637,760.0","650,236.0","665,612.0","659,244.0","650,324.0","668,472.0","676,740.0","653,568.0","651,256.0","646,436.0","671,420.0","632,756.0","620,320.0","618,828.0","621,092.0","605,472.0","610,468.0","610,392.0","641,104.0"
