"","Table 3#1# Government Current Receipts and Expenditures         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"54","35","    Current expenditures","W022RC1","283,525.0","317,479.0","352,376.0","385,861.0","416,587.0","468,327.0","543,484.0","582,061.0","630,126.0","691,785.0","764,887.0","879,544.0","999,725.0","1,109,640.0","1,204,853.0","1,285,359.0","1,391,351.0","1,483,918.0","1,556,622.0","1,645,902.0","1,778,995.0","1,918,262.0","2,032,345.0","2,216,123.0","2,299,135.0","2,374,608.0","2,490,631.0","2,573,221.0","2,648,815.0","2,713,580.0","2,827,504.0","2,966,720.0","3,169,015.0","3,358,437.0","3,567,113.0","3,772,661.0","4,034,871.0","4,268,273.0","4,540,784.0","4,840,799.0","5,209,724.0","5,450,993.0","5,537,631.0","5,612,652.0","5,662,892.0"
"55","36","    Gross government investment","A782RC1","59,541.0","59,793.0","58,509.0","60,691.0","65,640.0","76,162.0","84,397.0","89,640.0","93,158.0","105,567.0","120,100.0","135,952.0","147,345.0","156,949.0","171,165.0","193,178.0","219,872.0","238,084.0","254,641.0","258,395.0","270,431.0","290,367.0","294,092.0","296,117.0","291,886.0","294,171.0","307,680.0","319,951.0","329,532.0","341,401.0","368,466.0","390,254.0","413,634.0","443,572.0","465,256.0","488,461.0","513,641.0","552,347.0","592,206.0","634,626.0","647,029.0","651,817.0","637,882.0","619,424.0","596,318.0"
"56","37","    Capital transfer payments","W069RC1","79.0","130.0","155.0","224.0","194.0","259.0","298.0","249.0","225.0","251.0","351.0","404.0","324.0","312.0","139.0","106.0","147.0","111.0","138.0","134.0","348.0","7,373.0","5,299.0","228.0","828.0","1,244.0","641.0","201.0","403.0","245.0","4,479.0","370.0","283.0","4,153.0","17,123.0","21,624.0","42,334.0","18,374.0","25,133.0","88,238.0","143,488.0","69,323.0","54,397.0","32,173.0","12,970.0"
"57","38","    Net purchases of nonproduced assets","AD07RC1","1,085.0","829.0","1,189.0","942.0","-1,482.0","-3,797.0","1,511.0","-641.0","137.0","1,143.0","-851.0","-1,890.0","-3,281.0","-1,478.0","-2,726.0","-1,396.0","1,861.0","650.0","3,728.0","4,185.0","4,148.0","4,949.0","5,997.0","6,039.0","6,040.0","6,281.0","-1,355.0","1,235.0","-2,957.0","1,561.0","7,411.0","7,965.0","8,668.0","10,933.0","10,505.0","10,513.0","8,013.0","-3,422.0","10,298.0","-6,588.0","3,426.0","9,594.0","8,343.0","6,763.0","6,542.0"
"58","39","    Less: Consumption of fixed capital","A264RC1","35,430.0","38,525.0","41,230.0","43,406.0","46,591.0","53,010.0","58,746.0","62,697.0","67,210.0","72,949.0","80,402.0","91,032.0","103,116.0","113,924.0","121,760.0","130,817.0","140,242.0","150,591.0","161,645.0","174,086.0","186,027.0","197,846.0","208,771.0","215,566.0","223,631.0","231,247.0","240,202.0","244,985.0","249,884.0","255,330.0","264,947.0","277,666.0","286,284.0","294,053.0","304,851.0","322,400.0","346,658.0","371,010.0","399,376.0","426,501.0","442,729.0","458,058.0","479,579.0","495,960.0","506,414.0"
"59","40","  Net lending or net borrowing (-)","AD01RC1","-21,652.0","-49,263.0","-63,066.0","-52,115.0","-39,206.0","-51,644.0","-123,553.0","-96,370.0","-80,499.0","-73,204.0","-67,976.0","-115,529.0","-113,689.0","-201,484.0","-242,260.0","-224,125.0","-248,057.0","-270,465.0","-237,378.0","-217,869.0","-225,682.0","-296,461.0","-352,323.0","-441,188.0","-406,514.0","-330,872.0","-319,111.0","-244,251.0","-139,607.0","-37,362.0","-2,838.0","81,137.0","-149,714.0","-523,366.0","-684,351.0","-675,524.0","-556,310.0","-429,798.0","-535,128.0","-1,054,960.0","-1,847,058.0","-1,818,962.0","-1,666,728.0","-1,452,437.0","-957,536.0"
"60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","1. Prior to 1960, interest payments to persons and business (line 25)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","and interest receipts on line 10 are not shown separately, but are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","included in interest payments (line 24), which is shown net of interest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","receipts. Interest payments to persons and business includes interest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","accrued on the actuarial liabilities of defined benefit pension plans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","for government employees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","2. Prior to 1959, subsidies (line 27) and the current surplus of government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","enterprises (line 16) are not shown separately; subsidies are presented net",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","of the current surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","3. Prior to 1960, government social benefits to the rest of the world are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","included in line 23, ""Other current transfer payments to the rest of the world (net).""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
