"","Table 4#2#6# Real Exports and Imports of Goods and Services by T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66"
"43","24","    Imports of goods and services","A021RX1","1,466,883.0","1,509,024.0","1,565,243.0","1,603,779.0","1,668,146.0","1,719,607.0","1,779,038.0","1,778,071.0","1,748,467.0","1,696,812.0","1,662,797.0","1,639,787.0","1,686,901.0","1,739,799.0","1,765,579.0","1,802,902.0","1,777,883.0","1,805,929.0","1,829,111.0","1,894,600.0","1,952,748.0","2,033,040.0","2,053,575.0","2,101,999.0","2,126,795.0","2,151,177.0","2,156,887.0","2,222,003.0","2,269,940.0","2,297,607.0","2,315,226.0","2,321,390.0","2,358,684.0","2,369,376.0","2,368,712.0","2,339,274.0","2,361,633.0","2,340,397.0","2,293,036.0","2,199,514.0","1,986,668.0","1,905,707.0","1,976,984.0","2,063,350.0","2,116,938.0","2,217,774.0","2,295,953.0","2,310,735.0","2,328,482.0","2,345,931.0","2,364,918.0","2,391,348.0","2,401,737.0","2,425,543.0","2,422,148.0","2,400,973.0","2,399,453.0","2,448,788.0","2,452,329.0","2,460,468.0","2,474,130.0","2,541,149.0","2,535,316.0"
"44","25","Imports of goods \1\","A255RX1","1,222,453.0","1,264,968.0","1,314,151.0","1,346,108.0","1,399,300.0","1,439,388.0","1,488,751.0","1,494,177.0","1,467,092.0","1,410,490.0","1,383,689.0","1,372,369.0","1,398,090.0","1,457,562.0","1,483,797.0","1,504,915.0","1,487,566.0","1,526,766.0","1,530,688.0","1,586,979.0","1,631,020.0","1,698,191.0","1,722,385.0","1,764,959.0","1,787,521.0","1,805,756.0","1,810,000.0","1,868,273.0","1,900,075.0","1,924,557.0","1,944,891.0","1,931,877.0","1,965,109.0","1,970,700.0","1,968,389.0","1,939,279.0","1,950,089.0","1,932,383.0","1,883,827.0","1,785,146.0","1,594,126.0","1,515,578.0","1,585,107.0","1,666,365.0","1,719,441.0","1,814,159.0","1,880,372.0","1,893,016.0","1,917,685.0","1,921,296.0","1,931,849.0","1,957,751.0","1,967,227.0","1,986,780.0","1,981,200.0","1,957,159.0","1,959,777.0","2,000,074.0","2,000,787.0","2,005,273.0","2,017,657.0","2,077,827.0","2,071,005.0"
"45","26","  Foods, feeds, and beverages","B647RX1","57,465.0","59,750.0","60,231.0","61,143.0","61,731.0","62,940.0","64,545.0","64,948.0","63,968.0","65,098.0","68,884.0","67,630.0","68,281.0","69,638.0","70,704.0","71,125.0","73,230.0","74,506.0","75,653.0","77,894.0","79,395.0","80,694.0","79,018.0","80,439.0","80,616.0","82,115.0","83,435.0","84,502.0","88,200.0","87,288.0","87,110.0","88,509.0","91,152.0","89,267.0","88,550.0","86,473.0","89,339.0","88,232.0","86,725.0","87,111.0","84,294.0","83,007.0","82,380.0","81,759.0","84,458.0","85,395.0","85,997.0","83,156.0","84,291.0","85,054.0","85,470.0","90,591.0","88,833.0","88,265.0","90,028.0","91,139.0","93,120.0","94,298.0","92,442.0","92,354.0","94,144.0","101,037.0","99,230.0"
"46","27","  Industrial supplies and materials, except petroleum and products","A649RX1","202,801.0","208,687.0","214,299.0","223,112.0","225,852.0","225,026.0","227,592.0","225,780.0","226,564.0","215,529.0","215,214.0","214,469.0","217,444.0","222,632.0","225,989.0","232,241.0","222,869.0","226,222.0","230,607.0","231,705.0","243,468.0","261,846.0","271,855.0","275,095.0","279,706.0","278,382.0","272,791.0","289,523.0","294,800.0","294,555.0","295,751.0","283,934.0","281,578.0","289,282.0","285,307.0","267,350.0","269,506.0","265,523.0","264,535.0","240,919.0","207,585.0","182,719.0","191,554.0","204,701.0","215,953.0","226,894.0","230,352.0","227,941.0","235,489.0","241,433.0","241,785.0","239,815.0","245,499.0","244,827.0","249,147.0","242,435.0","248,220.0","246,951.0","251,814.0","250,882.0","252,953.0","267,555.0","268,082.0"
"47","28","    Durable goods","A820RX1","106,869.0","108,337.0","109,170.0","116,193.0","118,809.0","117,391.0","116,966.0","116,729.0","114,859.0","109,286.0","109,476.0","108,565.0","114,006.0","114,718.0","117,128.0","119,823.0","116,777.0","115,061.0","116,327.0","121,745.0","126,715.0","138,060.0","147,259.0","151,934.0","150,791.0","151,600.0","145,523.0","155,010.0","168,150.0","166,138.0","168,224.0","157,607.0","154,204.0","154,904.0","149,289.0","138,637.0","143,087.0","138,965.0","138,395.0","126,023.0","104,392.0","88,977.0","90,742.0","97,897.0","104,108.0","111,697.0","112,597.0","110,545.0","116,731.0","120,140.0","119,870.0","117,943.0","127,239.0","125,772.0","123,948.0","123,392.0","128,630.0","127,540.0","128,535.0","128,535.0","136,281.0","144,814.0","143,848.0"
"48","29","    Nondurable goods","B696RX1","95,612.0","100,117.0","105,034.0","106,674.0","106,724.0","107,376.0","110,366.0","108,882.0","111,257.0","105,846.0","105,403.0","105,611.0","103,107.0","107,635.0","108,621.0","112,175.0","106,067.0","110,648.0","113,667.0","109,818.0","116,588.0","123,718.0","124,613.0","123,308.0","129,148.0","127,035.0","127,123.0","134,232.0","127,527.0","128,886.0","127,800.0","126,598.0","127,746.0","134,856.0","136,610.0","129,266.0","126,973.0","126,956.0","126,528.0","115,277.0","103,247.0","93,681.0","100,819.0","106,804.0","111,846.0","115,114.0","117,746.0","117,464.0","118,614.0","121,117.0","121,783.0","121,813.0","117,822.0","118,707.0","124,991.0","118,774.0","119,257.0","119,070.0","122,927.0","121,981.0","116,510.0","122,606.0","124,074.0"
"49","30","  Petroleum and products","B648RX1","269,847.0","260,667.0","261,730.0","249,601.0","267,233.0","264,609.0","270,018.0","277,993.0","292,215.0","277,726.0","265,082.0","276,647.0","263,106.0","269,175.0","268,653.0","284,792.0","273,111.0","296,698.0","299,920.0","288,478.0","309,735.0","301,593.0","304,167.0","319,276.0","313,304.0","311,428.0","311,352.0","323,536.0","305,231.0","308,960.0","324,780.0","296,954.0","301,373.0","305,573.0","299,296.0","300,367.0","294,744.0","285,746.0","281,299.0","303,383.0","294,080.0","263,892.0","259,348.0","253,521.0","262,125.0","274,857.0","277,961.0","261,089.0","271,377.0","265,544.0","259,233.0","259,606.0","246,581.0","248,724.0","241,114.0","233,600.0","227,332.0","230,385.0","224,065.0","218,779.0","227,387.0","211,688.0","205,334.0"
"50","31","  Capital goods, except automotive","A650RX1","235,882.0","251,349.0","263,202.0","273,276.0","281,966.0","305,611.0","321,079.0","321,199.0","305,271.0","273,102.0","257,681.0","254,068.0","261,170.0","269,691.0","270,390.0","272,073.0","273,376.0","279,944.0","282,114.0","300,737.0","313,529.0","331,042.0","341,824.0","352,208.0","355,057.0","372,397.0","375,507.0","387,785.0","402,849.0","411,786.0","420,807.0","424,238.0","434,471.0","440,592.0","447,107.0","449,274.0","459,808.0","465,799.0","455,113.0","419,718.0","370,382.0","352,576.0","371,496.0","401,767.0","413,005.0","445,826.0","470,464.0","486,006.0","494,645.0","509,967.0","523,394.0","536,751.0","551,461.0","559,647.0","552,268.0","551,071.0","554,077.0","558,952.0","569,645.0","577,864.0","581,384.0","603,682.0","612,538.0"
"51","32","    Civilian aircraft, engines, and parts","B932RX1","33,193.0","34,121.0","37,834.0","35,359.0","33,936.0","35,804.0","37,971.0","42,925.0","43,232.0","42,761.0","42,057.0","44,154.0","38,608.0","33,348.0","30,004.0","35,027.0","31,017.0","31,563.0","29,980.0","33,968.0","27,260.0","31,351.0","30,388.0","34,622.0","31,829.0","34,662.0","29,362.0","30,472.0","33,788.0","32,671.0","32,043.0","35,515.0","37,778.0","39,342.0","38,849.0","38,513.0","40,328.0","40,599.0","36,024.0","33,102.0","30,646.0","31,881.0","29,606.0","30,598.0","29,333.0","29,917.0","30,958.0","31,730.0","32,478.0","32,347.0","32,440.0","36,019.0","32,886.0","35,045.0","36,463.0","38,544.0","39,299.0","40,222.0","42,199.0","42,372.0","44,352.0","45,860.0","48,142.0"
"52","33","    Computers, peripherals, and parts \2\","ZZZZZZ1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"53","34","    Other","B853RX1","175,948.0","186,108.0","194,500.0","205,093.0","216,478.0","234,230.0","243,412.0","243,407.0","230,642.0","199,846.0","185,724.0","178,587.0","182,827.0","195,334.0","198,223.0","196,171.0","198,543.0","203,356.0","205,049.0","215,657.0","230,570.0","240,653.0","247,848.0","251,725.0","256,141.0","269,629.0","273,038.0","281,277.0","288,392.0","295,479.0","301,207.0","300,964.0","300,968.0","308,794.0","316,582.0","317,062.0","321,735.0","324,204.0","320,997.0","302,842.0","259,158.0","235,938.0","243,994.0","257,694.0","268,743.0","294,678.0","317,632.0","334,684.0","343,064.0","349,351.0","356,598.0","368,353.0","382,381.0","388,347.0","387,003.0","378,126.0","381,809.0","388,107.0","392,960.0","395,795.0","406,989.0","423,707.0","427,377.0"
"54","35","  Automotive vehicles, engines, and parts","B651RX1","187,105.0","191,845.0","200,708.0","204,057.0","215,333.0","211,128.0","212,550.0","208,743.0","204,038.0","205,917.0","207,145.0","202,893.0","208,709.0","219,550.0","225,021.0","224,942.0","220,558.0","227,243.0","219,830.0","233,429.0","236,042.0","242,901.0","242,515.0","242,870.0","242,490.0","245,129.0","250,422.0","262,491.0","268,098.0","267,440.0","261,435.0","271,577.0","264,668.0","267,453.0","274,843.0","261,546.0","262,935.0","254,784.0","230,252.0","193,842.0","130,288.0","129,932.0","174,270.0","202,262.0","202,476.0","224,930.0","232,703.0","236,871.0","247,256.0","223,170.0","250,972.0","261,846.0","280,569.0","280,184.0","282,590.0","282,084.0","275,322.0","290,910.0","301,011.0","303,429.0","293,330.0","316,342.0","319,540.0"
"55","36","  Consumer goods, except food and automotive","A652RX1","235,762.0","241,908.0","254,797.0","265,613.0","276,833.0","291,762.0","299,085.0","307,531.0","304,274.0","300,198.0","296,902.0","292,891.0","304,034.0","325,638.0","337,888.0","341,652.0","347,955.0","350,044.0","356,778.0","371,477.0","377,568.0","399,445.0","396,463.0","412,113.0","425,631.0","430,575.0","426,182.0","432,580.0","448,431.0","456,238.0","466,161.0","482,042.0","496,769.0","488,392.0","483,176.0","491,312.0","493,469.0","495,780.0","492,890.0","453,776.0","423,788.0","419,582.0","426,670.0","449,368.0","455,292.0","478,107.0","503,905.0","504,325.0","508,515.0","513,097.0","504,698.0","503,250.0","494,265.0","501,960.0","507,317.0","508,162.0","507,970.0","518,341.0","520,621.0","527,272.0","522,926.0","543,123.0","537,425.0"
"56","37","    Durable goods","B697RX1","115,538.0","122,695.0","128,964.0","133,772.0","143,487.0","148,749.0","151,839.0","157,383.0","152,958.0","148,223.0","147,749.0","147,320.0","155,031.0","168,259.0","172,049.0","171,264.0","170,957.0","173,855.0","181,893.0","192,171.0","195,206.0","208,453.0","208,914.0","220,033.0","226,352.0","228,041.0","233,568.0","234,930.0","243,883.0","243,361.0","249,809.0","261,901.0","267,801.0","262,204.0","265,768.0","272,134.0","268,813.0","271,444.0","271,798.0","242,927.0","221,019.0","221,826.0","223,039.0","234,269.0","242,174.0","257,904.0","275,472.0","274,553.0","276,105.0","273,420.0","269,131.0","271,768.0","267,566.0","273,980.0","277,993.0","283,953.0","280,971.0","293,029.0","294,418.0","300,210.0","292,122.0","308,012.0","302,722.0"
"57","38","    Nondurable goods","B698RX1","120,933.0","119,518.0","126,182.0","132,271.0","133,411.0","143,317.0","147,614.0","150,403.0","151,815.0","152,706.0","149,776.0","146,063.0","149,359.0","157,594.0","166,243.0","170,967.0","177,791.0","176,865.0","175,301.0","179,586.0","182,659.0","191,231.0","187,705.0","192,128.0","199,358.0","202,640.0","192,534.0","197,615.0","204,504.0","212,964.0","216,403.0","220,072.0","228,954.0","226,201.0","217,279.0","219,014.0","224,581.0","224,249.0","220,977.0","210,835.0","202,760.0","197,756.0","203,633.0","215,105.0","213,144.0","220,282.0","228,618.0","229,930.0","232,558.0","239,653.0","235,549.0","231,605.0","226,833.0","228,224.0","229,630.0","224,859.0","227,456.0","226,267.0","227,173.0","228,219.0","231,427.0","236,224.0","235,588.0"
"58","39","  Other","A653RX1","79,947.0","82,016.0","83,399.0","81,778.0","87,235.0","84,959.0","98,369.0","95,417.0","90,017.0","95,043.0","94,394.0","94,460.0","93,577.0","96,083.0","97,692.0","98,095.0","90,011.0","93,316.0","88,332.0","93,577.0","87,480.0","89,229.0","94,709.0","93,029.0","98,975.0","91,240.0","95,831.0","92,598.0","97,123.0","102,712.0","91,196.0","89,153.0","101,308.0","95,393.0","96,162.0","87,464.0","87,309.0","88,402.0","82,283.0","79,931.0","82,399.0","81,991.0","79,002.0","76,562.0","88,544.0","81,573.0","85,307.0","106,727.0","87,245.0","98,279.0","88,113.0","90,170.0","94,723.0","98,720.0","97,358.0","90,396.0","99,204.0","108,112.0","94,014.0","92,249.0","98,341.0","101,158.0","99,632.0"
"59","40","Imports of services \1\","B656RX1","241,056.0","240,275.0","246,995.0","253,432.0","264,529.0","276,015.0","285,983.0","279,087.0","276,798.0","282,722.0","275,459.0","263,521.0","285,000.0","278,051.0","277,515.0","293,811.0","286,231.0","275,042.0","293,968.0","303,137.0","317,091.0","330,076.0","326,357.0","332,077.0","334,192.0","340,295.0","341,735.0","348,205.0","364,695.0","367,741.0","364,688.0","384,783.0","388,714.0","393,962.0","395,668.0","395,637.0","407,791.0","404,198.0","406,771.0","414,215.0","392,624.0","390,045.0","391,940.0","396,925.0","397,195.0","402,747.0","414,578.0","416,569.0","408,657.0","423,453.0","432,395.0","432,374.0","433,245.0","437,544.0","440,101.0","443,754.0","439,153.0","448,172.0","451,228.0","455,099.0","456,253.0","462,549.0","463,738.0"
"60","41","  Transport","Y804RX1","67,411.0","64,721.0","66,413.0","67,644.0","69,688.0","71,734.0","75,065.0","71,799.0","70,140.0","69,202.0","64,603.0","59,990.0","61,036.0","63,715.0","63,313.0","66,736.0","66,589.0","63,782.0","65,578.0","66,000.0","71,505.0","73,035.0","74,022.0","75,012.0","78,817.0","76,833.0","75,180.0","77,503.0","76,720.0","79,416.0","80,656.0","81,352.0","78,762.0","82,225.0","82,174.0","79,954.0","80,760.0","78,630.0","76,726.0","74,426.0","65,348.0","62,954.0","64,235.0","63,993.0","66,101.0","68,457.0","70,704.0","67,883.0","69,868.0","69,636.0","70,801.0","71,721.0","72,376.0","72,520.0","72,487.0","72,704.0","75,790.0","76,505.0","77,168.0","77,753.0","76,145.0","77,824.0","78,223.0"
"61","42","  Travel (for all purposes including education)","Y805RX1","85,215.0","83,422.0","85,532.0","88,328.0","92,296.0","99,064.0","100,111.0","94,970.0","93,544.0","96,600.0","91,656.0","77,398.0","90,712.0","85,650.0","78,400.0","87,092.0","81,493.0","73,001.0","86,263.0","84,655.0","89,980.0","97,300.0","92,271.0","88,041.0","94,251.0","95,336.0","92,659.0","92,833.0","93,932.0","93,931.0","92,351.0","95,426.0","95,396.0","91,806.0","90,767.0","89,760.0","93,898.0","88,634.0","87,553.0","87,859.0","82,788.0","78,217.0","82,889.0","81,791.0","83,660.0","84,577.0","85,647.0","85,299.0","81,598.0","86,061.0","85,748.0","88,423.0","94,049.0","95,714.0","95,827.0","96,164.0","96,437.0","97,722.0","98,038.0","99,784.0","100,327.0","105,167.0","105,830.0"
"62","43","  Charges for the use of intellectual property n.e.c.","B908RX1","16,150.0","16,749.0","17,013.0","17,827.0","18,997.0","19,302.0","23,108.0","21,053.0","20,297.0","19,937.0","19,974.0","20,870.0","23,819.0","22,968.0","24,194.0","22,477.0","21,385.0","21,962.0","23,315.0","23,581.0","24,563.0","25,818.0","28,968.0","28,370.0","26,671.0","28,297.0","29,524.0","27,657.0","26,721.0","24,917.0","24,203.0","30,377.0","27,235.0","27,104.0","26,859.0","27,922.0","29,103.0","28,274.0","31,857.0","28,970.0","30,416.0","30,859.0","30,610.0","33,302.0","33,653.0","29,754.0","31,578.0","33,240.0","33,831.0","32,619.0","35,499.0","36,703.0","35,588.0","36,983.0","37,558.0","39,079.0","37,474.0","36,394.0","35,174.0","36,579.0","39,870.0","37,860.0","37,684.0"
"63","44","  Other business services \4\","Y806RX1","49,566.0","51,038.0","53,215.0","55,134.0","57,897.0","59,640.0","60,474.0","63,437.0","64,805.0","68,063.0","69,063.0","69,811.0","73,478.0","70,453.0","74,097.0","79,069.0","78,723.0","78,378.0","79,675.0","87,158.0","90,985.0","93,237.0","91,284.0","100,693.0","95,731.0","99,970.0","104,806.0","110,434.0","126,367.0","130,822.0","129,345.0","139,583.0","148,890.0","154,671.0","159,060.0","162,549.0","169,430.0","175,680.0","177,326.0","185,261.0","175,612.0","179,900.0","177,232.0","181,218.0","176,278.0","181,039.0","186,699.0","192,915.0","186,284.0","200,035.0","205,167.0","200,123.0","196,231.0","197,909.0","200,127.0","203,693.0","198,208.0","206,232.0","210,597.0","211,751.0","211,716.0","213,561.0","214,116.0"
"64","45","  Government goods and services n.e.c.","Y807RX1","23,764.0","24,776.0","25,023.0","24,265.0","25,453.0","26,882.0","28,014.0","26,490.0","25,902.0","26,752.0","27,195.0","31,377.0","33,498.0","32,628.0","33,127.0","34,429.0","33,235.0","31,934.0","34,991.0","36,537.0","34,260.0","35,397.0","33,788.0","32,859.0","32,355.0","33,684.0","33,258.0","33,221.0","34,313.0","31,380.0","30,601.0","30,056.0","30,406.0","29,997.0","28,729.0","27,605.0","27,009.0","26,061.0","26,761.0","31,385.0","32,431.0","31,940.0","30,849.0","30,621.0","31,435.0","32,924.0","34,034.0","31,752.0","31,257.0","29,875.0","30,037.0","29,809.0","29,082.0","28,486.0","28,250.0","26,312.0","24,771.0","25,243.0","24,435.0","23,382.0","22,553.0","22,387.0","22,138.0"
"65","46","  Other","B910RX1","6,036.0","5,996.0","6,042.0","6,193.0","6,316.0","6,448.0","6,528.0","6,594.0","6,668.0","6,700.0","6,759.0","6,847.0","6,792.0","6,768.0","6,786.0","6,796.0","6,743.0","6,749.0","6,767.0","6,901.0","6,913.0","6,992.0","7,066.0","7,066.0","6,675.0","6,675.0","6,592.0","6,559.0","6,520.0","6,540.0","6,635.0","6,829.0","6,888.0","6,912.0","6,901.0","6,808.0","6,611.0","6,406.0","6,160.0","6,212.0","6,225.0","6,192.0","6,037.0","5,875.0","5,900.0","5,815.0","5,739.0","5,667.0","5,576.0","5,500.0","5,521.0","5,606.0","5,639.0","5,645.0","5,649.0","5,627.0","5,584.0","5,586.0","5,531.0","5,493.0","5,435.0","5,379.0","5,351.0"
"66","47","Residual","A978RX1","-60,100.0","-42,700.0","-37,000.0","-24,400.0","-29,400.0","-20,500.0","-18,300.0","-21,500.0","-33,300.0","-35,400.0","-33,300.0","-40,400.0","-25,600.0","-21,000.0","-15,900.0","-25,500.0","-17,100.0","-23,100.0","-24,800.0","-12,200.0","-15,800.0","-8,900.0","-6,800.0","-7,700.0","-5,900.0","-3,900.0","-1,500.0","100.0","-1,200.0","500.0","3,800.0","300.0","-700.0","-500.0","-1,700.0","-200.0","-3,300.0","-8,300.0","-7,100.0","6,200.0","1,100.0","1,900.0","800.0","-3,500.0","-2,100.0","-2,700.0","-5,400.0","-12,500.0","-8,600.0","-14,200.0","-21,500.0","-22,600.0","-32,800.0","-33,600.0","-36,600.0","-41,200.0","-43,100.0","-45,800.0","-51,200.0","-56,700.0","-50,100.0","-63,900.0","-67,300.0"
"67",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","48","  Exports of durable goods","A332RX1","515,699.0","521,289.0","539,355.0","558,835.0","574,560.0","597,315.0","616,146.0","608,998.0","597,758.0","564,778.0","526,821.0","508,697.0","504,240.0","525,033.0","530,652.0","514,855.0","511,421.0","516,169.0","526,231.0","558,104.0","571,999.0","583,977.0","591,195.0","596,805.0","612,496.0","634,069.0","644,439.0","673,045.0","696,580.0","705,571.0","706,662.0","731,508.0","742,873.0","758,922.0","781,756.0","799,619.0","811,029.0","840,136.0","835,917.0","753,820.0","655,052.0","636,651.0","671,643.0","723,232.0","744,941.0","781,519.0","795,514.0","817,383.0","828,713.0","849,478.0","859,218.0","870,680.0","893,606.0","890,661.0","892,647.0","888,131.0","887,458.0","913,293.0","910,535.0","922,302.0","913,114.0","939,527.0","959,713.0"
"69","49","  Exports of nondurable goods","A339RX1","280,936.0","287,253.0","288,633.0","295,079.0","294,541.0","296,426.0","311,319.0","305,394.0","303,670.0","303,359.0","295,609.0","297,686.0","301,942.0","308,401.0","307,444.0","304,963.0","311,934.0","306,090.0","313,577.0","316,322.0","319,083.0","320,024.0","321,049.0","333,291.0","334,632.0","341,935.0","328,946.0","327,121.0","348,375.0","354,549.0","354,979.0","362,728.0","365,858.0","366,989.0","377,322.0","385,508.0","403,718.0","412,635.0","409,013.0","391,449.0","372,843.0","384,154.0","399,046.0","417,844.0","428,781.0","423,522.0","435,224.0","448,622.0","446,614.0","443,141.0","444,821.0","458,129.0","443,691.0","461,528.0","465,966.0","460,275.0","458,229.0","460,840.0","480,209.0","510,483.0","478,167.0","498,348.0","504,920.0"
"70","50","  Exports of agricultural goods \5\","B181RX1","72,248.0","77,168.0","82,301.0","78,754.0","81,654.0","81,349.0","87,684.0","82,680.0","84,974.0","86,000.0","85,246.0","87,356.0","86,975.0","85,862.0","81,956.0","79,986.0","83,766.0","83,315.0","87,431.0","84,781.0","80,508.0","75,322.0","78,853.0","86,698.0","84,425.0","84,942.0","82,351.0","85,742.0","91,013.0","92,789.0","91,224.0","90,849.0","91,592.0","94,281.0","102,153.0","103,500.0","106,330.0","105,880.0","103,130.0","102,022.0","96,687.0","100,219.0","99,791.0","107,223.0","112,118.0","105,615.0","111,532.0","117,954.0","114,584.0","110,406.0","106,280.0","110,005.0","106,939.0","113,995.0","118,271.0","105,822.0","109,598.0","103,428.0","110,488.0","127,842.0","119,878.0","114,203.0","112,120.0"
"71","51","  Exports of nonagricultural goods","A182RX1","721,656.0","729,024.0","745,755.0","774,145.0","788,329.0","814,085.0","841,663.0","832,779.0","817,956.0","782,217.0","736,293.0","717,143.0","715,984.0","744,090.0","752,186.0","734,995.0","734,434.0","734,866.0","748,431.0","786,156.0","806,412.0","824,057.0","829,305.0","839,750.0","858,975.0","887,273.0","887,955.0","912,294.0","951,366.0","964,664.0","967,397.0","999,966.0","1,013,901.0","1,028,656.0","1,054,250.0","1,078,596.0","1,105,615.0","1,143,665.0","1,138,647.0","1,042,061.0","930,964.0","920,455.0","971,068.0","1,034,060.0","1,061,831.0","1,098,535.0","1,118,474.0","1,147,162.0","1,159,483.0","1,179,790.0","1,195,451.0","1,217,207.0","1,225,721.0","1,235,344.0","1,237,224.0","1,241,410.0","1,233,716.0","1,268,497.0","1,279,491.0","1,304,776.0","1,268,505.0","1,323,286.0","1,352,388.0"
"72","52","  Imports of durable goods","A333RX1","679,428.0","711,404.0","741,151.0","765,558.0","800,409.0","827,060.0","854,599.0","855,331.0","824,330.0","782,471.0","765,528.0","756,275.0","781,597.0","817,039.0","829,615.0","832,864.0","823,888.0","840,868.0","842,972.0","893,787.0","914,574.0","964,019.0","986,307.0","1,012,352.0","1,023,043.0","1,042,961.0","1,053,526.0","1,087,067.0","1,131,925.0","1,140,719.0","1,147,393.0","1,160,758.0","1,172,511.0","1,173,974.0","1,185,646.0","1,165,678.0","1,179,214.0","1,175,561.0","1,137,800.0","1,023,412.0","867,600.0","834,456.0","898,891.0","974,163.0","1,006,172.0","1,081,193.0","1,133,213.0","1,160,240.0","1,177,659.0","1,175,521.0","1,206,586.0","1,231,660.0","1,274,169.0","1,288,315.0","1,284,778.0","1,284,586.0","1,288,262.0","1,324,065.0","1,339,822.0","1,354,891.0","1,352,152.0","1,423,930.0","1,428,758.0"
"73","53","  Imports of nondurable goods","A340RX1","559,173.0","563,709.0","582,181.0","586,268.0","602,643.0","614,656.0","637,182.0","643,137.0","653,395.0","642,912.0","634,123.0","633,905.0","628,651.0","652,351.0","667,328.0","689,035.0","680,090.0","704,218.0","706,104.0","705,099.0","730,216.0","745,278.0","745,269.0","761,852.0","774,428.0","771,425.0","764,313.0","789,211.0","775,888.0","791,542.0","805,148.0","778,227.0","800,111.0","804,336.0","790,808.0","781,574.0","780,367.0","768,140.0","755,371.0","760,616.0","726,260.0","680,556.0","685,777.0","693,472.0","714,433.0","736,358.0","752,082.0","740,386.0","748,617.0","753,675.0","739,188.0","742,199.0","718,112.0","723,888.0","721,669.0","701,074.0","700,668.0","708,070.0","696,741.0","689,199.0","701,825.0","699,197.0","689,746.0"
"74","54","  Imports of nonpetroleum goods","A187RX1","990,766.0","1,029,259.0","1,071,993.0","1,105,093.0","1,145,940.0","1,184,235.0","1,226,988.0","1,228,089.0","1,196,252.0","1,151,690.0","1,133,197.0","1,118,897.0","1,146,970.0","1,198,140.0","1,222,345.0","1,233,934.0","1,224,208.0","1,247,542.0","1,249,558.0","1,307,128.0","1,336,161.0","1,403,978.0","1,425,293.0","1,455,449.0","1,481,878.0","1,501,067.0","1,505,248.0","1,551,404.0","1,601,255.0","1,621,951.0","1,625,523.0","1,641,747.0","1,671,505.0","1,673,146.0","1,677,687.0","1,645,321.0","1,664,219.0","1,659,558.0","1,614,077.0","1,476,929.0","1,299,318.0","1,249,903.0","1,325,126.0","1,415,987.0","1,459,939.0","1,542,373.0","1,607,392.0","1,642,632.0","1,654,880.0","1,668,807.0","1,691,190.0","1,718,839.0","1,751,484.0","1,769,047.0","1,775,278.0","1,761,252.0","1,774,809.0","1,814,115.0","1,825,223.0","1,838,911.0","1,838,544.0","1,929,386.0","1,932,051.0"
"75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the federal government, are included ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
