"","Table 4#2#5# Exports and Imports of Goods and Services by Type o","F2","F3","F4","F5","F6"
"31","13","    Durable goods","B690RC1","890.0","990.0","1,190.0"
"32","14","    Nondurable goods","B691RC1","1,221.0","1,344.0","1,414.0"
"33","15","  Other \2\","A643RC1","2,720.0","2,972.0","3,408.0"
"34","16","Exports of services \1\","A646RC1","10,920.0","12,185.0","13,178.0"
"35","17","  Transport","Y800RC1","2,797.0","2,960.0","3,102.0"
"36","18","  Travel (for all purposes including education)","Y801RC1","1,646.0","1,775.0","2,043.0"
"37","19","  Charges for the use of intellectual property n.e.c.","B684RC1","1,747.0","1,867.0","2,019.0"
"38","20","  Other business services \3\","Y802RC1","738.0","801.0","924.0"
"39","21","  Government goods and services n.e.c.","Y803RC1","3,154.0","3,834.0","3,998.0"
"40","22","  Other","B980RC1","838.0","948.0","1,092.0"
"41","23","    Imports of goods and services","B021RC1","39,912.0","46,556.0","50,491.0"
"42","24","Imports of goods \1\","A255RC1","27,761.0","33,946.0","36,813.0"
"43","25","  Foods, feeds, and beverages","B647RC1","4,586.0","5,271.0","5,236.0"
"44","26","  Industrial supplies and materials, except petroleum and products","A649RC1","9,949.0","12,027.0","11,658.0"
"45","27","    Durable goods","A820RC1","6,004.0","7,644.0","7,147.0"
"46","28","    Nondurable goods","B696RC1","3,945.0","4,383.0","4,511.0"
"47","29","  Petroleum and products","B648RC1","2,091.0","2,384.0","2,649.0"
"48","30","  Capital goods, except automotive","A650RC1","2,454.0","2,840.0","3,422.0"
"49","31","    Civilian aircraft, engines, and parts","B932RC1","130.0","188.0","177.0"
"50","32","    Computers, peripherals, and parts","B852RC1",".....",".....","....."
"51","33","    Other","B853RC1","2,249.0","2,562.0","3,110.0"
"52","34","  Automotive vehicles, engines, and parts","B651RC1","2,442.0","3,956.0","5,057.0"
"53","35","  Consumer goods, except food and automotive","A652RC1","4,213.0","5,375.0","6,487.0"
"54","36","    Durable goods","B697RC1","2,633.0","3,339.0","3,979.0"
"55","37","    Nondurable goods","B698RC1","1,580.0","2,036.0","2,508.0"
"56","38","  Other","A653RC1","2,026.0","2,093.0","2,304.0"
"57","39","Imports of services \1\","B656RC1","12,151.0","12,610.0","13,678.0"
"58","40","  Transport","Y804RC1","2,987.0","3,252.0","3,536.0"
"59","41","  Travel (for all purposes including education)","Y805RC1","3,207.0","3,030.0","3,373.0"
"60","42","  Charges for the use of intellectual property n.e.c.","B908RC1","167.0","186.0","223.0"
"61","43","  Other business services \3\","Y806RC1","410.0","487.0","569.0"
"62","44","  Government goods and services n.e.c.","Y807RC1","4,939.0","5,165.0","5,442.0"
"63","45","  Other","B910RC1","441.0","490.0","535.0"
"64",NA,"Addenda:"," ",NA,NA,NA
"65","46","  Exports of durable goods","A332RC1","18,625.0","21,222.0","23,927.0"
"66","47","  Exports of nondurable goods","A339RC1","13,921.0","14,500.0","14,817.0"
"67","48","  Exports of agricultural goods \4\","B181RC1","6,453.0","6,297.0","6,095.0"
"68","49","  Exports of nonagricultural goods","A182RC1","26,093.0","29,425.0","32,649.0"
"69","50","  Imports of durable goods","A333RC1","14,546.0","18,826.0","20,757.0"
"70","51","  Imports of nondurable goods","A340RC1","13,215.0","15,120.0","16,056.0"
"71","52","  Imports of nonpetroleum goods","A187RC1","25,670.0","31,562.0","34,164.0"
"72",NA,NA,NA,NA,NA,NA
"73","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA
"74","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the federal government, are included ",NA,NA,NA,NA,NA
"75","in services.",NA,NA,NA,NA,NA
"76","Beginning with 1986, repairs and alterations of equipment are reclassified from goods to services.",NA,NA,NA,NA,NA
"77","2. Includes net exports of goods under merchanting, beginning in 1999, reclassified from services to goods.",NA,NA,NA,NA,NA
"78","3. Includes maintenance and repair services, insurance services, financial services, telecommunication, computer and information ",NA,NA,NA,NA,NA
"79","services and",NA,NA,NA,NA,NA
"80","other other business services.",NA,NA,NA,NA,NA
"81","4. Includes parts of foods, feeds, and beverages, of nondurable industrial supplies and materials, and of nondurable ",NA,NA,NA,NA,NA
"82","nonautomotive consumer goods.",NA,NA,NA,NA,NA
