"","Table 7#23# Transactions of Federal Government Defined Benefit P","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"29","11","      Actual household contributions","Y276RC1","1,535.0","1,887.0","1,988.0","2,144.0","2,246.0","2,456.0","2,658.0","2,866.0","3,040.0","3,269.0","3,496.0","3,776.0","4,013.0","4,274.0","4,455.0","4,661.0","4,784.0","4,734.0","4,680.0","4,509.0","4,504.0","4,522.0","4,571.0","4,816.0","4,737.0","4,623.0","4,555.0","4,530.0","4,490.0","4,338.0","4,562.0","4,756.0","4,692.0","4,641.0","4,644.0","4,645.0","4,482.0","4,376.0","4,280.0","4,253.0","4,196.0","4,083.0","3,967.0","3,746.0","3,532.0"
"30","12","        Civilian \2\","Y277RC1","1,535.0","1,887.0","1,988.0","2,144.0","2,246.0","2,456.0","2,658.0","2,866.0","3,040.0","3,269.0","3,496.0","3,776.0","4,013.0","4,274.0","4,455.0","4,661.0","4,784.0","4,734.0","4,680.0","4,509.0","4,504.0","4,522.0","4,571.0","4,816.0","4,737.0","4,623.0","4,555.0","4,530.0","4,490.0","4,338.0","4,562.0","4,756.0","4,692.0","4,641.0","4,644.0","4,645.0","4,482.0","4,376.0","4,280.0","4,253.0","4,196.0","4,083.0","3,967.0","3,746.0","3,532.0"
"31","13","        Military \3\","Y278RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"32","14","      Less: Pension service charges \1\","Y296RC1","5.0","7.0","8.0","8.0","10.0","13.0","14.0","17.0","19.0","22.0","27.0","27.0","31.0","33.0","46.0","43.0","45.0","45.0","43.0","60.0","62.0","67.0","64.0","71.0","78.0","76.0","88.0","96.0","103.0","100.0","102.0","90.0","120.0","128.0","116.0","124.0","152.0","81.0","79.0","128.0","142.0","136.0","140.0","139.0","116.0"
"33","15","    Household pension contribution supplements \4\","Y279RC1","12,530.0","16,692.0","18,674.0","20,376.0","22,161.0","23,987.0","25,852.0","27,765.0","31,054.0","37,210.0","40,065.0","43,007.0","46,050.0","49,250.0","52,604.0","56,172.0","60,019.0","64,114.0","68,254.0","72,389.0","76,652.0","81,019.0","85,512.0","90,173.0","94,413.0","97,730.0","101,752.0","104,860.0","109,232.0","113,204.0","115,720.0","118,546.0","121,873.0","122,676.0","127,315.0","132,183.0","136,526.0","139,544.0","143,655.0","145,131.0","145,568.0","147,958.0","153,994.0","158,630.0","163,368.0"
"34","16","  Income receipts on assets (including plans' claims on employers)","Y279RC1","12,530.0","16,692.0","18,674.0","20,376.0","22,161.0","23,987.0","25,852.0","27,765.0","31,054.0","37,210.0","40,065.0","43,007.0","46,050.0","49,250.0","52,604.0","56,172.0","60,019.0","64,114.0","68,254.0","72,389.0","76,652.0","81,019.0","85,512.0","90,173.0","94,413.0","97,730.0","101,752.0","104,860.0","109,232.0","113,204.0","115,720.0","118,546.0","121,873.0","122,676.0","127,315.0","132,183.0","136,526.0","139,544.0","143,655.0","145,131.0","145,568.0","147,958.0","153,994.0","158,630.0","163,368.0"
"35","17","    Interest","Y280RC1","12,530.0","16,692.0","18,674.0","20,376.0","22,161.0","23,987.0","25,852.0","27,765.0","31,054.0","37,210.0","40,065.0","43,007.0","46,050.0","49,250.0","52,604.0","56,172.0","60,019.0","64,114.0","68,254.0","72,389.0","76,652.0","81,019.0","85,512.0","90,173.0","94,413.0","97,730.0","101,752.0","104,860.0","109,232.0","113,204.0","115,720.0","118,546.0","121,873.0","122,676.0","127,315.0","132,183.0","136,526.0","139,544.0","143,655.0","145,131.0","145,568.0","147,958.0","153,994.0","158,630.0","163,368.0"
"36","18","      Monetary interest","Y281RC1","889.0","1,109.0","1,366.0","1,516.0","1,689.0","1,992.0","2,305.0","2,646.0","2,925.0","3,438.0","4,300.0","5,192.0","6,514.0","8,354.0","10,214.0","12,638.0","15,673.0","18,072.0","20,519.0","23,785.0","26,338.0","29,426.0","32,098.0","34,551.0","36,351.0","38,231.0","39,820.0","42,126.0","43,612.0","46,479.0","46,197.0","48,074.0","49,229.0","49,082.0","48,181.0","46,972.0","49,582.0","47,907.0","50,001.0","51,324.0","45,721.0","48,668.0","54,855.0","54,369.0","52,682.0"
"37","19","      Imputed interest on plans' claims on employers \5\","Y282RC1","11,641.0","15,583.0","17,308.0","18,860.0","20,472.0","21,995.0","23,547.0","25,119.0","28,129.0","33,772.0","35,765.0","37,815.0","39,536.0","40,896.0","42,390.0","43,534.0","44,346.0","46,042.0","47,735.0","48,604.0","50,314.0","51,593.0","53,414.0","55,622.0","58,062.0","59,499.0","61,932.0","62,734.0","65,620.0","66,725.0","69,523.0","70,472.0","72,644.0","73,594.0","79,134.0","85,211.0","86,944.0","91,637.0","93,654.0","93,807.0","99,847.0","99,290.0","99,139.0","104,261.0","110,686.0"
"38","20","    Dividends","ZZZZZZ1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"39","21","Current expenditures, accrual basis","Y284RC1","38,187.0","48,260.0","54,534.0","58,983.0","63,326.0","68,061.0","73,024.0","78,043.0","86,041.0","100,100.0","107,575.0","116,087.0","125,367.0","133,923.0","141,529.0","150,834.0","160,956.0","169,357.0","174,505.0","183,675.0","192,713.0","201,073.0","211,423.0","219,943.0","224,288.0","230,312.0","237,179.0","242,286.0","250,952.0","258,895.0","264,787.0","271,565.0","279,622.0","283,728.0","295,539.0","306,723.0","316,840.0","323,239.0","333,502.0","340,412.0","345,287.0","357,581.0","370,942.0","381,157.0","390,452.0"
"40","22","  Administrative expenses","Y296RC1","5.0","7.0","8.0","8.0","10.0","13.0","14.0","17.0","19.0","22.0","27.0","27.0","31.0","33.0","46.0","43.0","45.0","45.0","43.0","60.0","62.0","67.0","64.0","71.0","78.0","76.0","88.0","96.0","103.0","100.0","102.0","90.0","120.0","128.0","116.0","124.0","152.0","81.0","79.0","128.0","142.0","136.0","140.0","139.0","116.0"
"41","23","  Imputed income payments on assets to persons","Y286RC1","12,530.0","16,692.0","18,674.0","20,376.0","22,161.0","23,987.0","25,852.0","27,765.0","31,054.0","37,210.0","40,065.0","43,007.0","46,050.0","49,250.0","52,604.0","56,172.0","60,019.0","64,114.0","68,254.0","72,389.0","76,652.0","81,019.0","85,512.0","90,173.0","94,413.0","97,730.0","101,752.0","104,860.0","109,232.0","113,204.0","115,720.0","118,546.0","121,873.0","122,676.0","127,315.0","132,183.0","136,526.0","139,544.0","143,655.0","145,131.0","145,568.0","147,958.0","153,994.0","158,630.0","163,368.0"
"42","24","    Interest","Y287RC1","12,530.0","16,692.0","18,674.0","20,376.0","22,161.0","23,987.0","25,852.0","27,765.0","31,054.0","37,210.0","40,065.0","43,007.0","46,050.0","49,250.0","52,604.0","56,172.0","60,019.0","64,114.0","68,254.0","72,389.0","76,652.0","81,019.0","85,512.0","90,173.0","94,413.0","97,730.0","101,752.0","104,860.0","109,232.0","113,204.0","115,720.0","118,546.0","121,873.0","122,676.0","127,315.0","132,183.0","136,526.0","139,544.0","143,655.0","145,131.0","145,568.0","147,958.0","153,994.0","158,630.0","163,368.0"
"43","25","    Dividends","ZZZZZZ1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"44","26","  Benefit payments and withdrawals","Y293RC1","5,258.0","6,235.0","7,250.0","8,407.0","9,850.0","12,074.0","14,714.0","16,731.0","18,636.0","20,956.0","23,914.0","28,290.0","32,584.0","35,687.0","37,902.0","37,867.0","41,579.0","42,783.0","45,455.0","48,693.0","51,278.0","54,390.0","58,034.0","59,869.0","62,615.0","64,993.0","68,147.0","70,511.0","74,085.0","76,236.0","77,786.0","80,450.0","84,303.0","86,628.0","88,561.0","92,498.0","97,103.0","102,959.0","108,769.0","114,267.0","122,082.0","123,636.0","125,220.0","131,715.0","135,548.0"
"45","27","    Civilian \2\","Y294RC1","2,573.0","3,047.0","3,532.0","4,197.0","5,104.0","6,362.0","7,825.0","8,960.0","10,047.0","11,416.0","13,132.0","15,706.0","18,432.0","20,181.0","21,466.0","22,384.0","23,833.0","24,676.0","26,797.0","28,898.0","30,318.0","32,170.0","34,170.0","34,674.0","36,088.0","37,534.0","39,510.0","40,821.0","42,948.0","44,236.0","45,049.0","46,671.0","49,074.0","50,631.0","52,033.0","54,201.0","56,882.0","60,319.0","63,532.0","66,025.0","70,622.0","71,686.0","72,814.0","77,145.0","80,079.0"
"46","28","    Military \3\","Y295RC1","2,685.0","3,188.0","3,718.0","4,210.0","4,746.0","5,712.0","6,889.0","7,771.0","8,589.0","9,540.0","10,782.0","12,584.0","14,152.0","15,506.0","16,436.0","15,483.0","17,746.0","18,107.0","18,658.0","19,795.0","20,960.0","22,220.0","23,864.0","25,195.0","26,527.0","27,459.0","28,637.0","29,690.0","31,137.0","32,000.0","32,737.0","33,779.0","35,229.0","35,997.0","36,528.0","38,297.0","40,221.0","42,640.0","45,237.0","48,242.0","51,460.0","51,950.0","52,406.0","54,570.0","55,469.0"
"47","29","  Net change in benefit entitlements \6\","Y289RC1","20,394.0","25,326.0","28,602.0","30,192.0","31,305.0","31,987.0","32,444.0","33,530.0","36,332.0","41,912.0","43,569.0","44,763.0","46,702.0","48,953.0","50,977.0","56,752.0","59,313.0","62,415.0","60,753.0","62,533.0","64,721.0","65,597.0","67,813.0","69,830.0","67,182.0","67,513.0","67,192.0","66,819.0","67,532.0","69,355.0","71,179.0","72,479.0","73,326.0","74,296.0","79,547.0","81,918.0","83,059.0","80,655.0","80,999.0","80,886.0","77,495.0","85,851.0","91,588.0","90,673.0","91,420.0"
"48","30","Cash flow","Y290RC1","1,445.0","1,977.0","3,011.0","2,867.0","2,283.0","2,966.0","4,033.0","4,605.0","6,926.0","6,544.0","7,782.0","9,136.0","10,795.0","12,331.0","14,380.0","26,853.0","30,001.0","31,716.0","32,725.0","32,968.0","34,563.0","34,930.0","37,703.0","39,632.0","36,907.0","35,933.0","33,215.0","37,407.0","36,797.0","37,436.0","36,745.0","38,820.0","38,044.0","39,165.0","34,563.0","40,303.0","41,945.0","40,512.0","59,566.0","64,943.0","64,343.0","73,698.0","82,784.0","82,492.0","80,489.0"
"49","31","  Actual employer and household contributions (5+11)","Y291RC1","5,819.0","7,110.0","8,903.0","9,766.0","10,454.0","13,061.0","16,456.0","18,707.0","22,656.0","24,084.0","27,423.0","32,261.0","36,896.0","39,697.0","42,114.0","52,125.0","55,952.0","56,472.0","57,704.0","57,936.0","59,565.0","59,961.0","63,703.0","65,021.0","63,249.0","62,771.0","61,630.0","65,888.0","67,373.0","67,293.0","68,436.0","71,286.0","73,238.0","76,839.0","75,059.0","85,953.0","89,618.0","95,645.0","118,413.0","128,014.0","140,846.0","148,802.0","153,289.0","159,977.0","163,471.0"
"50","32","  Monetary income receipts on assets (18+20)","Y292RC1","889.0","1,109.0","1,366.0","1,516.0","1,689.0","1,992.0","2,305.0","2,646.0","2,925.0","3,438.0","4,300.0","5,192.0","6,514.0","8,354.0","10,214.0","12,638.0","15,673.0","18,072.0","20,519.0","23,785.0","26,338.0","29,426.0","32,098.0","34,551.0","36,351.0","38,231.0","39,820.0","42,126.0","43,612.0","46,479.0","46,197.0","48,074.0","49,229.0","49,082.0","48,181.0","46,972.0","49,582.0","47,907.0","50,001.0","51,324.0","45,721.0","48,668.0","54,855.0","54,369.0","52,682.0"
"51","33","  Less: Benefit payments and withdrawals","Y293RC1","5,258.0","6,235.0","7,250.0","8,407.0","9,850.0","12,074.0","14,714.0","16,731.0","18,636.0","20,956.0","23,914.0","28,290.0","32,584.0","35,687.0","37,902.0","37,867.0","41,579.0","42,783.0","45,455.0","48,693.0","51,278.0","54,390.0","58,034.0","59,869.0","62,615.0","64,993.0","68,147.0","70,511.0","74,085.0","76,236.0","77,786.0","80,450.0","84,303.0","86,628.0","88,561.0","92,498.0","97,103.0","102,959.0","108,769.0","114,267.0","122,082.0","123,636.0","125,220.0","131,715.0","135,548.0"
"52","34","    Civilian \2\","Y294RC1","2,573.0","3,047.0","3,532.0","4,197.0","5,104.0","6,362.0","7,825.0","8,960.0","10,047.0","11,416.0","13,132.0","15,706.0","18,432.0","20,181.0","21,466.0","22,384.0","23,833.0","24,676.0","26,797.0","28,898.0","30,318.0","32,170.0","34,170.0","34,674.0","36,088.0","37,534.0","39,510.0","40,821.0","42,948.0","44,236.0","45,049.0","46,671.0","49,074.0","50,631.0","52,033.0","54,201.0","56,882.0","60,319.0","63,532.0","66,025.0","70,622.0","71,686.0","72,814.0","77,145.0","80,079.0"
"53","35","    Military \3\","Y295RC1","2,685.0","3,188.0","3,718.0","4,210.0","4,746.0","5,712.0","6,889.0","7,771.0","8,589.0","9,540.0","10,782.0","12,584.0","14,152.0","15,506.0","16,436.0","15,483.0","17,746.0","18,107.0","18,658.0","19,795.0","20,960.0","22,220.0","23,864.0","25,195.0","26,527.0","27,459.0","28,637.0","29,690.0","31,137.0","32,000.0","32,737.0","33,779.0","35,229.0","35,997.0","36,528.0","38,297.0","40,221.0","42,640.0","45,237.0","48,242.0","51,460.0","51,950.0","52,406.0","54,570.0","55,469.0"
"54","36","  Less: Administrative expenses","Y296RC1","5.0","7.0","8.0","8.0","10.0","13.0","14.0","17.0","19.0","22.0","27.0","27.0","31.0","33.0","46.0","43.0","45.0","45.0","43.0","60.0","62.0","67.0","64.0","71.0","78.0","76.0","88.0","96.0","103.0","100.0","102.0","90.0","120.0","128.0","116.0","124.0","152.0","81.0","79.0","128.0","142.0","136.0","140.0","139.0","116.0"
"55",NA,"Effect of participation in defined benefit plans on personal income, saving, and wealth:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","37","Effect on personal income (1-11-15 or 21-11-15)","Y297RC1","24,122.0","29,681.0","33,872.0","36,463.0","38,919.0","41,618.0","44,514.0","47,412.0","51,947.0","59,621.0","64,014.0","69,304.0","75,304.0","80,399.0","84,470.0","90,001.0","96,153.0","100,509.0","101,571.0","106,777.0","111,557.0","115,532.0","121,340.0","124,954.0","125,138.0","127,959.0","130,872.0","132,896.0","137,230.0","141,353.0","144,505.0","148,263.0","153,057.0","156,411.0","163,580.0","169,895.0","175,832.0","179,319.0","185,567.0","191,028.0","195,523.0","205,540.0","212,981.0","218,781.0","223,552.0"
"57","38","Less: Effect on personal consumption expenditures (2)","Y296RC1","5.0","7.0","8.0","8.0","10.0","13.0","14.0","17.0","19.0","22.0","27.0","27.0","31.0","33.0","46.0","43.0","45.0","45.0","43.0","60.0","62.0","67.0","64.0","71.0","78.0","76.0","88.0","96.0","103.0","100.0","102.0","90.0","120.0","128.0","116.0","124.0","152.0","81.0","79.0","128.0","142.0","136.0","140.0","139.0","116.0"
