"","Table 1#7#5# Relation of Gross Domestic Product, Gross National ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","Equals: Gross national product","A001RC1",104.4,91.9,77,59.1,56.7,66.3,73.6,84,92.2,86.5,92.5,101.7,127.2,162.3,198.9,220.1,223.3,222.9,245.2,270.6,268.5,295.2,341.2,360.3,381.2,382.4,417.2,440.2,464.1,469.8,509.4,529.6,548.3,589.7,622.2,668.6,724.4,792.8,837.8,915.9,990.5
"12","5","Less: Consumption of fixed capital","A262RC1",9.7,9.5,8.8,7.7,7.4,7.8,7.8,8.1,9,9.2,9.3,9.7,11.1,13.7,16.5,19.5,21.1,23.1,26.6,28.5,29.2,29.9,33.8,36.3,38.6,40.6,42.8,47.1,50.8,53.3,55.4,56.6,58.2,60.6,63.3,66.4,70.7,76.5,82.9,90.4,99.2
"13","6","        Private","A024RC1",8.7,8.5,7.9,6.9,6.5,6.7,6.7,6.9,7.7,7.8,7.8,8.1,9,10.1,10.3,10.7,11,12.3,16.1,18.9,20.5,22,25.2,26.7,28.2,29.5,31.1,34.3,37.2,39.4,41,41.6,42.6,44.1,45.9,48.3,51.9,56.5,61.6,67.4,74.5
"14","7","          Domestic business","W276RC1",7.6,7.4,6.9,6,5.7,5.8,5.8,5.9,6.6,6.7,6.7,7,7.7,8.7,8.7,9,9.3,10.3,13.5,15.9,17.3,18.6,21.2,22.4,23.6,24.6,25.8,28.6,31.2,33.1,34.3,34.6,35.4,36.6,38.1,40,42.9,46.9,51.2,56.1,61.9
"15","8","            Capital consumption allowances","Y0000C1",6.3,6.4,6.3,5.8,5.4,5.3,5.3,5.4,5.5,5.6,5.6,5.8,6.5,7.5,8,8.9,9.3,7.9,9.9,11.8,13.5,14.9,17.1,18.8,20.9,22.9,25.7,27.9,30.2,31.5,33.4,35.2,36.6,40.9,43.3,46.1,49.4,53.4,57.8,62.6,68.8
"16","9","            Less: Capital consumption adjustment","Y0004C1",-1.3,-1,-0.6,-0.3,-0.3,-0.5,-0.5,-0.6,-1.1,-1.2,-1.1,-1.1,-1.2,-1.2,-0.7,-0.1,0,-2.4,-3.6,-4.1,-3.8,-3.6,-4.1,-3.6,-2.7,-1.7,-0.2,-0.7,-1,-1.5,-0.9,0.5,1.2,4.3,5.3,6.1,6.4,6.5,6.6,6.5,6.9
"17","10","          Households and institutions","W279RC1",1.1,1.1,1,0.8,0.8,0.9,0.9,0.9,1.1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.8,2,2.6,3,3.2,3.5,4,4.3,4.6,4.8,5.2,5.7,6.1,6.3,6.7,7,7.2,7.5,7.8,8.3,8.9,9.6,10.4,11.3,12.6
"18","11","        Government","A264RC1",1,1,0.9,0.8,0.9,1.1,1.1,1.2,1.3,1.4,1.4,1.5,2,3.5,6.2,8.9,10.1,10.8,10.6,9.6,8.7,7.9,8.6,9.5,10.4,11.1,11.7,12.8,13.6,13.9,14.5,15,15.6,16.5,17.5,18.1,18.9,20,21.4,23,24.7
"19","12","          General government","A265RC1",0.8,0.8,0.8,0.7,0.8,0.9,0.9,1,1.1,1.2,1.2,1.3,1.8,3.2,5.9,8.6,9.8,10.4,10.2,9.1,8.2,7.4,8,8.9,9.7,10.4,11,11.9,12.7,12.9,13.4,13.9,14.4,15.2,16.1,16.7,17.4,18.3,19.6,21,22.5
"20","13","          Government enterprises","A266RC1",0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,0.9,1,1,1.1,1.2,1.2,1.3,1.4,1.5,1.6,1.8,2,2.2
"21","14","Equals: Net national product","A027RC1",94.7,82.5,68.2,51.4,49.3,58.5,65.8,75.9,83.3,77.3,83.3,92,116.1,148.6,182.4,200.5,202.2,199.8,218.6,242.1,239.3,265.2,307.4,324,342.6,341.9,374.4,393.1,413.3,416.5,454,473,490.1,529.2,558.9,602.2,653.7,716.3,754.9,825.5,891.4
"22","15","Less: Statistical discrepancy","A030RC1",0.8,-0.4,0.8,0.3,0.5,0.4,-0.2,1.2,0,0.7,1.3,1.1,0.3,-0.9,-1.8,2.6,3.9,1.2,2.3,-0.5,1.8,1.4,3.6,2.7,4,3.1,2.4,-1.8,-0.1,1,0.5,-1,-0.6,0.3,-0.8,0.8,1.5,6.2,4.5,4.3,2.9
"23","16","Equals: National income","A032RC1",93.9,82.9,67.4,51.1,48.8,58.1,66,74.7,83.3,76.6,82,90.9,115.8,149.5,184.2,198,198.3,198.6,216.3,242.6,237.5,263.9,303.8,321.3,338.6,338.7,372,394.9,413.3,415.6,453.5,473.9,490.7,528.9,559.7,601.4,652.2,710.1,750.4,821.2,888.5
"24","17","Less: Corporate profits with inventory valuation and capital consumption adjustments","A051RC1",10.7,7.4,2.8,-0.3,-0.3,2.4,3.9,6,6.9,4.8,6.4,9.6,15.3,20.4,24.7,24.8,20.2,17.9,23.5,30.9,28.7,35.6,40.8,38.8,39.1,38.3,49,48,47.6,42.5,53.8,53.1,54.2,62.3,68.3,75.5,86.5,92.5,90.2,97.3,94.5
"25","18","      Taxes on production and imports less subsidies \1\","W254RC1",6.8,7,6.6,6.5,6.8,7.2,7.5,8.3,8.7,8.6,8.5,9.2,10.7,11.2,12,12.8,14.1,15.7,17.9,19.4,20.6,22.4,24,26.7,29,29,31.7,33.9,35.9,36.8,40,43.4,45,48.1,51.2,54.5,57.7,59.3,64.1,72.2,79.3
"26","19","      Contributions for government social insurance, domestic","A061RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,1.5,1.6,1.8,1.9,2.3,2.9,3.8,4.3,5.3,6.6,5.6,4.6,4.9,5.5,6.6,6.9,7.1,8.1,9.1,10,11.4,11.4,13.8,16.4,17,19.1,21.7,22.4,23.4,31.3,34.9,38.7,44.1
"27","20","      Net interest and miscellaneous payments on assets","W255RC1",4.6,4.8,4.8,4.5,4,4,4.1,3.8,3.7,3.6,3.6,3.3,3.3,3.2,2.9,2.4,2.3,1.9,2.5,2.6,2.9,3.2,3.7,4.1,4.7,5.6,6.2,6.9,8,9.5,9.6,10.6,12.5,14.2,15.2,17.4,19.6,22.4,25.5,27.1,32.7
"28","21","      Business current transfer payments (net)","B029RC1",0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.5,0.5,0.5,0.6,0.8,0.9,0.7,0.7,0.7,0.7,0.9,1.2,1.3,1.2,1,1.4,1.7,1.9,1.8,1.8,1.9,2,2.2,2.7,3.1,3.6,3.5,3.8,4.3,4.9
"29","22","      Current surplus of government enterprises \1\","A108RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.9,0.8,0.9,1.4,1.3,1.3,1,0.9,1.2,1
"30","23","      Wage accruals less disbursements","A062RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,-0.2,0,0,0,0,0,0,0.1,0,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","24","Plus: Personal income receipts on assets","W210RC1",12.5,11.7,10.3,8.4,7.4,8,8.3,9.8,10,8.4,9.1,9.3,9.8,9.5,9.7,9.9,10.6,12.3,13.9,15.1,16,18.6,19.1,19.9,21.6,23.2,25.7,28.2,30.6,31.9,34.6,37.9,40.1,44.1,47.9,53.8,59.4,64.1,69,75.2,84.1
"32","25","      Personal current transfer receipts","A577RC1",1.2,1.2,2.3,1.7,1.7,1.8,2,3.1,2,2.4,2.5,2.7,2.7,2.7,2.5,3.1,5.6,10.6,10.8,10.3,11.2,14,11.4,11.9,12.5,14.3,15.7,16.8,19.5,23.5,24.2,25.7,29.5,30.4,32.2,33.5,36.2,39.6,48,56.1,62.3
"33","26","Equals: Personal income","A065RC1",84.9,76.1,65.2,49.9,46.8,53.7,60.3,68.6,74.1,68.4,72.9,78.4,96,123.4,152.1,166,171.6,178.6,190.9,209.7,207,228.9,257.9,275.2,291.7,294.3,316,339.5,358.5,368.9,392.3,411.3,428.8,456.4,479.5,514.3,555.5,603.8,648.1,711.7,778.3
"34",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","27","  Gross domestic income","A261RC1",102.8,91.6,75.7,58.4,55.9,65.6,73.5,82.6,91.9,85.4,90.9,100.3,126.4,162.8,200.4,217.2,219.2,221.1,241.8,269.6,265.4,292.4,335.7,355.6,375.4,377.2,412.3,439.2,461.1,466.2,506.1,527.4,545.3,585.3,618.6,662.9,717.6,781.5,827.9,905.5,981.6
"36","28","  Gross national income","A023RC1",103.6,92.3,76.2,58.8,56.2,65.9,73.9,82.8,92.3,85.8,91.2,100.6,126.8,163.2,200.7,217.5,219.4,221.7,242.9,271.1,266.7,293.8,337.6,357.5,377.3,379.3,414.8,442,464.2,468.8,508.9,530.5,548.9,589.4,623.1,667.8,722.9,786.6,833.3,911.6,987.7
"37","29","  Gross national factor income \2\","X023RC1",96.3,84.9,69.1,51.7,48.9,58.1,65.9,74,83,76.9,82.4,91,115.6,151.5,188.1,203.9,204.4,205.3,224.3,250.9,245.3,270.6,312.4,329.6,347.1,349.4,381.7,406.4,426.3,430.2,466.2,484.3,501.1,538.2,567.9,608.8,660.2,722.8,764.5,833.9,902.4
"38","30","  Net domestic product","A362RC1",93.9,81.8,67.7,51,49,58.2,65.5,75.7,82.9,76.9,82.9,91.8,115.7,148.2,182.1,200.2,201.9,199.1,217.4,240.7,238.1,263.8,305.5,322,340.7,339.8,371.9,390.3,410.2,413.9,451.2,469.9,486.6,525.1,554.4,597.3,648.4,711.2,749.5,819.4,885.2
"39","31","  Net domestic income","W256RC1",93.2,82.2,66.9,50.7,48.5,57.8,65.7,74.5,82.9,76.2,81.6,90.7,115.4,149.1,183.9,197.6,198.1,198,215.2,241.1,236.2,262.4,301.9,319.3,336.7,336.6,369.6,392.1,410.3,413,450.7,470.8,487.2,524.8,555.3,596.5,646.9,705.1,745,815.1,882.4
"40","32","  Net national factor income \3\","X032RC1",86.6,75.5,60.3,44,41.5,50.3,58.1,65.9,74.1,67.6,73.1,81.3,104.5,137.8,171.6,184.3,183.3,182.2,197.7,222.4,216.1,240.6,278.6,293.3,308.4,308.8,339,359.3,375.5,377,410.8,427.7,442.9,477.6,504.6,542.4,589.5,646.4,681.6,743.5,803.2
"41","33","  Net domestic purchases","W367RC1",93.6,81.4,67.7,51,48.9,57.9,65.7,75.8,82.8,75.9,82.1,90.3,114.7,148.5,184.4,202.2,202.7,192,206.6,235.2,232.8,263.1,303,320.8,341.4,339.4,371.5,388,406.1,413.4,450.8,465.7,481.7,521,549.5,590.4,642.8,707.4,746,818.1,883.8
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","1. Prior to 1959, current surplus of government enterprises (line 22) is not shown separately;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","subsidies are included net of the current surplus of government enterprises in line 18.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2. Consists of compensation of employees, proprietors' income with inventory valuation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","adjustment (IVA) and capital consumption adjustment (CCAdj), rental income of persons with",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","CCAdj, corporate profits with IVA and CCAdj, net interest and miscellaneous payments, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","3. Consists of gross national factor income less consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
