"","Table 7#12# Imputations in the National Income and Product Accou","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"17","9","    Excluding imputations (7-8)","A2088C1",120.4,117.5,132.4,150.7,181.2,191.6,170.5,213.3,257.4,317.8,369.6,369.8,463.1,414.6,421,568.1,563.5,546.5,566.6,591.1,642.7,639.9,590.2,619.2,684.5,793.9,848.8,911.7,1036.4,1113.5,1212.6,1318.7,1180,1129.6,1148.3,1284.8,1398.4,1559.8,1637.5,1564.6,1132,1392.3
"18","10","  Net exports of goods and services","A019RC1",1.4,4,0.6,-3.4,4.1,-0.8,16,-1.6,-23.1,-25.4,-22.5,-13.1,-12.5,-20,-51.7,-102.7,-115.2,-132.5,-145,-110.1,-87.9,-77.6,-27,-32.8,-64.4,-92.7,-90.7,-96.3,-101.4,-161.8,-262.1,-382.1,-371,-427.2,-504.1,-618.7,-722.7,-769.3,-713.1,-709.7,-391.5,-516.9
"19","11","    Imputations (14-17)","W510RC1",0.5,0.6,0.6,0.7,0.9,1.4,1.7,1.7,1.9,2.3,3.1,3.5,4.1,2.9,4,4.1,5,4.6,4.2,3.8,3.1,3.9,5,6.2,6.2,6.1,5.3,5.8,6.2,5.4,5,4.6,2.9,2.4,1.6,1.2,3.2,2,1.5,2.9,1.6,4
"20","12","    Excluding imputations (10-11)","W511RC1",0.9,3.3,0,-4.1,3.2,-2.2,14.3,-3.3,-25,-27.7,-25.6,-16.5,-16.6,-22.9,-55.7,-106.8,-120.2,-137.2,-149.2,-113.9,-90.9,-81.5,-31.9,-39.1,-70.6,-98.9,-96,-102.1,-107.6,-167.2,-267,-386.6,-373.9,-429.6,-505.7,-619.9,-725.9,-771.3,-714.6,-712.6,-393.1,-520.9
"21","13","    Exports of goods and services","B020RC1",51.9,59.7,63,70.8,95.3,126.7,138.7,149.5,159.4,186.9,230.1,280.8,305.2,283.2,277,302.4,302,320.3,363.8,443.9,503.1,552.1,596.6,635,655.6,720.7,811.9,867.7,954.4,953.9,989.3,1093.2,1027.7,1003,1041,1180.2,1305.1,1471,1661.7,1846.8,1583,1839.8
"22","14","      Imputations (150+158+165)","W512RC1",0.5,0.6,0.6,0.7,0.9,1.4,1.7,1.7,1.9,2.3,3.1,3.5,4.1,2.9,4,4.1,5,5.3,5.1,4.6,4.1,4.9,6.2,7.6,7.7,8,7.2,7.6,8.1,8.1,8,8.3,7.8,8,7.6,8.2,7.6,9,9.8,13.2,11.9,12.5
"23","15","      Excluding imputations (13-14)","W513RC1",51.4,59.1,62.3,70.1,94.3,125.3,137,147.8,157.5,184.6,227,277.3,301.1,280.3,272.9,298.3,297,315,358.7,439.3,499.1,547.2,590.4,627.4,647.9,712.7,804.7,860.1,946.3,945.8,981.3,1085,1019.9,995.1,1033.4,1172,1297.4,1462.1,1651.9,1833.5,1571.2,1827.3
"24","16","    Imports of goods and services","B021RC1",50.5,55.8,62.3,74.2,91.2,127.5,122.7,151.1,182.4,212.3,252.7,293.8,317.8,303.2,328.6,405.1,417.2,452.9,508.7,554,591,629.7,623.5,667.8,720,813.4,902.6,964,1055.8,1115.7,1251.4,1475.3,1398.7,1430.2,1545.1,1798.9,2027.8,2240.3,2374.8,2556.5,1974.6,2356.7
"25","17","      Imputations (166)","W555RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.8,0.8,1,1.1,1.2,1.3,1.5,1.8,1.9,1.8,1.9,2.7,3,3.7,4.9,5.6,6,7,4.4,7,8.3,10.4,10.3,8.5
"26","18","      Excluding imputations (16-17)","W515RC1",50.5,55.8,62.3,74.2,91.2,127.5,122.7,151.1,182.4,212.3,252.7,293.8,317.8,303.2,328.6,405.1,417.2,452.2,507.9,553.2,590,628.7,622.3,666.5,718.5,811.6,900.7,962.2,1053.9,1113,1248.4,1471.6,1393.8,1424.6,1539.1,1791.9,2023.4,2233.4,2366.5,2546.1,1964.3,2348.2
"27","19","  Government consumption expenditures and gross investment","A822RC1",221.4,233.7,246.4,263.4,281.7,317.9,357.7,383,414.1,453.6,500.7,566.1,627.5,680.4,733.4,796.9,878.9,949.3,999.4,1038.9,1100.6,1181.7,1236.1,1273.5,1294.8,1329.8,1374,1421,1474.4,1526.1,1631.3,1731,1846.4,1983.3,2112.6,2232.8,2369.9,2518.4,2674.2,2878.1,2917.5,3002.8
"28","20","    Imputations (148+153+161+175+181)","A1684C1",24.8,26.9,28.6,29.7,30.9,35,39.5,41.7,44.3,46.6,50,55.8,62.6,70.1,75.2,79.3,89.2,102.9,104.1,110.3,115.5,123.4,131.4,137.7,144.3,147.8,152.8,155.5,159.1,163.6,171.9,180.6,184.5,192.2,199.3,210.4,226.5,242.6,261.8,279.7,297.1,308.4
"29","21","    Excluding imputations (19-20)","A2089C1",196.6,206.8,217.8,233.7,250.7,283,318.3,341.3,369.8,407,450.7,510.3,564.9,610.3,658.2,717.6,789.7,846.5,895.3,928.6,985.1,1058.3,1104.7,1135.8,1150.5,1182,1221.2,1265.4,1315.3,1362.4,1459.4,1550.4,1661.9,1791.1,1913.3,2022.4,2143.4,2275.8,2412.4,2598.5,2620.5,2694.4
"30","22","    Government consumption expenditures","A955RC1",178.2,190.1,204.7,220.8,234.8,261.7,294.6,316.6,346.6,376.5,412.3,465.9,520.6,568.1,610.5,657.6,720.1,776.1,815.1,852.8,902.9,966,1015.8,1050.4,1075.4,1108.9,1141.4,1176.7,1222.1,1263.2,1343.9,1426.6,1524.4,1639.9,1756.8,1860.4,1977.9,2093.3,2217.8,2381,2412.2,2497.5
"31","23","      Imputations (148+153+161+175+181-182)","A2097C1",-18.5,-16.7,-13.2,-13,-15.9,-21.3,-23.6,-24.7,-23.2,-30.5,-38.5,-44.4,-44.3,-42.2,-47.7,-60.1,-69.6,-70.3,-80.2,-75.8,-82.2,-92.4,-88.9,-85.4,-75.2,-73.2,-79.8,-88.7,-93.2,-99.2,-115.4,-123.7,-137.5,-151.2,-156.5,-162,-165.5,-182.4,-194.6,-217.5,-208.3,-197
"32","24","      Excluding imputations (22-23)","A2098C1",196.6,206.8,217.8,233.7,250.7,283,318.3,341.3,369.8,407,450.7,510.3,564.9,610.3,658.2,717.6,789.7,846.5,895.3,928.6,985.1,1058.3,1104.7,1135.8,1150.5,1182,1221.2,1265.4,1315.3,1362.4,1459.4,1550.4,1661.9,1791.1,1913.3,2022.4,2143.4,2275.8,2412.4,2598.5,2620.5,2694.4
"33","25","    Gross government investment","A782RC1",43.3,43.6,41.8,42.6,46.8,56.3,63.1,66.4,67.5,77.1,88.5,100.3,106.9,112.3,122.9,139.4,158.8,173.2,184.3,186.1,197.7,215.7,220.3,223.1,219.4,220.9,232.6,244.2,252.4,262.9,287.4,304.3,322,343.5,355.8,372.4,392,425.1,456.5,497.2,505.4,505.3
"34","26","      Imputations (182)","A782RC1",43.3,43.6,41.8,42.6,46.8,56.3,63.1,66.4,67.5,77.1,88.5,100.3,106.9,112.3,122.9,139.4,158.8,173.2,184.3,186.1,197.7,215.7,220.3,223.1,219.4,220.9,232.6,244.2,252.4,262.9,287.4,304.3,322,343.5,355.8,372.4,392,425.1,456.5,497.2,505.4,505.3
"35","27","      Excluding imputations (25-26)","A1680C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",NA,"          Gross domestic income"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","28","Gross domestic income","A261RC1",981.6,1031.4,1115.8,1228.9,1374.3,1489.6,1621.4,1801.1,2008.9,2267.7,2515.3,2742.9,3090.3,3248.4,3484.9,3899.4,4175.2,4392.3,4703.5,5110,5426,5716.3,5912.4,6232.3,6531.6,6976.4,7362.1,7812.5,8346.3,8878.8,9424.6,10085.5,10389.5,10664.4,11125.5,11875.6,12718,13619.5,14040.7,14294,13861.5,14525.7
"38","29","    Imputations (133-134+141+147+148+150+152+153 +158+160+161+165-166+167+170+179+181)","A2023C1",105.7,116.2,126.6,137.5,149.7,168.7,192.9,211.1,234.1,265.1,295.6,333.7,375.7,418,471.9,506.1,558.7,608.3,647.1,697,742.7,804.5,864.5,934.2,988.4,1041,1073.3,1119.4,1172.9,1242.2,1342.6,1445.9,1530.3,1598,1656.1,1764.8,1887.7,1980.3,2093.3,2230.8,2245.7,2277.4
"39","30","    Excluding imputations (28-29)","W516RC1",875.8,915.2,989.2,1091.4,1224.6,1320.9,1428.5,1590,1774.8,2002.6,2219.7,2409.1,2714.6,2830.4,3013,3393.2,3616.5,3784,4056.4,4413,4683.3,4911.8,5047.9,5298.1,5543.1,5935.4,6288.8,6693.2,7173.4,7636.6,8082,8639.6,8859.2,9066.4,9469.5,10110.8,10830.3,11639.2,11947.3,12063.2,11615.8,12248.4
"40","31","  Compensation of employees, paid","A4002C1",577.6,617.2,658.9,725.1,811.2,890.3,949.2,1059.4,1180.6,1335.6,1498.4,1647.7,1819.8,1919.8,2035.7,2245.7,2412,2559.4,2737,2955,3132.6,3328.6,3441.1,3634.4,3800.4,4002.5,4199.3,4395.5,4670,5027.8,5359.2,5793.5,5984.5,6116.4,6388.3,6699.6,7071.5,7483.6,7863,8079.1,7815.4,7980.6
"41","32","     Imputations (170)","A2099C1",15.2,17.6,19.3,21.9,24.1,27.8,33.5,40.7,47.6,55.6,63.2,72.7,84.3,95.8,105,113.8,124.2,132,141,158,175.1,194.6,210.9,235.7,255.1,266.9,264,267.3,271.5,292.5,324.4,361.6,392.2,418.6,457.5,492.5,529.1,543.1,564.9,580.5,592.8,594.2
"42","33","     Excluding imputations (31-32)","A2100C1",562.4,599.6,639.6,703.2,787.1,862.4,915.7,1018.7,1133,1279.9,1435.2,1575,1735.5,1824,1930.7,2131.8,2287.8,2427.4,2596,2797,2957.5,3134,3230.2,3398.6,3545.3,3735.7,3935.2,4128.2,4398.6,4735.3,5034.8,5431.9,5592.3,5697.7,5930.8,6207,6542.4,6940.5,7298.1,7498.5,7222.6,7386.4
"43","34","  Taxes on production and imports","W056RC1",83.9,91.4,100.5,107.9,117.2,124.9,135.3,146.4,159.7,170.9,180.1,200.3,235.6,240.9,263.3,289.8,308.1,323.4,347.5,374.5,398.9,425,457.1,483.4,503.1,545.2,557.9,580.8,611.6,639.5,673.6,708.6,727.7,762.8,806.8,863.4,930.2,986.8,1027.2,1038.6,1017.9,1054
"44","35","    Imputations (135+142)","A2094C1",13.4,15.2,16.7,18.1,19.5,20.8,22.9,25.3,27.9,28.5,29.3,31.9,35.4,38.6,41.3,44.5,47.3,50.2,54.8,58.4,63.2,67.2,72,74.5,74.5,78.1,78.2,80.8,83.7,85.5,88.6,91.5,96.6,104.3,110.6,117.8,125.4,133.1,141.8,145.6,149.1,153
"45","36","    Excluding imputations (34-35)","A2095C1",70.4,76.2,83.7,89.9,97.7,104.1,112.4,121.1,131.8,142.4,150.8,168.4,200.3,202.3,222,245.3,260.8,273.2,292.7,316,335.6,357.8,385.1,408.9,428.6,467.1,479.7,499.9,527.9,554,585,617.1,631.1,658.5,696.2,745.6,804.8,853.7,885.4,893.1,868.8,901.1
"46","37","  Less: Subsidies","A107RC1",4.5,4.8,4.7,6.6,5.2,3.3,4.5,5.1,7.1,8.9,8.5,9.8,11.5,15,21.3,21.1,21.4,24.9,30.3,29.5,27.4,27,27.5,30.1,36.7,32.5,34.8,35.2,33.8,36.4,45.2,45.8,58.7,41.4,49.1,46.4,60.9,51.4,54.6,52.9,59.7,57.3
"47","38","    Imputations (136)","B1154C1",0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.5,0.3,0.3,0.3,0.3,0.5,0.4,0.5,0.3,0.6,1.4,4,2.1,7.9,3.6,2,1.5
"48","39","    Excluding imputations (37-38)","A2096C1",4.5,4.8,4.7,6.6,5.2,3.3,4.5,5.1,7,8.8,8.4,9.7,11.3,14.8,21,20.8,21.1,24.7,30.1,29.3,27.2,26.8,27.3,29.8,36.4,32,34.6,35,33.5,36,44.7,45.4,58.2,41.1,48.5,45,56.9,49.3,46.6,49.3,57.7,55.9
"49","40","  Net operating surplus","W271RC1",225.5,219.3,243.3,275.4,310.2,314.1,351,392.3,444,508.8,546.4,560.6,652.9,669.2,756.1,910.6,971,995.9,1078.1,1199,1270.6,1298.6,1317.3,1400.3,1486.7,1641.9,1770.3,1959,2134.7,2227.4,2342.6,2444.9,2479.8,2521.6,2625.4,2926.3,3236,3539.7,3437.5,3375.1,3221.7,3673.5
"50","41","    Imputations (138+139+167+179+183)","W517RC1",42.4,46.1,50.6,55.2,60,67.4,77.8,81.7,89.3,103.7,116.5,130.6,145.5,163.3,199.2,213.5,244.6,273.3,287.2,304.9,316.3,341.7,369.1,402.8,425.6,451.4,473.7,505.1,541,575.7,623.7,666.6,697.2,715.4,708.3,743.5,787.2,817.2,869.9,958.1,946.7,961.8
"51","42","    Excluding imputations (40-41)","W518RC1",183,173.2,192.7,220.1,250.3,246.7,273.3,310.6,354.7,405.1,429.9,429.9,507.4,505.9,556.9,697.2,726.4,722.6,790.9,894,954.3,956.9,948.3,997.5,1061.1,1190.6,1296.6,1454,1593.7,1651.7,1718.9,1778.3,1782.6,1806.2,1917.1,2182.7,2448.8,2722.5,2567.6,2417,2275,2711.7
"52","43","    Net interest and miscellaneous payments","W272RC1",33.2,39.9,44.2,48.9,57.5,72.7,83.2,85.2,99.8,116.2,141.5,183,228.9,267,283.1,327.1,352.8,387.2,395.7,418.1,474,483.6,462,428.7,407,412.1,417.5,437.2,487.3,560.2,569.9,642.5,656.9,609.6,595.5,569.3,678.9,830.1,952.1,1096.8,855.8,747.6
"53","44","      Imputations (183)","A2104C1",26.8,30.5,33.9,38.4,43.4,50.8,61.9,66.2,76.1,89.6,102.4,114.9,127.6,148.3,185.1,200.1,233.7,265,276.7,287.8,298.3,320.1,341.3,360,356.3,357.4,373.4,393.5,421.3,443.8,474.5,512,531.5,553.8,555.3,594.5,653.8,719.5,790.7,824.2,749.3,726.6
"54","45","      Excluding imputations (43-44)","A2105C1",6.4,9.3,10.3,10.5,14.1,21.9,21.3,19,23.7,26.6,39.1,68.2,101.4,118.7,98,127,119.2,122.1,119,130.3,175.7,163.5,120.7,68.7,50.8,54.7,44.1,43.7,66,116.4,95.4,130.4,125.4,55.7,40.1,-25.2,25.1,110.5,161.4,272.6,106.5,21
"55","46","    Business current transfer payments (net)","B029RC1",4.9,4.5,4.3,4.9,6,7.1,9.4,9.5,8.5,10.8,13.3,14.7,17.9,20.6,22.6,30.3,35.2,36.9,34.1,33.6,39.2,40.1,39.9,40.7,40.5,41.9,45.8,53.8,51.3,65.2,69,87,101.3,82.4,76.1,81.7,95.9,83,103.3,123,132,136.7
"56","47","      Imputations(138)","W536RC1",0,0,0.1,0.2,0.1,-0.3,-0.2,0.1,0.4,0.5,-0.1,-0.3,0.2,0,-0.1,-0.1,-0.3,1,1.6,0.7,-0.9,-0.8,-0.6,-1.4,1.5,1.8,1.7,-0.7,4.6,1.8,2,0.8,-1,2.6,4.4,5.8,11.3,10.7,8.9,3.2,5.5,5.1
"57","48","      Excluding imputations (46-47)","W530RC1",5,4.5,4.3,4.8,5.9,7.4,9.6,9.4,8,10.3,13.4,15.1,17.7,20.6,22.7,30.4,35.5,35.9,32.5,33,40.1,40.9,40.5,42.1,39,40.2,44.2,54.4,46.7,63.4,66.9,86.1,102.2,79.8,71.8,75.9,84.6,72.3,94.4,119.8,126.6,131.7
"58","49","    Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1",77.5,78.5,84.7,96,113.6,113.5,119.6,132.2,146,167.5,181.1,173.5,181.6,174.8,190.7,233.1,246.1,262.6,294.2,334.8,351.6,365.1,367.3,414.9,449.6,485.1,516,583.7,628.2,687.5,746.8,817.5,870.7,890.3,930.6,1033.8,1069.8,1133,1090.4,1097.9,941.2,1036.4
"59","50","      Imputations(167+179)","A2101C1",0.8,0.8,0.9,1,1.4,1.4,1.5,2.1,2.8,3.1,3.3,2.3,2.1,1.9,2.9,3,3.1,3.6,3.3,3.1,2.9,2.9,2.4,3.3,3,3.4,2.8,3,3.1,2.8,3.2,2.8,2.8,3,3.1,3.7,4.3,3.6,2.2,0.6,0.1,0.1
"60","51","      Excluding imputations (49-50)","A2102C1",76.8,77.7,83.8,95,112.3,112.1,118.1,130.1,143.2,164.4,177.9,171.1,179.6,172.9,187.8,230.1,243,259,290.9,331.7,348.7,362.2,364.9,411.7,446.6,481.7,513.3,580.7,625.2,684.7,743.6,814.7,867.9,887.3,927.6,1030.1,1065.5,1129.3,1088.1,1097.2,941.1,1036.3
"61","52","    Rental income of persons with capital consumption adjustment","A048RC1",20.9,21.1,22.2,23.1,23.9,24,23.4,22.1,19.6,20.9,22.6,28.5,36.5,38.1,38.2,40,41.9,33.8,34.2,40.2,42.4,49.8,61.6,84.6,114.1,142.9,154.6,170.4,176.5,191.5,208.2,215.3,232.4,218.7,204.2,198.4,178.2,146.5,143.7,231.6,305.9,350.2
"62","53","      Imputations (139)","B1156C1",14.9,14.8,15.8,15.7,15.1,15.5,14.6,13.3,9.9,10.5,11,13.8,15.7,13,11.4,10.6,8.2,3.7,5.7,13.4,16,19.4,25.9,40.9,64.8,88.8,95.9,109.2,112.1,127.3,144,151,163.9,156,145.5,139.5,117.9,83.4,68.1,130,191.9,230
"63","54","      Excluding imputations (52-53)","A2103C1",6,6.2,6.4,7.5,8.8,8.6,8.8,8.8,9.7,10.4,11.7,14.7,20.7,25.1,26.8,29.5,33.7,30.1,28.5,26.8,26.4,30.4,35.7,43.7,49.3,54.2,58.7,61.2,64.4,64.2,64.2,64.3,68.5,62.8,58.6,58.8,60.4,63.1,75.7,101.6,114.1,120.2
"64","55","  Consumption of fixed capital","A262RC1",99.2,108.3,117.8,127.2,140.8,163.7,190.4,208.2,231.8,261.4,298.9,344.1,393.3,433.5,451.1,474.3,505.4,538.5,571.1,611,651.5,691.2,724.4,744.4,778,819.2,869.5,912.5,963.8,1020.5,1094.4,1184.3,1256.2,1305,1354.1,1432.8,1541.4,1660.7,1767.5,1854.1,1866.2,1874.9
"65","56","    Imputations (140+144+181)","A2092C1",34.6,37.3,39.9,42.3,46.1,52.7,58.8,63.4,69.4,77.3,86.7,98.6,110.8,120.5,126.7,134.6,142.9,153,164.2,175.8,188.2,201.3,212.7,221.5,233.5,245.1,257.6,266.4,277,288.9,306.4,326.7,344.8,359.9,380.2,412.3,450.2,488.9,524.7,550.2,559,569.8
"66","57","    Excluding imputations (55-56)","A2093C1",64.5,71.1,77.9,84.8,94.7,111,131.6,144.8,162.4,184.1,212.2,245.4,282.6,313,324.4,339.7,362.6,385.4,406.9,435.2,463.2,489.9,511.6,522.9,544.5,574,611.8,646.1,686.8,731.6,788,857.7,911.5,945.1,973.9,1020.5,1091.2,1171.8,1242.8,1303.9,1307.2,1305.1
"67",NA,"          Personal income, outlays, and saving"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","58","Personal income","A065RC1",778.3,838.6,903.1,992.6,1110.5,1222.7,1334.9,1474.7,1632.5,1836.7,2059.5,2301.5,2582.3,2766.8,2952.2,3268.9,3496.7,3696,3924.4,4231.2,4557.5,4846.7,5031.5,5347.3,5568.1,5874.8,6200.9,6591.6,7000.7,7525.4,7910.8,8559.4,8883.3,9060.1,9378.1,9937.2,10485.9,11268.1,11912.3,12460.2,11930.2,12373.5
"69","59","  Imputations (139-136+147+160-164+167+171+172+173+174+179)","A2106C1",38,42.1,45.8,49.4,52.3,59,70.7,75.6,81.9,94.7,102.3,112.4,123.9,139.8,172.7,178.2,199,210,225.8,248.7,264.4,295.3,331.8,386.4,429.4,466.4,466.8,493.8,512.8,560,620.6,672.6,718.3,741.4,761.1,804.4,820.5,798.3,822.8,929.2,977.2,1025.1
"70","60","  Excluding imputations (58-59)","A2107C1",740.3,796.5,857.3,943.2,1058.3,1163.8,1264.1,1399.1,1550.6,1742.1,1957.2,2189.1,2458.3,2627.1,2779.5,3090.7,3297.7,3486,3698.6,3982.6,4293.1,4551.4,4699.7,4960.9,5138.7,5408.4,5734.1,6097.7,6487.9,6965.3,7290.3,7886.9,8165,8318.7,8617,9132.8,9665.4,10469.8,11089.5,11530.9,10953,11348.5
"71","61","  Compensation of employees, received","W209RC1",577.6,617.2,658.3,725.1,811.3,890.7,949,1059.2,1180.4,1335.2,1498.5,1647.6,1819.6,1919.6,2036,2245.2,2412,2557.7,2735.6,2954.2,3131.3,3326.2,3438.4,3647.2,3790.6,3980.9,4178.8,4387.7,4668.6,5023.9,5348.8,5788.8,5979.3,6110.8,6367.6,6708.4,7060,7475.7,7862.2,8073.3,7801.4,7971.4
"72","62","    Imputations (170)","A2099C1",15.2,17.6,19.3,21.9,24.1,27.8,33.5,40.7,47.6,55.6,63.2,72.7,84.3,95.8,105,113.8,124.2,132,141,158,175.1,194.6,210.9,235.7,255.1,266.9,264,267.3,271.5,292.5,324.4,361.6,392.2,418.6,457.5,492.5,529.1,543.1,564.9,580.5,592.8,594.2
