"","Table 5#4#6# Real Private Fixed Investment in Structures by Type","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
"49","31","    Farm","C316RX1","4,527.0","5,372.0","5,429.0","5,878.0","6,661.0","7,550.0","6,198.0","6,649.0","5,869.0","5,957.0","5,854.0","5,358.0","5,534.0","7,086.0","5,962.0","5,628.0","6,377.0"
"50","32","    Other \4\","W050RX1","7,300.0","6,038.0","5,222.0","5,225.0","4,564.0","5,346.0","3,932.0","2,795.0","3,142.0","3,594.0","3,126.0","3,707.0","3,833.0","3,551.0","2,421.0","2,670.0","2,469.0"
"51","33","    Brokers' commissions on sale of structures","C321RX1","1,893.0","2,079.0","2,253.0","2,416.0","2,464.0","2,594.0","2,441.0","2,096.0","2,017.0","2,089.0","2,242.0","2,599.0","3,229.0","3,706.0","3,241.0","2,521.0","2,540.0"
"52","34","    Net purchases of used structures","E322RX1","-1,871.0","-1,605.0","-309.0","-1,824.0","-1,912.0","-1,841.0","1,875.0","-2,300.0","-2,342.0","-1,566.0","-827.0","-1,533.0","-2,583.0","-2,584.0","-2,231.0","-2,181.0","-2,138.0"
"53","35","Residential","A012RX1","450,068.0","486,818.0","496,277.0","534,482.0","567,471.0","572,561.0","575,605.0","605,911.0","655,877.0","720,140.0","765,166.0","708,085.0","574,248.0","434,941.0","336,129.0","322,957.0","317,950.0"
"54","36","  Permanent site","A943RX1","268,679.0","293,896.0","295,489.0","323,544.0","347,586.0","350,399.0","352,455.0","366,648.0","402,518.0","449,108.0","480,808.0","438,819.0","326,625.0","216,838.0","130,097.0","124,858.0","120,153.0"
"55","37","    Single-family structures","A944RX1","240,190.0","262,402.0","261,560.0","290,125.0","311,507.0","314,980.0","315,436.0","327,656.0","362,590.0","406,099.0","433,510.0","391,116.0","283,988.0","178,407.0","105,450.0","114,543.0","109,296.0"
"56","38","    Multifamily structures","C292RX1","28,325.0","31,317.0","33,739.0","33,362.0","36,007.0","35,402.0","36,935.0","38,885.0","39,910.0","43,008.0","47,298.0","47,608.0","42,152.0","37,067.0","23,587.0","11,847.0","12,148.0"
"57","39","  Other structures","A863RX1","180,886.0","192,642.0","200,182.0","210,640.0","219,793.0","222,055.0","223,051.0","238,979.0","253,233.0","271,019.0","284,358.0","269,320.0","248,189.0","218,775.0","206,610.0","198,653.0","198,303.0"
"58","40","    Manufactured homes","A945RX1","16,013.0","17,693.0","18,296.0","19,137.0","18,140.0","13,719.0","10,959.0","11,473.0","9,369.0","9,098.0","10,110.0","8,002.0","6,562.0","5,350.0","3,115.0","3,034.0","2,916.0"
"59","41","    Dormitories","C295RX1","768.0","883.0","1,181.0","1,393.0","1,777.0","1,807.0","1,973.0","1,886.0","2,059.0","1,803.0","1,537.0","1,944.0","2,706.0","3,644.0","2,503.0","1,686.0","2,215.0"
"60","42","    Improvements","A946RX1","119,123.0","124,264.0","126,550.0","128,048.0","133,379.0","137,804.0","140,841.0","150,033.0","156,966.0","160,039.0","164,434.0","163,653.0","158,181.0","145,806.0","141,994.0","138,089.0","136,197.0"
"61","43","    Brokers' commissions on sale of structures","A758RX1","47,106.0","52,526.0","57,777.0","66,533.0","71,305.0","70,833.0","71,914.0","79,965.0","89,323.0","102,670.0","109,855.0","98,321.0","84,084.0","68,036.0","62,000.0","59,087.0","59,866.0"
"62","44","    Net purchases of used structures","A759RX1","-1,919.0","-2,637.0","-3,599.0","-4,487.0","-4,727.0","-1,743.0","-2,285.0","-4,146.0","-4,422.0","-2,605.0","-1,578.0","-2,697.0","-3,725.0","-4,928.0","-4,087.0","-4,469.0","-3,827.0"
"63","45","Residual","A971RX1","1,800.0","1,200.0","-3,100.0","1,900.0","7,400.0","2,900.0","-2,600.0","3,200.0","900.0","200.0","300.0","1,800.0","7,100.0","17,700.0","11,400.0","7,800.0","11,200.0"
"64",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","46","  Private fixed investment in new structures \5\","W040RX1","744,450.0","795,392.0","824,285.0","875,621.0","905,102.0","938,343.0","930,649.0","885,077.0","913,393.0","966,021.0","1,007,228.0","996,446.0","938,920.0","853,476.0","660,223.0","588,946.0","592,466.0"
"66","47","    Nonresidential structures","A771RX1","342,180.0","361,040.0","385,922.0","407,209.0","407,729.0","439,370.0","428,774.0","356,868.0","343,408.0","346,230.0","350,339.0","382,973.0","437,551.0","465,337.0","367,238.0","310,313.0","318,772.0"
"67","48","    Residential structures","A756RX1","405,700.0","437,688.0","442,599.0","472,767.0","501,220.0","503,903.0","506,371.0","530,278.0","571,056.0","620,072.0","656,889.0","612,405.0","494,006.0","372,156.0","279,378.0","269,366.0","263,209.0"
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","1. Consists of office buildings, except those constructed at manufacturing sites and those constructed by power utilities for ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","their own use.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Includes all financial buildings.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","2. Includes buildings and structures used by the retail, wholesale and selected service industries.  Consists of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","auto dealerships, garages, service stations, drug stores, restaurants, mobile structures, and other structures used",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","for commercial purposes.  Bus or truck garages are included in transportation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","3. Consists primarily of railroads.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","4. Includes water supply, sewage and waste disposal, public safety, highway and street, and conservation and development.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","5. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Note. Chained (2005) dollar series are calculated as the product of the chain-type quantity index and the 2005 current-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","value of the corresponding series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","than one period, the corresponding chained-dollar estimates are usually not additive. The residual line is the difference between",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
