"","Table 1#17#6# Real Gross Domestic Product, Real Gross Domestic I","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179"
"33","10","    Command-basis gross domestic product","C191RX1","4,342,406.0","4,352,503.0","4,380,677.0","4,361,213.0","4,353,031.0","4,360,690.0","4,393,120.0","4,345,499.0","4,466,611.0","4,490,358.0","4,522,456.0","4,533,176.0","4,613,459.0","4,718,458.0","4,762,953.0","4,848,453.0","4,965,973.0","5,006,976.0","4,985,473.0","5,038,858.0","4,958,943.0","4,948,419.0","4,893,924.0","4,877,973.0","4,824,853.0","4,860,866.0","4,949,098.0","5,015,449.0","5,127,070.0","5,164,653.0","5,185,874.0","5,231,883.0","5,282,256.0","5,372,121.0","5,451,736.0","5,475,626.0","5,485,384.0","5,696,198.0","5,748,032.0","5,835,287.0","5,836,637.0","5,837,454.0","5,857,578.0","5,849,039.0","5,830,958.0","5,699,155.0","5,689,218.0","5,801,258.0","5,916,103.0","5,874,315.0","5,958,907.0","5,890,091.0","5,795,827.0","5,835,284.0","5,818,171.0","5,826,449.0","5,910,227.0","6,045,684.0","6,167,488.0","6,304,935.0","6,429,028.0","6,537,860.0","6,608,640.0","6,669,720.0","6,742,849.0","6,799,915.0","6,898,263.0","6,940,880.0","7,004,791.0","7,055,744.0","7,113,993.0","7,141,794.0","7,177,408.0","7,243,872.0","7,302,432.0","7,429,877.0","7,466,696.0","7,561,316.0","7,614,977.0","7,706,387.0","7,780,648.0","7,831,215.0","7,902,293.0","7,916,236.0","7,987,320.0","8,037,363.0","8,020,530.0","7,914,587.0","7,906,594.0","7,980,525.0","8,023,681.0","8,054,364.0","8,133,441.0","8,219,401.0","8,294,905.0","8,387,743.0","8,407,822.0","8,461,410.0","8,512,806.0","8,631,422.0","8,718,331.0","8,831,748.0","8,880,106.0","8,980,207.0","9,002,079.0","9,013,632.0","9,098,633.0","9,167,303.0","9,234,748.0","9,398,698.0","9,468,534.0","9,571,382.0","9,665,130.0","9,813,117.0","9,948,570.0","10,029,633.0","10,147,028.0","10,247,979.0","10,393,175.0","10,574,750.0","10,674,353.0","10,737,340.0","10,862,709.0","11,037,333.0","11,052,104.0","11,276,732.0","11,282,088.0","11,346,365.0","11,318,234.0","11,418,461.0","11,405,821.0","11,472,702.0","11,572,040.0","11,611,486.0","11,670,623.0","11,669,575.0","11,687,757.0","11,813,290.0","12,006,154.0","12,114,458.0","12,178,423.0","12,250,974.0","12,333,199.0","12,410,148.0","12,541,081.0","12,583,921.0","12,660,408.0","12,703,528.0","12,870,725.0","12,923,724.0","12,931,245.0","13,045,083.0","13,069,116.0","13,173,412.0","13,248,330.0","13,245,276.0","13,131,068.0","13,117,702.0","12,970,668.0","12,818,824.0","12,751,843.0","12,711,545.0","12,717,839.0","12,808,010.0","12,865,321.0","12,972,254.0","13,074,068.0","13,137,724.0","13,099,036.0","13,153,286.0","13,218,908.0","13,327,526.0","13,380,953.0","13,448,819.0","13,595,228.0","13,578,884.0"
"34","11","    Command-basis net domestic product \1\","C362RX1","4,058,239.0","4,063,440.0","4,087,287.0","4,061,662.0","4,047,816.0","4,051,482.0","4,082,038.0","4,030,926.0","4,151,425.0","4,171,492.0","4,200,386.0","4,207,784.0","4,287,155.0","4,391,319.0","4,431,653.0","4,513,688.0","4,628,171.0","4,663,576.0","4,634,665.0","4,683,555.0","4,594,779.0","4,578,194.0","4,516,189.0","4,494,547.0","4,434,569.0","4,467,396.0","4,554,683.0","4,619,126.0","4,730,851.0","4,765,138.0","4,781,938.0","4,824,176.0","4,870,456.0","4,957,571.0","5,033,756.0","5,051,637.0","5,054,662.0","5,266,667.0","5,312,547.0","5,394,980.0","5,387,369.0","5,379,327.0","5,391,556.0","5,374,180.0","5,346,998.0","5,201,660.0","5,183,671.0","5,293,134.0","5,405,795.0","5,354,844.0","5,435,193.0","5,355,097.0","5,247,979.0","5,281,163.0","5,256,095.0","5,258,253.0","5,339,739.0","5,474,315.0","5,594,132.0","5,729,370.0","5,850,183.0","5,953,997.0","6,017,228.0","6,069,349.0","6,132,887.0","6,180,361.0","6,271,011.0","6,304,721.0","6,361,173.0","6,403,851.0","6,453,951.0","6,472,411.0","6,498,810.0","6,557,322.0","6,607,942.0","6,729,663.0","6,758,425.0","6,846,481.0","6,892,194.0","6,976,469.0","7,042,952.0","7,085,063.0","7,148,099.0","7,152,621.0","7,215,783.0","7,257,993.0","7,232,423.0","7,116,460.0","7,101,321.0","7,169,797.0","7,206,717.0","7,230,774.0","7,304,061.0","7,385,256.0","7,456,605.0","7,546,440.0","7,556,659.0","7,601,234.0","7,643,765.0","7,754,872.0","7,833,909.0","7,939,233.0","7,977,909.0","8,068,515.0","8,079,097.0","8,078,737.0","8,152,491.0","8,209,241.0","8,264,273.0","8,416,628.0","8,472,965.0","8,562,221.0","8,641,102.0","8,774,413.0","8,894,135.0","8,958,045.0","9,057,728.0","9,140,090.0","9,266,462.0","9,428,804.0","9,507,811.0","9,549,844.0","9,654,688.0","9,809,009.0","9,802,511.0","10,004,821.0","9,988,330.0","10,033,614.0","9,987,412.0","10,072,430.0","10,046,279.0","10,101,161.0","10,187,549.0","10,216,119.0","10,263,991.0","10,252,510.0","10,261,089.0","10,377,396.0","10,560,289.0","10,656,865.0","10,708,464.0","10,769,635.0","10,839,459.0","10,903,130.0","11,020,639.0","11,050,063.0","11,112,454.0","11,141,024.0","11,295,438.0","11,332,732.0","11,324,651.0","11,422,474.0","11,430,054.0","11,519,197.0","11,579,758.0","11,563,235.0","11,439,386.0","11,414,256.0","11,256,346.0","11,094,180.0","11,020,441.0","10,978,300.0","10,983,818.0","11,072,550.0","11,127,627.0","11,230,015.0","11,325,577.0","11,382,326.0","11,338,780.0","11,386,365.0","11,443,477.0","11,541,756.0","11,585,955.0","11,643,954.0","11,780,629.0","11,753,994.0"
"35","12","    Command-basis gross national product","CB22RX1","4,371,031.0","4,379,976.0","4,406,830.0","4,387,338.0","4,379,938.0","4,388,705.0","4,420,654.0","4,370,531.0","4,496,769.0","4,522,367.0","4,551,281.0","4,563,602.0","4,645,149.0","4,749,705.0","4,796,958.0","4,882,456.0","5,005,660.0","5,049,421.0","5,035,220.0","5,089,190.0","5,017,452.0","5,003,064.0","4,943,317.0","4,919,877.0","4,859,887.0","4,896,168.0","4,987,793.0","5,062,171.0","5,172,631.0","5,212,300.0","5,234,183.0","5,281,515.0","5,338,839.0","5,427,708.0","5,506,848.0","5,524,314.0","5,541,776.0","5,743,148.0","5,799,451.0","5,894,680.0","5,897,484.0","5,905,501.0","5,938,903.0","5,929,312.0","5,912,274.0","5,773,968.0","5,759,515.0","5,858,023.0","5,976,988.0","5,931,478.0","6,020,229.0","5,959,469.0","5,861,324.0","5,908,975.0","5,880,410.0","5,886,416.0","5,969,752.0","6,109,472.0","6,232,595.0","6,372,769.0","6,491,572.0","6,600,688.0","6,670,732.0","6,724,652.0","6,785,893.0","6,846,582.0","6,937,464.0","6,984,347.0","7,042,483.0","7,081,913.0","7,143,269.0","7,160,624.0","7,199,414.0","7,272,459.0","7,330,069.0","7,460,236.0","7,504,962.0","7,596,195.0","7,646,181.0","7,741,136.0","7,814,863.0","7,864,287.0","7,938,669.0","7,961,086.0","8,029,474.0","8,080,523.0","8,056,944.0","7,982,107.0","7,957,554.0","8,016,560.0","8,054,953.0","8,095,751.0","8,173,736.0","8,258,955.0","8,330,146.0","8,424,491.0","8,454,839.0","8,500,078.0","8,559,262.0","8,658,486.0","8,754,000.0","8,862,401.0","8,907,460.0","9,006,955.0","9,040,879.0","9,055,914.0","9,123,704.0","9,206,301.0","9,281,229.0","9,434,783.0","9,500,417.0","9,609,215.0","9,692,631.0","9,849,735.0","9,976,024.0","10,049,153.0","10,177,004.0","10,274,781.0","10,404,476.0","10,588,209.0","10,700,974.0","10,769,812.0","10,891,544.0","11,078,052.0","11,087,364.0","11,315,715.0","11,316,487.0","11,408,046.0","11,364,037.0","11,473,440.0","11,435,677.0","11,572,159.0","11,628,274.0","11,647,387.0","11,722,318.0","11,740,283.0","11,743,389.0","11,883,615.0","12,076,103.0","12,211,901.0","12,294,637.0","12,340,352.0","12,433,214.0","12,483,466.0","12,649,454.0","12,680,793.0","12,766,947.0","12,780,754.0","12,949,456.0","12,996,937.0","12,990,863.0","13,113,942.0","13,135,861.0","13,248,315.0","13,384,087.0","13,429,828.0","13,295,391.0","13,282,679.0","13,149,950.0","12,926,024.0","12,860,148.0","12,817,596.0","12,866,398.0","12,968,507.0","13,037,898.0","13,166,483.0","13,268,652.0","13,327,668.0","13,307,044.0","13,372,475.0","13,444,054.0","13,557,166.0","13,566,745.0","13,662,251.0","13,804,278.0","....."
"36","13","    Command-basis net national product \1\","C027RX1","4,087,947.0","4,091,949.0","4,114,420.0","4,088,768.0","4,075,735.0","4,080,543.0","4,110,596.0","4,056,869.0","4,182,697.0","4,204,692.0","4,230,287.0","4,239,353.0","4,320,012.0","4,423,720.0","4,466,912.0","4,548,941.0","4,669,306.0","4,707,548.0","4,686,199.0","4,735,708.0","4,655,407.0","4,634,845.0","4,567,431.0","4,538,052.0","4,470,995.0","4,504,148.0","4,594,983.0","4,667,772.0","4,778,284.0","4,814,749.0","4,832,237.0","4,875,852.0","4,929,377.0","5,015,463.0","5,091,167.0","5,102,368.0","5,113,441.0","5,315,607.0","5,366,166.0","5,456,916.0","5,450,831.0","5,450,274.0","5,476,324.0","5,457,841.0","5,431,701.0","5,279,598.0","5,256,925.0","5,352,281.0","5,469,231.0","5,414,442.0","5,499,170.0","5,427,483.0","5,316,345.0","5,358,093.0","5,321,008.0","5,320,719.0","5,401,672.0","5,540,612.0","5,661,722.0","5,799,748.0","5,914,995.0","6,019,052.0","6,081,480.0","6,126,171.0","6,177,366.0","6,228,559.0","6,311,490.0","6,349,584.0","6,400,069.0","6,430,867.0","6,484,162.0","6,491,830.0","6,521,481.0","6,586,756.0","6,636,384.0","6,760,900.0","6,797,798.0","6,882,359.0","6,924,281.0","7,012,189.0","7,078,095.0","7,119,007.0","7,185,433.0","7,198,641.0","7,258,987.0","7,302,204.0","7,269,694.0","7,185,500.0","7,153,414.0","7,206,627.0","7,238,660.0","7,273,018.0","7,345,150.0","7,425,553.0","7,492,474.0","7,583,814.0","7,604,484.0","7,640,564.0","7,691,014.0","7,782,391.0","7,870,165.0","7,970,382.0","8,005,696.0","8,095,687.0","8,118,510.0","8,121,677.0","8,177,947.0","8,248,816.0","8,311,399.0","8,453,190.0","8,505,249.0","8,600,502.0","8,668,913.0","8,811,437.0","8,921,880.0","8,977,761.0","9,087,996.0","9,167,142.0","9,277,863.0","9,442,375.0","9,534,641.0","9,582,554.0","9,683,725.0","9,850,006.0","9,837,992.0","10,044,036.0","10,022,913.0","10,095,595.0","10,033,411.0","10,127,626.0","10,076,255.0","10,201,022.0","10,243,980.0","10,252,118.0","10,315,799.0","10,323,325.0","10,316,746.0","10,447,774.0","10,630,273.0","10,754,341.0","10,824,651.0","10,858,989.0","10,939,461.0","10,976,435.0","11,128,982.0","11,146,940.0","11,218,990.0","11,218,269.0","11,374,217.0","11,405,989.0","11,384,301.0","11,491,401.0","11,496,846.0","11,594,116.0","11,715,505.0","11,747,643.0","11,603,426.0","11,578,850.0","11,435,157.0","11,201,309.0","11,128,701.0","11,084,126.0","11,131,789.0","11,232,295.0","11,299,310.0","11,423,187.0","11,519,029.0","11,571,068.0","11,545,392.0","11,604,078.0","11,667,130.0","11,769,911.0","11,770,488.0","11,856,021.0","11,988,305.0","....."
"37",NA,"After-tax income received by the personal sector:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","14","    Disposable personal income","A067RX1","2,921,985.0","2,951,553.0","3,011,563.0","3,033,545.0","3,048,639.0","3,102,039.0","3,143,978.0","3,133,689.0","3,195,882.0","3,243,872.0","3,258,270.0","3,292,738.0","3,313,494.0","3,344,553.0","3,412,955.0","3,548,815.0","3,589,099.0","3,624,537.0","3,642,751.0","3,687,166.0","3,630,612.0","3,599,481.0","3,610,686.0","3,594,392.0","3,580,332.0","3,747,545.0","3,696,913.0","3,734,322.0","3,789,250.0","3,820,540.0","3,854,911.0","3,882,610.0","3,885,785.0","3,930,030.0","3,988,963.0","4,069,449.0","4,094,518.0","4,141,540.0","4,175,136.0","4,207,872.0","4,253,906.0","4,224,169.0","4,248,346.0","4,282,295.0","4,294,285.0","4,234,171.0","4,277,794.0","4,366,104.0","4,356,099.0","4,356,656.0","4,453,305.0","4,462,319.0","4,467,513.0","4,498,797.0","4,518,470.0","4,534,353.0","4,570,105.0","4,603,373.0","4,672,511.0","4,768,930.0","4,873,196.0","4,957,077.0","5,034,346.0","5,082,173.0","5,069,695.0","5,170,388.0","5,138,423.0","5,191,598.0","5,253,370.0","5,313,033.0","5,340,886.0","5,344,110.0","5,376,884.0","5,318,570.0","5,413,713.0","5,490,589.0","5,559,574.0","5,611,753.0","5,654,954.0","5,705,883.0","5,770,763.0","5,747,081.0","5,784,282.0","5,828,631.0","5,872,477.0","5,911,135.0","5,915,383.0","5,875,537.0","5,893,573.0","5,938,340.0","5,950,912.0","5,989,691.0","6,080,103.0","6,126,692.0","6,157,829.0","6,245,408.0","6,153,779.0","6,249,452.0","6,262,832.0","6,355,117.0","6,329,701.0","6,437,657.0","6,485,036.0","6,571,046.0","6,613,633.0","6,614,158.0","6,663,702.0","6,703,163.0","6,774,587.0","6,847,441.0","6,905,726.0","6,943,563.0","7,005,696.0","7,058,257.0","7,139,116.0","7,238,251.0","7,402,862.0","7,508,627.0","7,587,544.0","7,643,077.0","7,694,853.0","7,712,463.0","7,762,379.0","7,884,127.0","8,049,794.0","8,132,261.0","8,218,563.0","8,230,851.0","8,292,722.0","8,270,046.0","8,480,577.0","8,381,704.0","8,607,644.0","8,655,018.0","8,625,317.0","8,645,739.0","8,677,517.0","8,808,759.0","8,932,083.0","8,983,535.0","9,023,379.0","9,112,602.0","9,173,516.0","9,301,805.0","9,188,532.0","9,253,249.0","9,308,397.0","9,359,302.0","9,534,595.0","9,619,083.0","9,665,318.0","9,791,993.0","9,836,286.0","9,850,970.0","9,889,718.0","9,944,118.0","10,087,401.0","10,288,451.0","10,053,715.0","10,047,928.0","9,927,293.0","9,915,636.0","9,760,184.0","9,746,387.0","9,881,621.0","10,034,140.0","10,063,314.0","10,087,417.0","10,195,722.0","10,157,801.0","10,125,615.0","10,121,536.0","10,213,945.0","10,270,579.0","10,288,778.0","10,445,420.0"
"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","1. In this table, net measures are the corresponding gross measures less the depreciation of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","fixed assets as measured by the consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2. Equals gross domestic purchases less change in private inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","3. The command-basis estimates (lines 10-13) measure the purchasing power of the income generated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","by the sale of goods and services produced; they reflect gains or losses in real income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","resulting from changes in the terms of trade for exports and imports.  For more detail on the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","command-basis estimates, see NIPA tables 1.8.3 and 1.8.6.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
