"","Table 3#21# Local Government Current Receipts and Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"20","2","Current tax receipts","W831RC1","38,431.0","43,154.0","47,937.0","52,041.0","56,078.0","60,166.0","65,543.0","71,910.0","78,615.0","80,768.0","83,100.0","89,139.0","100,155.0","110,845.0","120,387.0","131,903.0","142,827.0","155,572.0","168,452.0","183,314.0","199,642.0","213,557.0","230,127.0","240,981.0","247,689.0","263,786.0","270,665.0","283,723.0","300,777.0","314,222.0","332,543.0","353,139.0","367,451.0","392,283.0","416,509.0","448,617.0","481,896.0","516,967.0","548,538.0","556,723.0","574,845.0","581,735.0","591,761.0"
"21","3","  Personal current taxes","W832RC1","2,025.0","2,259.0","2,463.0","2,986.0","3,046.0","3,426.0","3,715.0","4,097.0","4,475.0","4,859.0","5,133.0","5,147.0","6,157.0","6,881.0","7,246.0","7,785.0","8,193.0","8,871.0","9,125.0","11,664.0","12,250.0","12,928.0","13,499.0","14,687.0","14,811.0","15,861.0","17,171.0","17,757.0","19,256.0","20,852.0","21,934.0","23,163.0","22,883.0","22,737.0","24,372.0","27,227.0","30,041.0","31,254.0","33,612.0","33,307.0","30,185.0","33,157.0","32,238.0"
"22","4","    Income taxes","W833RC1","1,149.0","1,320.0","1,490.0","1,988.0","2,046.0","2,304.0","2,519.0","2,826.0","3,207.0","3,397.0","3,602.0","3,451.0","4,332.0","4,915.0","5,133.0","5,590.0","6,014.0","6,764.0","6,828.0","9,053.0","9,405.0","9,954.0","10,339.0","11,364.0","11,307.0","12,041.0","13,308.0","13,687.0","14,933.0","16,241.0","17,093.0","18,134.0","17,600.0","17,085.0","18,226.0","20,315.0","22,505.0","23,139.0","25,339.0","25,362.0","22,049.0","24,833.0","23,652.0"
"23","5","    Other","W834RC1","876.0","939.0","973.0","998.0","1,000.0","1,122.0","1,196.0","1,271.0","1,268.0","1,462.0","1,531.0","1,696.0","1,825.0","1,966.0","2,113.0","2,195.0","2,179.0","2,107.0","2,297.0","2,611.0","2,845.0","2,974.0","3,160.0","3,323.0","3,504.0","3,820.0","3,863.0","4,070.0","4,323.0","4,611.0","4,841.0","5,029.0","5,283.0","5,652.0","6,146.0","6,912.0","7,536.0","8,115.0","8,273.0","7,945.0","8,136.0","8,324.0","8,586.0"
"24","6","  Taxes on production and imports","W8735C1","36,148.0","40,646.0","45,211.0","48,754.0","52,715.0","56,406.0","61,401.0","67,265.0","73,555.0","75,309.0","77,340.0","83,260.0","93,026.0","103,008.0","112,101.0","122,743.0","133,088.0","144,740.0","157,259.0","169,394.0","185,588.0","198,667.0","214,546.0","224,161.0","230,464.0","245,448.0","251,007.0","262,891.0","278,376.0","290,014.0","307,112.0","326,489.0","341,606.0","366,404.0","388,649.0","416,778.0","446,039.0","478,554.0","507,949.0","517,509.0","537,868.0","542,287.0","552,490.0"
"25","7","    Sales taxes","W836RC1","2,869.0","3,452.0","3,971.0","4,577.0","5,240.0","6,148.0","6,954.0","7,892.0","8,993.0","10,167.0","11,546.0","12,823.0","14,296.0","15,868.0","17,690.0","20,119.0","22,121.0","24,082.0","25,713.0","27,243.0","30,064.0","31,765.0","33,160.0","34,626.0","37,004.0","39,742.0","42,240.0","44,352.0","47,354.0","50,611.0","55,621.0","61,328.0","61,858.0","63,175.0","66,785.0","70,240.0","76,508.0","84,161.0","88,530.0","88,909.0","86,927.0","88,113.0","90,647.0"
"26","8","    Property taxes","W837RC1","31,899.0","35,732.0","39,480.0","42,155.0","45,170.0","47,866.0","51,935.0","56,713.0","61,698.0","61,829.0","62,055.0","66,238.0","74,427.0","82,549.0","88,879.0","96,346.0","104,017.0","112,580.0","122,679.0","132,739.0","145,568.0","156,954.0","171,140.0","178,579.0","181,347.0","192,376.0","195,339.0","204,183.0","215,467.0","222,463.0","233,653.0","246,897.0","259,967.0","281,713.0","297,703.0","318,368.0","337,844.0","360,341.0","386,199.0","398,675.0","420,855.0","422,532.0","428,870.0"
"27","9","    Other","W838RC1","1,380.0","1,462.0","1,760.0","2,022.0","2,305.0","2,392.0","2,512.0","2,660.0","2,864.0","3,313.0","3,739.0","4,199.0","4,303.0","4,591.0","5,532.0","6,278.0","6,950.0","8,078.0","8,867.0","9,412.0","9,956.0","9,948.0","10,246.0","10,956.0","12,113.0","13,330.0","13,428.0","14,356.0","15,555.0","16,940.0","17,838.0","18,264.0","19,781.0","21,516.0","24,161.0","28,170.0","31,687.0","34,052.0","33,220.0","29,925.0","30,086.0","31,642.0","32,973.0"
"28","10","  Taxes on corporate income","W839RC1","258.0","249.0","263.0","301.0","317.0","334.0","427.0","548.0","585.0","600.0","627.0","732.0","972.0","956.0","1,040.0","1,375.0","1,546.0","1,961.0","2,068.0","2,256.0","1,804.0","1,962.0","2,082.0","2,133.0","2,414.0","2,477.0","2,487.0","3,075.0","3,145.0","3,356.0","3,497.0","3,487.0","2,962.0","3,142.0","3,488.0","4,612.0","5,816.0","7,159.0","6,977.0","5,907.0","6,793.0","6,291.0","7,033.0"
"29","11","Contributions for government social insurance","ZZZZZZ1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"30","12","Income receipts on assets","W841RC1","2,201.0","2,634.0","2,820.0","2,994.0","3,873.0","5,157.0","5,562.0","5,103.0","5,612.0","7,247.0","9,802.0","12,904.0","16,375.0","19,208.0","21,930.0","25,246.0","28,949.0","31,054.0","29,915.0","30,003.0","33,323.0","34,526.0","33,582.0","30,887.0","28,782.0","29,513.0","31,911.0","34,197.0","36,371.0","38,104.0","38,725.0","44,782.0","43,083.0","36,688.0","31,927.0","32,575.0","37,712.0","44,034.0","51,170.0","46,876.0","38,981.0","34,934.0","33,817.0"
"31","13","  Interest receipts","W842RC1","1,776.0","2,159.0","2,287.0","2,427.0","3,251.0","4,476.0","4,861.0","4,386.0","4,937.0","6,531.0","8,926.0","11,834.0","15,263.0","17,783.0","19,833.0","22,802.0","26,221.0","27,539.0","27,182.0","28,268.0","31,634.0","32,718.0","31,644.0","28,839.0","26,725.0","27,493.0","29,944.0","32,246.0","34,316.0","35,860.0","36,214.0","42,130.0","40,281.0","33,769.0","28,688.0","29,182.0","33,917.0","40,136.0","47,123.0","42,700.0","34,754.0","30,577.0","29,276.0"
"32","14","  Dividends","ZZZZZZ1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"33","15","  Rents and royalties","W844RC1","425.0","475.0","533.0","567.0","622.0","681.0","701.0","717.0","675.0","716.0","876.0","1,070.0","1,112.0","1,425.0","2,097.0","2,444.0","2,728.0","3,515.0","2,733.0","1,735.0","1,689.0","1,808.0","1,938.0","2,048.0","2,057.0","2,020.0","1,967.0","1,951.0","2,055.0","2,244.0","2,511.0","2,652.0","2,802.0","2,919.0","3,239.0","3,393.0","3,795.0","3,898.0","4,047.0","4,176.0","4,227.0","4,357.0","4,541.0"
"34","16","Current transfer receipts","W845RC1","27,705.0","33,600.0","38,204.0","44,375.0","51,781.0","56,555.0","64,975.0","72,635.0","79,947.0","91,359.0","97,808.0","106,420.0","111,313.0","114,769.0","119,475.0","130,617.0","142,731.0","152,411.0","157,418.0","168,787.0","178,810.0","189,637.0","203,488.0","218,619.0","233,087.0","250,280.0","265,854.0","280,931.0","297,600.0","321,042.0","348,573.0","373,689.0","395,213.0","415,188.0","447,523.0","456,117.0","476,575.0","500,922.0","527,950.0","540,418.0","543,103.0","548,914.0","557,306.0"
"35","17","  Federal grants-in-aid","W846RC1","1,252.0","3,151.0","3,792.0","5,866.0","8,950.0","8,658.0","11,212.0","13,639.0","16,008.0","20,366.0","18,051.0","17,637.0","14,816.0","13,532.0","12,984.0","13,343.0","13,554.0","13,152.0","8,987.0","9,524.0","6,790.0","6,741.0","6,972.0","7,351.0","8,064.0","9,946.0","10,600.0","12,683.0","14,097.0","18,015.0","20,220.0","20,625.0","22,483.0","23,813.0","36,507.0","28,686.0","31,068.0","26,597.0","26,984.0","24,658.0","25,523.0","32,216.0","31,690.0"
"36","18","  State government grants-in-aid","W847RC1","25,360.0","29,224.0","32,997.0","36,854.0","41,092.0","45,882.0","51,412.0","56,197.0","60,709.0","67,259.0","75,384.0","83,767.0","90,420.0","94,458.0","98,953.0","108,704.0","119,958.0","128,854.0","137,804.0","148,105.0","159,459.0","169,408.0","181,899.0","194,829.0","205,966.0","218,886.0","231,550.0","242,362.0","255,099.0","273,348.0","296,369.0","318,718.0","336,731.0","351,900.0","366,670.0","379,532.0","397,766.0","423,046.0","445,868.0","459,584.0","460,570.0","457,992.0","465,166.0"
"37","19","  From business (net)","W848RC1","415.0","435.0","468.0","531.0","723.0","872.0","973.0","1,110.0","1,302.0","1,544.0","1,798.0","2,035.0","2,400.0","2,698.0","3,001.0","3,416.0","3,547.0","3,883.0","3,968.0","4,305.0","5,076.0","5,475.0","5,948.0","6,675.0","7,669.0","8,566.0","9,390.0","10,169.0","11,132.0","11,806.0","12,655.0","13,539.0","13,722.0","15,382.0","17,209.0","18,779.0","18,127.0","20,015.0","21,744.0","22,586.0","22,671.0","23,444.0","24,329.0"
"38","20","  From persons","W849RC1","678.0","790.0","947.0","1,124.0","1,016.0","1,143.0","1,378.0","1,689.0","1,928.0","2,190.0","2,575.0","2,981.0","3,677.0","4,081.0","4,537.0","5,154.0","5,672.0","6,522.0","6,659.0","6,853.0","7,485.0","8,013.0","8,669.0","9,764.0","11,388.0","12,882.0","14,314.0","15,717.0","17,272.0","17,873.0","19,329.0","20,807.0","22,277.0","24,093.0","27,137.0","29,120.0","29,614.0","31,264.0","33,354.0","33,590.0","34,339.0","35,262.0","36,120.0"
"39","21","Current surplus of government enterprises","W850RC1","882.0","919.0","799.0","1,082.0","1,031.0","705.0","470.0","421.0","329.0","240.0","-280.0","-875.0","-1,708.0","-1,134.0","-129.0","1,171.0","2,286.0","1,978.0","2,711.0","4,014.0","5,323.0","5,614.0","6,087.0","6,611.0","7,542.0","7,864.0","10,451.0","12,662.0","11,779.0","10,467.0","11,990.0","10,433.0","8,852.0","7,499.0","3,606.0","-60.0","-1,143.0","-472.0","-3,785.0","-5,639.0","-4,515.0","-4,984.0","-5,896.0"
"40","22","    Current expenditures","W851RC1","62,369.0","72,033.0","81,563.0","90,616.0","100,370.0","112,481.0","129,130.0","140,936.0","153,901.0","168,461.0","182,770.0","200,975.0","219,369.0","237,891.0","256,002.0","275,881.0","303,950.0","336,083.0","354,377.0","375,004.0","402,482.0","435,253.0","463,405.0","488,636.0","508,255.0","533,320.0","558,992.0","583,809.0","609,544.0","638,651.0","673,951.0","721,065.0","767,798.0","812,558.0","862,012.0","900,690.0","953,182.0","1,011,566.0","1,085,972.0","1,151,323.0","1,168,427.0","1,181,722.0","1,184,785.0"
"41","23","Consumption expenditures","W852RC1","56,644.0","64,870.0","72,889.0","80,599.0","89,491.0","100,103.0","114,118.0","123,858.0","135,309.0","148,469.0","161,334.0","177,189.0","192,546.0","208,211.0","221,474.0","237,437.0","262,953.0","293,710.0","305,773.0","324,097.0","346,537.0","375,519.0","397,850.0","419,857.0","438,430.0","460,411.0","484,219.0","506,558.0","529,272.0","556,591.0","590,067.0","632,760.0","675,262.0","717,429.0","763,009.0","799,542.0","851,353.0","907,933.0","973,314.0","1,032,220.0","1,049,136.0","1,058,013.0","1,058,062.0"
"42","24","Current transfer payments","W853RC1","3,182.0","4,082.0","4,998.0","5,554.0","5,946.0","6,710.0","8,314.0","9,530.0","10,375.0","11,265.0","11,091.0","12,276.0","13,027.0","13,342.0","15,175.0","16,381.0","17,249.0","18,216.0","18,826.0","19,638.0","20,738.0","22,858.0","26,501.0","29,461.0","31,721.0","33,365.0","33,950.0","33,782.0","34,240.0","34,477.0","34,919.0","36,984.0","38,942.0","41,325.0","43,759.0","46,678.0","47,472.0","46,708.0","50,705.0","52,621.0","54,305.0","57,677.0","58,473.0"
"43","25","  Government social benefit payments to persons","W854RC1","2,419.0","3,218.0","4,046.0","4,474.0","4,704.0","5,387.0","6,598.0","7,277.0","7,971.0","8,738.0","8,902.0","9,944.0","10,359.0","10,244.0","11,007.0","11,408.0","12,088.0","12,917.0","13,357.0","14,052.0","14,957.0","16,622.0","18,905.0","20,509.0","21,647.0","22,357.0","22,854.0","21,777.0","20,782.0","21,133.0","22,057.0","23,003.0","24,026.0","25,810.0","27,319.0","29,096.0","30,863.0","31,722.0","33,575.0","35,481.0","38,338.0","41,253.0","41,657.0"
"44","26","  Grants-in-aid to state governments","W855RC1","763.0","864.0","952.0","1,080.0","1,242.0","1,323.0","1,716.0","2,253.0","2,404.0","2,527.0","2,189.0","2,332.0","2,668.0","3,098.0","4,168.0","4,973.0","5,161.0","5,299.0","5,469.0","5,586.0","5,781.0","6,236.0","7,596.0","8,952.0","10,074.0","11,008.0","11,096.0","12,005.0","13,458.0","13,344.0","12,862.0","13,981.0","14,916.0","15,515.0","16,440.0","17,582.0","16,609.0","14,986.0","17,130.0","17,140.0","15,967.0","16,424.0","16,816.0"
"45","27","Interest payments","W856RC1","2,538.0","3,076.0","3,789.0","4,343.0","4,896.0","5,570.0","6,406.0","7,244.0","7,922.0","8,626.0","9,913.0","11,150.0","13,409.0","15,841.0","18,796.0","21,492.0","23,034.0","23,135.0","28,591.0","30,021.0","33,973.0","35,605.0","37,667.0","37,949.0","36,750.0","38,160.0","39,438.0","42,047.0","44,477.0","46,035.0","47,407.0","49,696.0","51,851.0","52,184.0","53,808.0","52,907.0","52,429.0","54,689.0","59,715.0","64,420.0","63,335.0","64,561.0","66,735.0"
"46","28","Subsidies","W857RC1","5.0","5.0","8.0","13.0","23.0","98.0","292.0","304.0","295.0","276.0","297.0","320.0","387.0","497.0","557.0","571.0","714.0","1,022.0","1,187.0","1,248.0","1,234.0","1,271.0","1,387.0","1,369.0","1,354.0","1,384.0","1,385.0","1,422.0","1,555.0","1,548.0","1,558.0","1,626.0","1,742.0","1,619.0","1,436.0","1,563.0","1,928.0","2,236.0","2,238.0","2,062.0","1,650.0","1,470.0","1,515.0"
"47","29","Less: Wage accruals less disbursements","W858RC1","0.0","0.0","121.0","-107.0","-14.0","0.0","0.0","0.0","0.0","175.0","-135.0","-40.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"48","30","    Net local government saving","W859RC1","6,850.0","8,274.0","8,197.0","9,876.0","12,393.0","10,101.0","7,420.0","9,132.0","10,601.0","11,153.0","7,660.0","6,613.0","6,765.0","5,797.0","5,661.0","13,055.0","12,844.0","4,932.0","4,118.0","11,114.0","14,616.0","8,080.0","9,879.0","8,463.0","8,846.0","18,122.0","19,889.0","27,704.0","36,983.0","45,184.0","57,880.0","60,979.0","46,801.0","39,101.0","37,552.0","36,559.0","41,858.0","49,884.0","37,901.0","-12,945.0","-16,012.0","-21,123.0","-7,796.0"
"49","31","Social insurance funds","ZZZZZZ1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"50","32","Other","W861RC1","6,850.0","8,274.0","8,197.0","9,876.0","12,393.0","10,101.0","7,420.0","9,132.0","10,601.0","11,153.0","7,660.0","6,613.0","6,765.0","5,797.0","5,661.0","13,055.0","12,844.0","4,932.0","4,118.0","11,114.0","14,616.0","8,080.0","9,879.0","8,463.0","8,846.0","18,122.0","19,889.0","27,704.0","36,983.0","45,184.0","57,880.0","60,979.0","46,801.0","39,101.0","37,552.0","36,559.0","41,858.0","49,884.0","37,901.0","-12,945.0","-16,012.0","-21,123.0","-7,796.0"
"51",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","33","  Total receipts","W862RC1","72,390.0","83,181.0","93,135.0","104,193.0","116,985.0","128,280.0","143,022.0","157,361.0","172,821.0","188,442.0","200,484.0","218,503.0","237,284.0","254,460.0","272,448.0","300,258.0","328,185.0","352,924.0","370,307.0","397,719.0","429,143.0","456,072.0","486,393.0","510,566.0","530,997.0","565,637.0","594,918.0","628,250.0","663,781.0","701,349.0","750,339.0","802,293.0","838,332.0","874,457.0","923,093.0","961,640.0","1,021,099.0","1,085,684.0","1,150,753.0","1,166,629.0","1,183,081.0","1,198,160.0","1,211,455.0"
"53","34","    Current receipts","W830RC1","69,219.0","80,307.0","89,760.0","100,492.0","112,763.0","122,583.0","136,549.0","150,069.0","164,503.0","179,614.0","190,430.0","207,588.0","226,135.0","243,688.0","261,663.0","288,937.0","316,793.0","341,014.0","358,495.0","386,118.0","417,098.0","443,333.0","473,284.0","497,098.0","517,101.0","551,442.0","578,881.0","611,513.0","646,527.0","683,835.0","731,831.0","782,044.0","814,599.0","851,658.0","899,564.0","937,249.0","995,040.0","1,061,450.0","1,123,873.0","1,138,378.0","1,152,414.0","1,160,598.0","1,176,988.0"
"54","35","    Capital transfer receipts","W864RC1","3,171.0","2,874.0","3,375.0","3,701.0","4,222.0","5,697.0","6,473.0","7,292.0","8,318.0","8,828.0","10,054.0","10,915.0","11,149.0","10,772.0","10,785.0","11,321.0","11,392.0","11,910.0","11,812.0","11,601.0","12,045.0","12,739.0","13,109.0","13,467.0","13,896.0","14,194.0","16,036.0","16,736.0","17,253.0","17,513.0","18,508.0","20,249.0","23,733.0","22,799.0","23,529.0","24,391.0","26,059.0","24,234.0","26,880.0","28,251.0","30,667.0","37,561.0","34,467.0"
"55","36","  Total expenditures","W865RC1","73,853.0","82,369.0","91,912.0","100,391.0","111,480.0","126,961.0","145,571.0","156,874.0","168,524.0","186,830.0","203,327.0","224,126.0","240,931.0","258,194.0","275,840.0","298,794.0","331,018.0","367,277.0","387,111.0","410,247.0","442,328.0","481,347.0","510,495.0","534,684.0","551,215.0","577,365.0","608,826.0","639,916.0","673,192.0","705,473.0","750,597.0","804,261.0","857,449.0","910,532.0","962,810.0","1,001,930.0","1,054,282.0","1,121,546.0","1,208,530.0","1,280,657.0","1,289,779.0","1,287,402.0","1,270,744.0"
"56","37","    Current expenditures","W851RC1","62,369.0","72,033.0","81,563.0","90,616.0","100,370.0","112,481.0","129,130.0","140,936.0","153,901.0","168,461.0","182,770.0","200,975.0","219,369.0","237,891.0","256,002.0","275,881.0","303,950.0","336,083.0","354,377.0","375,004.0","402,482.0","435,253.0","463,405.0","488,636.0","508,255.0","533,320.0","558,992.0","583,809.0","609,544.0","638,651.0","673,951.0","721,065.0","767,798.0","812,558.0","862,012.0","900,690.0","953,182.0","1,011,566.0","1,085,972.0","1,151,323.0","1,168,427.0","1,181,722.0","1,184,785.0"
"57","38","    Gross government investment","W867RC1","15,948.0","15,377.0","15,991.0","16,041.0","18,053.0","23,087.0","26,619.0","27,062.0","26,743.0","31,744.0","35,667.0","40,485.0","41,192.0","41,825.0","42,413.0","46,347.0","51,611.0","57,152.0","60,419.0","64,919.0","71,473.0","79,920.0","83,461.0","84,466.0","83,899.0","87,299.0","95,701.0","104,978.0","115,384.0","120,235.0","133,303.0","144,839.0","154,119.0","165,227.0","171,729.0","178,494.0","185,781.0","201,778.0","222,697.0","236,913.0","235,483.0","223,754.0","209,809.0"
"58","39","    Capital transfer payments","ZZZZZZ1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"59","40","    Net purchases of nonproduced assets","W868RC1","798.0","861.0","940.0","934.0","1,055.0","1,006.0","1,018.0","923.0","928.0","1,038.0","1,188.0","1,379.0","1,492.0","1,365.0","1,386.0","1,693.0","2,029.0","2,404.0","2,626.0","2,761.0","3,306.0","3,985.0","3,963.0","3,998.0","4,152.0","4,598.0","4,973.0","4,442.0","4,223.0","5,571.0","6,177.0","6,033.0","7,451.0","8,011.0","8,008.0","8,179.0","8,513.0","9,030.0","10,139.0","10,532.0","9,560.0","9,035.0","9,125.0"
