"","Table 7U# Chain-Type Price Indexes for BEA Real Retail and Food ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172"
"21","13","S2 PN4441ZZMG     Building material and supplies dealers","T070133",86.429,88.178,89.34,89.859,89.832,89.231,88.979,88.968,89.555,89.526,89.915,91.193,92.796,95.284,97.808,98.914,98.465,97.056,96.56,96.328,96.863,97.92,98.81,99.457,100.511,99.746,100.572,99.489,98.946,99.441,99.074,98.974,99.329,99.375,99.855,99.794,99.938,99.568,100.063,100.128,100.188,99.578,99.599,99.906,100.163,99.709,99.032,98.836,98.598,98.625,98.711,98.555,99.777,99.936,99.597,100.443,101.318,100.601,101.437,101.621,101.916,102.64,103.115,103.164,103.46,103.023,103.176,102.883,102.582,101.864,101.876,101.567,101.714,101.926,102.037,101.784,100.969,100.102,100.205,100.575,99.739,98.826,98.714,99.051,99.257,99.84,100.296,100.171,100.761,101.797,103.135,102.574,101.293,100.335,100.521,100.924,101.119,101.037,101.639,101.177,100.23,100.164,99.814,99.051,98.991,99.008,99.001,98.769,98.364,98.686,98.842,98.713,100.322,100.622,99.69,99.788,99.524,98.382,97.911,97.618,97.906,98.479,99.253,99.56,99.076,98.865,98.801,98.937,98.508,97.999,98.026,97.847,97.766,98.277,98.033,97.993,98.097,98.184,98.815,99.056,100.663,100.759,100.813,100.683,101.266,103.055,104.253,105.22,106.146,105.167,104.817,106.176,106.319,105.282,104.205,104.618,105.44,106.642,107.126,107.191,106.507,107.149,106.649,106.124,107.027,107.527,106.633,106.75,107.4
"22","14","S3 PN4442ZZMG     Lawn and garden equipment and supplies stores","T070143",91.774,91.873,92.245,92.608,92.179,92.403,92.23,92.052,91.867,91.501,91.489,92.026,91.671,91.374,91.311,91.316,90.633,90.386,90.408,90.487,90.901,91.601,92.061,92.698,92.569,92.819,93.17,93.335,94.294,94.51,94.594,94.825,95.232,95.734,95.579,95.698,95.951,96.452,96.899,96.935,97.669,97.7,97.86,98.128,98.409,98.176,98.607,98.391,98.4,99.007,99.499,99.924,99.686,99.095,99.2,99.262,99.644,99.173,99.382,100.115,99.353,99.236,99.561,99.629,99.359,98.985,98.986,98.769,98.717,99.13,99.093,99.101,100.692,100.7,100.215,100.33,99.777,99.568,99.901,99.821,99.555,99.456,99.512,99.232,99.141,99.367,99.327,99.712,99.759,99.747,99.146,99.291,99.123,99.156,98.405,98.881,98.641,98.84,99.742,100.005,100.173,100.274,100.279,100.156,100.247,100.285,100.621,100.735,101.635,102.813,102.766,102.853,102.982,103.027,102.566,102.433,101.772,101.839,101.855,101.671,101.364,101.409,101.212,101.177,101.455,101.51,101.615,101.316,101.537,101.842,102.132,101.885,102.145,102.448,103.596,103.614,103.408,103.556,103.494,103.804,103.84,103.806,104.207,104.531,105.155,106.009,106.872,107.176,107.364,107.169,107.19,107.535,108.293,109.716,110.239,110.339,111.122,111.167,111.239,111.493,111.869,112.5,113.675,113.988,115.316,115.371,115.672,115.806,116.203
"23","15","S1 PN445ZZZMG   Food and beverage stores","T070153",84.077,84.353,84.509,84.486,84.371,84.658,84.673,85.118,85.263,85.176,85.11,85.191,85.333,85.536,85.542,85.661,86.183,86.019,85.99,85.949,85.823,86.19,86.416,86.578,86.595,86.469,86.437,86.579,86.757,87.074,87.41,87.603,87.706,87.596,87.657,88.024,88.012,88.307,88.286,88.837,88.848,88.916,89.076,89.199,89.442,89.622,89.718,89.852,90.099,90.342,90.699,90.998,91.04,91.381,91.695,91.946,92.178,92.562,92.706,92.712,92.616,92.952,92.96,93.039,93.116,93.137,93.3,93.401,93.544,93.675,93.812,93.765,94.17,94.211,94.251,94.449,94.729,94.731,94.957,95.15,95.25,95.599,95.658,96.164,96.73,96.737,96.574,96.901,97.055,97.121,97.347,97.441,97.967,98.042,98.191,98.321,98.459,98.769,99.118,99.368,99.771,99.86,100.405,100.58,100.797,100.714,100.904,101.255,101.539,101.913,102.087,102.415,102.613,102.95,103.475,103.549,103.822,103.942,104.135,103.87,104.177,104.553,104.554,105.18,104.556,104.691,104.888,104.898,105.109,104.839,105.137,105.251,105.158,105.623,105.743,105.768,105.726,106.191,106.256,106.592,106.727,107.017,107.301,107.934,107.78,108.045,108.378,108.558,109.223,109.342,109.469,109.5,109.407,109.964,110.146,110.165,110.08,110.046,110.259,111.112,111.168,111.001,111.311,111.326,111.74,111.895,112.062,112.185,112.689
"24","16","S1 PN4451ZZMG     Grocery stores","T070163",83.956,84.232,84.382,84.363,84.222,84.521,84.539,85,85.137,85.037,84.971,85.053,85.19,85.396,85.413,85.539,86.101,85.923,85.894,85.858,85.728,86.121,86.347,86.516,86.527,86.398,86.366,86.518,86.706,87.033,87.379,87.597,87.709,87.599,87.652,88.041,88.037,88.345,88.316,88.88,88.887,88.959,89.138,89.242,89.496,89.683,89.779,89.934,90.161,90.406,90.759,91.071,91.106,91.443,91.763,92.018,92.252,92.645,92.791,92.782,92.668,93.009,93.017,93.087,93.155,93.175,93.342,93.43,93.581,93.707,93.861,93.8,94.225,94.272,94.324,94.509,94.798,94.795,95.037,95.23,95.313,95.668,95.725,96.218,96.799,96.785,96.627,96.947,97.103,97.173,97.384,97.476,97.994,98.074,98.214,98.318,98.452,98.765,99.095,99.344,99.782,99.852,100.41,100.591,100.814,100.72,100.904,101.271,101.555,101.941,102.119,102.446,102.646,102.993,103.52,103.6,103.862,103.987,104.178,103.913,104.217,104.585,104.608,105.248,104.577,104.7,104.901,104.896,105.123,104.823,105.144,105.26,105.154,105.637,105.75,105.786,105.724,106.208,106.27,106.614,106.747,107.047,107.337,107.988,107.813,108.108,108.443,108.594,109.311,109.424,109.561,109.582,109.456,110.043,110.22,110.248,110.153,110.095,110.31,111.21,111.275,111.108,111.434,111.426,111.839,112.011,112.195,112.333,112.818
"25","17","S3 PN4452ZZMG     Specialty food stores","T070173",84.789,85.115,85.297,85.197,84.962,85.355,85.241,85.838,86.039,85.874,85.724,85.776,85.869,86.05,86.091,86.231,86.898,86.71,86.673,86.803,86.773,87.196,87.439,87.624,87.656,87.502,87.412,87.581,87.809,88.181,88.637,88.891,89.018,88.813,88.884,89.352,89.299,89.673,89.619,90.311,90.247,90.312,90.476,90.514,90.832,90.999,91.012,91.204,91.399,91.671,92.091,92.457,92.439,92.931,93.245,93.56,93.859,94.298,94.467,94.502,94.379,94.702,94.567,94.648,94.73,94.858,94.997,95.149,95.266,95.341,95.464,95.434,95.931,95.791,95.931,96,96.225,96.23,96.408,96.645,96.533,96.995,97.123,97.099,97.492,97.518,97.43,97.586,97.813,97.768,97.805,97.923,98.229,98.378,98.53,98.622,98.671,98.975,99.197,99.242,99.867,99.903,100.391,100.582,100.659,100.651,100.641,101.221,101.415,101.895,102.098,102.208,102.517,102.824,103.22,103.507,103.502,103.923,103.938,103.75,104.067,104.268,104.479,104.807,104.124,104.062,104.26,104.105,104.346,104.14,104.554,104.641,104.492,105.15,105.321,105.344,105.382,106.026,105.934,106.392,106.531,106.971,107.351,108.101,107.743,108.043,108.374,108.52,109.402,109.522,109.659,109.646,109.364,110.095,110.304,110.261,110.041,109.85,110.143,111.252,111.219,110.992,111.246,111.114,111.483,111.665,111.904,112.013,112.497
"26","18","S2 PN4453ZZMG     Beer, wine, liquor stores","T070183",85.682,85.938,86.167,86.123,86.473,86.521,86.559,86.668,86.918,87.063,87.057,87.136,87.376,87.542,87.362,87.365,87.191,87.267,87.231,87.019,86.905,86.838,87.054,87.09,87.199,87.133,87.128,87.101,87.103,87.243,87.36,87.139,87.102,87.031,87.198,87.179,87.061,87.126,87.248,87.525,87.634,87.64,87.502,87.964,87.992,88.075,88.223,88.021,88.587,88.79,89.176,89.24,89.427,89.753,89.982,90.124,90.297,90.526,90.62,90.839,91.013,91.275,91.368,91.568,91.773,91.759,91.869,92.148,92.179,92.397,92.314,92.451,92.533,92.574,92.399,92.832,93.02,93.086,93.107,93.288,93.725,93.932,93.987,94.939,95.374,95.671,95.398,95.902,95.995,96.069,96.598,96.709,97.446,97.428,97.689,98.209,98.449,98.71,99.385,99.747,99.566,99.942,100.324,100.42,100.613,100.644,101.017,101.03,101.374,101.537,101.642,102.087,102.195,102.42,102.986,102.859,103.44,103.335,103.643,103.344,103.689,104.258,103.854,104.434,104.48,104.878,105.03,105.334,105.301,105.429,105.336,105.421,105.557,105.662,105.844,105.723,105.926,106.025,106.216,106.359,106.527,106.598,106.743,107.08,107.32,107.149,107.46,108.065,107.888,108.091,108.074,108.273,108.725,108.789,109.007,108.941,109.08,109.462,109.587,109.647,109.636,109.528,109.651,110.05,110.516,110.429,110.317,110.255,111.033
"27","19","S1 PN448ZZZMG   Clothing and clothing accessories stores","T070193",111.963,111.632,111.619,110.986,111.746,111.792,112.135,111.812,111.634,111.85,111.975,112.214,111.837,112.117,111.552,111.858,111.298,110.891,110.897,111.79,111.397,110.94,111.499,111.187,110.454,110.05,110.628,110.39,110.754,110.986,110.75,109.996,109.955,109.283,109.261,108.815,108.72,107.707,107.933,108.121,107.512,107.361,107.409,107.611,107.476,107.513,107.237,107.324,107.258,106.606,107.091,106.503,106.486,105.823,105.596,104.105,105.05,105.054,105.318,105.179,105.526,105.41,105.346,105.922,106.316,106.066,105.852,104.882,105.09,104.786,104.756,104.887,104.619,103.843,103.331,103.117,103.458,103.233,103.296,104.418,103.06,102.883,103.033,102.188,101.755,101.299,100.963,101.976,102.019,101.918,101.603,101.317,101.446,101.647,101.385,101.335,100.746,100.497,100.454,100.321,99.984,99.594,99.386,99.342,99.984,100.002,99.894,99.794,100.128,100.019,100.17,99.183,98.372,98.665,98.444,97.715,97.204,97.485,97.016,96.749,96.486,96.307,96.994,96.759,96.324,95.765,95.158,95.819,95.534,95.165,95.067,94.78,94.313,94.099,93.556,93.271,92.984,93.181,93.274,93.268,93.309,93.329,93.074,92.593,92.82,92.761,93.317,93.333,93.774,93.656,93.176,92.876,92.646,92.877,93.013,92.628,92.647,92.543,93.203,92.422,92.563,91.812,91.121,92.047,92.104,91.708,91.842,91.58,91.747
"28","20","S2 PN4481ZZMG     Clothing stores","T070203",112.043,111.155,111.228,110.668,111.433,111.38,111.528,111.15,111.178,111.367,111.548,111.667,111.02,111.961,111.578,111.393,110.605,110.18,110.316,111.619,110.657,110.138,110.928,110.757,109.845,108.98,109.378,109.517,109.811,110.131,109.825,108.758,108.94,108.444,108.112,107.597,107.342,106.199,106.354,106.484,106.385,105.671,105.935,105.85,105.653,105.987,105.672,105.636,105.883,105.196,105.414,105.105,105.072,104.265,103.982,102.56,103.497,103.488,103.969,104.216,104.585,104.402,104.21,105.371,105.852,105.5,105.128,104.001,104.344,103.842,104.126,104.133,103.793,102.919,102.6,102.304,102.747,102.676,102.818,104.219,102.52,102.403,102.502,101.727,101.311,100.76,100.554,101.545,101.671,101.793,101.211,101.059,101.375,101.75,101.352,101.505,100.753,100.377,100.373,100.024,99.899,99.666,99.608,99.587,100.082,100.201,99.82,99.61,99.732,99.895,99.904,99.034,98.067,98.144,97.716,96.917,96.93,96.804,96.424,96.007,95.759,95.945,96.318,96.129,95.636,95.038,94.569,95.401,94.836,94.405,94.417,94.117,93.496,93.324,93.024,92.701,92.387,92.443,92.484,92.397,92.533,92.713,92.452,92.228,92.126,92.026,92.699,92.618,92.945,92.886,92.405,91.956,91.664,92.193,92.345,91.585,91.738,91.456,92.453,91.731,91.625,90.884,89.93,90.566,90.243,90.018,90.387,90.093,89.925
"29","21","S2 PN4482ZZMG     Shoe stores","T070213",106.923,107.023,107.669,107.51,107.707,108.026,108.388,108.832,108.41,108.794,108.372,109.075,108.636,108.362,108.15,108.384,108.807,108.304,107.875,107.597,108.233,108.18,108.736,108.401,108.477,107.584,107.386,107.794,108.451,108.824,107.779,107.36,106.533,105.619,106.145,105.852,106.186,106.19,106.161,106.372,105.62,105.385,105.344,105.535,106.692,106.006,105.589,104.63,104.303,105.536,106.722,105.314,105.764,105.708,104.985,103.726,104.852,104.449,104.623,104.685,104.544,104.643,104.623,105.022,105.428,104.352,104.582,104.965,105.33,105.793,104.841,105.325,105.451,103.94,103.005,102.804,103.854,104.563,104.282,104.82,104.406,103.083,103.655,102.992,102.964,101.874,101.77,102.383,101.666,101.462,102.07,100.948,100.725,100.399,100.713,100.402,100.219,100.047,100.347,100.515,100.522,100.369,98.488,98.691,100.82,99.7,99.917,100.4,99.899,100.257,100.569,99.238,99.292,99.001,99.158,99.503,98.866,99.07,98.385,97.669,96.575,97.801,98.705,98.696,99.052,98.069,97.267,97.677,97.548,97.224,97.297,97.407,98.27,97.771,95.799,95.158,95.385,96.159,96.447,96.1,96.366,96.24,95.933,95.565,95.422,95.71,96.047,95.964,96,95.939,94.825,95.841,97.167,96.326,96.409,96.732,97.974,98.667,97.989,97.927,98.006,98.142,97.667,98.925,100.191,100.031,99.153,98.767,100.616
"30","22","S3 PN4483ZZMG     Jewelry, luggage, and leather goods stores","T070223",116.298,118.444,117.157,115.557,116.96,117.235,118.653,117.738,116.677,116.848,117.308,117.658,118.896,116.065,114.107,117.223,116.796,116.595,116.383,116.502,117.846,117.296,116.654,115.668,114.977,117.455,119.889,116.945,117.362,116.99,118.001,118.487,118.18,116.886,117.806,117.533,117.771,116.357,117.19,117.614,114.675,117.348,116.423,118.046,116.848,116.193,116.26,118.042,116.744,114.285,115.32,114.263,113.831,113.226,113.777,111.716,112.517,112.995,112.311,110.133,110.869,110.85,111.348,109.294,109.255,110.364,110.457,108.867,108.249,108.147,107.528,107.907,107.614,108.022,107.004,107.147,106.3,104.483,104.506,104.874,104.226,104.851,104.835,103.501,102.624,103.194,102.051,103.528,103.881,102.851,102.927,102.771,102.376,102.264,102.1,101.429,101.178,101.403,100.894,101.461,99.916,98.66,99.142,98.793,98.881,99.355,100.201,100.116,102.098,100.379,101.027,99.78,98.939,100.778,101.214,99.867,96.97,99.277,98.572,99.402,99.779,96.689,98.634,98.003,97.193,97.164,96.078,96.16,97.023,96.916,96.172,95.626,94.845,94.654,94.136,94.285,93.708,94.097,94.283,94.909,94.344,93.758,93.566,91.88,93.826,93.686,93.877,94.41,95.671,95.233,95.234,94.641,93.558,93.181,93.273,94.138,92.642,92.802,92.816,91.255,92.614,91.193,91.606,93.709,94.771,93.348,93.07,93.059,93.652
"31","23","S1 PN452ZZZMG   General merchandise stores","T070233",99.591,99.724,99.878,99.774,100.014,99.979,100.151,100.127,100.09,100.04,100.216,100.321,100.169,100.428,100.411,100.582,100.49,100.211,100.278,100.69,100.466,100.532,100.84,100.786,100.502,100.183,100.45,100.562,100.761,100.949,101.017,100.799,100.872,100.691,100.67,100.435,100.504,100.182,100.21,100.381,100.353,100.135,100.357,100.537,100.601,100.691,100.568,100.593,100.739,100.666,100.854,100.83,100.836,100.487,100.507,100.112,100.523,100.547,100.721,100.801,100.928,101.041,100.981,101.318,101.444,101.266,101.242,100.766,100.837,100.743,100.8,100.707,100.849,100.663,100.496,100.614,100.705,100.443,100.558,100.956,100.453,100.459,100.391,100.277,100.368,100.036,99.751,100.347,100.307,100.306,100.213,100.053,100.274,100.324,100.104,100.053,99.868,99.771,100.008,100.107,100.076,99.946,100.063,99.962,100.183,99.992,100.023,100.003,100.11,100.209,100.074,100.002,99.67,99.771,99.819,99.499,99.535,99.503,99.453,99.07,99.026,99.027,99.089,99.284,98.827,98.591,98.414,98.542,98.375,98.016,97.994,97.719,97.485,97.477,97.28,97.259,96.822,96.947,96.987,96.821,96.735,96.749,96.73,96.707,96.766,96.896,97.099,97.066,97.305,97.206,96.85,96.662,96.604,97.187,97.153,96.721,96.793,96.806,97.068,97.107,97.212,96.729,96.498,96.659,96.763,96.752,96.729,96.584,96.67
"32","24","S1 PN4521ZZMG     Department stores","T070243",104.597,104.663,104.811,104.667,104.929,104.812,105.038,104.9,104.829,104.797,104.97,104.986,104.791,105.085,105.07,105.174,104.936,104.635,104.719,105.297,105.043,104.98,105.374,105.229,104.869,104.434,104.731,104.869,105.087,105.246,105.221,104.841,104.926,104.683,104.605,104.22,104.294,103.836,103.826,103.92,103.921,103.584,103.786,103.96,103.974,104.089,103.889,103.848,103.952,103.766,103.911,103.823,103.785,103.248,103.192,102.656,103.127,103.025,103.25,103.342,103.519,103.543,103.472,103.934,104.104,103.863,103.731,103.095,103.162,102.943,103.047,102.928,102.984,102.703,102.487,102.526,102.585,102.222,102.32,102.835,102.098,102.047,101.938,101.531,101.483,101.098,100.819,101.448,101.397,101.416,101.138,100.923,101.045,101.132,100.81,100.728,100.411,100.131,100.287,100.31,100.136,99.887,99.931,99.797,99.959,99.789,99.728,99.634,99.702,99.737,99.505,99.239,98.599,98.653,98.553,98.086,98.081,98.051,97.971,97.546,97.405,97.319,97.351,97.4,96.982,96.657,96.31,96.501,96.17,95.83,95.692,95.257,94.898,94.686,94.377,94.394,93.837,93.823,93.842,93.531,93.352,93.334,93.215,92.975,93.026,93.054,93.25,93.173,93.249,93.054,92.566,92.248,92.13,92.66,92.534,91.949,92.066,92.064,92.354,92.043,92.152,91.508,91.02,91.146,90.98,90.843,90.871,90.711,90.564
"33","25","S2 PN4529ZZMG     Other general merchandise stores","T070253",90.511,90.791,90.963,90.948,91.14,91.291,91.343,91.572,91.611,91.518,91.705,91.998,91.938,92.126,92.107,92.424,92.641,92.404,92.435,92.5,92.336,92.676,92.81,92.945,92.816,92.738,92.948,93.007,93.168,93.418,93.68,93.795,93.845,93.79,93.883,93.95,94.008,93.957,94.065,94.391,94.306,94.32,94.588,94.782,94.945,94.989,95.018,95.172,95.405,95.552,95.823,95.925,96.015,96.025,96.193,96.063,96.363,96.63,96.708,96.764,96.799,97.079,97.039,97.142,97.187,97.125,97.301,97.122,97.2,97.337,97.305,97.263,97.563,97.544,97.462,97.718,97.863,97.77,97.911,98.115,97.997,98.095,98.092,98.453,98.761,98.509,98.212,98.757,98.733,98.703,98.892,98.815,99.183,99.178,99.106,99.102,99.105,99.271,99.623,99.829,99.998,100.035,100.249,100.192,100.491,100.275,100.427,100.505,100.664,100.846,100.834,101,101.04,101.197,101.418,101.269,101.351,101.314,101.297,100.956,101.016,101.109,101.201,101.549,101.051,100.905,100.901,100.967,100.963,100.584,100.676,100.556,100.443,100.628,100.536,100.48,100.151,100.406,100.465,100.431,100.429,100.471,100.539,100.705,100.769,100.987,101.197,101.201,101.578,101.557,101.306,101.222,101.211,101.844,101.883,101.57,101.605,101.63,101.873,102.184,102.287,101.921,101.88,102.068,102.373,102.455,102.394,102.258,102.514
"34","26","S1 PN44EZZZMG   Other retail stores","T070263",89.734,89.854,90.008,90.118,90.503,91.115,91.415,91.271,91.3,91.604,91.869,92.107,92.167,92.279,92.149,92.105,91.493,90.983,90.895,90.824,90.519,91.862,91.548,91.181,90.963,91.525,91.534,91.474,91.02,91.234,92.211,93.352,93.224,93.139,93.45,93.367,93.338,93.159,92.931,93.048,93.366,93.424,93.403,93.22,93.013,93.032,92.692,93.21,94.201,94.175,94.963,96.118,96.328,95.258,95.182,94.821,95,95.666,96.036,96.64,96.69,96.83,96.314,95.579,94.503,94.188,94.064,94.913,95.282,95.133,94.708,94.515,93.586,92.751,91.713,91.449,91.89,91.957,91.951,91.338,91.108,91.305,90.825,90.651,90.653,90.069,90.295,93.224,93.115,92.974,93.93,94.908,95.935,95.982,95.676,96.743,97.153,98.644,100.701,99.438,99.12,101.219,101.049,99.535,101.283,100.778,100.76,100.32,100.498,100.161,99.259,100.199,101.795,101.369,98.966,98.025,100.062,97.265,94.746,93.196,93.57,93.195,95.05,97.187,96.698,96.675,96.826,97.101,97.246,97.751,97.503,97.266,98.738,100.907,102.46,100.111,97.41,97.148,97.19,98.349,99.546,98.212,97.266,97.553,99.526,100.24,101.638,101.803,103.61,103.921,102.692,102.294,102.437,104.932,104.534,103.479,102.883,103.656,105.514,107.106,105.947,105.518,106.893,108.812,113.471,112.489,107.937,107.113,108.424
"35","27","S1 PN446ZZZMG     Health and personal care stores","T070273",84.307,84.958,85.34,85.785,85.582,85.662,85.894,86.011,86.141,86.181,86.332,86.639,86.617,86.874,87.089,86.997,87.207,87.353,87.704,87.637,87.667,87.715,87.819,88.039,88.034,87.959,88.122,88.488,88.635,88.685,88.77,88.978,88.987,89.139,89.283,89.323,89.242,89.168,89.037,89.054,89.08,89.184,89.44,89.672,89.695,89.967,90.241,90.24,90.322,90.561,90.72,90.816,90.924,90.823,91.174,91.297,91.34,91.656,91.405,91.435,91.562,91.838,92.091,92.094,92.193,92.226,92.16,91.888,91.982,92.004,92.28,92.463,92.674,92.825,92.836,93.332,93.749,93.723,93.832,94.062,94.457,94.648,94.547,94.908,95.258,95.441,95.67,96.206,96.475,96.893,97.147,97.56,97.858,98.091,98.474,98.611,98.797,98.792,99.214,99.483,99.535,99.733,100.076,100.475,100.631,100.733,101.048,101.484,101.9,102.435,102.857,103.214,103.309,103.869,104.381,104.614,105.18,105.257,105.649,106.004,106.08,106.559,106.667,107.007,107.306,107.752,108.071,108.199,108.406,108.758,109.167,109.483,109.591,109.52,109.849,109.952,109.737,110.159,110.37,110.689,110.853,111.013,111.142,111.762,111.993,112.094,112.448,113.229,113.755,113.547,113.945,113.952,114.582,114.989,114.98,115.309,115.02,115.601,115.128,115.493,115.882,116.298,116.594,116.926,117.37,117.921,118.467,119.112,119.111
"36","28","S1 PN447ZZZMG     Gasoline stations","T070283",74.763,74.565,74.736,74.665,75.264,76.521,76.951,76.725,76.679,77.433,77.692,78.114,78.228,78.387,77.851,77.533,76.26,75.382,74.988,74.619,73.797,76.698,75.89,75.156,74.693,75.597,75.287,75.123,73.887,74.373,76.443,79.121,78.801,78.698,79.219,79.241,78.839,78.705,78.188,78.301,78.893,79.19,78.71,78.069,77.375,77.548,76.432,77.524,79.375,79.478,81.215,83.999,84.588,82.596,82.35,81.814,81.847,82.969,84.017,85.526,85.972,86.046,84.805,83.363,80.949,80.276,80.222,83.065,84.185,84.027,82.732,82.165,79.831,77.912,75.279,74.063,75.318,76.112,76.179,74.84,74.599,75.183,74.411,73.852,73.834,72.78,73.617,80.815,80.539,80.197,82.975,85.816,88.527,88.532,87.834,91.043,91.861,94.986,101.552,97.838,97.13,104.023,103.513,99.042,103.754,102.683,102.45,101.169,101.529,100.933,98.954,101.778,107.32,105.98,98.344,96.3,102.64,94.618,87.037,83.213,85.187,84.342,90.511,96.757,95.272,95.347,96.013,96.918,97.72,99.698,99.229,98.968,103.427,109.959,114.638,108.05,101.708,101.397,101.718,106.791,111.459,106.597,103.368,104.29,110.06,112.237,116.957,117.037,122.907,124.546,120.543,119.409,119.482,126.068,125.436,123.165,121.597,124.226,130.73,136.248,132.186,131.209,136.283,143.241,158.297,154.903,139.457,137.174,142.663
"37","29","S1 PN451ZZZMG     Sporting goods, hobby, book, and music stores","T070293",106.492,106.442,106.725,106.829,107.109,106.908,106.885,106.895,107.048,107.221,107.671,107.209,107.196,107.212,107.343,107.297,106.792,106.716,106.855,107.236,107.497,108.084,107.824,107.669,107.442,107.431,107.887,107.956,108.069,108.132,108.43,108.313,108.159,107.916,108.296,107.466,108.12,107.872,107.579,107.791,107.732,107.207,107.289,107.611,107.751,107.478,107.589,107.768,107.828,108.323,108.428,108.238,108.149,108.169,108.041,107.611,107.597,107.816,107.938,107.679,107.571,107.674,107.718,106.767,106.654,106.975,106.689,107.133,107.029,106.764,106.796,106.697,106.466,106.297,106.45,106.319,106.014,105.703,105.509,105.398,104.973,104.73,104.422,104.161,104.115,103.614,103.259,103.521,103.455,102.685,102.22,101.899,101.333,101.341,101.157,100.525,100.5,100.347,100.409,100.348,100.369,100.111,99.901,99.707,99.721,99.546,99.57,99.471,99.181,98.82,98.486,98.8,98.705,98.766,98.746,98.517,98.352,98.343,98.125,97.766,97.485,97.704,97.317,97.156,97.036,96.405,96.11,96.259,96.123,95.75,95.6,95.286,95.176,94.994,94.718,94.531,94.145,94.06,94.161,93.954,93.878,93.834,93.758,93.474,93.241,93.34,93.649,93.356,92.98,92.916,92.476,92.183,92.052,92.408,92.339,91.589,91.557,91.616,91.334,91.076,91.342,91.081,90.768,90.708,90.85,90.671,90.215,89.809,89.714
"38","30","S4 PN4511ZZMG       Sporting goods, hobby, and musical instrument stores","T070303",110.455,110.271,110.491,110.712,110.84,110.67,110.59,110.649,110.579,110.821,111.561,110.995,110.729,110.778,110.901,110.717,110.173,110.002,110.191,110.503,110.976,111.656,111.413,111.174,110.851,110.76,111.383,111.467,111.649,111.877,112.177,111.908,111.421,111.324,111.968,110.788,111.633,111.271,110.92,110.962,110.893,110.604,110.72,110.974,111.208,110.795,110.459,110.728,110.656,111.305,111.526,111.286,111.387,111.327,110.976,110.225,110.45,110.559,110.855,110.406,110.321,110.356,110.438,110.064,109.702,109.806,109.669,109.787,109.671,109.445,109.346,109.28,109.085,108.737,108.542,108.111,107.741,107.438,107.235,106.882,106.073,105.88,105.782,105.328,104.996,104.452,104.254,104.373,103.911,103.569,103.376,102.81,102.129,101.935,101.367,100.611,100.733,100.391,100.547,100.669,100.558,99.984,99.789,99.604,99.687,99.587,99.293,99.159,98.822,98.359,97.901,98.14,98.088,97.989,97.837,97.635,97.618,97.547,97.05,96.504,96.392,96.482,96.245,96.065,95.446,94.773,94.549,94.361,94.076,93.69,93.36,93.132,93.069,92.936,92.648,92.363,91.99,92.289,92.363,91.986,91.847,91.852,91.873,91.638,91.227,91.506,91.62,91.17,90.763,90.671,90.204,89.976,89.779,90.097,90.068,89.227,89.148,89.416,88.972,88.677,88.94,88.563,88.284,88.263,88.545,88.335,87.73,87.473,87.395
