"","Table 7#11# Interest Paid and Received by Sector and Legal Form ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"11","3","    Corporate business","A2063C1",54.4,65.3,68.2,76.2,104.2,139.2,136.4,140.6,158.7,197.5,270,358.5,501.9,552.9,506,582.7,611.9,617.8,659.9,766.1,949,936.9,831.5,681.6,627.8,711.6,852.5,888.2,982.8,1107.1,1172.5,1453.5,1370.4,1053.5,926.1,1047.5,1433.5,1987.5,2335.4,1999.7,1230.3,1052.3,1022.4
"12","4","      Financial","A1100C1",29.4,34.6,36.5,42.1,60.9,83.6,80.4,83.6,94.5,118.7,167,226,330.9,369,331.3,380,392.6,383.1,416.7,486.8,611.8,590.6,497.3,389.5,355.2,422,522.1,538.5,598.2,706.9,738.8,943.7,873.5,614.3,511.1,630.8,952.9,1426,1686.1,1405.5,734.4,588.5,519.6
"13","5","        On deposits \2\","B1305C1",20.1,21.8,25.5,29.7,38.3,49.2,51.1,55.4,62.7,74.5,95.4,125.2,173.2,187.3,175.1,203.6,200.3,186.7,176.3,195.5,228.6,222.7,192.8,129.4,99,96.7,126.4,131.6,139.7,146.2,142,173.1,161,108,82.4,77.5,123.9,194.3,239.4,165.7,110.7,75.1,55.4
"14","6","        On other liabilities","B1306C1",9.2,12.8,11,12.4,22.6,34.4,29.3,28.2,31.8,44.2,71.6,100.8,157.6,181.7,156.1,176.3,192.3,196.4,240.4,291.3,383.2,368,304.6,260.1,256.2,325.3,395.7,406.9,458.5,560.7,596.8,770.6,712.5,506.4,428.7,553.4,829.1,1231.7,1446.7,1239.9,623.7,513.4,464.2
"15","7","      Nonfinancial","B1101C1",25,30.7,31.7,34.2,43.3,55.5,56,57,64.3,78.8,103,132.6,171.1,183.9,174.7,202.7,219.3,234.7,243.2,279.3,337.2,346.3,334.2,292.1,272.6,289.6,330.4,349.8,384.7,400.2,433.7,509.8,497,439.2,415,416.6,480.5,561.5,649.3,594.1,495.9,463.8,502.8
"16","8","    Sole proprietorships and partnerships","A2064C1",7.4,8.7,10,11.8,14.7,18.4,20.2,21.9,24.4,29,38.2,48.8,62,70.7,74,87.2,95.4,101.5,95.4,106.9,124.1,121.3,114.3,103.3,102.6,112.5,121.2,129.2,145.4,167.4,171.2,207,216.2,182.2,182.1,197.1,277.7,353.6,441.4,389.2,287.9,274.6,260.8
"17","9","      Farm","B1103C1",2.5,2.8,2.9,3.2,3.7,4.6,5.1,5.9,6.8,8.2,10.4,13,15.8,17.3,17,16.7,15.4,13.4,12.1,11.1,10.5,9.9,8.9,8.4,8,8.7,9,9.4,9.5,9.5,9.5,9.9,9,8.7,7.8,7.6,9,9.4,10.1,10.7,10.6,10,10.2
"18","10","      Nonfarm","B1102C1",4.9,5.9,7.1,8.6,11,13.9,15.1,16,17.6,20.8,27.7,35.9,46.2,53.4,57,70.5,79.9,88.2,83.2,95.8,113.7,111.4,105.4,94.9,94.6,103.8,112.2,119.8,135.9,157.9,161.7,197,207.2,173.5,174.3,189.6,268.7,344.2,431.3,378.5,277.3,264.6,250.6
"19","11","    Other private business","A2065C1",5.5,6.1,6.8,7.5,8.6,9.8,11.1,12.2,13.6,15.1,17.1,19.5,21.8,23.3,24.5,27.5,30.9,34.9,37.4,40.3,43.8,45.3,45.9,41.7,37.1,35,34.5,33.5,33.3,33.3,34.3,36.6,36.9,37.9,38.8,42.1,46.4,51.9,56.2,59.6,58.4,55.9,54.3
"20","12","      Rental income of persons","B1130C1",5.4,6,6.6,7.4,8.4,9.5,10.5,11.5,12.6,13.9,15.5,17.2,18.8,20.3,21.5,24.7,28.7,32.7,35.4,38.2,41.3,42.9,43.7,39.8,35.2,33.2,33.1,32.2,32.1,32,33.1,35.3,35.7,36.7,37.7,40.9,45.3,50.8,55.1,58.5,57.3,54.8,53.2
"21","13","      Proprietors' income","B2631C1",0.2,0.2,0.2,0.1,0.2,0.3,0.6,0.8,1,1.2,1.7,2.3,3,3,3,2.7,2.3,2.1,2,2.1,2.5,2.4,2.2,2,1.9,1.9,1.4,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
"22","14","  Households and nonprofit institutions","W291RC1",31.7,34.3,37.5,42.3,48.8,54.5,58.5,65.7,76.8,92.9,112.2,134.8,155.9,177.2,193.7,221.7,247.9,270.6,281.8,299.6,328.6,348.3,355.6,353.9,348.2,358.8,399.8,426,454.7,476.3,501.5,560,583.2,589,598.9,634.4,718.2,818.9,891.2,868.5,801.1,744.2,699
"23","15","    Households","W292RC1",31.1,33.5,36.7,41.4,47.7,53.2,57.1,64.1,75.2,90.8,109.5,131.4,151.6,171.9,187.6,213.6,240,261.5,272.4,288.9,316.9,336.4,343.3,341.1,333.3,345,385.1,410.3,438.2,459.4,484.3,542.4,565.6,571.8,582.2,618.3,702.7,803.6,876,853.6,786.9,730.9,686.3
"24","16","      Owner-occupied housing","W498RC1",15.4,16.7,18.8,21.7,25.3,29,32.6,37.5,44.5,53.3,64.9,77.7,90.7,104.5,115.1,129.8,145.4,160.5,171.6,183.8,199.9,214.5,220.1,222.2,216.2,219,238.8,247.6,263.4,275.5,294.1,326.3,347.1,365.7,381.6,408.4,469.9,547.9,591.7,588.7,543.2,501.1,469.2
"25","17","      Persons \3\","W293RC1",15.7,16.8,17.8,19.6,22.4,24.2,24.5,26.6,30.7,37.5,44.5,53.7,60.9,67.4,72.5,83.7,94.6,101,100.8,105.1,117,122,123.1,118.9,117.1,125.9,146.3,162.7,174.9,183.9,190.1,216.1,218.5,206.1,200.7,210,232.8,255.7,284.3,265,243.7,229.7,217.2
"26","18","    Nonprofit institutions","W319RC1",0.6,0.8,0.8,0.9,1.1,1.3,1.4,1.6,1.7,2.1,2.7,3.4,4.4,5.2,6.1,8.2,7.8,9.1,9.5,10.7,11.7,11.9,12.3,12.8,14.8,13.9,14.7,15.7,16.4,16.9,17.3,17.6,17.6,17.2,16.6,16,15.5,15.3,15.2,14.9,14.2,13.4,12.6
"27","19","  Government","W500RC1",20.7,23.4,24.5,26.3,31.3,35.6,40,46.3,50.8,60.2,72.9,89.1,116.7,138.9,156.9,187.3,211.5,226.1,236.5,253.7,276.9,297.8,314.6,316.3,318.1,327.1,358.3,368.1,373.7,375.3,362,366.3,344.5,317.5,304.8,313.3,350.5,379.7,421,406.1,370.2,401.7,449.5
"28","20","    Federal","A091RC1",15.8,17.7,17.9,18.8,22.8,26,28.9,33.8,37.1,45.3,55.7,69.7,93.9,111.8,124.6,150.3,169.4,178.2,184.6,199.3,219.3,237.5,250.9,251.3,253.4,261.3,290.4,297.3,300,298.8,282.7,283.3,258.6,229.1,212.9,221,255.4,279.2,313.2,292.1,253.1,281.4,325
"29","21","    State and local","W497RC1",4.8,5.6,6.5,7.5,8.5,9.6,11.1,12.5,13.7,14.9,17.2,19.4,22.8,27.1,32.3,37,42.1,48,51.9,54.4,57.6,60.4,63.7,65,64.7,65.7,67.9,70.9,73.7,76.4,79.3,83.1,85.9,88.4,91.9,92.3,95.1,100.5,107.8,113.9,117.1,120.3,124.5
"30","22","  Rest of the world","W290RC1",3.7,4.1,4.1,4.4,6,9.5,9.9,11.5,13.7,18,27.5,37.5,57.1,65.2,60.7,76.1,65.5,61.2,62.7,78.9,100.4,105.9,90.5,70.8,63.6,76.5,98.8,103.6,121.1,135.7,138.3,173.3,134.3,102.4,97.2,112.4,183.9,279.8,351.5,261,135.7,121.4,128.8
"31","23","    To business and persons","B1132C1",2.7,3.2,3.2,3.5,5,8.5,8.8,10.2,12.1,16.2,25.2,35,53.9,61.6,56.2,71,60.2,55.2,57.7,72.5,95.7,97.9,85,65.7,59.7,73.3,94.9,99.5,117.9,132.6,135.4,169.7,131.1,99.4,92.8,109.7,181.5,277.8,349.8,259.1,134.5,120.2,127.2
"32","24","    To federal government","B1133C1",0.9,0.9,0.9,0.9,0.9,1.1,1.1,1.3,1.6,1.8,2.2,2.5,3.1,3.6,4.6,5,5.3,6,5,6.4,4.6,8,5.5,5.1,3.9,3.2,3.9,4.1,3.2,3.2,2.9,3.6,3.2,3,4.4,2.7,2.4,2,1.7,1.9,1.2,1.2,1.6
"33","25","Monetary interest received","A2068C1",123.4,141.8,151,168.6,213.5,267,276.1,298.2,338.1,412.8,537.9,688.2,915.5,1028.2,1015.8,1182.4,1263.1,1312.2,1373.7,1545.5,1822.8,1855.5,1752.5,1567.8,1497.3,1621.6,1865.1,1948.6,2110.9,2295.1,2379.9,2796.6,2685.6,2282.6,2147.9,2346.8,3010.1,3871.4,4496.6,3984,2883.5,2650.1,2614.8
"34","26","  Domestic business \1\","A2069C1",70.9,81.3,86.1,97.3,127.6,161.9,163.7,175.6,196.5,242.9,317.2,401.4,536.2,584.3,566.5,642.1,699,721.9,774.1,889.9,1062.1,1069.6,1005.5,895,865.4,948.3,1132.4,1180.8,1296.9,1397.9,1500.3,1815.5,1730.6,1428.3,1328.1,1543.8,1994.7,2588.8,3002.3,2493.3,1795,1681.8,1664.2
"35","27","    Corporate business","A2070C1",70.2,80.6,85.2,96.1,126.5,160.6,162.2,174.2,195.1,241.1,313.8,395.4,528.1,577,558.8,635.6,690.8,713.3,767.6,880.8,1052.8,1059.4,995.1,886.6,856.1,936.6,1111.1,1157.8,1268.5,1362.6,1456.7,1756,1668.6,1376.4,1273.5,1474.3,1889.7,2435.3,2787.7,2288,1647.8,1528.5,1513
"36","28","      Financial","B1134C1",63,72,76.6,86.5,112.2,141.3,142.9,152.8,170.4,209.3,268.4,334.6,444.9,491,475.4,537.6,581.4,597.8,650.7,747,891.1,893.1,830.3,737.5,717.9,786.1,937.9,962.4,1052.9,1156.8,1237.4,1494.6,1423.5,1157.5,1066,1253.2,1625.4,2110,2438.8,2015.3,1459.1,1375.5,1358.9
"37","29","      Nonfinancial","B1135C1",7.3,8.5,8.7,9.6,14.3,19.2,19.2,21.3,24.7,31.8,45.5,60.8,83.2,86,83.4,97.9,109.4,115.5,116.8,133.8,161.7,166.3,164.8,149.2,138.2,150.5,173.2,195.4,215.6,205.8,219.4,261.4,245.1,218.9,207.5,221.1,264.3,325.3,349,272.6,188.7,153,154.1
"38","30","    Financial sole proprietorships and partnerships \4\","B1136C1",0.7,0.7,0.8,1.1,1.1,1.3,1.4,1.3,1.2,1.7,3.1,5.7,7.8,7,7.5,6.3,8,8.4,6.3,8.9,9.1,9.9,10.2,8.2,9.2,11.6,21.2,22.9,28.4,35.3,43.5,59.5,62,51.9,54.6,69.5,104.9,153.5,214.5,205.3,147.3,153.2,151.1
"39","31","    Other private business","B1137C1",0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","32","  Persons \4\","B1138C1",44.2,51,55.8,60.9,71,84.9,91.9,102,118.2,134.9,168.3,218.6,287.3,336.7,340.7,405.7,422.1,438.1,438.6,468,539.5,557.3,533.2,490.1,457.4,479.1,500.3,518.3,531.7,598.6,567.8,609.5,616.3,570.3,557.2,506.8,611.4,723.3,807.9,902.8,655.5,567.9,551.8
"41","33","    Publicly administered government employee retirement plans \5\","B1169C1",2.9,3.8,4.4,5.3,5.7,6.3,7.8,9.6,10.5,12,14.4,18.3,21.9,29.2,35.1,39.2,45.8,52.7,58.4,63.2,69.3,72.8,77.4,75.8,79.1,88.2,97.8,99.7,111.1,114.9,117,114.1,104.4,107.2,112.2,113.5,115.9,119,122,112.2,94.1,98.5,107
"42","34","    Other \6\","B1170C1",41.3,47.3,51.4,55.6,65.3,78.6,84.1,92.4,107.8,123,153.9,200.3,265.4,307.5,305.6,366.5,376.4,385.4,380.1,404.8,470.2,484.5,455.8,414.4,378.3,390.9,402.5,418.6,420.6,483.7,450.8,495.4,512,463,445,393.3,495.6,604.4,685.9,790.7,561.4,469.4,444.8
"43","35","  Government","A2071C1",4.6,5.3,5.4,5.8,7.7,10.1,10.8,11.1,12.9,18.1,25.4,33.1,42.4,49.1,54,62.6,70.2,75.5,73.6,79.7,84,87.2,84.3,77,74.8,73.9,79.8,85.5,87.8,87.3,89.9,99.7,94.6,80.7,75.6,77.2,87.4,103.7,115.9,103.1,98.6,97.4,95.9
"44","36","    Federal","B1139C1",1.9,2,2,2,2.1,2.4,2.9,3.5,4.1,6.2,8.4,10.8,14.4,17.4,19.6,22.3,24.5,27.1,24.2,26.6,25.1,26,24.6,21.1,22,19.4,20.2,21.9,20.3,16.8,16,18.3,17.8,14.8,16,16.2,16.2,18.1,21.7,19.4,23.8,29.1,29.6
"45","37","    State and local","B1140C1",2.8,3.3,3.4,3.8,5.5,7.7,7.9,7.6,8.7,11.9,17.1,22.2,28,31.6,34.4,40.3,45.7,48.4,49.4,53.1,58.9,61.2,59.7,55.9,52.8,54.5,59.6,63.5,67.5,70.5,73.9,81.5,76.8,65.9,59.5,61.1,71.2,85.6,94.2,83.8,74.8,68.4,66.4
"46","38","  Rest of the world","A2072C1",3.6,4.2,3.7,4.6,7.3,10.1,9.8,9.5,10.6,16.9,27,35.2,49.5,58.2,54.5,72.1,71.8,76.7,87.5,107.9,137.2,141.4,129.4,105.6,99.8,120.3,152.6,164,194.5,211.2,221.9,271.9,244,203.2,187,218.9,316.6,455.6,570.6,484.8,334.4,302.9,302.8
"47","39","    From business","B1141C1",2.8,3.1,1.9,2,3.5,5.8,5.2,5,5,8.2,15.9,22.5,32.2,38.9,35.5,50.9,48.7,52,61.2,76.2,98.9,100.6,88.5,66.5,60.4,76.1,97,97.4,112.8,127.1,141.3,187.3,165.6,128.3,113.2,136.4,212.7,320.6,406.2,317.9,190.1,165.8,170.1
"48","40","    From federal government","B093RC1",0.8,1,1.8,2.7,3.8,4.3,4.5,4.5,5.5,8.7,11.1,12.7,17.3,19.3,19,21.2,23.1,24.6,26.2,31.7,38.4,40.8,40.9,39.1,39.4,44.2,55.6,66.6,81.7,84.2,80.5,84.5,78.4,74.9,73.8,82.5,103.9,135,164.4,166.8,144.4,137.1,132.7
"49",NA,"          Imputed interest"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","41","Total imputed interest paid (43+70)","W294RC1",15,20.1,25.2,26.8,23.1,27.1,53.8,43.3,45.7,44.7,31,29.8,25.2,68.9,131.7,116.1,149.6,159.6,158.5,147.2,138.4,173.5,217.8,235.8,225.5,209.6,215.1,241.2,283.4,298.1,324.8,336.2,335.4,320.8,279.7,298.7,275.8,258.1,354,437,305.8,261.5,248.7
"51","42","Total imputed interest received (49+89)","W295RC1",15,20.1,25.2,26.8,23.1,27.1,53.8,43.3,45.7,44.7,31,29.8,25.2,68.9,131.7,116.1,149.6,159.6,158.5,147.2,138.4,173.5,217.8,235.8,225.5,209.6,215.1,241.2,283.4,298.1,324.8,336.2,335.4,320.8,279.7,298.7,275.8,258.1,354,437,305.8,261.5,248.7
"52",NA,"Depositor and insurance services:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","43","  Imputed interest paid","A2073C1",22.7,27.2,30.8,33.1,34.3,40.7,57.4,54.5,60.3,67.2,65.6,73.4,78.8,106.3,147.3,147.7,175.6,198.2,207.5,208.3,208.9,233.8,264.8,282.7,286.8,281.6,298.1,319.4,364.1,382.4,410.9,441.4,434.6,424.5,408.8,434.5,439.9,458.4,538.2,591.3,511.8,516.7,516.4
"54","44","    Domestic corporate business, financial","W353RC1",22.7,27.2,30.8,33.1,34.3,40.7,57.4,54.5,60.3,67.2,65.6,73.4,78.8,106.3,147.3,147.7,175.6,197.5,206.7,207.5,207.9,232.8,263.5,281.4,285.3,279.8,296.2,317.6,362.2,379.8,407.8,437.7,429.7,418.9,402.8,427.5,435.5,451.4,529.9,580.9,501.5,508.1,507.7
"55","45","      Banks, credit agencies, and investment companies","B1310C1",13.8,17.5,20,21.6,21.5,25.9,40.5,35.6,37.7,41,38.7,37.7,36,56.8,89.8,80.3,95.9,103.5,101.2,95.9,83.7,98.6,122.7,137.9,130.6,131.3,126.5,143,160.8,172.6,189.7,195,203,213.4,197.1,215.7,206.8,190.3,241.9,296.6,234.7,243.6,229.1
"56","46","      Life insurance carriers","B1311C1",8.1,8.6,9.4,10,11.2,12.9,14.7,16.3,19.2,22.2,22.5,30.6,37,43,49.8,58.3,67.5,76.8,86.3,91.9,103.6,112.3,118.1,120.3,128.9,121.2,143.1,147.5,173.7,179,189.5,212.7,195.6,172.5,171.4,177.6,196.2,227.5,255.4,250.8,238.1,240.8,253.4
"57","47","      Property and casualty insurance companies","W354RC1",0.9,1.1,1.4,1.5,1.6,1.8,2.2,2.7,3.4,4,4.5,5.1,5.8,6.5,7.6,9.1,12.2,17.2,19.2,19.7,20.6,21.8,22.7,23.2,25.9,27.3,26.6,27.1,27.6,28.2,28.6,30.1,31.1,33,34.2,34.2,32.5,33.6,32.7,33.5,28.7,23.6,25.2
"58","48","    Rest of the world","W355RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0.8,0.8,1,1.1,1.2,1.3,1.5,1.8,1.9,1.8,1.9,2.7,3,3.7,4.9,5.6,6,7,4.4,7,8.3,10.4,10.3,8.6,8.6
"59","49","  Imputed interest received","A2074C1",22.7,27.2,30.8,33.1,34.3,40.7,57.4,54.5,60.3,67.2,65.6,73.4,78.8,106.3,147.3,147.7,175.6,198.2,207.5,208.3,208.9,233.8,264.8,282.7,286.8,281.6,298.1,319.4,364.1,382.4,410.9,441.4,434.6,424.5,408.8,434.5,439.9,458.4,538.2,591.3,511.8,516.7,516.4
"60","50","    Domestic business \1\","A2075C1",5.2,6.6,7.7,8.1,7.5,8.9,15.1,12.7,13.3,14.2,13.6,15,16.2,28.1,34.5,29.8,32.2,37.2,33.2,30.9,24.1,30.3,38.2,38,33.9,35.7,35.2,41.3,47,48.7,53.8,52.8,61.5,69.2,63.8,67.7,52.2,41.5,65.4,90.9,54.9,50.2,41.9
"61","51","      Corporate business","A2076C1",4,5.2,6.1,6.3,6,7.1,12.1,10.4,11,11.4,10.6,11.4,12.1,19.3,23.5,20.6,23.1,28.4,24.8,22.9,16,22,29.4,28.7,24.5,26.4,26.2,31.5,36.3,37.2,40.4,38,44.9,51.4,47.4,50.3,35.9,25.6,48,70.5,41.4,38,31.4
"62","52","        Financial","B1143C1",1.3,1.7,1.9,1.8,1.8,2.2,3.3,3,3.2,3.6,3.8,4.4,5,7.2,8.2,7.1,6.2,11.6,7.5,6.1,-0.1,5.1,12.1,10.9,6.3,7.3,7.2,10.6,13.4,13,15.2,11.7,16.8,21.2,17.9,18.3,3.4,-6.2,14.1,32.6,7.9,2.3,-5.4
"63","53","        Nonfinancial","B1144C1",2.8,3.5,4.2,4.5,4.2,5,8.9,7.4,7.8,7.8,6.8,7,7.1,12.1,15.3,13.5,16.9,16.8,17.2,16.8,16.1,16.9,17.4,17.8,18.3,19.1,19.1,20.9,23,24.2,25.2,26.3,28.1,30.2,29.5,32,32.5,31.9,33.8,37.9,33.5,35.7,36.8
"64","54","      Sole proprietorships and partnerships","A2077C1",1.1,1.4,1.6,1.8,1.5,1.7,2.9,2.2,2.2,2.7,2.9,3.5,4,8.7,10.8,9.1,8.9,8.6,8.2,7.8,7.9,8.1,8.5,9.1,9.1,9.1,8.7,9.5,10.4,11.2,13,14.4,16.2,17.3,15.9,16.9,15.9,15.4,16.9,19.9,13,11.9,10.1
"65","55","        Farm","B1146C1",0.3,0.3,0.4,0.4,0.4,0.5,0.8,0.6,0.6,0.6,0.5,0.5,0.5,1.1,1.1,0.8,0.6,0.5,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.7,0.8,0.7,0.7,0.8,0.9,0.7,0.8,0.7,0.6,0.8,1,0.6,0.6,0.4
"66","56","        Nonfarm","B1145C1",0.9,1.1,1.2,1.3,1.1,1.3,2.1,1.6,1.7,2.1,2.4,2.9,3.4,7.6,9.7,8.3,8.2,8.1,7.8,7.4,7.5,7.7,8.1,8.7,8.7,8.6,8.2,8.9,9.7,10.4,12.3,13.7,15.4,16.5,15.2,16.1,15.2,14.7,16.2,19,12.4,11.3,9.7
"67","57","      Other private business","B2078C1",0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4
"68","58","    Households and nonprofit institutions","W314RC1",15.7,18.2,20.2,22,23.9,28.4,37.5,37.6,42.5,49.3,49.2,56.3,61.2,74.4,105.9,111.9,134.1,150.8,165.7,169.9,178.1,195.3,215.8,232.8,241.6,234.6,252.5,267.1,305.1,321.8,344.2,375.8,361.3,342.8,333.8,354.7,376.9,405.5,458.6,480.6,439,449.8,458.2
"69","59","      Households","W315RC1",15.7,18.2,20.2,22,23.8,28.3,37.5,37.6,42.4,49.2,49.1,56.2,61.1,74.2,105.6,111.5,133.6,150,164.8,169,177.2,194.4,214.9,231.9,240.5,233.3,251.4,265.9,304,320.6,343,374.6,360.1,341.5,332.4,353.4,375.6,404.3,457.4,479.4,438.1,449,457.3
"70","60","        Owner-occupied housing","W316RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.9,1,1,1,1,1.1,1.1,1.1,1.2,1.2,1.3,1.3,1.4,1.4,1.4,1.4,1.2,1.2,1.2
"71","61","        Persons","A1147C1",15.7,18.1,20.1,21.9,23.7,28.2,37.4,37.4,42.2,49,48.9,55.9,60.8,73.9,105.3,111.1,133.1,149.4,164.2,168.4,176.5,193.7,214.1,231.1,239.6,232.3,250.4,264.9,302.9,319.6,341.9,373.5,358.9,340.2,331.1,352.1,374.3,402.9,456,478,436.9,447.8,456.1
"72","62","          From banks credit agencies, and investment companies","B1611C1",7.2,9,10.1,11.1,11.8,14.4,21.6,19.9,21.5,25,24.3,22.9,21,27.7,51.7,48.4,60.2,66,70.1,68,63.7,71.4,85.6,100.1,99.2,99.6,96.3,106.1,117.8,128.8,140.9,148.2,150.3,155.7,147.8,162.6,166,163.3,188.9,216.5,188.9,200.4,196.2
"73","63","          From life insurance carriers","B1612C1",8.1,8.6,9.4,10,11.2,12.9,14.7,16.3,19.2,22.2,22.5,30.6,37,43,49.8,58.3,67.5,76.8,86.3,91.9,103.6,112.3,118.1,120.3,128.9,121.2,143.1,147.5,173.7,179,189.5,212.7,195.6,172.5,171.4,177.6,196.2,227.5,255.4,250.8,238.1,240.8,253.4
"74","64","          From property and casualty insurance companies","W356RC1",0.4,0.5,0.7,0.7,0.8,0.9,1,1.3,1.5,1.8,2.1,2.4,2.8,3.1,3.8,4.4,5.4,6.7,7.8,8.5,9.2,10,10.4,10.6,11.5,11.5,11,11.3,11.4,11.7,11.4,12.5,13.1,12.1,11.9,12,12.1,12.1,11.8,10.7,9.9,6.5,6.6
"75","65","      Nonprofit institutions","W317RC1",0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.6,0.8,0.9,0.9,1,0.9,0.9,1,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.4,1.3,1.3,1.2,1.2,1.2,0.9,0.9,0.9
