"","Table 1#17#5# Gross Domestic Product, Gross Domestic Income, and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","3","    Net domestic product \1\","A362RC1",93.9,81.8,67.7,51,49,58.2,65.5,75.7,82.9,76.9,82.9,91.8,115.7,148.2,182.1,200.2,201.9,199.1,217.4,240.7,238.1,263.8,305.5,322,340.7,339.8,371.9,390.3,410.2,413.9,451.2,469.9,486.6,525.1,554.4,597.3,648.4,711.2,749.5,819.4,885.2
"12","4","    Net domestic income \1\","W256RC1",93.2,82.2,66.9,50.7,48.5,57.8,65.7,74.5,82.9,76.2,81.6,90.7,115.4,149.1,183.9,197.6,198.1,198,215.2,241.1,236.2,262.4,301.9,319.3,336.7,336.6,369.6,392.1,410.3,413,450.7,470.8,487.2,524.8,555.3,596.5,646.9,705.1,745,815.1,882.4
"13",NA,"Production by labor and capital supplied by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","5","    Gross national product","A001RC1",104.4,91.9,77,59.1,56.7,66.3,73.6,84,92.2,86.5,92.5,101.7,127.2,162.3,198.9,220.1,223.3,222.9,245.2,270.6,268.5,295.2,341.2,360.3,381.2,382.4,417.2,440.2,464.1,469.8,509.4,529.6,548.3,589.7,622.2,668.6,724.4,792.8,837.8,915.9,990.5
"15","6","    Gross national income","A023RC1",103.6,92.3,76.2,58.8,56.2,65.9,73.9,82.8,92.3,85.8,91.2,100.6,126.8,163.2,200.7,217.5,219.4,221.7,242.9,271.1,266.7,293.8,337.6,357.5,377.3,379.3,414.8,442,464.2,468.8,508.9,530.5,548.9,589.4,623.1,667.8,722.9,786.6,833.3,911.6,987.7
"16","7","    Net national product \1\","A027RC1",94.7,82.5,68.2,51.4,49.3,58.5,65.8,75.9,83.3,77.3,83.3,92,116.1,148.6,182.4,200.5,202.2,199.8,218.6,242.1,239.3,265.2,307.4,324,342.6,341.9,374.4,393.1,413.3,416.5,454,473,490.1,529.2,558.9,602.2,653.7,716.3,754.9,825.5,891.4
"17","8","    National income \2\","A032RC1",93.9,82.9,67.4,51.1,48.8,58.1,66,74.7,83.3,76.6,82,90.9,115.8,149.5,184.2,198,198.3,198.6,216.3,242.6,237.5,263.9,303.8,321.3,338.6,338.7,372,394.9,413.3,415.6,453.5,473.9,490.7,528.9,559.7,601.4,652.2,710.1,750.4,821.2,888.5
"18",NA,"Final expenditures by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","9","    Gross domestic purchases","A712RC1",103.2,90.9,76.5,58.7,56.3,65.7,73.5,83.9,91.8,85.2,91.3,100,125.7,162.2,200.9,221.8,223.8,215,233.3,263.6,262,293,336.7,357.1,380,380,414.2,435.1,457,466.6,506.2,522.2,539.8,581.6,612.8,656.7,713.5,783.8,828.9,908.5,983
"20","10","    Final sales to domestic purchasers \3\","A713RC1",101.7,91.1,77.6,61,57.7,66.2,72.4,82.8,89.2,85.7,91.1,97.6,121.4,160.3,201.6,222.7,225.3,209,233.8,258,264.7,287.2,326.8,353.6,378.1,381.9,409.3,431.1,456.2,467,502.3,519,536.9,575.5,607.2,651.9,704.3,770.2,819,899.4,973.8
"21",NA,"After-tax income received by the personal sector:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","11","    Disposable personal income","A067RC1",83.2,74.6,64.2,49.1,46,52.8,59.3,67.3,72.2,66.5,71.4,76.8,93.7,118.5,135.4,148.3,152.2,161.4,171.1,190.5,190.2,209.9,230.8,243.2,258.4,264.1,283.1,302.9,319.7,330.4,350.1,365.2,381.6,404.9,425,462.3,497.8,537.4,575.1,624.7,673.8
"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","1. In this table, net measures are the corresponding gross measures less the depreciation of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","fixed assets as measured by the consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2. Equals gross national income less the depreciation of fixed assets as measured by the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","3. Equals gross domestic purchases less change in private inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
