"","Table 6#11C# Employer Contributions for Employee Pension and Ins","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"43","34","    Supplemental unemployment","B4926C0",2536,2902,2860,3188,3412,3756,3346,2650,2601,2546,2233,2080,1940,1843
"44",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","35","  Benefits paid by pension and insurance funds","B4928C0",370020,392279,430115,465702,505214,558823,593394,623502,648062,687309,717842,764023,822275,890455
"46","36","    Pension and profit-sharing","B4937C0",198453,202188,219920,230404,244696,266402,278742,297809,323994,360841,389441,397168,423870,454351
"47","37","      Private pension and profit-sharing","B4929C0",122432,120046,132374,136177,143229,158928,162852,174328,191170,220524,238643,236428,253320,271003
"48","38","      Publicly administered government employee retirement plans","B4938C0",76021,82142,87546,94227,101467,107474,115890,123481,132824,140317,150798,160740,170550,183348
"49","39","        Federal civilian \1\","B4946C0",26462,28526,29932,31770,33744,34257,35829,37259,39208,40517,42657,45871,47274,49779
"50","40","        Federal military \2\","B1593C0",18398,19503,20646,21885,23510,24826,26054,26976,28140,29169,30604,31457,32189,33226
"51","41","        State and local","S121000",31161,34113,36968,40572,44213,48391,54007,59246,65476,70631,77537,83412,91087,100343
"52","42","    Private insurance funds","B4939C0",171567,190091,210195,235298,260518,292421,314652,325693,324068,326468,328401,366855,398405,436104
"53","43","      Group insurance","B4940C0",148136,165261,182097,203463,225544,255274,278138,290565,290237,292669,293884,330893,360154,396983
"54","44","        Group health insurance","B4930C0",137578,154393,170933,191189,213439,242191,264630,275247,274220,275666,276779,312625,340010,379965
"55","45","        Group life insurance","B4931C0",10558,10868,11164,12274,12105,13083,13508,15318,16017,17003,17105,18268,20144,17018
"56","46","      Workers' compensation","B4932C0",20535,23256,26351,29471,32459,35004,34752,33833,32377,31167,32268,33933,36368,37355
"57","47","      Supplemental unemployment","B4933C0",2896,1574,1747,2364,2515,2143,1762,1295,1454,2632,2249,2029,1883,1766
"58","48","  Employee contributions for publicly administered government employee retirement plans","B4941C0",16980,18126,19334,20814,22072,23496,24721,26211,27597,29203,30790,32245,34536,36650
"59","49","    Federal civilian","B4947C0",5361,5617,5885,6204,6673,7486,7832,8162,8395,8917,9311,9547,10254,10934
"60","50","    State and local","S251200",11619,12509,13449,14610,15399,16010,16889,18049,19202,20286,21479,22698,24282,25716
"61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","1. Consists of civil service, foreign service, Public Health Service officers, Tennessee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Valley Authority, Thrift Savings Fund, and several small retirement programs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","2. Includes the Coast Guard.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Note. Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
