"","Table 2#1# Personal Income and Its Disposition","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"22","15","    Personal dividend income","B703RC1",24.2,24.3,25,26.8,29.9,33.2,32.9,39,44.7,50.7,57.4,64,73.6,77.6,83.3,90.6,97.4,106,112.2,129.7,157.8,168.8,180.3,187.6,202.3,235,253.4,296.4,329.7,349.8,335.9,376.5,369.5,397.7,423.1,548.3,555,702.2,791.9,783.4,533.2,581.7,676.3,756.3
"23","16","  Personal current transfer receipts","A577RC1",62.3,74.7,88.1,97.9,112.6,133.3,170,184,194.2,209.6,235.3,279.5,318.4,354.8,383.7,400.1,424.9,451,467.6,496.5,542.6,594.9,665.9,745.8,790.8,826.4,878.9,924.1,949.2,977.9,1021.6,1083,1188.1,1282.1,1341.7,1415.5,1508.6,1605,1718.5,1879.2,2140.1,2284.3,2319.2,2375.6
"24","17","    Government social benefits to persons","A063RC1",59,71.7,85.4,94.8,108.6,128.6,163.1,177.3,189.1,203.2,227.1,270.8,307.2,342.4,369.9,380.4,402.6,428,447.4,475.9,519.4,572.7,648.2,729.5,776.7,813.1,860.2,901.2,929.8,951.9,987.6,1040.6,1141.3,1247.9,1316,1398.6,1482.7,1583.6,1687.9,1842.4,2100.5,2236.9,2274.3,2329.7
"25","18","      Social security \1\","W823RC1",26.4,31.4,36.6,40.9,50.7,57.6,65.9,74.5,83.2,91.4,102.6,118.6,138.6,153.7,164.4,173,183.3,193.6,201,213.9,227.4,244.1,264.2,281.8,297.9,312.2,327.7,342,356.6,369.2,379.9,401.4,425.1,446.9,463.5,485.5,512.7,544.1,575.6,605.5,664.5,690.2,713.3,762.2
"26","19","      Medicare \2\","W824RC1",6.7,7.3,8,8.8,10.2,12.7,15.6,18.8,22.1,25.5,29.9,36.2,43.5,50.9,57.8,64.7,69.7,75.3,81.6,86.3,98.2,107.6,117.5,132.6,146.8,164.4,181.2,194.9,206.9,205.6,208.7,219.1,242.6,259.2,276.9,304.7,331.9,399.2,427.6,461.6,494.5,515.3,545.1,562
"27","20","      Medicaid","W729RC1",4.6,5.5,6.7,8.2,9.6,11.2,13.9,15.5,16.7,18.6,21.1,23.9,27.7,30.2,33.9,36.6,39.7,43.6,47.8,53,60.8,73.1,96.9,116.2,130.1,139.4,149.6,158.2,163.1,170.2,184.6,199.5,227.3,250.1,264.6,289.7,304.4,299,324.1,338.2,369.2,396.6,403.9,415.7
"28","21","      Unemployment insurance","W825RC1",2.3,4.2,6.2,6,4.6,7,18.1,16.4,13.1,9.4,9.7,16.1,15.9,25.2,26.4,16,15.9,16.5,14.6,13.3,14.4,18.2,26.8,39.6,34.8,23.9,21.7,22.3,20.1,19.7,20.5,20.7,31.9,53.5,53.2,36.4,31.8,30.4,32.7,50.9,131.2,138.9,108,80.9
"29","22","      Veterans' benefits","W826RC1",6.6,7.5,8.4,9.4,10.2,11.6,14,13.8,13.3,13.6,14.2,14.7,15.8,16.3,16.4,16.3,16.6,16.6,16.5,16.7,17.2,17.7,18.1,18.6,19.3,19.7,20.5,21.4,22.3,23.3,24.1,25,26.6,29.5,31.8,34,36.4,38.9,41.7,45,51.5,57.9,63.3,72.3
"30","23","      Other","W827RC1",12.4,16,19.4,21.4,23.3,28.4,35.7,38.4,40.6,44.6,49.7,61.4,65.6,66.1,71,73.8,77.6,82.4,85.9,92.6,101.4,111.9,124.7,140.6,147.7,153.5,159.5,162.4,160.7,164,169.8,174.8,187.9,208.8,226.1,248.3,265.6,272.1,286.2,341.1,389.7,438.1,440.8,436.6
"31","24","    Other current transfer receipts, from business (net)","B931RC1",3.3,2.9,2.7,3.1,3.9,4.7,6.8,6.7,5.1,6.5,8.2,8.6,11.2,12.4,13.8,19.7,22.3,22.9,20.2,20.6,23.2,22.2,17.6,16.3,14.1,13.3,18.7,22.9,19.4,26,34,42.4,46.8,34.2,25.7,16.9,25.8,21.4,30.5,36.8,39.6,47.4,44.9,45.9
"32","25","  Less: Contributions for government social insurance, domestic","A061RC1",44.1,46.4,51.2,59.2,75.5,85.2,89.3,101.3,113.1,131.3,152.7,166.2,195.7,208.9,226,257.5,281.4,303.4,323.1,361.5,385.2,410.1,430.2,455,477.4,508.2,532.8,555.1,587.2,624.7,661.3,705.8,733.2,751.5,778.9,827.3,872.7,921.8,959.5,987.3,963.1,983.3,919.3,948.3
"33","26","Less: Personal current taxes","W055RC1",104.5,103.1,101.7,123.6,132.4,151,147.6,172.3,197.5,229.4,268.7,298.9,345.2,354.1,352.3,377.4,417.3,437.2,489.1,504.9,566.1,592.7,586.6,610.5,646.5,690.5,743.9,832,926.2,1026.4,1107.5,1232.3,1234.8,1050.4,1000.3,1047.8,1208.6,1352.4,1488.7,1435.7,1144.6,1194.8,1398,1474.7
"34","27","Equals: Disposable personal income","A067RC1",673.8,735.5,801.4,869,978.1,1071.7,1187.3,1302.3,1435,1607.3,1790.9,2002.7,2237.1,2412.7,2599.8,2891.5,3079.3,3258.8,3435.3,3726.3,3991.4,4254,4444.9,4736.7,4921.6,5184.3,5457,5759.6,6074.6,6498.9,6803.3,7327.2,7648.5,8009.7,8377.8,8889.4,9277.3,9915.7,10423.6,11024.5,10722.4,11127.1,11549.3,11931.2
"35","28","Less: Personal outlays","A068RC1",621.4,666.1,721,791.5,875.2,957.5,1061.3,1179.6,1309.7,1465,1633.4,1806.4,2000.4,2148.8,2372.9,2595.2,2825.7,3012.4,3211.9,3469.7,3726.4,3977.3,4131.7,4388.7,4636.2,4913.6,5170.8,5478.5,5794.2,6157.5,6595.5,7114.1,7443.5,7727.5,8088.1,8571.2,9134.1,9659.1,10174.9,10432.2,10214.3,10560.4,11059.9,11461.2
"36","29","  Personal consumption expenditures","DPCERC1",605.1,648.3,701.6,770.2,852,932.9,1033.8,1151.3,1277.8,1427.6,1591.2,1755.8,1939.5,2075.5,2288.6,2501.1,2717.6,2896.7,3097,3350.1,3594.5,3835.5,3980.1,4236.9,4483.6,4750.8,4987.3,5273.6,5570.6,5918.5,6342.8,6830.4,7148.8,7439.2,7804.1,8270.6,8803.5,9301,9772.3,10035.5,9845.9,10215.7,10729,11120.9
"37","30","  Personal interest payments \3\","B069RC1",14,15.2,16.6,18.1,19.8,21.2,23.7,23.9,27,31.9,36.2,43.6,49.3,59.5,69.2,77,89.4,94.5,91.7,94,103.9,111.3,115,111.3,107,113,130.6,147.3,159.7,169.5,176.5,200.3,203.7,191.3,182.7,190.3,210.8,230.1,260.9,245.6,217.1,183.8,168,172.2
"38","31","  Personal current transfer payments","W211RC1",2.2,2.6,2.8,3.2,3.4,3.4,3.8,4.4,4.8,5.4,6,6.9,11.5,13.8,15.1,17.1,18.8,21.1,23.2,25.6,28,30.6,36.7,40.5,45.6,49.8,52.9,57.6,63.9,69.5,76.2,83.4,91,97,101.3,110.3,119.8,128,141.7,151,151.3,160.9,162.8,168.1
"39","32","    To government","W062RC1",1.1,1.3,1.5,1.8,1.8,2.1,2.5,3,3.5,3.9,4.3,5,6,7.1,8.1,9.2,10.4,12,13.2,14.8,16.5,18.4,22.6,26,28.6,30.9,32.6,34.9,38.2,39.9,44.1,48.8,52.9,56.4,60.2,66.7,71.4,76.4,82.4,84.9,85.2,87.4,88.9,91.7
"40","33","    To the rest of the world (net)","B070RC1",1.1,1.3,1.4,1.4,1.6,1.4,1.3,1.4,1.4,1.6,1.7,2,5.6,6.7,7,7.9,8.3,9.1,10,10.8,11.6,12.2,14.1,14.5,17.1,18.9,20.3,22.6,25.7,29.7,32.2,34.6,38.1,40.6,41.2,43.6,48.4,51.6,59.3,66.2,66.1,73.5,73.9,76.4
"41","34","Equals: Personal saving","A071RC1",52.5,69.4,80.4,77.5,102.9,114.2,125.9,122.8,125.3,142.4,157.5,196.3,236.7,263.9,226.9,296.3,253.6,246.5,223.4,256.6,265,276.7,313.2,348.1,285.4,270.7,286.3,281.1,280.4,341.5,207.8,213.1,204.9,282.2,289.6,318.2,143.2,256.6,248.7,592.3,508.2,566.7,489.4,470.1
"42","35","  Personal saving as a percentage of disposable personal income","A072RC1",7.8,9.4,10,8.9,10.5,10.7,10.6,9.4,8.7,8.9,8.8,9.8,10.6,10.9,8.7,10.2,8.2,7.6,6.5,6.9,6.6,6.5,7,7.3,5.8,5.2,5.2,4.9,4.6,5.3,3.1,2.9,2.7,3.5,3.5,3.6,1.5,2.6,2.4,5.4,4.7,5.1,4.2,3.9
"43",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","36","  Personal income excluding current transfer receipts, billions of chained (2005) dollars \4\","W875RX1",3166.6,3227.4,3302.8,3505.9,3710.4,3668.4,3620,3802.3,3978.1,4205.7,4331.1,4335.2,4460.7,4503.1,4597.3,4947.7,5129.7,5290.2,5433.6,5645.8,5816.5,5890.6,5837.3,5976.8,6072,6286.8,6484,6758,7083.4,7591.6,7861.2,8324,8407.3,8383.4,8489.8,8774.3,8977.3,9406.9,9662.5,9712.3,8923.4,9035.8,9340,9526.7
"45",NA,"  Disposable personal income:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","37","    Total, billions of chained (2005) dollars \4\","A067RX1",2979.9,3107.3,3247.7,3405.2,3636.6,3608.6,3689.5,3836.6,3969,4154.6,4251.9,4293.7,4407.9,4504.4,4653.5,4986.9,5142.4,5312.6,5399.9,5633,5782.5,5893.6,5943.2,6152.5,6255.3,6456,6648.6,6867.8,7110.4,7535.4,7763.1,8157.8,8356.2,8633.2,8850.5,9152.9,9277.3,9652.8,9880.3,10119.5,9836.7,10016.5,10149.7,10304.8
"47",NA,"    Per capita:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","38","      Current dollars","A229RC0",3324,3586,3859,4140,4615,5010,5497,5972,6514,7220,7956,8794,9726,10390,11095,12232,12911,13540,14146,15206,16134,17004,17532,18436,18909,19678,20470,21355,22255,23534,24356,25946,26816,27816,28827,30312,31343,33183,34550,36200,34899,35920,37013,37964
"49","39","      Chained (2005) dollars","A229RX0",14699,15151,15637,16221,17159,16871,17083,17592,18017,18662,18888,18855,19164,19397,19859,21096,21561,22073,22236,22986,23374,23557,23442,23947,24033,24505,24939,25463,26049,27287,27792,28888,29297,29981,30453,31211,31343,32303,32749,33229,32016,32335,32527,32789
"50","40","  Population (midperiod, thousands)","B230RC0",202736,205089,207692,209924,211939,213898,215981,218086,220289,222629,225106,227726,230008,232218,234333,236394,238506,240683,242843,245061,247387,250181,253530,256922,260282,263455,266588,269714,272958,276154,279328,282398,285225,287955,290626,293262,295993,298818,301696,304543,307240,309776,312036,314278
"51",NA,"  Percent change from preceding period:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","41","    Disposable personal income, current dollars","A067RP1",7.9,9.2,9,8.4,12.6,9.6,10.8,9.7,10.2,12,11.4,11.8,11.7,7.8,7.8,11.2,6.5,5.8,5.4,8.5,7.1,6.6,4.5,6.6,3.9,5.3,5.3,5.5,5.5,7,4.7,7.7,4.4,4.7,4.6,6.1,4.4,6.9,5.1,5.8,-2.7,3.8,3.8,3.3
"53","42","    Disposable personal income, chained (2005) dollars","A067RL1",3.2,4.3,4.5,4.8,6.8,-0.8,2.2,4,3.4,4.7,2.3,1,2.7,2.2,3.3,7.2,3.1,3.3,1.6,4.3,2.7,1.9,0.8,3.5,1.7,3.2,3,3.3,3.5,6,3,5.1,2.4,3.3,2.5,3.4,1.4,4,2.4,2.4,-2.8,1.8,1.3,1.5
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","1. Social security benefits include old-age, survivors, and disability insurance benefits that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","are distributed from the federal old-age and survivors insurance trust fund and the disability",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","insurance trust fund.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","2. Medicare benefits include hospital and supplementary medical insurance benefits that are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","distributed from the federal hospital insurance trust fund and the supplementary medical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","insurance trust fund.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","3. Consists of nonmortgage interest paid by households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","4. The current-dollar measure is deflated by the implicit price deflator for personal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
