"","Table 3#8# Current Surplus of Government Enterprises            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"11","4","  Federal Housing Administration","L312121",0.2,0.3,0.3,0.3,0.3,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.5,0.5,0.5,0.4,0.5,0.6,0.4,0.5,1,1.3,1.6,1.8,2.8,1.8,1.3,2,2.2,2.7,3.1,2.9,2.8,2.6,2.6,2.6,1.9,2.1,2.4,2.7,2.4,-0.4,-6.6
"12","5","  Tennessee Valley Authority","L312131",-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,0.3,0.3,0.6,0.7,0.6,0.7,0.9,1.2,1.5,1.6,1.8,1.8,1.7,0.7,2.1,2.4,1.8,2,1.6,1.9,2.2,2.5,2.6,1.5,0.1,1.8,1.8,1.7,1.8,2.1,1.7,0.8,0.9,1.1,1
"13","6","  Other \1\","L312141",0.5,0.4,0.5,0.5,0.4,0.7,0.7,0.7,0.2,0.2,0.1,0.1,0.1,0,0.4,0.7,0.7,0.6,0.6,0.3,0.3,0.6,0.6,0,0.2,0.7,0.1,-1.4,0.2,0.6,0.5,0.4,-0.1,0.2,0.3,-0.5,-2,-1.6,-2.2,-2.2,-0.5,0.4,2.1
"14","7","State and local","B115RC1",1.5,1.5,1.4,1.6,1.5,0.9,0.4,0.4,0.3,0.3,-0.3,-1.2,-2.4,-1.6,-0.2,1.5,3.2,2.8,3.1,4.8,6.7,6.9,7.3,8.3,9.9,10.5,13.5,15.6,14.2,12.5,13.3,10.4,8,6.1,3.3,1,0.1,-1.3,-9.1,-12.3,-11.1,-12.5,-13.8
"15","8","  Water and sewerage","L312181",0.2,0.2,0.3,0.3,0.2,0,-0.3,-0.6,-0.9,-0.9,-1.1,-1.4,-1.8,-1.8,-1.2,-0.4,0.4,0.7,1.2,1.8,2.1,2,2.3,2.4,2.9,3.6,4.3,5.1,5.3,5.8,6.4,6.1,6,6.5,7,6.7,6.9,6.9,6.1,4.8,5.4,6.5,7.6
"16","9","  Gas and electricity","L312191",0.8,0.8,0.7,0.8,0.9,0.9,1,1.1,1.2,1.3,1.3,1.2,1.5,1.8,2.2,3,3.2,3.4,4.1,4.8,5.2,5.4,5.7,5.9,6.1,6.2,6.6,6.7,6.8,7.5,8.2,8.5,8.8,7.8,5.7,5.3,5.9,6.7,5.7,7.1,8.6,8.4,8
"17","10","  Toll facilities","L312201",0.5,0.5,0.5,0.6,0.6,0.5,0.5,0.6,0.6,0.6,0.6,0.5,0.6,0.6,0.7,0.9,1,1,1.2,1.2,1.4,1.5,1.7,1.6,1.7,1.7,1.7,1.8,2,2.2,2.4,2.6,2.3,2,2.3,2.6,2.5,2.2,1.7,1.9,2,2.6,2.9
"18","11","  Liquor stores","L312211",0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,0.9,0.9,1.2,1.4,1.4,1.5,1.3,1.4,1.4,1.5,1.8
"19","12","  Air and water terminals","L312221",0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.2,0.2,0.3,0.5,0.7,0.8,0.9,1,1.1,1.3,1.3,1.5,1.6,1.7,1.8,2.1,2.5,2.6,2.8,3,3.4,2.4,2.4,2.6,2.8,2.8,2.7,2.2,1.6,1.7,1.7
"20","13","  Housing and urban renewal","L312231",0,0,0,0.1,0,0.2,0.2,0.1,0.1,0.1,-0.1,-0.3,-0.3,0.4,0.8,0.3,0.1,-0.8,-1.9,-2.2,-2.1,-1.9,-1.5,-1.4,-1.7,-2.4,-1.4,-1.5,-4,-6.5,-7,-8.7,-10.4,-11.5,-13.2,-14.9,-16.8,-19.2,-22.3,-22.9,-22.3,-25.3,-26.7
"21","14","  Public transit","L312241",-0.3,-0.4,-0.5,-0.7,-1,-1.4,-1.7,-1.6,-1.8,-2,-2.5,-2.9,-4.1,-4.7,-5.6,-6.1,-6.5,-7.4,-8,-8.3,-8.7,-9.6,-10.7,-11.2,-11.6,-12.6,-13.1,-13.5,-14.1,-15.1,-16.4,-17.9,-20.2,-21.3,-22.7,-24.4,-26.5,-28.3,-31.1,-33.7,-35.3,-36.8,-38.6
"22","15","  Other \2\","L312251",-0.2,-0.2,-0.1,0,0.1,0.2,0.2,0.3,0.4,0.6,0.7,0.8,1,1.4,2.1,2.9,3.9,4.6,5.1,6.3,7.2,7.8,8,9,10.4,11.8,13,14.1,15,15.4,16.1,15.8,17.2,19.3,20.6,21.7,23.8,26.1,26.9,26.7,27.6,28.7,29.4
"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","1. Consists largely of the Bonneville Power Administration, other electric power agencies, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","insurance agencies other than those insuring deposits in financial institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2. Consists of lotteries, gaming administered by Indian tribal governments, off-track betting,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","local parking, and miscellaneous activities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
