"","Table 7#4#5# Housing Sector Output, Gross Value Added, and Net V","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"11","4","    Tenant-occupied","DTENRC1",24,26,28.4,30.8,33.7,35.8,39,42.6,47,51.1,55.7,61.8,71,78.6,85.5,94.6,108.3,119.3,126.8,133.8,140.1,150.7,157.6,163.9,168.8,176.7,186.2,191.2,199.4,209,218.7,227.9,241.9,249.2,247.1,253.7,264.7,283.4,311.1,330.3,353.1,360.2,377.6
"12","5","  Farm housing","DFARRC1",3,3.3,3.5,3.7,3.8,4,4,4.1,4.4,4.7,4.9,5.2,5.3,5.1,5.2,5.2,5.1,5,5,5.5,5.9,6.3,6.8,7.2,8.1,9,9.4,9.8,9.6,10,10.6,12.7,13.1,13.6,14.3,16.8,18.8,20.9,19.5,19.5,19.6,20.2,21.7
"13","6","Less: Intermediate goods and services consumed","B1027C1",12.5,13.9,15.3,17.2,20.1,22.6,24.6,28.7,32.3,38.4,44.5,45.5,48.5,46.2,49,56.6,61.1,69.1,75.8,81.5,87.5,92,93,95.3,102.3,109.3,114.7,122.2,129.9,147.8,151.3,159.7,180.4,201.2,237,244.3,274,284.6,271.2,229.1,252.7,263.5,270.1
"14","7","Equals: Gross housing value added","A2009C1",71.3,76.7,83.9,91.1,98.3,106.8,117.2,126.6,140.5,155.5,172.9,199.8,228.8,255.7,277.7,301.3,333.1,359.7,385.5,415.3,443.4,477.8,508.1,538.6,562.9,602.6,640.7,671.3,708.6,745.3,798.3,849.9,904.4,932.5,938.2,988.7,1054,1130.8,1200.6,1299.7,1322.4,1322,1352
"15","8","          Nonfarm housing","B499RC1",68.5,73.7,80.8,87.7,94.9,103.2,113.6,122.9,136.5,151.3,168.5,195.2,224,251.1,273.1,296.7,328.6,355.4,381.2,410.6,438.2,472.2,502.1,532.2,555.8,594.6,632.4,662.7,700.1,736.5,789,838.8,893,920.6,925.9,974.2,1037.8,1112.7,1183.7,1282.8,1305.4,1304.5,1333.1
"16","9","            Owner-occupied","B1300C1",49.4,53.1,58.6,63.5,69,75.6,83.3,90.4,98.9,111.5,126.1,146.8,167.8,186.7,202.6,220.1,239.5,257,277.1,301.2,324.4,349.8,370.1,390.3,412.2,444.3,474.2,501.5,532.8,563.6,609.2,652.2,698.8,725.3,740.4,781.5,838.6,896.7,940.4,1014,1021.1,1013.1,1027.7
"17","10","            Tenant-occupied","B1301C1",19.1,20.6,22.2,24.2,25.9,27.6,30.3,32.6,37.6,39.8,42.4,48.4,56.1,64.4,70.5,76.6,89.1,98.5,104.1,109.4,113.8,122.5,132,141.9,143.6,150.3,158.2,161.2,167.3,172.9,179.9,186.6,194.2,195.3,185.5,192.7,199.2,215.9,243.4,268.9,284.3,291.4,305.3
"18","11","          Farm housing","B1302C1",2.8,3,3.2,3.4,3.4,3.6,3.6,3.7,3.9,4.2,4.5,4.7,4.8,4.7,4.6,4.6,4.5,4.3,4.3,4.7,5.1,5.6,6,6.4,7.2,8,8.3,8.6,8.5,8.8,9.3,11.1,11.4,11.8,12.3,14.5,16.2,18.1,16.9,16.9,17.1,17.5,18.9
"19","12","Less: Consumption of fixed capital","A1028C1",14.1,15.1,16.6,18.4,21,24.1,27.1,29.6,33.6,39,44.9,51.3,56.9,60.8,63.2,66.7,70.2,75,80.3,85.7,90.9,95.4,98.7,101.8,107.5,113.6,120.9,126.8,133.8,141.3,150.9,161.8,173.2,182.3,196.1,217.3,239.7,262.1,273.2,275.6,269.6,270.7,274.5
"20","13","Equals: Net housing value added \2\","B952RC1",57.2,61.6,67.3,72.6,77.4,82.7,90.1,97,106.9,116.6,128.1,148.5,171.9,194.9,214.5,234.6,262.9,284.7,305.2,329.6,352.5,382.4,409.4,436.8,455.5,489,519.9,544.5,574.7,604,647.4,688.1,731.2,750.1,742.1,771.4,814.3,868.7,927.4,1024.1,1052.8,1051.3,1077.5
"21","14","          Compensation of employees","B1033C1",1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.3,1.4,1.6,1.8,2,2.2,2.4,2.6,2.9,3.2,3.5,3.7,4,4.2,4.5,4.7,6.9,7.2,7.6,8,8.3,8.8,9.4,9.9,10.8,11.1,11.9,11.9,12.4,12.8,13.5,14.3,14.6,14.5,14.5,14.7
"22","15","          Taxes on production and imports","B1031C1",17.6,20.1,22.1,23.8,25.8,27.6,30.3,33.4,36.6,37.3,38,41,45.6,50,54,58.6,62.8,67.1,73.8,78.8,85.4,90.8,97.1,100.6,101.1,106,106.4,110.3,114.3,117.4,121.8,125.8,133.1,144,153.4,164.2,176.5,186.5,197.1,200,208.7,209.9,213.1
"23","16","          Less: Subsidies \3\","W154RC1",0.5,0.7,1.1,1.6,1.8,2.3,2.6,3.1,3.5,4.2,5.3,6.6,9.2,12.1,14,14.9,16.6,16.5,16.9,16.7,18.6,20.4,22.3,24.2,26.3,28.1,31.4,32.4,31.8,30,29.6,27.8,29,34,37.1,39.9,43.3,42.6,49.7,45.6,48.6,47.5,49.3
"24","17","          Net operating surplus","W165RC1",39,41.2,45.3,49.3,52.2,56.3,61.2,65.4,72.4,81.9,93.6,112.1,133.4,154.6,171.8,188,213.4,230.6,244.7,263.5,281.5,307.5,329.8,353.5,373.5,403.5,436.9,458.3,483.4,507.2,545.4,579.3,616,628.2,614,634.6,668.4,711.3,765.8,855.1,878.2,874.4,899
"25","18","            Net interest","B1037C1",18.5,20.4,23.6,27.3,31.5,36.2,42.5,47.6,55.6,64.4,75.5,88.7,101.8,118.7,135.2,151.9,174.8,195.3,208.3,221.5,238.9,256.7,265.5,262.5,247.3,244.6,262.1,270.9,286,297.8,318.1,348.3,372.4,389.8,397,425.1,481.9,557.5,612.7,626.8,560.9,500.2,462.6
"26","19","            Current transfer payments","W166RC1",0,0,0.1,0.2,0.1,-0.4,-0.2,0.2,0.5,0.6,0,-0.3,0.2,-0.1,-0.4,-0.6,-0.5,1.3,2,1,-0.8,-0.7,-0.4,-0.6,1.8,1.3,1.7,-0.5,4.9,1.7,2.1,0.9,-1.6,3,5.5,7.8,11.8,12.7,11.1,4.1,6.9,4.6,-2
"27","20","            Proprietors' income with inventory valuation and capital consumption adjustments","B1034C1",1.5,1.6,1.4,1.4,1.3,1.2,0.6,0.8,1.4,1.8,2.5,3.7,5.5,7.8,7.5,7.9,8.8,9,8.7,8.7,8.8,10,11.5,15.8,19.4,23,26,26.7,28.8,29.9,31.1,32.1,34.2,34.4,30.7,29.4,27.9,28.9,34.5,41.2,53.4,59.2,67.9
"28","21","            Rental income of persons with capital consumption adjustment","B1035C1",18.3,18.4,19.5,19.4,18.4,18.2,17.2,15.7,13.6,13.7,14,18.4,23.5,24.7,25.6,24.8,26.2,22.1,23.6,30.3,32.1,38.9,50.2,72.6,102,131.4,142.6,156.6,161.5,177.9,194.6,199.8,214.4,205.6,187.3,180.2,155.4,123.3,120.9,196.2,268.7,324.4,384.9
"29","22","            Corporate profits with inventory valuation and capital consumption adjustments","B1036C1",0.4,0.5,0.5,0.5,0.6,0.6,0.5,0.5,0.7,0.8,1,1.2,1.8,2.3,2.2,2.7,3,2.6,2.7,2.9,3.3,3.1,3,3.1,3.2,3.8,4.1,4.1,4.3,4.3,4.3,4.4,4.4,4.2,3.9,3.8,4.7,4.4,5.3,6,7.1,7.7,8.8
"30","23","            Current surplus of government enterprises \3\","W153RC1",0.2,0.2,0.3,0.4,0.3,0.6,0.6,0.6,0.7,0.7,0.6,0.5,0.6,1.3,1.7,1.3,1.2,0.3,-0.7,-1,-0.7,-0.4,0,0.1,-0.1,-0.7,0.4,0.4,-2,-4.5,-4.8,-6.3,-7.8,-8.8,-10.4,-11.7,-13.3,-15.5,-18.6,-19.2,-18.8,-21.7,-23.1
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","1. Equals personal consumption expenditures for housing excluding expenditures for group housing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","as shown in table 2.5.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2. Equals housing national income.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","3. Prior to 1959, subsidies and the current surplus of government enterprises are not shown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","separately;  subsidies are presented net of the current surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
