"","Table 5#1# Saving and Investment by Sector","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"11","4","    Domestic business","A127RC1",34.2,27.2,37.5,48,53.5,39.7,54.3,70,86.6,102.9,101.4,72.3,89.4,85.6,115.7,149.5,157.5,108.5,123.2,143.3,110.2,102.7,132.2,137.1,145.6,192.8,226.2,251.1,280.9,198.7,223.5,131.4,180.2,314.7,378.6,413.2,484.8,447.1,264.6,167.3,554.4,806,801.9,804.3,781.2
"12","5","      Undistributed corporate profits","B057RC1",32.4,27.2,36.1,46.7,66.3,75.5,70.2,91.9,109.3,134.8,153.6,131.5,118.5,88.1,99.8,109.9,92.7,50.3,88,116.8,85.4,89.6,110.2,124.4,129.6,172.6,208.5,203.7,212,122.6,159.5,97.3,116.8,196.4,291.7,384.4,660.4,652.1,484,264.7,630,900.3,771.6,984.9,942.8
"13","6","      Inventory valuation adjustment, corporate","B058RC1",-5.9,-6.6,-4.6,-6.6,-19.6,-38.2,-10.5,-14.1,-15.7,-23.7,-40.1,-42.1,-24.6,-7.5,-7.4,-4,0,7.1,-16.2,-22.2,-16.3,-12.9,4.9,-2.8,-4,-12.4,-18.3,3.1,14.1,15.7,-4,-16.8,8,6.1,-9.6,-39.5,-32.1,-35.7,-39.5,-37,6.7,-41,-56,-10,-0.3
"14","7","      Capital consumption adjustment, corporate","A059RC1",7.6,6.5,6,7.9,6.8,2.4,-5.4,-7.8,-7,-8.1,-12,-17.1,-4.5,5,23.3,43.6,64.8,51.1,51.4,48.7,41.2,26,17.1,15.5,20.1,32.6,36,44.2,54.8,60.3,68,50.9,55.4,112.1,96.5,68.2,-143.5,-169.2,-179.9,-60.4,-82.2,-53.3,86.4,-170.5,-161.3
"15","8","    Households and institutions","W986RC1",75,96.1,110.1,109.2,131.8,141.7,159,147.3,148.2,166.6,177.5,213.2,252.5,277.7,247,312.1,265.1,269.4,252.1,294.7,316.5,335.4,365.9,426,367.6,331.4,352.9,345.2,352.2,405.3,293,297.9,331.2,403.9,410.8,413.2,242.7,336.9,317.2,551.3,670.7,634.2,668.2,687.4,561.8
"16","9","      Personal saving","A071RC1",75,96.1,110.1,109.2,131.8,141.7,159,147.3,148.2,166.6,177.5,213.2,252.5,277.7,247,312.1,265.1,269.4,252.1,294.7,316.5,335.4,365.9,426,367.6,331.4,352.9,345.2,352.2,405.3,293,297.9,331.2,403.9,410.8,413.2,242.7,336.9,317.2,551.3,670.7,634.2,668.2,687.4,561.8
"17","10","  Net government saving","A922RC1",-1,-31.8,-50.2,-40.5,-28,-38.3,-102.5,-77.1,-63.5,-46.4,-36.3,-80.9,-81.7,-169.7,-203.7,-171.4,-175.4,-192.2,-151.1,-140.4,-149.2,-207.4,-271.3,-370.2,-349,-280.7,-272.4,-191,-89.5,18.1,75.8,165.8,-51.3,-391.9,-524.9,-508.1,-372,-267.5,-339.4,-800.2,-1521.7,-1566.8,-1461.3,-1362.3,-973
"18","11","    Federal","A923RC1",-5.1,-34.8,-50.8,-48.9,-37.7,-40.6,-97,-79.9,-71.9,-59.8,-44.5,-86.3,-85.8,-164.6,-205,-192.3,-195.6,-212.7,-163.2,-157.3,-156.6,-200.9,-246.2,-332.7,-311.8,-253.7,-240.8,-178.5,-91.2,2.7,66.5,155.9,14,-270.9,-403.5,-399.8,-305.4,-228.1,-266.7,-635.1,-1249.8,-1329.5,-1248.3,-1109.7,-752.1
"19","12","    State and local","A924RC1",4.1,3,0.6,8.4,9.6,2.3,-5.6,2.8,8.4,13.4,8.2,5.4,4.1,-5.1,1.3,20.9,20.3,20.4,12.1,17,7.4,-6.5,-25.1,-37.5,-37.2,-27,-31.5,-12.5,1.7,15.4,9.2,9.9,-65.3,-120.9,-121.4,-108.4,-66.6,-39.4,-72.7,-165.1,-271.9,-237.3,-213.1,-252.7,-220.9
"20","13","Consumption of fixed capital","A262RC1",124.9,136.8,148.9,160.9,178.1,206.2,237.5,259.2,288.3,325.1,371.1,426,485,534.3,560.5,594.3,636.7,682.2,728,782.4,836.1,886.8,931.1,959.7,1003.6,1055.6,1122.8,1176,1240,1310.3,1400.9,1514.2,1604,1662.1,1727.2,1831.7,1982,2136,2264.4,2363.4,2368.4,2381.6,2452.6,2542.9,2646.6
"21","14","  Private","A024RC1",89.4,98.3,107.6,117.5,131.5,153.2,178.8,196.5,221.1,252.1,290.7,335,381.9,420.4,438.8,463.5,496.4,531.6,566.3,608.3,650.1,689,722.4,744.2,780,824.3,882.6,931,990.1,1054.9,1135.9,1236.6,1317.7,1368,1422.4,1509.3,1635.3,1765,1865,1936.9,1925.7,1923.5,1974.4,2049.3,2141.4
"22","15","    Domestic business","W276RC1",74.2,81.8,89.4,97.2,108.2,126.1,147.9,162.2,181.5,205.5,236.4,272.8,313.5,347.5,362.8,382.7,410.3,438.1,464.5,498.4,531.8,563.9,591.8,607.9,634.2,669,717.8,758.4,807.9,860.4,925,1006.5,1067.5,1101.4,1131.6,1185.9,1273.2,1368.8,1451.2,1522.3,1522.4,1523,1571.6,1639.4,1707.5
"23","16","    Households and institutions","W279RC1",15.2,16.5,18.2,20.3,23.3,27,30.9,34.3,39.6,46.6,54.4,62.2,68.5,72.9,76,80.9,86.2,93.4,101.8,109.9,118.2,125.1,130.6,136.3,145.7,155.3,164.8,172.7,182.1,194.5,210.9,230.1,250.2,266.6,290.8,323.4,362.1,396.2,413.7,414.6,403.3,400.5,402.9,409.9,434
"24","17","  Government","A264RC1",35.4,38.5,41.2,43.4,46.6,53,58.7,62.7,67.2,72.9,80.4,91,103.1,113.9,121.8,130.8,140.2,150.6,161.6,174.1,186,197.8,208.8,215.6,223.6,231.2,240.2,245,249.9,255.3,264.9,277.7,286.3,294.1,304.9,322.4,346.7,371,399.4,426.5,442.7,458.1,478.1,493.6,505.1
"25","18","    Federal","A918RC1",25.8,27.6,29,30.1,31.7,34.7,37.8,40.6,43.7,47.5,51.8,57.9,65.3,72.7,79,86.4,93.3,100.3,107.5,116.3,124.2,131.1,137.9,141.4,145.3,148.3,151.9,152.4,153,153.6,156.8,161.5,163.3,165,170.3,178.6,189.4,200.7,212.8,226.3,234.5,245.3,256.5,262.3,267.5
"26","19","    State and local","A919RC1",9.7,10.9,12.2,13.3,14.9,18.3,21,22.1,23.5,25.5,28.6,33.1,37.8,41.3,42.8,44.4,46.9,50.3,54.1,57.8,61.9,66.7,70.9,74.1,78.3,82.9,88.3,92.6,96.9,101.8,108.1,116.2,123,129,134.5,143.8,157.3,170.3,186.6,200.2,208.2,212.7,221.7,231.4,237.6
"27","20","    Gross domestic investment, capital account transactions, and net lending, NIPAs","A928RC1",234.7,233.6,255.6,284.8,341.4,356.7,361.5,420,478.9,571.3,658.6,674.6,781.9,734.7,773.6,923.2,935.2,944.5,992.7,1079.6,1177.8,1208.9,1246.3,1263.5,1320.2,1435.9,1520.1,1637.9,1795.8,1872.2,1960.7,2014.9,1952.5,1918.6,1979.7,2143.5,2303.6,2437.3,2526.9,2380.9,2144,2298.1,2407.7,2655.2,2884.4
"28","21","Gross domestic investment","W170RC1",233.1,229.8,255.3,288.8,332.6,350.7,341.7,412.9,489.8,583.9,659.8,666.1,778.6,738,808.7,1013.3,1049.5,1087.2,1146.8,1195.4,1270.1,1283.8,1238.4,1309.1,1398.7,1550.7,1625.2,1752,1925.1,2076.7,2252.7,2424,2342.3,2368.6,2493.2,2765.1,3040.8,3233,3236,3059.4,2525.1,2752.6,2864.7,3094.2,3276.3
"29","22","  Gross private domestic investment","A006RC1",173.6,170.1,196.8,228.1,266.9,274.5,257.3,323.2,396.6,478.4,539.7,530.1,631.2,581,637.5,820.1,829.6,849.1,892.2,937,999.7,993.5,944.3,1013,1106.8,1256.5,1317.5,1432.1,1595.6,1735.3,1884.2,2033.8,1928.6,1925,2027.9,2276.7,2527.1,2680.6,2643.7,2424.8,1878.1,2100.8,2232.1,2475.2,2670
"30","23","    Domestic business","W987RC1",135.1,132.6,148.2,168,200.3,212.8,193.1,240.3,287.9,351.8,409.3,413.2,513.9,470.8,484.8,641.7,644.4,634.1,656.6,687.9,748.6,753.6,713.7,747.7,815.8,930.5,999.2,1078,1215.1,1300,1410.2,1530.6,1393.8,1344.9,1374.1,1510.7,1662.1,1820.6,1907.6,1844.4,1410,1648.4,1775.4,1977.1,2108.1
"31","24","    Households and institutions","W988RC1",38.5,37.5,48.7,60.2,66.7,61.7,64.2,83,108.7,126.5,130.4,116.9,117.4,110.3,152.7,178.4,185.3,215.1,235.5,249,251.1,239.9,230.7,265.3,291,326,318.2,354,380.6,435.3,474,503.1,534.9,580.1,653.9,765.9,865,860.1,736.1,580.4,468.1,452.4,456.7,498.1,561.9
"32","25","  Gross government investment","A782RC1",59.5,59.8,58.5,60.7,65.6,76.2,84.4,89.6,93.2,105.6,120.1,136,147.3,156.9,171.2,193.2,219.9,238.1,254.6,258.4,270.4,290.4,294.1,296.1,291.9,294.2,307.7,320,329.5,341.4,368.5,390.3,413.6,443.6,465.3,488.5,513.6,552.3,592.2,634.6,647,651.8,632.6,619,606.3
"33","26","    Federal","A787RC1",30.7,30.5,27.8,29.3,31.7,35.7,39.8,44.7,49.2,54.7,61.7,70.3,80.4,90,102.3,115.6,132.5,141.9,152.4,148,151.2,158.2,156.8,156.4,150.7,145.4,147.7,149.8,143.7,147.7,154.9,157.4,163.8,180.3,196.4,211,222.9,238,251.4,275.8,284,300,295.4,284,274.8
"34","27","    State and local","A799RC1",28.8,29.3,30.7,31.3,34,40.5,44.6,44.9,44,50.8,58.4,65.7,66.9,67,68.8,77.6,87.3,96.2,102.2,110.4,119.2,132.2,137.3,139.7,141.2,148.8,160,170.2,185.8,193.7,213.6,232.9,249.8,263.3,268.9,277.5,290.8,314.3,340.8,358.8,363,351.9,337.2,334.9,331.5
"35","28","Capital account transactions (net) \1\","W167RC1",0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,7.4,5.3,-1.3,0.9,1.3,0.4,0.2,0.5,0.2,4.5,0.3,-12.9,0.5,2.1,-2.8,-12.9,2.1,-0.1,-5.4,0.6,0.7,1.7,-6.6,-0.3
"36","29","  Private","W999RC1",3.5,3.8,4.5,5.7,7.9,9.9,4.7,7.7,9,5.9,8.1,10.4,12.3,11.4,11,9.7,7.1,9.4,6.8,6.9,8.3,10.8,9.6,8.3,11.6,14,21.2,21.9,30,30.8,29.3,27.6,15.5,18.1,2.5,-4.7,-30.8,20,-4,-53.2,-121.4,-58.5,-47.4,-26,3.4
"37","30","    Domestic business","W989RC1",-0.4,-0.1,-0.1,0.1,2.6,5,-0.3,1.8,0.9,0,2.1,3.3,4.8,3.1,4.7,3.6,0.7,2.2,-0.5,-0.8,1.3,-0.7,-0.6,6.8,-0.6,3.1,7.1,3.4,7.9,4.3,-0.4,-1.2,-7,-2.7,-2.2,2.7,0.1,13.6,0.3,-49.9,-83.4,-29.4,-41.3,-12.4,-7
"38","31","    Households and institutions","W990RC1",3.9,3.9,4.5,5.5,5.3,4.9,5,5.9,8.1,5.8,6,7.1,7.5,8.2,6.3,6.2,6.4,7.1,7.3,7.7,7,11.5,10.2,1.4,12.3,10.9,14.1,18.5,22.1,26.5,29.7,28.8,22.5,20.7,4.7,-7.4,-31,6.5,-4.4,-3.3,-38.1,-29.1,-6.2,-13.6,10.4
"39","32","  Government","W991RC1",-3.5,-3.8,-4.5,-5.6,-7.9,-9.8,-4.6,-7.6,-8.9,-5.8,-8,-10.3,-12.2,-11.3,-10.9,-9.7,-6.9,-9.3,-6.7,-6.8,-7.9,-3.4,-4.3,-9.5,-10.8,-12.7,-20.8,-21.7,-29.5,-30.6,-24.8,-27.3,-28.5,-17.6,-0.3,1.9,18,-18,3.9,47.8,122,59.2,49.1,19.5,-3.7
"40","33","    Federal","W992RC1",2.4,1.3,0.9,0,-2.3,-2.5,4.4,2.6,2.6,6.1,6.2,6.2,3.3,3.5,4.9,7.9,12,10.1,11.5,12,10.6,15.8,15.7,11.5,11.6,11,5,6.1,-0.2,-2.3,6.6,8.3,13.1,24.1,40.2,38.5,58.3,28.8,49.6,97.2,177.4,125.3,112.9,83.3,57.7
"41","34","    State and local","W993RC1",-5.9,-5.1,-5.4,-5.6,-5.6,-7.3,-9,-10.3,-11.5,-11.9,-14.2,-16.4,-15.5,-14.7,-15.7,-17.5,-18.9,-19.3,-18.2,-18.8,-18.5,-19.3,-20,-21,-22.3,-23.7,-25.8,-27.8,-29.4,-28.3,-31.4,-35.6,-41.6,-41.7,-40.5,-36.6,-40.4,-46.8,-45.7,-49.4,-55.4,-66.2,-63.8,-63.9,-61.4
"42","35","Net lending or net borrowing (-), NIPAs","W162RC1",1.6,3.7,0.3,-4.1,8.8,5.9,19.8,7,-11,-12.7,-1.3,8.4,3.2,-3.4,-35.2,-90.2,-114.5,-142.8,-154.2,-115.9,-92.7,-82.3,2.6,-44.3,-79.4,-116,-105.5,-114.4,-129.8,-204.8,-296.4,-409.5,-376.8,-450.4,-515.7,-618.9,-724.3,-797.8,-709,-673.1,-381.7,-455.2,-458.6,-432.4,-391.7
"43","36","  Private","W994RC1",23.3,53,63.4,48,48,57.6,143.3,103.4,69.5,60.5,66.7,123.9,116.9,198.1,207.1,133.9,133.6,127.7,83.1,102,133,214.2,354.9,396.9,327.1,214.9,213.6,129.9,9.8,-167.4,-293.5,-490,-226.7,73.4,169.3,57.2,-167.3,-366.9,-172.8,382.9,1466.3,1364.6,1206.3,1074.7,678.8
"44","37","    Domestic business","W995RC1",-24.7,-18.1,-11.7,-15.8,-35.1,-44.6,22.6,10.6,-1.5,-20.3,-28.8,-27.5,-79.1,-34,43.1,-74.4,-26,-12.9,-27.9,-45.9,-43.7,4.9,99.3,101.3,117,65.1,28.2,-15.5,-121.8,-305.5,-293.7,-486,-250.6,3.7,126.3,79.2,62,-233.5,-172,-5.8,822.4,753.2,585.7,462,255.4
"45","38","    Households and institutions","W996RC1",47.9,71.1,75.1,63.8,83.1,102.2,120.8,92.8,71,80.8,95.5,151.4,196.1,232.1,164,208.4,159.6,140.6,111,147.9,176.7,209.2,255.6,295.6,210.1,149.8,185.4,145.4,131.6,138,0.3,-3.9,24,69.6,43.1,-22,-229.3,-133.4,-0.8,388.8,643.9,611.4,620.6,612.7,423.4
"46","39","  Government","AD01RC1",-21.7,-49.3,-63.1,-52.1,-39.2,-51.6,-123.6,-96.4,-80.5,-73.2,-68,-115.5,-113.7,-201.5,-242.3,-224.1,-248.1,-270.5,-237.4,-217.9,-225.7,-296.5,-352.3,-441.2,-406.5,-330.9,-319.1,-244.3,-139.6,-37.4,-2.9,80.5,-150.2,-523.8,-685,-676.1,-557,-430.9,-536.2,-1056.1,-1848,-1819.8,-1664.9,-1507.1,-1070.5
"47","40","    Federal","AD02RC1",-12.5,-38.9,-50.5,-48.1,-35.3,-39.1,-103.4,-86.6,-80,-73.2,-60.7,-104.8,-104.3,-185.4,-233.2,-229.4,-246.8,-264.3,-219.5,-201,-194.3,-243.8,-280.8,-359.1,-328.8,-261.7,-241.6,-182,-81.7,10.9,61.9,151.7,0.3,-310.3,-469.8,-470.7,-397.3,-294.2,-354.9,-781.8,-1476.7,-1509.5,-1400.1,-1214.8,-817.1
"48","41","    State and local","AD03RC1",-9.2,-10.3,-12.5,-4,-3.9,-12.6,-20.1,-9.7,-0.5,0,-7.3,-10.8,-9.4,-16.1,-9,5.3,-1.3,-6.1,-17.9,-16.9,-31.4,-52.7,-71.6,-82,-77.8,-69.1,-77.5,-62.2,-57.9,-48.3,-64.8,-71.2,-150.5,-213.5,-215.2,-205.4,-159.7,-136.6,-181.2,-274.3,-371.4,-310.3,-264.8,-292.4,-253.4
"49","42","    Statistical discrepancy","A030RC1",1.6,5.3,9.5,7.1,6.1,7.4,13.2,20.5,19.3,23.2,44.8,43.9,36.7,6.8,54.2,38.7,51.2,76.7,40.5,-0.5,64.2,91.3,88.4,110.9,152.3,136.8,90.5,56.5,12.3,-60.2,-32.4,-94.5,-111.6,-70.1,-12.1,-6.5,-33.8,-215.3,20.2,99,72.2,43.1,-53.7,-17,-132.2
"50",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","43","  Gross private saving","A126RC1",198.7,221.5,255.2,274.7,316.8,334.6,392,413.9,455.9,521.6,569.7,620.5,723.8,783.7,801.4,925.1,919.1,909.4,941.6,1046.4,1076.8,1127.1,1220.5,1307.3,1293.2,1348.5,1461.7,1527.3,1623.2,1658.9,1652.5,1665.9,1829.1,2086.5,2211.8,2335.7,2362.8,2549.1,2446.8,2655.6,3150.7,3363.8,3444.6,3540.9,3484.4
"52","44","    Domestic business","W997RC1",108.4,109,126.9,145.2,161.7,165.8,202.2,232.2,268.1,308.4,337.8,345.1,402.9,433.2,478.4,532.2,567.8,546.7,587.7,641.7,642,666.5,724,745,779.9,861.8,944,1009.4,1088.8,1059.1,1148.5,1137.9,1247.7,1416,1510.2,1599.1,1758,1815.9,1715.8,1689.7,2076.8,2329.1,2373.5,2443.7,2488.6
"53","45","    Households and institutions","W998RC1",90.3,112.5,128.3,129.5,155.1,168.8,189.9,181.6,187.8,213.2,231.9,275.4,320.9,350.5,323,392.9,351.3,362.8,353.9,404.6,434.7,460.6,496.5,562.3,513.4,486.7,517.7,517.9,534.3,599.8,503.9,528,581.4,670.5,701.6,736.6,604.7,733.1,731,965.9,1073.9,1034.7,1071.1,1097.3,995.7
"54","46","  Gross government saving","A927RC1",34.4,6.7,-9,2.9,18.5,14.7,-43.8,-14.4,3.7,26.6,44.1,10.2,21.4,-55.8,-82,-40.6,-35.1,-41.6,10.6,33.7,36.8,-9.5,-62.5,-154.6,-125.4,-49.4,-32.2,54,160.4,273.5,340.7,443.5,235,-97.8,-220.1,-185.7,-25.4,103.5,59.9,-373.7,-1079,-1108.8,-983.2,-868.7,-467.9
"55","47","    Federal","A926RC1",20.7,-7.2,-21.8,-18.8,-6,-6,-59.2,-39.2,-28.2,-12.4,7.2,-28.4,-20.5,-92,-126,-105.9,-102.3,-112.3,-55.6,-41,-32.5,-69.8,-108.3,-191.2,-166.5,-105.4,-88.9,-26.1,61.9,156.3,223.3,317.4,177.3,-105.9,-233.2,-221.1,-116.1,-27.4,-53.9,-408.8,-1015.3,-1084.2,-991.8,-847.4,-484.5
"56","48","    State and local","A925RC1",13.8,13.9,12.8,21.7,24.5,20.7,15.4,24.9,31.9,38.9,36.8,38.5,42,36.2,44.1,65.3,67.2,70.7,66.2,74.8,69.3,60.2,45.8,36.6,41.1,56,56.7,80.1,98.5,117.2,117.4,126.1,57.7,8.1,13.1,35.4,90.7,130.9,113.8,35.1,-63.7,-24.6,8.6,-21.3,16.7
"57","49","  Net domestic investment","W171RC1",108.2,93.1,106.5,127.9,154.5,144.5,104.1,153.7,201.4,258.9,288.6,240,293.5,203.7,248.1,418.9,412.9,405.1,418.9,413,434,397,307.3,349.4,395.1,495.1,502.4,576,685.2,766.5,851.8,909.8,738.3,706.5,766,933.4,1058.8,1097,971.6,696.1,156.8,371,412.1,551.3,629.7
"58","50","    Private","A557RC1",84.1,71.8,89.2,110.7,135.4,121.4,78.5,126.7,175.5,226.3,248.9,195.1,249.3,160.6,198.7,356.6,333.2,317.6,325.9,328.7,349.6,304.5,222,268.9,326.9,432.2,434.9,501,605.5,680.4,748.3,797.2,610.9,557,605.6,767.4,891.8,915.6,778.8,487.9,-47.5,177.3,257.6,425.9,528.6
"59","51","      Domestic business","W790RC1",60.9,50.8,58.7,70.8,92.1,86.7,45.2,78.1,106.4,146.3,172.9,140.4,200.4,123.3,122.1,259.1,234.1,195.9,192.2,189.5,216.8,189.7,121.9,139.8,181.6,261.5,281.5,319.7,407.1,439.6,485.3,524.1,326.3,243.5,242.5,324.8,388.9,451.7,456.4,322.1,-112.4,125.4,203.8,337.7,400.6
"60","52","      Households and institutions","W791RC1",23.2,21,30.4,39.9,43.4,34.7,33.3,48.6,69.1,79.9,76,54.7,48.9,37.4,76.7,97.5,99.1,121.6,133.7,139.1,132.8,114.7,100.1,129,145.3,170.7,153.4,181.3,198.4,240.8,263,273,284.7,313.5,363.1,442.6,502.9,463.9,322.4,165.9,64.9,51.9,53.8,88.2,128
"61","53","    Government","A889RC1",24.1,21.3,17.3,17.3,19,23.2,25.7,26.9,25.9,32.6,39.7,44.9,44.2,43,49.4,62.4,79.6,87.5,93,84.3,84.4,92.5,85.3,80.6,68.3,62.9,67.5,75,79.6,86.1,103.5,112.6,127.4,149.5,160.4,166.1,167,181.3,192.8,208.1,204.3,193.8,154.5,125.3,101.2
"62","54","      Federal","A890RC1",4.9,2.9,-1.2,-0.7,-0.1,1,2.1,4.1,5.5,7.3,10,12.4,15.2,17.3,23.4,29.2,39.2,41.6,44.9,31.7,27.1,27.1,18.9,15,5.4,-3,-4.2,-2.6,-9.3,-5.9,-1.9,-4.1,0.5,15.2,26,32.4,33.5,37.3,38.6,49.4,49.4,54.6,38.9,21.8,7.3
"63","55","      State and local","A893RC1",19.2,18.4,18.5,18,19.1,22.2,23.6,22.8,20.5,25.3,29.7,32.6,29.1,25.7,26,33.2,40.5,45.9,48.1,52.6,57.3,65.5,66.4,65.6,62.9,65.9,71.7,77.6,89,92,105.5,116.7,126.8,134.3,134.4,133.7,133.5,144,154.2,158.7,154.9,139.1,115.5,103.6,93.9
"64","56","  Gross saving as a percentage of gross national income","W206RC1",22.8,21.2,21.1,21.6,23.4,22.4,20.6,21.3,22,23.3,23.4,22.1,23.2,21.6,19.9,21.9,20.5,19.2,19.6,20.5,19.8,18.9,18.9,17.8,17.3,18.1,18.8,19.6,20.7,21.1,20.5,20.2,19.1,17.9,17.2,17.4,17.7,18.8,17.2,15.4,14.3,14.9,15.5,16.2,17.5
"65","57","  Net saving as a percentage of gross national income","W207RC1",10.6,8.5,8.3,9.1,11,9.2,6.6,7.5,8.2,9.5,9.3,7.2,8.1,5.7,4.4,7.2,5.7,4.1,4.6,5.6,4.9,3.9,3.7,3,2.4,3.4,4,5,6.3,6.8,6.1,5.7,4.3,2.9,2.3,2.6,2.7,3.7,1.7,-0.6,-2,-0.8,0.1,0.8,2.2
"66","58","  Disaster losses \2\","W771RC1",NA,NA,0.1,1.6,0.6,0.2,0,0.2,0.3,0,1.1,0.5,0,0.9,1.1,0,1.7,0,0,0,9,0,1.5,17.9,4.1,20.4,2.4,0,0,0,3.5,0,19.2,0,0,29.4,110.4,0,0,19.1,0,0,0,45.9,0
"67","59","    Private","W772RC1",NA,NA,0.1,1.6,0.6,0.2,0,0.2,0.3,0,1.1,0.5,0,0.9,1.1,0,1.7,0,0,0,7.9,0,1.5,17.9,4.1,18.4,2.4,0,0,0,3.5,0,17.5,0,0,29.4,99.2,0,0,19.1,0,0,0,38.3,0
"68","60","      Domestic business","W773RC1",NA,NA,0.1,1,0.5,0.1,0,0.1,0.3,0,0.8,0.4,0,0.6,0.6,0,0.5,0,0,0,4.7,0,0.3,8.2,2.5,13.6,1.2,0,0,0,2.2,0,15.5,0,0,17.4,48.8,0,0,10.8,0,0,0,17.5,0
"69","61","      Households and institutions","W774RC1",NA,NA,0.1,0.6,0.2,0.1,0,0.1,0.1,0,0.3,0.1,0,0.3,0.5,0,1.2,0,0,0,3.3,0,1.2,9.8,1.6,4.8,1.2,0,0,0,1.3,0,2,0,0,12,50.4,0,0,8.3,0,0,0,20.9,0
"70","62","    Government","W775RC1",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1.7,0,0,0,11.2,0,0,0,0,0,0,7.6,0
