"","Table 6#21D# Undistributed Corporate Profits by Industry        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"70","63","    Computer systems design and related services","N3463C0",2225,-373,-15922,-11542,-4995,-818,-183,-1071,-1354,-840,1439,4941,5333,NA,NA
"71","64","    Miscellaneous professional, scientific, and technical services \4\","N3464C0",1322,4311,-3036,-3497,863,1828,5076,8583,6474,5759,4387,9967,18262,NA,NA
"72","65","  Management of companies and enterprises \5\","N3465C0",11725,17869,32136,44487,50477,49975,35138,65070,49451,29752,68682,108178,150257,116672,110287
"73","66","  Administrative and waste management services","N3468C0",-1739,2954,2038,3455,2699,5155,5320,10106,6346,9186,6067,9918,13359,13647,16493
"74","67","    Administrative and support services","N3469C0",339,2894,1634,2639,1461,3003,4231,7472,7842,6110,4371,6179,9671,NA,NA
"75","68","    Waste management and remediation services","N3470C0",-2078,60,404,816,1238,2152,1089,2634,-1496,3076,1696,3740,3688,NA,NA
"76","69","  Educational services","N3471C0",1387,1257,1137,798,1483,1562,2532,3284,3282,3117,2756,6330,6830,5854,5167
"77","70","  Health care and social assistance","N3472C0",5057,9826,13011,16937,23686,25113,25408,32872,33392,26735,32126,41304,46407,48019,49196
"78","71","    Ambulatory health care services","N3473C0",5573,8336,9518,13426,16737,16667,17321,21788,22017,19486,20899,26708,28911,NA,NA
"79","72","    Hospitals and nursing and residential care facilities","N3477C0",-510,887,1560,1078,4506,5691,5306,7205,7264,1966,6548,8499,9811,NA,NA
"80","73","    Social assistance","N3478C0",-6,602,1933,2434,2443,2755,2781,3879,4111,5283,4678,6097,7685,NA,NA
"81","74","  Arts, entertainment, and recreation","N3479C0",4,-396,-1182,83,563,251,627,1830,2324,-587,202,1876,2922,5862,7079
"82","75","    Performing arts, spectator sports, museums, and related activities","N3480C0",-377,-314,-492,-93,-280,424,673,193,911,-1032,14,649,653,NA,NA
"83","76","    Amusements, gambling, and recreation industries","N3481C0",380,-83,-690,176,843,-173,-46,1638,1412,445,189,1227,2269,NA,NA
"84","77","  Accommodation and food services","N3482C0",1757,3513,6104,3885,5969,4103,5302,7249,6793,3281,3264,2577,6452,8259,15161
"85","78","    Accommodation","N3483C0",-652,262,1584,-415,597,-218,238,968,606,-2529,421,-4758,-2700,NA,NA
"86","79","    Food services and drinking places","N3484C0",2409,3250,4520,4301,5372,4321,5064,6281,6187,5810,2843,7335,9152,NA,NA
"87","80","  Other services, except government","N3485C0",-516,-258,1484,2437,745,1451,1884,5622,5084,3381,-2027,3990,8744,8542,9404
"88","81","Rest of the world","A3474C0",60491,80477,116939,129733,110856,134533,142714,-21784,178262,212953,226182,240929,273768,280119,262159
"89","82","  Receipts from the rest of the world \6\","B3475C0",63539,84805,116879,96080,112630,149030,192534,20350,247754,261447,265622,262806,336614,361128,368057
"90","83","  Less: Payments to the rest of the world \7\","B3476C0",3048,4328,-60,-33653,1773,14496,49820,42134,69492,48493,39440,21877,62846,81009,105898
"91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","1. NAICS crop and animal production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","2. Consists of scenic and sightseeing transportation; transportation support activities;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","and couriers and messengers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","3. Intangible assets include patents, trademarks, and franchise agreements, but not copyrights.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","4. Consists of accounting, tax preparation, bookkeeping, and payroll services; architectural,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","engineering, and related services; specialized design services; management, scientific, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","technical consulting services; scientific research and development services; advertising and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","related services; and other professional, scientific, and technical services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","5. Consists of bank and other holding companies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","6. Consists of receipts by all U.S. residents of their share of the reinvested earnings of their",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","incorporated foreign affiliates and reinvested earnings of their unincorporated foreign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","affiliates.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","7. Consists of payments to foreign residents of their share of the reinvested earnings of their",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","incorporated U.S. affiliates and reinvested earnings of their unincorporated U.S. affiliates.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","Note. Estimates in this table are based on the 2002 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
