"","Table 2#5#4# Price Indexes for Personal Consumption Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"15","8","    Clothing","DCLTRG3",64.499,66.797,69.187,70.31,72.597,78.375,82.121,84.873,88.569,90.435,91.926,95.234,98.561,100.228,102.036,102.789,105.391,105.291,108.458,111.857,113.353,117.379,119.703,120.379,119.796,117.924,115.234,113.957,114.206,112.185,111.228,110.227,108.19,105.456,102.964,102.792,101.372,100.958,100.26,99.272,100,99.181,101.135,104.946
"16","9","      Garments","DGARRG3",71.129,73.553,76.21,77.427,79.862,86.047,89.96,92.727,96.64,98.199,99.073,101.914,104.904,106.282,108.003,108.526,111.177,110.77,114.109,117.534,118.82,122.921,125.217,125.771,124.91,122.607,119.366,117.784,117.988,115.703,114.496,113.19,110.606,107.357,104.476,104.076,102.366,101.723,100.82,99.456,100,98.928,100.859,104.768
"17","10","        Women's and girls' clothing","DWGCRG3",81.479,83.962,87.448,88.964,91.477,97.715,101.472,104.142,107.9,109.538,109.913,111.726,113.247,113.312,114.487,114.426,117.144,115.709,120.017,123.361,123.584,128.533,130.31,130.744,129.781,127.034,122.347,119.347,119.205,116.101,114.036,112.43,110.323,107.14,104.611,104.51,102.494,102.421,102.036,99.435,100,99.073,101.009,104.548
"18","11","        Men's and boys' clothing","DMBCRG3",61.973,64.504,66.337,67.2,69.642,75.096,78.366,81.145,84.905,86.203,87.598,91.241,95.538,98.421,100.465,101.701,104.004,104.452,106.798,110.3,113.073,115.658,118.754,119.497,119.066,117.277,115.794,115.858,116.802,115.76,115.36,114.176,110.644,107.167,103.851,103.386,102.186,100.47,98.922,99.514,100,98.501,100.939,105.214
"19","12","        Children's and infants' clothing","DCICRG3",35.912,36.595,37.387,38.456,39.736,50.172,60.277,63.53,69.668,72.355,73.797,79.836,86.798,89.953,94.431,95.834,100.079,104.428,104.426,108.213,110.382,116.222,118.304,118.768,115.787,114.481,113.664,115.127,113.245,110.331,112.711,113.995,112.837,110.469,106.68,103.578,101.946,101.76,99.517,99.366,100,99.741,99.176,104.55
"20","13","      Other clothing materials","DOCMRG3",60.369,62.705,64.762,66.284,68.536,72.773,74.54,76.776,79.232,79.019,81.745,87.733,93.268,96.384,97.877,98.487,99.754,101.692,101.514,107.273,108.743,114.296,115.322,116.483,115.814,115.015,119.856,120.467,113.625,108.057,105.252,105.161,105.054,104.556,102.502,103.012,101.273,100.484,97.144,97.455,100,102.589,105.503,108.566
"21","14","      Cleaning, repair, and rental of clothing","DCRCRG3",15.141,15.869,16.401,16.67,17.408,19.379,21.083,22.617,24.148,26.714,30.138,34.261,38.195,41.049,43.167,45.416,47.511,49.334,51.454,53.644,56.418,58.962,61.396,62.835,64.558,66.262,67.194,68.312,70.015,71.049,72.72,74.438,77.38,79.577,81.396,83.811,86.286,89.203,92.206,96.75,100,102.59,104.703,106.909
"22","15","        Laundry and dry cleaning services","DDRYRG3",15.752,16.409,16.949,17.119,17.687,19.775,21.877,23.334,24.803,27.41,30.889,35.128,39.139,42.077,44.263,46.555,48.706,50.58,52.752,54.989,57.841,60.445,62.971,64.44,66.194,67.942,68.894,70.043,71.787,72.967,74.753,76.254,79.01,81.429,83.277,85.594,87.565,90.218,93.075,97.155,100,102.255,103.767,105.618
"23","16","        Clothing repair, rental, and alterations","DLGRRG3",13.848,14.65,15.155,15.546,16.451,18.229,19.49,21.029,22.55,24.973,28.207,32.052,35.756,38.415,40.384,42.501,44.458,46.159,48.144,50.201,52.789,55.172,57.424,58.778,60.41,62.002,62.878,63.921,65.517,66.281,67.716,69.814,73.087,74.784,76.524,79.155,82.838,86.422,89.81,95.611,100,103.566,107.442,110.705
"24","17","    Footwear \2\","DFTWRG3",48.987,51.5,53.21,54.666,56.922,60.455,63.31,65.869,69.007,71.691,77.005,82.61,86.595,88.389,88.565,89.248,89.952,89.17,91.507,95.206,98.501,100.581,102.836,105.221,105.552,104.614,103.197,102.449,102.326,101.358,98.792,97.322,96.727,95.511,94.103,93.9,96.578,97.296,96.429,97.866,100,100.917,101.343,103.966
"25","18","  Housing, utilities, and fuels","DHUFRG3",15.484,16.155,16.989,17.613,18.471,19.851,21.417,22.968,25.049,26.802,29.302,32.747,36.517,39.719,42.087,44.192,46.404,48.287,50.014,51.956,54.067,56.561,58.355,59.918,61.616,63.166,64.841,66.85,68.648,70.146,71.81,74.548,77.945,80.079,82.758,85.214,88.539,92.376,95.659,99.436,100,100.452,102.218,104.152
"26","19","    Housing","DHSGRG3",17.039,17.767,18.592,19.262,20.082,20.834,22.183,23.634,25.625,27.383,29.497,32.207,35.487,38.407,40.716,42.837,45.395,48.082,50.268,52.524,54.705,57.277,59.086,60.704,62.358,64.111,66.093,68.094,70.005,72.22,74.223,76.524,79.543,82.73,84.828,86.965,89.214,92.341,95.654,98.253,100,100.058,101.404,103.706
"27","20","      Rental of tenant-occupied nonfarm housing \3\","DTENRG3",16.512,17.205,17.99,18.618,19.436,20.154,21.503,22.94,24.888,26.592,28.66,31.323,34.567,37.443,39.767,42.022,44.791,47.586,49.726,51.753,53.816,56.157,58.232,59.806,61.271,62.741,64.235,65.895,67.755,69.816,71.859,74.39,77.608,80.564,82.807,84.902,87.457,90.577,94.416,97.821,100,100.135,101.79,104.534
"28","21","      Imputed rental of owner-occupied nonfarm housing \4\","DOWNRG3",17.076,17.787,18.607,19.26,20.092,20.85,22.236,23.716,25.738,27.509,29.65,32.404,35.746,38.784,41.134,43.245,45.788,48.509,50.751,53.074,55.283,57.935,59.62,61.226,62.864,64.633,66.774,68.892,70.899,73.196,75.191,77.428,80.397,83.667,85.711,87.664,89.693,92.818,95.957,98.372,100,99.987,101.146,103.196
"29","22","      Rental value of farm dwellings","DFARRG3",19.303,20.663,21.92,23.323,23.754,24.568,24.662,25.263,26.538,28.229,29.711,31.082,32.215,31.208,31.497,31.803,31.4,30.67,30.962,33.769,36.353,38.849,41.49,44.204,49.654,55.277,57.561,59.439,56.978,57.469,59.05,60.805,63.118,65.55,68.148,80.5,90.188,93.627,98.666,98.722,100,102.844,109.406,118.104
"30","23","      Group housing","DGRHRG3",16.53,17.168,17.914,18.512,19.27,20.246,21.594,22.962,24.813,26.611,28.674,31.331,34.21,36.968,39.27,41.501,44.21,46.988,49.132,51.134,53.192,55.474,57.53,59.073,60.534,61.976,63.513,65.19,67.088,69.217,71.327,73.917,77.183,80.237,82.608,84.805,87.354,90.491,94.333,97.776,100,100.231,101.962,104.661
"31","24","    Household utilities and fuels","DUTFRG3",10.984,11.485,12.323,12.809,13.745,16.833,19.016,20.834,23.147,24.868,28.485,34.197,39.561,43.691,46.234,48.25,49.189,48.121,48.137,48.905,50.722,52.878,54.586,55.91,57.751,58.492,58.942,60.952,62.274,60.821,61.064,65.618,70.635,68.137,73.327,77.18,85.416,92.648,95.789,105.423,100,102.451,106.38,106.328
"32","25","      Water supply and sanitation","DWRSRG3",8.91,9.616,10.638,11.032,11.626,12.332,13.53,15.044,16.673,18.61,19.485,20.827,23.343,26.149,28.357,30.268,32.132,33.996,36.009,38.143,40.594,43.46,46.81,50.147,52.916,55.52,57.311,59.36,60.825,62.794,64.185,65.76,67.658,69.844,72.408,76.714,80.738,84.716,89.001,94.238,100,106.27,111.76,117.963
"33","26","      Electricity, gas, and other fuels","DEGFRG3",11.754,12.231,13.056,13.577,14.614,18.32,20.788,22.727,25.258,26.994,31.308,38.175,44.347,48.884,51.557,53.63,54.323,52.403,51.817,52.177,53.805,55.743,56.948,57.676,59.246,59.433,59.471,61.469,62.746,60.183,60.051,65.583,71.637,67.576,73.626,77.333,86.889,95.158,97.929,108.973,100,101.285,104.738,102.72
"34","27","        Electricity","DELCRG3",16.006,16.524,17.617,18.478,19.624,23.184,26.167,27.889,29.74,31.6,34.009,39.395,45.292,49.781,51.411,54.696,56.656,57.395,57.224,58.007,59.633,61.02,63.295,64.524,65.789,65.814,67.299,68.415,68.78,66.12,65.603,66.664,71.39,70.697,72.368,73.711,78.291,87.767,91.208,97.039,100,100.167,102.044,102.01
"35","28","        Natural gas","DGHERG3",9.634,10.176,10.916,11.458,12.005,13.484,16.152,18.919,22.462,24.496,28.415,33.973,38.72,46.233,54.161,54.516,54.166,51.545,49.211,48.905,50.245,50.29,50.921,51.86,55.038,56.067,53.114,55.274,59.115,58.011,58.428,68.953,82.137,70.028,85.944,93.168,111.013,113.829,112.725,127.841,100,98.039,95.363,85.977
"36","29","        Fuel oil and other fuels","DFULRG3",6.729,6.989,7.433,7.48,8.572,13.623,14.782,15.855,17.941,18.97,26.153,36.725,44.93,44.061,40.622,41.527,39.907,31.247,32.059,32.045,33.952,40.888,38.928,37.344,37.086,36.412,36.072,40.884,40.951,36.289,36.911,54.117,53.06,47.303,57.197,66.592,88.601,100.725,107.664,146.024,100,116.956,148.719,150.635
"37","30","  Furnishings, household equipment, and routine household maintenance","DFHHRG3",38.201,39.498,40.627,41.417,42.61,47.032,52.722,55.756,58.596,61.834,66.064,71.665,77.23,81.608,83.904,85.37,87.002,88.242,89.944,91.656,93.014,94.518,96.014,97.191,97.838,99.002,99.841,100.71,100.977,101.455,101.352,102.143,102.182,101.255,99.027,98.396,99.101,99.454,99.064,99.593,100,97.197,96.434,96.662
"38","31","    Furniture, furnishings, and floor coverings \5\","DFURRG3",49.87,51.018,51.968,52.672,54.301,58.588,63.182,65.352,67.549,70.917,75.318,82.093,88.072,92.117,94.303,96.169,98.567,100.32,102.064,104.223,104.921,106.464,107.225,109.353,110.67,112.661,113.495,114.539,114.6,114.949,114.211,113.403,111.895,109.782,107.148,106.006,105.151,104.37,102.382,100.636,100,95.486,93.731,93.099
"39","32","    Household textiles","DTEXRG3",63.705,64.904,66.137,67.504,68.911,78.837,84.78,88.263,93.885,98.554,105.468,114.393,122.463,132.551,139.134,144.196,146.977,148.947,153.155,157.628,158.317,159.578,159.653,160.841,160.767,160.759,158.531,155.171,151.646,147.733,146.331,144.115,139.052,135.34,127.35,122.665,119.742,114.143,108.423,104.346,100,94.746,92.172,88.855
"40","33","    Household appliances \6\","DHAPRG3",53.258,54.732,56.035,56.4,56.558,59.579,66.194,69.913,72.487,76.179,80.376,84.506,89.527,95.105,97.992,98.46,96.631,96.329,97.151,97.485,97.522,97.075,96.237,95.868,96.36,97.592,97.031,97.233,97.063,96.208,94.787,94.296,94.283,93.761,91.5,89.115,91.854,94.353,97.537,98.971,100,96.358,95.55,99.977
"41","34","    Glassware, tableware, and household utensils \7\","DUTERG3",40.877,42.164,43.409,45.332,47.914,54.126,63.349,67.371,70.199,75.267,81.467,89.94,98.944,103.086,105.02,105.235,105.672,108.525,111.182,112.025,113.715,115.955,118.633,120.995,120.336,121.934,119.535,118.139,117.377,119.956,117.456,116.057,112.873,108.776,104.449,104.297,103.702,100.071,98.54,99.847,100,97.394,95.528,91.666
"42","35","    Tools and equipment for house and garden","DTOORG3",60.353,60.008,59.463,59.392,59.522,63.236,69.103,71.558,73.061,74.644,78.753,84.154,90.005,96.703,99.006,99.09,102.287,100.538,100.794,100.873,97.318,98.16,99.238,99.113,99.127,100.885,100.91,102.591,104.063,101.489,99.375,99.342,98.8,97.6,95.417,96.444,99.218,100.292,100.511,99.612,100,97.265,98.449,99.659
"43","36","    Other household goods and services \8\","DOGSRG3",18.299,19.4,20.361,20.962,21.813,25.119,29.734,32.469,35.152,37.453,40.439,44.182,48.039,50.904,52.378,53.552,55.277,56.354,57.703,59.204,61.694,63.506,65.962,66.781,67.384,67.935,70.157,71.977,73.126,74.686,76.324,79.74,82.816,84.212,84.238,85.274,87.719,91.213,93.074,97.117,100,100.099,101.241,103.654
"44","37","  Health","DHLTRG3",10.492,11.197,11.716,12.147,12.645,13.736,15.216,16.608,17.949,19.429,21.246,23.73,26.574,29.517,32.176,34.553,36.663,38.834,41.292,44.386,48.133,52.136,56.105,59.928,62.949,65.362,67.539,69.115,70.458,71.834,73.579,75.733,78.396,80.574,83.443,86.371,89.05,91.864,94.869,97.321,100,102.61,104.725,106.829
"45","38","    Medical products, appliances, and equipment","DMPARG3",17.349,17.782,18.116,18.215,18.321,18.986,20.474,21.686,23.041,24.624,26.238,28.546,31.488,34.547,37.305,39.791,42.343,44.784,47.299,49.886,52.937,56.583,60.467,63.7,65.573,67.055,67.86,69.347,70.438,72.086,74.752,77.351,80.665,83.698,85.773,88.062,90.481,93.846,95.212,97.185,100,103.013,106.148,109.197
"46","39","      Pharmaceutical and other medical products \9\","DPHMRG3",15.962,16.288,16.496,16.509,16.527,17.04,18.358,19.436,20.661,22.142,23.65,25.739,28.564,31.57,34.353,36.912,39.534,42.026,44.481,47.082,50.263,54.107,58.272,61.599,63.428,64.916,65.4,66.933,68.012,69.713,72.723,75.459,79.028,82.493,84.84,87.256,89.824,93.392,94.732,96.89,100,103.628,107.207,110.613
"47","40","        Pharmaceutical products","DPNPRG3",15.82,16.142,16.347,16.358,16.375,16.882,18.184,19.251,20.464,21.936,23.435,25.511,28.322,31.309,34.088,36.648,39.274,41.763,44.222,46.833,50.011,53.867,58.052,61.39,63.208,64.697,65.152,66.687,67.766,69.472,72.502,75.257,78.859,82.36,84.726,87.158,89.749,93.342,94.687,96.868,100,103.699,107.32,110.756
"48","41","        Other medical products","DOMPRG3",27.378,28.017,28.478,28.545,28.64,29.659,32.122,34.063,36.279,38.555,40.87,44.126,48.185,52.741,56.028,58.619,61.176,64.154,66.559,68.728,72.435,75.937,79.295,82.257,85.011,86.614,89.43,90.832,91.885,93.073,93.927,94.669,94.709,94.347,94.692,95.535,95.999,97.391,98.368,98.662,100,97.895,98.163,99.398
"49","42","      Therapeutic appliances and equipment","DTAERG3",24.673,25.713,26.813,27.464,28.125,29.699,32.131,34.092,36.156,38.26,40.417,43.909,47.354,50.549,53.024,55.046,57.248,59.503,62.4,65.063,67.731,70.752,73.607,76.543,78.711,80.224,82.648,83.951,85.14,86.557,87.385,89.228,90.967,91.175,91.464,92.932,94.424,96.563,98.077,98.956,100,99.369,99.978,101.039
"50","43","    Outpatient services","DOUTRG3",12.317,13.177,14.052,14.524,14.996,16.324,18.259,20.139,21.922,23.641,25.677,28.495,31.447,34.132,36.612,39.039,41.442,44.151,46.913,50.077,53.408,56.92,60.25,63.64,66.649,69.726,72.114,73.25,75.192,77.054,78.825,80.725,83.253,84.402,86.172,88.364,90.576,92.222,95.643,97.768,100,102.197,103.642,104.893
"51","44","      Physician services \10\","DPHYRG3",12.086,12.969,13.841,14.283,14.732,16.104,18.063,20.116,21.973,23.774,25.98,28.728,31.869,34.862,37.592,40.204,42.54,45.632,48.992,52.5,56.35,60.404,63.962,67.981,71.765,75.361,78.325,78.874,79.934,81.647,83.459,84.908,87.323,87.215,88.577,90.364,91.99,92.814,96.622,97.64,100,102.446,104.019,105.243
"52","45","      Dental services","DDENRG3",9.644,10.182,10.839,11.278,11.647,12.513,13.819,14.725,15.813,16.911,18.331,20.514,22.471,24.211,25.833,27.93,29.695,31.343,33.47,35.716,37.903,40.377,43.354,46.227,48.609,50.89,53.342,55.803,58.389,60.873,63.719,66.623,69.324,72.416,75.38,79.095,83.486,87.832,92.355,97.1,100,102.743,105.132,107.56
"53","46","      Paramedical services","DPMSRG3",14.59,15.712,16.736,17.255,17.888,19.51,21.952,24.418,26.688,28.745,30.705,34.167,37.375,39.866,42.293,44.19,47.269,49.823,51.375,54.317,57.219,60.228,63.271,65.776,67.808,70.479,71.939,73.189,76.016,77.741,78.86,80.871,83.446,85.485,87.27,89.352,91.463,93.197,95.498,98.251,100,101.591,102.472,103.32
"54","47","        Home health care","DHHCRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.021,57.126,60.235,63.446,66.515,69.2,71.381,74.243,75.562,76.918,80.781,82.968,83.671,86.797,89.074,91.089,91.416,93.572,94.55,95.166,96.887,98.486,100,101.129,101.125,101.944
"55","48","        Medical laboratories","DMLBRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.954,60.236,63.469,66.811,70.109,72.914,75.205,78.235,82.579,83.658,84.302,84.544,84.111,85.885,89.037,90.519,91.851,92.636,96.063,96.281,98.866,99.07,100,99.96,100.301,100.351
"56","49","        Other professional medical services \11\","DOMDRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.247,52.061,54.818,57.681,60.665,63.039,64.959,67.482,68.653,69.866,72.378,74.068,75.652,77.175,79.773,81.923,84.407,86.71,89.05,91.601,94.11,97.952,100,102.191,103.651,104.686
"57","50","    Hospital and nursing home services","DHPNRG3",7.981,8.624,8.962,9.406,9.961,10.958,12.14,13.25,14.304,15.574,17.218,19.441,22.072,24.979,27.59,29.823,31.611,33.349,35.542,38.623,42.719,47.078,51.472,55.711,58.983,61.103,63.449,65.379,66.321,67.229,68.642,70.826,73.347,76.033,80.117,83.929,87.114,90.713,94.057,96.996,100,102.786,105.032,107.449
"58","51","      Hospitals \12\","DHSPRG3",7.513,8.116,8.425,8.849,9.38,10.296,11.431,12.524,13.56,14.761,16.347,18.55,21.19,24.194,26.92,29.251,31.119,32.973,35.274,38.559,42.985,47.67,52.503,57.284,60.906,63.116,65.35,66.927,67.482,67.979,69.155,70.988,73.092,75.749,80.158,84.069,87.267,91.082,94.252,97.05,100,102.949,105.154,107.756
"59","52","      Nursing homes","DNRSRG3",11.301,12.233,12.772,13.363,14.094,15.653,17.179,18.401,19.577,21.34,23.39,25.741,28.287,30.443,32.21,33.82,35.143,36.22,37.814,39.784,42.18,44.991,47.38,49.171,50.905,52.641,55.474,58.859,61.385,63.994,66.411,70.13,74.539,77.364,79.894,83.24,86.357,88.915,93.102,96.728,100,101.969,104.42,105.88
"60","53","  Transportation","DTRNRG3",22.841,23.656,24.661,25.006,25.924,29.67,32.386,34.507,36.61,38.857,44.73,53.575,59.015,59.662,60.269,61.324,62.429,59.784,62.367,63.778,66.803,69.769,70.97,72.093,73.951,75.898,78.09,80.154,80.872,78.779,80.527,85.514,85.339,84.238,86.236,89.502,95.732,100.315,103.301,109.532,100,108.248,119.133,121.966
"61","54","    Motor vehicles","DMTRRG3",33.843,34.752,36.516,36.578,36.965,39.193,43.145,46.498,49.133,52.757,56.496,60.178,65.27,68.762,71.922,74.985,77.031,79.519,83.599,84.915,87.53,87.808,90.563,92.462,96.959,102.28,106.93,109.452,110.025,108.789,109.237,109.642,109.792,108.92,105.371,104.352,105.838,105.281,104.045,100.334,100,106.492,109.248,110.793
"62","55","      New motor vehicles","DNMVRG3",38.189,39.277,40.913,40.614,40.627,42.892,46.751,49.66,52.278,56.223,60.567,65.308,69.184,71.889,73.733,75.878,78.422,81.819,84.236,85.584,87.519,89.399,92.886,95.284,98.053,101.64,104.169,106.202,106.909,106.369,106.306,106.177,105.599,103.874,102.384,101.702,102.212,101.557,100.481,98.964,100,102.072,104.919,106.74
"63","56","      Net purchases of used motor vehicles","DNPVRG3",19.889,20.266,22.254,23.442,25.114,27.216,31.328,36.033,38.769,41.291,42.902,43.15,51.779,57.767,65.851,72.623,72.788,71.8,82.126,83.337,88.34,83.528,84.383,85.121,93.648,103.068,112.507,116.049,116.365,113.795,115.233,116.723,118.469,119.608,110.984,109.136,113.016,112.711,111.115,102.777,100,114.468,116.992,117.835
"64","57","    Motor vehicle operation","DMVORG3",17.316,17.877,18.415,18.795,19.943,24.402,26.495,27.942,29.72,31.337,38.403,48.628,53.46,52.88,52.238,52.035,52.744,47.328,49.003,50.063,53.145,57.432,57.962,58.59,58.904,59.724,60.831,62.909,63.274,60.453,63.025,70.504,70.714,70.013,75.281,81.463,90.774,98.205,103.848,115.266,100,109.516,125.278,128.619
"65","58","      Motor vehicle parts and accessories","DMVPRG3",42.025,44.033,45.653,45.957,44.766,47.791,52.12,55.818,59.581,62.354,68.434,76.062,79.918,81.87,79.549,76.484,76.444,76.216,76.831,78.027,79.684,79.962,80.682,81.21,79.885,79.433,79.708,79.576,79.15,78.486,78.106,78.382,80.308,81.735,82.55,82.957,84.902,88.364,91.386,96.206,100,101.923,105.593,108.283
"66","59","      Motor vehicle fuels, lubricants, and fluids","DMFLRG3",13.763,13.886,13.987,14.169,15.524,20.971,22.379,23.33,24.681,25.753,34.513,47.9,53.297,50.602,48.947,48.215,48.604,38.173,39.64,39.976,43.666,49.711,49.058,48.867,48.371,48.601,49.373,52.397,52.387,45.605,49.649,63.437,61.162,57.513,66.99,78.774,95.761,108.01,117.118,136.552,100,118.246,148.588,153.85
"67","60","      Motor vehicle maintenance and repair","DVMRRG3",14.838,15.938,17.087,17.837,18.833,20.732,23.381,25.078,26.964,29.153,31.972,35.244,38.455,41.269,43.001,44.366,45.529,46.906,48.638,50.586,52.609,54.651,56.952,59.035,60.758,62.366,63.794,65.432,67.116,68.753,70.643,72.887,75.422,78.184,80.392,82.269,85.042,88.622,91.634,96.071,100,101.918,104.034,105.867
"68","61","      Other motor vehicle services","DOVSRG3",23.551,23.898,24.268,24.522,25.385,26.805,28.684,30.051,31.511,33.001,36.33,40.256,44.096,47.781,50.409,53.13,55.518,60.122,64.182,66.296,69.247,71.81,73.401,73.972,76.582,79.616,82.192,82.526,81.59,82.236,82.751,84.418,86.874,87.191,86.452,85.481,86.928,88.377,89.343,92.637,100,97.534,96.93,96.794
"69","62","    Public transportation","DPUBRG3",21.265,23.311,25.163,26.037,26.766,28.617,31.265,33.866,36.041,37.683,40.457,51.516,60.619,61.948,63.668,66.796,66.878,63.625,66.482,70.779,74.433,77.222,77.461,79.235,82.787,80.373,81.463,81.018,84.651,85.813,85.8,88.833,84.881,80.252,82.784,84.182,88.913,94.103,95.189,102.484,100,105.75,112.327,116.577
"70","63","      Ground transportation \13\","DGRDRG3",13.449,14.952,16.2,16.911,17.173,18.125,19.87,21.494,22.992,24.224,26.029,30.13,35.305,38.836,40.731,43.207,44.839,47.991,49.344,51.269,52.823,55.377,58.046,60.403,61.163,61.724,62.416,67.057,68.134,68.708,68.72,70.466,72.652,74.553,78.759,82.501,85.911,90.138,91.453,95.952,100,104.329,109.351,112.808
