"","Table 3#22# Federal Government Current Receipts and Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179"
"11","3","  Personal current taxes","A074RU1",20.7,27.1,23.5,20.3,20.6,25.8,22.9,19.6,18.4,23.4,23.5,20.6,21.6,29.4,27.3,24.5,23.8,27,30.5,28.3,25.8,33.1,35.4,32.3,27.7,27.5,34.2,31.4,28.2,37.9,39.6,35.6,33,46.5,43,39.7,36,53.7,51.1,48.1,45.4,64.7,58.6,56,51.8,69.8,65.6,62.9,59.5,84.4,74.7,72,66.6,85.8,76.1,66.5,68.4,74.5,74.7,68.6,67.7,77,80.5,76.1,78.2,87.5,88.6,81.6,77.9,92.8,93.3,86.1,82.5,120.9,99.1,90,88.4,117.6,100.2,96.6,93.4,145.1,111.6,101.3,94.8,148.2,117.1,110,92.3,138.3,121.3,109.5,96.1,137.5,126.7,114.9,116.5,130.7,135.4,122.9,127.9,143.4,141.5,129.7,132.8,166.1,149.2,137.7,140.7,201,168.1,153.4,156,232.9,185.3,170,173.5,268,203.2,180.5,187.2,282.7,217.4,205.8,192.8,344,242.5,216.2,213.5,361.6,200.1,216.6,171,242.9,218.9,195.8,167.9,226.7,191,188.5,161.1,217.9,214.2,205.3,177.7,292.4,237.6,224.3,197.1,357.1,255.7,239.7,221.9,394.2,283.8,264.5,220.7,365.8,271.4,243.7,168.2,252.1,236.4,200.5,174.7,247.4,240.5,231.2,209,330.3,276.8,260.9,199.6,350.9,296.7,302
"12","4","  Taxes on production and imports","W007RU1",4.1,4.6,4.4,4.6,4.2,4.7,4.5,4.7,4.7,4.9,4.7,4.7,4.3,4.7,4.6,4.8,4.7,5,5,5.1,4.8,5.1,5.1,5,4.7,5.5,5.8,6,5,5.5,5.5,5.4,5.3,5.7,6,5.8,5.7,6.5,6.5,6.6,6.3,6.3,6.5,6.6,6.5,8.6,9.3,9.3,12.2,13.2,12.3,12.2,10.6,10.3,9.9,10.2,9.8,11.4,11.5,11.7,11.5,11.9,12.1,11.9,11.4,11.4,11.8,11.4,10.9,10.7,11.2,11,10.9,11.2,11.9,12,12.2,12.6,12.4,12.6,13.1,12.4,11.8,12.4,12.6,12.7,12.1,13.6,14.6,15.3,15.9,16,15.4,15.3,16,16.5,15.2,16,16.8,18.3,18.9,19.5,20.1,20.5,18.5,18.7,19.4,19,18,17.8,18.2,18.9,17.5,19.8,20.4,20.2,19.3,20,20.7,20.7,19.7,20.3,21.5,22,21,21.9,22.4,21.9,21.1,21.5,21.4,21.3,20.7,21.5,22.4,22.2,21.9,22.3,23.4,22.5,22.8,23.5,25,24,23.5,25.1,26.2,24.6,23.9,24.7,26.1,24.6,21.8,23.3,24.9,24.5,22.6,23.5,24.2,23.6,21.6,23.8,21.3,24.7,21.1,24.3,25.7,25.7,24.8,27.1,28.2,28.6,27.3,30,30.5,30.1
"13","5","  Taxes on corporate income","B075RU1",8.8,9.6,8.7,9.1,7.1,8.1,7.7,7.7,7.7,8.9,8.2,8.6,8.2,9.4,9,10.1,9.9,11.4,10.7,11.2,9.7,11.8,12.5,11,8.3,10.6,12.2,12.4,12.3,14.5,14.1,13.6,12.6,16.8,16.7,15.4,14.5,19.1,18.4,19.3,17.1,19.6,19,18.7,18.3,16.2,17.3,18.5,16.5,16.5,17.2,15.5,10.6,12.8,13.3,12.4,10.8,15.2,17.1,18.2,17.7,20.7,18.6,18.2,17,19.3,21.2,18.8,19,21.4,21.5,22,22,26.6,28.4,26.1,24.6,27.8,29.4,29.3,30.2,30.1,29.1,27.8,26.6,30.3,32.6,28.6,25.9,27.8,29.2,27,28.9,31.7,28,30.2,30.1,35.5,35.5,37.5,32.7,39.4,42.7,42,41,46.3,48.5,43.5,44.1,50.1,50,46.4,46.2,51.3,55,50.5,48.6,52.6,54.2,48.8,49,54.6,55.5,53.9,56.2,58.3,55.1,49.8,43.2,45.6,40.5,35.4,36.5,40.7,39.8,33.4,43.3,48.6,52.4,53.4,51.6,60.9,64.9,72.9,76.1,84,89.9,90.9,95.4,101.6,106,92.1,91.7,104.3,92.8,74.1,66.5,72.2,64.4,30.6,35.9,46.8,57.5,60.3,69.2,72,79.7,77.8,73.5,75.5,72.4,72.9,84.2,89.6,89.7,87.5
"14","6","  Taxes from the rest of the world","W008RU1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.6,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.5,0.7,0.6,0.6,0.8,0.6,0.7,0.7,0.7,0.7,0.8,0.9,0.7,0.7,0.6,0.6,0.7,0.7,0.6,0.7,0.7,0.6,0.7,0.7,0.8,0.8,0.8,0.8,0.9,0.9,1,1.1,1.2,1.2,1.3,1.5,1.2,1.2,1.2,1.5,1.2,1.2,1.4,2,1.3,1.4,1.5,1.6,1.7,1.8,1.7,2.1,1.8,1.7,1.9,2.2,1.8,1.9,1.9,2.1,1.8,2.6,2,2.6,2.4,2.2,2.1,3.3,2.8,2.6,3.4,3.4,2.8,2.9,3.1,5.7,3.3,3.7,3.5,4.7,4.1,4.1,4.1,6.5,3.9,3.9,3.3,3.7,3.5,3.8,3.6,4.7,3.6,3.8,4.3,4.6,4.2,4.4,4.3,5
"15","7","Contributions for government social insurance","W780RU1",12.1,12.6,10.3,8.3,13.3,13.2,10.6,8.3,14.9,14.7,11.6,9.1,17.1,16.8,13.6,10.7,21.5,20.9,17.7,14.5,23.3,23.4,20.3,17.1,24.4,24.4,21,18.3,27.6,27.7,23.6,20.9,30.7,31,26.7,22.7,35.9,36,30.4,26.4,40.8,40.7,35.7,32.5,44.6,44.1,38.6,36.3,52.2,51.9,45.9,43.1,56.4,55.7,48.8,45.2,60.1,59.6,53.4,49.9,71.1,67.7,60.1,55.2,77.3,75.8,64.9,59.9,82.1,80.7,70.2,65.9,86,86.4,73.7,71.3,96.8,96.1,84,77.9,102.9,103.1,88.1,83.8,110.3,109.2,93.6,88.9,113.1,115.1,98,94.4,119.2,121.6,101.8,101.4,123.5,128,106.8,107.2,132.4,135.8,114.7,113.3,143.5,142.3,119.2,116.9,148.6,148.7,124.2,123.9,157.2,157,131.7,133.6,166.1,167.7,139.4,144.3,173.7,178.1,150,153,190.4,190.3,159.6,158.2,200,198.8,162.5,162,201.8,202.4,168.3,166.9,206.4,207.4,173.1,176.3,217.3,218.9,183.9,188.8,230.8,232.8,196.4,193.4,248.9,246.5,204.3,206,259.9,259.1,213.9,214.4,268.8,267.2,220.4,218.1,263.5,259.3,213.7,214.4,261.4,264.4,222,223.1,251.6,245.6,208.1,199.1,269.8,252.5,210.9,204.5
"16","8","Income receipts on assets \1\","W009RU1",0.6,0.7,0.7,0.8,0.7,0.8,0.8,0.9,0.8,0.9,0.9,1.1,0.9,0.9,0.9,1.1,1,1,0.9,1.1,1,1.1,1.1,1.2,1.2,1.3,1.3,1.5,1.4,1.5,1.6,1.6,1.6,1.8,1.8,1.9,1.9,2.2,2.3,2.5,2.5,2.6,2.9,3.2,3.1,3.4,3.7,4.2,4.3,4.5,5,5.5,5.7,5.8,6,6,6,6,6.2,6.5,6.6,7,7,7.1,7.2,7.3,7.8,7.9,8.1,7.9,8.4,7.7,7.4,7.3,7,6.5,8.5,7.1,7,7.6,7.2,7.1,7.6,6.9,7,6.8,6.9,9.9,8.1,7.5,7.6,6.8,6.6,6.4,6.2,6.4,6.7,6.7,6.7,6.5,6,5.8,6.2,5.5,6,6,6.4,5.5,6.7,6.4,7.7,5.8,6.3,6.1,7.5,5.6,5.3,5,6.6,4.5,4.8,4.9,6.5,4.9,6.1,6.1,7.3,6.1,7.1,6.8,7.5,5,4.2,5.3,8.2,4,5.4,5.9,6.9,5.4,5.8,6.4,7.3,5.9,6.7,7,8.1,5.5,6.7,7.5,8.2,6.6,8.1,8.1,9.7,7.5,8,8.6,11.7,5.6,10.1,12.6,14.2,11.7,12.1,13.1,16.1,13.3,14.7,14.5,15.6,12.6,13.2,12.8,14.1,12.9
"17","9","Current transfer receipts","W011RU1",0.2,0.2,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,1.1,0.9,0.7,0.8,0.8,1,1.1,1.1,1.2,1.2,1.3,1.3,1.4,1.5,1.6,1.6,1.6,1.8,3.2,1.8,1.8,1.8,1.9,1.7,2.2,2.4,2.7,2.5,2.6,2.2,2.3,2.5,2.6,2.7,2.8,3.1,3.1,3,3.1,3.4,3.8,4.1,4.2,4.4,4.4,4.4,4.3,4.4,5.3,5.1,4.5,5.1,5.3,6.3,5.6,5.6,4.1,4.8,4.1,4.4,4.3,4.7,4.2,4.8,9,5.6,4.8,5.3,4.4,5.7,5,5.9,4.9,5.6,5.2,5.8,5.6,6.2,5.9,6.6,5.4,6.2,5.5,6.3,7,6.3,6.5,6.2,5.5,6.3,6.6,6.3,6.3,7.2,7.3,6.9,7.5,7.6,8,8.1,8.3,9,9.6,9.2,9,10,10.1,10.1,10.8,11,11.3,11.2,15.1,16.4,19.1,14.5,16.2,16.2,15.4,16.6,16.2,17.1,17,17.5,14.4,14.7,14,11.7,9.3
"18","10","Current surplus of government enterprises \2\","B097RU1",-0.3,-0.3,-0.4,-0.2,-0.5,-0.7,-0.8,-0.5,-0.8,-0.6,-0.9,-0.5,-0.6,-0.6,-0.6,-0.6,-0.7,-0.7,-0.9,-1,-0.9,-0.8,-0.7,-0.9,-1,-1.2,-1.1,-1.1,-0.8,-0.8,-0.7,-0.6,-0.8,-0.9,-1,-0.8,-1,-0.9,-0.7,-0.3,-0.5,-0.7,-0.8,-0.6,-0.8,-1,-1.1,-0.8,-1,-0.8,-0.7,-0.2,-0.3,-0.6,-1,-0.3,-0.5,-0.5,-0.7,-0.3,-0.6,-0.7,-0.9,-0.5,-0.7,-0.5,-0.5,0.1,-0.1,-0.1,-0.4,0.1,-0.2,-0.3,0.1,-0.1,0.1,0.4,0,0.2,0.2,0.3,1,-0.5,-0.8,-0.5,-0.4,-0.7,0.6,0.9,0.1,0.6,0.9,1,0.5,1.8,0.2,0.2,3,0.1,0.1,0.1,3.1,0.7,0.6,0.5,3.7,0.3,0.1,0.2,3.6,0.5,0.7,0.7,4.2,0.9,1,1,4.4,1.1,1,1,4.4,0.7,0.7,0.7,4.3,-0.4,-0.5,-0.5,3.3,0.5,0.5,0.5,4.4,1.6,1.6,1.8,1.9,1.5,1.5,1.4,1.9,0.1,0.1,0,0.5,0.3,0.3,0.3,0.5,0.7,0.6,0.6,0.6,0.2,0.2,0.2,0.2,0.1,0.9,0.1,0,-0.2,-0.4,-0.4,-0.6,-1.7,-1.8,-1.7,-1.9,-1.8,-1.7,-1.8,-2,-8
"19","11","    Current expenditures","W013RU1",45.9,49.4,51.5,50.1,50.7,55.7,57.4,56.1,57.2,61.7,61.3,61.4,64.2,67.4,66.6,69.7,70.3,72.4,72.6,71.7,75.6,79.5,80.2,83.8,89.3,95.1,93.1,96.3,99.3,99,100.5,103.3,105.6,107.1,109.4,113.4,117.2,119.6,121.1,125.4,128,130.5,133.8,138.9,147.3,151.2,157,163.7,172.1,172.9,177.4,183.8,189.3,191,195.6,206.8,208.7,211.9,211.9,216.7,222,222.5,223.9,234.7,239.5,241.1,241.7,248.5,250.7,259.8,259,260.5,263.1,263.7,261.9,273.5,277.6,277.4,272.3,291.5,296.8,298.8,293.9,307.9,318.7,321.7,317.5,328.8,321.1,337.4,336.6,356.7,367.4,367.9,366.1,383.3,382.3,383.6,383,391.6,395.4,389,393.8,402.2,415,417.5,411.1,410.2,432.8,425,421.3,430.5,442.3,436.7,429,444.9,450.3,441.7,436.4,452.6,461.5,453.9,451.4,467.4,482.8,476.2,465.7,482.6,511.4,499.8,493.7,507.9,537.7,530.6,525.7,542.8,569.3,574.8,563.2,586.2,618.2,598.1,595.1,610.5,663.8,642.9,642.2,654.7,710.7,687.7,680.3,681.1,750.7,727.8,718.5,730.5,794.9,796.7,777,772.2,852,881.3,869.8,876.8,968.5,917.3,913.3,922.2,995.5,950.7,911.8,906.9,988.6,936.9,921.8,925.5
"20","12","Consumption expenditures","A957RU1",23.5,25.8,25.7,25.4,24.7,26.1,25.3,26.2,25.7,27.5,26.2,27.2,28.1,28.7,27.6,27.7,28.2,28.8,28.2,28.8,29.5,30,30.8,32.2,32.3,33.2,33.3,34,34,34.8,34.4,35.8,35.8,37.3,37.7,38.7,38.9,40.5,40.9,41.7,42.3,43.9,43.9,45.8,47.5,50.7,50.7,53.3,55,57.5,58.2,60.6,61.6,62.2,64.8,67,67.9,69.4,72.1,68.4,70.1,73.4,73.7,74.9,76.1,77.4,80.9,82.3,81.1,84.1,85.7,85.6,84.8,87,86.1,89.9,88.1,90.3,88.4,94.1,91.1,97,94.8,97.4,98.9,100.5,98.4,103.9,105,107.6,104.9,106.5,104.6,106.8,109.3,109.6,105.3,106.5,108.7,107.2,106.6,104.6,109.9,106.2,107.3,107.3,108.8,104.2,105.4,105.8,108.3,108.9,107.3,110.5,108.7,112.1,104.7,108.8,108.8,114.2,108.3,112.8,115.1,119.3,113.9,121.6,119.5,120,121.5,126.5,125.7,131.7,131.7,139.1,143.4,146.1,148.3,157.8,162,160.4,166.1,166.6,176.1,172.5,177.4,177.2,188.1,180.8,191.4,189.5,192.2,190.8,192.6,196.3,204.7,204.9,210.6,214.5,227.5,227.2,221.4,234.7,238.1,239.6,239.7,251.7,257.4,255.1,244.5,255.5,257.9,250.9,249.9,251,262.8,248
