"","Table 2#3#6# Real Personal Consumption Expenditures by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64"
"23","15","    Housing and utilities","DHUTRX1",1531.2,1546.1,1562.2,1562.3,1570.5,1592.1,1606.7,1632.8,1641.3,1639.6,1646.3,1644.9,1644.7,1651.6,1654.4,1664.5,1668,1673,1675.3,1687.6,1698.3,1710.6,1720.3,1742.4,1760.9,1782.3,1802.1,1808.2,1803.8,1824.5,1836,1828.5,1837.5,1840.1,1845.4,1840,1854.6,1860.2,1854.7,1870.8,1874,1878,1881.4,1890.6,1897.2,1896.5,1906.5,1916.8,1918.9,1925.1,1937.3,1932.4,1927.8,1949.2,1955.5,1941.9,1964.5,1964.8,1952.6,1960.5,1989.4
"24","16","    Health care","DHLCRX1",1167.3,1171.9,1181.4,1192.6,1199.6,1215.4,1223.7,1236.6,1254.4,1268.6,1287.3,1307.9,1333.9,1353.3,1363.9,1371.3,1379.6,1386.7,1397.2,1406.6,1416.2,1432.8,1453,1467,1473.8,1483.3,1501.6,1503.1,1512,1519.8,1528,1541.3,1549.5,1556.3,1570.4,1576.8,1593.7,1596.8,1600.1,1604.8,1616,1628.6,1634.9,1630,1626,1640.9,1657.1,1672.8,1681.7,1692.7,1689.2,1709.6,1730.1,1731.4,1741.1,1750.9,1756.5,1771.9,1783.9,1808.3,1851.6
"25","17","    Transportation services","DTRSRX1",310.5,314.4,320.7,324.3,328.6,332.3,334.5,335.7,336.2,334.7,328.5,322.8,323.3,320.3,319.8,319.9,321.7,320.6,323.8,325.8,329,331.8,331.8,333.5,333.9,335,335.9,334,333.2,335.2,335.1,338.6,340.3,340.3,338.9,336.4,332.1,326.5,319.6,306.9,296.5,291.1,287,284.2,284.6,286.2,288,289.6,290.4,293.8,296.1,297,296.5,298,298.8,298.6,300.8,300.8,299.3,300.8,302.3
"26","18","    Recreation services","DRCARX1",308.9,313.8,320.5,324.1,323.8,326.6,327.1,326.3,328.9,325.5,323.7,323.5,325.6,326.1,326.9,330.6,330.5,335.6,341.1,346.2,351.6,355.2,357.8,358.6,362.4,364.5,364.5,367.3,372.2,374.4,377.1,386.1,388.8,390.5,394.6,394.4,393.2,392.5,387.7,382.5,379,375.3,373.6,376.1,379.1,377,382.4,385.3,383.1,388.7,391.3,392.1,394,394.4,395.4,393.7,396.1,395.1,399.2,399.6,395.6
"27","19","    Food services and accommodations","DFSARX1",505.1,508.1,510.1,522.1,530.7,535.3,537.2,535.4,539.3,534,531,530.2,538,542,543,543.8,547.8,558,567.4,573.2,579.4,580.2,585.5,591.6,595,603.6,607.8,614,623.1,619.6,623.3,632.7,629.8,631.3,631.9,637.4,629,632.4,626.3,616.7,605.8,599.9,598.2,597.5,603.1,607.7,611.3,616.3,624.2,631.6,636.9,643.4,650.2,654.1,656.2,666.6,670.7,671.9,672.8,685.3,681.2
"28","20","    Financial services and insurance","DIFSRX1",576.2,590.8,603.8,623.8,655.2,656.5,660.8,664.4,654.4,647.6,638.5,643.4,640.2,639.9,643.6,643,637.2,640.2,645,650,659.8,661.9,669,684.2,691.7,703.2,710.5,710.9,718.5,718.4,717.4,726,735.4,743.2,747,744.6,742.3,738.3,738.9,730.2,723.8,719,719.2,713.8,721.5,736.1,735.4,742.7,750.7,751.4,762.8,759,757.2,751.1,738.1,737.7,747.6,754.9,758.3,769.7,779.3
"29","21","    Other services","DOTSRX1",719.4,729.1,737.4,747.9,763.6,778.6,794,797.8,798.7,815.6,814.9,811,811.6,812.9,808.6,809.9,826.4,827.6,833.7,832.7,843.2,846.1,851.4,853,857.1,853,855,861.3,868.6,877.7,881,890.1,900.5,903.3,896.2,894.7,899.7,894.5,891.2,891.6,881,869.9,872,877.5,878,881,886.3,889.8,895.1,895.1,896.1,900.6,911.2,909.8,913.2,913.6,907.1,906.2,908.5,912.5,915.5
"30","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRX1",148.1,149.3,150.5,152.5,157.7,158.5,164.7,169.7,170.7,174.5,177.6,181.5,185,190.4,198.2,203.2,203.5,206.5,207.5,207.8,211.2,210.5,209.9,209.7,202.7,207.9,209.1,220.1,228.9,236.9,241.1,239.5,240.5,237.4,241.1,252.6,259.5,269.5,277.8,287.6,278.9,272.9,273.2,279,279.2,281.7,277.4,274.8,273.5,275.1,286.6,280.5,283,293.4,295.8,302.3,287.6,284.8,288,286.4,285.2
"31","23","    Gross output of nonprofit institutions \2\","DNPERX1",769.7,773.8,779.6,787.8,794.5,802.1,811,821.3,830.4,839.3,850.7,863,878,892.7,904.4,909,910.3,912.8,915.9,918.7,925.6,932.3,943.2,952.4,947.5,956.2,967,976,986.7,996.1,1004.1,1009.5,1016.8,1017.2,1022.8,1032.1,1043.4,1050.4,1059.4,1067.7,1069,1071.2,1074.8,1075.3,1072.6,1084,1090.6,1097,1094.8,1098.7,1098.4,1108,1122.7,1126.2,1138.1,1141.4,1132.7,1142.2,1148.1,1164.3,1181.1
"32","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRX1",632.6,635.3,640,646.2,646.5,653.6,654.8,659.1,667.6,672,680.1,688.1,699.6,708.1,710.3,708.8,709.8,708.7,710.9,713.4,716.6,724.5,736.5,746.3,749.4,752.3,762.1,758.8,760,760.6,764.2,771.6,778,781.7,783.4,780.5,784.5,781,781.3,779.4,789.9,798.3,801.6,796.4,793.5,802.4,813,821.9,821,823.3,812.2,827.2,839.4,833.2,842.5,839.9,844.8,856.6,859.3,876.8,894.4
"33","25","Residual","D236RX1",-115.7,-105.8,-97.2,-93.6,-73.6,-82.6,-80.1,-79,-77.4,-75.5,-73.7,-52.1,-53.2,-53.1,-47.5,-48.6,-48.3,-36.9,-26.8,-24.4,-20.9,-19.8,-15.6,-12.9,-10.3,-4.7,-4,-6.4,-1.1,-3.2,-1.9,0.7,2.2,3.7,4.8,4.1,1.8,-0.1,-4.5,-1.2,-0.7,0.5,0.7,-0.5,-2,-1.6,-2.1,-3,-4.5,-9.3,-10.9,-13.3,-17,-17.7,-22.4,-26.2,-27.7,-31.9,-35.8,-37.1,-37.3
"34",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","26","  PCE excluding food and energy \4\","DPCCRX1",6494.6,6596.4,6678.7,6783.5,6917.7,6969.1,7044.9,7100.6,7136.1,7168.9,7194.3,7316.1,7344.7,7379.1,7433.9,7457.2,7498.2,7596,7713.6,7773.4,7856.3,7910.5,7996.9,8078.5,8137.4,8235.7,8300,8326.4,8448.4,8483.2,8532.8,8620.5,8670.9,8711.8,8752.1,8777.7,8756.9,8780,8736.2,8617.1,8576.7,8533.9,8594.1,8588.7,8629.4,8714.7,8773,8865.4,8925.1,8971.7,9022.7,9096.8,9181.3,9203.2,9243.7,9305.9,9336,9388.8,9446.9,9524.5,9579
"36","27","  Energy goods and services \5\","DNRGRX1",492.7,503.8,507.6,495.9,482.6,499.7,502.9,514.9,508.9,489.7,494.5,491.2,491.6,503.7,506.3,514.8,509.4,508.4,505.8,513.9,515.3,516.1,509.1,515.2,520.4,516.6,516.9,517.7,501.3,510.3,517.4,515.1,521.1,517.6,516.4,503.8,506.8,500.8,481.1,496.6,505.8,500.3,496.5,495.9,500,500.5,507,508.6,500.3,490.8,494.4,485.2,473.4,492.1,492.8,477,497.7,496.1,487,490.6,512.2
"37","28","  Market-based PCE \6\","DPCMRX1",6768.1,6870.2,6950.4,7048.2,7138.7,7209.8,7272.8,7341.9,7375.1,7385.2,7417.4,7537,7560.5,7604.6,7663.2,7689.3,7719.6,7819.4,7936.2,7998.7,8074.3,8120,8197.4,8283.1,8350.3,8441.9,8509.7,8527.3,8612.4,8657.5,8711.9,8800.6,8852.9,8881.8,8922.3,8934.4,8907.6,8926,8843.6,8715.4,8694.4,8669.1,8730,8728.5,8774.8,8839.4,8901.5,9004.6,9052.2,9089.6,9129.5,9192.1,9257.9,9309.4,9356.9,9402.6,9465.6,9508.5,9549.6,9632.7,9714.4
"38","29","  Market-based PCE excluding food and energy \6\","DPCXRX1",5636.8,5722.6,5792.4,5885.8,5989.7,6037,6095,6146.8,6185.7,6206.1,6235.6,6353.4,6378.3,6411.4,6463.9,6477.4,6505.7,6605.1,6711.4,6767.6,6834.2,6878.1,6955.1,7027.2,7078.2,7169.9,7230.9,7239,7338.6,7366.8,7411.6,7492.3,7537,7573.6,7614.7,7638.2,7610.9,7633.7,7586.7,7456.5,7427.8,7401.9,7461.8,7453.7,7489.1,7559.1,7611.2,7701.4,7756.3,7802.8,7840.6,7916.5,7992.2,8016.7,8060.6,8124.8,8158.8,8206.6,8253.5,8326.8,8382.4
"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","4. Food consists of food and beverages purchased for off-premises consumption;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","food services, which include purchased meals and beverages, are not classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","5. Consists of gasoline and other energy goods and of electricity and gas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","6. Market-based PCE is a supplemental measure that is based on household expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","for which there are observable price measures.  It excludes most imputed transactions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","(for example, financial services furnished without payment) and the final consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","expenditures of nonprofit institutions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Note. Chained (2009) dollar series are calculated as the product of the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
