"","Table 3#10#4# Price Indexes for Government Consumption Expenditu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"11","4","            Compensation of general government employees","A194RG3",11.204,12.386,13.607,14.885,15.849,16.697,18.105,19.175,20.458,21.842,23.411,25.399,27.82,29.888,31.747,33.892,35.839,37.414,39.098,41.068,43.468,45.956,48.765,51.761,53.452,55.308,56.883,58.388,60.131,62.16,65.308,68.353,71.641,75.031,79.205,83.68,87.354,91.078,94.953,98.212,100,103.474,105.119,106.086,107.151
"12","5","            Consumption of general government fixed capital \2\","A265RG3",22.695,24.101,25.557,26.769,28.51,31.998,34.836,36.55,38.472,40.881,43.91,48.289,53.124,56.94,58.643,60.215,61.049,61.791,62.751,64.446,66.165,67.871,69.671,70.479,72.063,73.861,76.219,77.007,77.84,78.363,79.713,81.83,82.573,82.964,83.845,85.888,89.327,92.393,96.138,99.269,100,100.892,103.155,104.855,105.838
"13","6","          Intermediate goods and services purchased \3\","W104RG3",18.069,18.654,19.597,20.233,21.731,24.93,27.601,29.412,31.448,33.538,37.197,42.854,47.307,49.702,50.913,52.274,53.367,53.121,54.634,55.864,57.859,60.676,62.016,63.162,64.644,65.824,67.844,69.598,70.574,70.403,71.873,75.501,76.691,77.399,80.43,83.865,88.976,93.155,97.103,103.516,100,103.46,108.873,110.828,112.225
"14","7","            Durable goods","W105RG3",33.204,34.929,36.618,36.393,38.197,41.724,46.225,49.713,52.937,56.651,61.773,67.125,73.402,80.064,85.094,89.71,90.544,92.266,92.643,90.904,91.58,93.792,96.231,97.771,99.33,100.306,100.79,100.635,99.944,98.753,97.747,97.427,96.488,95.848,95.701,96.416,97.374,98.568,98.608,99.507,100,100.139,100.708,101.578,102.076
"15","8","            Nondurable goods","W106RG3",17.467,17.891,18.286,18.908,21.45,26.657,29.942,31.45,33.593,35.581,41.27,50.517,55.647,55.73,55.359,55.227,55.16,49.953,51.771,52.143,55.073,59.351,58.451,58.043,58.34,58.557,60.971,63.779,63.558,60.611,62.756,70.307,69.688,68.688,73.507,79.411,89.455,95.606,100.956,114.866,100,108.829,122.65,125.071,125.569
"16","9","            Services","W107RG3",16.699,17.228,18.361,19.101,20.071,22.331,24.529,26.302,28.164,30.13,32.663,36.728,40.707,43.678,45.076,46.634,48.317,50.014,51.628,53.743,55.635,58.013,60.148,61.898,63.88,65.489,67.505,69.003,70.646,71.776,73.195,75.497,77.69,79.255,81.828,84.504,87.982,91.646,95.425,99.363,100,101.706,104.382,106.278,108.168
"17","10","        Less: Own-account investment \4\","W108RG3",19.813,21.459,23.174,24.045,25.391,27.206,29.478,30.965,32.883,34.847,36.943,40.044,43.706,46.726,48.765,51.019,52.737,53.869,54.736,56.938,59.42,61.54,64.216,66.024,68.397,70.452,72.745,73.988,75.371,76.312,78.115,80.528,82.383,84.216,86.327,88.879,91.362,93.484,95.928,98.957,100,102.149,104.692,106.07,107.146
"18","11","        Less: Sales to other sectors \5\","W109RG3",10.631,11.259,11.832,12.348,13.287,14.621,15.911,17.049,18.289,19.769,21.605,24.072,26.702,29.188,31.362,33.517,35.267,36.913,39.04,41.703,45.05,48.548,52.086,55.551,58.525,60.628,62.875,64.686,66.123,67.172,68.935,71.034,73.001,75.303,78.903,82.688,86.021,89.521,93.251,97.248,100,102.997,105.992,108.861,111.362
"19","12","Federal consumption expenditures \1\","A957RG3",16.715,18.098,19.697,21.339,22.845,24.636,26.818,28.503,30.191,32.149,34.532,38.099,41.842,44.74,46.223,48.149,49.532,50.204,50.899,52.677,54.156,56.073,58.413,60.161,61.457,63.155,65.176,66.519,67.863,68.887,70.835,73.555,75.343,78.663,82.83,86.215,90.461,93.911,97.151,100.382,100,102.942,105.874,106.799,108.51
"20","13","      Gross output of general government","W110RG3",16.897,18.284,19.904,21.496,23.016,24.804,26.979,28.674,30.393,32.38,34.772,38.378,42.112,44.979,46.458,48.371,49.737,50.366,51.077,52.865,54.398,56.316,58.658,60.42,61.822,63.528,65.544,66.913,68.279,69.257,71.213,73.919,75.697,78.972,83.046,86.388,90.557,93.935,97.124,100.315,100,102.917,105.871,106.802,108.502
"21","14","        Value added","W111RG3",15.483,17.138,18.856,20.665,22.061,23.413,25.253,26.683,28.234,30.051,31.958,34.648,38.063,40.918,42.31,44.43,45.921,46.845,47.407,49.608,51.318,52.877,55.479,57.494,58.811,60.632,62.75,64.086,65.546,66.772,69.005,71.625,73.392,77.43,82.248,85.773,90.139,93.459,96.956,99.329,100,103.098,105.161,105.77,107.736
"22","15","          Compensation of general government employees","B568RG3",11.408,12.927,14.503,16.233,17.376,18.165,19.532,20.556,21.715,23.088,24.505,26.506,29.215,31.453,32.437,34.338,35.953,37.037,37.598,39.83,41.367,42.775,45.472,47.824,48.829,50.497,52.32,53.958,55.726,57.298,59.919,62.754,65.238,71.364,78.196,82.671,88.2,92.259,96.564,98.917,100,103.998,106.001,106.521,109.154
"23","16","          Consumption of general government fixed capital \2\","B995RG3",24.736,26.107,27.604,28.948,30.734,33.628,36.496,38.862,41.251,43.996,46.953,51.12,55.834,59.868,62.18,64.441,65.239,65.553,66.035,67.893,69.84,71.613,73.794,74.935,76.845,78.901,81.543,82.285,83.16,83.745,85.271,87.502,87.972,88.208,89.304,91.08,93.366,95.422,97.594,99.998,100,101.612,103.773,104.524,105.48
"24","17","        Intermediate goods and services purchased \3\","W113RG3",20.274,20.522,21.545,22.132,23.942,27.263,30.524,33.125,35.33,37.763,41.865,48.654,53.234,55.94,57.624,58.777,59.687,59.414,60.548,61,61.919,64.864,66.354,67.311,68.925,70.223,71.857,73.279,74.332,74.57,75.693,78.573,80.351,81.855,84.405,87.399,91.212,94.689,97.332,101.927,100,102.631,107.046,108.534,109.692
"25","18","          Durable goods","W114RG3",32.377,33.95,35.619,34.723,36.498,39.452,43.554,47.322,50.418,54.024,59.03,63.743,69.575,76.611,82.238,87.384,87.849,89.479,89.322,86.276,86.066,87.975,90.322,91.872,93.902,94.971,95.113,94.946,94.476,93.797,93.464,93.843,93.673,93.53,94.16,95.214,96.676,98.664,98.706,99.5,100,100.171,100.774,101.604,102.415
"26","19","          Nondurable goods","W115RG3",18.324,18.532,18.652,19.293,22.584,29.235,33.66,36.335,39.213,41.495,49.248,67.094,73.387,72.466,72.346,69.306,69.428,60.937,61.584,58.494,57.699,63.627,62.041,59.851,59.628,59.202,60.654,64.518,64.825,61.315,63.519,72.375,71.006,70.482,73.426,79.187,90.531,97.441,101.204,116.552,100,107.98,121.948,124.488,124.683
"27","20","          Services","W116RG3",18.659,18.587,19.845,20.699,21.976,24.303,27.035,29.386,31.229,33.466,36.394,40.7,44.6,47.382,48.446,49.518,50.858,52.387,54.222,56.554,58.164,60.925,62.864,64.342,66.28,67.99,69.959,71.251,72.733,73.923,75.123,77.337,80.143,82.33,85.092,87.83,90.504,93.541,96.405,99.666,100,102.097,105.487,106.902,108.327
"28","21","      Less: Own-account investment \4\","W117RG3",22.026,24.061,26.173,26.984,28.459,29.964,32.319,33.819,35.842,37.765,39.635,42.625,46.446,49.761,51.512,53.727,55.339,56.475,56.733,58.82,61.015,62.759,65.754,67.331,70.265,72.534,74.766,76.125,77.773,78.643,80.236,82.24,83.847,86.349,88.501,90.729,92.883,94.586,96.522,98.743,100,102.465,105.346,106.162,107.649
"29","22","      Less: Sales to other sectors","W118RG3",17.617,17.065,19.078,19.312,21.713,23.92,25.418,28.229,31.106,34.671,38.5,45.086,48.282,48.421,48.978,49.221,48.861,45.255,48.181,49.839,52.988,55.407,56.412,59.369,63.422,64.317,65.565,68.616,70.797,68.683,72.353,75.952,77.583,79.696,82.486,85.978,90.421,93.387,96.591,99.601,100,102.139,106.98,108.803,110.229
"30","23","    Defense consumption expenditures \1\","A997RG3",16.338,17.594,19.152,20.943,22.468,24.342,26.396,28.059,29.81,31.862,34.363,38.239,42.157,45.247,46.8,48.86,50.083,50.687,51.594,53.347,54.815,56.903,58.932,60.864,61.605,63.085,64.92,66.182,67.381,68.315,70.156,72.84,74.667,78.024,82.672,85.931,90.528,94.228,97.516,101.055,100,102.705,105.693,106.824,108.609
"31","24","      Gross output of general government","W085RG3",16.513,17.787,19.361,21.106,22.627,24.514,26.588,28.251,30.008,32.065,34.554,38.412,42.333,45.436,46.997,49.065,50.303,50.927,51.814,53.568,55.061,57.137,59.205,61.146,61.957,63.443,65.28,66.55,67.764,68.695,70.522,73.178,75.009,78.323,82.87,86.09,90.604,94.234,97.475,100.967,100,102.692,105.678,106.808,108.579
"32","25","        Value added","W086RG3",15.376,16.962,18.636,20.647,21.985,23.369,25.096,26.56,28.05,29.881,31.82,34.646,38.238,41.362,42.93,45.111,46.583,47.561,48.251,50.238,51.845,53.435,55.644,57.963,58.575,60.122,61.988,63.113,64.474,65.645,67.724,70.214,72.124,76.334,81.802,85.122,90.006,93.747,97.367,99.854,100,102.779,104.672,105.698,107.778
"33","26","          Compensation of general government employees","B237RG3",11.307,12.772,14.313,16.285,17.368,18.203,19.461,20.468,21.494,22.813,24.301,26.482,29.39,31.921,33.085,35.035,36.723,37.956,38.768,40.816,42.268,43.74,45.907,48.704,48.56,49.671,51.084,52.359,54.061,55.518,57.873,60.52,63.364,69.863,77.768,81.905,88.19,92.815,97.28,99.747,100,103.722,105.301,106.245,108.953
"34","27","          Consumption of general government fixed capital \2\","B432RG3",24.405,25.698,27.154,28.515,30.27,33.079,35.829,38.365,40.939,43.901,46.724,50.794,55.515,59.614,62.029,64.341,64.846,64.953,65.239,66.861,68.673,70.401,72.56,73.799,75.848,78.168,80.828,81.683,82.458,83.148,84.778,87.021,87.349,87.573,88.682,90.532,92.962,95.224,97.504,100.02,100,101.288,103.676,104.826,105.975
"35","28","        Intermediate goods and services purchased \3\","W087RG3",18.108,18.282,19.323,19.95,21.905,25.394,28.51,30.729,33.304,35.956,40.221,47.355,52.004,54.806,56.259,57.892,58.392,58.018,59.396,60.468,61.6,64.921,66.524,67.368,68.694,69.947,71.616,73.236,74.017,74.295,75.452,78.434,80.057,81.565,84.474,87.531,91.462,94.918,97.574,102.557,100,102.569,107.147,108.438,109.633
"36","29","          Durable goods","A998RG3",30.653,32.149,33.762,32.87,34.57,37.396,41.304,44.916,47.974,51.531,56.424,60.957,66.583,73.396,79.046,84.166,84.634,86.258,86.102,83.037,82.749,84.604,86.972,88.576,90.663,91.79,92.018,92.188,92.028,91.612,91.504,92.04,92.05,92.151,92.959,94.143,95.754,98.032,98.295,99.337,100,100.161,100.775,101.689,102.639
"37","30","          Nondurable goods","A725RG3",11.85,11.973,12.147,12.625,15.412,21.767,25.672,27.745,30.061,31.926,39.816,58.181,65.194,63.578,59.892,58.322,57.067,46.082,47.335,50.465,53.413,60.963,57.852,55.203,54.075,53.099,54.217,59.362,58.44,52.135,54.414,66.329,63.492,62.212,67.128,75.231,91.427,99.765,105.309,130.476,100,113.762,137.066,138.415,138.024
"38","31","          Services","A489RG3",17.601,17.36,18.771,19.883,21.264,23.277,25.736,27.58,30.135,32.834,35.727,40.304,43.95,46.553,47.685,48.617,49.632,51.075,53.343,56.014,57.45,60.664,62.999,64.272,65.826,67.516,69.682,71.203,72.48,73.931,75.254,77.418,80.16,82.4,85.439,88.151,90.767,93.777,96.558,99.749,100,101.779,104.999,106.374,107.854
"39","32","      Less: Own-account investment \4\","W088RG3",23.588,25.689,27.932,28.791,30.291,31.923,34.412,35.984,38.128,40.165,42.142,45.335,49.39,52.921,54.733,57.053,58.692,59.863,60.118,62.024,64.149,65.846,68.656,70.096,72.817,75,77.195,78.323,79.905,80.526,81.758,83.505,85.062,87.175,89.062,91.078,93.123,94.812,96.524,98.809,100,102.301,105.454,106.432,107.793
"40","33","      Less: Sales to other sectors","W089RG3",16.525,17.183,18.624,14.946,15.953,18.442,20.625,22.165,22.998,25.428,27.39,30.196,33.208,35.797,37.433,39.428,41.233,42.497,43.333,44.215,46.935,49.306,53.669,58.592,61.123,61.37,62.376,65.006,66.645,68.382,70.375,72.439,76.162,79.101,81.966,85.088,88.763,91.675,95.579,98.204,100,102.58,104.325,106.042,107.618
"41","34","    Nondefense consumption expenditures \1\","A542RG3",17.576,19.478,21.186,22.269,23.696,25.225,27.733,29.463,30.99,32.713,34.809,37.654,40.982,43.412,44.719,46.309,48.104,48.951,49.078,50.932,52.442,53.898,57.061,58.344,60.956,63.147,65.569,67.084,68.729,69.934,72.09,74.881,76.597,79.849,83.131,86.755,90.326,93.303,96.451,99.091,100,103.392,106.215,106.755,108.32
"42","35","      Gross output of general government","W128RG3",17.721,19.518,21.252,22.331,23.826,25.333,27.74,29.499,31.125,32.949,35.129,38.198,41.525,43.86,45.145,46.693,48.369,49.011,49.281,51.166,52.805,54.327,57.342,58.683,61.397,63.572,65.952,67.518,69.185,70.253,72.451,75.248,76.932,80.138,83.366,86.93,90.462,93.376,96.469,99.096,100,103.333,106.228,106.796,108.359
"43","36","        Value added","W129RG3",15.569,17.435,19.27,20.469,22.003,23.258,25.348,26.687,28.354,30.126,31.948,34.343,37.371,39.645,40.65,42.623,44.147,44.945,45.202,47.894,49.834,51.314,54.785,56.126,58.897,61.255,63.851,65.584,67.219,68.537,71.026,73.857,75.394,79.164,82.963,86.814,90.346,92.992,96.29,98.48,100,103.613,105.953,105.889,107.673
"44","37","          Compensation of general government employees","W130RG3",11.615,13.302,14.976,16.025,17.317,17.991,19.6,20.658,22.089,23.566,24.839,26.478,28.774,30.383,30.975,32.765,34.217,34.966,34.956,37.593,39.315,40.581,44.352,45.812,48.943,51.601,54.132,56.388,58.258,60.013,63.049,66.172,68.118,73.685,78.886,83.888,88.225,91.396,95.451,97.628,100,104.427,107.093,106.95,109.477
"45","38","          Consumption of general government fixed capital \2\","B546RG3",25.276,26.914,28.526,29.785,31.634,34.731,37.885,39.796,41.715,43.94,47.176,51.526,56.198,60.079,62.161,64.299,65.76,66.571,67.544,70.01,72.301,74.178,76.399,77.273,78.821,80.227,82.814,83.306,84.391,84.764,86.09,88.298,89.013,89.27,90.342,91.997,94.045,95.757,97.746,99.961,100,102.174,103.943,104.013,104.642
"46","39","        Intermediate goods and services purchased \3\","W131RG3",27.965,28.703,29.287,29.549,30.689,33.343,37.107,40.894,42.038,43.912,47.702,53.802,58.339,60.821,63.254,62.859,65.205,65.251,65.612,63.222,63.015,64.649,65.763,67.076,69.512,70.928,72.474,73.386,75.138,75.276,76.301,78.903,81.071,82.565,84.26,87.099,90.629,94.156,96.77,100.4,100,102.779,106.815,108.751,109.819
"47","40","          Durable goods","A543RG3",76.537,79.252,80.186,80.925,83.85,89.284,97.626,104.442,106.507,109.384,115.213,123.506,132.975,142.717,139.787,139.353,139.063,138.584,138.607,140.917,144.826,147.195,147.126,146.136,145.786,145.023,143.142,135.986,129.633,124.154,119.862,117.572,114.646,111.189,109.517,108.811,108.344,106.821,104.11,101.641,100,100.303,100.767,100.612,99.904
"48","41","          Nondurable goods","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","42","            Commodity Credit Corporation inventory change","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","43","            Other nondurable goods","B828RG3",25.611,26.746,28.052,29.335,32.317,36.261,38.536,40.731,43.21,44.667,48.783,60.063,62.88,63.053,64.857,63.258,63.077,58.97,60.981,60.687,64.179,65.959,66.155,66.253,66.637,67.183,69.276,72.135,73.385,72.657,74.69,79.436,79.658,80.352,81.457,84.729,90.61,95.998,98.042,103.5,100,102.931,108.347,111.99,112.564
"51","44","          Services","A544RG3",20.857,21.425,22.159,22.356,23.458,26.37,29.607,32.896,33.412,34.857,37.877,41.783,46.209,49.434,50.319,51.723,53.837,55.583,56.333,57.829,59.897,61.521,62.472,64.453,67.309,69.066,70.598,71.354,73.323,73.895,74.781,77.119,80.084,82.144,84.242,87.048,89.867,92.968,96.032,99.467,100,102.828,106.603,108.11,109.417
"52","45","      Less: Own-account investment \4\","W136RG3",20.429,22.386,24.361,25.122,26.563,27.939,30.153,31.574,33.47,35.273,37.031,39.811,43.388,46.478,48.166,50.276,51.875,52.986,53.252,55.605,57.919,59.737,62.959,64.683,67.825,70.168,72.429,73.987,75.689,76.77,78.664,80.885,82.536,85.426,87.862,90.317,92.588,94.308,96.521,98.658,100,102.674,105.203,105.805,107.46
"53","46","      Less: Sales to other sectors","W137RG3",18.821,17.952,20.195,22.1,25.607,27.056,27.474,30.922,34.508,38.525,43.017,50.942,54.185,53.032,53.154,52.919,51.928,46.952,50.498,52.416,55.747,58.338,58.015,60.13,65.085,66.532,67.98,71.317,73.881,69.737,74.188,78.532,78.961,80.425,83.158,86.939,91.87,94.829,97.386,100.683,100,101.889,108.14,110.025,111.41
"54","47","State and local consumption expenditures \1\","A991RG3",13.621,14.705,15.846,16.906,17.967,19.597,21.417,22.589,24.143,25.732,27.963,30.911,33.909,35.959,37.811,39.75,41.604,42.806,44.937,46.504,49.025,51.724,53.778,56.129,57.629,59.188,60.739,62.231,63.694,65.074,67.941,71.496,74.197,75.792,78.803,82.947,87.267,91.396,95.744,100.77,100,103.306,106.352,107.652,108.103
"55","48","      Gross output of general government","W138RG3",13.069,14.083,15.117,16.088,17.113,18.691,20.424,21.576,23.063,24.616,26.761,29.588,32.525,34.69,36.63,38.635,40.493,41.821,43.942,45.732,48.411,51.262,53.609,56.164,57.929,59.605,61.309,62.848,64.295,65.625,68.261,71.521,74.073,75.798,78.91,82.963,87.057,91.037,95.24,100.046,100,103.223,106.231,107.879,108.775
"56","49","        Value added","W139RG3",11.8,12.795,13.825,14.833,15.76,16.91,18.441,19.497,20.827,22.248,24.004,26.188,28.669,30.758,32.926,35.034,37.052,38.855,41.066,42.865,45.532,48.387,51.077,54.062,55.941,57.811,59.327,60.729,62.37,64.374,67.462,70.451,73.729,76.084,79.141,83.38,86.694,90.409,94.411,98.019,100,102.866,104.502,105.881,106.483
"57","50","          Compensation of general government employees","B251RG3",11.093,12.03,13.014,14.009,14.865,15.736,17.149,18.229,19.558,20.929,22.552,24.505,26.751,28.707,30.98,33.221,35.311,37.108,39.316,41.136,43.907,46.855,49.682,52.926,54.887,56.804,58.278,59.73,61.462,63.635,66.945,70.054,73.586,76.153,79.516,83.99,87.086,90.706,94.451,97.987,100,103.297,104.818,105.941,106.478
"58","51","          Consumption of general government fixed capital \2\","B986RG3",19.406,21.017,22.477,23.462,25.204,30.113,33.015,33.507,34.594,36.445,39.732,44.685,49.94,53.483,54.039,54.262,55.213,56.931,59.016,60.439,61.743,63.399,64.47,64.618,65.613,66.98,68.889,69.782,70.563,70.996,72.092,74.056,75.192,75.794,76.387,78.784,83.772,88.21,94.112,98.249,100,99.874,102.282,105.346,106.369
"59","52","        Intermediate goods and services purchased \3\","W140RG3",16.688,17.616,18.521,19.204,20.505,23.648,25.988,27.392,29.33,31.236,34.654,39.697,44.113,46.34,47.259,48.77,49.992,49.759,51.531,53.239,55.878,58.638,59.9,61.156,62.573,63.696,65.879,67.762,68.702,68.376,69.958,73.819,74.792,75.19,78.419,82.07,87.855,92.407,97.044,104.477,100,103.997,110.072,112.326,113.881
"60","53","          Durable goods","B989RG3",32.186,34.35,35.913,37.521,39.237,43.774,48.811,51.555,54.853,58.548,63.543,70.098,77.028,81.784,84.166,86.279,88.315,90.139,92.392,95.678,99.399,102.364,104.844,106.231,106.537,107.285,108.371,108.24,107.213,105.318,103.406,102.192,100.327,99.09,97.94,98.176,98.398,98.398,98.435,99.521,100,100.072,100.571,101.525,101.438
"61","54","          Nondurable goods","B337RG3",17.407,18.024,18.591,19.221,21.465,26.214,29.139,30.322,32.289,34.21,39.394,46.281,51.179,51.638,51.153,51.975,51.862,47.588,49.845,50.872,54.49,58.368,57.627,57.628,58.039,58.383,60.957,63.592,63.287,60.437,62.572,69.925,69.428,68.346,73.522,79.457,89.209,95.189,100.878,114.469,100,109.043,122.827,125.218,125.777
"62","55","          Services","A988RG3",15.372,16.401,17.453,18.111,18.881,21.099,22.976,24.424,26.276,28.083,30.385,34.293,38.306,41.383,42.982,44.827,46.71,48.501,49.982,51.963,54.012,56.163,58.408,60.311,62.309,63.857,65.883,67.47,69.176,70.269,71.763,74.08,76.005,77.282,79.744,82.377,86.349,90.406,94.756,99.143,100,101.404,103.507,105.772,107.998
"63","56","      Less: Own-account investment \4\","W144RG3",16.65,17.693,18.804,19.79,20.958,23.309,25.488,26.988,28.784,30.872,33.369,36.689,40.163,42.773,45.313,47.679,49.601,50.748,52.563,54.972,57.907,60.582,62.853,64.985,66.649,68.451,70.836,71.951,73.051,74.066,76.074,78.866,80.949,82.146,84.216,87.089,89.896,92.424,95.36,99.162,100,101.838,104.034,105.986,106.665
"64","57","      Less: Sales to other sectors","W145RG3",10.323,11.003,11.517,12.062,12.916,14.21,15.507,16.562,17.722,19.09,20.823,23.059,25.678,28.298,30.553,32.797,34.649,36.54,38.629,41.349,44.713,48.271,51.954,55.452,58.38,60.543,62.837,64.605,66.02,67.158,68.868,70.927,72.903,75.208,78.823,82.613,85.916,89.431,93.173,97.191,100,103.021,105.956,108.852,111.378
"65","58","        Tuition and related educational charges","B1065G3",5.799,6.209,6.598,6.961,7.334,7.971,8.56,9.154,9.758,10.234,11.03,12.06,13.533,15.335,16.906,18.607,20.268,21.875,23.48,25.207,27.147,29.279,32.198,35.54,38.707,41.326,43.791,46.224,48.518,50.543,52.53,54.701,57.484,61.417,66.538,72.861,78.321,83.562,88.791,94.336,100,105.213,110.492,115.847,120.793
"66","59","        Health and hospital charges","B1066G3",8.199,8.86,9.207,9.664,10.227,11.215,12.468,13.677,14.821,16.117,17.789,20.147,22.926,25.989,28.787,31.137,33.146,35.1,37.364,40.666,44.991,49.519,54.155,58.639,62.016,64.291,66.364,67.888,68.787,69.493,70.749,72.54,74.737,77.325,81.375,84.998,87.955,91.452,94.472,97.225,100,102.775,104.785,107.171,109.233
"67","60","        Other sales \5\","W146RG3",17.904,18.912,19.772,20.614,22.421,24.863,26.899,28.048,29.721,32.105,34.799,37.862,41.043,43.189,44.71,46.958,48.413,50.234,52.289,54.809,57.804,61.009,63.683,65.534,67.337,68.805,71.19,72.71,74.12,75.145,77.224,79.515,80.557,81.298,83.3,85.66,88.062,90.571,94.29,98.956,100,101.944,104.625,106.615,108.184
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
