"","Table 3#15#5# Government Consumption Expenditures and Gross Inve","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"11","4","  Tax collection and financial management","W577RC1",4.8,5.6,6.1,6.7,6.9,7.9,9.5,9.8,10.9,11.3,11.4,11.7,12.2,14.2,17.1,17.2,22.1,23.9,23.8,26.1,27.7,28.9,31.6,33.7,31.2,32.7,33.8,33.2,35.4,36.2,39.9,38.1,42.4,43,43.3,44.9,46,46.8,47.7,53.3,54.2,55.6,50.8,54.6,NA
"12","5","  Other","W578RC1",5.5,5.8,6.7,7.9,9.5,11.7,14.3,15.4,16.9,18.5,20.1,22.7,24.2,25,27.1,29.6,31.9,34.9,38.5,39.5,43.4,47.2,49.3,53.6,55.4,58,59.7,62.7,66.5,73.1,79.1,86.3,92.1,99.7,98.9,100.9,109.5,115.6,118.9,122.4,126.5,125.9,125.1,125.5,NA
"13","6","National defense","A824RC1",102.1,100.7,98,100.6,102,109.2,117,123.8,132.8,143,157.8,181,211.2,242.8,269.3,294.7,326,349.2,369.9,379.6,388.6,402.8,412,404.7,390.1,380.3,376,376.5,371.4,367.7,382.7,391.7,412.7,456.8,519.9,570.2,608.3,642.4,678.7,754.1,788.3,832.8,835.8,817.1,770.7
"14","7","Public order and safety","W579RC1",11,12.5,14.5,16.4,18.1,20.6,23.5,25.5,27.9,30.9,34.3,38.2,42.7,47.5,51.9,56.6,63.1,68.9,75,83,93.5,103.6,113,122.8,132.5,141.9,151.6,161.7,171.2,182.2,197.7,213.5,230.1,246.7,254.2,269.8,283.8,300.5,321.7,344.3,351.4,353.9,358.1,364.1,NA
"15","8","  Police","W580RC1",5.4,6.1,7.1,8.1,9,10,11.4,12.2,13.3,14.5,15.8,17.3,19.2,21,22.9,24.7,27.1,29.1,31,33.9,37.4,40.7,44.1,48.4,52.7,55.9,59.4,64.1,68.2,72.6,78.2,83.9,90.5,100.4,106.4,115.2,121.2,128.4,138.1,150,154.3,158.1,161,163,NA
"16","9","  Fire","W581RC1",2.3,2.6,3,3.3,3.5,3.9,4.4,4.8,5.1,5.6,6.1,6.7,7.5,8.3,8.9,9.6,10.4,11.4,12.3,12.9,14.4,15.6,16.6,18.4,18.9,19.9,20.8,22,23.1,24.3,26.3,28.6,30.4,33,34.6,36.9,39.4,42.6,45.8,49.1,50.8,51.1,50.9,51.2,NA
"17","10","  Law courts","W582RC1",1.6,1.9,2.2,2.4,2.8,3.2,3.7,4,4.4,5,5.8,6.7,7.4,8.2,8.8,9.4,10.4,11.2,12.1,14,16,18,19.9,21.5,24.3,25.8,27.8,29.7,31.2,33.8,36.9,40,43.6,45.5,45,46.8,49.2,51.2,53.7,56.5,57.7,58.2,59.4,61.4,NA
"18","11","  Prisons","W583RC1",1.6,1.9,2.2,2.5,2.8,3.4,4,4.5,5.1,5.8,6.6,7.5,8.5,10,11.4,13,15.1,17.2,19.5,22.2,25.6,29.3,32.4,34.4,36.6,40.3,43.5,45.8,48.7,51.4,56.3,61,65.6,67.9,68.2,71,74.1,78.4,84.1,88.8,88.7,86.5,86.9,88.5,NA
"19","12","Economic affairs","W584RC1",43.4,46,49.8,52.7,55.3,63.1,70.8,73.7,79,90.5,100.7,114,126.8,129.8,137.8,141.8,155.5,164.4,166,165.7,178.5,195.2,202.6,214.1,221.3,228.6,234,240.4,251.4,258.3,278.4,298.5,314.1,325.5,336.8,345.8,360.6,382.4,410.6,434.5,449,468.4,458.6,466,NA
"20","13","  Transportation","W589RC1",22.8,25,26.8,28,29.8,34.9,38.2,38.2,39.5,43.9,50.1,56,59.8,62.5,66.4,72.2,77.8,82.6,86.7,91.2,94.6,103.1,108,111.5,117.5,124.8,127.1,132.3,140.1,146.9,158.3,170.8,184.5,196.8,205.4,211.2,223,237.7,252.6,270.3,277.2,282.1,285.3,294.7,NA
"21","14","    Highways","W590RC1",19.1,20.9,22.6,23.1,24.4,28.7,31.5,31.2,32.1,35.6,40.5,44.7,47.8,49.7,51.7,56.7,61.6,65.9,69.3,72.9,74.6,81,83.9,86.2,90.8,96.8,99.9,103.8,110.6,115.8,125.3,133.9,144.6,148.1,150.6,157.4,169.6,185.4,199.1,210.2,212.1,214.4,217.3,224.6,NA
"22","15","    Air","W591RC1",1.5,1.9,2,2.2,2.3,2.6,2.7,2.8,2.9,3.3,3.7,4.2,4.3,4.3,5.3,5.7,6.4,7,7.5,8,8.8,9.8,11,12.2,12.9,12.6,11.7,12.6,13.3,14.4,15.3,16.5,18.3,24.3,26.9,26.7,26.7,26.7,27.7,30.2,32,32.9,32.6,33.6,NA
"23","16","    Water","W592RC1",1.3,1.3,1.4,1.6,1.7,2,2.2,2.3,2.5,2.9,3.5,4,4.3,4.5,5.2,5.4,5.5,5.3,5.5,5.9,6,6.4,7,7,7.1,7.3,7.2,7.5,7.4,8.2,8.5,10.5,10.9,10.6,12.4,11.8,12.5,13,12.9,14.9,15.6,17,17.7,18.1,NA
"24","17","    Transit and railroad","W593RC1",0.8,0.8,0.8,1.2,1.3,1.5,1.7,1.9,2,2.2,2.4,3,3.5,4,4.3,4.4,4.3,4.4,4.4,4.5,5.1,5.8,6.1,6.1,6.6,8.1,8.3,8.4,8.7,8.5,9.2,10,10.7,13.8,15.5,15.4,14.3,12.6,13,15.1,17.5,17.7,17.6,18.4,NA
"25","18","  Space","W595RC1",7.1,6.9,7,6.9,6.7,7.3,7.8,7.9,8.1,8.2,8.8,10.1,11.1,11.7,12.7,13.1,13.9,13.8,14.9,16.8,19.6,22.4,23.8,24,24.3,23.6,23.8,24.7,25,24.3,24,24,24.5,26.1,26.7,27.8,28.1,27.9,29.9,31.6,32.1,32.1,30.5,27.7,NA
"26","19","  Other economic affairs","W596RC1",13.5,14.1,16,17.8,18.8,20.9,24.8,27.6,31.4,38.3,41.8,47.9,55.8,55.6,58.7,56.4,63.7,67.9,64.4,57.6,64.3,69.7,70.8,78.6,79.6,80.2,83,83.4,86.3,87.1,96.1,103.7,105.1,102.6,104.6,106.9,109.5,116.8,128.1,132.5,139.6,154.2,142.8,143.6,NA
"27","20","    General economic and labor affairs","W585RC1",3.4,3.8,4.7,5.3,5.8,5.2,5.6,6.4,7.4,8.4,9.4,11.1,11.2,11.2,10.9,11.4,12.6,13.2,14.3,15,17.5,21.5,18.5,20.8,21.6,21.9,23,24.1,24.8,25.8,27.9,32.2,31.1,20.7,20.7,20.3,21.9,21.2,23.2,25.3,30.2,33,31.8,30.6,NA
"28","21","    Agriculture","W586RC1",3.3,2.5,2.7,2.7,2.8,3.1,4.2,4.3,4.6,5.4,5.8,8,8.2,10.7,12.7,9.4,13.5,18.4,13.1,5.8,10.1,9.7,11.7,13,12.1,11.6,11.2,11.3,13.2,12.5,14.7,15.3,16.8,17,16.1,16,15.7,18.1,16.8,17.1,16.2,20,17.3,17.7,NA
"29","22","    Energy","W587RC1",3.5,3.9,4.2,4.7,5,6.6,8,9.5,11.8,16,16.6,17.6,23.8,20.6,20.7,20.6,21.3,19.8,19.1,18.6,18,18.4,18.7,22.2,24,22.4,24,21.1,20.9,19.6,22.4,22.1,22.3,26.5,30.6,30.4,28.8,31.4,36.4,39.2,41.4,46.7,39.3,41,NA
"30","23","    Natural resources","W588RC1",3,3.6,4,4.4,4.5,5.2,6.2,6.4,6.8,7.7,9.1,10.2,11.5,11.9,13.1,13.4,14.5,14.6,15.2,15.9,16.5,17.3,18.5,19.3,19.2,21.6,21.9,23.2,23.3,24.7,25.9,29.1,30.5,35.1,34.3,36.6,38.7,41.5,47,46.6,47.7,50.8,51,51.2,NA
"31","24","    Postal service","W594RC1",0.3,0.3,0.4,0.6,0.6,0.6,0.6,0.8,0.6,0.7,0.7,0.8,1,1,1.1,1.5,1.5,1.5,2.4,2,2,2.5,3,3.1,2.5,2.5,2.7,3.3,3.9,4.2,4.8,4.5,3.9,2.8,2.6,3.1,3.7,4,4,3.5,3.3,3,2.7,2.5,NA
"32","25","    Other","W684RC1",0.1,0.1,0,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.1,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.4,0.5,0.6,0.6,0.7,0.8,0.8,0.7,0.6,0.7,NA
"33","26","Housing and community services","W597RC1",5.2,5.6,6.3,6.4,7.2,8.5,9.7,10.1,10,11.9,13.1,15.7,15.7,15.3,14.8,16.4,17.8,20.1,22.1,23.2,24.3,26.6,27.7,28.1,27.9,26.6,27.6,30,31.4,32,34.2,33.1,37.9,41.9,44,45.8,49.2,57.3,59.5,61.5,60.5,63.8,58.5,55.4,NA
"34","27","Health","W598RC1",10.8,12.6,14.3,16.2,18.1,20.8,23.6,24.7,26.7,29.6,31.6,36.3,38.9,40.3,42.6,46.4,49.8,52,55.8,60.9,66,71.8,76.3,79,81,84.2,86,87.7,89.2,93.3,101.1,109.7,116,130.1,142.2,150,162.2,167.2,183.7,201.7,209.5,218.4,226.1,237.3,NA
"35","28","Recreation and culture","W599RC1",2.3,2.6,2.9,3.1,3.4,4.2,5,5.1,5.4,6,6.6,7.1,7.5,8,8.3,8.9,9.9,10.7,11.3,12.1,13.5,15,15.9,16.7,17.1,18.1,19.4,20.7,22.4,23.7,25,28.1,30.6,33,32.9,34.4,36.6,37.9,40.9,43.2,43.3,42.9,41.8,41.6,NA
"36","29","Education","W600RC1",48.4,54.6,61,66.8,72.9,81.2,92.3,98.8,105.1,112.9,124.2,135.2,145.5,154.9,163.9,178.1,194.1,210.9,226.1,244.5,269,292.7,311.3,329.3,343.3,362.4,387.9,408.4,434.1,460.3,495.3,536,574.1,593.2,617,652.7,686.1,728,776.1,816.8,828.4,830.9,822.5,822.1,NA
"37","30","  Elementary and secondary","W601RC1",37.1,41.2,46.1,50.3,54.5,60.8,69.4,74.4,79.3,85.4,94.2,102.1,108.8,115.8,123.4,134.6,146.3,159.8,172.6,186.7,205,223.7,238.9,253.6,262.6,276,296.8,314.1,334.6,355.2,382.9,412.9,439.1,459.3,483,509.2,535.8,570.2,602.8,630.6,637.2,636.8,621.3,602.3,NA
"38","31","  Higher","W602RC1",8.6,10.2,11.3,12.5,14.3,15.9,17.5,18.8,20,21.4,23.4,25.9,29,31.1,32.2,34.5,38.1,40.7,42.4,45.8,50.8,54.9,57.7,60.3,64.6,69.2,72.7,74.9,79.3,83.8,89.6,98.1,107.5,105.1,104.8,113.2,118.5,125.5,139.8,151.1,154.9,157.1,164,181.9,NA
"39","32","  Libraries and other","W682RC1",2.7,3.2,3.6,4,4.2,4.6,5.4,5.6,5.8,6.1,6.6,7.1,7.7,7.9,8.3,9.1,9.7,10.4,11.1,12,13.2,14.1,14.7,15.3,16,17.2,18.3,19.4,20.2,21.2,22.7,25,27.4,28.8,29.2,30.3,31.7,32.3,33.6,35.1,36.3,37,37.2,37.9,NA
"40","33","    Libraries","W603RC1",0.7,0.8,0.8,0.9,1,1.1,1.3,1.3,1.4,1.5,1.7,1.9,2,2.2,2.4,2.6,2.9,3.2,3.5,3.8,4.1,4.5,4.9,5.1,5.2,5.5,5.9,6.3,6.8,7,7.5,8,8.7,9.3,9.6,10.4,11,11.5,12.2,12.9,13.2,12.8,12.6,12.7,NA
"41","34","    Other","W604RC1",2,2.4,2.8,3.1,3.2,3.4,4.1,4.2,4.4,4.6,4.9,5.3,5.7,5.7,5.9,6.4,6.8,7.1,7.6,8.2,9.1,9.6,9.8,10.2,10.8,11.7,12.5,13,13.4,14.2,15.3,17,18.8,19.6,19.5,19.9,20.7,20.8,21.4,22.2,23.1,24.2,24.6,25.2,NA
"42","35","Income security","W605RC1",3.5,4.2,4.9,6,6.8,8.5,9.3,10.5,12.1,13.1,14.3,15.9,16.8,17.5,19.3,20.8,22.2,23,24.3,26,28.9,32.3,35.4,39.7,41.5,45.3,47.3,48.4,51.6,56.1,60,64.9,71.1,79.6,81.6,81.9,87.8,96.9,91,92.9,94.7,96.2,93.8,94.3,NA
"43","36","  Disability","W606RC1",0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.6,0.5,0.6,0.7,0.7,0.9,1,1.1,1.2,0.9,1.2,1.1,1.3,1.5,1.8,2.1,2.1,2.5,2.8,2.9,3.1,3.5,3.2,3.3,3.6,4.8,5.1,5,5.3,5.5,5.2,4.8,4.6,4.2,4.1,4,NA
"44","37","  Retirement \1\","W607RC1",0.5,0.5,0.5,0.7,0.7,0.8,0.8,0.8,0.9,1,1,1,1,1.2,1.1,1.1,1,1,1,1,1,0.9,1,1.1,1.1,1,1.1,0.9,1,1.3,0.7,1.3,1.2,1.7,2,1.9,2.1,2.5,2.6,2.6,3,3,2.6,2.7,NA
"45","38","  Welfare and social services","W608RC1",2.8,3.3,4,4.8,5.5,6.9,7.7,8.8,10.1,11,12.1,13.3,14.2,14.7,16.4,17.8,19.2,20.3,21.4,23.1,25.8,29,31.6,34.5,36.6,39.4,41.3,42.3,45.2,48.9,53.6,57.9,63.4,69.8,70.5,70.8,73.3,74.4,76.1,79.6,81.6,84,82,82.7,NA
"46","39","  Unemployment","W609RC1",0,0.1,0,0.1,0,0,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0,0,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.3,0.2,0.3,0.1,0.2,0.3,0.2,0.1,0.2,0.2,0.2,NA
"47","40","  Other","W610RC1",0.1,0.2,0.1,0.1,0.3,0.4,0.4,0.4,0.6,0.5,0.6,0.9,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.7,0.7,0.9,1.9,1.6,2.3,2,2.2,2.2,2.3,2.4,2.3,2.6,2.9,3.7,3.9,7,14.3,6.8,5.7,5.3,4.7,5,4.7,NA
"48","41","      Federal","A823RC1",131.1,132.7,134.4,141.5,145.6,158.1,172.8,183.8,198.8,216.7,237.7,272.4,311.7,345.6,380.2,407.6,449.3,478.4,500.2,508.8,531.4,560,580.7,586.6,578.4,572.7,575.4,578.2,582.4,584.1,610.4,632.4,669.2,740.6,824.8,892.4,946.3,1002,1049.8,1155.6,1217.7,1303.9,1304.1,1295.7,1245.9
"49","42","General public service","W611RC1",3.7,4.7,5.9,6.5,6.9,8.4,9.1,9.6,10.2,10.4,11.7,12.8,12.7,14.2,13.7,13.9,16.2,17.2,18.1,17.9,18.6,21.8,24,24.5,21.9,21.8,24.7,21.3,24.1,23.1,24.9,23.6,28.8,34.7,36.9,45.8,47.7,50.2,53.6,59.1,64.4,69.1,68.9,72.2,NA
"50","43","  Executive and legislative","W612RC1",2,2.5,3.2,3.6,3.9,5,5.2,5.3,5.6,6,7.4,8.4,8.2,9,7.5,8.2,9,8.9,9.6,8.6,8.6,11,11.3,11.2,12.1,12.1,14.5,11.8,13.4,13.2,13.4,14,15.4,21.5,24.2,32.5,34.2,35.3,38,41.9,47.5,50.6,53.3,54.7,NA
"51","44","  Tax collection and financial management","W613RC1",1.7,2.1,2.6,2.9,3,3.4,3.9,4.3,4.6,4.4,4.3,4.4,4.5,5.2,6.2,5.6,7.2,8.3,8.4,9.4,10,10.8,12.7,13.3,9.8,9.8,10.2,9.6,10.7,9.8,11.5,9.5,13.4,13.2,12.7,13.3,13.6,14.9,15.5,17.1,16.9,18.6,15.6,17.5,NA
"52","45","  Other \2\","W614RC1",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","46","National defense","A824RC1",102.1,100.7,98,100.6,102,109.2,117,123.8,132.8,143,157.8,181,211.2,242.8,269.3,294.7,326,349.2,369.9,379.6,388.6,402.8,412,404.7,390.1,380.3,376,376.5,371.4,367.7,382.7,391.7,412.7,456.8,519.9,570.2,608.3,642.4,678.7,754.1,788.3,832.8,835.8,817.1,770.7
"54","47","Public order and safety","W615RC1",0.7,0.9,1,1.3,1.5,1.7,2,2.3,2.5,2.8,3.1,3.4,3.5,3.7,4.3,4.9,5.3,5.8,6.4,7.9,8.8,9.4,11.1,12.4,15.6,16.1,16.8,18.9,19.9,21,23,26,27.9,33.8,36.4,39.5,41.7,44.8,47.7,54.6,58.1,59.6,61.2,62.4,NA
"55","48","  Police","W616RC1",0.4,0.5,0.7,0.9,1,1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.3,2.7,3,3.1,3.4,4.2,4.5,4.7,5,5.8,8.1,8.1,7.8,9,10.1,10.8,11.5,13.2,13.9,19.1,22.5,25.9,27.6,29.5,31.9,37.8,40.3,41.1,42.6,43.4,NA
"56","49","  Fire","W617RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0,0.1,0.2,0.4,0.8,0.3,0.2,0.9,0.6,0.9,1.2,1.1,1.1,1,NA
"57","50","  Law courts","W618RC1",0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.6,0.7,0.8,1,1.2,1.3,1.3,1.4,1.6,1.8,1.9,2.2,2.6,2.9,3.3,3.9,4.3,4.8,5,5.6,6.1,6.1,6.7,7.3,7.9,8.7,8.7,7.6,7.6,8.1,8.5,8.9,9.2,9.7,10.4,10.3,10.5,NA
"58","51","  Prisons","W619RC1",0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.4,0.5,0.5,0.6,0.6,0.8,0.8,1.1,1.3,1.4,2.1,2.3,2.7,3,3.4,3.6,3.6,3.4,4.1,4.7,5.1,5.5,5.5,5.7,5.8,6,6.2,6.8,6.9,7,7.2,7.4,NA
"59","52","Economic affairs","W620RC1",18.2,18.8,20.7,22.2,22.8,24.7,28.7,30.7,34.3,39.9,43.2,49.8,57.2,57.3,62.4,60.6,66.7,69.9,67.6,62.6,71.4,78.9,82,89.2,90.7,91.2,92.1,93.7,95.8,96.1,101.5,106.2,106.2,108.6,113.8,115.6,117.7,123,129.9,137.3,144.9,165.7,155.4,152.1,NA
"60","53","  Transportation","W625RC1",2.4,2.9,3.3,3.7,4,4.4,4.7,4.9,5.4,6,6.7,7.4,7.8,8.1,9.4,10,10.5,10.5,10.7,11.3,11.9,12.8,14.5,15.3,16.2,17.5,16.5,17.2,17.5,18.5,18.5,19,20.6,26.6,30.8,30.6,31.9,33.8,33.8,37.4,38.5,41.5,43.5,44.7,NA
"61","54","    Highways","W626RC1",0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.4,0.5,0.5,0.5,0.6,0.5,0.5,0.6,0.6,0.6,0.6,0.5,0.5,0.6,0.7,0.7,1.6,1.8,1.4,1.3,1.5,1.5,1.4,1.5,1.6,2,2,2.1,2.5,2.6,2.8,2.8,2.7,3.1,3.2,3.5,NA
"62","55","    Air","W627RC1",1,1.3,1.5,1.6,1.7,1.9,2,2.1,2.3,2.5,2.6,2.9,3,3,3.8,4,4.6,4.9,5,5.4,5.9,6.4,7.2,7.7,8.1,8.5,8.4,8.8,8.8,9.2,9.4,9.4,10.5,16,18.4,17.8,18.1,19.3,19.4,21.2,21.8,22.8,23.6,24.6,NA
"63","56","    Water","W628RC1",1,1.1,1.2,1.3,1.5,1.7,1.9,1.9,2.2,2.5,2.9,3.3,3.5,3.9,4.5,4.7,4.8,4.5,4.7,5,5.1,5.5,6.2,6.3,6.1,6.3,6.2,6.3,6.3,6.9,7.2,7.6,8,8.1,9.9,10.2,10.9,11.5,11.1,13,13.6,15,15.7,15.6,NA
"64","57","    Transit and railroad","W629RC1",0.2,0.2,0.3,0.3,0.4,0.3,0.3,0.3,0.5,0.6,0.7,0.7,0.8,0.7,0.6,0.7,0.6,0.5,0.4,0.4,0.3,0.3,0.4,0.6,0.4,0.9,0.7,0.8,1,0.8,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.4,0.5,0.4,0.4,0.6,0.9,0.9,NA
"65","58","  Space","W631RC1",7.1,6.9,7,6.9,6.7,7.3,7.8,7.9,8.1,8.2,8.8,10.1,11.1,11.7,12.7,13.1,13.9,13.8,14.9,16.8,19.6,22.4,23.8,24,24.3,23.6,23.8,24.7,25,24.3,24,24,24.5,26.1,26.7,27.8,28.1,27.9,29.9,31.6,32.1,32.1,30.5,27.7,NA
"66","59","  Other economic affairs","W632RC1",8.7,8.9,10.4,11.6,12.1,13.1,16.2,17.9,20.8,25.6,27.7,32.3,38.3,37.5,40.3,37.5,42.2,45.6,41.9,34.4,39.9,43.6,43.7,49.9,50.2,50.1,51.7,51.7,53.3,53.3,59,63.2,61.1,55.9,56.3,57.3,57.7,61.3,66.2,68.2,74.2,92.1,81.5,79.8,NA
"67","60","    General economic and labor affairs","W621RC1",1.9,2,2.6,3,3.2,2.3,2.3,2.8,3.4,4,4.5,5.7,5.4,5.1,4.9,5.1,6,6,6.3,6.7,8.3,11.4,8,9.3,9.7,9.7,10.6,11.3,11.5,11.9,13,16.5,13.2,1.4,2,1.1,1.7,0.2,1.6,2.7,7.4,11.5,10.2,7.8,NA
"68","61","    Agriculture","W622RC1",2.6,1.8,2,1.9,1.9,2.1,3,3,3.2,3.9,4.1,6.1,6.2,8.5,10.3,6.7,10.6,15.3,9.9,2.5,6.6,5.9,7.8,9,8,7.5,7,7,8.6,7.7,9.3,9.3,10.6,10.8,9.9,9.8,9.5,12.1,10.6,10.7,9.9,13.7,10.7,10.7,NA
"69","62","    Energy","W623RC1",2.4,2.8,3,3.4,3.6,4.8,6.3,7.3,9.1,12,12.3,13,18.1,15.2,15.5,15.7,15.1,14,14.4,14,13.9,14.3,14.6,17.6,19.4,18.4,20,17.5,17.1,16.3,18.3,17.3,17.3,20.9,22.9,23.5,21.3,22.3,23.7,26.6,27.7,33.9,27.7,28.9,NA
"70","63","    Natural resources","W624RC1",1.5,2,2.4,2.8,2.8,3.2,3.9,4,4.4,5.1,6.1,6.6,7.6,7.7,8.6,8.4,9,8.7,8.9,9.2,9.2,9.5,10.5,10.9,10.5,12,11.5,12.5,12.1,13.2,13.6,15.5,16.1,20,18.9,19.8,21.4,22.8,26.3,24.7,25.9,30.1,30.1,29.8,NA
"71","64","    Postal service","W630RC1",0.3,0.3,0.4,0.6,0.6,0.6,0.6,0.8,0.6,0.7,0.7,0.8,1,1,1.1,1.5,1.5,1.5,2.4,2,2,2.5,3,3.1,2.5,2.5,2.7,3.3,3.9,4.2,4.8,4.5,3.9,2.8,2.6,3.1,3.7,4,4,3.5,3.3,3,2.7,2.5,NA
"72","65","Housing and community services","W633RC1",0.2,0.4,0.7,0.7,0.8,0.7,0.6,0.6,0.6,0.5,0.4,0.6,0.7,0.6,0.7,0.7,0.7,1,0.8,0.7,0.8,0.8,0.7,0.7,1.9,0.9,0.7,0.7,0.9,1.5,1.5,-0.1,0.7,1.1,1.3,0.8,1.5,1.2,1.5,1.9,1.8,2.1,2.4,2.3,NA
"73","66","Health","W634RC1",4.2,5,5.5,7,8.3,9.2,10.8,11.7,12.4,14.1,15,17.5,19,19.7,22.5,25,26.6,27.9,29.6,32.3,34.7,37.3,40.8,43.2,46.3,49.3,51.5,53.3,55.8,58.8,61,67.8,74.2,82.2,91.7,94.8,98.4,101.9,108,118.5,128.6,139.4,147.7,156.6,NA
"74","67","Recreation and culture","W635RC1",0.4,0.4,0.5,0.6,0.6,0.8,0.9,1,1.1,1.2,1.2,1.2,1.3,1.3,1.1,1.2,1.3,1.3,1.3,1.4,1.5,1.5,1.8,2,2.2,2.3,2.4,2.5,2.8,3.1,2.8,3.3,3.4,4.1,4.3,4.5,4.6,4.5,4.6,5,5.2,6,5.6,5.5,NA
