"","Table 3#5# Taxes on Production and Imports                      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"24","17","      Gasoline","L305141",6,6.4,6.9,7.6,8.3,8.1,8.4,9,9.3,9.7,9.7,9.6,10.1,10.5,11.6,12.9,14,14.9,16.5,17.6,18.6,20.1,21.4,22.9,24,25.2,25.7,26.6,27.7,28.6,29.6,30.4,31.6,32.4,32.7,33.9,35.1,36.3,37.4,36.9,36.4,38.3,39.7,40.2
"25","18","      Alcoholic beverages \3\","L305151",1.3,1.5,1.6,1.7,1.9,2,2,2.1,2.2,2.3,2.4,2.5,2.7,2.7,2.8,3,3.1,3.1,3.2,3.1,3.1,3.3,3.5,3.6,3.6,3.6,3.6,3.7,3.7,3.8,4,4.1,4.2,4.3,4.5,4.6,4.8,5.1,5.2,5.3,5.4,5.7,5.8,6
"26","19","      Tobacco \3\","L305161",2.1,2.4,2.6,3,3.2,3.3,3.3,3.5,3.6,3.7,3.7,3.8,3.9,4.1,4,4.2,4.4,4.6,4.7,4.8,5.4,5.8,6.1,6.1,6.5,7,7.3,7.5,7.5,8.1,8.2,8.5,8.6,10.4,11.8,12.7,13.7,14.7,15.9,16.5,16.5,17.2,17.2,17.3
"27","20","      Public utilities \4\","L305171",0.8,0.9,1.2,1.3,1.4,1.5,1.9,2.1,2.4,2.7,2.9,3.7,4.6,5.4,5.9,5.9,6.2,6,6.1,6.1,6.2,6.7,7,7.9,8,8.5,7.9,8.9,8.9,8.8,9.4,8.8,9.8,10.3,10.5,10.6,11.7,14.1,14.7,14.8,14.8,14.7,14.6,14.4
"28","21","      Insurance receipts \4\","L305181",1.2,1.1,1.4,1.4,1.6,1.7,1.7,2,2.4,2.7,2.9,3.2,3.4,3.5,4,4.2,4.8,5.9,6.7,7.3,7.3,7.5,7.9,7.9,8.1,8.5,9,8.9,9.2,9.6,9.7,9.8,10.4,11.6,13.1,14.5,15.1,15.2,15.5,15.7,15.5,15.6,16.5,16.8
"29","22","      Other \4\","L305191",0.9,1,1.2,1.3,1.5,1.5,1.6,1.9,2.1,2.2,2.3,2.4,2.7,3,3.5,4.1,4.3,4.4,4.5,5.1,5.2,5.7,6.6,9.2,10.9,11,11.9,12.5,12.9,14.8,16,16,15.7,17.1,19.3,19.5,23.7,26.2,29.1,28.2,27.6,33.4,36.5,37.4
"30","23","    Local","A1667C1",2.9,3.5,4,4.6,5.2,6.1,7,7.9,9,10.2,11.5,12.8,14.3,15.9,17.7,20.1,22.1,24.1,25.7,27.2,30.1,31.8,33.2,34.6,37,39.7,42.2,44.4,47.4,50.6,55.6,61.3,61.9,63.1,66.8,70.5,76.8,85.2,90,90.4,88.3,91.2,93.8,95.7
"31","24","      General","L305211",1.8,2.2,2.5,3,3.4,4.1,4.6,5.2,5.9,6.7,7.7,8.8,9.8,10.8,12.2,14,15.5,16.9,17.9,18.8,21,22.2,23,23.9,25.5,27.5,29.3,30.6,32.8,35.4,39.5,43.6,43.6,44.1,46.7,49.2,53.8,60.7,64.4,64.1,62.3,64.7,66.6,68
"32","25","      Public utilities","L305221",0.6,0.7,0.9,1,1.1,1.3,1.5,1.8,2,2.3,2.5,2.6,2.8,3.2,3.5,3.8,4,4.1,4.3,4.5,4.8,5.1,5.6,6,6.5,6.8,7.2,7.5,7.9,8.2,8.5,9.2,9.9,10.4,10.6,11.3,12,12.7,13.2,13.7,13.7,14,14.2,14.3
"33","26","      Other","L305231",0.4,0.5,0.6,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.7,1.8,2,2.3,2.6,3.1,3.5,3.9,4.2,4.4,4.6,4.7,5,5.4,5.7,6.2,6.7,7,7.6,8.5,8.4,8.6,9.4,10,11,11.8,12.4,12.7,12.3,12.6,13.1,13.4
"34","27","  Property taxes","B249RC1",32.8,36.7,40.4,43.2,46.4,49,53.4,58.2,63.2,63.7,64.4,68.8,77.1,85.3,91.9,99.7,107.5,116.2,126.4,136.5,149.9,161.5,176.1,184.7,187.3,199.4,202.6,212.4,223.5,231,242.8,254.7,268,289.3,307,326.2,351.3,375,403.8,413.8,435.1,435,436.9,440
"35","28","  Motor vehicle licenses","S230201",1.1,1.1,1.2,1.3,1.4,1.5,1.4,1.6,1.6,1.7,1.8,2,2.1,2.1,2.1,2.3,2.6,2.7,3,3.2,3.4,3.6,3.7,4,4.5,4.9,5.5,5.4,5.8,6.1,6.3,6.7,6.6,6.9,7.2,7.7,7.9,8.3,8.5,8.4,8.7,9.1,9.5,9.8
"36","29","  Severance taxes \5\","S230431",0.7,0.7,0.7,0.8,0.9,1.6,1.8,2.1,2.3,2.6,3.5,5,7.5,7.8,7.1,7.3,7,5,4.3,4.1,4.4,5.2,5.1,4.8,4.4,4.4,4,4.5,4.7,3.6,3.5,5.3,5.8,4.3,5.9,7.1,9.2,10.7,12.9,21.3,8.7,11.8,17.4,17.3
"37","30","  Special assessments","S230551",0.5,0.6,0.7,0.8,0.8,0.8,0.9,0.9,0.9,1.1,1.2,1.3,1.5,1.6,1.8,2,2.1,2.3,2.5,2.4,2.4,2.4,2.5,2.8,2.9,3.1,3.1,3.4,3.7,3.7,3.8,3.9,4.5,5.6,6.2,6.3,6.8,7.8,7.8,7.5,7.5,7.4,7.6,8
"38","31","  Other taxes \6\","S230401",2.5,2.6,3.1,3.6,3.9,3.8,4,4.4,4.8,5.5,6.2,6.8,6.8,7,8.4,10.1,11.8,13.6,15.1,16,16.8,17.1,17.4,19.6,21.4,23.1,24.4,26,27.4,30.6,32.2,33.9,35.7,38.7,42.7,50.4,57.4,59.1,58.1,52.2,51,51,53.5,55
"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","1. Consists largely of taxes on telephone services, tires, coal, nuclear fuel,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","and trucks, and of refunds other than those for alcoholic beverages and tobacco.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2. Consists of the capital stock tax in 1933-45.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","3. For 1929-30, included in line 31.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","4. Prior to 1958, included in line 31.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","5. Prior to 1959, included in line 31.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","6. Consists largely of business licenses and of documentary and stamp taxes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","See also footnotes 3, 4, and 5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
