"","Table 6#21B# Undistributed Corporate Profits by Industry        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"22","15","      Furniture and fixtures","B3415C0",77,53,95,67,65,50,47,97,102,73,52,69,47,63,91,114,146,195,189,178,210,203
"23","16","      Stone, clay, and glass products","B3416C0",238,209,312,249,187,228,295,477,416,366,379,506,317,288,305,392,458,451,391,286,353,379
"24","17","      Primary metal industries","B3417C0",912,617,948,893,579,836,573,1107,1163,1035,499,740,607,164,331,676,1011,1413,1600,1120,722,577
"25","18","      Fabricated metal products","B3418C0",475,261,488,424,329,350,328,442,458,431,314,384,239,293,431,516,620,933,1138,1071,900,788
"26","19","      Machinery, except electrical","B3419C0",784,517,729,749,713,673,650,726,950,761,364,775,535,513,829,896,1398,1701,1958,1806,1574,1320
"27","20","      Electric and electronic equipment","B3420C0",435,292,548,385,462,467,454,508,693,818,793,951,811,791,916,952,949,1550,1888,1772,1716,1565
"28","21","      Motor vehicles and equipment","B3421C0",862,844,980,597,660,742,668,1494,715,756,-18,1012,985,698,1234,1252,1153,1847,1499,988,1536,1267
"29","22","      Other transportation equipment","B3422C0",80,44,135,101,148,204,235,265,465,477,362,138,63,84,343,358,431,654,826,995,1147,526
"30","23","      Instruments and related products","B3423C0",84,61,106,113,106,113,160,153,160,156,147,219,179,192,250,273,312,460,570,551,555,606
"31","24","      Miscellaneous manufacturing industries","B3424C0",143,81,167,119,91,89,95,117,107,102,86,119,77,67,115,137,163,215,207,226,204,146
"32","25","    Nondurable goods","A3425C0",4891,3207,4633,3674,3140,3623,4037,5134,5306,4670,4095,5433,5084,4896,4665,5154,5609,6361,7753,7450,7418,6960
"33","26","      Food and kindred products","B3426C0",543,546,622,347,335,367,432,561,553,482,609,725,670,678,680,871,885,966,1140,1044,936,922
"34","27","      Tobacco manufactures","B3427C0",64,72,65,42,39,60,72,99,93,97,108,117,123,133,122,126,124,114,132,182,150,175
"35","28","      Textile mill products","B3428C0",662,199,455,226,56,76,1,148,157,109,102,286,208,173,238,248,337,474,444,333,378,311
"36","29","      Apparel and other textile products","B3429C0",129,59,133,46,71,56,65,96,96,80,92,136,129,140,186,187,231,290,352,362,390,314
"37","30","      Paper and allied products","B3430C0",355,229,400,357,260,255,275,368,434,297,226,356,303,259,276,325,361,465,606,497,564,639
"38","31","      Printing and publishing","B3431C0",275,254,248,226,238,238,252,347,365,373,322,454,440,417,474,527,638,821,1023,918,889,962
"39","32","      Chemicals and allied products","B3432C0",683,574,881,674,531,638,716,971,1033,1007,832,1227,1122,1054,704,1206,1113,1056,1895,1476,1416,1346
"40","33","      Petroleum and coal products","B3433C0",2009,1186,1558,1561,1437,1746,2058,2301,2354,2047,1625,1898,1895,1812,1711,1397,1593,1798,1703,2210,2109,1806
"41","34","      Rubber and miscellaneous plastics products","B3434C0",129,69,214,184,138,160,130,192,179,135,154,174,162,191,223,215,254,287,349,304,462,426
"42","35","      Leather and leather products","B3435C0",40,18,58,12,35,27,35,50,41,44,26,60,32,39,51,52,73,90,109,124,123,58
"43","36","  Transportation and public utilities","A3436C0",923,681,1104,875,887,889,630,980,943,668,485,881,955,822,1235,1694,1869,2467,2931,1847,1021,967
"44","37","    Transportation","A3437C0",690,417,764,567,491,353,5,223,169,-14,-134,1,-211,-176,10,167,262,543,584,-50,-440,-714
"45","38","      Railroad transportation","B3438C0",493,228,513,303,310,198,-149,11,-24,-78,-204,-133,-200,-211,-181,-87,-150,-85,-27,-415,-420,-412
"46","39","      Local and interurban passenger transit","B3439C0",13,-8,-3,5,-2,-7,-17,-3,-11,-2,-1,23,11,-3,10,9,21,40,28,9,7,5
"47","40","      Trucking and warehousing","B3440C0",97,87,130,84,81,85,77,99,63,75,69,113,57,119,182,157,181,265,250,159,235,171
"48","41","      Water transportation","B3441C0",40,50,39,66,12,13,-17,14,68,-28,-15,-12,-19,17,7,36,61,56,85,56,55,-15
"49","42","      Transportation by air","B3442C0",-1,17,43,44,26,30,42,47,18,-41,-15,-32,-81,-126,-30,43,146,264,235,128,-260,-372
"50","43","      Pipelines, except natural gas","B3443C0",29,28,23,43,45,20,50,34,35,40,15,36,2,22,33,7,-7,-8,-14,-21,-34,-32
"51","44","      Transportation services","B3444C0",18,15,19,21,19,14,19,21,20,19,17,6,19,5,-11,2,10,10,26,33,-24,-58
"52","45","    Communication","A3445C0",53,59,187,231,302,376,459,644,646,602,666,766,836,830,984,1116,1038,1377,1729,1484,1248,1478
"53","46","      Telephone and telegraph","B3446C0",33,27,120,90,108,149,177,269,211,187,298,372,423,482,644,762,739,911,991,996,880,1041
"54","47","      Radio and television","B3447C0",21,32,66,141,194,226,282,374,435,415,368,394,413,348,341,354,299,466,738,487,368,437
"55","48","    Electric, gas, and sanitary services","B3448C0",181,204,153,78,94,161,166,113,128,81,-48,113,330,168,241,411,568,547,618,413,213,203
"56","49","  Wholesale trade","B3449C0",1172,654,1333,998,729,700,634,1099,1202,1080,1019,1345,1109,1140,1284,1439,1758,2116,2261,2124,2540,2831
"57","50","  Retail trade","B3450C0",1683,1113,1531,973,847,724,719,1049,975,896,890,1220,867,1111,1372,1488,2099,2441,2357,2853,3103,3196
"58","51","  Finance, insurance, and real estate","A3451C0",1904,2240,1916,2098,2470,2642,2804,3170,3280,3087,3036,3836,3958,3956,4396,3559,3607,4788,5580,5273,5889,5649
"59","52","    Banking","J3452C0",845,818,779,937,940,994,864,1292,1604,1514,1154,1687,1751,1560,1553,1850,1508,2305,2579,2418,3109,4118
"60","53","      Federal Reserve banks","B3453C0",49,30,-20,25,39,35,30,26,47,62,50,-188,31,68,40,45,-478,13,2,11,1,17
"61","54","      Commercial and mutual banks","J3454C0",796,788,799,912,901,959,834,1266,1557,1452,1104,1875,1720,1492,1513,1805,1986,2292,2577,2407,3108,4101
"62","55","    Credit agencies other than banks","J3455C0",213,293,356,377,546,478,568,686,779,808,931,1002,1026,1161,1243,1072,1152,1179,1055,1082,1086,996
"63","56","    Security and commodity brokers","B3456C0",2,14,15,4,4,20,42,12,13,9,7,30,19,34,-10,17,33,57,82,159,224,-84
"64","57","    Insurance carriers","B3457C0",629,848,549,570,762,866,986,856,604,438,641,847,916,1001,1004,650,610,647,1343,1313,1165,718
"65","58","    Insurance agents, brokers, and service","B3458C0",30,29,27,26,37,32,36,35,50,51,60,69,72,44,79,78,96,105,143,120,147,160
"66","59","    Real estate","B3459C0",219,245,246,192,185,221,288,246,135,158,202,165,121,29,70,-2,115,91,307,206,225,22
"67","60","    Holding and other investment offices","B3460C0",-34,-8,-56,-8,-3,31,19,42,95,109,41,36,53,127,457,-106,93,404,71,-25,-66,-282
"68","61","  Services","A3461C0",330,326,251,125,149,187,173,279,232,310,291,440,261,525,430,627,764,1148,1411,1618,1789,1200
"69","62","    Hotels and other lodging places","B3462C0",59,53,39,34,32,25,22,1,12,11,-6,-13,-37,-54,-55,-62,-62,-29,14,32,67,51
"70","63","    Personal services","B3463C0",36,37,29,31,30,32,32,35,47,54,61,63,57,53,48,64,112,150,149,153,155,143
"71","64","    Business services","B3464C0",60,56,66,66,68,75,76,95,126,155,148,161,124,203,165,214,255,315,408,402,249,105
"72","65","    Auto repair, services, and parking","B3465C0",11,8,12,13,15,11,9,12,8,-5,6,26,17,17,40,22,37,52,47,48,92,85
"73","66","    Miscellaneous repair services","B3466C0",7,5,0,-1,-2,-6,-17,-11,-5,-11,-15,-8,7,11,15,11,29,32,36,30,30,44
"74","67","    Motion pictures","B3467C0",82,113,73,-68,-58,-9,13,83,-51,-7,-7,67,-33,181,67,205,226,444,405,456,738,256
"75","68","    Amusement and recreation services","B3468C0",23,7,-16,-12,0,-6,-23,-19,-17,-7,-4,17,3,-12,-13,-12,2,-15,42,42,39,58
"76","69","    Other services","A3469C0",52,47,48,62,63,65,60,82,111,119,109,126,123,126,163,185,164,199,310,454,419,457
"77","70","      Health services","B3470C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,50,49,50,103,110,119
"78","71","      Legal services","B3471C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,18,10,19,11,8,-10
"79","72","      Educational services","B3472C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,3,2,2,19,28
"80","73","      Other \1\","B3473C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137,96,137,238,338,281,322
"81","74","Rest of the world","A3474C0",425,293,285,582,789,663,540,775,1008,1206,789,856,1181,921,1101,1407,1266,1375,1686,1595,2268,2759
"82","75","  Receipts from the rest of the world \2\","B3475C0",581,436,475,751,923,826,702,962,1175,1363,945,1089,1357,1161,1316,1645,1595,1736,2031,2042,2763,3198
"83","76","  Less: Payments to the rest of the world \3\","B3476C0",156,143,190,169,134,163,162,187,167,157,156,233,176,240,215,238,329,361,345,447,495,439
"84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","1. Consists of social services, membership organizations, and miscellaneous professional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","2. Consists of receipts by all U.S. residents of their share of the reinvested earnings of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","their incorporated foreign affiliates and reinvested earnings of their unincorporated foreign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","affiliates.  Prior to 1982, reinvested earnings of unincorporated foreign affiliates were",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","treated as dividends.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","3. Consists of payments to foreign residents of their share of the reinvested earnings of their",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","incorporated U.S. affiliates and reinvested earnings of their unincorporated U.S. affiliates.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Prior to 1980, reinvested earnings of unincorporated  U.S. affiliates were treated as dividends.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
