"","Table 3#19# Relation of State and Local Government Current Recei","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"44","35","  Purchases of land","L319321",1,1,1.1,1.2,1.3,1.5,1.5,1.6,1.6,1.7,1.8
"45","36","  Indian tribal government expenditures","W725RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","37","  Imputed banking and insurance services","W726RC1",-0.4,-0.3,-0.4,-0.4,-0.4,-0.4,-0.4,-0.5,-0.5,-0.6,-0.7
"47","38","  Other","L319331",-0.1,-0.1,-0.1,-0.1,0,0,0,0.1,-0.1,0.1,0
"48","39","Less: Netting and grossing differences","L319341",8.6,9.4,10.1,11,12,13.1,14.3,15.8,17.4,19.3,21.5
"49","40","  Current expenditures of government enterprises \8\","W727RC1",5,5.4,5.8,6.1,6.5,7.1,7.6,8.1,8.7,9.6,10.5
"50","41","  Government sales included in Census total revenue \9\","L319361",3.3,3.7,4,4.6,5.2,5.7,6.5,7.4,8.3,9.4,10.5
"51","42","  Insurance claims included in Census total revenue","W728RC1",0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4
"52","43","  Employer contributions to own social insurance funds","L319381",0,0,0,0,0,0,0,0,0,0,0
"53","44","Plus: Timing and other differences \10\","L319391",-0.8,-1,-1.2,-0.5,-1.4,0,0.2,0.3,-0.6,1.7,0.2
"54","45","Equals: State and local government current expenditures, NIPAs","L319401",37.1,39.8,43.5,47,49.7,54.1,58.8,65,72.5,82.5,94
"55",NA,"      Net state and local government saving"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","46","Census total revenue less Census total expenditures (1-25)","L319411",-4.6,-0.7,-2.5,-1.1,-0.4,0.9,1.2,2.7,0.6,1.3,0.6
"57","47","Plus: Net investment (33)","L319421",10.2,9.8,10.5,10.8,11.2,12.2,13.2,14.3,15.7,16.4,18
"58","48","Less: Net capital transfers received (10)","L319431",2.7,3,2.8,3,3.3,4,4.5,4.5,4.5,5.5,6.6
"59","49","Less: State and local employee retirement plans (3-27)","L319441",3.9,4.1,4.7,4.9,5.2,5.6,5.9,6.9,7.4,8.5,10.2
"60","50","Less: Other coverage differences (8+9+11+12+13+14+15-32-34-35-36-37-38)","L319451",-2.3,-0.9,-1.8,-1.1,-0.6,-0.9,-0.7,0,0.2,-1.4,-0.9
"61","51","Less: Timing and other differences (44-21)","L319461",-0.4,0.3,0.1,0.2,-0.7,0.2,0.7,0.5,0,-0.2,-0.6
"62","52","Equals: State and local government net saving, national income and product accounts (24-45)","L319471",1.8,2.6,2.3,2.7,3.6,4.1,3.9,5.2,4.1,5.4,3.3
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","1. In the NIPAs, pension plans are treated as ""pass-through"" institutions that hold financial assets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","on behalf of households, which are the effective owners.  Pensions plans are classified as financial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","corporations that receive contributions and property income on behalf of plan participants but do not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","have saving or net worth of their own.  Table 7.23 shows the transactions of the state and local",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","government defined-benefit pension subsectors.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","2. Consists of employee and employer contributions, except general government employer contributions to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","own retirement plans.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","3. Prior to 1968, dividends received is included in interest received (line 5).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","4. Prior to 1985, capital gains (net of losses) of state and local employee retirement plans is included in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","line 11.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","5. Unemployment insurance is recorded as a federal program in the NIPAs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","6. Consists of Census Bureau data on revenue received from the federal government, less NIPA federal grants,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","federal capital grants, federal subsidies, and research and development sales to the federal government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","7. Consists of estate and gift taxes, federal investment grants, and disaster-related insurance benefits.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","8. Excludes current expenditures of Indian tribal government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","9. Consists of current-account sales by general government that are classified as revenues in Census Bureau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","data and as reductions to current expenditures in the NIPAs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","10. Includes timing differences that arise from restating the Census Bureau data to a year ending June 30.  Census",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Bureau measures of state and local government revenue and expenditures (lines 1 and 25) primarily represent a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","fiscal year ending June 30, but some governments use other fiscal years.  The NIPA measures shown in this table",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","are for the fiscal year ending June 30, and are consistent with the not seasonally adjusted estimates in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","table 3.23.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","11. Net investment is gross investment less consumption of fixed capital for government enterprises and general",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","NIPAs National income and product accounts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
