"","Table 1#16# Sources and Uses of Private Enterprise Income       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"22","15","  To the rest of the world (net)","W237RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.3,-0.4,1.4,-1,0.8,3.8,-2.6,1,8.5,0.2,1.7,12.2,14.8,2.8,6,7.2,-2.3,-1.7,-7.2,-5.1
"23","16","Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1",77,77.8,83.9,95.1,112.5,112.2,118.2,131,144.5,166,179.4,171.6,179.7,171.2,186.3,228.2,241.1,256.5,286.5,325.8,341.9,354.4,356,402.4,430.5,459.5,484.5,547.4,587.9,644.2,700.4,757.8,836.8,871,900.1,962.1,979,1053.7,979.2,1026.5,973,1032.7,1155.1,1224.9
"24","17","Rental income of persons with capital consumption adjustment","A048RC1",20.4,20.7,21.9,22.8,23.3,23.3,22.5,20.6,16.2,16.9,16.6,19.7,25.4,26.1,27.5,27.9,29.5,21.9,20.2,25.1,24.4,31.4,42,64.3,93.6,117.5,129.2,147,152,169.9,183.1,187.7,207.5,217.3,238,255.4,238.4,207.5,189.4,262.1,333.7,402.8,484.4,541.2
"25","18","Corporate profits with inventory valuation and capital consumption adjustments","A051RC1",98.4,86.2,100.6,117.2,133.4,125.7,138.9,174.3,205.8,238.6,249,223.6,247.5,229.9,279.8,337.9,354.5,324.4,366,414.9,414.2,417.2,451.3,475.3,522,621.9,703,786.1,865.8,804.1,830.2,781.2,754,907.2,1056.4,1283.3,1477.7,1646.5,1529,1285.1,1392.6,1740.6,1877.7,2009.5
"26","19","  Taxes on corporate income","A054RC1",40,34.8,38.2,42.3,50,52.8,51.6,65.3,74.4,84.9,90,87.2,84.3,66.5,80.6,97.5,99.4,109.7,130.4,141.6,146.1,145.4,138.6,148.7,171,193.1,217.8,231.5,245.4,248.4,258.8,265.1,203.3,192.3,243.8,306.1,412.4,473.4,445.5,309.1,269.4,370.6,374.2,434.8
"27","20","    To government","W025RC1",39.7,34.4,37.7,41.9,49.3,51.8,50.9,64.2,73,83.5,88,84.8,81.1,63.1,77.2,94,96.5,106.5,127.1,137.2,141.5,140.6,133.6,143.1,165.4,186.7,211,223.6,237.1,239.2,248.8,254.7,193.5,181.3,231.8,292,395.9,454.3,420.7,281.1,246,346.3,345,402.4
"28","21","    To the rest of the world","B930RC1",0.3,0.4,0.4,0.5,0.7,1,0.7,1.1,1.4,1.4,2,2.4,3.2,3.4,3.4,3.5,2.9,3.2,3.4,4.5,4.6,4.8,5,5.5,5.7,6.4,6.9,7.8,8.3,9.2,10,10.4,9.8,11,12,14.1,16.5,19.1,24.8,28,23.5,24.3,29.2,32.4
"29","22","  Profits after tax with inventory valuation and capital consumption adjustments","A551RC1",58.4,51.5,62.5,74.9,83.4,72.9,87.2,109.1,131.3,153.7,159,136.4,163.2,163.4,199.1,240.4,255.1,214.7,235.5,273.2,268.2,271.7,312.7,326.6,351,428.8,485.2,554.6,620.3,555.7,571.4,516.1,550.7,714.8,812.6,977.3,1065.3,1173.1,1083.5,976,1123.1,1370,1503.5,1574.7
"30","23","    Net dividends","B056RC1",24.2,24.3,25,26.8,29.9,33.2,33,39,44.8,50.8,57.5,64.1,73.8,77.7,83.5,90.8,97.5,106.2,112.3,129.9,158,169.1,180.5,189.5,205.3,236,259,303.5,339.5,357.1,347.9,384.7,370.6,400.2,434,564.1,580.5,726,818.9,808.6,568.7,563.9,701.6,770.3
"31","24","    Undistributed corporate profits with inventory valuation and capital consumption adjustments","A127RC1",34.2,27.2,37.5,48,53.5,39.7,54.3,70,86.6,102.9,101.4,72.3,89.4,85.6,115.7,149.5,157.5,108.5,123.2,143.3,110.2,102.7,132.2,137.1,145.6,192.8,226.2,251.1,280.9,198.7,223.5,131.4,180.2,314.7,378.6,413.2,484.8,447.1,264.6,167.3,554.4,806,801.9,804.3
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","1. Includes rent paid by private enterprises to government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
