"","Table 2#3#6# Real Personal Consumption Expenditures by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66"
"18","10","    Clothing and footwear","DCLORX1",240.7,242.7,244.4,245,249,254.4,257.2,259.3,255.2,256.8,256.5,261,263.9,264,262.4,270.6,269.7,276.9,283,283.7,290.8,287.4,290.3,296.1,300.2,306.5,305.7,314.8,316.6,314.4,317.7,321,323.1,322.9,325.4,324.2,321.6,331.1,324.2,312.3,308.5,302.7,305.9,308.8,315.9,321,321.8,332,334.8,338,332.9,335.4,340.4,334.5,339,337,341.1,342.7,339.4,341.5,338.3,342.9,343.7
"19","11","    Gasoline and other energy goods","DGOERX1",299.5,305.8,301.6,302.5,291,296,296.6,294.2,295,290.6,295.4,295.6,293.9,296.4,297.5,297.9,294.8,294,297.4,300.8,299.8,300.3,298.4,298.7,304.2,296.8,292.3,298.7,296.3,294.1,296.1,303.3,301.6,297.7,295.5,292.6,290.2,285.8,275.9,281.8,291.9,284.7,282.3,279.1,279.3,282.5,284.2,282.8,280.2,273.1,272.7,271.5,267.4,271.7,270.9,266.7,270.5,270.4,272.9,272.9,274.4,272.1,271.8
"20","12","    Other nondurable goods","DONGRX1",596,599.2,601.9,626.1,618.9,634.1,640.7,650.8,646.5,651.5,658.9,667.3,673.8,671.7,674.6,682.8,693.8,700.7,716.1,727.6,728.4,737.7,746.1,750.2,756.3,762.7,766.8,777.9,793.8,799,802.7,817.8,820.8,825.1,827.5,827.2,823.7,833.3,834.3,821.9,819,809.4,811.9,816.4,821,828.4,836.6,845.8,855.1,862.9,865.5,869.4,876.6,877.7,878.5,886.1,899.3,902.2,914.4,923.5,926.8,941.7,954.8
"21","13","Services","DSERRX1",5245.4,5297.5,5356.2,5427.4,5510.8,5577.3,5629.2,5679.9,5709.6,5723.7,5733.7,5756.8,5791.9,5825.2,5848.2,5887.4,5909.4,5942.3,5986.9,6029,6084,6126.8,6177.1,6238.4,6271.5,6331.8,6388.4,6421.9,6464.4,6511.3,6541.2,6589.5,6623.8,6644.9,6673.4,6683.6,6710.5,6715.5,6708.1,6700.3,6662.5,6639.5,6642.7,6649.4,6670.6,6710.3,6744,6785.6,6812,6839.2,6876.6,6877.7,6908.8,6930.5,6952.8,6977.5,7019.3,7054.5,7076.6,7141.9,7165.4,7181.4,7202.2
"22","14","  Household consumption expenditures (for services)","DHCERX1",5108.1,5159,5216.8,5286.2,5363.8,5430,5474.6,5519.4,5548.1,5557.6,5563.6,5581.9,5613,5639.6,5653.1,5686.5,5708.4,5738,5781.8,5823.7,5875.1,5919,5970.3,6032.1,6073.2,6127.9,6183.4,6204.8,6237.8,6276,6301.6,6351.8,6385.1,6409.5,6434.1,6432.1,6451.7,6446.2,6430.1,6412.3,6383.4,6366.6,6369.5,6370.5,6391.5,6428.7,6466.5,6510.7,6539.3,6565.8,6596.5,6602.1,6630.2,6642.5,6663.1,6677.7,6723.4,6757.7,6775.4,6833.4,6857.1,6870.3,6887.1
"23","15","    Housing and utilities","DHUTRX1",1531.2,1546.1,1562.2,1562.3,1570.5,1592.1,1606.7,1632.8,1641.3,1639.6,1646.3,1644.9,1644.7,1651.6,1654.4,1664.5,1668,1673,1675.3,1687.6,1698.3,1710.6,1720.3,1742.4,1760.9,1782.3,1802.1,1808.2,1803.8,1824.5,1836,1828.5,1837.5,1840.1,1845.4,1840,1854.6,1860.2,1854.7,1870.8,1874,1878,1881.4,1890.6,1897.2,1896.5,1906.5,1916.8,1918.3,1924.4,1937.4,1931.9,1924.3,1942.1,1951.7,1943.3,1967.2,1966.9,1959.6,1969.1,1996,1979.5,1970.4
"24","16","    Health care","DHLCRX1",1167.3,1171.9,1181.4,1192.6,1199.6,1215.4,1223.7,1236.6,1254.4,1268.6,1287.3,1307.9,1333.9,1353.3,1363.9,1371.3,1379.6,1386.7,1397.2,1406.6,1416.2,1432.8,1453,1467,1473.8,1483.3,1501.6,1503.1,1512,1519.8,1528,1541.3,1549.5,1556.3,1570.4,1576.8,1593.7,1596.8,1600.1,1604.8,1616,1628.6,1634.9,1630,1626,1640.9,1657.1,1672.8,1680,1688.2,1687.2,1706,1732.4,1737.5,1752.7,1757.5,1759.1,1774.6,1786,1804.7,1798.4,1815.9,1824.5
"25","17","    Transportation services","DTRSRX1",310.5,314.4,320.7,324.3,328.6,332.3,334.5,335.7,336.2,334.7,328.5,322.8,323.3,320.3,319.8,319.9,321.7,320.6,323.8,325.8,329,331.8,331.8,333.5,333.9,335,335.9,334,333.2,335.2,335.1,338.6,340.3,340.3,338.9,336.4,332.1,326.5,319.6,306.9,296.5,291.1,287,284.2,284.6,286.2,288,289.6,290.2,293.5,296,296.9,297.3,298.6,301,301.5,305.4,307.1,307.9,310,311.4,314.3,315.9
"26","18","    Recreation services","DRCARX1",308.9,313.8,320.5,324.1,323.8,326.6,327.1,326.3,328.9,325.5,323.7,323.5,325.6,326.1,326.9,330.6,330.5,335.6,341.1,346.2,351.6,355.2,357.8,358.6,362.4,364.5,364.5,367.3,372.2,374.4,377.1,386.1,388.8,390.5,394.6,394.4,393.2,392.5,387.7,382.5,379,375.3,373.6,376.1,379.1,377,382.4,385.3,384,389.8,392.1,392.5,394.7,395.6,396.4,397.8,403.8,403.6,407.2,408.2,406.2,404.4,401.1
"27","19","    Food services and accommodations","DFSARX1",505.1,508.1,510.1,522.1,530.7,535.3,537.2,535.4,539.3,534,531,530.2,538,542,543,543.8,547.8,558,567.4,573.2,579.4,580.2,585.5,591.6,595,603.6,607.8,614,623.1,619.6,623.3,632.7,629.8,631.3,631.9,637.4,629,632.4,626.3,616.7,605.8,599.9,598.2,597.5,603.1,607.7,611.3,616.3,622.1,623.3,626.4,629.2,635.9,638,641.8,648.8,653.6,651.9,652.3,663.7,661.5,670.1,677.7
"28","20","    Financial services and insurance","DIFSRX1",576.2,590.8,603.8,623.8,655.2,656.5,660.8,664.4,654.4,647.6,638.5,643.4,640.2,639.9,643.6,643,637.2,640.2,645,650,659.8,661.9,669,684.2,691.7,703.2,710.5,710.9,718.5,718.4,717.4,726,735.4,743.2,747,744.6,742.3,738.3,738.9,730.2,723.8,719,719.2,713.8,721.5,736.1,735.4,742.7,748,746.6,752.6,741.4,729,717.1,702.8,706,715.1,727.1,730.8,741.1,746.2,751.2,761.5
"29","21","    Other services","DOTSRX1",711.4,714.9,717.8,734.6,749.8,767.3,780.7,784.6,791.6,807,809,810,808.7,808.1,802.9,815.2,826.4,826.7,834.7,837.2,843,849,855,856.2,856.5,856.5,861.3,867.8,875.2,884.5,885.6,899.4,903.9,907.4,905.3,902,906.7,899.4,902.7,900.2,888.3,874.8,875.2,878.4,880.3,884.1,885.7,887,896.3,899.8,904.5,904,916.3,914.2,918.1,923.8,920.3,927,931.9,936.6,937.3,934.5,934.9
"30","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRX1",148.1,149.3,150.5,152.5,157.7,158.5,164.7,169.7,170.7,174.5,177.6,181.5,185,190.4,198.2,203.2,203.5,206.5,207.5,207.8,211.2,210.5,209.9,209.7,202.7,207.9,209.1,220.1,228.9,236.9,241.1,239.5,240.5,237.4,241.1,252.6,259.5,269.5,277.8,287.6,278.9,272.9,273.2,279,279.2,281.7,277.4,274.8,272.4,273.2,280,275.2,278.3,288.1,289.8,300.7,296.3,297.2,301.9,309.5,309.1,312.1,316.2
"31","23","    Gross output of nonprofit institutions \2\","DNPERX1",769.7,773.8,779.6,787.8,794.5,802.1,811,821.3,830.4,839.3,850.7,863,878,892.7,904.4,909,910.3,912.8,915.9,918.7,925.6,932.3,943.2,952.4,947.5,956.2,967,976,986.7,996.1,1004.1,1009.5,1016.8,1017.2,1022.8,1032.1,1043.4,1050.4,1059.4,1067.7,1069,1071.2,1074.8,1075.3,1072.6,1084,1090.6,1097,1093.2,1096,1094.6,1104.4,1121.4,1124.5,1138.4,1140.4,1136,1146.2,1151.7,1171.7,1159.4,1172.7,1182.5
"32","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRX1",632.6,635.3,640,646.2,646.5,653.6,654.8,659.1,667.6,672,680.1,688.1,699.6,708.1,710.3,708.8,709.8,708.7,710.9,713.4,716.6,724.5,736.5,746.3,749.4,752.3,762.1,758.8,760,760.6,764.2,771.6,778,781.7,783.4,780.5,784.5,781,781.3,779.4,789.9,798.3,801.6,796.4,793.5,802.4,813,821.9,820.5,822.5,814.6,828.8,842.6,836.5,848.5,840.5,840.3,849.4,850.4,863,851.3,861.6,867.3
"33","25","Residual","D236RX1",-114.8,-104.2,-95.1,-92.1,-72,-81.2,-78.6,-77.5,-76.6,-74.4,-72.9,-51.8,-52.7,-52.4,-46.8,-48.6,-48,-36.6,-26.6,-24.4,-20.6,-19.6,-15.5,-12.8,-10,-4.5,-4,-6.5,-1.2,-3.2,-1.8,0.6,2.4,3.8,4.8,4.1,1.7,-0.1,-4.6,-1.3,-0.8,0.5,0.7,-0.5,-2,-1.6,-2.1,-3.1,-4.7,-10,-11.7,-14,-19.4,-19.5,-23.4,-27.5,-29.8,-32.8,-35,-37,-37,-44.1,-49.7
"34",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","26","  PCE excluding food and energy \4\","DPCCRX1",6487.6,6584.1,6661.6,6772,6905.7,6959.4,7033.4,7089.2,7130,7161.5,7189.4,7315.6,7342.4,7375.2,7429.1,7462.4,7498.6,7595.5,7714.8,7778,7856.4,7913.6,8000.6,8081.8,8137.2,8239.4,8306.3,8332.9,8455,8490,8537.5,8629.8,8674.4,8716,8761.2,8785,8763.8,8784.9,8747.7,8625.6,8583.9,8538.8,8597.3,8589.6,8631.7,8717.8,8772.4,8862.5,8922.2,8955.8,8997.8,9045.7,9128.9,9138.7,9183.2,9252.1,9317.1,9375.5,9432.7,9521,9530.7,9626.3,9699.9
"36","27","  Energy goods and services \5\","DNRGRX1",492.7,503.8,507.6,495.9,482.6,499.7,502.9,514.9,508.9,489.7,494.5,491.2,491.6,503.7,506.3,514.8,509.4,508.4,505.8,513.9,515.3,516.1,509.1,515.2,520.4,516.6,516.9,517.7,501.3,510.3,517.4,515.1,521.1,517.6,516.4,503.8,506.8,500.8,481.1,496.6,505.8,500.3,496.5,495.9,500,500.5,507,508.6,499.4,489.2,494.2,485.4,471.6,487.6,490.9,475.2,494.5,490,483.4,488.1,509.4,490,478.9
"37","28","  Market-based PCE \6\","DPCMRX1",6768.1,6870.2,6950.4,7048.2,7138.7,7209.8,7272.8,7341.9,7375.1,7385.2,7417.4,7537,7560.5,7604.6,7663.2,7689.3,7719.6,7819.4,7936.2,7998.7,8074.3,8120,8197.4,8283.1,8350.3,8441.9,8509.7,8527.3,8612.4,8657.5,8711.9,8800.6,8852.9,8881.8,8922.3,8934.4,8907.6,8926,8843.6,8715.4,8694.4,8669.1,8730,8728.5,8774.8,8839.4,8901.5,9004.6,9051.2,9073.2,9108.8,9153.7,9223.1,9263.8,9314.9,9356.9,9448.2,9479.1,9521.4,9599.9,9630,9684.6,9731.7
"38","29","  Market-based PCE excluding food and energy \6\","DPCXRX1",5636.8,5722.6,5792.4,5885.8,5989.7,6037,6095,6146.8,6185.7,6206.1,6235.6,6353.4,6378.3,6411.4,6463.9,6477.4,6505.7,6605.1,6711.4,6767.6,6834.2,6878.1,6955.1,7027.2,7078.2,7169.9,7230.9,7239,7338.6,7366.8,7411.6,7492.3,7537,7573.6,7614.7,7638.2,7610.9,7633.7,7586.7,7456.5,7427.8,7401.9,7461.8,7453.7,7489.1,7559.1,7611.2,7701.4,7756.7,7791.9,7824.8,7883.4,7965.4,7983.4,8028.9,8089.6,8152.9,8195.5,8242,8310.6,8317.4,8399.4,8460.6
"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","4. Food consists of food and beverages purchased for off-premises consumption;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","food services, which include purchased meals and beverages, are not classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","5. Consists of gasoline and other energy goods and of electricity and gas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","6. Market-based PCE is a supplemental measure that is based on household expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","for which there are observable price measures.  It excludes most imputed transactions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","(for example, financial services furnished without payment) and the final consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
