"","Table 6#12B# Nonfarm Proprietors' Income by Industry            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"22","15","Services","J1813C0",6267,6352,6995,7514,8073,8860,9218,10775,11520,12450,13182,14564,14780,16079,17033,17803,19518,20627,22735,24649,26339,27930
"23","16","  Hotels and other lodging places","B1814C0",252,253,271,277,282,277,278,307,310,298,287,347,297,292,309,321,290,369,424,407,418,371
"24","17","  Personal services","B1815C0",1005,1012,1108,1155,1193,1259,1298,1355,1460,1638,1638,1687,1724,1829,1911,1992,2140,2171,2442,2579,2725,2722
"25","18","  Business services","B1816C0",285,285,378,458,569,674,763,856,943,987,1003,1102,1071,1183,1280,1402,1566,1593,1708,1916,2027,2131
"26","19","  Auto repair, services, and parking","B1817C0",277,279,332,399,407,458,509,607,723,683,747,770,879,927,1038,1103,1190,1145,1231,1392,1464,1553
"27","20","  Miscellaneous repair services","B1818C0",307,310,356,373,407,444,488,495,533,563,558,497,517,566,574,640,649,678,769,735,802,904
"28","21","  Motion pictures","B1819C0",126,157,131,60,60,77,81,99,30,33,96,125,52,206,173,166,136,153,96,86,229,143
"29","22","  Amusement and recreation services","B1820C0",142,137,144,141,156,224,249,279,300,265,286,292,327,362,297,322,337,344,409,380,388,276
"30","23","  Health services","J1821C0",2410,2392,2592,2802,3044,3354,3219,4174,4399,4793,5166,5806,5877,6166,6650,6832,7609,8083,8863,9857,10608,11497
"31","24","  Legal services","B1822C0",949,1014,1096,1194,1236,1307,1444,1581,1606,1732,1800,2139,2165,2504,2636,2851,3124,3410,3818,4029,4142,4481
"32","25","  Other \1\","B1823C0",514,512,586,656,719,786,888,1022,1216,1457,1601,1799,1872,2044,2165,2174,2477,2681,2974,3267,3535,3851
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","1. Consists of educational services; social services; museums, botanical and zoological",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","gardens; membership organizations and miscellaneous services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
