"","Table 6#12D# Nonfarm Proprietors' Income by Industry            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"30","23","  Educational services","N1821C0",2352,2878,3228,3438,3477,3868,4638,4358,5225,5002,5201,5049,5805,6149,6548,6918
"31","24","  Health care and social assistance","N1822C0",61981,63905,66589,78415,84794,81359,86791,85966,91899,92078,103713,103104,106073,112466,112696,117788
"32","25","Arts, entertainment, recreation, accommodation, and food services","N1823C0",27370,28920,28941,29053,31002,32210,35230,36747,40283,35263,27214,25435,30404,35457,42580,43802
"33","26","  Arts, entertainment, and recreation","N1824C0",12562,13449,14143,14509,16014,16924,18734,19017,19938,18846,16745,16209,18517,19643,22766,23418
"34","27","  Accommodation and food services","N1825C0",14808,15471,14799,14544,14988,15285,16496,17730,20345,16417,10469,9226,11887,15814,19814,20384
"35","28","Other services, except government","N1826C0",74994,83080,90484,70777,84501,79298,83178,97320,109564,104017,90198,91828,100608,104560,114937,118666
"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","1. Consists of accounting, tax preparation, bookkeeping, and payroll services; architectural,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","engineering, and related services; specialized design services; management, scientific, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","technical consulting services; scientific research and development services; advertising and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","related services; and other professional, scientific, and technical services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Note.  Estimates in this table are based on the 2002 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
