"","Table 7#3#4# Price Indexes for Farm Sector Output, Gross Value A","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"11","4","    Livestock","B1006G3",38.391,38.703,38.617,44.499,60.029,54.3,56.623,58.257,57.837,71.046,82.426,80.758,81.106,82.234,80.106,83.121,77.387,79.445,81.959,84.08,89.805,94.66,89.377,87.499,90.438,85.754,83.366,89.764,88.804,86.038,85.027,86.889,94.523,80.827,92.228,108.705,107.621,100.412,116.923,117.024,100,116.774,136.488,140.694,148.587
"12","5","  Farm products consumed on farms","B1008G3",38.157,38.669,39.233,46.161,60.509,53.982,55.175,56.675,56.893,72.827,87.45,84.122,83.669,86.177,81.646,84.993,79.609,80.781,88.227,89.702,94.485,101.905,97.805,94.033,96.512,89.095,88.924,89.607,95.032,84.595,80.9,85.38,91.032,81.286,92.672,104.125,104.567,103.289,113.123,111.37,100,113.058,129.381,134.248,140.368
"13","6","  Other farm income","B1009G3",24.819,26.114,29.697,31.586,33.891,43.305,46.69,47.304,49.215,52.485,57.287,62.064,65.453,61.409,65.832,65.804,61.957,57.036,60.434,67.654,71.613,67.164,66.813,68.559,70.051,70.617,73.819,81.049,77.27,73.074,66.866,67.275,68.535,71.784,75.625,78.955,74.596,78.378,91.661,110.706,100,101.316,121.899,128.984,127.906
"14","7","  Change in farm finished goods inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","8","    Crops","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","9","    Livestock","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","10","Less: Intermediate goods and services consumed","A2003G3",19.003,19.502,20.315,21.721,27.443,32.42,34.514,34.888,35.458,37.983,43.953,49.747,53.723,53.482,52.646,53.659,51.497,48.761,49.231,52.938,55.707,56.784,57.041,56.934,58.517,59.24,59.419,63.089,64.807,60.993,60.462,64.916,66.449,65.241,69.556,74.391,78.998,82.691,90.149,106.767,100,102.851,118.15,125.827,125.989
"18","11","  Other than rent","W249RG3",18.842,19.328,20.114,21.478,26.726,31.569,34.069,34.488,35.009,37.216,43.076,49.114,53.429,52.967,52.13,53.168,50.898,47.915,48.188,52.089,54.897,55.71,56.152,56.034,57.607,58.532,58.758,62.588,64.265,60.501,59.88,64.367,65.804,64.709,68.967,73.773,78.438,82.28,89.877,106.901,100,102.612,117.893,125.695,125.755
"19","12","    Intermediate goods and services purchased, other than rent","B1012G3",18.839,19.324,20.11,21.474,26.721,31.562,34.062,34.481,35.002,37.208,43.068,49.104,53.418,52.957,52.119,53.158,50.888,47.905,48.178,52.079,54.886,55.699,56.141,56.028,57.6,58.527,58.749,62.583,64.263,60.502,59.881,64.372,65.809,64.716,68.967,73.775,78.439,82.282,89.878,106.902,100,102.61,117.894,125.697,125.757
"20","13","    Less: Change in farm materials and supplies inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","14","  Rent paid to nonoperator landlords","B1013G3",23.041,23.772,25.049,27.135,38.709,45.766,43.293,43.164,44.461,52.044,60.038,62.887,63.034,65.393,64.503,65.332,63.934,63.6,66.563,68.219,70.821,74.888,73.098,73.105,74.962,73.381,73.023,75.232,77.573,72.796,73.412,77.578,80.88,77.593,83.186,88.68,91.997,92.403,96.694,104.079,100,107.04,122.667,128.337,129.939
"22","15","Equals: Gross farm value added","B359RG3",83.588,84.386,85.875,100.344,159.998,154.887,134.034,132.42,127.075,153.468,166.973,147.34,141.04,124.935,142.634,150.234,121.129,118.66,121.564,134.947,142.904,140.171,126.564,123.922,125.527,121.031,124.545,145.635,123.867,116.728,100.293,90.644,100.521,91.486,103.644,123.76,102.823,97.009,131.75,133.404,100,116.392,157.266,161.944,168.569
"23","16","Less: Consumption of fixed capital","B366RG3",17.844,18.608,19.601,20.47,21.169,23.683,27.188,29.156,31.414,34.035,37.402,42.254,47.112,50.96,52.914,54.456,55.111,57.147,58.474,60.182,62.474,64.499,66.736,68.822,70.518,72.521,74.371,75.76,76.53,77.311,78.62,79.641,80.774,81.564,82.82,85.393,89.207,92.32,95.023,98.485,100,99.944,102.165,103.922,105.235
"24","17","Equals: Net farm value added","A365RG3",149.265,149.389,150.598,181.172,314.906,297.083,241.116,232.958,215.283,269.672,292.446,234.885,209.963,170.911,206.201,220.251,161.571,154.59,158.445,181.077,193.091,186.459,161.09,155.06,156.499,147.74,152.214,186.437,150.576,138.492,110.715,94.905,109.342,95.046,112.578,140.748,108.681,98.889,150.786,151.316,100,123.903,182.845,188.924,198.134
